"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",13.5051612903226,"Up",205514000,-165286000,40228000,-24479000,-24479000,15749000,-4633000,-4688000,55000,11116000,11116000,-4094000,7022000,7301000,7301000,7301000,71127000,71127000,110605000,110605000,109239000,12828000,303799000,142875000,445922000,90680000,348943000,6299000,588797000,892596000,125515000,73217000,52298000,125932000,206614000,79718000,56150000,23568000,286332000,412264000,239756000,-4101000,246006000,-1329000,480332000,480332000,892596000,7022000,6546000,1633000,13413000,28769000,-2287000,0,-2287000,40000,42000,-2000,-33000,26449000,26449000,615000,27064000,22295000,207031000,37515000,0.19574,0.07663,0.03553,0.0152,0.00818,5.13834,2.41241,0.85829,0.23194,0.23732,0.23635,6.68012,15.61294,1.21941,0.00952,0.04891,6.09571999999996,8.62937
"12","2013_Q1",17.2468333333333,"Up",172639000,-140514000,32125000,-26301000,-26301000,5824000,-4506000,-4593000,87000,1318000,-3310000,-426000,-3736000,-3924000,-3924000,-3924000,48028000,48028000,89473000,89473000,116357000,13380000,267238000,151613000,464823000,98759000,359863000,6201000,616436000,883674000,116492000,69060000,47432000,117585000,206710000,82557000,57068000,25489000,289267000,406852000,240416000,-4101000,242082000,-1575000,476822000,476822000,883674000,-3736000,6506000,7227000,13619000,23346000,-4257000,-42366000,-46623000,226000,226000,0,163000,-23114000,-23114000,15000,-23099000,12330000,207803000,22118000,0.18608,0.03374,-0.02273,-0.00823,-0.00444,-5.6366,2.27272,0.85326,0.23516,-0.12744,-0.12688,5.6068,15.48576,0.71833,-0.00511,0.02883,12.95823,27.43389
"13","2013_Q2",16.8909375,"Down",196801000,-160624000,36177000,-30981000,-30981000,5196000,-11094000,-11160000,66000,-5898000,-5898000,2255000,-3643000,-3647000,-3647000,-3647000,30288000,30288000,111532000,111532000,125439000,13625000,280884000,147628000,463019000,96709000,358934000,7376000,610647000,891531000,118495000,81934000,36561000,118912000,214006000,87748000,56960000,30788000,301754000,420666000,241799000,-4737000,238435000,-4632000,470865000,470865000,891531000,-3643000,6904000,8837000,-24785000,-12694000,-1852000,-30087326.8105156,-1852000,-309000,327000,-636000,-2317000,-16863000,-16863000,-877000,-17740000,12100000,214423000,-16792000,0.18383,0.0264,-0.01853,-0.00775,-0.00409,4.60433,2.36212,0.89339,0.24051,-0.11811,-0.11811,6.37371,15.2497,-0.54384,-0.00472,-0.02172,15.21777,35.43784
"14","2013_Q3",14.361875,"Down",224519000,-179813000,44706000,-28423000,-28423000,16283000,-3681000,-3690000,8999.99999999999,12602000,12602000,-4870000,7732000,7732000,7732000,7732000,44637000,44637000,121851000,121851000,119022000,17051000,302561000,144412000,461012000,94966000,358871000,7175000,605424000,907985000,125787000,81812000,43975000,126204000,213604000,89744000,56934000,32810000,303348000,429552000,242437000,-4737000,246167000,-5434000,478433000,478433000,907985000,7732000,6812000,2101000,1311000,17956000,-2642000,-146000,-2788000,9000,9000,1.16415321826935e-10,-458000,14710000,14710000,-361000,14349000,23095000,214021000,26634000,0.19912,0.07252,0.03444,0.01616,0.00852,3.44465,2.3974,0.89783,0.23571,0.25002,0.24718,7.26011,15.47075,0.86124,0.00988,0.03405,7.33423,10.40251
"15","2013_Q4",16.381875,"Up",217412000,-175650000,41762000,-24754000,-24754000,17008000,-3762000,-3828000,66000,13246000,-9914000,-3813000,-13727000,-13727000,-13727000,-13727000,80848000,80848000,114541000,114541000,116899000,15290000,327578000,130877000,440979000,93332000,341445000,6202000,571856000,899434000,127686000,81158000,46528000,128103000,213601000,89949000,56334000,33615000,303550000,431653000,242958000,-4743000,232440000,-2874000,467781000,467781000,899434000,-13727000,6680000,26297000,13397000,32645000,8125000,-5198000,2927000,0,6000,-6000,-107000,35465000,35465000,746000,36211000,23688000,214018000,49023000,0.19209,0.07823,-0.06314,-0.02934,-0.01526,-3.57128,2.55715,0.92277,0.23795,-0.44358,-0.44358,7.02553,15.11604,1.58415,-0.01779,0.06352,5.62183,7.82983999999999
"16","2014_Q1",18.133606557377,"Up",188835000,-153383000,35452000,-29299000,-29299000,6153000,-3775000,-3811000,36000,2378000,2378000,1631000,4009000,4009000,4009000,4009000,97039000,97039000,90082000,90082000,121152000,14127000,322400000,131752000,440010000,91777000,341174000,7059000,571762000,894162000,119504000,69625000,49879000,119913000,213598000,88902000,55124000,33778000,302500000,422413000,243700000,-4815000,236449000,-3585000,471749000,471749000,894162000,4009000,6654000,-776000.000000004,12501000,22388000,-5961000,-191999.999999998,-6153000,234000,306000,-72000,193000,16428000,16428000,-237000,16191000,12807000,214007000,17716000,0.18774,0.03258,0.02123,0.0085,0.00448,4.41906,2.68862,0.89542,0.23934,0.12944,0.13094,6.09696,15.23147,0.572,0.00518,0.02287,9.13313,19.00991
"17","2014_Q2",16.5766666666667,"Down",191032000,-161168000,29864000,-29531000,-29531000,333000,-3670000,-3640000,-30000,-3337000,-3337000,1251000,-2086000,-2086000,-2086000,-2086000,78186000,78186000,106639000,106639000,127200000,16803000,328828000,130476000,437731000,90294000,340942000,6495000,568207000,897035000,125552000,82813000,42739000,125957000,213600000,87990000,55113000,32877000,301590000,427547000,244816000,-5223000,234363000,-4468000,469488000,469488000,897035000,-2086000,6566000,1471000,-20577000,-14626000,-3919000,1090265.38947915,-3919000,-43000,365000,-408000,46000,-18499000,-18499000,-354000,-18853000,6899000,214005000,-18848000,0.15633,0.00174,-0.01092,-0.00444,-0.00233,9.03547,2.61064,0.91067,0.23857,-0.06722,-0.06722,6.15557,15.12818,-0.60733,-0.00270000000000001,-0.02443,19.68677,407.86486
"18","2014_Q3",15.32546875,"Down",234960000,-194837000,40123000,-25393000,-25393000,14730000,-4210000,-3691000,-519000,10520000,10520000,-4089000,6431000,6431000,6431000,6431000,87757000,87757000,129765000,129765000,126577000,18148000,362247000,128774000,437606000,88974000,341196000,7436000,566380000,928627000,150112000,99264000,50848000,150512000,213200000,87405000,55178000,32227000,300605000,451117000,245801000,-5223000,240794000,-3862000,477510000,477510000,928627000,6431000,6538000,680000,-2808000,10841000,-1629000,0,-1508000,39000,39000,-1.16415321826935e-10,-376000,8957000,8957000,614000,9571000,21268000,213600000,20920000,0.17077,0.06269,0.02737,0.01347,0.00693,3.25299,2.40676,0.94473,0.23002,0.20701,0.20565,7.56325,15.37082,0.67341,0.00826,0.02687,5.91701,8.54331
"19","2014_Q4",14.78765625,"Down",234101000,-192523000,41578000,-23243000,-23243000,18335000,-2936000,-3657000,721000,15399000,15399000,-5828000,9571000,9540000,9540000,9540000,101013000,101013000,120257000,120257000,126085000,15992000,363347000,130819000,435342000,87259000,340882000,7201000,566161000,929508000,144194000,92163000,52031000,144594000,213200000,85874000,55144000,30730000,299074000,443668000,246687000,-5320000,250334000,-5861000,485840000,485840000,929508000,9571000,6348000,-502000,6553000,21930000,-7674000,0,-7674000,7000,104000,-97000,25000,14281000,14281000,-1025000,13256000,24683000,213600000,29390000,0.17761,0.07832,0.04075,0.01964,0.01026,3.08071,2.51288,0.9132,0.2298,0.30692,0.30481,7.53148,15.63041,0.94553,0.01215,0.03742,4.56132,6.14055
"20","2015_Q1",15.4590163934426,"Up",201994000,-173514000,28480000,-24325000,-24325000,4155000,-3517000,-3433000,-84000,638000.000000002,-107332000,11624000,-95708000,-95709000,-95709000,-95709000,110610000,110610000,101141000,101141000,128743000,19937000,360431000,129575000,320465000,82215000,236044000,2206000,450040000,810471000,133685000,81246000,52439000,134085000,209511000,79646000,49772000,29874000,289157000,423242000,247545000,-5390000,154625000,-9551000,387229000,387229000,810471000,-95708000,5980000,102481000,1645000,14397000,-4077000,0,-3921000,17000,87000,-70000,-17000,10459000,10459000,-862000,9597000,10135000,209911000,-3921000,0.14099,0.02057,-0.47382,-0.24716,-0.11809,0.0409699999999997,2.68808,1.093,0.259,-3.07934,-3.12152,6.49895,12.4587,-0.12615,-0.14142,-0.00579,9.79783,23.89916
"21","2015_Q2",18.154126984127,"Up",200615000,-170700000,29915000,-20945000,-20945000,8970000,-141000,-3700000,3559000,8829000,8829000,-3292000,5537000,5509000,5509000,5509000,118300000,118300000,115284000,115284000,133624000,22116000,389324000,113769000,320664000,80439000,235523000,4702000,434433000,823757000,138574000,90155000,48419000,138974000,213200000,82224000,49652000,32572000,295424000,434398000,248140000,-5746000,160134000,-13169000,389359000,389359000,823757000,5537000,6149000,-9112000,-17326000,-14752000,24159000,0,24098000,-347000,9000.00000000001,-356000,-329000,9017000,9017000,-1327000,7690000,15119000,213600000,25244000,0.14912,0.04471,0.02746,0.0141499999999999,0.00669,4.58232,2.80142,1.11567,0.2593,0.17662,0.17552,6.43182,12.48306,0.80934,0.00803999999999999,0.03684,6.30333,10.6243
"22","2015_Q3",18.32,"Up",253171000,-209052000,44119000,-32918000,-32918000,11201000,-4912000,-3811000,-1101000,6289000,6288999.99999999,-2202000,4087000,4086999.99999999,4086999.99999999,4086999.99999999,39422000,39422000,180382000,180382000,134751000,23339000,377894000,124995000,437110000,136731000,292918000,7461000,562105000,939999000,207114000,114731000,92383000,207514000,242800000,93065000,54731000,38334000,335865000,543379000,249168000,-5777000,164221000,-10992000,396620000,396620000,939999000,4087000,7090000,3424000,11909000,26510000,-2602000,-134318000,-135705000,140000,171000,-31000.0000000001,29759000,-79436000,-79436000,558000,-78878000,18291000,243200000,29800000,0.17427,0.04424,0.01614,0.0103,0.00435,7.29141,1.82105,1.37002,0.25872,0.13095,0.12977,8.11186,12.70811,0.95482,0.00558,0.04066,11.14089,18.19284
"23","2015_Q4",23.9659375,"Up",304994000,-243598000,61396000,-38002000,-38002000,23394000,-2098000,-3878000,1780000,21296000,21296000,-7664000,13632000,13632000,13632000,13632000,43331000,43331000,177117000,177117000,126006000,24514000,370968000,121218000,428011000,131872000,291940000,4199000,549229000,920197000,173820000,104244000,69576000,196426000,220814000,94576000,54880000,39696000,315390000,511816000,250444000,-5958000,177853000,-13958000,408381000,408381000,920197000,13632000,9418000,3100000,6580000,32730000,-1987000,-6302000,-8289000,-124000,57000,-181000,-19161000,5280000,5280000,-1371000,3909000,32812000,221214000,45069000,0.2013,0.0767,0.0447,0.03338,0.01481,3.30612,1.88859,1.25328,0.2404,0.43634,0.43197,9.76231,13.07154,1.44258,0.01882,0.06224,5.42128,7.60379
"24","2016_Q1",23.3103278688525,"Down",282093000,-230547000,51546000,-41516000,-41516000,10030000,-4481000,-3614000,-866999.999999999,5549000,685999.999999996,-466000,220000,219999.999999998,219999.999999998,219999.999999998,68858000,68858000,164969000,164969000,107058000,10537000,351422000,118932000,419418000,123013000,292390000,4015000,538350000,889772000,156809000,89204000,67605000,185395000,208882000,85409000,42654000,42755000,294291000,479686000,253775000,-6346000,178073000,-15416000,410086000,410086000,889772000,220000,7891000,16123000,18499000,42733000,-5443000,-1000,-5444000,1176000,1564000,-388000,-10990000,26299000,26299000,-772000,25527000,17921000,209282000,31443000,0.18273,0.03556,0.000779999999999996,0.00054,0.00025,142.92273,1.89553,1.16972,0.23521,0.00702999999999998,0.00692999999999988,9.01572,13.1064,1.00492,0.00031,0.04461,7.83572,14.0004
"25","2016_Q2",28.7834375,"Up",237671000,-183521000,54150000,-36389000,-36389000,17761000,-3656000,-3691000,35000,14105000,14105000,-5076000,9029000,9029000,9029000,9029000,82627000,82627000,149458000,149458000,106406000,9852000,348343000,116681000,419425000,121649000,293664000,4112000,536106000,884449000,134609000,83994000,50615000,166532000,209032000,87937000,42964000,44973000,296969000,463501000,255443000,-6760000,184566000,-12301000,420948000,420948000,884449000,9029000,6054000,1849000,-1391000,15541000,-1444000,-2314000,-2640000,-281000,133000,-414000,-335000,12566000,12566000,1203000,13769000,23815000,209432000,26056000,0.22784,0.07473,0.03799,0.02145,0.01021,2.88581,2.09175,1.10109,0.23679,0.28734,0.28402,7.5636,13.39617,0.8292,0.01257,0.03627,5.32459,7.13952
"26","2016_Q3",36.616875,"Up",265738000,-196895000,68843000,-40267000,-40267000,28576000,-11861000,-3666000,-8195000,16715000,16715000,1897000,18612000,18612000,18612000,18612000,124114000,124114000,150170000,150170000,98221000,12119000,384624000,108808000,419568000,120435000,294797000,4336000,528376000,9.13e+08,132136000,82805000,49331000,162894000,208836000,91691000,43149000,48542000,300527000,463421000,259343000,-6808000,201555000,-4511000,449579000,449579000,9.13e+08,18612000,5802000,10525000,-1039000,33900000,-2429000,8479000,6050000,1876000,1924000,-48000,1476000,41426000,41426000,61000,41487000,34378000,209236000,29013000,0.25906,0.10753,0.07004,0.0414,0.02039,1.55882999999999,2.36119,1.03079,0.22917,0.59133,0.5815,8.44283,14.28369,0.92178,0.0248,0.03866,2.47606,2.97879
"27","2016_Q4",41.325873015873,"Up",272734000,-204847000,67887000,-41365000,-41365000,26522000,-3784000,-3625000,-159000,22738000,22738000,-8952000,13786000,13786000,13786000,13786000,173062000,173062000,155434000,155434000,92778000,9897000,431171000,106315000,417346000,118388000,294858000,4100000,523661000,954832000,150606000,87495000,63111000,177032000,209041000,99114000,43366000,55748000,308155000,485187000,262274000,-7524000,219500000,-4605000,469645000,469645000,954832000,13786000,5695000,5796000,27468000,52745000,-3478000,-229000,-3707000,119000,835000,-716000,119000,49157000,49157000,-209000,48948000,32217000,209441000,65159000,0.24891,0.09724,0.05055,0.02935,0.01444,4.72646,2.43555,1.03309,0.21935,0.43656,0.42846,8.63656,14.87207,2.06336,0.01772,0.08373,1.12919,1.37165
"28","2017_Q1",41.8432258064516,"Up",231838000,-177956000,53882000,-43078000,-43078000,10804000,-4204000,-3595000,-609000,6600000,-3575000,-4133000,-7708000,-7752000,-7752000,-7752000,170177000,170177000,124072000,124072000,89612000,7336000,391197000,108304000,418744000,110790000,304032000,3922000,527048000,918245000,140336000,69944000,70392000,152088000,209237000,96040000,38002000,58038000,305277000,457365000,264738000,-7885000,211748000,-7721000,460880000,460880000,918245000,-7708000,6563000,11670000,11276000,21801000,-2475000,-21098000,-23573000,88000.0000000002,449000,-361000,88000.0000000002,-1684000,-1684000,-1201000,-2885000,17367000,209637000,30301000,0.23241,0.0466,-0.03344,-0.01682,-0.00844,-3.9088,2.57218,0.99237,0.2283,-0.2448,-0.23998,7.32112,14.55395,0.95686,-0.01011,0.03953,2.27213,3.65235
"29","2017_Q2",35.2857142857143,"Down",206605000,-157350000,49255000,-39576000,-39576000,9679000,-3630000,-3576000,-54000,6049000,6049000,-2053000,3996000,3996000,3996000,3996000,160901000,160901000,128482000,128482000,86943000,5957000,382283000,98691000,437492000,112533000,320411000,4548000,536183000,918466000,143147000,76894000,66253000,157999000,209433000,84729000,38089000,46640000,294162000,452161000,266130000,-8807000,215998000,-7016000,466305000,466305000,918466000,3996000,5480000,970000,-8103000,2343000,7780000,-18561000,-10781000,-911000,11000,-922000,-911000,-9349000,-9349000,73000,-9276000,15159000,209833000,16889000,0.2384,0.04685,0.01934,0.00857,0.00435,4.22648,2.41953,0.96967,0.22846,0.1261,0.12389,6.51998,14.71551,0.53298,0.00525,0.0222,3.22792,5.05548
"30","2017_Q3",30.1763492063492,"Down",247627000,-185802000,61825000,-36895000,-36895000,24930000,-3903000,-3550000,-353000,21027000,21027000,-7853000,13174000,12769000,12769000,12769000,182379000,182379000,138871000,138871000,86065000,8351000,415666000,95869000,435923000,110325000,320848000,4750000,531792000,947458000,157396000,88007000,69389000,171759000,209229000,84567000,38203000,46364000,293796000,465555000,267922000,-8888000,228767000,-5898000,481903000,481903000,947458000,13174000,5526000,73000,604000,19377000,1724000,67000,1791000,155000,236000,-81000.0000000001,-245000,20923000,20923000,555000,21478000,30456000,209629000,40637000,0.24967,0.10068,0.05157,0.0265,0.01348,3.18247,2.42005,0.96608,0.22125,0.40269,0.39676,7.80936,15.19767,1.28156,0.01645,0.05236,0.89473,1.09306
