"","YQ","p","d","revenue","cost_of_revenue","cost_of_goods_services","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","notes_receivable_net","inventories","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","deferred_tax_assets_long_term","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","dividend_payout_ratio","net_debt_ebit"
"32","2018_Q1",9.60639344262295,"Down",4.1326e+10,-3.7371e+10,-3.5004e+10,3.955e+09,-3.088e+09,-3.088e+09,8.67e+08,1.005e+09,-3.08e+08,2.66e+08,1.047e+09,1.872e+09,1.872e+09,6.52e+08,2.524e+09,2.524e+09,-4e+06,2.52e+09,2.52e+09,3.8927e+10,1.8492e+10,2.0435e+10,6.2809e+10,1.0599e+10,5.221e+10,1.1176e+10,1.16801e+11,6.3562e+10,6.3562e+10,2.1951e+10,1.0762e+10,3.085e+09,8.104e+09,1.41695e+11,2.58496e+11,2.3282e+10,1.9697e+10,1.9697e+10,9.46e+10,1.02666e+11,2.5526e+10,8.15e+08,1.28192e+11,2.22792e+11,2.1884e+10,-1.253e+09,2.1906e+10,-6.959e+09,3.5578e+10,1.26e+08,3.5704e+10,2.58496e+11,3.147e+09,-2.113e+09,-7.2e+07,-1.63e+10,1.165e+10,-6.835e+09,-5.96e+08,-1.0062e+10,1.5217e+10,4.559e+09,8.71e+08,8.71e+08,4.7e+07,9.18e+08,1.54287e+11,0.0957,0.02098,0.06098,0.07058,0.00975,1.23468,6.23997,0.59686,0.63396,0.62937,10.39648,8.95044,0.14994,6,0.01446,0.23651,133.05652
"33","2018_Q2",9.936875,"Up",4.1959e+10,-3.8091e+10,-3.5753e+10,3.868e+09,-2.747e+09,-2.747e+09,1.121e+09,7.98e+08,-2.89e+08,2.24e+08,8.63e+08,1.919e+09,1.919e+09,-1.74e+08,1.745e+09,1.745e+09,-9e+06,1.736e+09,1.736e+09,4.0071e+10,1.794e+10,2.2131e+10,6.7066e+10,1.2386e+10,5.468e+10,1.2371e+10,1.23264e+11,6.4449e+10,6.4449e+10,2.2396e+10,1.0637e+10,3.213e+09,8.546e+09,1.43966e+11,2.6723e+11,2.548e+10,2.1415e+10,2.1415e+10,9.9878e+10,1.05351e+11,2.5467e+10,6.22e+08,1.30818e+11,2.30696e+11,2.1882e+10,-1.342e+09,2.2529e+10,-6.669e+09,3.64e+10,1.34e+08,3.6534e+10,2.6723e+11,3.514e+09,-1.779e+09,-1.827e+09,-1.5683e+10,1.2745e+10,-6.544e+09,-1.113e+09,-1.3269e+10,1.6885e+10,2.414e+09,-6.16e+08,-6.16e+08,1.15e+08,-5.01e+08,1.58334e+11,0.09219,0.02672,0.04137,0.04752,0.0065,1.23415,6.31456,0.5925,0.43684,0.43433,10.55838,9.15954,0.28007,6,0.01293,0.64113,105.49777
"34","2018_Q3",8.79571428571429,"Down",3.892e+10,-3.5556e+10,-3.3194e+10,3.364e+09,-2.778e+09,-2.778e+09,5.86e+08,7.63e+08,-3.01e+08,6e+07,1.004e+09,1.349e+09,1.349e+09,-2.8e+08,1.069e+09,1.069e+09,-3e+06,1.066e+09,1.066e+09,3.6476e+10,1.6828e+10,1.9648e+10,6.238e+10,1.1026e+10,5.1354e+10,1.2565e+10,1.15025e+11,6.4945e+10,6.4945e+10,2.1758e+10,1.0371e+10,3.087e+09,8.3e+09,1.43054e+11,2.58079e+11,2.2743e+10,2.1234e+10,2.1234e+10,9.4861e+10,1.01959e+11,2.4691e+10,5.84e+08,1.2665e+11,2.21511e+11,2.1994e+10,-1.342e+09,2.2993e+10,-7.204e+09,3.6441e+10,1.27e+08,3.6568e+10,2.58079e+11,4.972e+09,-1.909e+09,2.858e+09,-1.659e+10,1.3163e+10,-2.478e+09,-5.98e+08,-1.3765e+10,1.1157e+10,-3.206e+09,-7.12e+08,-7.12e+08,-4.04e+08,-1.116e+09,1.52843e+11,0.08643,0.01506,0.02739,0.02915,0.00413,1.21256,6.05751,0.59223,0.26797,0.26657,9.78381,9.16063,0.15033,4,0.00777,0.56098,198.5785
"35","2018_Q4",7.97285714285714,"Down",3.7666e+10,-3.392e+10,-3.1568e+10,3.746e+09,-2.882e+09,-2.882e+09,8.64e+08,2.3e+08,-3.43e+08,-3.2e+07,6.05e+08,1.094e+09,1.094e+09,-1.01e+08,9.93e+08,9.93e+08,-2e+06,9.91e+08,9.91e+08,3.6342e+10,1.8562e+10,1.778e+10,6.2062e+10,1.1244e+10,5.0818e+10,1.281e+10,1.14843e+11,6.5302e+10,6.5302e+10,2.1778e+10,1.0553e+10,2.858e+09,8.367e+09,1.44123e+11,2.58966e+11,2.3273e+10,2.0714e+10,2.0714e+10,9.475e+10,1.02668e+11,2.483e+10,6.02e+08,1.27498e+11,2.22248e+11,2.2052e+10,-1.417e+09,2.3384e+10,-7.429e+09,3.659e+10,1.28e+08,3.6718e+10,2.58966e+11,5.179e+09,-1.981e+09,1.763e+09,-1.5954e+10,1.2599e+10,-3.573e+09,-5.97e+08,-8.169e+09,8.985e+09,1.44e+08,1.75e+09,1.75e+09,-1.6e+07,1.734e+09,1.53431e+11,0.09945,0.02294,0.02631,0.02699,0.00383,1.21206,6.05284,0.59248,0.24925,0.24769,9.47334,9.20272,0.15015,4,0.00739,0.60242,135.51968
"36","2019_Q1",7.80672131147541,"Down",4.1793e+10,-2.8702e+10,-3.5754e+10,1.3091e+10,-1.2459e+10,-2.996e+09,6.32e+08,-6.49e+08,-2.95e+08,-1.29e+08,-2.25e+08,-1.7e+07,-1.7e+07,-9.5e+07,-1.12e+08,-1.12e+08,-4e+06,-1.16e+08,-1.16e+08,3.3951e+10,1.6718e+10,1.7233e+10,6.5548e+10,1.1195e+10,5.4353e+10,1.122e+10,1.14649e+11,6.5297e+10,6.5297e+10,2.105e+10,1.0412e+10,2.709e+09,7.929e+09,1.41891e+11,2.5654e+11,2.152e+10,2.0556e+10,2.0556e+10,9.5569e+10,1.0072e+11,2.4185e+10,5.97e+08,1.24905e+11,2.20474e+11,2.2047e+10,-1.417e+09,2.2668e+10,-7.366e+09,3.5932e+10,1.34e+08,3.6066e+10,2.5654e+11,1.357e+09,-2.116e+09,5.93e+08,-1.4697e+10,1.2554e+10,-3.666e+09,-5.97e+08,3.8342e+10,-3.7219e+10,5.26e+08,-1.783e+09,-1.783e+09,-64999999.9999999,-1.848e+09,1.54213e+11,0.31323,0.01512,-0.00278,-0.00322,-0.000449999999999999,1.19965,6.11307,0.60113,-0.02923,-0.02904,10.53251,9.05544,0.15045,5,0.00224,-5.14655,190.28797
"37","2019_Q2",9.11714285714286,"Up",4.0342e+10,-3.6297e+10,-3.3942e+10,4.045e+09,-2.843e+09,-2.843e+09,1.202e+09,4.08e+08,-2.45e+08,2.5e+07,6.28e+08,1.61e+09,1.61e+09,-4.27e+08,1.183e+09,1.183e+09,-3.7e+07,1.146e+09,1.146e+09,3.773e+10,2.0848e+10,1.6882e+10,6.746e+10,1.2016e+10,5.5444e+10,1.2333e+10,1.21195e+11,6.5374e+10,6.5374e+10,2.238e+10,1.0316e+10,2.605e+09,9.459e+09,1.42086e+11,2.63281e+11,2.3325e+10,2.1364e+10,2.1364e+10,9.9237e+10,1.02612e+11,2.4863e+10,6.47e+08,1.27475e+11,2.26712e+11,2.2067e+10,-1.394e+09,2.3226e+10,-7.501e+09,3.6398e+10,1.71e+08,3.6569e+10,2.63281e+11,3.544e+09,-1.633e+09,5.18e+08,-1.2595e+10,1.2376e+10,-1.334e+09,-5.97e+08,-1.2857e+10,1.5327e+10,1.873e+09,4.083e+09,4.083e+09,2.9e+07,4.112e+09,1.5716e+11,0.10027,0.0298,0.02841,0.03134,0.00435,1.22127,6.19957,0.59693,0.28845,0.28672,10.15404,9.16134,0.15026,5,0.00797,0.52094,99.3594
"38","2019_Q3",8.9178125,"Down",3.8853e+10,-3.6038e+10,-3.3657e+10,2.815e+09,-2.725e+09,-2.725e+09,9e+07,1.15e+08,-2.44e+08,8.7e+07,2.72e+08,2.05e+08,2.05e+08,-5.5e+07,1.5e+08,1.5e+08,-2e+06,1.48e+08,1.48e+08,3.8048e+10,2.2117e+10,1.5931e+10,6.4697e+10,1.0941e+10,5.3756e+10,1.2437e+10,1.18351e+11,3.6581e+10,3.6581e+10,2.3579e+10,1.0153e+10,2.637e+09,1.0789e+10,1.43833e+11,2.62184e+11,2.298e+10,2.2503e+10,2.2503e+10,9.8334e+10,1.03213e+11,2.4501e+10,4.69e+08,1.27714e+11,2.26048e+11,2.2152e+10,-1.388e+09,2.2769e+10,-7.436e+09,3.6097e+10,3.9e+07,3.6136e+10,2.62184e+11,6.463e+09,-1672780884.36583,432350172.387817,-13504905096.2408,11805110682.3181,-2.49e+09,-5.99e+08,-1.2839e+10,1.0757e+10,-2.681e+09,1.292e+09,1.292e+09,-5e+06,1.287e+09,1.56064e+11,0.07245,0.00232,0.00381,0.0041,0.00056,1.20356,6.25548,0.59525,0.03714,0.03688,9.74981,9.05822,0.15031,4,0.00345,4.0473,1311.28889
"39","2019_Q4",8.57875,"Down",3.699e+10,-3.465e+10,-3.2282e+10,2.34e+09,-2.601e+09,-2.601e+09,-2.61e+08,2.42e+08,-2.76e+08,-1.6e+07,5.34e+08,-1.9e+07,-1.9e+07,4.42e+08,4.23e+08,4.23e+08,2e+06,4.25e+08,4.25e+08,3.7331e+10,2.0523e+10,1.6808e+10,6.1804e+10,1.0621e+10,5.1183e+10,1.2451e+10,1.15754e+11,3.5404e+10,3.5404e+10,2.4017e+10,1.0677e+10,2.623e+09,1.0717e+10,1.42403e+11,2.58157e+11,2.2228e+10,2.2255e+10,2.2255e+10,9.9087e+10,9.9507e+10,2.4176e+10,4.47e+08,1.23683e+11,2.2277e+11,2.222e+10,-1.619e+09,2.259e+10,-7.842e+09,3.5349e+10,3.8e+07,3.5387e+10,2.58157e+11,4.732e+09,-2097560846.73891,56077148.4471142,-15423715161.2829,11447751893.2367,-4.547e+09,-5.98e+08,-1.0245e+10,9.448e+09,-1.632e+09,-1.447e+09,-1.447e+09,-1.78e+08,-1.625e+09,1.54111e+11,0.06326,-0.00706,0.01149,0.01201,0.00165,1.16821,6.29525,0.59697,0.10705,0.10604,9.31738,8.90403,0.15063,4,0.00479,1.40706,-447.43295
"40","2020_Q1",7.25693548387097,"Down",3.9715e+10,-2.7708e+10,-3.4812e+10,1.2007e+10,-1.2464e+10,-2.992e+09,-4.57e+08,-1.979e+09,-2.55e+08,-6.4e+07,-1.66e+09,-2.436e+09,-2.436e+09,7.64e+08,-1.672e+09,-1.672e+09,0,-1.672e+09,-1.672e+09,3.4651e+10,1.7504e+10,1.7147e+10,6.2888e+10,9.237e+09,5.3651e+10,1.0786e+10,1.14047e+11,3.6469e+10,3.6469e+10,2.5088e+10,1.1863e+10,2.519e+09,1.0706e+10,1.4449e+11,2.58537e+11,2.0673e+10,2.3513e+10,2.3513e+10,9.8132e+10,1.01361e+11,2.5814e+10,4.9e+08,1.27175e+11,2.25307e+11,2.2206e+10,-1.613e+09,2.032e+10,-7.728e+09,3.3185e+10,4.5e+07,3.323e+10,2.58537e+11,2.9e+09,-2.274e+09,-7.08e+08,-1.4434e+10,1.2066e+10,-5.35e+09,-5.95e+08,3.5664e+10,-3.5758e+10,-6.89e+08,-3.139e+09,-3.139e+09,1.99e+08,-2.94e+09,1.55307e+11,0.30233,-0.01151,-0.0421,-0.05032,-0.00647,1.16218,6.78023,0.60071,-0.42222,-0.41821,10.02904,8.38005,0.15025,3,-0.00502,-0.35586,-264.01751
"41","2020_Q2",5.39396825396825,"Down",3.432e+10,-3.0522e+10,-3.0522e+10,3.798e+09,-5.356e+09,-2.432e+09,-1.558e+09,4.12e+08,-2.27e+08,-4.1e+07,6.8e+08,-1.146e+09,-1.146e+09,-8.47e+08,-1.993e+09,-1.993e+09,955084.437596238,-1.993e+09,-1.993e+09,4.637e+10,2.5971e+10,2.0399e+10,6.1514e+10,6.625e+09,5.4889e+10,1.1312e+10,1.24276e+11,6.3808e+10,6.3808e+10,2.4925e+10,1.0922e+10,2.275e+09,1.1728e+10,1.39874e+11,2.6415e+11,1.8439e+10,2.3143e+10,2.3143e+10,9.4494e+10,1.14414e+11,2.5544e+10,4.39e+08,1.39958e+11,2.34452e+11,2.2191e+10,-1.607e+09,1.7527e+10,-8.461e+09,2.965e+10,4.8e+07,2.9698e+10,2.6415e+11,-4.73e+08,-1.78e+09,-3.246e+09,-1.0844e+10,1.2756e+10,-3.114e+09,-5.96e+08,1.3121e+10,-7.1e+07,1.2454e+10,8.867e+09,8.867e+09,-4.48e+08,8.419e+09,1.67326e+11,0.11066,-0.0454,-0.05807,-0.06711,-0.00754,1.31517,7.89454,0.63345,-0.5029,-0.5029,8.66011,7.48171,0.15039,4,-0.00628,-0.29905,-77.63543
"42","2020_Q3",6.595625,"Up",1.9371e+10,-1.7932e+10,-1.7932e+10,1.439e+09,-4.198e+09,-1.965e+09,-2.759e+09,3.843e+09,-4.5e+08,-2.5e+07,4.318e+09,1.084e+09,1.084e+09,3.4e+07,1.118e+09,1.118e+09,-1e+06,1.117e+09,1.117e+09,5.713e+10,3.0989e+10,2.6141e+10,5.1827e+10,9.107e+09,4.272e+10,1.022e+10,1.24111e+11,6.2992e+10,6.2992e+10,2.8276e+10,1.1066e+10,4.651e+09,1.2559e+10,1.45255e+11,2.69366e+11,1.636e+10,2.1076e+10,2.1076e+10,9.278e+10,1.19886e+11,2.5845e+10,4.54e+08,1.45731e+11,2.38511e+11,2.2251e+10,-1.601e+09,1.8645e+10,-8.471e+09,3.0824e+10,3.1e+07,3.0855e+10,2.69366e+11,9.115e+09,-1.175e+09,-5.574e+09,-1.4929e+10,1.0577e+10,-1.1101e+10,0,7.048e+09,-110999999.999992,6.937e+09,4.951e+09,4.951e+09,70000000.0000002,5.021e+09,1.7523e+11,0.07429,-0.14243,0.05766,0.0362,0.00415,1.33769,7.73006,0.65053,0.28101,0.28101,4.87321,7.75447,0,7,0.00482,0,-42.80536
"43","2020_Q4",8.15453125,"Up",3.7501e+10,-3.1223e+10,-3.1223e+10,6.278e+09,-3.927e+09,-2.266e+09,2.351e+09,4.05e+08,-4.98e+08,5.8e+07,8.45e+08,2.756e+09,2.756e+09,-3.66e+08,2.39e+09,2.39e+09,-5e+06,2.385e+09,2.385e+09,4.4831e+10,2.4263e+10,2.0568e+10,5.1961e+10,1.0114e+10,4.1847e+10,1.0583e+10,1.11765e+11,6.4013e+10,6.4013e+10,2.8506e+10,1.0907e+10,4.741e+09,1.2858e+10,1.48178e+11,2.59943e+11,2.1466e+10,2.0698e+10,2.0698e+10,9.3159e+10,1.0628e+11,2.7343e+10,5.17e+08,1.33623e+11,2.26782e+11,2.2303e+10,-1.596e+09,2.1031e+10,-8.613e+09,3.3125e+10,3.6e+07,3.3161e+10,2.59943e+11,1.1088e+10,-1.256e+09,5.821e+09,-1.636e+10,1.314e+10,1.345e+09,5.96046447753906e-08,-1.93e+10,-6e+07,-1.936e+10,-6.927e+09,-6.927e+09,2.18e+08,-6.709e+09,1.57275e+11,0.16741,0.06269,0.0636,0.07192,0.00918,1.19972,6.83882,0.60504,0.6,0.58845,9.43421,8.33333,0,7,0.01095,0,47.82816
"44","2021_Q1",11.1444262295082,"Up",3.5952e+10,-3.3075e+10,-3.3075e+10,2.877e+09,-5.319e+09,-3.53e+09,-2.442e+09,-1.368e+09,-4.74e+08,5e+07,-9.44e+08,-3.81e+09,-3.81e+09,1.019e+09,-2.791e+09,-2.791e+09,3e+06,-2.788e+09,-2.788e+09,4.9961e+10,2.5243e+10,2.4718e+10,5.2394e+10,9.993e+09,4.2401e+10,1.0808e+10,1.16744e+11,3.7083e+10,3.7083e+10,5.8157e+10,1.2423e+10,4.901e+09,4.0833e+10,1.50517e+11,2.67261e+11,2.2204e+10,2.3645e+10,2.3645e+10,9.7192e+10,1.10341e+11,2.8917e+10,5.38e+08,1.39258e+11,2.3645e+11,2.2331e+10,-1.59e+09,1.8243e+10,-8.294e+09,3.069e+10,1.21e+08,3.0811e+10,2.67261e+11,4.539e+09,-1.531e+09,-4.23e+09,-1.2428e+10,1.2444e+10,-5.745e+09,0,2.226e+09,5.8e+07,2.284e+09,1.078e+09,1.078e+09,3.85e+08,1.463e+09,1.61684e+11,0.08002,-0.06792,-0.07755,-0.09049,-0.01043,1.20117,7.67421,0.60497,-0.70068,-0.71469,9.03544,7.71299,0,4,-0.01259,0,-45.75061
"45","2021_Q2",12.9465079365079,"Up",3.6228e+10,-2.9297e+10,-2.9297e+10,6.931e+09,-4.467e+09,-2.843e+09,2.464e+09,1.478e+09,-4.73e+08,7.9e+07,1.872e+09,3.942e+09,3.942e+09,-6.8e+08,3.262e+09,3.262e+09,7181146.48520181,3.262e+09,3.262e+09,4.6107e+10,2.1826e+10,2.4281e+10,5.1112e+10,1.0448e+10,4.0664e+10,1.2742e+10,1.13932e+11,3.6361e+10,3.6361e+10,3.0145e+10,1.2103e+10,4.694e+09,1.3348e+10,1.46887e+11,2.60819e+11,2.3492e+10,2.1286e+10,2.1286e+10,9.4249e+10,1.03201e+11,2.9395e+10,6.88e+08,1.32596e+11,2.26845e+11,2.2281e+10,-1.585e+09,2.1502e+10,-8.37e+09,3.3828e+10,1.46e+08,3.3974e+10,2.60819e+11,4.492e+09,-1.368e+09,1.06e+08,-1.1695e+10,1.2466e+10,-4.91e+08,-3000000.00000001,-7.688e+09,-1.02e+08,-7.793e+09,-3.792e+09,-3.792e+09,-9.3e+07,-3.885e+09,1.52672e+11,0.19132,0.06801,0.09004,0.09601,0.01251,1.20884,6.67702,0.58536,0.8196,0.81225,9.10251,8.4995,0.00075,7,0.01511,0.000920000000000001,43.24878
"46","2021_Q3",13.2478125,"Up",2.6752e+10,-2.2904e+10,-2.2904e+10,3.848e+09,-3.87e+09,-2.877e+09,-2.2e+07,7.57e+08,-4.53e+08,5.1e+07,1.159e+09,734999999.999999,734999999.999999,-1.82e+08,553000000.000001,553000000.000001,8e+06,5.61e+08,5.61e+08,4.1036e+10,2.2955e+10,1.8081e+10,4.3089e+10,8.75e+09,3.4339e+10,1.3593e+10,1.01275e+11,3.6723e+10,3.6723e+10,3.1136e+10,1.2271e+10,4.582e+09,1.4283e+10,1.47257e+11,2.48532e+11,1.8593e+10,1.8869e+10,1.8869e+10,8.3474e+10,1.00905e+11,2.9369e+10,7.83e+08,1.30274e+11,2.13748e+11,2.2449e+10,-1.579e+09,2.2062e+10,-8.268e+09,3.4664e+10,1.2e+08,3.4784e+10,2.48532e+11,-2.125e+09,1.368e+09,6.154e+09,-1.212e+10,1.4148e+10,9.55e+09,0,-6.417e+09,1.2e+07,-6.405e+09,1.02e+09,1.02e+09,9.2e+07,1.112e+09,1.46917e+11,0.14384,-0.000820000000000001,0.02097,0.01613,0.00226,1.21325,6.14501,0.59114,0.14095,0.13969,6.72161,8.70955,0,4,0.00266000000000001,0,-4812.77273
"47","2021_Q4",17.970625,"Up",3.5683e+10,-3.0057e+10,-3.0057e+10,5.626e+09,-4.284e+09,-2.947e+09,1.342e+09,5.43e+08,-4.39e+08,1.3e+08,8.52e+08,1.885e+09,1.885e+09,-6.3e+07,1.822e+09,1.822e+09,1e+07,1.832e+09,1.832e+09,4.6426e+10,2.7429e+10,1.8997e+10,4.3451e+10,1.0851e+10,3.26e+10,1.3508e+10,1.06968e+11,6.3337e+10,6.3337e+10,3.1533e+10,1.1891e+10,4.628e+09,1.5014e+10,1.45709e+11,2.52677e+11,2.2923e+10,1.8787e+10,1.8787e+10,8.9033e+10,9.7249e+10,2.9691e+10,8.83e+08,1.2694e+11,2.15973e+11,2.2518e+10,-1.574e+09,2.3894e+10,-8.245e+09,3.6593e+10,1.11e+08,3.6704e+10,2.52677e+11,9.889e+09,-4.455e+09,-1.064e+09,-1.0733e+10,1.2201e+10,-4.051e+09,-1.49011611938477e-08,-1.149e+09,-7.3e+07,-1.222e+09,4.616e+09,4.616e+09,-1.54e+08,4.462e+09,1.44572e+11,0.15767,0.03761,0.05134,0.04991,0.00725,1.20144,5.88418,0.57216,0.45926,0.45493,8.94535,9.17348,3.46944695195361e-18,6,0.00868,-3.46944695195361e-18,73.13413
"48","2022_Q1",18.6761290322581,"Up",3.7678e+10,-3.2393e+10,-3.2393e+10,5.285e+09,-4.546e+09,-3.248e+09,7.39e+08,1.0479e+10,-4.38e+08,6.7e+07,1.085e+10,1.1218e+10,1.1218e+10,1.055e+09,1.2273e+10,1.2273e+10,9e+06,1.2282e+10,1.2282e+10,4.9593e+10,2.054e+10,2.9053e+10,4.3913e+10,1.137e+10,3.2543e+10,1.2065e+10,1.08996e+11,6.35e+10,6.35e+10,3.3283e+10,1.3796e+10,4.545e+09,1.4942e+10,1.48039e+11,2.57035e+11,2.2349e+10,1.8686e+10,1.8686e+10,9.0727e+10,8.84e+10,2.9286e+10,1.581e+09,1.17686e+11,2.08413e+11,2.2652e+10,-1.563e+09,3.5769e+10,-8.339e+09,4.8519e+10,1.03e+08,4.8622e+10,2.57035e+11,3.531e+09,-1.772e+09,5.42e+08,-1.3686e+10,1.2653e+10,-2.263e+09,-4e+08,-7.736e+09,5.8e+07,-8.078e+09,-6.81e+09,-6.81e+09,-7.7e+07,-6.887e+09,1.38092e+11,0.14027,0.01961,0.32597,0.2526,0.04778,1.20136,4.28639,0.53725,3.06055,3.02289,9.38899,12.09046,0.09968,7,0.05871,0.03257,119.75507
"49","2022_Q2",13.5372580645161,"Down",3.4476e+10,-2.9036e+10,-2.9036e+10,5.44e+09,-4.097e+09,-2.74e+09,1.343e+09,-5.191e+09,-3.08e+08,-3.3e+07,-4.85e+09,-3.848e+09,-3.848e+09,7.29e+08,-3.119e+09,-3.119e+09,9e+06,-3.11e+09,-3.11e+09,4.1228e+10,2.1013e+10,2.0215e+10,4.5806e+10,1.3031e+10,3.2775e+10,1.4647e+10,1.06142e+11,6.2171e+10,6.2171e+10,3.4673e+10,1.4991e+10,4.306e+09,1.5376e+10,1.46844e+11,2.52986e+11,2.3256e+10,1.881e+10,1.881e+10,9.0352e+10,8.7315e+10,3.0235e+10,1.734e+09,1.1755e+11,2.07902e+11,2.2592e+10,-1.564e+09,3.2251e+10,-8.294e+09,4.4985e+10,9.9e+07,4.5084e+10,2.52986e+11,-1.084e+09,-1.37e+09,2.796e+09,-1.0278e+10,1.2167e+10,3.315e+09,-4.05e+08,-1.1e+09,-1.56e+08,-1.661e+09,5.7e+08,5.7e+08,-2.4e+07,5.46e+08,1.35601e+11,0.15779,0.03895,-0.09021,-0.06898,-0.01229,1.17476,4.61144,0.536,-0.77847,-0.77056,8.62979,11.26033,0.10138,2,-0.01282,-0.13023,70.27029
"50","2022_Q3",14.139387755102,"Up",4.019e+10,-3.3191e+10,-3.3191e+10,6.999e+09,-4.131e+09,-2.759e+09,2.868e+09,-2.077e+09,-3.12e+08,5.8e+07,-1.823e+09,7.91e+08,7.91e+08,-1.53e+08,6.38e+08,6.38e+08,2.9e+07,6.67e+08,6.67e+08,3.67e+10,1.9516e+10,1.7184e+10,4.5753e+10,1.5037e+10,3.0716e+10,1.3976e+10,1.00469e+11,6.0695e+10,6.0695e+10,3.4848e+10,1.5045e+10,4.196e+09,1.5607e+10,1.45286e+11,2.45755e+11,2.3378e+10,1.9255e+10,1.9255e+10,8.6452e+10,8.5008e+10,3.0058e+10,1.837e+09,1.15066e+11,2.01518e+11,2.2695e+10,-1.564e+09,3.2511e+10,-9.473e+09,4.4169e+10,6.8e+07,4.4237e+10,2.45755e+11,-1.22e+08,1.37e+09,3.96e+08,-1.0471e+10,1.2601e+10,3.896e+09,-4.02e+08,-4.134e+09,-42999999.9999999,-4.579e+09,-804999999.999998,-804999999.999998,-3.44e+08,-1.149e+09,1.28827e+11,0.17415,0.07136,0.0166,0.01508,0.00271000000000001,1.16214,4.55542,0.52421,0.16696,0.16526,10.06008,11.05607,0.10063,5,0.00526,0.6027,32.12238
