"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2016_Q3",22.61359375,"Up",208776000,-22604000,186172000,-65355000,-22261000,-27019000,-16075000,120817000,-45282000,-45282000,75535000,75535000,-2271000,73264000,73264000,73264000,73264000,23739000,23739000,2752905000,2803919000,4184877000,160266000,71875000,4345143000,7149062000,49471000,244000,29975000,19252000,199620000,64329000,249196000,4513347000,4513694000,4762890000,3649171000,-1262999000,2386172000,2386172000,7149062000,73264000,28560000,20852000,-16192000,106484000,-838000,-2928265000,-113452000,2071974000,-31199000,2783959000,-37822000,-37822000,-37822000,149377000,4513452000,134618000,0.89173,0.57869,0.35092,0.0307,0.01025,1.83744,11.25186,1.99604,0.63133,0.39825,0.39182,1.13487,12.97079,0.73176,0.6167,0.02706,0.01951,1.54854,30.05625,37.16127
"12","2016_Q4",20.8465079365079,"Down",234640000,-21482000,213158000,-69852000,-21821000,-27165000,-20866000,143306000,-52399000,-52399000,90907000,90907000,-1307000,89600000,89600000,89600000,89600000,25359000,25359000,2738227000,2790324000,4483225000,147771000,59289000,4630996000,7421320000,89466000,588000,73367000,15511000,220246000,70439000,309818000,4661577000,4661842000,4971660000,3747576000,-1297916000,2449660000,2449660000,7421320000,89600000,29476000,21797000,54230000,195103000,347000,-307745000,-124517000,144975000,0,114262000,1620000,1620000,1620000,172782000,4661683000,228666000,0.90845,0.61075,0.38186,0.03658,0.01207,2.55208,9.00633,2.02953,0.62815,0.43532,0.43103,1.13999,11.90161,1.11097,0.60496,0.03011,0.03215,1.3897,26.83337,32.35262
"13","2017_Q1",21.4404838709677,"Up",234638000,-16009000,218629000,-69766000,-6380000,-28287000,-35099000,148863000,-53208000,-53208000,95655000,95655000,-1963000,93692000,93692000,93692000,93692000,36556000,36556000,2718188000,2780944000,4449276000,139110000,50090000,4588386000,7369330000,52031000,1079000,33743000,17209000,218200000,52148000,270231000,4664965000,4665230000,4935461000,3762806000,-1328937000,2433869000,2433869000,7369330000,93692000,30598000,23476000,-38841000,108925000,-1422000,16251000,-124713000,-28000,-2999.99999999627,-113979000,11197000,11197000,11197000,179461000,4664965000,141161000,0.93177,0.63444,0.3993,0.0385,0.01271,1.50665,10.29099,2.02783,0.63302,0.45063,0.44869,1.12853,11.70613,0.67894,0.59983,0.03077,0.01988,1.3311,25.79061,31.09174
"14","2017_Q2",24.7849206349206,"Up",242713000,-21076000,221637000,-71631000,-16056000,-28257000,-27318000,150006000,-53485000,-53485000,96521000,96521000,-2530000,93991000,93991000,93991000,93991000,23361000,23361000,2701221000,2737582000,4419084000,157733000,67957000,4576817000,7314399000,88972000,955000,75671000,12346000,244633000,62336000,333605000,4573194000,4573458000,4907063000,3771583000,-1364247000,2407336000,2407336000,7314399000,93991000,30568000,23348000,36782000,184689000,-490000,22092999.9999999,-129301000,-95132000.0000001,0,-219977000,-13195000,-13195000,-13195000,180574000,4573194000,219396000,0.91316,0.61804,0.38725,0.03904,0.01285,2.33422,8.20606,2.03838,0.62523,0.45214,0.44859,1.16756,11.58041,1.0554,0.622,0.03199,0.03143,1.37567,25.1965,30.33101
"15","2017_Q3",26.5877777777778,"Up",243391000,-20669000,222722000,-70026000,-14656000,-28423000,-26947000,152696000,-54170000,-54170000,98526000,98526000,-2192000,96334000,96334000,96334000,96334000,29510000,29510000,2679245000,2721755000,4472326000,163139000,72795000,4635465000,7357220000,45798000,432000,33172000,12194000,270938000,72148000,316736000,4521423000,4521717000,4838453000,3918450000,-1399683000,2518767000,2518767000,7357220000,96334000,31012000,22973000,-42768000,107551000,-1294000,-57698000,-131770000,-54923000,8065000,-43704000,6149000,6149000,6149000,183708000,4521423000,141838000,0.91508,0.62737,0.3958,0.03825,0.01309,1.47236,8.59313,1.92096,0.61456,0.45929,0.45483,1.1604,12.0086,0.67623,0.62823,0.0324,0.02015,1.36785,24.45137,29.41736
"16","2017_Q4",26.0963492063492,"Down",244506000,-19890000,224616000,-71917000,-15117000,-28632000,-28168000,152699000,-54001000,-54001000,98698000,98698000,-1684000,97014000,97014000,97014000,97014000,43634000,43634000,2666014000,2722648000,4440426000,171734000,80738000,4612160000,7334808000,91277000,435000,75881000,14961000,300495000,85088000,391772000,4449652000,4449932000,4841704000,3929912000,-1436808000,2493104000,2493104000,7334808000,97014000,31359000,23324000,45167000,196864000,433000,18661000,-134139000,-75028000,7732000,-201401000,14124000,14124000,14124000,184058000,4449652000,231342000,0.91865,0.62452,0.39678,0.03891,0.01323,2.38462,6.94957,1.94204,0.60665,0.45654,0.45217,1.15062,11.73225,1.08867,0.63124,0.03329,0.03332,1.38268,23.9382,28.85427
"17","2018_Q1",25.2290163934426,"Down",240697000,-18852000,221845000,-71728000,-17322000,-28168000,-26238000,150117000,-53477000,-53477000,96640000,96640000,-3381000,93259000,93259000,93259000,93259000,29054000,29054000,2650569000,2692623000,4410486000,143773000,58675000,4554259000,7246882000,52678000,715000,33241000,18722000,292833000,60810000,345511000,4442880000,4443124000,4788635000,3935956000,-1477709000,2458247000,2458247000,7246882000,93259000,30896000,24957000,-39505000,109607000,-971000,17642000,-134160000,-10029000,2360000,-141829000,-14580000,-14580000,-14580000,181013000,4442880000,143918000,0.92168,0.62368,0.38745,0.03794,0.01287,1.54321,7.79316,1.94799,0.61307,0.43847,0.43351,1.13166,11.55772,0.67665,0.63077,0.03295,0.02085,1.43857,24.38403,29.40257
"18","2018_Q2",25.70453125,"Up",244050000,-19658000,224392000,-72541000,-16460000,-27954000,-28127000,151851000,-53587000,-53587000,98264000,98264000,-1492000,96772000,96772000,96772000,96772000,45420000,45420000,2632222000,2690642000,4380629000,149176000,64078000,4529805000,7220447000,85359000,492000,75479000,9388000,316854000,68214000,402213000,4401107000,4401386000,4803599000,3932912000,-1516064000,2416848000,2416848000,7220447000,96772000,30681000,24025000,34278000,185756000,-822000,17387000,-134717000,-45029000,-7031000,-186777000,16366000,16366000,16366000,182532000,4401107000,217480000,0.91945,0.62221,0.39653,0.04004,0.0134,2.24734,6.68959,1.98755,0.60953,0.45368,0.45077,1.14414,11.33053,1.01958,0.63157,0.03395,0.0319,1.39211,23.86259,28.68395
"19","2018_Q3",26.7498412698413,"Up",254221000,-20407000,233814000,-80573000,-24806000,-27523000,-28244000,153241000,-56164000,-56164000,97077000,93604000,-1606000,91998000,91998000,91998000,91998000,144472000,144472000,2617586000,2775555000,4351100000,161905000,76807000,4513005000,7288560000,60656000,461000,35608000,24587000,342135000,76879000,402791000,4506744000,4507001000,4909792000,3937654000,-1558886000,2378768000,2378768000,7288560000,91998000,30251000,23688000,-26071000,119866000,-949000,10081000,-134820000,121428000,-17503000,-30895000,99052000,99052000,99052000,183492000,4506744000,158078000,0.91973,0.60279,0.36188,0.03867,0.01262,1.71828,6.89081,2.06401,0.61833,0.43074,0.42877,1.19029,11.13765,0.74014,0.63124,0.03294,0.02296,1.46547,23.77364,28.46674
"20","2018_Q4",26.0044444444444,"Down",254139000,-18962000,235177000,-70343000,-15006000,-27267000,-28070000,164834000,-58923000,-58923000,105911000,105911000,-1096000,104815000,104815000,104815000,104815000,1162774000,1162774000,2615432000,3792197000,4319034000,184667000,99569000,4503701000,8295898000,117688000,1851000,92093000,23744000,370388000,89214000,488076000,5449147000,5449426000,5937502000,3947532000,-1589136000,2358396000,2358396000,8295898000,104815000,29994000,21130000,56657000,212596000,1943000,-5606999.99999988,-135065000,950919000,-4541000,811313000,1018302000,1018302000,1018302000,194828000,5449147000,254524000,0.92539,0.6486,0.41243,0.04444,0.01263,2.42832,7.76969,2.5176,0.65685,0.49007,0.4878,1.18825,11.02693,1.19005,0.63151,0.03072,0.0326,1.2886,22.00081,26.00418
"21","2019_Q1",28.5609836065574,"Up",303317000,-18100000,285217000,-101570000,-14547000,-54349000,-32674000,183647000,-77183000,-77183000,106464000,46701000,-770000,45931000,45931000,45931000,45931000,25783000,25783000,334651000,373434000,8105551000,98308000,67486000,8203859000,8577293000,95079000,2511000,45261000,47307000,362849000,68938000,457928000,5853497000,5853758000,6311686000,3954645000,-1689038000,2265607000,2265607000,8577293000,45931000,57439000,79078000,-46233000,136215000,-1265000,-1531645000,-145833000,401970000,2302000,258439000,-1136991000,-1136991000,-1136991000,241086000,5853497000,194358000,0.94033,0.60546,0.15143,0.02027,0.00535,4.23152,0.81549,2.78587,0.68244,0.21451,0.21363,1.41657,10.58097,0.9077,0.68108,0.02362,0.02394,3.17505,24.17276,31.73324
"22","2019_Q2",31.6292063492063,"Up",287864000,-19022000,268842000,-85067000,-17240000,-58578000,-9249000,183775000,-76639000,-76639000,107136000,94136000,-1126000,93010000,93010000,93010000,93010000,30333999.9999999,30333999.9999999,307146000,337480000,7374109000,935243000,904071000,8309352000,8646832000,112372000,702000,98223000,13447000,531396000,228841000,643768000,5795122000,5795380000,6439148000,3949914000,-1742230000,2207684000,2207684000,8646832000,93010000,61668000,28619000,38126000,221423000,-347999.999999999,-347999.999999523,-146202000,-61030000,-9292000,-216524000,4551000.00000048,4550999.99999976,4550999.99999976,245443000,5795122000,284347000,0.93392,0.63841,0.3231,0.04213,0.01076,3.05717,0.524230000000001,2.9167,0.6702,0.43336,0.43203,1.34124,10.28619,1.32485,0.68119,0.02989,0.03553,1.5719,23.48728,31.36873
"23","2019_Q3",31.219375,"Down",289013000,-19168000,269845000,-99078000,-15984000,-67865000,-15229000,170767000,-76275000,-76275000,94492000,94492000,-1459000,93033000,93033000,93033000,93033000,24739000,24739000,306627000,331366000,7307247000,925251000,893886000,8232498000,8563864000,68409000,171000,53340000,14898000,539545000,228347000,607954000,5796990000,5797223000,6405177000,3954096000,-1795409000,2158687000,2158687000,8563864000,93033000,77271000,15513000,-43159000,142658000,-1009000,-1009000,-146212000,-1031000,-1000,-147244000,-5595000,-5595000,-5595000,248038000,5796990000,205329000,0.93368,0.59086,0.3219,0.0431,0.01086,2.20706,0.54505,2.96716,0.67691,0.43339,0.4312,1.34635,10.05612,0.95651,0.68112,0.03007,0.02581,1.57161,23.27164,33.80191
"24","2019_Q4",33.9215625,"Up",287612000,-18549000,269063000,-81438000,-15042000,-57302000,-9094000,187625000,-74876000,-74876000,112749000,91735000,-1188000,90547000,90547000,90547000,90547000,25556000,25556000,306349000,331905000,7250597000,922250000,890794000,8172847000,8504752000,101553000,166000,84456000,16931000,547169000,227328000,648722000,5749136000,5749398000,6398120000,3957702000,-1851070000,2106632000,2106632000,8504752000,90547000,60322000,36284000,32452000,219605000,-689000,-689000,-146208000,-43004000,-28648000,-218099000,817000.00000006,816999.99999994,816999.99999994,247947000,5749136000,280898000,0.93551,0.65235,0.31482,0.04298,0.01065,3.10223,0.51163,3.03713,0.67599,0.42177,0.42191,1.3397,9.81271,1.30843,0.68104,0.03014,0.03576,1.61472,23.08388,30.50542
"25","2020_Q1",34.4453225806452,"Up",288984000,-17961000,271023000,-82675000,-17119000,-56690000,-8866000,188348000,-72974000,-72974000,115374000,115282000,-991000,114291000,114291000,114291000,114291000,26823000,26823000,307912000,334735000,7194635000,904928000,873228000,8099563000,8434298000,81761000,1006000,60695000,20060000,540051000,211566000,621812000,5737962000,5738241000,6360053000,3961530000,-1887285000,2074245000,2074245000,8434298000,114291000,59710000,15162000,-22547000,166616000,-771000,-771000,-150506000,-32910000,18854000,-164578000,1267000,1267000,1267000,248058000,5737962000,225731000,0.93785,0.65176,0.39549,0.0551,0.01355,1.97505,0.53832,3.0662,0.68031,0.53234,0.5255,1.34603,9.6614,1.05141,0.70103,0.03389,0.02889,1.31687,23.0234,30.32227
"26","2020_Q2",26.5795238095238,"Down",283482000,-16503000,266979000,-80628000,-15987000,-56563000,-8078000,186351000,-71808000,-71808000,114543000,97213000,-319000,96894000,96894000,96894000,96894000,559545000,559545000,308228000,867773000,7138719000,892669000,861496000,8031388000,8899161000,87055000,339000,77564000,9152000,543755000,206626000,630810000,6255714000,6256046000,6886856000,3953492000,-1941187000,2012305000,2012305000,8899161000,96894000,59583000,33017000,9291000,198785000,-646000,-646000,-150796000,513394000,-28325000,334583000,532722000,532722000,532722000,245934000,6255714000,254898000,0.94178,0.65736,0.3418,0.04815,0.01089,2.63069,1.37565,3.42237,0.70296,0.45048,0.44973,1.31797,9.35564,1.18508,0.70108,0.02996,0.03083,1.5563,23.16137,30.56688
"27","2020_Q3",31.40796875,"Up",261968000,-4858000,257110000,-76402000,-13231000,-57390000,-5781000,180708000,-69201000,-69201000,111507000,111510000,840000,112350000,112350000,112350000,112350000,74050000,74050000,555297000,629347000,7140296000,895782000,863577000,8036078000,8665425000,66799000,1124000,58150000,7525000,727224000,211729000,794023000,5768330000,5768637000,6562660000,3957471000,-1854706000,2102765000,2102765000,8665425000,112350000,60410000,7276000,-149108000,30928000,-488000,-488000,-25869000,-480497000,-9485999.99999999,-515935000,-485495000,-485495000,-485495000,241118000,5768330000,90682000,0.98146,0.68981,0.42887,0.05343,0.01297,0.80714,0.79261,3.12097,0.66567,0.52191,0.51945,1.21695,9.76822,0.42126,0.12017,0.01756,0.01152,0.23025,23.61615,31.51095
"28","2020_Q4",35.48703125,"Up",307554000,-18175000,289379000,-88674000,-22510000,-58080000,-8084000,200705000,-70157000,-70157000,130548000,129765000,-2639000,127126000,127126000,127126000,127126000,105894000,105894000,307968000,413862000,7329630000,893491000,862193000,8223121000,8636983000,93093000,842000,83165000,9086000,582028000,213178000,675121000,5752252000,5752586000,6427707000,3963068000,-1753792000,2209276000,2209276000,8636983000,127126000,61101000,7811000.00000001,-115220000,80818000,-480000.000000002,-480000,-26212000,-29005000,6773000,-48494000,31844000,31843999.9999999,31843999.9999999,261806000,5752252000,148745000,0.9409,0.65258,0.41335,0.05754,0.01472,1.17006,0.61302,2.90942,0.666,0.58298,0.58048,1.41038,10.13132,0.68212,0.1202,0.01926,0.01868,0.20619,21.56695,28.13262
"29","2021_Q1",37.7149180327869,"Up",300161000,-17162000,282999000,-82882000,-16844000,-58940000,-7098000,200117000,-70407000,-70407000,129710000,171100000,-1759000,169341000,169341000,169341000,169341000,486451000,486451000,366279000,852730000,7367776000,813862000,813862000,8181638000,9034368000,78907000,375000,72285000,6247000,525395000,192334000,604302000,5754689000,5755048000,6359350000,4287114000,-1612096000,2675018000,2675018000,9034368000,169341000,61901000,-373350000,259654000,117546000,-1975000,-7873000,-27645000,-4140000,4104000,293015000,402688000,380557000,380557000,262018000,5754689000,521456000,0.94282,0.6667,0.56417,0.0633,0.01874,3.07933,1.4111,2.37731,0.63698,0.7465,0.74157,1.32318,11.79212,2.2987,0.12187,0.02337,0.06186,0.16325,20.1064,26.32579
"30","2021_Q2",41.5247619047619,"Up",301543000,-19926000,281617000,-81516000,-16082000,-58701000,-6733000,200101000,-70289000,-70289000,129812000,129812000,-2628000,127184000,127184000,127184000,127184000,520740000,520740000,375806000,896546000,7310688000,806256000,800672000,8116944000,9013490000,85828000,168000,81558000,4102000,523495000,191262000,609323000,5757125000,5757524000,6366847000,4283051000,-1636408000,2646643000,2646643000,9013490000,127184000,61544000,7618000,8862000.00000006,205208000,-1044000.00000003,-1044000,-151496000,-33000.0000000149,-9756000,-161380000,42784000,34289000,34289000,261645000,5757125000,272091000,0.93392,0.66359,0.42178,0.04805,0.01411,2.13935,1.47138,2.40563,0.63872,0.54638,0.54477,1.29543,11.36996,1.1689,0.65083,0.03316,0.03238,1.19116,20.01332,26.16871
"31","2021_Q3",43.68296875,"Up",317761000,-22382000,295379000,-83162000,-16821000,-58150000,-8191000,212217000,-70359000,-70359000,141858000,141765000,-3549000,138216000,138216000,138216000,138216000,147594000,147594000,145091000,292685000,7899147000,907487000,901819000,8806634000,9099319000,76754000,585000,70598000,5571000,560893000,229488000,637647000,5759561000,5759941000,6397588000,4356986000,-1655255000,2701731000,2701731000,9099319000,138216000,61156000,5240000,-7249000,197363000,-488784000,-488784000,-157063000,-34000,-1.86264514923096e-09,-86774000,-378195000,-373146000,-373146000,273373000,5759561000,-219111000,0.92956,0.66785,0.43497,0.05116,0.01519,-1.58528,0.45901,2.36796,0.63297,0.59378,0.59202,1.3651,11.60662,-0.9413,0.67474,0.0349,-0.02589,1.13636,20.52861,26.44447
"32","2021_Q4",44.19140625,"Up",298712000,-15180000,283532000,-73248000,-13066000,-60182000,-17510703.5450108,210284000,-70426000,-70426000,139858000,154673000,-5614000,149059000,149059000,149059000,149059000,423224000,423224000,118927000,542151000,7837819000,904803000,897029000,8742622000,9284773000,90622000,151999.999999998,81440000,9030000,554415000,223898000,645037000,5761997000,5761997000,6407034000,4543538000,-1665799000,2877739000,2877739000,9284773000,149059000,63504000,-11934000,12784000,213413000,488659000,31991000.0000001,-159603000,-34000,-81000,23130000.0000001,268534000,275630000,275630000,273788000,5761997000,780845000,0.94918,0.70397,0.49901,0.0518,0.01605,5.2385,0.8405,2.22641,0.62059,0.63762,0.63542,1.27779,12.30997,3.34018,0.68273,0.03573,0.09038,1.07074,19.49966,25.38839
