"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"14","2014_Q1",1.66622950819672,"Up",1217000,-52999.9999999999,1164000,-5181000,-2121000,-3060000,-4017000,-375000,-375000,-4392000,-2421000,-2421000,-2421000,-2421000,-2421000,5375000,5375000,336000,336000,5784000,1065000,1598000,1145000,453000,2663000,8447000,4080000,1610000,2470000,5582000,9662000,481000,481000,481000,10143000,449013000,-450709000,-1696000,-1696000,8447000,-2421000,236000,-613000,89999.9999999999,-2708000,-102000,-103000,-120999.999999999,-120999.999999999,-135000,-2946000,-2946000,-2946000,-3781000,0,0.95645,-3.30074,-1.98932,1.42748000000001,-0.28661,0.59863,-5.98054,0,-0.07593,-0.07593,0.03817,-0.05319,1.99259,1.42158,1.33806
"15","2014_Q2",1.81873015873016,"Up",1219000,1000,1220000,-4502000,-1959000,-2543000,-3282000,4000,4000,-3278000,-8018000,-8018000,-8018000,-8018000,-8018000,15338000,15338000,256000,256000,15778000,924000,1565000,1112000,453000,2489000,18267000,4069000,1369000,2700000,347000,4421000,533000,533000,533000,4954000,472040000,-458727000,13313000,13313000,18267000,-8018000,191000,5257000,-361000,-2931000,-77000,-77000,12981000,12981000,12971000,9963000,9963000,9963000,-3091000,5000,1.00082,-2.69237,-6.57752,-0.60227,-0.43893,3.56888,0.37212,0.00027,-0.23012,-0.23012,0.03499,0.3821,-0.57888,4.96053,4.67185
"16","2014_Q3",2.04359375,"Up",611000,-168000,443000,-4077000,-1841000,-2236000,-3634000,5000,5000,-3629000,-3401000,-3401000,-3401000,-3401000,-3401000,12464000,12464000,547000,547000,13096000,893000,1532000,1079000,453000,2425000,15521000,3833000,1715000,2118000,120000,3953000,557000,557000,557000,4510000,473139000,-462128000,11011000,11011000,15521000,-3401000,125000,182000.000000001,-641000,-3735000,-4000,-4000,870000,870000,865000,-2874000,-2874000,-2874000,-3509000,0,0.72504,-5.94763,-5.56628,-0.30887,-0.21912,3.31293,0.409590000000001,1.0842021724855e-19,-0.07907,-0.07907,0.0142,0.25598,-0.293999999999999,3.55201,3.42983
"17","2014_Q4",1.77375,"Down",968000,-368000,6e+05,-3956000,-1587000,-2369000,-3356000,1000,1000,-3355000,-3355000,-3355000,-3355000,-3355000,-3355000,10896000,10896000,458000,458000,12010000,842000,1499000,1046000,453000,2341000,14351000,4021000,1660000,2361000,103000,4124000,523000,523000,523000,4647000,475187000,-465483000,9704000,9704000,14351000,-3355000,114000,211000,-213000,-3243000,-58000,-58000,1733000,1733000,1733000,-1568000,-1568000,-1568000,-3242000,0,0.61983,-3.46694,-3.46591,-0.34573,-0.23378,2.91222,0.47887,0,-0.0765,-0.0765,0.02207,0.22126,-0.32805,3.36089,3.24672
"18","2015_Q1",2.39901639344262,"Up",687000,-509000,178000,-3537000,-1618000,-1919000,-3359000,5000,5000,-3354000,-3346000,-3346000,-3346000,-3346000,-3346000,8349000,8349000,491000,491000,9625000,894000,1426000,973000,453000,2320000,11945000,4355000,1626000,2729000,230000,4585000,488000,488000,488000,5073000,475701000,-468829000,6872000,6872000,11945000,-3346000,116000,21000.0000000002,166000,-3043000,-34000,-34000,530000,530000,530000,-2547000,-2547000,-2547000,-3243000,-2.27373675443232e-13,0.2591,-4.88937,-4.87045,-0.4869,-0.28012,2.09924,0.73821,1.35525271560688e-20,-0.07489,-0.07505,0.01538,0.1538,-0.45462,2.57447,2.48556
"19","2015_Q2",3.19428571428571,"Up",901000,-1044000,-143000,-3819000,-1921000,-1898000,-3962000,0,0,-3962000,-3962000,-3962000,-3962000,-3962000,-3962000,16685000,16685000,541000,541000,18136000,1025000,1394000,941000,453000,2419000,20555000,5100000,2152000,2948000,1633000,6733000,7355000,453000,7355000,14088000,479258000,-472791000,6467000,6467000,20555000,-3962000,115000,314000,8583000,5050000,-69000,-69000,3355000,3355000,3355000,8336000,8336000,8336000,-3847000,0,-0.15871,-4.39734,-4.39734,-0.61265,-0.19275,2.6936,2.17844,0,-0.08812,-0.08812,0.02004,0.14383,-0.28664,4.33715,4.21126
"20","2015_Q3",3.05265625,"Down",4043000,-2856000,1187000,-3957000,-1946000,-2011000,-2770000,1000,1000,-2769000,-2769000,-2769000,-2769000,-2769000,-2769000,15085000,15085000,542000,542000,17295000,1519000,1362000,909000,453000,2881000,20176000,5240000,1971000,3269000,1289000,6529000,7070000,417000,7070000,13599000,482137000,-475560000,6577000,6577000,20176000,-2769000,129000,366000,-1315000,-3589000,-650000,-650000,2639000,2639000,2639000,-1600000,-1600000,-1600000,-2641000,-1.4210854715202e-14,0.29359,-0.68513,-0.68489,-0.42101,-0.13724,2.64895,2.06766,0,-0.05934,-0.05934,0.08664,0.14095,-0.2029,5.71185,5.44585
"21","2015_Q4",2.794375,"Down",2398000,-1813000,585000,-4104000,-1873000,-2231000,-3519000,6000,6000,-3513000,-3513000,-3513000,-3513000,-3513000,-3513000,11160000,11160000,543000,543000,12546000,1662000,1330000,877000,453000,2992000,15538000,4403000,1627000,2776000,1007000,5410000,6782000,381000,6782000,12192000,482419000,-479073000,3346000,3346000,15538000,-3513000,149000,279000,-537000,-3622000,-292000,-292000,-11000,-11000,-11000,-3925000,-3925000,-3925000,-3370000,0,0.24395,-1.46747,-1.46497,-1.04991,-0.22609,2.31904,3.64375,0,-0.0744,-0.0744,0.05079,0.07087,-0.34686,3.31157,3.17136
"22","2016_Q1",2.54508196721311,"Down",1846000,-1467000,379000,-4679000,-2139000,-2540000,-4300000,1000,1000,-4299000,-4298000,-4298000,-4298000,-4298000,-4298000,7888000,7888000,638000,638000,11075000,1669000,1298000,845000,453000,2967000,14042000,5582000,2183000,3399000,2122000,7704000,6491000,342000,6491000,14195000,483218000,-483371000,-153000,-153000,14042000,-4298000,164000,273000,195000,-3666000,-129000,-129000,523000,523000,523000,-3272000,-3272000,-3272000,-4136000,0,0.20531,-2.32936,-2.32828,28.0915,-0.30608,1.43756,-92.77778,0,-0.09083,-0.09083,0.03901,-0.00323,-0.67813,1.90716,1.83442
"23","2016_Q2",1.856875,"Down",3701000,-2589000,1112000,-4665000,-2068000,-2597000,-3553000,-3000,-3000,-3556000,-3556000,-3556000,-3556000,-3556000,-3556000,11209000,11209000,590000,590000,13701000,1537000,1266000,813000,453000,2803000,16504000,6236000,2354000,3882000,1203000,7439000,6207000,304000,6207000,13646000,489785000,-486927000,2858000,2858000,16504000,-3556000,219000,423000,-68000,-2982000,-82000,-82000,6385000,6385000,6385000,3321000,3321000,3321000,-3334000,0,0.30046,-0.96001,-0.96082,-1.24423,-0.21546,1.84178,4.77467,0,-0.07476,-0.07476,0.07781,0.06008,-0.39228,3.36203,3.1548
"24","2016_Q3",1.575625,"Down",4155000,-2592000,1563000,-5050000,-2171000,-2879000,-3487000,11000,11000,-3476000,-3476000,-3476000,-3476000,-3476000,-3476000,7191000,7191000,626000,626000,11022000,1324000,1234000,781000,453000,2558000,13580000,5649000,2496000,3153000,1904000,7553000,5919000,265000,5919000,13472000,490511000,-490403000,108000,108000,13580000,-3476000,241000,484000,-1365000,-4116000,-111000,-111000,209000,209000,209000.000000002,-4018000,-4018000,-4018000,-3246000,0,0.37617,-0.83923,-0.83658,-32.18519,-0.25596,1.45929,124.74074,0,-0.06741,-0.06741,0.08057,0.00208999999999999,-0.57674,2.21534,2.06223
"25","2016_Q4",1.27222222222222,"Down",4e+06,-2793000,1207000,-5284000,-2231000,-3053000,-4077000,7000,7000,-4070000,-4070000,-4070000,-4070000,-4070000,-4070000,5803000,5803000,461000,461000,9337000,1367000,1203000,750000,453000,2570000,11907000,5391000,2149000,3242000,2184000,7575000,5628000,226000,5628000,13203000,493177000,-494473000,-1296000,-1296000,11907000,-4070000,237000,307000,-234000,-3760000,-89000,-89000,2461000,2461000,2461000,-1388000,-1388000,-1388000,-3840000,0,0.30175,-1.01925,-1.0175,3.14043,-0.34182,1.23261,-10.1875,0,-0.0781,-0.0781,0.07676,-0.02487,-0.93952,1.5112,1.42335
"26","2017_Q1",1.70354838709677,"Up",2905000,-2400000,505000,-5878000,-2273000,-3605000,-5373000,-29000,-29000,-5402000,-5370000,-5370000,-5370000,-5370000,-5370000,15139000,15139000,731000,731000,17348000,1537000,1221000,718000,503000,2758000,20106000,5899000,2195000,3704000,1345000,7244000,5388000,238000,5388000,12632000,507317000,-499843000,7474000,7474000,20106000,-5370000,550000,223000,634000,-3963000,-609000,-609000,13923000,13923000,13908000,9336000,9336000,9336000,-4823000,0,0.17384,-1.84957,-1.84854,-0.718489999999994,-0.26708,2.39481,1.69013,6.61744490042422e-24,-0.0949,-0.0949,0.05134,0.13208,-0.41751,3.13892,2.81761
"27","2017_Q2",2.14603174603175,"Up",568000,-616000,-48000,-5898000,-2580000,-3318000,-5946000,-3000,-3000,-5949000,-5949000,-5949000,-5949000,-5949000,-5949000,7655000,7655000,1119000,1119000,10986000,2569000,1268000,689000,579000,3837000,14823000,6456000,2237000,4219000,1126000,7582000,5091000,188000,5091000,12673000,507640000,-505490000,2150000,2150000,14823000,-5949000,114000,294000,-1188000,-6729000,-755000,-755000,10364979.9387609,10364979.9387609,10353566.2589862,-7484000,-7484000,-7484000,-5832000,0,-0.08451,-10.46831,-10.47359,-2.76698,-0.40134,1.44896,5.89442,0,-0.08734,-0.08734,0.00834,0.03157,-0.82157,1.31259,1.28742
"28","2017_Q3",2.41349206349206,"Up",1339000,-993000,346000,-5997000,-2325000,-3672000,-5651000,-5000,-5000,-5656000,-5656000,-5656000,-5656000,-5656000,-5656000,17744000,17744000,4233000,4233000,25459000,3299000,1153000,660000,493000,4452000,29911000,6558000,1852000,4706000,14736000,21294000,4792000,138000,4792000,26086000,514809000,-510984000,3825000,3825000,29911000,-5656000,116000,415000,9695000,4570000,-1245000,-1245000,6764000,6764000,6764000,10089000,10089000,10089000,-5535000,0,0.2584,-4.22031,-4.22405,-1.47869,-0.18909,1.1956,6.81987,1.05879118406788e-22,-0.08153,-0.08153,0.0193,0.05514,-0.65638,3.20578,3.13998
"29","2017_Q4",1.92460317460317,"Down",5425000,-5703000,-278000,-5489000,-2062000,-3427000,-5767000,5000,5000,-5762000,-5762000,-5762000,-5762000,-5762000,-5762000,25303000,25303000,3192000,3192000,32988000,3200000,1116000,631000,485000,4316000,37304000,7853000,3858000,3995000,12486000,20339000,4488000,86000,4488000,24827000,528702000,-516225000,12477000,12477000,37304000,-5762000,536000,473000,-935000,-5688000,-448000,-448000,13695000,13695000,13695000,7559000,7559000,7559000,-5231000,0,-0.05124,-1.06304,-1.06212,-0.46181,-0.15446,1.62191,1.98982,0,-0.07691,-0.07691,0.07241,0.16653,-0.33964,4.83712,4.38755
"30","2018_Q1",1.25475409836066,"Down",2302000,-2550000,-248000,-7868000,-3189000,-4679000,-8116000,-3000,-3000,-8119000,-8119000,-8119000,-8119000,-8119000,-8119000,16966000,16966000,1695000,1695000,23217000,3251000,3299000,602000,2697000,6550000,29767000,8927000,3063000,5864000,10147000,19074000,607000,607000,607000,19681000,528952000,-518866000,10086000,10086000,29767000,-8119000,491000,1068000,-1072000,-7632000,-593000,-593000,-112000,-112000,-111999.999999998,-8337000,-8337000,-8337000,-7625000,-1.4210854715202e-14,-0.10773,-3.52563,-3.52693,-0.80498,-0.27275,1.21721,1.95132,-1.6940658945086e-21,-0.10312,-0.10312,0.02924,0.1281,-0.75928,2.22505,2.09044
"31","2018_Q2",1.324375,"Up",2188000,-1873000,315000,-7435000,-2607000,-4828000,-7120000,-12000,-12000,-7132000,-7132000,-7132000,-7132000,-7132000,-7132000,7228000,7228000,1805000,1805000,16054000,2950000,3514000,573000,2941000,6464000,22518000,8596000,1989000,6607000,10107000,18703000,529000,529000,529000,19232000,529284000,-525998000,3286000,3286000,22518000,-7132000,448000,314000,-3186000,-9556000,-182000,-182000,0,0,0,-9738000,-9738000,-9738000,-6672000,0,0.14397,-3.25411,-3.2596,-2.17042,-0.31672,0.85836,5.85271,0,-0.09073,-0.09073,0.02783,0.0418,-1.86946,1.08333,1.01517
"32","2018_Q3",1.0447619047619,"Down",2014000,-1681000,333000,-8784000,-2093000,-6691000,-8451000,-8000,-8000,-8459000,-8459000,-8459000,-8459000,-8459000,-8459000,20993000,20993000,1221000,1221000,29391000,3122000,3477000,544000,2933000,6599000,35990000,8430000,2275000,6155000,15509000,23939000,437000,437000,437000,24376000,546071000,-534457000,11614000,11614000,35990000,-8459000,462000,206000,5094000,-2697000,-320000,-320000,16782000,16782000,16782000,13765000,13765000,13765000,-7989000,-2.27373675443232e-13,0.16534,-4.19613,-4.2001,-0.72835,-0.23504,1.22775,2.09885,2.71050543121376e-20,-0.104,-0.104,0.02476,0.14279,-0.70193,2.62774,2.48408
"33","2018_Q4",0.938253968253968,"Down",11572000,-2645000,8927000,-8639000,-2253000,-6386000,288000,1000,1000,289000,289000,289000,289000,289000,289000,13210000,13210000,1973000,1973000,23574000,2954000,3442000,515000,2927000,6396000,29970000,7350000,1631000,5719000,10028000,17391000,504000,504000,531000,17922000,546216000,-534168000,12048000,12048000,29970000,289000,471000,1439000,-9408000,-7209000,-469000,-469000,-242000,-242000,-105000,-7783000,-7783000,-7783000,759000,40000,0.77143,0.02489,0.02497,0.02399,0.00964,1.35553,1.48755,0.00133,0.0031,0.0031,0.12414,0.12925,0.02295,-17.35178,-45.72917
"34","2019_Q1",0.966393442622951,"Up",1833000,-4439000,-2606000,-9331000,-2570000,-6761000,-11937000,-11000,-11000,-11948000,-11948000,-11948000,-11948000,-11948000,-11948000,13766000,13766000,2298000,2298000,17649000,2993000,2391000,486000,1905000,5384000,23033000,8013000,2411000,5602000,10154000,18188000,695000,695000,728000,18916000,550233000,-546116000,4117000,4117000,23033000,-11948000,457000,3719000,4662000,-3110000,-147000,-147000,3823000,3823000,3813000,556000,556000,556000,-11480000,54000,-1.42171,-6.51227,-6.51828,-2.90211,-0.51873,0.97037,4.59461,0.00234,-0.12608,-0.12608,0.01934,0.04344,-2.4554,1.19443,1.14869999999998
"35","2019_Q2",0.888412698412698,"Down",1851000,-1243000,608000,-8672000,-2699000,-5973000,-8064000,-4000,-4000,-8068000,-8068000,-8068000,-8068000,-8068000,-8068000,6979000,6979000,2290000,2290000,10605000,2675000,3921000,457000,3464000,6596000,17201000,7095000,2003000,5092000,10742000,17859000,1746000,1746000,1774000,19633000,551752000,-554184000,-2432000,-2432000,17201000,-8068000,552000,351000,-482000,-7647000,-313000,-313000,1177000,1177000,1173000,-6787000,-6787000,-6787000,-7512000,50000,0.32847,-4.35656,-4.35873,3.31743,-0.46904,0.59382,-8.07278,0.00291,-0.07912,-0.07912,0.01815,-0.02385,12.68553,0.92239,0.85925
"36","2019_Q3",0.67375,"Down",1240000,-1823000,-583000,-8400000,-2455000,-5945000,-8983000,-7000,-7000,-8990000,-8990000,-8990000,-8990000,-8990000,-8990000,4614000,4614000,951000,951000,8143000,2263000,3834000,428000,3406000,6097000,14240000,6521000,1705000,4816000,10789000,17333000,-2.3283064365387e-10,2.3283064365387e-10,1637000,18970000,558444000,-563174000,-4730000,-4730000,14240000,-8990000,551000,1120000,-1392000,-8711000,-2e+05,-2e+05,6551000,6551000,6546000,-2365000,-2365000,-2365000,-8432000,1660000,-0.47016,-7.24435,-7.25,1.90063,-0.63132,0.4698,-4.01057,0.11657,-0.0841,-0.0841,0.0116,-0.04425,2.92834,0.35033,0.32884
"37","2019_Q4",0.73296875,"Up",1190000,-2072000,-882000,-5263000,-1697000,-3566000,-6145000,4000,4000,-6141000,-6141000,-6141000,-6141000,-6141000,-6141000,6642000,6642000,574000,574000,7962000,2111000,2321000,306000,2015000,4432000,12394000,5155000,1091000,4064000,10687000,15866000,0,0,1497000,17363000,564346000,-569315000,-4969000,-4969000,12394000,-6141000,279000,1910000,577000,-3375000,-158000,-158000,5567000,5567000,5561000,2028000,2028000,2028000,-5866000,1521000,-0.74118,-5.16387,-5.1605,1.23586,-0.49548,0.50183,-3.49426,0.12272,-0.05341,-0.05341,0.01035,-0.04321,1.78103,0.873,0.83336
