"","YQ","p","d","revenue","cost_of_revenue","cost_of_goods_services","cost_of_financing_revenue","gross_profit","operating_expenses","selling_general_administrative","general_administrative","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","notes_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",17.2135483870968,"Up",449464000,-304476000,-283818000,-20658000,144988000,-98262000,-13179000,-13179000,-85083000,46726000,46726000,46726000,-13053000,33673000,33673000,-372000,33301000,33301000,832940000,832940000,84063000,84063000,728791000,728791000,1645794000,216412000,439435000,693305000,395442000,297863000,1349152000,2994946000,301174000,301174000,764948000,764948000,1066122000,1094998000,0,1094998000,2161120000,524990000,270245000,-81408000,713827000,119999000,833826000,2994946000,33673000,7672000,82223000,81769000,205337000,-22676000,-22676000,-23208000,-592000,-70266000,-70266000,-14442000,-108508000,74153000,74153000,7549000,81702000,54398000,1094998000,126544000,0.32258,0.10396,0.07409,0.03994,0.01112,3.80001,1.54372,2.59181,0.36562,0.28806,0.24598,3.88798,6.1748,1.09464,0.20076,0.0293,0.06561,0.69692,4.81742,5.6084
"12","2013_Q1",20.7751666666667,"Up",580857000,-465766000,-445602000,-20164000,115091000,-120288000,-12090000,-12090000,-108198000,-5197000,-5197000,-5197000,1091000,-4106000,-4106000,-1259000,-5364999.99999999,-5364999.99999999,850190000,850190000,53713000,53713000,782056000,782056000,1685959000,225033000,414673000,661228000,392822000,268406000,1300934000,2986893000,467578000,467578000,773062000,773062000,1240640000,1094713000,0,1094713000,2335353000,497550000,182647000,-110541000,569656000,81884000,651540000,2986893000,-4106000,8383000,105669000,132136000,242082000,-15369000,-15369000,-68889000,-762000,-131785000,-131785000,-14368000,-215804000,10909000,10909000,6341000,17250000,3186000,1094713000,118862000,0.19814,-0.00895,-0.00923999999999998,-0.00823,-0.0018,-22.15508,1.35894,3.58436,0.36651,-0.04675,-0.04847,5.06203,4.96442,1.03585,0.60035,0.03638,0.06807,-12.84045,76.74922,-47.0508
"13","2013_Q2",19.82703125,"Down",422058000,-297894000,-277739000,-20155000,124164000,-102567000,-13465000,-13465000,-89102000,21597000,21597000,21597000,-3948000,17649000,17649000,-2289000,15360000,15360000,586111000,586111000,72740000,72740000,701767000,701767000,1360618000,239576000,406256000,721717000,393317000,328400000,1367549000,2728167000,273962000,273962000,783859000,783859000,1057821000,1093245000,4.54747350886464e-13,1093245000,2151066000,424061000,197297000,-124758000,496600000,80501000,577101000,2728167000,17649000,8059000,88951000,-187744000,-73085000,-26567000,-26567000,-63326587.6937256,-1004000,-30168000,-30168000,-117360000,-148532000,-248184000,-248184000,-15895000,-264079000,29656000,1093245000,-180707000,0.29419,0.05117,0.03639,0.02662,0.00563,-11.76478,1.28625,3.72736,0.40073,0.13049,0.11565,3.58563,4.21891,-1.53521,0.543411812937282,0.0092,-0.10819,-9.12194681062314,17.10055,23.48169
"14","2013_Q3",21.1965625,"Up",510716000,-351442000,-331131000,-20311000,159274000,-118336000,-15388000,-15388000,-102948000,40938000,40938000,40938000,-9017000,31921000,31921000,-568000,31353000,31353000,601485000,601485000,117902000,117902000,812610000,812610000,1531997000,241949000,449364000,697919000,375207000,322712000,1389232000,2921229000,336194000,336194000,899806000,899806000,1.236e+09,1093018000,0,1093018000,2329018000,465615000,193958000,-141489000,518084000,74127000,592211000,2921229000,31921000,8534000,79835000,-33647000,86643000,-9041000,-9041000,-30338000,-641000,-20279000,-20279000,-7492000,-58750000,18852000,18852000,-3478000,15373999.9999999,49472000,1093018000,15800999.9999999,0.31186,0.08016,0.06139,0.05294,0.01073,0.503970000000001,1.23948,3.93275,0.37416,0.2575,0.23669,4.19445,4.25496,0.12977,0.24916,0.03661,0.00938,0.96763,9.93558,12.00677
"15","2013_Q4",24.37921875,"Up",500523000,-321978000,-301809000,-20169000,178545000,-97427000,-14475000,-14475000,-82952000,81118000,81118000,81118000,-18370000,62748000,62748000,-2466000,60282000,60282000,688367000,688367000,91678000,91678000,777182000,777182000,1557227000,249780000,469722000,679727000,376401000,303326000,1399229000,2956456000,382064000,382064000,824387000,824387000,1206451000,1092944000,-7.27595761418343e-12,1092944000,2299395000,491307000,219319000,-127852000,582774000,74287000,657061000,2956456000,62748000,8872000,73329000,9360000,154309000,-12893000,-12893000,-30593000,-612000,-27487000,-27487000,-7906000,-66598000,74818000,74818000,12064000,86882000,89990000,1092944000,104827000,0.35672,0.16207,0.12044,0.09174,0.02039,1.73894,1.29075,3.49952,0.36968,0.49331,0.44905,4.09593,4.76902,0.85783,0.25035,0.05193,0.0599,0.5075,4.4958,4.98751
"16","2014_Q1",27.3986885245902,"Up",631436000,-386601000,-367855000,-18746000,244835000,-171681000,-15970000,-15970000,-155711000,73154000,73154000,73154000,-20358000,52796000,52796000,421000,53217000,53217000,841482000,841482000,52220000,52220000,767380000,767380000,1661082000,248796000,478105000,623154000,363877000,259277000,1350055000,3011137000,523063000,523063000,793892000,793892000,1316955000,1064184000,0,1064184000,2381139000,489977000,203236000,-133004000,560209000,69789000,629998000,3011137000,52796000,9285000,144495000,152254000,358830000,-6052000,-6052000,-60689000,-85758000,-54543000,-54543000,-12202000,-213192000,139586000,139586000,13529000,153115000,82439000,1064184000,248999000,0.38774,0.11585,0.08428,0.08447,0.01767,4.67894,1.26131,3.7796,0.35342,0.4371,0.39296,5.18638,4.60135,2.04518,0.49848,0.06723,0.14697,1.14041,2.70142,3.04429
"17","2014_Q2",30.1866666666667,"Up",549353000,-337518000,-321565000,-15953000,211835000,-104655000,-15454000,-15454000,-89201000,107180000,107180000,107180000,-21751000,85429000,85429000,-4587000,80842000,80842000,666589000,666589000,117860000,117860000,744073000,744073000,1528522000,242977000,417295000,709409000,366921000,342488000,1369681000,2898203000,339162000,339162000,939804000,939804000,1278966000,1063596000,-1.16415321826935e-10,1063596000,2342562000,369409000,242818000,-126383000,485844000,69797000,555641000,2898203000,85429000,8859000,84243000,-124725000,53806000,-2903000,-2903000,-35917000,-915000,-106935000,-106935000,-84024000,-227791000,-176888000,-176888000,1995000,-174893000,116039000,1063596000,10162000,0.38561,0.1951,0.14716,0.14549,0.02789,0.1257,1.19512,4.21596,0.36698,0.66386,0.60318,4.51117,3.98965,0.08345,0.29494,0.07211,0.00628000000000001,0.44429,3.42132,3.70411
"18","2014_Q3",32.30625,"Up",582605000,-361633000,-345924000,-15709000,220972000,-121992000,-16002000,-16002000,-105990000,98980000,98980000,98980000,-13071000,85909000,85909000,-717000,85192000,85192000,684491000,684491000,80125000,80125000,854141000,854141000,1618757000,236288000,538924000,685507000,368542000,316965000,1460719000,3079476000,420872000,420872000,1029023000,1029023000,1449895000,1062880000,0,1062880000,2512775000,342066000,285476000,-127480000,500062000,66639000,566701000,3079476000,85909000,8797000,87237000,-106107000,75836000,-2577000,-2577000,-37064000,18321000,-35382000,-35382000,-2047000.00000001,-56172000,17086999.9999999,17086999.9999999,814999.999999998,17902000,107777000,1062880000,12164000,0.37928,0.16989,0.14623,0.15033,0.02766,0.14278,1.11646,4.43404,0.34515,0.69196,0.63778,4.73213,4.06169,0.0988000000000002,0.30105,0.07502,0.00746,0.43506,3.51085,3.82288
"19","2014_Q4",30.7534375,"Down",581723000,-354124000,-338612000,-15512000,227599000,-113887000,-17034000,-17034000,-96853000,113712000,113712000,113712000,-23792000,89920000,89920000,-1061000,88859000,88859000,820584000,820584000,77908000,77908000,715445000,715445000,1613937000,227359000,549922000,651672000,356254000,295418000,1428953000,3042890000,517640000,517640000,826351000,826351000,1343991000,1061239000,-9.31322574615479e-10,1061239000,2405230000,391460000,333294000,-152184000,572570000,65090000,637660000,3042890000,89920000,8676000,81269000,105915000,285780000,-7658000,-7658000,-36611000,-20898000,-50340000,-50340000,-4284000,-112133000,165989000,165989000,-29896000,136093000,122388000,1061239000,244437000,0.39125,0.19547,0.15275,0.13935,0.0292,2.75084,1.20085,3.77196,0.34876,0.72712,0.66528,4.76015,4.68525,2.00019,0.29958,0.07385,0.14388,0.41201,1.96633,2.11636
"20","2015_Q1",31.0749180327869,"Up",649336000,-322901000,-307505000,-15396000,326435000,-126842000,-16967000,-16967000,-109875000,199593000,199593000,199593000,-26788000,172805000,172805000,-421000,172384000,172384000,1066580000,1066580000,73915000,73915000,734731000,734731000,1875226000,222569000,620352000,614089000,347438000,207610000,1457010000,3332236000,625867000,625867000,846018000,846018000,1471885000,1060365000,29929000,1090294000,2562179000,442855000,464655000,-200766000,706744000,63313000,770057000,3332236000,172805000,8132000,83403000,56255000,320595000,-6961000,-6961000,-36649000,-759999.999999985,1.49011611938477e-08,1.49011611938477e-08,-1864000,-39273000,274361000,274361000,-28365000,245996000,207725000,1060365000,283807000,0.50272,0.30738,0.26548,0.22386,0.05173,1.64637,1.27403,3.32726,0.31821,1.40943,1.28564,5.30905,5.77842,2.32044,0.29965,0.11236,0.15256,0.2126,-0.02992,-0.03114
"21","2015_Q2",35.6220634920635,"Up",593885000,-344638000,-328502000,-16136000,249247000,-174584000,-16148000,-16148000,-158436000,74663000,74663000,74663000,-12017000,62646000,62646000,-6693000,55953000,55953000,606336000,606336000,135323000,135323000,722844000,722844000,1464503000,209211000,486746000,667271000,335966000,331305000,1363228000,2827731000,316553000,316553000,965339000,965339000,1281892000,1008534000,-7.45058059692383e-09,1008534000,2290426000,368412000,338165000,-233494000,473083000,64222000,537305000,2827731000,62646000,7876000,165054000,-200608000,34968000,-4011000,-4011000,-158390000,-114520000,-82963000,-82963000,-98153000,-454026000,-423069000,-423069000,-37175000,-460244000,82539000,1008534000,-110063000,0.41969,0.12572,0.09422,0.10414,0.01979,-1.96706,1.14245,4.2628,0.35666,0.45249,0.41838,4.80273,3.82581,-0.89008,1.2809,0.13866,-0.0712,2.83077,4.87282,5.38684
"22","2015_Q3",33.20328125,"Down",620589000,-348216000,-336719000,-11497000,272373000,-1073749000,-17493000,-17493000,-1056256000,-801376000,-801376000,-801376000,1176531000,375155000,375155000,-1042000,374113000,374113000,701172000,701172000,57849000,57849000,765085000,765085000,1524106000,213745000,557751000,1856339000,335969000,264930000,2627835000,4151941000,1375552000,1375552000,898581000,898581000,2274133000,1008439000,0,1008439000,3282572000,381552000,664001000,-235349000,810204000,59165000,869369000,4151941000,375155000,8024000,-181772000,-25073000,176334000,-9091000,-9091000,-44245000,-949000,-34770000,-34770000,-6848000,-86812000.0000001,80431000,80431000,14405000,94835999.9999998,-793352000,1008439000,-2004047000,0.43889,-1.29132,0.60284,0.43033,0.09011,-5.3568,0.67019,3.77581,0.24288,2.96415,2.81699,4.91701,6.41936,-15.87834,0.35056,0.22279,-1.06723,0.11827,-0.3873,-0.38342
"23","2015_Q4",29.73859375,"Down",585316000,-331363000,-319565000,-11798000,253953000,316791000,-14367000,-14367000,331158000,570744000,570744000,570744000,-170954000,399790000,399790000,-1269000,398521000,398521000,859984000,859984000,75968000,75968000,737885000,737885000,1673837000,209814000,575204000,1689182000,325624000,250498000,2474200000,4148037000,979873000,979873000,948256000,948256000,1928129000,1008035000,-9.31322574615479e-10,1008035000,2936164000,393035000,1014145000,-252525000,1154655000,57218000,1211873000,4148037000,399790000,8351000,-206889000,106840000,308092000,-4906000,-4906000,-44124000,-790000,-41738000,-41738000,-49087000,-135739000,167447000,167447000,-8635000,158812000,579095000,1008035000,851983000,0.43387,0.9751,0.68086,0.32885,0.09607,2.13786,0.86811,2.42283,0.24301,3.16475,2.9938,4.64813,9.16939,6.7658,0.3504,0.1994,0.38379,0.11072,0.25566,0.259400000000001
"24","2016_Q1",24.0537704918033,"Down",604977000,-346688000,-334960000,-11728000,258289000,-118940000,-13355000,-13355000,-105585000,139349000,139349000,139349000,15992000.0000002,155341000,155341000,2445000,157786000,157786000,1132083000,1132083000,73396000,73396000,848626000,848626000,2054105000,207165000,541911000,1674593000,326976000,217022000,2423669000,4477774000,1094371000,1094371000,1006607000,1006607000,2100978000,998386000,11104000,1009490000,3110468000,424083000,1123728000,-234356000,1313455000,53851000,1367306000,4477774000,155341000,8534000,32637000,171390000,367902000,-7944000,-7944000,-43925000,-754000,-13301000,-13301000,-12247000,-70227000,289731000,289731000,-17632000,272099000,147883000,998386000,295337000,0.42694,0.23034,0.26081,0.1154,0.03524,1.87176,0.97769,2.27489,0.22296,1.25554,1.18351,4.81395,10.45147,2.35007,0.34952,0.08487,0.12426,0.27838,-0.90407,-0.95944
"25","2016_Q2",23.8653125,"Down",510116000,-309108000,-297210000,-11898000,201008000,-102631000,-13435000,-13435000,-89196000,98377000,98377000,98377000,-27654000,70723000,70723000,-3900000,66823000,66823000,701324000,701324000,100058000,100058000,836048000,836048000,1637430000,206856000,460281000,1707024000,332621000,248384000,2374161000,4011591000,748389000,748389000,1030912000,1030912000,1779301000,998748000,10794000,1009542000,2788843000,416092000,970808000,-221572000,1165328000,57420000,1222748000,4011591000,70723000,8389000,129370000,-308373000,-99891000,-5350000,-5350000,-194382000,-2031000,-83140000,-83140000,-58152000,-337705000,-442946000,-442946000,12187000,-430759000,106766000,998748000,-179303000,0.39404,0.19285,0.131,0.05465,0.01666,-2.68325,0.92027,2.2808,0.24897,0.53017,0.50284,4.04724,9.24567,-1.42258,1.54222,0.11701,-0.08032,2.90891,2.78576,3.02331
"26","2016_Q3",24.3375,"Up",546642000,-320272000,-308310000,-11962000,226370000,-113134000,-15895000,-15895000,-97239000,113236000,113236000,113236000,-31872000,81364000,81364000,-1007000,80357000,80357000,646454000,646454000,92330000,92330000,1103821000,1103821000,1842605000,201929000,491346000,1679741000,328181000,228191000,2373016000,4215621000,784091000,784091000,1218638000,1218638000,2002729000,998502000,10046000,1008548000,3011277000,385099000,998132000,-237030000,1146201000,58143000,1204344000,4215621000,81364000,8241000,95980000,-67423000.0000001,118162000,-5609000,-5609000,-47702999.9999999,6873000,-111589000,-111589000,-4373000,-156792000,-44239000,-44239000,-10631000,-54869999.9999999,121477000,998502000,80317000,0.41411,0.20715,0.147,0.06672,0.01906,0.999500000000001,0.92005,2.50035,0.23686,0.64049,0.60719,4.35703,9.13585,0.64017,0.38022,0.05787,0.0363,0.593640000000001,2.89806,3.10898
"27","2016_Q4",27.3204761904762,"Up",621102000,-365950000,-353756000,-12194000,255152000,-106160000,-17097000,-17097000,-89063000,148992000,148992000,148992000,-36374000,112618000,112618000,-82000,112536000,112536000,853887000,853887000,96872000,96872000,1010856000,1010856000,1961615000,204300000,462758000,1673630000,353850000,212734000,2340688000,4302303000,889135000,889135000,1104124000,1104124000,1993259000,998525000,9377000,1007902000,3001161000,421074000,1058189000,-236088000,1243175000,57967000,1301142000,4302303000,112618000,7956000,102385000,57895000,280854000,-10245000,-10245000,-47241000,21362000,-34136000,-34136000,-1653000,-61668000,208941000,208941000,-1508000,207433000,156948000,998525000,240972000,0.41081,0.23988,0.18119,0.08649,0.02616,2.14129,0.98412,2.30656,0.23209,0.90457,0.85048,4.99242,9.99265,1.93694,0.37972,0.0692,0.10436,0.41979,0.92157,0.97078
"28","2017_Q1",31.0911290322581,"Up",705803000,-395505000,-381267000,-14238000,310298000,-153442000,-16994000,-16994000,-136448000,156856000,156856000,156856000,-27869000,128987000,128987000,-1005000,127982000,127982000,1158785000,1158785000,73991000,73991000,1012989000,1012989000,2245765000,209021000,459422000,1642300000,382024000,184499000,2310743000,4556508000,1055198000,1055198000,1009729000,1009729000,2064927000,1188600000,9168000,1197768000,3262695000,416023000,1134186000,-314222000,1235987000,57826000,1293813000,4556508000,128987000,8678000,103477000,92334000,333476000,-16449000,-16449000,-46812000,194507000,-71352000,-71352000,66999.9999999925,76410000,393437000,393437000,-64650000,328787000,165534000,1188600000,269288000,0.43964,0.22224,0.18133,0.09892,0.02809,2.10411,1.08758,2.52177,0.26086,1.03907,0.96241,5.7303,10.03478,2.18631,0.38006,0.07015,0.10808,0.36577,0.18011,0.19008
