"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",24.8138709677419,"Down",895030000,-605496000,289534000,-199628000,89906000,-8043000,-7306000,-737000,81863000,81863000,-28755000,53108000,53108000,53108000,53108000,538092000,538092000,428587000,428587000,334775000,39048000,39048000,1340502000,196598000,1128725000,215529000,803125000,110071000,1325323000,2665825000,360945000,189407000,158076000,360945000,8.5e+08,103793000,103793000,953793000,1314738000,1110000,1439853000,-89876000,1351087000,1351087000,2665825000,10893000,3240000,42337000,109578000,-2672000,-8139000,-12587000,324564000,189347000,290786000,290786000,-2762000,288024000,100799000,8.5e+08,169219000,0.32349,0.10045,0.05934,0.03931,0.01992,3.18632,3.71387,0.9731,0.31885,0.49865,0.49539,8.4038,12.68591,1.58887,0.11818,0.0285,0.07342,0.23701,3.09436,3.46927
"12","2013_Q1",26.6945,"Up",936334000,-622613000,313721000,-210870000,102851000,-8804000,-13241000,4437000,94047000,94047000,-31904000,62143000,62143000,62143000,62143000,573781000,573781000,464869000,464869000,319952000,44911000,44911000,1403513000,195465000,1140390000,212557000,810252000,117581000,1335855000,2739368000,404648000,207915000,196733000,529648000,7.25e+08,109518000,27662000,834518000,1364166000,1099000,1456233000,-82130000,1375202000,1375202000,2739368000,11777000,2725000,10913000,87558000,-4599000,-8088000,-14941000,-17762000.0000001,-47675000.0000001,31795000,31795000,3894000,35689000,114628000,8.5e+08,152846000,0.33505,0.10984,0.06637,0.04519,0.02269,2.45959,2.6499,0.99197,0.31029,0.58699,0.58238,8.84444,12.9899,1.44375,0.14113,0.03302,0.06547,0.24043,2.4097,2.68562
"13","2013_Q2",27.99546875,"Up",889225000,-603525000,285700000,-203108000,82592000,-8891000,-9568000,677000,73701000,73701000,-26163000,47538000,47538000,47538000,47538000,580753000,580753000,413690000,413690000,318128000,49039000,49039000,1361610000,193495000,1145367000,207002000,812163000,126202000,1338862000,2700472000,376354000,202253000,174101000,501354000,7.25e+08,108376000,108376000,833376000,1334730000,1092000,1458094000,-93444000,1365742000,1365742000,2700472000,11485000,9004000,-8269000,59758000,-3206000,-3206000,-14817000,-505000,-45173000,11379000,11379000,-4407000,6972000,94077000,8.5e+08,108765000,0.32129,0.09288,0.05346,0.03481,0.0176,2.28796,2.71587,0.97729,0.31476,0.45259,0.44939,8.46599,13.00273,1.03551,0.14107,0.02683,0.0468,0.31169,2.86199,3.25996
"14","2013_Q3",29.875,"Up",867193000,-586594000,280599000,-202730000,77869000,-8452000,-9127000,674999.999999999,69417000,69417000,-23875000,45542000,45542000,45542000,45542000,500374000,500374000,407835000,407835000,330953000,37861000,37861000,1277023000,192354000,1150863000,207104000,816515000,127244000,1343217000,2620240000,382714000,223035000,159679000,432714000,7.25e+08,105780000,105780000,830780000,1263494000,1078000,1440624000,-84956000,1356746000,1356746000,2620240000,10421000,9196000,8283000,73442000,-5559000,-16150000,-14529000,-75505000,-139080000,-81788000,-81788000,1409000,-80379000,88290000,7.75e+08,114889000,0.32357,0.08979,0.05252,0.03357,0.01738,2.5227,2.95119,0.93127,0.29577,0.43914,0.43616,8.36195,13.08249,1.10782,0.1401,0.02685,0.05135,0.31902,3.1105,3.52677
"15","2013_Q4",30.7053125,"Up",915861000,-615568000,300293000,-210755000,89538000,-7738000,-9113000,1375000,81800000,81800000,-28170000,53630000,53630000,53630000,53630000,472449000,472449000,421506000,421506000,352646000,41527000,41527000,1288128000,191385000,1157977000,203653000,818784000,135540000,1349362000,2637490000,407027000,220870000,186157000,457027000,7.25e+08,104730000,104730000,829730000,1286757000,1065000,1437400000,-87732000,1350733000,1350733000,2637490000,11401000,9036000,-27931000,46136000,-5494000,-9553000,-14399000,-504000,-65750000,-29167000,-29167000,1242000,-27925000,100939000,7.75e+08,95684000,0.32788,0.09776,0.05856,0.0397,0.02033,1.78415,2.81849,0.95264,0.29384,0.52512,0.52106,8.9676,13.22562,0.93688,0.14099,0.0305,0.0429,0.26849,2.99736,3.37902
"16","2014_Q1",30.3693442622951,"Down",964933000,-640756000,324177000,-219721000,104456000,-8257000,-8589000,332000,96199000,96199000,-32637000,63562000,63562000,63562000,63562000,505228000,505228000,448158000,448158000,360563000,47387000,47387000,1361336000,192020000,1128422000,196656000,823740000,108026000,1320442000,2681778000,448519000,249795000,198724000,448519000,7.25e+08,113804000,20475000,838804000,1287323000,1056000,1463358000,-69959000,1394455000,1394455000,2681778000,12695000,12528000,26773000,115558000,-7724000,3172000,-22000,-46910000,-81095000,37635000,37635000,-4856000,32779000,117151000,7.25e+08,168837000,0.33596,0.10825,0.06587,0.04558,0.0237,2.65626,3.03518,0.92317,0.27034,0.62779,0.62251,9.53039,13.77267,1.66756,0.000219999999999998,0.02847,0.0756,0.000349999999999961,1.87597,2.10397
"17","2014_Q2",30.1938095238095,"Down",880125000,-598607000,281518000,-200237000,81281000,-9124000,-8567000,-557000,72157000,72157000,-26265000,45892000,45892000,45892000,45892000,603369000,603369000,400540000,400540000,388260000,54868000,54868000,1447037000,193688000,1120922000,191810000,822141000,106971000,1314610000,2761647000,392512000,227786000,164726000,527512000,7.25e+08,113221000,113221000,838221000,1365733000,1053000,1473174000,-78313000,1395914000,1395914000,2761647000,10976000,3909000,-39652000,21125000,-5564000,-5564000,-29773000,1732000,84760000,100321000,100321000,-2180000,98141000,92257000,8.6e+08,73306000,0.31986,0.09235,0.05214,0.03288,0.01662,1.59736,2.74314,0.97838,0.31141,0.45425,0.45028,8.71178,13.81724,0.72561,0.2947,0.03194,0.03094,0.64876,2.7817,3.15733
"18","2014_Q3",29.97078125,"Down",998834000,-709403000,289431000,-214208000,75223000,-7532000,-8777000,1245000,67691000,67691000,-25663000,42028000,42028000,42028000,42028000,516058000,516058000,550769000,550769000,442125000,57975000,57975000,1566927000,198917000,1183455000,238776000,839932000,104747000,1382372000,2949299000,531633000,353399000,178234000,666633000,7.25e+08,116052000,116052000,841052000,1507685000,8688000,1496588000,-63662000,1441614000,1441614000,2949299000,12065000,13941000,41014000,109048000,-5334000,-187752000,-18615000,-2697000,-11833000,-90537000,-90537000,3226000,-87311000,87288000,8.6e+08,148631000,0.28977,0.07531,0.04208,0.02915,0.01425,3.53648,2.35051,1.04583,0.29159,0.41583,0.41216,9.88269,14.26366,1.47059,0.18418,0.02508,0.06148,0.44292,3.94031,4.5723
"19","2014_Q4",33.96890625,"Up",1082679000,-771218000,311461000,-214810000,96651000,-8710000,-9237000,527000,87941000,87941000,-30920000,57021000,57021000,57021000,57021000,464570000,423975000,557576000,557576000,451110000,63877000,63877000,1537133000,204586000,1234429000,228155000,844158000,162116000,1439015000,2976148000,543182000,330801000,212381000,678182000,7.25e+08,116616000,116616000,841616000,1519798000,1050000,1512404000,-57104000,1456350000,1456350000,2976148000,13642000,1020000,840000,72523000,-12819000,-127789000,-16945000,-483000,-32238000,-87504000,-87504000,-4579000,-92083000,110293000,8.6e+08,129234000,0.28768,0.08927,0.05267,0.03915,0.01916,2.26643,2.26655,1.04357,0.28896,0.56398,0.55904,10.70846,14.40433,1.27822,0.1676,0.0304,0.05312,0.29717,3.58527,4.09132
"20","2015_Q1",37.7444262295082,"Up",623503000,-487216000,136287000,-95716000,40571000,-7097000,-9132000,2035000,33474000,33474000,-7083000,26391000,55671000,55671000,55671000,305683000,264908000,607580000,607580000,436463000,65991000,65991000,1415717000,204939000,1244021000,223150000,844433000,176438000,1448960000,2864677000,543463000,342056000,201407000,543463000,7.25e+08,124550000,30546000,849550000,1393013000,1040000,1531198000,-60574000,1471664000,1471664000,2864677000,5763000,173637000,-66395000,15683000,-10324000,14798000,-20324000,1883000,-200890000,-170409000,-170409000,11342000,-159067000,46334000,7.25e+08,-23302000,0.21858,0.06507,0.08929,0.03783,0.01943,-0.41857,2.60499,0.94656,0.25308,0.55835,0.55292,6.25335,14.75989,-0.2337,0.20384,0.03274,-0.01004,0.36507,9.04988,10.33539
"21","2015_Q2",36.272380952381,"Down",938956000,-688339000,250617000,-184621000,65996000,-7398000,-8768000,1370000,58598000,58598000,-20273000,38325000,50289000,50289000,50289000,302347000,260740000,564458000,564458000,518857000,59524000,59524000,1445186000,214453000,1239533000,219287000,845124000,175122000,1453986000,2899172000,582966000,388171000,194795000,582966000,7.25e+08,123105000,123105000,848105000,1431071000,1029000,1519645000,-52573000,1468101000,1468101000,2899172000,9656000,44225000,14413000,68770000,-16173000,-11446000,-20062000,-811000,-63750000,-6426000,-6426000,2258000,-4168000,75652000,7.25e+08,94165000,0.26691,0.07029,0.05356,0.03425,0.01735,1.87248,2.47902,0.97478,0.25007,0.50629,0.50198,9.45299,14.78019,0.94801,0.20198,0.03037,0.04065,0.39893,5.58681,6.40422
"22","2015_Q3",36.4534375,"Up",978220000,-718933000,259287000,-187147000,72140000,-7767000,-8544000,777000,64373000,64373000,-22508000,41865000,53778000,53778000,53778000,342722000,284872000,587835000,587835000,499893000,59276000,59276000,1489726000,219541000,1148182000,209527000,839636000,99019000,1367723000,2857449000,547086000,337761000,209325000,547086000,7.25e+08,121662000,121662000,846662000,1393748000,3644000,1553313000,-93256000,1463701000,1463701000,2857449000,11358000,47730000,-50837000,29625000,27758000,27086000,-20112000,1655000,-23119000,33592000,33592000,-9460000,24132000,83498000,7.25e+08,82927000,0.26506,0.07375,0.05498,0.03674,0.01882,1.54202,2.72302,0.95221,0.25372,0.5443,0.54116,9.90071,14.81434,0.83932,0.20356,0.03198,0.03589,0.37398,4.57829,5.29911
"23","2015_Q4",35.29921875,"Down",958628000,-696186000,262442000,-185065000,77377000,-7971000,-8512000,541000,69406000,69406000,-22972000,46434000,54676000,54676000,54676000,342047000,289722000,590260000,590260000,514619000,54340000,54340000,1501266000,225418000,1144848000,205420000,835097000,104331000,1370266000,2871532000,569062000,341425000,227637000,569062000,7.25e+08,122782000,122782000,847782000,1416844000,13046000,1587822000,-146180000,1454688000,1454688000,2871532000,10475000,52320000,-19923000,59690000,-13992000,-23064000,-20166000,5640000,-14526000,22100000,22100000,-17250000,4850000,87852000,7.25e+08,76909000,0.27377,0.08072,0.05704,0.03759,0.01904,1.40663,2.63814,0.97398,0.25248,0.55317,0.54929,9.69869,14.71746,0.77811,0.20402,0.03251,0.0334,0.36883,4.35907,4.94918
"24","2016_Q1",33.4244262295082,"Down",1035061000,-746858000,288203000,-199130000,89073000,-7132000,-7869000,737000,81941000,81941000,-28482000,53459000,64518000,64518000,64518000,400632000,347260000,586263000,586263000,408422000,177908000,59561000,1573225000,204133000,1167890000,125025000,299924000,742941000,1372023000,2945248000,538369000,323294000,215075000,577685000,722542000,130898000,89485000,853440000,1431125000,22059000,1630148000,-138084000,1514123000,1514123000,2945248000,13034000,59083000,50098000,141174000,-17480000,-38743000.0000001,-21420000,-35674999.9999999,-49539999.9999999,52891000,52891000,4647000,57538000,102107000,722542000,163207000,0.27844,0.08606,0.06233,0.04261,0.02191,2.52964,2.72333,0.94518,0.24532,0.65181,0.64726,10.45696,15.2968,1.64884,0.2164,0.0363,0.06893,0.332,3.15267,3.614
"25","2016_Q2",35.750625,"Up",1142870000,-854626000,288244000,-226067000,62177000,-11473000,-12143000,670000,50704000,50704000,-30393000,20311000,29703000,29703000,29703000,236091000,186440000,624340000,624340000,716707000,224664000,94358000,1801802000,258964000,2178888000,551337000,817481000,810070000,2437852000,4239654000,654612000,456259000,198353000,694135000,1.725e+09,306466000,306466000,2031466000,2725601000,25216000,1637579000,-148742000,1514053000,1514053000,4239654000,15247000,27213000,-34766000,5424000,-17064000,-1121848000,-23128000,999255000,964527000,-151897000,-151897000,-8923000,-160820000,77424000,1.725e+09,55987000,0.25221,0.0544,0.02599,0.01962,0.00701,1.88489,2.59575,1.8002,0.40687,0.29871,0.29655,11.49352,15.22641,0.56305,0.23259,0.0149,0.01579,0.77864,19.23059,23.9463
"26","2016_Q3",36.8734375,"Up",1389210000,-1058311000,330899000,-247436000,83463000,-16200000,-17154000,954000,67263000,67263000,-24700000,42563000,35421000,35421000,35421000,95451000,95451000,734461000,734461000,752849000,83169000,83169000,1665930000,272190000,1513718000,537079000,817595000,159044000,1785908000,3451838000,702365000,492469000,209896000,798356000,1034884000,255341000,255341000,1290225000,2088581000,28754000,1475867000,-141364000,1363257000,1363257000,3451838000,23153000,52669000,-97483000,-58376000,24830000,739815000,-22228000,-670486000,-773293000,-91854000,-91854000,864999.999999998,-90989000,106616000,1130875000,58663000,0.23819,0.06008,0.0255,0.02598,0.01026,1.65616,2.0867,1.53205,0.32762,0.35951,0.35712,14.09993,13.83652,0.59541,0.22561,0.02097,0.02134,0.62754,9.71171,12.40578
"27","2016_Q4",33.8001587301587,"Down",1400853000,-1060989000,339864000,-244135000,95729000,-9804000,-10634000,830000,85925000,85925000,-28735000,57190000,56440000,56440000,56440000,97701000,97701000,698911000,698911000,814413000,99831000,99831000,1710856000,278288000,1566526000,522215000,815316000,228995000,1844814000,3555670000,701098000,503523000,197575000,915598000,1030250000,247275000,247275000,1277525000,2193123000,35360000,1486788000,-159601000,1362547000,1362547000,3555670000,20417000,64172000,-118169000,-33580000,-15302000,-17406000,-21654000,-1496000,55429000,4443000,4443000,-2193000,2250000,116146000,1244750000,11410000,0.24261,0.06834,0.04029,0.04142,0.01587,0.20216,1.86857,1.60958,0.35007,0.59121,0.58721,14.674,14.27274,0.11952,0.22683,0.02736,0.00400000000000001,0.38366,9.87592,11.98225
"28","2017_Q1",34.2,"Up",1453770000,-1090029000,363741000,-257397000,106344000,-8543000,-10134000,1591000,97801000,97801000,-32181000,65620000,65620000,65620000,65620000,137453000,137453000,796693000,796693000,722140000,91255000,91255000,1747541000,293315000,1479948000,509297000,816592000,154059000,1773263000,3520804000,792835000,566253000,226582000,829335000,1022155000,227568000,20672000,1249723000,2079058000,49468000,1529158000,-136880000,1441746000,1441746000,3520804000,23566000,59600000,159817000,243424000,-23074000,-1758000,-23587000,17792999.9999999,-203794000,37872000,37872000,1880000,39752000,129910000,1058655000,298834000,0.25021,0.07315,0.04514,0.04551,0.01864,4.55401,2.10716,1.44204,0.30069,0.6874,0.68252,15.22894,15.10298,3.13043,0.24709,0.0327,0.10954,0.35945,7.09108,8.66247
"29","2017_Q2",35.7425396825397,"Up",1332436000,-1015258000,317178000,-251762000,65416000,-7798000,-10162000,2364000,57618000,57618000,-18712000,38906000,38906000,38906000,38906000,89978000,89978000,719218000,719218000,799176000,82696000,82696000,1691068000,298104000,1510095000,494981000,814207000,200907000,1808199000,3499267000,710441000,523105000,187336000,837004000,1016184000,228042000,228042000,1244226000,2081230000,54841000,1519900000,-156704000,1418037000,1418037000,3499267000,20359000,9184000,-141228000,-72779000,-15042000,-5705000,-24197000,-4631000,34172000,-44312000,-44312000,-3163000,-47475000,85775000,1142747000,-51783000,0.23804,0.0491,0.0292,0.02744,0.01112,-1.33098,2.02038,1.46768,0.32657,0.40756,0.40489,13.95791,14.85462,-0.54245,0.25348,0.02263,-0.01857,0.62193,12.27361,16.09345
"30","2017_Q3",31.8384126984127,"Down",1418241000,-1099281000,318960000,-239157000,79803000,-8475000,-10097000,1622000,71328000,71328000,-25572000,45756000,45756000,45756000,45756000,110387000,110387000,822734000,822734000,795454000,104257000,104257000,1832832000,303342000,1454194000,479977000,812419000,161798000,1757536000,3590368000,763044000,545366000,217678000,946669000,1010211000,227436000,227436000,1237647000,2184316000,58524000,1517796000,-170268000,1406052000,1406052000,3590368000,21648000,5509000,-55440000,17473000,-14335000,-557000.000000015,-23458000,-2645000.00000001,3897000.00000003,20813000,20813000,-404000,20409000,101451000,1193836000,57248000.0000001,0.2249,0.05627,0.03226,0.03254,0.01274,1.25116,1.93609,1.55351,0.33251,0.47882,0.4757,14.84152,14.71397,0.59909,0.24548,0.02448,0.02025,0.51268,10.67953,13.57654
