"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2015_Q2",264.014126984127,"Down",86087000,-9441000,76646000,-59919000,-34390000,-25530000,16727000,-14904000,-14904000,1823000,-110000,1713000,-430000,-2485000,-2485000,1667000,99000,13096000,13096000,44069000,44069000,2371000,2371000,59536000,1234229000,535223000,456930000,16604000,1769452000,1828988000,18199000,10466000,15002000,15002000,33201000,7.96e+08,65922000.0000001,58984000,6937999.99999994,861922000,895123000,933865000,933865000,933865000,1828988000,-2485000,25781000,-431000,24798000,47663000,-49470000,-49470000,-49470000,-80241000,6.3e+07,-42274000,20726000,-11852000,-11852000,-11852000,42508000,7.96e+08,18266000,0.89033,0.1943,0.00115,0.000109999999999999,5.00000000000014e-05,184.50505,1.7932,0.95851,0.43521,0.06081,0.04936,52.87454,573.57888,11.21896,6.0000000000001e-05,0.01017,18.4178,46.80481
"12","2015_Q3",206.2796875,"Down",86854000,-8574000,78280000,-61245000,-35226000,-26019000,17035000,-15600000,-15600000,1435000,-607999.999999985,826999.999999993,263000,-2396000,-2396000,2984000.00000001,1093000.00000001,26973000,26973000,51739000,51739000,1648000,1648000,80360000,1438798000,739595000,458625000,15908000,2178393000,2258753000,31289000,13806000,23163000,23163000,54452000,8.79e+08,69366000,62784000,6582000,948366000,1002818000,1255935000,1255935000,1255935000,2258753000,12540000,22415000,4942000.00000001,14769000,54666000,-10467000,-10705000,-10705000,-272637000,8e+06,173000,230292000,12321000,12321000,12321000,39450000,8.79e+08,43489000,0.90128,0.19613,0.0125800000000001,0.00087,0.00048,39.78866,1.4758,0.79846,0.38915,0.67132,0.545,53.34563,771.39393,26.7109,5e-04,0.01973,21.59764,50.01626
"13","2015_Q4",150.78296875,"Down",115201000,-6959000,108242000,-81883000,-35488000,-26396000,26359000,-14359000,-14359000,1.2e+07,-8018000,3982000,-199000,3543000,3543000,23605000,21198000,5459000,5459000,45902000,45902000,3773000,3773000,55134000,1448548000,728500000,448293000,15145000,2177048000,2232182000,23293000,15560000,20634000,20634000,43927000,904642000,38930000,32333000,6597000,943572000,987499000,1244683000,1244683000,1244683000,2232182000,23604000,24297000,10422000,-38763000,19560000,-29115000,-29115000,-29115000,-24792000,2.5e+07,-41177000,-16282000,-21514000,-21514000,-21514000,50656000,904642000,-17023000,0.93959,0.22881,0.18401,0.01703,0.00950000000000001,-0.80305,1.25513,0.79337,0.40527,13.01979,10.56987,70.75633,764.48297,-10.45551,0.00969,-0.00778,17.75077,34.11294
"14","2016_Q1",137.919344262295,"Down",112415000,-6424000,105991000,-63962000,-34990000,-27172000,42029000,-14229000,-14229000,27800000,-250590000,-222790000,969000,-220890000,-220890000,-220468000,-2.18e+08,21793000,21793000,89581000,89581000,3573000,3573000,114947000,1812783000,485774000,461310000,8253000,3049725000,3164672000,72967000,40808000,18618000,18618000,91585000,1267270000,821575000,45486000,776089000,2088845000,2180430000,984242000,984242000,984242000,3164672000,-255887000,33410000,279972000,11991000,69486000,-183173000,-182935000,-182935000,-269050000,-62500000,499105000,214591000,15027000,15027000,15027000,75439000,1267270000,-96712000,0.94285,0.37387,-1.93924,-0.22149,-0.06889,0.443629999999999,1.25509,2.21534,0.40044,-133.89537,-108.70038,69.04517,604.52038,-59.40041,-0.07094,-0.03147,16.50972,29.63375
"15","2016_Q2",185.083125,"Up",90571000,-6290000,84281000,-66427000,-38721000,-27728000,17854000,-15882000,-15882000,1972000,-8574000,-6602000,77000,-3665000,-3665000,-6454000,-8264000,13087000,13087000,49550000,49550000,2887000,2887000,65524000,1833765000,477725000,452667000,8847000,3069359000,3134883000,33203000,18783000,17883000,17883000,51086000,1312158000,575053000,46959000,528094000,1887211000,1938297000,1185281000,1185281000,1196586000,3134883000,-3665000,27865000,19205000,23444000,66849000,-61326000,-61326000,-61326000,-437348000,3.89e+08,-27207000,361793000,-8706000,-8706000,-8706000,45719000,1312158000,7760000,0.93055,0.19713,-0.09124,-0.00691,-0.00264,-0.93901,1.28262,1.61986,0.41857,-5.07574,-4.12064,55.62861,727.99832,4.76618,-0.00267999999999999,0.00252,28.41425,72.76078
"16","2016_Q3",211.064375,"Up",89635000,-6864000,82771000,-64230000,-36286000,-27963000,18541000,-16035000,-16035000,2506000,-18230000,-15724000,-360000,-50555000,-50555000,-50287000,-51223000,6743000,6743000,48305000,48305000,2138000,2138000,57186000,1846147000,466920000,441961000,8748000,3024088000,3081274000,47106000,21597000,21622000,21622000,68728000,1312539000,592468000,48196000,544272000,1905007000,1973735000,1096502000,1096502000,1107539000,3081274000,-50555000,28092000,66239999.9999999,20874000,64651000,-30046000,-30046000,-30046000,-29535000,0,-41460000,-41460000,-6344000,-6344000,-6344000,46633000,1312539000,37821000,0.92342,0.20685,-0.57146,-0.04625,-0.01662,-0.738359999999999,0.83206,1.78209,0.42597,-31.46111,-25.5411,55.05372,673.47035,23.22962,-0.017,0.01255,28.00154,70.42749
"17","2016_Q4",214.089841269841,"Up",95073000,-6986000,88087000,-63355000,-35427000,-27979000,24732000,-15733000,-15733000,8999000,-7373000,1626000,142000,2038000,2038000,1922000,-215000,7597000,7597000,52448000,52448000,4766000,4766000,64811000,1853058000,456363000,431713000,8439000,3015266000,3080077000,28797000,13110000,28602000,28602000,57399000,1224919000,598359000,49042000,549317000,1823278000,1880677000,1188247000,1188247000,1199400000,3080077000,2038000,28101000,19315000,-12249000,37205000,-31363000,-31363000,-31363000,-35813000,-8.8e+07,-38653000,-538000,854000,854000,854000,52833000,1224919000,9079000,0.92652,0.26014,-0.00226,-0.00018,-7.00000000000006e-05,-42.22791,1.12913,1.56801,0.39769,-0.13205,-0.1072,58.39373,729.82004,5.57631,-7.00000000000006e-05,0.003,23.04094,49.22052
"18","2017_Q1",232.515322580645,"Up",127083000,-7281000,119802000,-65855000,-37310000,-28569000,53947000,-16160000,-16160000,37787000,-24855000,12932000,66000,13995000,13995000,13901000,11523000,7428000,7428000,97364000,97364000,4309000,4309000,109101000,1853671000,444992000,421452000,7329000,3006078000,3115179000,49424000,16251000,22317000,22317000,71741000,1240301000,633464000,57465000,575999000,1873765000,1945506000,1158426000,1158426000,1169673000,3115179000,13995000,28603000,36036000,-16844000,61790000,-19984000,-19984000,-19984000,-31430000,1.5e+07,80586000,-30529000,-169000,-169000,-169000,82550000,1240301000,45656000,0.94271,0.4245,0.09067,0.00985,0.0037,3.96215999999999,1.52076,1.66329,0.39815,7.07741,5.74566,78.05424,711.50401,28.04187,0.00379,0.015,14.93486,22.85341
"19","2017_Q2",229.265873015873,"Down",135805000,-9052000,126753000,-66322000,-37824000,-28569000,60431000,-16716000,-16716000,43715000,-43190000,525000,-452000,-583000,-583000,-685000,-2777000,6285000,6285000,53669000,53669000,3240000,3240000,63194000,1854083000,435045000,411778000,7056000,2991879000,3055073000,41457000,17764000,9370000,9370000,50827000,1264912000,614219000,18980000,595239000,1879131000,1929958000,1113766000,1113766000,1125115000,3055073000,-583000,28418000,55643000,-21029000,62449000,-14428000,-14428000,-14428000,-19725000,309087000,-352954000,-43867000,-1143000,-1143000,-1143000,88849000,1264912000,53844000,0.93335,0.44498,-0.02045,-0.00247,-0.00091,-19.38927,1.24332,1.71534,0.41404,-1.70563,-1.38468,83.41129,684.07389,33.07093,-0.00092,0.01792,14.16591,20.82751
"20","2017_Q3",220.530476190476,"Down",101792000,-9099000,92693000,-65589000,-36965000,-28688000,27104000,-17553000,-17553000,9551000,4869000,14420000,211000,11246000,11246000,11157000,8806000,2588000,2588000,55837000,55837000,2264000,2264000,60689000,1859953000,432688000,402020000,14457000,2993661000,3054350000,41803000,10327000,18815000,18815000,60618000,1280645000,602188000,13049000,589139000,1882833000,1943451000,1099461000,1099461000,1110899000,3054350000,11246000,28537000,10052000,9057000,58892000,-31484000,-31484000,-31484000,-42357000,1.6e+07,-36232000.0000001,-20232000,-3697000,-3697000,-3697000,55641000,1280645000,33003000,0.91061,0.26627,0.08651,0.00793,0.00288,3.74779,1.00117,1.74944,0.41929,5.40864,4.3909,62.52054,675.28777,20.27041,0.00294,0.01102,22.9697,47.15381
"21","2017_Q4",209.98746031746,"Down",124945000,-18177000,106768000,-64440000,-35592000,-28927000,42328000,-17614000,-17614000,24714000,68749000,93463000,-176000,93637000,93637000,93546000,89547000,2911000,2911000,61267000,61267000,4785000,4785000,68963000,1884569000,421999000,392035000,13753000,3003158000,3072121000,62063000,22676000,19968000,19968000,82031000,1295787000,532995000,15421000,517574000,1828782000,1910813000,1149779000,1149779000,1161308000,3072121000,93637000,28777000,-57379000,10121000,75156000,-37994000,-40294000,-40294000,-43984000,1.5e+07,-45849000,-30849000,323000,323000,323000,71105000,1295787000,43408000,0.85452,0.33877,0.71669,0.07711,0.02915,0.48475,0.84069,1.6454,0.42179,54.99967,44.65043,76.74109,706.19303,26.66115,0.02995,0.01452,18.18263,30.54423
"22","2018_Q1",203.039672131148,"Down",126199000,-20909000,105290000,-67389000,-38182000,-29291000,37901000,-16248000,-16248000,21653000,-41447000,-19794000,76000,-18250000,-18250000,-18331000,-20091000,1430000,1430000,72301000,72301000,4327000,4327000,78058000,1795129000,331121000,301345000,13565000,2816735000,2894793000,44314000,16375000,24675000,24675000,68989000,1051192000,384943000,12707000,372236000,1436135000,1505124000,1084430000,1378856000,1389669000,2894793000,-18250000,29140000,53375000,-22930000,41335000,-38009000,-38009000,-38009000,-42617000,-245019000,-48418000,-199000,-1481000,-1481000,-1481000,67041000,1051192000,6026000,0.83432,0.30033,-0.1592,-0.01446,-0.00694,-0.299940000000001,1.13146,1.08308,0.36313,-12.33987,-10.01789,77.51129,666.05575,3.70116,-0.00711,0.00213,15.65851,27.69748
"23","2018_Q2",169.23234375,"Down",117320000,-20286000,97034000,-65673000,-38989000,-26677000,31361000,-15122000,-15122000,16239000,-21641000,-5402000,171000,-3845000,-3845000,-3930000,-5988000,3366000,3366000,68811000,68811000,3535000,3535000,75712000,1858312000,323135000,293771000,13153000,2863674000,2939386000,53654000,21232000,20420000,20420000,74074000,1091602000,429629000,36587000,393042000,1521231000,1595305000,1032442000,1333183000,1344081000,2939386000,-3845000,26526000,32484000,-3955000,51210000,-40778000,-40778000,-40778000,-40999000,4e+07,-48275000,-8275000,1936000,1936000,1936000,57887000,1091602000,12983000,0.82709,0.26731,-0.05104,-0.00446,-0.00204,-2.16817,1.02211,1.18691,0.37137,-0.85555,-0.85555,16.76239,147.51279,1.85498,-0.00208999999999999,0.00453,18.79932,34.7003
"24","2018_Q3",188.591904761905,"Up",128183000,-24384000,103799000,-64764000,-38007000,-26784000,39035000,-14837000,-14837000,24198000,-69897000,-45699000,-294000,-49913000,-49913000,-49971000,-51111000,8212000,8212000,80166000,80166000,2594000,2594000,90972000,1887759000,316020000,286665000,13144000,2874606000,2965578000,56912000,21698000,24785000,24785000,81697000,1147005000,500068000,38119000,461949000,1647073000,1728770000,932236000,1225852000,1236808000,2965578000,-49913000,26634000,83216000,-1098000,58839000,-49120000,-49616000,-49616000,-49205000,5.5e+07,-59788000,-4788000,4846000,4846000,4846000,65669000,1147005000,15745000,0.80977,0.30453,-0.39873,-0.04132,-0.01723,-0.30806,1.11353,1.39777,0.38677,-7.30261,-7.30261,18.31447,133.1956,2.24961,-0.01772,0.00546,17.34141,29.17364
"25","2018_Q4",164.939841269841,"Down",127479000,-26879000,100600000,-62807000,-36122000,-26743000,37793000,-14862000,-14862000,22931000,35658000,58589000,35000,57455000,57455000,57430000,54151000,370000.000000001,370000.000000001,85458000,85458000,4360000,4360000,90188000,1911630000,315984000,281207000,18566000,2887868000,2978056000,58903000,22569000,29776000,29776000,88679000,1175313000,463049000,39624000,423425000,1638362000,1727041000,939293000,1240034000,1251015000,2978056000,57455000,26592000,-23277000,-4327000,56443000,-46639000,-46639000,-46639000,-46542000,2.8e+07,-45743000,-17743000,-7842000,-7842000,-7842000,64385000,1175313000,13384000,0.78915,0.29646,0.42478,0.04329,0.01818,0.24716,1.01702,1.38051,0.39466,7.73696,7.73696,18.21389,134.20389,1.91227,0.01874,0.00463,18.24871,31.08891
"26","2019_Q1",145.216885245902,"Down",133671000,-36112000,97559000,-63780000,-36637000,-26896000,33779000,-15714000,-15714000,18065000,27719000,45784000,55000,38654000,38654000,38654000,35747000,4345000,4345000,97936000,97936000,3971000,3971000,106252000,1963713000,301347000,273416000,11720000,2914310000,3020562000,75150000,38414000,34902000,34902000,110052000,1257731000,431555000,39504000,392051000,1689286000,1799338000,927608000,1221224000,1221224000,3020562000,38654000,27015000,-9298000,5066000,61437000,-63553000,-63553000,-63553000,-79533000,8.2e+07,-59929000,22071000,3975000,3975000,3975000,60794000,1257731000,2252000,0.72984,0.2527,0.26743,0.02927,0.01183,0.0630000000000001,0.96547,1.47339,0.41639,5.10744,5.10744,19.09859,132.53436,0.321759999999999,0.01228,0.00077,20.61694,37.10548
"27","2019_Q2",104.229206349206,"Down",131408000,-31759000,99649000,-69230000,-41503000,-27727000,30419000,-17318000,-17527000,13101000,-49367000,-36266000,-207000,-36914000,-36914000,-36914000,-36926000,5300000,5300000,91978000,91978000,2812000,2812000,100090000,1873929000,286345000,258711000,11423000,2800500000,2900590000,66460000,28324000,128635000,128635000,195095000,1226146000,340316000,41203000,299113000,1566462000,1761557000,838292000,1139033000,1139033000,2900590000,-36914000,28116000,61264000,245000,52711000,28613000,-60848000,-60848000,28493000,-3.2e+07,-48249000,-80249000,955000,955000,955000,58535000,1226146000,87600000,0.75832,0.23149,-0.281,-0.03242,-0.01273,-2.37231,0.51303,1.54654,0.42272,-5.2759,-5.2759,18.77525,119.77311,12.51607,-0.01365,0.03238,20.85668,40.13432
"28","2019_Q3",81.45640625,"Down",99686000,-11571000,88115000,-60732000,-33932000,-26800000,27383000,-17858000,-17941000,9525000,-3495000.00000001,6030000,-1142000,4809000,4809000,4808999.99999999,4809000,535000,535000,84125000,84125000,2011000,2011000,86671000,1878851000,278373000,251250000,10912000,2811031000,2897702000,48953000,25252000,323471000,323471000,372424000,1365564000,52599000,40201000,12398000,1418163000,1790587000,813499000,1107115000,1107115000,2897702000,-338000,27237000,8975000.00000001,-4011000,31863000,-49944000,-50244000,-50244000,-48653000,85250000,-79946000,5304000,-11486000,-11486000,-11486000,54620000,1365564000,1807000.00000001,0.88393,0.27469,0.04824,0.00434,0.00166,0.375749999999999,0.23272,1.61735,0.47126,0.687100000000002,0.687100000000002,14.24289,116.23075,0.258179999999999,0.0019,0.00072,24.99138,49.84951
"29","2019_Q4",55.89953125,"Down",100187000,-7472000,92715000,-65832000,-38315000,-27517000,26883000,-33067000,-33079000,-6184000,-9337000,-15521000,-78000,-16276000,-16276000,20975000,20987000,5050000,5050000,88889000,88889000,5525000,5525000,99464000,1899281000,253963000,243773000,10190000,2801992000,2901456000,54308000,27651000,328934000,328934000,383242000,1392986000,51029000,39834000,11195000,1444015000,1827257000,773458000,1074199000,1074199000,2901456000,-11129000,27677000,28966000,-2471000,43043000,-40221000,-40571000,-40571000,-45127000,21250000,-14582000,6668000,4584000,4584000,4584000,54560000,1392986000,11946000,0.92542,0.26833,0.20948,0.01954,0.00723,0.56921,0.25953,1.70104,0.4801,2.99857,2.99857,14.31447,110.50979,1.70682,0.00833,0.00474,25.43871,51.62876
"30","2020_Q1",33.0196774193548,"Down",112247000,-12636000,99611000,-69226000,-40916000,-28310000,30385000,-23272000,-23419000,7113000,-1.6e+07,-8887000,196000,-345345000,-345345000,-173321000,-201879000,9530000,9530000,97418000,97418000,32913000,32913000,139861000,1882489000,242020000,232278000,9742000,2434237000,2574098000,58544000,24415000,25457000,25457000,89547000,1622279000,49586000,38709000,10877000,1671865000,1761412000,305550000,626616000,812686000,2574098000,-345345000,28544000,368698000,-17773000,34124000,-18628000,-30628000,-30628000,-25583000,71250000,-80487000,18155000,26696000,26696000,26696000,58929000,1627825000,22332000,0.88743,0.2707,-1.79852,-0.24841,-0.07843,-0.11062,1.56187,2.1674,0.63239,-28.84398,-28.84398,16.03758,43.65624,3.19074,-0.08107,0.00897,27.46178,53.25967
