"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",11.43640625,"Up",212986000,-97028000,115958000,-76282000,-76282000,39676000,837000,837000,40513000,40513000,-15846000,24667000,24667000,24667000,24667000,387371000,275533000,111838000,51835000,51835000,82743000,25245000,41974000,521949000,94930000,41166000,11471000,15994000,232571000,754520000,65702000,140969000,140969000,206671000,36408000,36408000,36408000,243079000,155950000,-135573000,490891000,511441000,511441000,754520000,24667000,4831000,23970000,-31952000,21516000,-2994000,49308000,-1369000,44945000,101000,101000,0,101000,66562000,66562000,66562000,44507000,0,25407000,0.54444,0.18628,0.11582,0.04823,0.03269,1.03,2.52551,0.47528,0,0.45571,0.44848,3.93479,9.44856,0.46938,0.04503,0.04638,-8.7036,-9.76336
"12","2013_Q3",16.266875,"Up",193470000,-99603000,93867000,-74734000,-74734000,19133000,748000,748000,19881000,19881000,-7767000,12114000,12114000,12114000,12114000,409388000,322578000,86810000,43393000,43393000,81614000,23891000,42150000,534395000,94719000,39683000,11686000,14251000,220685000,755080000,55697000,134634000,134634000,190331000,36907000,36907000,36907000,227238000,160391000,-135573000,503005000,527842000,527842000,755080000,12114000,5507000,16784000,-17197000,17208000,-3784000,33919000,-984000,29151000,685999.999999998,686000,0,686000.000000002,47045000,47045000,47045000,24640000,0,11426000,0.48518,0.09889,0.06261,0.02295,0.01604,0.94321,2.80771,0.4305,-1.57772181044202e-30,0.22377,0.21642,3.57384,9.75048,0.21106,0.02145,0.02023,-16.61477,-21.39696
"13","2013_Q4",18.0903125,"Up",182768000,-83562000,99206000,-79682000,-79682000,19524000,786000,786000,20310000,20310000,-6099000,14211000,14211000,14211000,14211000,427520000,392299000,35221000,41842000,41842000,75803000,19072000,41145000,545165000,94570000,39585000,11974000,13887000,220434000,765599000,58150000,126447000,126447000,184597000,35039000,35039000,35039000,219636000,164292000,-135573000,517216000,545963000,545963000,765599000,14211000,5523000,11678000,-8328000,23084000,-4959000,51903000,-1165000,45779000,1067000,1067000,-217000,858000,69721000,69721000,69721000,25047000,0,17859000,0.5428,0.10682,0.07775,0.02603,0.01856,1.2567,2.95327,0.40229,0,0.26152,0.25193,3.36348,10.04735,0.32866,0.02446,0.03074,-17.06871,-21.89715
"14","2014_Q1",17.2640983606557,"Down",162225000,-85211000,77014000,-79894000,-79894000,-2880000,711000,711000,-2169000,-9159000,4050000,-5109000,-5109000,-5109000,-5109000,278427000,212526000,65901000,22953000,22953000,76235000,21563000,37989000,377615000,91425000,59910000,26878000,14525000,192397000,570012000,59485000,132791000,132791000,192276000,33198000,33198000,33198000,225474000,169452000,-337069000,512107000,344538000,344538000,570012000,-5109000,5805000,14755000,8327000,23778000,-3088000,14454000,-16045000,-4679000.00000001,-191652000,9844000,-7443000,-198872000,-179773000,-179773000,-179773000,2925000,3.3881317890172e-21,4114000,0.47474,-0.01775,-0.03149,-0.01483,-0.00896,-0.80525,1.96392,0.65442,-2.52435489670724e-29,-0.09623,-0.09363,3.05572,6.48982,0.07749,-0.01353,0.01089,-95.18872,96.67604
"15","2014_Q2",14.5019047619048,"Down",157270000,-83081000,74189000,-82047000,-82047000,-7858000,367000,367000,-7491000,-7491000,3161000,-4330000,-4330000,-4330000,-4330000,236709000,190691000,46018000,29628000,29628000,74266000,27864000,29703000,340603000,90122000,59417000,26637000,14263000,213436000,554039000,68800000,108621000,108621000,177421000,32795000,32795000,32795000,210216000,173103000,-337069000,507777000,343823000,343823000,554039000,-4330000,6029000,17194000,-35392000,-16499000,-3054000,-3111000,-1121000,-7286000,2361000,2361000,-411000,1950000,-21835000,-21835000,-21835000,-1829000,0,-43436000,0.47173,-0.04997,-0.02753,-0.01259,-0.00782,10.03141,1.91974,0.61141,0,-0.09644,-0.09644,3.50291,7.65804,-0.96746,-0.0115,-0.11533,129.4199,30.12331
"16","2014_Q3",12.53859375,"Down",171522000,-76853000,94669000,-72255000,-72255000,22414000,712000,712000,23126000,23126000,-10171000,12955000,12955000,12955000,12955000,231620000,150490000,81130000,25881000,25881000,73692000,23405000,33553000,331193000,88694000,57835000,26232000,13101000,224281000,555474000,50560000,112404000,112404000,162964000,32186000,32186000,32186000,195150000,176685000,-337069000,520732000,360324000,360324000,555474000,12955000,5943000,5469000,-11709000,12658000,-3149000,-49315000,-1191000,-53655000,602999.99999997,603000,192999.999999999,795999.99999997,-40201000,-40201000,-40201000,28357000,5.42101086242752e-20,23670000,0.55194,0.13068,0.07553,0.03595,0.02332,1.82709,2.03231,0.5416,-2.01948391736579e-28,0.28641,0.27858,3.79197,7.96595,0.52329,0.03301,0.0603,-8.16800000000001,-10.33372
"17","2014_Q4",11.35125,"Down",162654000,-79707000,82947000,-72366000,-72366000,10581000,1080000,1080000,11661000,11661000,-5370000,6291000,6291000,6291000,6291000,239853000,188779000,51074000,31375000,31375000,60820000,18365000,25757000,332048000,88098000,55376000,25586000,12349000,236251000,568299000,59314000,109105000,109105000,168419000,31334000,31334000,31334000,199753000,178739000,-337069000,527023000,368546000,368546000,568299000,6291000,5942000,20953000,-4761000,28425000,-3441000,14571000,-674000,10456000,112000,112000,-704000,-592000,38289000,38289000,38289000,16523000,0,13691000,0.50996,0.06505,0.03868,0.01707,0.01107,2.17628,1.97156,0.542,0,0.13887,0.13537,3.59052,8.13549,0.30222,0.01573,0.03424,-14.51631,-22.66827
"18","2015_Q1",10.0732786885246,"Down",147259000,-75438000,71821000,-65819000,-65819000,6002000,725000,725000,6727000,-10101000,4853000,-5248000,-5248000,-5248000,-5248000,219054000,207003000,12051000,21274000,21274000,71056000,22818000,26937000,311384000,78219000,56935000,24775000,11985000,246711000,558095000,52416000,108048000,108048000,160464000,31750000,31750000,31750000,192214000,181350000,-337069000,521775000,365881000,365881000,558095000,-5248000,5403000,2864000,-13426000,-10407000,-1785000,19922000,-648000,17489000,32000,32000,97999.9999999999,130000,7212000,7212000,7212000,11405000,8.67361737988404e-19,-8659000,0.48772,0.04076,-0.03564,-0.01434,-0.0094,1.64996,1.94052,0.52535,0,-0.11563,-0.10894,3.24466,8.06172,-0.19079,-0.0132,-0.02178,-19.20684,-36.49683
"19","2015_Q2",9.48444444444444,"Down",142518000,-75049000,67469000,-68669000,-68669000,-1200000,689000,689000,-511000,-511000,140000,-371000,-371000,-371000,-371000,253454000,241277000,12177000,30918000,30918000,64681000,22321000,21065000,349053000,75728000,55751000,23901000,11807000,213072000,562125000,62880000,102688000,102688000,165568000,30003000,30003000,30003000,195571000,182229000,-337069000,521404000,366554000,366554000,562125000,-371000,5345000,16701000,-14287000,7388000,-1626000,29959000,-580000,27753000,127000,127000,-994000,-867000,34274000,34274000,34274000,4145000,0,-11908000,0.47341,-0.00842,-0.0026,-0.00101,-0.00066,32.09704,2.10822,0.53354,0,-0.00817,-0.00817,3.13723,8.0689,-0.26213,-0.00094,-0.03003,-61.14692,211.21167
"20","2015_Q3",8.54703125,"Down",147057000,-71410000,75647000,-61741000,-61741000,13906000,345000,345000,14251000,-167000,-482999.999999998,-650000,-650000,-650000,-650000,275444000,261023000,14421000,28164000,28164000,75592000,25229000,29047000,379200000,71068000,53192000,23046000,10626000,183348000,562548000,60539000,98827000,98827000,159366000,34069000,34069000,34069000,193435000,185468000,-337069000,520754000,369113000,369113000,562548000,-650000,5284000,23642000,-20896000,7380000,-556000,20044000,-7407000,12081000,235000,235000,50000,285000,19746000,19746000,19746000,19190000,-1.38777878078145e-17,-1779000,0.51441,0.09456,-0.00441999999999997,-0.00175999999999999,-0.00116,2.73691999999999,2.37943,0.52405,0,-0.01423,-0.0142300000000001,3.21971,8.08147,-0.03895,-0.00160999999999999,-0.00441,-14.35352,-19.80757
"21","2015_Q4",7.9778125,"Down",140762000,-69197000,71565000,-61140000,-61140000,10425000,465000,465000,10890000,-34014000,-28732000,-62746000,-62746000,-62746000,-62746000,264575000,242673000,21902000,30793000,30793000,71853000,33577000,25519000,367221000,30560000,36155000,22221000,9816000,138079000,505300000,74492000,89614000,89614000,164106000,33299000,33299000,33299000,197405000,187008000,-337069000,458008000,307895000,307895000,505300000,-62746000,4774000,76708000,-16863000,1873000,-142000,-20050000,-143000,-20335000,34000,34000,78000,112000,-18350000,-18350000,-18350000,15199000,0,26926000,0.50841,0.07406,-0.44576,-0.20379,-0.12418,-0.42913,2.23771,0.64114,0,-1.37138,-1.37138,3.0765,6.72936,0.58849,-0.1839,0.07892,-17.4074,-25.3789
"22","2016_Q1",7.59524590163934,"Down",131392000,-65840000,65552000,-62622000,-62622000,2930000,607000,607000,3537000,-5497000,-1190000,-6686999.99999999,-6686999.99999999,-6686999.99999999,-6686999.99999999,301532000,282145000,19387000,24091000,24091000,77652000,52192000,25460000,403275000,21742000,33979000,21265000,12714000,103491000,506766000,79196000,88756000,88756000,167952000,35164000,35164000,35164000,203116000,189497000,-337069000,451321000,303650000,303650000,506766000,-6686999.99999999,4175000,26896000,-22224000,2160000,-153000,25964000,5977000,31788000,149000,149000,4126000,4275000,38223000,38223000,38223000,7105000,0,-14082000,0.4989,0.0223,-0.05089,-0.02202,-0.0132,2.10588,2.40113,0.66891,0,-0.14599,-0.14599,2.86857,6.62933,-0.30744,-0.01974,-0.04156,-42.43941,-102.91195
"23","2016_Q2",8.5621875,"Up",133002000,-69586000,63416000,-79006000,-65132000,-15590000,683000,683000,-14907000,-15616000,5504000,-10112000,-10112000,-10112000,-10112000,280363000,243120000,37243000,34179000,34179000,64192000,42027000,22165000,378734000,19568000,32519000,20210000,12309000,102143000,480877000,70810000,82379000,82379000,153189000,32816000,32816000,32816000,186005000,190666000,-337069000,441209000,294872000,294872000,480877000,-10112000,3729000,11652000,-25737000,-20468000,-291000,-20156000,-227000,-20674000,138000,138000,-1267000,-1129000,-42271000,-42271000,-42271000,-11861000,0,-43393000,0.4768,-0.11722,-0.07603,-0.03429,-0.02103,4.29124,2.47233,0.6308,0,-0.22015,-0.22015,2.89557,6.41961,-0.9447,-0.03086,-0.13242,23.63738,17.98352
"24","2016_Q3",7.31984375,"Down",137970000,-66448000,71522000,-66473000,-64181000,5049000,652000,652000,5701000,4009000,-671000,3338000,3338000,3338000,3338000,300695000,265366000,35329000,29797000,29797000,64011000,41433000,22578000,394503000,17429000,29411000,19246000,10165000,91840000,486343000,74643000,81216000,81216000,155859000,30712000,30712000,30712000,186571000,192199000,-337069000,444547000,299772000,299772000,486343000,3338000,3184000,9590000,579000.000000004,16691000,-653000,7053999.99999999,-236999.999999999,6164000,112000,112000,-537000.000000001,-425000.000000001,22430000,22430000,22430000,8233000,1.77635683940025e-15,8830000.00000001,0.51839,0.03659,0.02419,0.01114,0.00686,2.6453,2.53115,0.62238,-1.32348898008484e-23,0.07211,0.07102,2.98062,6.4761,0.19076,0.0101,0.02672,-36.52314,-59.55536
"25","2016_Q4",8.6868253968254,"Up",136583000,-64095000,72488000,-80946000,-64194000,-8458000,557000,557000,-7901000,-8266000,-1211000,-9477000,-9477000,-9477000,-9477000,286156000,258354000,27802000,30614000,30614000,65404000,39181000,26223000,382174000,16021000,21014000,18301000,2713000,82019000,464193000,69185000,75696000,75696000,144881000,27673000,27673000,27673000,172554000,193589000,-337069000,435070000,291639000,291639000,464193000,-9477000,3155000,16288000,-19121000,-9155000,-618000,7579000,-185000,6776000,4000,4000,-37000,-33000,-2412000,-2412000,-2412000,-5303000,0,-23831000,0.53072,-0.06193,-0.06939,-0.0325,-0.02042,2.51461,2.63785,0.59167,0,-0.20462,-0.20462,2.949,6.29686,-0.51454,-0.02968,-0.07463,53.96115,33.83258
"26","2017_Q1",10.2396774193548,"Up",115963000,-63208000,52755000,-57712000,-57542000,-4957000,414000,414000,-4543000,-21053000,4253000,-16800000,-16800000,-16800000,-16800000,357236000,307802000,49434000,26457000,26457000,4.8e+07,23467000,24533000,431693000,12218000,19465000,17419000,2046000,31683000,463376000,77866000,74666000,74666000,152532000,30138000,30138000,30138000,182670000,196495000,-337069000,421281000,280706000,280706000,463376000,-16800000,3014000,25551000,12250000,24015000,-363000,23019000,-181000,22475000,1323000,1323000,-54999.9999999925,1268000.00000001,47758000,47758000,47758000,-1943000,0,5690999.99999999,0.45493,-0.04275,-0.14487,-0.05985,-0.03626,-0.33875,2.83018,0.65075,0,-0.36226,-0.36791,2.50055,6.05296,0.12272,-0.05405,0.01831,183.85795,72.06698
"27","2017_Q2",13.4430158730159,"Up",129490000,-63039000,66451000,-56789000,-56789000,9662000,443000,443000,10105000,10105000,-236000,9869000,9869000,9869000,9869000,196536000,164733000,31803000,32925000,32925000,43568000,23386000,20182000,273029000,12206000,19835000,16593000,1942000,32041000,305070000,67203000,71795000,71795000,138998000,26778000,26778000,26778000,165776000,197213000,-489069000,431150000,139294000,139294000,305070000,9869000,2388000,8920000,-32696000,-11519000,-1293000,17688000,-114000,16281000,1299000,1299000,-153481000,-152182000,-147420000,-147420000,-147420000,12050000,0,-21703000,0.51317,0.07462,0.07621,0.07085,0.03235,-2.19911,1.96427,1.19012,0,0.23442,0.22953,3.07577,3.30865,-0.51551,0.05943,-0.13068,-16.31004,-20.34113
"28","2017_Q3",10.3903174603175,"Down",124581000,-61148000,63433000,-57253000,-57253000,6180000,341000,341000,6521000,6521000,-207000,6314000,6314000,6314000,6314000,198412000,171536000,26876000,32741000,32741000,43574000,23894000,19680000,274727000,11621000,17588000,15810000,1778000,29209000,303936000,66143000,65162000,65162000,131305000,23742000,23742000,23742000,155047000,200494000,-489069000,437464000,148889000,148889000,303936000,6314000,2308000,9810000,-18430000,2000.00000000745,-1003000,4976000,-104000,3869000,2602000,2602000,-172000.00000003,2429999.99999997,6301000,6301000,6301000,8488000,0,-10738000,0.50917,0.04961,0.05068,0.04241,0.02077,-1.70067,2.09228,1.04136,1.6940658945086e-21,0.21834,0.21094,4.30808,5.14866,-0.37133,0.03658,-0.0622,-23.37559,-32.1055
"29","2017_Q4",9.25857142857143,"Down",115990000,-56345000,59645000,-55110000,-55110000,4535000,381000,381000,4916000,-3088000,1161000,-1927000,-1927000,-1927000,-1927000,192141000,165176000,26965000,34303000,34303000,44469000,24548000,19921000,270913000,10894000,20446000,15237000,5209000,31340000,302253000,69840000,61715000,61715000,131555000,20757000,20757000,20757000,152312000,201507000,-489069000,437503000,149941000,149941000,302253000,-1927000,2125000,12879000,-18304000,-5227000,-580000,-22000,-220000,-822000,39000,39000,-109000,-70000,-6119000,-6119000,-6119000,6660000,0,-13385000,0.51423,0.0391,-0.01661,-0.01285,-0.00638,6.94603,2.05931,1.01581,0,-0.06617,-0.06495,3.98276,5.14854,-0.4596,-0.01129,-0.07841,-28.85,-42.36847
"30","2018_Q1",7.41032786885246,"Down",105052000,-54858000,50194000,-55463000,-53618000,-5269000,346000,346000,-4923000,-5601000,456000,-5145000,-5145000,-5145000,-5145000,187163000,185098000,2065000,24174000,24174000,42816000,22388000,20428000,254153000,10434000,20049000,14593000,5456000,30483000,284636000,71165000,70766000,70766000,141931000,19709000,19709000,19709000,161640000,202404000,-505764000,426356000,122996000,122996000,284636000,-5145000,2042000,8156000,7616000,12669000,-511000,24982000,-115000,24356000,-168498000,197000,151902000,-16596000,20429000,20429000,20429000,-3227000,7.27595761418343e-12,3422000,0.4778,-0.05016,-0.04898,-0.04183,-0.01808,-0.66511,1.79068,1.31419,2.71050543121376e-20,-0.18315,-0.18005,3.7397,4.37848,0.12182,-0.03605,0.02398,57.99907,35.52154
"31","2018_Q2",6.42578125,"Down",116777000,-56614000,60163000,-60942000,-60942000,-779000,250000,250000,-529000,-370000,1680000,1310000,1310000,1310000,1310000,173299000,171178000,2121000,33594000,33594000,38851000,21394000,17457000,245744000,10019000,18984000,14170000,4814000,29003000,274747000,66182000,61698000,61698000,127880000,18803000,18803000,18803000,146683000,202864000,-505764000,430964000,128064000,128064000,274747000,1310000,1759000,7056000,-25194000,-15069000,-809000,-43000,-265000,-1117000,0,0,-705000,-705000,-16891000,-16891000,-16891000,980000,0,-26703000,0.5152,-0.00667,0.01122,0.01023,0.00477,-20.38397,1.92168,1.14539,0,0.04823,0.04753,4.29896,4.71448,-0.98303,0.00892,-0.18182,-176.83571,222.46341
