"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"21","2016_Q2",2.91190476190476,"Up",1444500,-849400,595100,-660600,-575200,-167000,-408200,-85400,-65500,-12400,-7700,-4700,-77900,-77900,17800,-60100,-60100,-60100,-60100,807200,530200,277000,737400,737400,2343800,563300,145300,4451700,222800,2290200,705300,169400,52500,2513000,6964700,717900,201100,516800,422400,422400,1140300,137300,137300,137300,1277600,2562700,-52400,3183900,5687100,5687100,6964700,-60100,105200,-14500,-75000,-44400,-6500,-2333.32289892202,-6500,99100,48200,48200,48200,39700,0,-59600,0.41198,-0.04534,-0.04161,-0.01057,-0.00863,0.99168,3.90397,0.22465,3.3881317890172e-21,-0.04036,-0.04036,0.97004,3.81912,-0.04002,-0.01032,-0.01023,-20.33249,12.32366
"22","2016_Q3",3.01578125,"Up",2028100,-1190400,837700,-707000,-622900,-227200,-395700,-84100,130700,-7600,-9000,1400,123100,123100,-28700,94400.0000000001,94400,94400,94400,945100,666900,278200,870100,870100,3262500,465300,55600,5543000,206500,2229400,705300,190400,52500,2435900,7978900,1351600,372100,979500,709000,709000,2060600,137300,137300,137300,2197900,2563300,-52400,3278300,5781000,5781000,7978900,94400,105600,-11600,-311400,-123000,-7600,-2700,-10300,270000,136700,136700,136700,236300,1.13686837721616e-13,-54000,0.41305,0.06444,0.04655,0.01633,0.01183,-0.57203,2.68999,0.38019,0,0.06339,0.06339,1.36195,3.88218,-0.03626,0.01595,-0.00912,-3.99958,-7.23106
"23","2016_Q4",2.89047619047619,"Down",1674300,-993100,681200,-716300,-622800,-196200,-426600,-93500,-35100,-13200,-13500,300,-48300,-48300,11400,-36900,-36900,-36900,-36900,1363300,1081000,282300,717100,717100,3674900,459200,54800,6214500,222300,2161500,705300,208300,52500,2383800,8598300,1337200,422300,914900,1366700,1366700,2703900,137300,137300,137300,2841200,2573300,-52400,3241400,5757100,5757100,8598300,-36900,108300,-3600,-115300,-47500,-38400,0,-38400,5e+05,414100,414100,414100,73200,0,-91900,0.40686,-0.02096,-0.02204,-0.00641,-0.00429,2.49051,2.29835,0.49351,0,-0.02478,-0.02478,1.12436,3.86613,-0.06171,-0.00626,-0.01559,-18.62432,38.84046
"24","2017_Q1",2.95758064516129,"Up",4450700,-2647400,1803300,-1375700,-1289700,-825000,-464700,-86000,427600,7100,2300,4800,434700,222000,-53800,168200,168200,168200,168200,1535100,1245000,290100,1231900,1231900,2412100,187800,47200,5366900,251100,1931300,705300,275900,52500,2182400,7549300,1198500,342400,856100,136500,136500,1335000,269800,269800,282300,1617300,2573900,-52400,3409600,5932000,5932000,7549300,168200,109800,214700,602600,1095300,-50400,4.54747350886464e-13,249600,-1180900,164000,164000,164000,537400,12500,1143400,0.40517,0.09607,0.03779,0.02835,0.02228,6.79786,4.02015,0.27264,0.00166,0.11295,0.11287,2.98883,3.98358,0.76784,0.02707,0.18399,-2.83327,-3.5608
"25","2017_Q2",2.9984126984127,"Up",1559100,-889500,669600,-744600,-629200,-216800,-412400,-115400,-75000,5400,0,5400,-69600,-69600,20800,-48800,-48800,-48800,-48800,1258100,966000,292100,1151700,1151700,2601100,336800,211300,5347700,233200,1860500,705300,274600,52500,2093700,7441400,852900,320400,532500,565600,565600,1418500,127100,127100,137900,1556400,2574600,-52400,3360800,5885000,5885000,7441400,-48800,95700,16200,-214800,-151700,-8400,0,-8400,-118900,-279000,-279000,-279000,20700,10800,-223300,0.42948,-0.0481,-0.0313,-0.00828999999999998,-0.00656,4.57582,3.76997,0.26447,0.00145,-0.03277,-0.03277,1.047,3.95202,-0.14996,-0.0081,-0.03708,-60.25604,16.63067
"26","2017_Q3",3.20868852459016,"Up",2683800,-1888900,794900,-738300,-633300,-224100,-409200,-105000,56600,8300,8000,300,64900,64900.0000000001,-19500,45400,45400,45400,45400,1188000,897100,290900,1668000,1668000,2125000,250000,122500,5231000,220200,1793600,705300,277500,52500,2013800,7244800,861700,300200,516800,428800,428800,1290500,67100,67100,76300,1366800,2574900,-52400,3361500,5878000,5878000,7244800,45400,93800,-3700,-434100,-298600,-11000,-18700,-18600,248300,-68900,-68900,-68900,150400,9200,-275200,0.29618,0.02109,0.01692,0.00772,0.00627,-6.06167,4.05347,0.23253,0.00127,0.03049,0.03049,1.80228,3.94732,-0.18481,0.00762,-0.04622,-7.83777,-20.82686
"27","2017_Q4",3.06047619047619,"Down",1910900,-1054800,856100,-773100,-659000,-223900,-435100,-114100,83000,-100,-100,4.54747350886464e-13,82900,82900,-17300,65600,65600,65600,65600,1505300,1211300,294000,1327700,1327700,2205900,214100,73100,5253000,212900,1732200,705300,284200,52500,1945100,7198100,881700,343100,538600,123900,123900,1005600,224200,224200,231700,1237300,2590700,-52400,3427100,5960700,5960700,7198000,65600,87000,-21800,524300,655100,-11600,0,-11600,-329300,314200,314200,314200,170000,7500,7e+05,0.44801,0.04344,0.03433,0.01101,0.00911,10.67073,5.22375,0.20758,0.00104,0.04396,0.04384,1.28047,3.99419,0.46906,0.01778,0.11304,-8.81059,-18.04578
"28","2018_Q1",3.23688524590164,"Up",1995500,-1436800,558700,-735700,-632700,-224000,-408700,-103000,-177000,0,-199.999999999999,200,-177000,-225000,90200,-134800,-134800,-134800,-134800,1320600,1025100,295500,1179000,1179000,1961200,80300,80300,4541100,199300,1841900,705300,505100,52500,2286600,6827700,636900,139200,497700,175700,175700,812600,181300,181300,187100,999700,2591600,-52400,3292300,5828000,5828000,6827700,-134800,79400,108700,-212000,-158700,-2500,0,-2500,-25000,-186200,-186200,-186200,-97600,5800,-402300,0.27998,-0.0887,-0.06755,-0.02313,-0.01974,2.98442,5.58836,0.17153,0.00085,-0.09022,-0.09046,1.33559,3.90067,-0.26926,-0.02238,-0.06688,13.47131,7.42825
"29","2018_Q2",3.1265625,"Down",1280800,-829100,451700,-758500,-629400,-201000,-428400,-129100,-306800,300,-100,400,-306500,-306500,73900,-232600,-232600,-232600,-232600,1251100,942900,308200,972100,972100,2327200,170800,170800,4721200,214800,1790900,705300,514500,52500,2005700,6726900,887300,376900,510400,50000,50000,937300,181300,181300,185300,1122600,2597900,-52400,3059700,5604300,5604300,6726900,-232600,77100,-4000,263100,103600,-32200,-9300,-41500,-144300,-82200,-82200,-82200,-229700,4000,-72700,0.35267,-0.23954,-0.18161,-0.0415,-0.03458,0.31255,5.03702,0.20031,0.00059,-0.15568,-0.15568,0.85723,3.75092,-0.04866,-0.04018,-0.01256,5.42926,4.06486
"30","2018_Q3",3.11746031746032,"Down",1892500,-1126800,765700,-755400,-622500,-214600,-407900,-132900,10299.9999999999,6100,5100,1000,16400,16400,-97400,-81000,-81000,-81000,-81000,1015400,700700,314700,1475300,1475300,2392600,146600,146600,5029900,235600,1704700,705300,488600,52500,1940300,6970200,852700,379400,473300,394800,394800,1247500,181300,181300,183600,1431100,2612100,-52400,2978700,5539100,5539100,6970200,-81000,77000,40900,-274200,-237300,-37400,-5700,-43100,38200,-242200,-242200,-242200,87300,2300,-126900,0.4046,0.00544,-0.0428,-0.01462,-0.01162,1.56667,4.03198,0.25836,0.00033,-0.05421,-0.05421,1.26664,3.70729,-0.08493,-0.01415,-0.02217,-11.60481,-98.35922
