"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",2.9575,"Up",2.4e+07,-19629000,4371000,-3488000,-3488000,883000,-13000,-25000,12000,870000,870000,-326000,544000,575000,575000,575000,630000,630000,9761000,9761000,6709000,580000,5932000,17100000,232000,3092000,-2860000,805000,255000,1037000,18137000,7845000,2444000,5401000,57000,57000,10568000,0,0,0,10568000,11173000,-3115000,-506000,7569000,7569000,18137000,544000,42000,32000,-482000,-57000,-26000,-31000,3000,59000,-29000,-29000,-29000,925000,2666000,743000,0.18212,0.03679,0.02396,0.07597,0.0317,1.29217,1.61809,1.39622,0.14699,0.06883,0.06714,2.87288,0.90603,0.08894,0.05618,0.07259,2.20108,2.30578
"12","2013_Q3",3.92125,"Up",26135000,-21162000,4973000,-3755000,-3755000,1218000,5000,-29000,34000,1223000,1223000,-458000,765000,789000,789000,789000,616000,616000,13380000,13380000,4392000,883000,3368000,18388000,233000,3073000,-2840000,818000,243000,1051000,19439000,7491000,2571000,4920000,91000,91000,11061000,4.33680868994202e-19,4.33680868994202e-19,0,11061000,11276000,-3131000,283000,8378000,8378000,19439000,765000,43000,74000,-2048000,-782000,-47000,-40000,-14000,808000,-14000,-14000,-14000.0000000005,1261000,3479000,-376000,0.19028,0.0466,0.03019,0.09418,0.04059,-0.47655,1.66242,1.32024,0.17897,0.09436,0.09204,3.12545,1.00191,-0.04497,0.0665399999999998,-0.03171,2.27042,2.35057
"13","2013_Q4",6.5478125,"Up",28283000,-22948000,5335000,-3659000,-3659000,1676000,-65000,-23000,-42000,1611000,1611000,-612000,999000,1480000,1480000,1480000,1614000,1614000,9580000,9580000,7266000,866000,6244000,18460000,183000,2936000,-2753000,414000,236000,597000,19057000,9028000,2539000,6489000,42000,42000,9070000,0,0,0,9070000,11393000,-3131000,1763000,9987000,9987000,19057000,999000,38000,129000,1458000,3412000,-5000,1003000,11000,-3417000,998000,998000,998000,1714000,0,3779000,0.18863,0.05926,0.05233,0.14819,0.07766,2.55338,2.03528,0.90818,0,0.17657,0.1707,3.37425,1.19148,0.45085,0.14819,0.37839,-0.94166,-0.96301
"14","2014_Q1",6.92344262295082,"Up",28483000,-23045000,5438000,-3913000,-3913000,1525000,-4000,-16000,12000,1521000,1521000,-560000,961000,961000,961000,961000,424000,424000,10707000,10707000,5269000,822000,4304000,16400000,174000,2958000,-2784000,477000,229000,651000,17051000,7532000,2026000,5506000,47000,47000,7591000,-6.93889390390723e-18,6.93889390390723e-18,-4.54747350886464e-13,7591000,11974000,-3131000,601000,9460000,9460000,17051000,961000,30000,181000,-887000,638000,-22000,-22000.0000000001,115000,-1806000,-1190000,-1190000,-1190000,1555000,12000,1206000,0.19092,0.05354,0.03374,0.10159,0.05636,1.25494,2.16045,0.80243,0.000700000000000034,0.11378,0.10761,3.37237,1.12006,0.14279,0.32559,0.12732,-0.26495,-0.27016
"15","2014_Q2",8.01587301587302,"Up",28684000,-23459000,5225000,-3831000,-3831000,1394000,8000,-23000,31000,1402000,1402000,-533000,869000,869000,869000,869000,508000,508000,8601000,8601000,10365000,883000,9283000,19474000,158000,2973000,-2815000,407000,223000,565000,20039000,7837000,1886000,5951000,82000,82000,9551000,0,0,0,9551000,12373000,-3403000,1470000,10488000,10488000,20039000,869000,31000,88000,-2549000,-1561000,-15000,-17000,-263000,1662000,84000,84000,84000,1425000,1632000,-606000,0.18216,0.0486,0.0303,0.08286,0.04337,-0.69735,2.03895,0.91066,0.08144,0.10081,0.09786,3.32761,1.21671,-0.0703,0.0717,-0.05,0.78877,0.80631
"16","2014_Q3",6.33609375,"Down",27656000,-22550000,5106000,-3687000,-3687000,1419000,14000,-23000,37000,1433000,1433000,-540000,893000,893000,893000,893000,1249000,1249000,11396000,11396000,5003000,1e+06,3842000,17648000,267000,3095000,-2828000,430000,219000,697000,18345000,6713000,1981000,4732000,112000,112000,6825000,0,1.11022302462516e-16,0,6825000,12523000,-3403000,2363000,11520000,11520000,18345000,893000,28000,96000,1432000,2449000,-137000,-139000,5000.00000000006,-1569000,741000,741000,741000,1447000,-2.3283064365387e-10,3282000,0.18463,0.05131,0.03229,0.07752,0.04868,3.67525,2.58579,0.59245,0,0.1034,0.0998,3.20241,1.33395,0.38004,0.07752,0.2849,-0.86317,-0.8802
"17","2014_Q4",5.38296875,"Down",28634000,-23407000,5227000,-3788000,-3788000,1439000,-33000,-21000,-12000,1406000,1406000,-527000,879000,879000,879000,879000,2548000,2548000,11315000,11315000,5560000,940000,4459000,19423000,498000,1718000,-1220000,464000,267000,962000,20385000,8019000,1478000,6541000,175000,175000,8194000,0,0,0,8194000,12737000,-3794000,3242000,12191000,12191000,20385000,879000,32000,186000,831000,1928000,-271000,-268000,-392000,-361000,1299000,1299000,1299000,1471000,0,2558000,0.18255,0.05025,0.0307,0.0721,0.04312,2.91013,2.37039,0.67214,0,0.10152,0.09834,3.30723,1.40806,0.29545,0.0721,0.20983,-1.73215,-1.77067
"18","2015_Q1",4.91967213114754,"Down",28549000,-23321000,5228000,-3940000,-3940000,1288000,-21000,-17000,-3999.99999999999,1267000,1267000,-485000,782000,782000,782000,782000,2568000,2568000,10677000,10677000,5595000,652000,4549000,18840000,701000,1971000,-1270000,503000,315000,1204000,20044000,7057000,1514000,5543000,119000,119000,7176000,0,8.88178419700125e-16,0,7176000,12784000,-3915000,4024000,12868000,12868000,20044000,782000,52000,94000,-404000,437000,-256000,-309000,-121000,-108000,20000,20000,20000,1340000,1.16415321826935e-10,1165000,0.18312,0.04512,0.02739,0.06077,0.03901,1.48977,2.62542,0.55766,6.93889390390723e-18,0.09045,0.08781,3.30199,1.48832,0.13474,0.06077,0.09053,-1.91642,-1.99379
"19","2015_Q2",4.63666666666667,"Down",27060000,-22373000,4687000,-4359000,-4359000,328000,-17000,-12000,-5000,311000,311000,-116000,195000,195000,195000,195000,2853000,2853000,8889000,8889000,7618000,949000,6459000,19360000,703000,2028000,-1325000,455000,278000,1158000,20518000,7373000,1918000,5455000,31000,31000,7404000,0,0,0,7404000,13018000,-4116000,4219000,13114000,13114000,20518000,195000,55000,28000,94000,372000,-57000,-25000,-185000,-62000,285000,285000,285000,383000,0,536000,0.17321,0.01212,0.00721,0.01487,0.0095,2.74872,2.6148,0.56459,0,0.02253,0.02195,3.12616,1.51502,0.06192,0.01487,0.04087,-7.44909,-8.69817
"20","2015_Q3",3.95609375,"Down",29305000,-23790000,5515000,-4896000,-4896000,619000,2000,-35000,37000,621000,621000,-239000,382000,382000,382000,382000,490000,490000,11601000,11601000,6330000,635000,5470000,18421000,702000,2081000,-1379000,17514000,347000,18216000,36637000,9025000,2766000,6259000,167000,167000,10992000,1.4210854715202e-14,0,12072000,23064000,13129000,-4116000,4601000,13573000,13573000,36637000,382000,88000,29000,359000,858000,-47000,-17030000,999.999999999942,13809000,-2363000,-2363000,-2363000,707000,13872000,1258000,0.18819,0.02112,0.01304,0.02814,0.01043,3.29319,1.67586,1.69926,0.37863,0.04409,0.04309,3.38239,1.5666,0.1452,0.01392,0.04584,18.92786,21.61874
"21","2015_Q4",3.9025,"Down",34565000,-27686000,6879000,-5356000,-5356000,1523000,-124000,-125000,1000,1399000,1399000,-512000,887000,887000,887000,887000,698000,698000,16727000,16727000,4410000,851000,3402000,21835000,674000,2092000,-1418000,17256000,337000,17930000,39765000,8783000,2948000,5835000,120000,120000,10703000,0,0,14531000,25234000,13215000,-4116000,5488000,14531000,14531000,39765000,887000,259000,231000,-3582000,-2205000,-28000,-27000,0,2440000,208000,208000,208000,1782000,16331000,-1316000,0.19902,0.04406,0.02566,0.06104,0.02231,-1.48365,2.04008,1.73656,0.41069,0.10214,0.09989,3.98031,1.67331,-0.15154,0.02874,-0.04264,8.77273,10.26461
"22","2016_Q1",3.66131147540984,"Down",32540000,-25822000,6718000,-4506000,-4506000,2212000,-118000,-121000,3000,2094000,2094000,-805000,1289000,1289000,1289000,1289000,848000,848000,16394000,16394000,3600000,587000,2796000,20842000,656000,2129000,-1473000,16979000,334000,17635000,38477000,9795000,2213000,6568000,341000,341000,11936000,2.27373675443232e-13,2.27373675443232e-13,10738000,22674000,13166000,-4121000,6777000,15803000,15803000,38477000,1289000,258000,58000,2397000,4002000,-36000,-41999.9999999981,-4999.99999999999,-3810000,150000,150000,150000,2470000,12538000,5636000,0.20645,0.06798,0.03961,0.08157,0.0335,4.37238,1.74615,1.43479,0.32586,0.14816,0.14483,3.74023,1.81644,0.64782,0.04548,0.19886,4.73279,5.28481
"23","2016_Q2",3.49703125,"Down",31714000,-25601000,6113000,-5978000,-5978000,135000,-118000,-116000,-2000,17000,17000,-6000,11000,11000,11000,11000,830000,830000,17785000,17785000,4278000,737000,3075000,22893000,604000,2129000,-1525000,16792000,324000,17396000,40289000,8708000,2373000,5996000,277000,277000,10785000,0,0,13593000,24378000,13281000,-4121000,6788000,15911000,15911000,40289000,11000,255000,-150000,-2989000,-2873000,-50065.526488028,-1410920.26970661,-117881.589943073,2855000,-18000,-18000,-18000,390000,15393000,7787197.17283442,0.19275,0.00426,0.00035,0.00069,0.00027,7.73761069763212,2.12267,1.53215,0.38206,0.00126,0.00124,3.64278,1.82759,0.892220947106271,0.00035,0.264389050377176,37.34103,107.87407
"24","2016_Q3",3.69,"Up",33629000,-26740000,6889000,-5225000,-5225000,1664000,-139000,-121000,-18000,1525000,1525000,-580000,945000,945000,945000,945000,735000,735000,16214000,16214000,7556000,731000,6541000,24505000,603000,2174000,-1571000,16556000,310000,17159000,41664000,10828000,2901000,7695000,204000,204000,12832000,3.63797880709171e-12,0,11913000,24745000,13347000,-4121000,7733000,16919000,16919000,41664000,945000,249000,305000,130000.000000001,1629000,-45000,-40000.0000000019,-188862.556748255,-1684000,-95000,-95000,-95000,1913000,13713000,2578000,0.20485,0.04948,0.0281,0.05585,0.02268,2.72804,1.90968,1.46256,0.32913,0.10855,0.10618,3.86274,1.94337,0.29612,0.03085,0.0841599999999999,6.78410999999999,7.79928000000002
"25","2016_Q4",3.60365079365079,"Down",34263000,-27366000,6897000,-5303000,-5303000,1594000,-120000,-116000,-4000,1474000,1474000,-550000,924000,924000,924000,924000,738000,738000,20877000,20877000,4515000,828000,3512000,26130000,576000,2167000,-1591000,16268000,299000,16844000,42974000,8622000,2073000,6515000,174000,174000,10596000,0,0,14262000,24858000,13617000,-4129000,8657000,18116000,18116000,42974000,924000,259000,305000,-3956000,-2468000,-28000,-27000,41000.0000000001,2498000,3000,3000,3000,1853000,16062000,-1581000,0.2013,0.04652,0.02697,0.051,0.0215,-1.71104,2.46602,1.37216,0.37376,0.10483,0.10251,3.88734,2.05537,-0.17937,0.02703,-0.04626,8.26983,9.61355
"26","2017_Q1",3.33322580645161,"Down",32402000,-26004000,6398000,-5284000,-5284000,1114000,-110000,-109000,-1000,1004000,1004000,-364000,640000,640000,640000,640000,829000,829000,17916000,17916000,3939000,701000,3186000,22684000,558000,2197000,-1639000,16164000,170000,16722000,39406000,10261000,1963000,8298000,196000,196000,12257000,0,-5.82076609134674e-11,8077000,20334000,13916000,-4134000,9297000,19072000,19072000,39406000,640000,253000,116000,4995000,6004000,-32000,28999.9999999999,47000,-5942000,91000,91000,91000,1367000,9877000,6694000,0.19746,0.03438,0.01975,0.03356,0.01624,10.45938,1.8507,1.06617,0.25065,0.07176,0.07078,3.63333,2.1386,0.75062,0.02211,0.23123,6.61887,8.12208
"27","2017_Q2",3.3947619047619,"Up",33100000,-26891000,6209000,-5806000,-5806000,403000,-81000,-102000,21000,322000,322000,-121000,201000,201000,201000,201000,876000,876000,18704000,18704000,5444000,767000,4673000,25024000,542000,2229000,-1687000,16009000,226000,16551000,41575000,8824000,2952000,5872000,85000,85000,10709000,0,0,11480000,22189000,14023000,-4134000,9498000,19386000,19386000,41575000,201000,252000,128000,-3835000,-3254000,-37000,-43000,-1818358.97696333,3344000,47000,47000,47000,655000,13280000,-3096000,0.18758,0.01218,0.00607,0.01037,0.00483,-15.40299,2.33673,1.14459,0.31942,0.02234,0.02203,3.6786,2.15448,-0.34408,0.00615,-0.09478,18.9374,30.77916
"28","2017_Q3",4.60793650793651,"Up",35086000,-28009000,7077000,-6095000,-6095000,982000,-106000,-107000,1000,876000,876000,-180000,696000,696000,696000,696000,633000,633000,16608000,16608000,7432000,1418000,5928000,24673000,852000,2583000,-1731000,15784000,225000,16636000,41309000,11421000,3240000,8181000,42000,42000,13263000,-4.65661287307739e-10,-9.31322574615479e-10,7793000,21056000,14200000,-4141000,10194000,20253000,20253000,41309000,696000,254000,138000,2664000,3752000,-360000,-368999.999999998,61000.0000000009,-3626000,-243000,-243000,-243000,1236000,9593000,3720000,0.2017,0.02799,0.01984,0.03437,0.01685,5.34483,1.86029,1.03965,0.23223,0.07674,0.07623,3.86836,2.23297,0.41014,0.02332,0.12464,7.24919,9.12423999999998
"29","2017_Q4",5.5147619047619,"Up",39228000,-30410000,8818000,-8603000,-8603000,215000,-450000,-439000,-11000,-235000,-235000,99000,-136000,-136000,-136000,-136000,3162000,3162000,23691000,23691000,8374000,1169000,6474000,35227000,1428000,3197000,-1769000,62319000,258000,63747000,98974000,12257000,3239000,9018000,72000,72000,16142000,17125000,17125000,56725000,72867000,20271000,-4142000,10058000,26107000,26107000,98974000,-136000,674000,207000,-2840000,-2095000,-499000,-35155000,6001000,39798000,2548000,2548000,2529000,889000,43413000,-2549000,0.22479,0.00548,-0.00347,-0.00521,-0.00137,18.74265,2.18232,2.79109,0.43863,-0.01271,-0.01264,3.66548,2.43945,-0.23818,-0.00157,-0.02942,45.27672,187.21395
"30","2018_Q1",5.62983606557377,"Up",40468000,-30943000,9525000,-7044000,-7044000,2481000,-496000,-483000,-13000,1985000,1985000,-1120000,865000,865000,865000,865000,2478000,2478000,22876000,22876000,9319000,1533000,7786000,34673000,1899000,3746000,-1847000,62032000,255000,63931000,98604000,15676000,5028000,10648000,430000,430000,20109000,17193000,17193000,51342000,71451000,20367000,-4154000,10923000,27153000,27153000,98604000,865000,762000,-135000,3462000,4954000,-231000,-367000,-11999.9999999991,-5290000,-703000,-703000,-684000,3243000,38152000,7594000,0.23537,0.06131,0.02137,0.03186,0.00877,8.77919,1.72425,2.63142,0.38692,0.07917,0.07877,3.70383,2.48517,0.69504,0.01049,0.09205,11.00031,14.37888
"31","2018_Q2",7.4184375,"Up",43333000,-33072000,10261000,-7823000,-7823000,2438000,-512000,-473000,-39000,1926000,1926000,-546000,1380000,1380000,1380000,1380000,1267000,1267000,24784000,24784000,9645000,868000,8777000,35696000,1974000,3876000,-1902000,61385000,294000,63359000,99055000,13820000,4395000,9425000,6316000,191000,24330000,11068000,11068000,46036000,70366000,20474000,-4154000,12303000,28689000,28689000,99055000,1380000,748000,130000,-4248000,-1990000,-130000,-169000,2000,990000,-1169000,-1169000,-1211000,3186000,39162000,-646000,0.23679,0.05626,0.03185,0.0481,0.01393,-0.46812,1.46716,2.45272,0.39536,0.12635,0.1248,3.9675,2.62672,-0.05915,0.01749,-0.00819,11.89422,15.54348
"32","2018_Q3",9.75539682539683,"Up",44894000,-34002000,10892000,-6435000,-6435000,4457000,-607000,-615000,8000,3850000,3850000,-1033000,2817000,2817000,2817000,2817000,747000,747000,25045000,25045000,11491000,1131000,10360000,37283000,2202000,3783000,-1581000,52742000,364000,54944000,92227000,14754000,3561000,11193000,98000.0000000009,98000,19236000,8087000,8087000,41469000,60705000,20594000,-4174000,15120000,31522000,31522000,92227000,2817000,766000,-928000,-1231000,1424000,-313000,-383000,-19999.9999999998,-1442000,-401000,-401000,-520000,5223000,37766000,4712000,0.24262,0.09928,0.06275,0.08937,0.03054,1.6727,1.93819,1.9258,0.40949,0.25783,0.25256,4.10891,2.88504,0.43126,0.03641,0.0609,7.08769,8.30581
"33","2018_Q4",6.68253968253968,"Down",44292000,-33582000,10710000,-8204000,-8204000,2506000,-427000,-535000,108000,2079000,2079000,-459000,1620000,1620000,1620000,1620000,2188000,2188000,24212000,24212000,15570000,1609000,13961000,41970000,2141000,3863000,-1722000,52035000,519000,54176000,96146000,12393000,2724000,9669000,119000,119000,17087000,8168000,8087000,45888000,62975000,20818000,-4174000,16740000,33171000,33171000,96146000,1620000,828000,411000,-5566000,-2707000,-93000,-248000,108000,4611000,1656000,1656000,1441000,3334000,42295000,-1866000,0.2418,0.05658,0.03658,0.04884,0.01685,-1.15185,2.45625,1.8985,0.4399,0.14773,0.14404,4.03903,3.0249,-0.17016,0.01937,-0.02231,12.02969,16.00439
