"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","net_debt_ebit"
"21","2018_Q2",6.3696875,"Down",3548216,-610043,2938173,-5280120,-4578770,-701350,-2341947,890,890,-2341057,-2318499,284086,-2034413,-2034413,-2034413,-2034413,2738185,2738185,1388169,1388169,636365,568566,4762719,139960,12491182,5912732,5590150,988300,12631142,17393861,2451792,1492957,958835,3398905,3398905,5850697,1593714,1593714,7444411,81661209,-71780198,9949450,9949450,17393861,-2034413,701350,-99425,-389037,-1821525,-28031,-46,-28077,1486954,-362648,-362648,-275742,-1640597,0,-2341751,0.82807,-0.66004,-0.57336,-0.20447,-0.11696,1.15107,0.81404,0.74822,0,-0.96381,-0.96381,1.68097,4.71357,-1.10941,-0.17624,1.16919
"22","2018_Q3",6.4531746031746,"Up",883865,-15701,868164,-2591230,-1953558,-637672,-1723066,3777,3777,-1719289,-1719289,88379.0000000001,-1630910,-2015433,-2015433,-2015433,2666832,2666832,424079,424079,1488836,699405,4579747,105834,11871246,5203603,5590150,836856,11977080,16556827,1990405,1227991,762414,3281447,2806453,5271852,1659092,1659092,6930944,83443535,-73795632,9625883,9625883,16556827,-1630910,637672,394956,-806331,-1487031,-33350,19,166669,1434914,114552,114552,16486.9999999999,-1085394,7.27595761418343e-12,-2013454,0.98224,-1.94947,-2.28025,-0.20938,-0.12173,0.99902,0.86872,0.72003,-8.67361737988404e-19,-0.92192,-0.92192,0.40431,4.40315,-0.92101,-0.17859,1.54772
"23","2018_Q4",4.43761904761905,"Down",1894622,-291685,1602937,-3413660,-2763557,-650103,-1810723,25181,-4368,-1785542,-7378713,189950,-7188763,-7229498,-7229498,-7229498,1653149,1653149,527565,527565,677298,461931,2858012,96553,5771080,4596192,339451,835437,5867633,8725645,2251572,1465890,785682,2675254,2440998,4926826,1259660,1259660,6186486,83614787,-81025128,2539159,2539159,8725645,-7188763,650103,5438790,97412,-902247,-34831,27.0000000000005,-34804,0,-937051,-937051,-1013683,-1160620,0,-1287989,0.84605,-0.95572,-3.8158,-2.8472,-0.82853,0.17816,0.58009,2.43643,0,-2.97376,-2.97376,0.77933,1.04445,-0.5298,-1.90309,0.91298
"24","2019_Q1",3.43475409836066,"Down",2125924,-695429,1430495,-3318988,-2690339,-628649,-1888493,-11628,22558,-1900121,-4719070,1001297,-3717773,-3801668,-3801668,-3801668,1441607,1441607,816698,816698,497973,350906,2756278,278441,2203381,1020942,339451,842988,2481822,5238100,2833314,1843688,989626,2806964,2460436,6140278,208610,208610,6348888,83777465,-84826796,-1110788,-1110788,5238100,-3717773,628650,1995518,265327,-725160,-31649,0,-31649,499999,-256810,-256810,-211542,-1259843,5e+05,-2027462,0.67288,-0.88832,-1.78824,3.4225,-0.72577,0.53331,0.44888,-5.71566,0.09545,-1.56471,-1.56471,0.875,-0.45718,-0.83447,9.4527,0.4986
"25","2019_Q2",5.79888888888889,"Up",1346277,-187581,1158696,-2360725,-2139303,-221422,-1202029,-8133,0,-1210162,-1210162,65633,-1144529,-1159369,-1159369,-1159369,793863,793863,446368,446368,557572,482879,1797803,236899,2382134,837774,339451,1204909,2619033,4416836,2740534,1676620,1063914,3151302,2254170,6098954,183818,183818,6282772,84158650,-85986164,-1865936,-1865936,4416836,-1144529,221422,32232,-123163,-971882,3351,-6691,-3340,372896,-602326,-602326,-647744,-980607,207118,-1166052,0.86067,-0.89285,-0.86117,0.62133,-0.26249,1.00576,0.29477,-3.36709,0.04689,-0.46662,-0.46662,0.54185,-0.751,-0.46931,0.78601,0.48813
"26","2019_Q3",3.474375,"Down",1326467,-239952,1086515,-2202106,-1980565,-221541,-1115591,370019,376068,-745572,-744311,1642,-742669,-771234,-771234,-771234,1184330,1184330,431825,431825,402939,354569,2019094,199778,2128939,654606,339451,1134882,2328717,4347811,2172191,1120948,1051243,2575064,2021557,4947255,132786,132786,5080041,86072941,-86757400,-732230,-732230,4347811,-742669,221541,-397603,-131001,-1064619,-2515,-17197,-19712,1424720,340389,340389,390467,-894050,2e+05,-1029208,0.8191,-0.84102,-0.58142,1.05327,-0.17738,1.3345,0.40812,-6.93777,0.046,-0.29297,-0.29297,0.50388,-0.27815,-0.39096,1.93077,0.882340000000001
"27","2019_Q4",2.220625,"Down",1300151,-258269,1041882,-1264155,-1055957,-208198,-222273,-1,0,-222274,-3728,54052,50324,-777011,-777011,-777011,4861607,4861607,550885,550885,392494,360069,5804986,169244,3322466,471437,1823320,1027709,3491710,9296696,1852433,832974,1019459,3523819,1550405,5656168,82617,82617,5738785,91171406,-87534409,3561634,3557911,9296696,-820416,208198,-166682,-597159,-3353814,-3335,23888,22241,5097228,1765655,1765655,1708826,-14075,279916,-668621,0.80135,-0.17096,-0.59763,-0.21839,-0.08358,0.8605,1.02631,1.61296,0.03011,-0.22184,-0.22184,0.37121,1.01688,-0.1909,-0.19819,20.6129
"28","2020_Q1",1.82,"Down",1052317,-198572,853745,-1309987,-1257431,-52556,-456242,-335380,-349563,-791622,-1011429,56174,-955255,-1136849,-1136849,-1136849,633615,633614.999999999,720750,720750,350017,240763,1704382,117072,4770169,452385,339451,869133,4887241,6591623,1450306,796137,654169,2368128,1699001,3818434,221254,221254,4039688,91216070,-88671260,2551935,2551935,6591623,-84515,52556,366829,-184777,-1083015,1949,-2499,55608,8716,-1018691,-1018691,-923604,-403686,0,-642688,0.8113,-0.43356,-1.08033,-0.44549,-0.17247,0.56532,0.44636,1.58299,-3.46944695195361e-18,-0.25399,-0.25399,0.2351,0.57014,-0.14358,-0.40994,1.38877
"29","2020_Q2",2.14,"Up",982297,-173477,808820,-2237824,-2185823,-52001,-1429004,664,664,-1428340,-1428340,5909,-1422431,-1492096,-1492096,-1492096,1555203,1555203,287354,287354,364483,307182,2207040,88657,4485702,433333,339451,830031,4574359,6781399,2014878,983713,1031165,1932784,1549165,3947662,215345,215345,4163007,92734750,-90163356,2618392,2618392,6781399,-1422431,52001,457700,338852,-558305,-834,-3700,-4705,1500000,936990,936990,921588,-1377003,0,-1044894,0.8234,-1.45476,-1.51899,-0.56985,-0.22003,0.70029,0.55908,1.58991,0,-0.33271,-0.33271,0.21903,0.58385,-0.23299,-0.52655,1.08831
"30","2020_Q3",2.7521875,"Up",951830,-169920,781910,-2581023,-2533175,-47848,-1799113,5550,5549.99999999997,-1793563,-1793563,12512,-1781051,-1838872,-1838872,-1838872,858875,858875,453112,453112,386456,365640,1698443,62723,4390598,414281,339451,790208,4453321,6151764,2490765,856976,1633789,1660417,1321125,4313952,202833,691141,5005093,93113669,-92002228,1146671,1146671,6151764,-1781051,47848,619758,-225548,-1310388,-2861,-1,-2691.00000000001,651078,-662001,-662001,-696328,-1751265,651078,-1992186,0.82148,-1.89016,-1.93193,-1.60366,-0.29892,1.08337,0.39371,4.36489,0.10584,-0.33636,-0.33636,0.1741,0.20974,-0.3644,-0.91917,0.115500000000001
"31","2020_Q4",2.511875,"Down",1305522,-205974,1099548,-2020130,-1981840,-38290,-920582,-5253,-5253,-925835,-925835,13612,-912223,-941687,-941687,-941687,2685451,2685451,982362,982362,297446,268229,3965259,46092,5051067,395230,339451,1345701,5097159,9062418,2695942,1044873,1651069,1858089,1478914,4716801,661143,1149451,5866252,96001887,-92943915,3196166,3196166,9062418,-912223,38290,863821,-845512,-965782,-3841,-66340,-70181,2776827,1740864,1740864,1826576,-882292,651078,-1745257,0.84223,-0.70514,-0.72131,-0.29463,-0.10391,1.85333,0.84067,1.8354,0.07184,-0.15229,-0.15229,0.21113,0.51688,-0.28224,-0.20887,2.20988
"32","2021_Q1",5.53147540983607,"Up",1217087,-237813,979274,-1675792,-1644029,-31763,-696518,2,2,-696516,-45439,3182,-42257,-78920,-78919.9999999999,-78919.9999999999,2117569,2117569,1005482,1005482,398370,355260,3521421,10382,5141540,376178,339451,1340733,5151922,8673343,2354543,728379,1626164,2322931,1901129,4677474,650037,650037,5327511,96113278,-93022835,3345832,3345832,8673343,-42257,31764,-412620,-145933,-701601,-2868,15034,12166,-1,-689436,-689436,-567881.999999999,-664754,0,-816737,0.8046,-0.57228,-0.0648400000000001,-0.0235900000000001,-0.00910000000000001,10.34892,0.75285,1.59228,0,-0.0123,-0.0123,0.18966,0.52139,-0.12728,-0.01975,3.04022
"33","2021_Q2",3.39206349206349,"Down",1484852,-261154,1223698,-2047175,-2017568,-29607,-823477,885,885,-822592,-822592,66977,-755615,-770689,-770689,-770689,2342343,2342343,1066101,1066101,403003,353273,3811447,31822,2194478,357126,339451,1299715,2226300,6037747,1931787,431778,1500009,2564064,2114991,4495851,577668,577668,5073519,94794482,-93793524,964228,964228,6037747,-755615,29606,231071,-274160,-733734,-2658,-3469.99999999999,-6128,1e+06,260138,260138,224774,-793871,0,-1137666,0.82412,-0.55459,-0.51903,-0.79928,-0.12765,1.47617,0.84777,5.26174,0,-0.11621,-0.11621,0.2239,0.1454,-0.17155,-0.49983,2.84445
"34","2021_Q3",2.83234375,"Down",1460165,-260047,1200118,-1741646,-1712570,-29076,-541528,1850,-885,-539678,-539678,-49934,-589612,-635624,-635624,-635624,2507585,2507585,1078826,1078826,426723,383021,4013134,12532,1878559,338074,339451,995221,1891091,5904225,2048219,376142,1672077,2702687,2223384,4750906,618348,618348,5369254,94997383,-94429148,534971,534971,5904225,-589612,22212,561907,111518,70343,-17699,-56530,-74229.0000000001,166500,162614,162614,165422,-1035639.61162205,-1.45519152283669e-11,-1368453.18533655,0.82191,-0.37087,-0.43531,-1.18815,-0.10766,-3.57723140665203,0.84471,10.03653,1.73472347597681e-18,-0.09435,-0.09435,0.21675,0.07941,-0.223959788171781,-0.55113,4.63057
"35","2021_Q4",2.4196875,"Down",1683015,-346525,1336490,-1428992,-1399324,-29668,-92502,2393,2393,-90109,-90109,1724,-88385,-99099,-80562,-80562,4092473,4092473,1385310,1385310,281964,251997,5759747,23569,4016804,1257205,1274785,1287194,4040373,9800120,1837289,286775,1550514,2903048,2003510,4740337,709490,709490,5449827,98402419,-94509710,3858646,4350293,9800120,-88385,36533,148129,-592949,-529797,-16925,-318663,-1198921,3278450,1549732,1549732,1584708,-1220478.06697323,0,-1228751.13120193,0.7941,-0.05496,-0.04787,-0.01852,-0.00822,-1.84727384399122,1.21505,1.25275,0,-0.01205,-0.01205,0.25179,0.57728,-0.222217472903068,-0.01592,44.24199
"36","2022_Q1",1.89951612903226,"Down",1167685,-656074,511611,-1944568,-1950640,-296810,-1432957,2871,-2639,-1430086,-1430086,2773.00000000001,-1427313,-1444326,-1270108,-1270108,3402697,3402697,1389112,1389112,805384,450784,5597193,29040,3358540,968281,1274785,917879,3387580,8984773,2127010,248595,1878415,3052560,2149885,5179570,697298,697298,5876868,98600845,-95779817,2790476,3107905,8984773,-1427313,296810,292956,156737,-680812,12342,-21307,-8965,1,-689776,-689776,-689776,-1136147,-9.09494701772928e-13,-969841,0.43814,-1.22718,-1.08771,-0.40867,-0.14136,0.763589999999997,1.08063,1.89094,-1.0842021724855e-19,-0.22527,-0.22527,0.20711,0.49493,-0.17202,-0.33378,2.37460000000001
