"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2018_Q3",77.1261904761905,"Up",814938000,-499122000,315816000,-296487000,-181015000,-98243000,-82772000,-114800000,19329000,-2655000,-2655000,16674000,-21976000,-5302000,-604000,-5906000,-5906000,-5906000,-5906000,1621576000,1387977000,233599000,1163280000,1163280000,2869896000,121708000,168150000,395073000,85514000,255656000,53903000,684931000,3554827000,1114659000,1105445000,201251000,201251000,1315910000,85851000,85851000,1157288000,2473198000,1963298000,-877213000,-4456000,1081629000,1081629000,3554827000,-5906000,12328000,-476923000,489480000,18979000,-15060000,-24721000,-110773000,-150554000,794492000,35845000,35845000,-41564000,788773000,657198000,657198000,-4902000,652296000,31657000,1071437000,506681000,0.38753,0.02372,-0.00725,-0.00546,-0.00166,-85.79089,2.18092,2.28655,0.3014,-0.01464,-0.01464,2.02067,2.68194,1.25633,-0.00264,0.22631,-17.37812,-28.46184
"12","2018_Q4",70.6149206349206,"Down",882108000,-529448000,352660000,-338931000,-201864000,-116337000,-85527000,-135773000,13729000,30576000,-7332000,44305000,-23596000,20709000,-1066000,19643000,19643000,19643000,19643000,1170724000,721738000,448986000,1633425000,1633425000,2877368000,130145000,537663000,428192000,81130000,259964000,87098000,1.096e+09,3973368000,1463954000,1451506000,273612000,273612000,1863537000,89711000,89711000,987687000,2851224000,1986059000,-857570000,-6345000,1122144000,1122144000,3973368000,19643000,15835000,-783830000,795980000,47628000,-14030000,-594607000,-571000,-609208000,-71330000,27581000,27581000,-57324000,-101073000,-662653000,-662653000,-649000,-663302000,29564000,1023947000,812580000,0.39979,0.01556,0.02227,0.0175,0.00494,41.36741,1.54404,2.54087,0.2577,0.04795,0.04136,2.15311,2.73901,1.9834,0.00879,0.36344,-4.96471999999999,-10.69102
"13","2019_Q1",72.4698360655738,"Up",932528000,-552474000,380054000,-358688000,-214750000,-119305000,-95445000,-141811000,21366000,-24615000,-5176000,-3249000,-24474000,-27723000,-481000,-28204000,-28204000,-28204000,-28204000,1124164000,583173000,540991000,897767000,897767000,2111905000,142402000,464680000,562036000,77102000,261705000,223229000,1169118000,3281023000,865251000,865251000,153290000,153290000,1018541000,242286000,242286000,1141981000,2160522000,2012328000,-885774000,-6053000,1120501000,1120501000,3281023000,-28204000,22638000,1956403000,-1774417000,176420000,-24030000,-106563000,0,-130593000,-146679000,39070000,39070000,-67374000,-174983000,-129156000,-129156000,-3067000,-132223000,44004000,899695000,-1753962000,0.40755,0.02291,-0.03024,-0.02517,-0.0086,62.18841,2.07346,1.92817,0.27421,-0.06813,-0.08087,2.25256,2.70662,-4.23678,-0.01247,-0.77524,-5.1011,-10.5059
"14","2019_Q2",69.8636507936508,"Down",959359000,-562605000,396754000,-390955000,-235311000,-133713000,-101598000,-153559000,5799000,-15980000,-4681000,-10181000,-27841000,-38022000,-129000,-38151000,-38151000,-38151000,-38151000,1088215000,521676000,566539000,2054836000,2054836000,3266522000,133706000,481063000,521300000,79697000,267012000,174591000,1136069000,4402591000,1785753000,1785753000,397806000,397806000,2183559000,188141000,188141000,1097443000,3281002000,2048938000,-923925000,-3424000,1121589000,1121589000,4402591000,-38151000,18971000,-1528279000,1579903000,32444000,-18168000,-40971000,-11248000,-70387000,-1284000,25328000,25328000,-50896000,-26852000,-64795000.0000001,-64795000.0000001,1277000,-63518000,24770000,909302000,1586634000,0.41356,0.00604,-0.03977,-0.03402,-0.00867,-41.58827,1.49596,2.92532,0.20654,-0.09099,-0.09099,2.28806,2.67498,3.78411,-0.01719,0.71501,-7.22297,-30.85239
"15","2019_Q3",67.92640625,"Down",1174238000,-708393000,465845000,-432424000,-256929000,-156421000,-100508000,-174992000,33421000,-6373000,-5143000,27048000,-34264000,-7216000,476000,-6740000,-6740000,-6740000,-6740000,1189488000,617282000,572206000,2202647000,2202647000,3528646000,130747000,460827000,533786000,84216000,270161000,179409000,1125360000,4654006000,1948109000,1948109000,427485000,427485000,2375594000,174914000,174914000,1093940000,3469534000,2116063000,-930665000,-926000,1184472000,1184472000,4654006000,-6740000,18783000,-405871000,527220000,133392000,-11994000,-4250000,-9124000,-25368000,-1284000,41593000,41593000,-55862000,-15553000,92471000,92471000,1063000,93534000,52204000,919026000,566954000,0.39672,0.02846,-0.00574,-0.00569,-0.00145,-84.1178,1.48537,2.92918,0.19747,-0.01592,-0.01592,2.77398,2.79815,1.33935,-0.00296,0.24884,-5.18087,-8.09258
"16","2019_Q4",63.90046875,"Down",1266474000,-766437000,500037000,-435221000,-265447000,-149467000,-115980000,-168771000,64816000,-91000,-5632000,64725000,-32722000,32003000,-2606000,29397000,29397000,29397000,29397000,1169704000,612048000,557656000,1468286000,1468286000,2758766000,134034000,564508000,543196000,72793000,265974000,204429000,1241738000,4000504000,1429458000,1429458000,215443000,215443000,1644901000,176940000,176940000,1105809000,2750710000,2153449000,-901268000,-2387000,1249794000,1249794000,4000504000,29397000,19125000,294311000,-104086000,238747000,-15664000,-185259000,0,-200923000,2568000,14860000,14860000,-61232000,-43804000,-5980000.00000006,-5980000.00000006,-3013000,-8993000,83941000,928869000,-33203000,0.39483,0.05118,0.02321,0.02352,0.00735,-1.12947,1.67716,2.20093,0.23219,0.06883,0.06883,2.96513,2.92608,-0.0777399999999999,0.01248,-0.0140999999999999,-2.8691,-3.71567
"17","2020_Q1",68.393064516129,"Up",1313429000,-786380000,527049000,-477569000,-304317000,-185525000,-118792000,-176843000,49480000,655000,-6060000,50135000,341313000,391448000,-508000,390940000,390940000,390940000,390940000,1539574000,1047118000,492456000,1680227000,1680227000,3219801000,149194000,537303000,644960000,69079000,266345000,309536000,1331457000,4551258000,1666810000,1666810000,27275000,27275000,1694085000,203291000,203291000,1142123000,2836208000,2223749000,-510328000,1629000,1715050000,1715050000,4551258000,390940000,18719000,1765340000,-2251952000,-76953000,292652000,66203000,0,391871000,673210714.157671,36733000,36733000,292877000,329610000,644528000,644528000,4514000,649042000,68199000,938832000,-1890593000,0.40128,0.03767,0.29765,0.22795,0.0859,-4.83602,1.90061,1.65372,0.20628,0.90857,0.6575,3.05251,3.9859,-4.39388,0.13683,-0.6617,-8.80866,-12.14111
"18","2020_Q2",76.558253968254,"Up",1381109000,-842608000,538501000,-519906000,-324030000,-194535000,-129495000,-194986000,18595000,-15068000,-9206000,3527000,-108883000,-105356000,-535000,-105891000,-105891000,-105891000,-105891000,2484156000,1962316000,521840000,1745110000,1745110000,4389975000,150659000,529460000,933779000,81936000,288533000,563310000,1613898000,6003873000,1485439000,1485439000,519219000,519219000,2004658000,430423000,430423000,2191270000,4195928000,2427596000,-616219000,-3432000,1807945000,1807945000,6003873000,-105891000,20061000,769312000,-562186000,121296000,-26137000,-75738000,-12742000,-114617000,936541000,31406000,31406000,-49826999.9999999,918120000,924799000,924799000,-13588000,911211000,38656000,1760847000,-549132000,0.3899,0.01346,-0.07667,-0.05857,-0.01764,5.18582,2.18989,2.32083,0.29329,-0.24346,-0.24346,3.1754,4.15677,-1.26255,-0.02648,-0.13731,-18.71143,-38.89804
"19","2020_Q3",141.19421875,"Up",1923625000,-1326862000,596763000,-582212000,-374482000,-238096000,-136386000,-208620000,14551000,10822000,-14769000,25373000,-37603000,-12230000,752000,-11478000,-11478000,-11478000,-11478000,2687110000,1972762000,714348000,2932461000,2932461000,6187070000,167062000,446685000,1011455000,99802000,295759000,615894000,1625202000,7812272000,2961994000,2961994000,670522000,670522000,3632516000,475021000,475021000,2253449000,5885965000,2549638000,-627697000,4366000,1926307000,1926307000,7812272000,-11478000,21056000,-405034000,122327000,-273129000,-30424000,-151642000,-5612000,-187678000,0,46679000,46679000,402013000,448692000,-12115000,-12115000,8406000,-3709000,35607000,1778428000,126758000,0.31023,0.00756,-0.00597,-0.00596,-0.00147,-11.04356,1.70325,3.05557,0.22765,-0.02608,-0.02608,4.3707,4.3768,0.28801,-0.00275,0.03033,-25.51976,-62.44808
"20","2020_Q4",195.066875,"Up",3033874000,-2239419000,794455000,-729915000,-502365000,-348463000,-153902000,-227550000,64540000,-14196000,-14980000,50344000,-15198000,35146000,1369000,36515000,36515000,36515000,36515000,2881242000,2118808000,762434000,3085855000,3085855000,6491270000,195937000,399122000,1027947000,107562000,300620000,619765000,1623006000,8114276000,3150469000,3150469000,675242000,675242000,3825711000,467119000,467119000,2225730000,6051441000,2642107000,-591182000,11910000,2062835000,2062835000,8114276000,36515000,20624000,162720000,192851000,412710000,-29792000,-188759000,-10867000,-229418000,0,28515000,28515000,-63903000.0000001,-35388000.0000001,147904000,147904000,5954000,153858000,85164000,1758611000,246854000,0.26186,0.02127,0.01204,0.0177,0.0045,6.76035,1.69675,2.93356,0.21673,0.08215,0.0821500000000001,6.82526,4.64073,0.55534,0.00850999999999999,0.05756,-13.18199,-17.39434
"21","2021_Q1",233.919344262295,"Up",3158970000,-2355280000,803690000,-742521000,-487996000,-328576000,-159420000,-254525000,61169000,253224000,-17988000,314393000,-15986000,298407000,-4448000,293959000,293959000,293959000,293959000,3853170000,3158058000,695112000,3908459000,3908459000,7761629000,233520000,463950000,1410451000,137612000,316701000,956138000,2107921000,9869550000,3609263000,3609263000,516841000,516841000,4126104000,474953000,474953000,3061877000,7187981000,2955464000,-297223000,23328000,2681569000,2681569000,9869550000,293959000,22471000,-101808000,-302389000,-87767000,-52049000,27126000,-5e+07,-74923000,1073953000,55385000,55385000,1215973000,2345311000,2182621000,2182621000,12223000,2194844000,83640000,2586924000,-266350000,0.25442,0.01936,0.09306,0.10962,0.02978,-0.90608,1.8811,2.68051,0.26211,0.649,0.48261,6.97438,5.92038,-0.58805,0.05118,-0.04637,-15.13924,-20.70078
"22","2021_Q2",231.936825396825,"Down",5057270000,-4093769000,963501000,-855510000,-545369000,-349460000,-195909000,-310141000,107991000,-27781000,-253000,80210000,-40255000,39955000,-947000,39007999.9999999,39007999.9999999,39008000,39008000.0000001,3666939000,3022485000,644454000,5651917000,5651917000,9318856000,245702000,522542000,1261620000,129796000,316437000,815387000,2029864000,11348720000,4741409000,4741409000,819693000,819693000,5561102000,493043000,493043000,3473245000,9034347000,2459415000,-155241000,10199000,2314373000,2314373000,11348720000,39007999.9999999,29201000,213357000,-310759000,-29193000,-34149000,-142847000,-166959235.782918,-158023000,-194186000,32891000,32891000,1280883000,1119588000,932372000,932372000,-8206000,924166000,137192000,2980202000,-206769000,0.19052,0.02135,0.00771,0.01685,0.00344,-5.30068,1.67572,3.90358,0.2626,0.08574,0.0778100000000001,11.11554,5.08684,-0.45446,0.00673999999999999,-0.03573,-5.00566,-6.35921
"23","2021_Q3",256.86640625,"Up",4680672000,-3539608000,1141064000,-916218000,-594590000,-373878000,-220712000,-321628000,224846000,69324000,-6464000,294170000,-99852000,194318000,9360000,203678000,203678000,204021000,204021000,5596137000,4581234000,1014903000,5404098000,5404098000,11000235000,260883000,947093000,1607477000,262196000,501400000,843881000,2815453000,13815688000,4765985000,4765985000,880785000,880785000,5646770000,590940000,590940000,5432217000,11078987000,2632234000,48780000,7838000,2688852000,2736701000,13815688000,203678000,28394000,189380000,-146105000,275347000,-32479000,-937485000,-164304000,-775016000,2525603000,39264000,39264000,-763463000,1801404000,1301735000,1301735000,1114000,1302849000,253240000,4841277000,65296000,0.24378,0.04804,0.04359,0.07455,0.01477,0.32005,1.94806,4.0483,0.35042,0.44842,0.40694,10.2878,5.90992,0.14352,0.02498,0.00799,-2.98081,-3.35723
"24","2021_Q4",216.69875,"Down",3844727000,-2711512000,1133215000,-1041913000,-676421000,-410175050.067087,-295206252.063377,-360729000,91302000,-25420000,-13409000,65882000,-68306000,-2424000.00000003,-452000.000000004,-2876000,-2876000,84000.0000000298,84000,5383418000,4514609000,868809000,5178619000,5178619000,10562037000,275286000,1451107000,1620996000,268692000,519548000,832756000,3347389000,13909426000,4763005000,4763005000,786140000,786140000,5549145000,617738000,617738000,5355567000,10904712000,2918372000,48864000,-7411000,2959825000,3004714000,13909426000,-2876000,38112000,265377000,106709000,407322000,-31400000,-334933000,334000,-323580000,-98025000.0000005,12711000,12711000,-225656000,-310970000,-227228000,-227228000,-7219000,-234447000,129414000,4737829000,205175000,0.29475,0.02375,1.99999999999853e-05,2.99999999999884e-05,9.99999999999959e-06,2442.55952,1.90336,3.6292,0.34062,0.000180000000000013,0.000160000000000105,8.41225,6.47609,0.44892,9.99999999999959e-06,0.02454,-4.98856,-7.07091999999999
"25","2022_Q1",121.068870967742,"Down",4078534000,-2896491000,1182043000,-1185953000,-784135000,-457146004.588146,-390566196.767603,-406581000,-3910000,-19773000,-12998000,-23683000,-50704000,-74387000,-6597000,-80984000,-80984000,-76829000,-76829000,5312952000,4443669000,869283000,6308572000,6308572000,11621524000,282140000,1526430000,1596266000,257049000,519276000,819941000,3404836000,15026360000,4873089000,4873089000,1662156000,1662156000,6535700000,617863000,602627000,5177071000,11712771000,3317255000,-27965000,-16435000,3272855000,3313589000,15026360000,-80984000,39050000,267357000,-31069000,194354000,-36292000,-17968000,-2.98023223876953e-08,-54260000,-909664000,41853000,41853000,909823000,42012000,182106000,182106000,7245000,189351000,35140000,4559663000,-25624000,0.28982,-0.00096,-0.01884,-0.02319,-0.00511,0.33352,1.77816,3.53477,0.30344,-0.16295,-0.16853,8.65014,6.94138,-0.05435,-0.00905,-0.00302,-21.4368,192.65703
"26","2022_Q2",91.3732258064516,"Down",3960645000,-2665685000,1294960000,-1430599000,-945838000,-501562000,-444276000,-484761000,-135639000,17724000,-15748000,-117915000,-91150000,-209065000,1702000,-207363000,-207363000,-204199000,-204199000,4790314000,3993565000,796749000,7070370000,7070370000,11860684000,302247000,1333139000,15631397000,2275199000,12428930000,927268000,17266783000,29127467000,5833992000,5833992000,196029000,196029000,6030021000,877002000,638319000,5647054000,11677075000,17426629000,-232164000,218357000,17412822000,17450392000,29127467000,-207363000,70056000,267524000,99206000,229423000,-41187000,604011000,570703000,1130613000,-279948000,4093000.00000001,4093000.00000001,-692701000,-968556000,391480000,391480000,-948000,390532000,-65583000,4770052000,-9266000,0.32696,-0.03425,-0.05156,-0.0117,-0.00701,0.0453799999998878,1.96694,0.66916,0.16376,-0.44145,-0.44145,8.56241,37.6443,-0.0200299999999999,-0.00884,-0.000399999999999996,0.308950000000003,0.149380000000008
"27","2022_Q3",70.80296875,"Down",4404499000,-2934851000,1469648000,-1424710000,-926420000,-530827000,-395593000,-498290000,44938000,5800000,-12966000,50738000,-258711000,-207973000,-1304000,-209277000,-209277000,-208014000,-208014000,4959464000,4020466000,938998000,7566871000,7566871000,12526335000,308222000,1019340000,15031263000,2148078000,11982135000,901050000,16358825000,28885160000,5799946000,5799946000,701056000,701056000,6960986000,735481000,546283000,5032763000,11993749000,17725198000,-440178000,-429916000,16855104000,16891411000,28885160000,-209277000,90839000,312031000,-308219000,-114626000,-44233000,137801000,-31229000.0000001,209670000,-1127288000,39024000,39024000,816621000,-271643000,-176599000,-176599000,-34494000,-211093000,135777000,4757266000,-215371000,0.33367,0.0102,-0.04723,-0.01231,-0.0072,1.03537,1.79951,0.71005,0.1647,-0.35781,-0.35781,7.57633,28.99304,-0.37047,-0.00929,-0.00962,-1.48919,-4.49949
