"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",26.2504838709677,"Up",1.524e+09,-1.019e+09,5.05e+08,-3.49e+08,-3.19e+08,-3e+07,1.56e+08,-3e+06,-5e+06,2e+06,1.53e+08,1.53e+08,-4.9e+07,1.04e+08,1.04e+08,1.04e+08,1.04e+08,8.53e+08,8.04e+08,1.24e+09,2.02e+08,2.02e+08,2.295e+09,4.62e+08,5.42e+08,1.44e+08,2.85e+08,1.13e+08,1.004e+09,3.299e+09,6.25e+08,3.27e+08,2.98e+08,6.25e+08,1.33e+08,2.52e+08,2.52e+08,3.85e+08,1.01e+09,2.289e+09,2.289e+09,3.299e+09,1.06e+08,3e+07,8e+06,-4.6e+07,9.8e+07,-3.3e+07,-3.3e+07,-3.3e+07,-2.7e+07,-1.4e+07,1.5e+07,-2.9e+07,2e+06,-3.9e+07,2.6e+07,2.6e+07,8e+06,3.4e+07,1.86e+08,1.33e+08,1.56e+08,0.33136,0.10236,0.06824,0.04543,0.03152,1.5,3.672,0.44124,0.04032,0.68874,0.6762,10.09272,15.15894,1.03311,0.17881,7,0.04899,0.05834,0.25962,-3.87097,-4.61538
"12","2013_Q1",25.989,"Down",1.713e+09,-1.149e+09,5.64e+08,-4.05e+08,-3.63e+08,-3e+07,1.59e+08,-1e+06,-2e+06,1e+06,1.58e+08,1.58e+08,-5.4e+07,1.04e+08,1.04e+08,1.04e+08,1.04e+08,9.28e+08,8.8e+08,1.167e+09,2.68e+08,2.68e+08,2.363e+09,4.9e+08,5.14e+08,1.45e+08,2.57e+08,1.12e+08,1.004e+09,3.367e+09,6.36e+08,2.98e+08,3.38e+08,6.36e+08,1.33e+08,2.21e+08,2.21e+08,3.54e+08,9.9e+08,2.377e+09,2.377e+09,3.367e+09,1.04e+08,3e+07,5.7e+07,-3.4e+07,1.57e+08,-4.3e+07,-4.3e+07,-4.2e+07,-2.7e+07,-2.7e+07,8e+06,-3.5e+07,2e+06,-5.2e+07,6.3e+07,6.3e+07,1.3e+07,7.6e+07,1.89e+08,1.33e+08,1.66e+08,0.32925,0.09282,0.06071,0.04375,0.03089,1.59615,3.71541,0.41649,0.0395,0.69057,0.67532,11.3745,15.78353,1.10226,0.17928,7,0.04797,0.06078,0.25962,-4.20635,-5
"13","2013_Q2",26.77125,"Up",1.638e+09,-1.077e+09,5.61e+08,-3.46e+08,-3.15e+08,-3.1e+07,2.15e+08,-1e+06,1e+06,-2e+06,2.14e+08,2.14e+08,-7.8e+07,1.36e+08,1.36e+08,1.36e+08,1.36e+08,1.105e+09,1.057e+09,1.169e+09,1.74e+08,1.74e+08,2.448e+09,5.04e+08,5.13e+08,1.44e+08,2.63e+08,6.8e+07,1.017e+09,3.465e+09,6.42e+08,3.52e+08,2.9e+08,6.42e+08,1.32e+08,2.16e+08,2.16e+08,3.48e+08,9.9e+08,2.475e+09,2.475e+09,3.465e+09,1.38e+08,3.1e+07,-4e+06,8.6e+07,2.51e+08,-5e+07,-5e+07,-4.8e+07,-3e+07,6e+06,6e+06,0,4e+06,-2e+07,1.83e+08,1.83e+08,-6e+06,1.77e+08,2.46e+08,1.32e+08,3.6e+08,0.34249,0.13126,0.08303,0.05495,0.03925,2.64706,3.81308,0.4,0.0381,0.90426,0.89064,10.89096,16.45612,2.39362,0.19947,7,0.0588,0.12752,0.22059,-3.95528,-4.52558
"14","2013_Q3",27.09375,"Up",1.454e+09,-1.001e+09,4.53e+08,-3.47e+08,-3.14e+08,-3.1e+07,1.06e+08,0,1e+06,-1e+06,1.06e+08,1.06e+08,-4e+07,6.6e+07,6.6e+07,6.6e+07,6.6e+07,8.36e+08,7.89e+08,1.306e+09,2.43e+08,2.43e+08,2.385e+09,5.52e+08,5.74e+08,1.6e+08,2.65e+08,7.9e+07,1.126e+09,3.511e+09,7.27e+08,4.18e+08,3.09e+08,7.3e+08,1.38e+08,2.17e+08,2.17e+08,3.55e+08,1.085e+09,2.426e+09,2.426e+09,3.511e+09,6.6e+07,3.1e+07,-1.01e+08,-6999999.99999999,-11000000.0000001,-5.7e+07,-5.7e+07,-1.41e+08,-3e+07,-9.1e+07,9e+06,-1e+08,6e+06,-1.15e+08,-2.67e+08,-2.67e+08,-1e+06,-2.68e+08,1.37e+08,1.41e+08,1.13e+08,0.31155,0.0729,0.04539,0.02721,0.0188,1.71212,3.26712,0.44724,0.04016,0.44177,0.43564,9.73226,16.23829,0.75636,0.2008,5,0.03448,0.04059,0.45455,-5.07299,-6.5566
"15","2013_Q4",28.75578125,"Up",1.622e+09,-1.085e+09,5.37e+08,-3.75e+08,-3.4e+08,-3.5e+07,1.62e+08,0,-6e+06,6e+06,1.62e+08,1.62e+08,-5.6e+07,1.06e+08,1.06e+08,1.06e+08,1.06e+08,7.96e+08,7.64e+08,1.316e+09,2.08e+08,2.08e+08,2.32e+09,5.89e+08,5.68e+08,1.63e+08,2.57e+08,1.48e+08,1.157e+09,3.477e+09,6.4e+08,3.1e+08,3.3e+08,6.43e+08,1.37e+08,2.31e+08,2.31e+08,3.68e+08,1.011e+09,2.466e+09,2.466e+09,3.477e+09,1.04e+08,3.5e+07,7e+06,-5.9e+07,8.7e+07,-5e+07,-5e+07,-3.2e+07,-2.9e+07,-6.3e+07,4e+06,-6.7e+07,1e+06,-9.1e+07,-3.6e+07,-3.6e+07,1.1e+07,-2.5e+07,1.97e+08,1.4e+08,1.44e+08,0.33107,0.09988,0.06535,0.04298,0.03049,1.35849,3.60809,0.40998,0.04026,0.71719,0.7095,10.97429,16.68471,0.97429,0.19621,4,0.04759,0.05076,0.27358,-3.32995,-4.04938
"16","2014_Q1",32.786393442623,"Up",1.791e+09,-1.209e+09,5.82e+08,-4.01e+08,-3.65e+08,-3.6e+07,1.81e+08,2e+06,9e+06,-7e+06,1.83e+08,1.83e+08,-6e+07,1.23e+08,1.23e+08,1.23e+08,1.23e+08,8.67e+08,8.58e+08,1.22e+09,2.63e+08,2.63e+08,2.35e+09,5.9e+08,5.47e+08,1.63e+08,2.41e+08,7.6e+07,1.137e+09,3.487e+09,6.23e+08,2.63e+08,3.6e+08,6.26e+08,1.36e+08,2.29e+08,2.29e+08,3.65e+08,9.91e+08,2.496e+09,2.496e+09,3.487e+09,1.21e+08,3.6e+07,1.12e+08,-6.6e+07,2.03e+08,-4.9e+07,-4.9e+07,-2.7e+07,-2.9e+07,-5.4e+07,8e+06,-6.2e+07,1e+06,-8.3e+07,9.3e+07,9.3e+07,1e+06,9.4e+07,2.17e+08,1.39e+08,1.62e+08,0.32496,0.10106,0.06868,0.04928,0.03527,1.31707,3.75399,0.39704,0.03986,0.84247,0.82884,12.26712,17.09589,1.10959,0.19863,7,0.05307,0.05656,0.23577,-3.35484,-4.0221
"17","2014_Q2",37.9520634920635,"Up",1.868e+09,-1.222e+09,6.46e+08,-3.92e+08,-3.55e+08,-3.6e+07,2.54e+08,0,1e+06,-1e+06,2.54e+08,2.54e+08,-9.2e+07,1.62e+08,1.62e+08,1.62e+08,1.62e+08,1.007e+09,1.005e+09,1.268e+09,2.43e+08,2.43e+08,2.518e+09,5.98e+08,5.53e+08,1.63e+08,2.45e+08,8e+07,1.151e+09,3.669e+09,7.09e+08,3.54e+08,3.55e+08,7.12e+08,1.35e+08,2.29e+08,2.29e+08,3.64e+08,1.076e+09,2.593e+09,2.593e+09,3.669e+09,1.62e+08,3.6e+07,-4.2e+07,1.16e+08,2.72e+08,-4.9e+07,-4.9e+07,-4.2e+07,-3.2e+07,-6e+07,1e+07,-7e+07,7e+06,-8.6e+07,1.44e+08,1.44e+08,3e+06,1.47e+08,2.9e+08,1.38e+08,4.49e+08,0.34582,0.13597,0.08672,0.06248,0.04415,2.7716,3.53652,0.41496,0.03761,1.11417,1.09756,12.84732,17.83356,3.08803,0.22008,8,0.06554,0.15169,0.19753,-2.99655,-3.42126
"18","2014_Q3",41.93421875,"Up",1.641e+09,-1.116e+09,5.25e+08,-3.81e+08,-3.43e+08,-3.6e+07,1.44e+08,0,1e+06,-999999.999999999,1.44e+08,1.44e+08,-5.2e+07,9.2e+07,9.2e+07,9.2e+07,9.2e+07,9.57e+08,9.57e+08,1.335e+09,2.6e+08,2.6e+08,2.552e+09,6.04e+08,5.42e+08,1.62e+08,2.47e+08,7.2e+07,1.146e+09,3.698e+09,7.48e+08,3.92e+08,3.56e+08,7.51e+08,1.34e+08,2.31e+08,2.31e+08,3.65e+08,1.116e+09,2.582e+09,2.582e+09,3.698e+09,9.2e+07,3.6e+07,-6.9e+07,3.1e+07,9e+07,-4.4e+07,-4.4e+07,-4.2e+07,-3.2e+07,-6.3e+07,3e+06,-6.6e+07,7e+06,-8.9e+07,-4.1e+07,-4.1e+07,-7e+06,-4.8e+07,1.8e+08,1.37e+08,2.19e+08,0.31993,0.08775,0.05606,0.03563,0.02488,2.38043,3.39814,0.43222,0.03705,0.63624,0.62842,11.34855,17.85615,1.51452,0.2213,8,0.04203,0.07424,0.34783,-4.55556,-5.69444
"19","2014_Q4",44.431875,"Up",1.731e+09,-1.157e+09,5.74e+08,-3.87e+08,-3.53e+08,-3.4e+07,1.87e+08,0,1e+06,-1e+06,1.87e+08,1.87e+08,-6.7e+07,1.2e+08,1.2e+08,1.2e+08,1.2e+08,9.16e+08,9.16e+08,1.324e+09,2.44e+08,2.44e+08,2.484e+09,6.13e+08,5.21e+08,1.6e+08,2.37e+08,6.8e+07,1.134e+09,3.618e+09,6.45e+08,2.87e+08,3.58e+08,6.48e+08,1.32e+08,2.36e+08,2.36e+08,3.68e+08,1.016e+09,2.602e+09,2.602e+09,3.618e+09,1.2e+08,3.4e+07,-5e+06,-7.2e+07,7.7e+07,-4.5e+07,-4.5e+07,-4.5e+07,-3.2e+07,-3.4e+07,4e+06,-3.8e+07,2e+06,-6.5e+07,-3.3e+07,-3.3e+07,-8e+06,-4.1e+07,2.21e+08,1.35e+08,1.71e+08,0.3316,0.10803,0.06932,0.04612,0.03317,1.425,3.83333,0.39047,0.03731,0.83624,0.82305,12.06272,18.1324,1.19164,0.223,8,0.05113,0.05752,0.26667,-3.53394,-4.17647
"20","2015_Q1",45.5883606557377,"Up",1.911e+09,-1.282e+09,6.29e+08,-4.09e+08,-3.75e+08,-3.3e+07,2.2e+08,4e+06,-8e+06,1.2e+07,2.24e+08,2.24e+08,-7.8e+07,1.46e+08,1.46e+08,1.46e+08,1.46e+08,9.67e+08,9.67e+08,1.25e+09,2.39e+08,2.39e+08,2.456e+09,6.2e+08,5.01e+08,1.57e+08,2.21e+08,7.4e+07,1.121e+09,3.577e+09,6.94e+08,3.01e+08,3.93e+08,6.96e+08,1.32e+08,2.53e+08,2.53e+08,3.85e+08,1.081e+09,2.496e+09,2.496e+09,3.577e+09,1.46e+08,3.3e+07,6.1e+07,3.3e+07,2.73e+08,-4.7e+07,-5.2e+07,-4.7e+07,-3.1e+07,-1.31e+08,0,-1.31e+08,1e+06,-1.61e+08,6.5e+07,6.5e+07,-1.4e+07,5.1e+07,2.53e+08,1.34e+08,3.17e+08,0.32915,0.11512,0.0764,0.05849,0.04082,2.17123,3.52874,0.43309,0.03746,1.02745,1.01248,13.44828,17.5651,2.23082,0.21816,8,0.06139,0.10995,0.21233,-3.29249,-3.78636
"21","2015_Q2",50.3557142857143,"Up",1.916e+09,-1.246e+09,6.7e+08,-3.8e+08,-3.45e+08,-3.5e+07,2.9e+08,0,1e+06,-1e+06,2.9e+08,2.9e+08,-1.06e+08,1.84e+08,1.84e+08,1.84e+08,1.84e+08,9.86e+08,9.86e+08,1.234e+09,2.59e+08,2.59e+08,2.479e+09,6.39e+08,5.13e+08,1.56e+08,2.26e+08,8.3e+07,1.152e+09,3.631e+09,6.9e+08,3.03e+08,3.87e+08,6.92e+08,1.31e+08,2.53e+08,2.53e+08,3.84e+08,1.076e+09,2.555e+09,2.555e+09,3.631e+09,1.84e+08,3.5e+07,9e+06,-1.5e+07,2.13e+08,-6e+07,-6e+07,-6e+07,-3.5e+07,-1.06e+08,2.3e+07,-1.29e+08,1.4e+07,-1.27e+08,2.6e+07,2.6e+07,-7e+06,1.9e+07,3.25e+08,1.33e+08,3.56e+08,0.34969,0.15136,0.09603,0.07202,0.05067,1.93478,3.58237,0.42114,0.03663,1.31335,1.29486,13.67595,18.23697,2.54104,0.24982,9,0.07446,0.12105,0.19022,-2.62462,-2.94138
