"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","dividends_paid","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",21.4095161290323,"Up",325869000,-189091000,136778000,-57494000,-27551000,-31692000,1749000,79284000,-27658000,-29097000,1439000,51626000,-519000,51107000,-585000,50522000,50522000,50522000,50522000,100491000,100491000,115137000,220716000,64126000,64126000,500470000,3376963000,3190000,224734000,13655000,53260000,73261000,84558000,3604887000,4105357000,263769000,98141000,33264000,132364000,105521000,45065000,60456000,369290000,2146749000,117741000,61083000,56658000,2264490000,2633780000,1500726000,-29149000,1471577000,1471577000,4105357000,50522000,31692000,-12148000,3690000,73756000,-121899000,18000,-121917000,-21623000,-107857000,-106597000,7473000,-99124000,-133225000,-133225000,-133225000,110976000,2146749000,-6648000,0.41973,0.2433,0.15504,0.03433,0.01231,-0.13159,1.35522,1.78977,0.52291,0.22201,0.22201,1.43194,6.46645,-0.02921,0.46841,0.04205,-0.00178,2.10991,18.43874,25.80922
"12","2013_Q1",26.7921666666667,"Up",503195000,-252583000,250612000,-67932000,-32694000,-33324000,-1914000,182680000,-27736000,-30600000,2864000,154944000,-531000,154413000,-610000,153803000,153803000,153803000,153803000,328278000,328278000,103443000,221888000,46669000,46669000,700278000,3465302000,5135000,249352000,13274000,53260000,107356000,75462000,3719789000,4420067000,291633000,112002000,42059000,137572000,100987000,46371000,54616000,392620000,2393408000,118337000,68134000,50203000,2511745000,2904365000,1550760000,-35058000,1515702000,1515702000,4420067000,153803000,33324000,8084000,39002000,234213000,-123352000,801000,-124153000,-37439000,-147251000,-109707000,2187000,140825000,227787000,227787000,227787000,216004000,2393408000,132264000,0.49804,0.36304,0.30565,0.10147,0.0348,0.85996,1.7836,1.91618,0.54149,0.67585,0.67585,2.21116,6.66035,0.5812,0.48208,0.06543,0.03284,0.7133,9.56061,11.30463
"13","2013_Q2",28.80796875,"Up",432421000,-225579000,206842000,-64337000,-30056000,-36332000,2051000,142505000,-28250000,-31701000,3451000,114255000,-540000,113715000,-748000,112967000,112967000,112967000,112967000,221003000,221003000,120276000,205152000,39064000,39064000,585495000,3520887000,4563000,294768000,9398000,53260000,155563000,76547000,3820218000,4405713000,276189000,111449000,37406000,127334000,105884000,57018000,48866000,382073000,2391718000,119385000,72481000,46904000,2511103000,2893176000,1547309000,-34772000,1512537000,1512537000,4405713000,112967000,36332000,7602000,10040000,166941000,-89922000,25000,-89947000,-47020000,-148617000,-113340000,-12259000,-125599000,-107275000,-107275000,-107275000,178837000,2391718000,99703000,0.47833,0.32955,0.26124,0.07469,0.02564,0.88259,1.53242,1.9128,0.54287,0.4964,0.4964,1.90016,6.64644,0.43812,0.49804,0.05624,0.02478,1.0033,12.13795,15.23255
"14","2013_Q3",30.46296875,"Up",443912000,-192743000,251169000,-66712000,-33262000,-34186000,736000,184457000,-28464000,-31707000,3243000,155993000,-540000,155453000,-1813000,153640000,153640000,153640000,153640000,119491000,119491000,95276000,207904000,41648000,41648000,464319000,3575837000,2881000,345031000,8659000,53260000,207758000,75354000,3923749000,4388068000,230583000,81636000,41426000,107521000,98840000,54186000,44654000,579361000,2140083000,113309000,71227000,42082000,2253392000,2832753000,1589625000,-34310000,1555315000,1555315000,4388068000,153640000,34186000,927000,-16021000,172732000,-88938000,2280000,-91218000,-52647000,-159204000,-115040000,-1.86264514923096e-09,-115040000,-101512000,-101512000,-101512000,218643000,2390021000,115497000,0.56581,0.41553,0.3461,0.09878,0.03501,0.75174,0.80143,1.82134,0.54466,0.67513,0.67513,1.95065,6.83442,0.50752,0.50551,0.0662,0.02846,0.74876,10.38465,12.30926
"15","2013_Q4",33.400625,"Up",443835000,-223561000,220274000,-65650000,-32755000,-35270000,2375000,154624000,-27857000,-31637000,3780000,126767000,-540000,126227000,-604000,125623000,125623000,125623000,125623000,14228000,14228000,114537000,208485000,50031000,50031000,387281000,3725186000,3140000,432398000,7969000,53260000,291384000,79785000,4160724000,4548005000,266677000,83190000,37174000,146313000,125129000,67882000,57247000,641760000,2236761000,106431000,63036000,43395000,2343192000,2984952000,1597316000,-34263000,1563053000,1563053000,4548005000,125623000,35270000,1190000,24436000,186519000,-108395000,109000,-108504000,-161210000,-269475000,-120707000,0,-22307000,-105263000,-105263000,-105263000,189894000,2486715000,106539000,0.4963,0.34838,0.28304,0.08037,0.02762,0.84809,0.60347,1.90969,0.54677,0.55202,0.55202,1.95031,6.86842,0.46816,0.53041,0.05927,0.02563,0.96087,13.02035,15.99032
"16","2014_Q1",37.5749180327869,"Up",627562000,-332340000,295222000,-71752000,-36423000,-36442000,1113000,223470000,-33635000,-37500000,3865000,189835000,1620000,191455000,-1448000,190007000,190007000,190007000,190007000,25235000,25235000,122757000,187224000,61517000,61517000,396733000,3916258000,2730000,505091000,7290000,53260000,360852000,83689000,4424079000,4820812000,265111000,76326000,44935000,143850000,123194000,63164000,60030000,638276000,2435316000,99778000,51637000,48141000,2535094000,3173370000,1666946000,-19504000,1647442000,1647442000,4820812000,190007000,36442000,20382000,52999.9999999925,246884000,-130570000,1196000,-131766000,-204124000,-304750000,-126374000,-5033000,68873000,11007000,11007000,11007000,259912000,2685287000,130843000,0.47043,0.35609,0.30277,0.11533,0.03941,0.68862,0.62157,1.92624,0.55702,0.83494,0.83494,2.75765,7.23924,0.57495,0.55532,0.07138,0.02952,0.6651,10.23443,11.9034
"17","2014_Q2",44.6161904761905,"Up",618606000,-271537000,347069000,-71980000,-34935000,-37511000,466000,275089000,-30715000,-36025000,5310000,244374000,-599000,243775000,-1221000,242554000,242554000,242554000,242554000,196630000,196630000,113494000,210235000,46683000,46683000,567042000,3913595000,30365000,632780000,6610000,53260000,487295000,85615000,4576740000,5143782000,225387000,73417000,50129000,101841000,128775000,64612000,64163000,604150000,2691288000,98858000,55736000,43122000,2790146000,3394296000,1772700000,-23214000,1749486000,1749486000,5143782000,242554000,37511000,6210000,-16201000,270074000,-75472000,42000,-75514000,-127698000,-202483000,-132835000,-21074000,103804000,171395000,171395000,171395000,312600000,2941276000,222148000,0.56105,0.44469,0.3921,0.13864,0.04715,0.91587,0.93858,1.94017,0.57181,1.06584,1.06584,2.7183,7.68765,0.97617,0.58371,0.07838,0.04638,0.54765,8.78006,9.9773
"18","2014_Q3",47.72171875,"Up",496446000,-233977000,262469000,-84251000,-39309000,-46897000,1955000,178218000,-30016000,-36859000,6843000,148202000,-602000,147600000,-1340000,146260000,146260000,146260000,146260000,731000,731000,103095000,188942000,65690000,65690000,358458000,3942727000,30028000,793046000,5931000,53260000,645090000,88765000,4765801000,5124259000,221482000,72050000,45973000,103459000,125144000,69338000,55806000,346626000,2910496000,104132000,54046000,50086000,3014628000,3361254000,1784539000,-21534000,1763005000,1763005000,5124259000,146260000,46897000,7975000,6150000,207282000,-77671000,65000,-77736000,-158247000,-234840000,-139079000,-239000,-168341000,-195899000,-195899000,-195899000,225115000,2910496000,154934000,0.5287,0.35899,0.29461,0.08296,0.02854,1.05931,1.03413,1.90655,0.56798,0.6427,0.6427,2.1815,7.74705,0.68082,0.61115,0.05972,0.03243,0.9509,12.92568,16.327
"19","2014_Q4",47.248125,"Down",521601000,-223978000,297623000,-71786000,-35377000,-38054000,1645000,225837000,-25414000,-34619000,9205000,200423000,-566000,199857000,-1237000,198620000,198620000,198620000,198620000,14853000,14853000,117655000,202475000,66997000,66997000,401980000,3991746000,29815000,887855000,5252000,53260000,736172000,93171000,4909416000,5311396000,270190000,84636000,44361000,141193000,123463000,70648000,52815000,393653000,3003707000,95681000,41133000,54548000,3099388000,3493041000,1841513000,-23158000,1818355000,1818355000,5311396000,198620000,38054000,-7216000,6501000,235959000,-81356000,157000,-81513000,-92275000,-171478000,-145324000,-25000,-50359000,14122000,14122000,14122000,263891000,3003707000,190273000,0.5706,0.43297,0.38079,0.10923,0.0374,0.95798,1.02115,1.92099,0.56552,0.87278,0.87278,2.29204,7.99028,0.8361,0.63859,0.06994,0.03869,0.73167,11.32609,13.23456
"20","2015_Q1",46.605737704918,"Down",723699000,-365994000,357705000,-62618000,-38667000,-39279000,15328000,295087000,-43947000,-36819000,-7128000,251140000,1767000,252907000,-822000,252085000,252085000,252085000,252085000,17063000,17063000,100176000,157762000,127666000,127666000,402667000,4329334000,28611000,740797000,4573000,53260000,613867000,69097000,5098742000,5501409000,283645000,97131000,45973000,140541000,252510000,71142000,181368000,536155000,2967019000,130002000,75155000,54847000,3097021000,3633176000,1949773000,-81540000,1868233000,1868233000,5501409000,252085000,39279000,13345000,89277000,393986000,-117971000,10516000,-128487000,-104781000,-221183000,-151568000,-3.72529029846191e-09,-170593000,2210000,2210000,2210000,334366000,2967019000,306494000,0.49427,0.40775,0.34833,0.13493,0.04582,1.21584,0.75103,1.94471,0.53932,1.10772,1.10772,3.1801,8.20945,1.34681,0.66603,0.0813,0.06173,0.60126,8.82254,9.9969
"21","2015_Q2",47.2198412698413,"Up",530302000,-242886000,287416000,-67605000,-35498000,-41697000,9590000,219811000,-35017000,-36845000,1828000,184794000,0,184794000,-1158000,183636000,183636000,183636000,183636000,52813000,52813000,112444000,160949000,69444000,69444000,395650000,4399594000,27116000,782757000,3893000,53260000,636618000,88986000,5209467000,5605117000,248581000,91022000,45800000,111759000,170306000,75920000,94386000,418887000,3183750000,128599000,80741000,47858000,3312349000,3731236000,1970042000,-96161000,1873881000,1873881000,5605117000,183636000,41697000,-773000,-33477000,191083000,-125428000,3089000,-128517000,-13751000,-134566000,-158061000,-65353000,-20767000,35750000,35750000,35750000,261508000,3183750000,103761000,0.54199,0.4145,0.34629,0.098,0.03276,0.56504,0.94453,1.99118,0.56801,0.80694,0.80694,2.33027,8.23427,0.45595,0.69456,0.06589,0.02001,0.86073,11.97262,14.24377
"22","2015_Q3",40.56203125,"Down",498428000,-236825000,261603000,-53840000,-37942000,-40440000,24542000,207763000,-30577000,-40062000,9485000,177186000,0,177186000,205000,177391000,177391000,177391000,177391000,29030000,29030000,97162000,159920000,46589000,46589000,332701000,4553473000,25614000,820268000,3214000,53260000,666451000,97343000,5399355000,5732056000,249917000,95810000,52037000,102070000,133288000,71178000,62110000,383205000,3326936000,125527000,79807000,45720000,3452463000,3835668000,1989130000,-92742000,1896388000,1896388000,5732056000,177391000,40440000,10835000,-4929999.99999999,223736000,-147267000,64000,-147331000,-77370000,-229250000,-163178000,-72999.9999999851,-18269000,-23783000,-23783000,-23783000,248203000,3326936000,95801000,0.52486,0.41684,0.3559,0.09354,0.03095,0.54006,0.86821,2.02262,0.58041,0.7795,0.7795,2.19021,8.33317,0.42097,0.71704,0.06367,0.01791,0.91988,13.28713,15.8734
"23","2015_Q4",38.98578125,"Down",586675000,-232871000,353804000,-64134000,-37612000,-42043000,15521000,289670000,-37831000,-40109000,2278000,251839000,0,251839000,-867000,250972000,250972000,250972000,250972000,9007000,9007000,124859000,135181000,89109000,89109000,358156000,4680650000,22055000,905322000,2535000,53260000,753568000,95959000,5608027000,5966183000,292325000,123813000,45132000,123380000,176237000,75283000,100954000,468562000,3407114000,108430000,68681000,39749000,3515544000,3984106000,2076971000,-94894000,1982077000,1982077000,5966183000,250972000,42043000,-1668000,17938000,309285000,-155387000,25000,-155412000,-96930000,-242976000,-168296000,-20000,-86332000,-20023000,-20023000,-20023000,331713000,3407114000,195131000,0.60307,0.49375,0.42779,0.12662,0.04207,0.7775,0.76437,2.01007,0.57107,1.10283,1.10283,2.57799,8.70971,0.85745,0.73953,0.07626,0.03549,0.67058,10.24412,11.73096
"24","2016_Q1",39.8104918032787,"Up",573048000,-258341000,314707000,-64698000,-38896000,-42632000,16830000,250009000,-42370000,-40603000,-1767000,207639000,9.31322574615479e-10,207639000,-516000,207123000,207123000,207123000,207123000,28731000,28731000,96594000,130868000,82661000,82661000,338854000,4819229000,20374000,863110000,1856000,53260000,765628000,42366000,5702713000,6041567000,290080000,104094000,51296000,134690000,172657000,81627000,91030000,713072000,3189287000,117472000,77551000,39921000,3306759000,4019831000,2118086000,-96350000,2021736000,2021736000,6041567000,207123000,42632000,27002000,68831000,345588000,-189698000,193000,-189891000,-19093000,-203977000,-173413000,-1469000,-121887000,19724000,19724000,19724000,292641000,3439622000,172290000,0.54918,0.43628,0.36144,0.10245,0.03428,0.83182,0.4752,1.98831,0.56933,0.91015,0.91015,2.51811,8.88398,0.75708,0.76202,0.06821,0.03088,0.83725,11.65555,13.64307
"25","2016_Q2",43.72171875,"Up",519816000,-236498000,283318000,-66802000,-40676000,-43754000,17628000,216516000,-35475000,-43363000,7888000,181041000,26900000,207941000,-871000,207070000,207070000,207070000,207070000,209992000,209992000,108898000,132088000,64553000,64553000,515531000,4913509000,20726000,942548000,44882000,53260000,800380000,44026000,5876783000,6392314000,247841000,102858000,47931000,97052000,181024000,95614000,85410000,679094000,3552032000,123606000,84385000,39221000,3675638000,4354732000,2145594000,-108012000,2037582000,2037582000,6392314000,207070000,43754000,-18026000,-23230000,209568000,-139505000,17000,-139522000,-61738000,-199031000,-178808000,-19694000,170724000,181261000,181261000,181261000,260270000,3802261000,98406000,0.54504,0.41652,0.39835,0.10163,0.03239,0.47523,0.75915,2.13721,0.59482,0.90991,0.90991,2.28419,8.95361,0.43242,0.78572,0.06471,0.0165,0.86351,13.80209,16.59124
"26","2016_Q3",44.46453125,"Up",518897000,-229886000,289011000,-62517000,-34554000,-43302000,15339000,226494000,-39194000,-48282000,9088000,187300000,1244000,188544000,-685000,187859000,187859000,187859000,187859000,34263000,34263000,112697000,156430000,82192000,82192000,385582000,5041930000,18134000,1002558000,52337000,53260000,850401000,46560000,6062622000,6448204000,285210000,118484000,62294000,104432000,178369000,98562000,79807000,713662000,3574898000,121446000,81863000,39583000,3696344000,4410006000,2154135000,-115937000,2038198000,2038198000,6448204000,187859000,43302000,-15058000,-18603000,197500000,-165872000,4739000,-170611000,-48195000,-214337000,-182797000,-89999.9999999963,-158892000,-175729000,-175729000,-175729000,269796000,3824981000,86006000,0.55697,0.43649,0.36204,0.09217,0.02913,0.45782,0.54029,2.16368,0.59319,0.8255,0.8255,2.28015,8.95632,0.37793,0.80325,0.06193,0.01437,0.97305,14.05031,16.73651
"27","2016_Q4",44.1844444444444,"Down",551782000,-253157000,298625000,-64089000,-35584000,-47081000,18576000,234536000,-39247000,-49861000,10614000,195289000,0,195289000,-738000,194551000,194551000,194551000,194551000,291097000,291097000,151008000,123011000,83159000,83159000,648275000,5186042000,22101000,1063367000,52102000,53260000,912419000,45586000,6271510000,6919785000,267812000,101012000,48903000,117897000,166017000,98818000,67199000,683849000,4073502000,113902000,70416000,43486000,4187404000,4871253000,2166445000,-117913000,2048532000,2048532000,6919785000,194551000,47081000,25642000,-35347000,231927000,-206335000,1342000,-207677000,-64967000,-268744000,-186783000,-24379000,293651000,256834000,256834000,256834000,281617000,4323522000,40673000,0.5412,0.42505,0.35259,0.09497,0.02812,0.20906,0.94798,2.37792,0.62481,0.8549,0.8549,2.42466,9.00173,0.17873,0.82077,0.05879,0.00627,0.96007,14.31883,17.1932
