"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"35","2018_Q4",1.57857142857143,"Up",30411000,-19733000,10678000,-8222000,-5794000,-1962000,-3832000,-2428000,2456000,-224000,-194000,2232000,-920000,-216000,-1136000,-1348000,-1348000,-1348000,10100000,10100000,24221000,24221000,5340000,39661000,3300000,42931000,42266000,46231000,85892000,35657000,22552000,13105000,8754000,8754000,44411000,9728000,54139000,1e+05,321307000,-289260000,-323000,31753000,31753000,85892000,-1136000,709000,3902000,-789000,2348000,-696000,-696000,-696000,-655000,63000,1756000,1756000,-4999.99999999998,1751000,3165000,3298000,1896000,0.35112,0.08076,-0.04433,-0.0424499999999999,-0.01569,-1.40653,0.89304,1.705,0.0384,-0.01736,-0.01736,0.39167,0.40766,0.02442,-0.0325,0.04571,-2.14913,-2.76954
"36","2019_Q1",2.74524590163934,"Up",27192000,-16238000,10954000,-9020000,-6318000,-2501000,-3817000,-2702000,1934000,-154000,-472000,1780000,-6450000,-312000,-6762000,-6858000,-6858000,-6858000,10894000,10894000,22707000,22707000,3522000,37123000,3430000,42308000,42268000,45738000,82861000,33558000,14912000,18646000,4750000,4750000,38308000,8195000,46503000,1e+05,332803000,-296118000,-356000,36358000,36358000,82861000,-6762000,621000,9485000,-903000,2176000,-533000,-533000,-533000,-533000,-1089000,554000,554000,-26000,528000,2555000,0,1431000,0.40284,0.07112,-0.25221,-0.18862,-0.08277,-0.20866,0.96907,1.27903,0,-0.08712,-0.09301,0.34544,0.46061,0.01818,-0.15393,0.03212,-4.2638,-5.63289
"37","2019_Q2",4.02253968253968,"Up",30553000,-18553000,1.2e+07,-8960000,-6166000,-2278000,-3888000,-2794000,3040000,408000,18000,3448000,-1778000,107000,-1671000,-1819000,-1819000,-1819000,16222000,16222000,22733000,22733000,3493000,42448000,3748000,44521000,42268000,48269000,90717000,33205000,18916000,14289000,5576000,5576000,38781000,14703000,53484000,1e+05,335399000,-297937000,-258000,37233000,37233000,90717000,-1671000,462000,5974000,279000,4814000,-783000,-783000,-783000,-783000,1199000,5230000,5230000,97999.9999999999,5328000,3502000,0,2891000,0.39276,0.0995,-0.05954,-0.04885,-0.02005,-1.58933,1.09456,1.43647,0,-0.02223,-0.02223,0.37344,0.45387,0.03534,-0.03502,0.05566,-4.63221,-5.33618
"38","2019_Q3",6.2075,"Up",32795000,-20490000,12305000,-9190000,-6455000,-2441000,-4014000,-2735000,3115000,125000,40999.9999999999,3240000,-1265000,-72000,-1337000,-1425000,-1425000,-1425000,25154000,25154000,25303000,25303000,3073000,53530000,4278000,44414000,42268000,48692000,102222000,36405000,22314000,14091000,15140000,15140000,51545000,2110000,53655000,1e+05,348576000,-299362000,-676000,48567000,48567000,102222000,-1337000,482000,5520000,2055000,6758000,-1022000,-1022000,-1022000,-1022000,3614000,9350000,9350000,-418000,8932000,3597000,0,4702000,0.37521,0.09498,-0.04345,-0.02934,-0.01394,-3.29965,1.03851,1.10476,0,-0.01698,-0.01698,0.39085,0.57763,0.05604,-0.02812,0.09278,-6.99305,-8.07512
"39","2019_Q4",7.43625,"Up",36016000,-21976000,14040000,-9908000,-7125000,-2815000,-4310000,-2783000,4132000,40000,59000,4172000,3302000,-41000,3261000,3326000,3326000,3326000,33714000,33714000,26694000,26694000,3833000,64241000,5116000,44297000,42268000,49413000,113654000,40380000,20820000,19560000,14016000,14016000,54396000,2007000,56403000,1e+05,353978000,-296036000,-720000,57251000,57251000,113654000,3261000,540000,1831000,2759000,8438000,-1374000,-1374000,-1374000,-1374000,1540000,8604000,8604000,-44000,8560000,4672000,0,6098000,0.38983,0.11473,0.09235,0.0581,0.02926,1.83343,1.18099,0.98519,3.46944695195361e-18,0.03873,0.03212,0.41934,0.66542,0.071,0.05613,0.10291,-7.21618,-8.15924
"40","2020_Q1",6.18451612903226,"Down",39351000,59565000,98916000,-95991000,-8697000,-3710000,-4987000,-3706000,2925000,-3e+05,-77000,2625000,3646000,10381000,14027000,13818000,13818000,13818000,21534000,21534000,33135000,33135000,3778000,58447000,8183000,117381000,69262000,125564000,184011000,79048000,31579000,47469000,2573000,2573000,82809000,23748000,106557000,1e+05,360234000,-282218000,-591000,77454000,77454000,184011000,14027000,858000,2520000,-3890000,11367000,-1666000,-1666000,-1666000,-43538000,19822000,-12349000,-12349000,129000,-12220000,3783000,19693000,-12154000,2.51368,0.07433,0.35115,0.1784,0.07509,-0.879579999999999,0.7058,1.37575,0.10702,0.15925,0.15534,0.45351,0.89149,-0.14007,0.13495,-0.1187,-0.48665,-0.6294
"41","2020_Q2",6.98126984126984,"Up",59012000,-32860000,26152000,-15530000,-11122000,-4318000,-6804000,-4408000,10622000,-306000,-306000,10316000,10316000,-376000,9940000,9940000,9940000,9940000,18723000,18723000,43443000,43443000,3197000,65363000,9311000,117103000,69716000,126414000,191777000,73752000,29881000,43871000,5299000,5299000,79051000,23426000,102477000,1e+05,362282000,-272278000,-733000,89300000,89300000,191777000,9940000,1552000,2007000,-7487000,6012000,-2011000,-2011000,-2011000,-9243000,437000,-2794000,-2794000,-142000,-2936000,12174000,18020000,3052000,0.44316,0.18,0.16844,0.11131,0.05183,0.30704,0.82685,1.14756,0.09396,0.11375,0.10676,0.6753,1.02076,0.03493,0.08818,0.02707,-0.0577500000000004,-0.0661799999999988
"42","2020_Q3",21.53765625,"Up",70893000,31638000,102531000,-90415000,-13366000,-4835000,-8531000,-4217000,12116000,-325000,-287000,11791000,1034000,-661000.000000001,373000,373000.000000002,373000,373000,32967000,32967000,46273000,46273000,2016000,81256000,10458000,116986000,70452000,127444000,208700000,82503000,36355000,46148000,8519000,8519000,91022000,22446000,113468000,1e+05,367886000,-271905000,-778000,95232000,95232000,208700000,373000,1689000,13753000,7839000,23654000,-2166000,-2166000,-2166000,-2902000,-6463000,14289000,14289000,-45000,14244000,13805000,17536000,20139000,1.44628,0.17091,0.00526000000000001,0.00392,0.00179,53.99196,0.89271,1.19149,0.08402,0.00423999999999999,0.00384999999999999,0.80525,1.08058,0.22875,0.00317,0.17114,-1.11778,-1.27361
"43","2020_Q4",41.01,"Up",88592000,-749000,87843000,-67326000,-11980000,-5219000,-6761000,-5202000,20517000,-279000,-266000,20238000,15576000,-1061000,14515000,14515000,14515000,14515000,43659000,43659000,59027000,59027000,1955000,104641000,11670000,116130000,70452000,127800000,232441000,88670000,34142000,54528000,9787000,9787000,98457000,21810000,120267000,1e+05,370445000,-257390000,-910000,112174000,112174000,232441000,14515000,1821000,-565000,3175000,18946000,-2368000,-2368000,-2368000,-2368000,-5754000,10824000,10824000,-132000,10692000,22338000,17052000,24206000,0.99155,0.23159,0.16384,0.1294,0.06245,1.66765,1.06281,1.07215,0.07336,0.1631,0.15008,0.99546,1.25932,0.27199,0.10833,0.18066,-1.19111,-1.29683
"44","2021_Q1",73.0804918032787,"Up",95082000,-387000,94695000,-78741000,-16776000,-4932000,-11844000,-6292000,15954000,-239000,-144000,15715000,14931000,15125000,30056000,30056000,30056000,30056000,30778000,30778000,61985000,61985000,4622000,97385000,13050000,149934000,80176000,162984000,260369000,90966000,34953000,56013000,5626000,5626000,111149000,4107999.99999999,115257000,110000,373310000,-227334000,-903000,145112000,145112000,260369000,30056000,2052000,-20497000,2572000,14183000,-2659000,-2659000,-2659000,-23295000,-3435999.99999999,-12548000,-12548000,7000,-12541000,18006000,14557000,2794000,0.99593,0.16779,0.31611,0.20712,0.11544,0.0929600000000033,0.87617,0.79426,0.05591,0.33531,0.30696,1.06076,1.61768,0.03117,0.18352,0.01706,-0.90087,-1.01674
