"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","other_adjustments_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2018_Q1",29.403606557377,"Down",1959200000,-1588600000,370600000,-2.72e+08,-224500000,-47900000,4e+05,98600000,-3.5e+07,-3.8e+07,3e+06,63600000,60600000,-33600000,2.7e+07,2.7e+07,2.7e+07,2.7e+07,4.67e+08,4.67e+08,839500000,1.212e+09,149600000,1062400000,2518500000,1.003e+09,2211200000,287700000,1818400000,22800000,82300000,3214200000,5732700000,1.344e+09,941700000,402300000,6.2e+07,13400000,13400000,1419400000,2.82e+09,403200000,257100000,35400000,110700000,3223200000,4642600000,2302700000,-934100000,-278500000,1090100000,1090100000,5732700000,2.7e+07,2.7e+07,47900000,12600000,159300000,246800000,1300000,3.72529029846191e-09,1300000.00000001,-77600000,4400000,4400000,-3700000,-76900000,171200000,171200000,1900000,173100000,146500000,2.882e+09,340700000,0.18916,0.05033,0.01378,0.02477,0.00471,12.61852,1.77434,4.25888,0.50273,0.19176,0.19054,13.91477,7.74219,2.41974,0.00617,0.07787,16.48464,24.4929
"12","2018_Q2",27.62515625,"Down",2.158e+09,-1750700000,407300000,-299400000,-2.41e+08,-44800000,-13600000,107900000,-32300000,-34900000,2600000,75600000,75600000,-10200000,65400000,65400000,65400000,65400000,115900000,115900000,921900000,1463100000,174600000,1288500000,2500900000,983800000,2209600000,2.79e+08,1809200000,30300000,91100000,3193400000,5694300000,1.417e+09,1011700000,405300000,20500000,8500000,8500000,1.446e+09,2683500000,399100000,252500000,45800000,100800000,3082600000,4528600000,2310200000,-868400000,-276100000,1165700000,1165700000,5694300000,65400000,65400000,44800000,8800000,-2.58e+08,-1.39e+08,-1.4e+07,-8900000,-22900000,-184900000,8e+05,8e+05,-2700000,-186800000,-348700000,-348700000,-2400000,-351100000,152700000,2.704e+09,-109100000,0.18874,0.05,0.03031,0.0561,0.01149,-1.6682,1.72953,3.88488,0.47486,0.46416,0.46056,15.31583,8.27324,-0.77431,0.01532,-0.02556,16.94892,23.9861
"13","2018_Q3",27.8222222222222,"Up",2372600000,-1958600000,4.14e+08,-296600000,-240900000,-44700000,-1.1e+07,117400000,-34100000,-3.2e+07,-2100000,83300000,83300000,-27200000,56100000,56100000,56100000,56100000,128600000,128600000,880300000,1549100000,179900000,1369200000,2.558e+09,964200000,2186900000,267100000,1800200000,23700000,95900000,3151100000,5709100000,1465700000,1127300000,338400000,79600000,8199999,8199999,1553499999,2590100000,394500000,246500000,49200000,98800000,2984600000,4538099999,2314800000,-812300000,-331500000,1.171e+09,1.171e+09,5709099999,56100000,56100000,44700000,1.5e+07,-25800000,9e+07,-28600000,-11500000,-40100000,-26100000,3e+05,3e+05,1e+05,-25700000,24199999.9999999,24199999.9999999,-11500000,12700000.0000001,162100000,2669700000,134900000,0.17449,0.04948,0.02364,0.04791,0.00983,2.40463,1.6466,3.87541,0.46762,0.39759,0.39507,16.81502,8.29908,0.95606,0.01325,0.03185,15.67613,21.6448
"14","2018_Q4",23.1485714285714,"Down",2130700000,-1744700000,3.86e+08,-286400000,-2.29e+08,-4.5e+07,-12400000,99600000,-29700000,-32200000,2500000,69900000,69900000,-20300000,49600000,49600000,49600000,49600000,85900000,85900000,843600000,1425800000,164800000,1.261e+09,2355300000,960700000,2181100000,254200000,1807100000,20700000,99100000,3141800000,5497100000,1263800000,920800000,3.43e+08,57300000,8700000,8700000,1329800000,2543700000,392900000,239600000,49900000,103400000,2936600000,4266400000,2.323e+09,-762700000,-329600000,1230700000,1230700000,5497100000,49600000,49600000,4.5e+07,7900000,-56100000,46400000,-8600000,4e+05,-8300000,-81700000,4600000,4600000,-5e+05,-77600000,-39500000,-39500000,-3200000,-42700000,144600000,2.601e+09,100200000,0.18116,0.04675,0.02328,0.0403,0.00902,2.02016,1.77117,3.46664,0.47316,0.35103,0.34856,15.07926,8.70984,0.70913,0.01174,0.02372,17.3935,25.25201
"15","2019_Q1",21.5591803278689,"Down",1971200000,-1606700000,364500000,-3.02e+08,-220500000,-4.5e+07,-36500000,62500000,-6.9e+07,-33300000,-35700000,-6500000,-6600000,7800000,1200000,1200000,1200000,1200000,121600000,121600000,803300000,1263800000,169100000,1094700000,2188700000,955800000,2127900000,238100000,1780700000,24800000,84300000,3083700000,5272400000,1304800000,925400000,379400000,21700000,8100000,8100000,1334600000,2350400000,395700000,254400000,42900000,98400000,2746100000,4080700000,2326400000,-761500000,-373200000,1191700000,1191700000,5272400000,1200000,1200000,4.5e+07,4900000,241400000,292500000,-28900000,1399999.99999999,-27700000,-2.27e+08,200000.000000001,199999.999999998,-1399999,-228199999,36600001,36600001,-9e+05,35700001,107500000,2372100000,312200000,0.18491,0.03171,0.00061,0.00101,0.00023,260.16667,1.63997,3.42427,0.44991,0.00848,0.00842,13.93074,8.42191,2.20636,3e-04,0.07885,20.93488,36.008
"16","2019_Q2",21.8509523809524,"Up",2.16e+09,-1746500000,413500000,-465800000,-253400000,-47600000,-164800000,-52300000,-40300000,-34200000,-6100000,-92600000,-93300000,23300000,-7e+07,-63900000,-63900000,-63900000,7.88e+08,7.88e+08,996600000,1662400000,195900000,1466500000,3.447e+09,1168200000,3172600000,398500000,2472100000,24400000,277600000,4340800000,7787800000,1656400000,1096700000,559700000,27200000,4300000,4300000,1687900000,3.694e+09,624900000,252500000,114400000,2.58e+08,4318900000,6006800000,2979700000,-822200000,-376500000,1.781e+09,1.781e+09,7787800000,-63900000,-63900000,47600000,-19200000,-8.8e+07,-123500000,-15800000,-515500000,-532600000,1332500000,3052904.42803724,3052897.97906185,-2e+06,1330500000,674400000,674400000,-8e+06,666400000,-4700000,3721200000,-131800000,0.19144,-0.02421,-0.02958,-0.03588,-0.00821,2.0626,2.04218,3.37271,0.47782,-0.42828,-0.42828,14.47721,11.937,-0.88338,-0.01043,-0.02151,-624.08511,-56.08413
"17","2019_Q3",20.69359375,"Down",2584600000,-2102700000,481900000,-402900000,-280800000,-58300000,-63800000,7.9e+07,-43500000,-37900000,-5600000,35500000,35500000,-18500000,1.7e+07,16300000,16300000,16300000,109500000,109500000,9.38e+08,1758700000,214300000,1544400000,2806200000,1153500000,3171400000,3.81e+08,2.488e+09,25300000,277100000,4324900000,7131100000,1577700000,1081500000,496200000,1.9e+07,3200000,3200000,1599900000,3117100000,639600000,250700000,118800000,270100000,3756700000,5356600000,2961100000,-805900000,-380700000,1774500000,1774500000,7131100000,16300000,16300000,58300000,20200000,-151800000,-5.7e+07,-28800000,5.96046447753906e-08,-28800000,-603100000,5700000,5700000,-2e+05,-597600000,-683400000,-683400000,4900000,-678500000,137300000,3136100000,-24800000,0.18645,0.03057,0.00631,0.00919,0.00229,-1.52147,1.75398,3.01865,0.43978,0.096,0.096,15.22144,10.45053,-0.14605,0.00294,-0.00447,22.0436999999999,38.31139
"18","2019_Q4",22.6325,"Up",2387300000,-1939200000,448100000,-353100000,-269200000,-53700000,-30200000,9.5e+07,-42300000,-36800000,-5500000,52700000,45700000,-43200000,2500000,2500000,2500000,2500000,134600000,134600000,872900000,1568800000,193100000,1375700000,2576300000,1161100000,3047300000,348200000,2409500000,2.2e+07,267600000,4208400000,6784700000,1423800000,973300000,450500000,1.9e+07,2900000,2900000,1445700000,2977100000,616900000,244600000,111100000,261200000,3.594e+09,5039700000,2965400000,-803400000,-4.17e+08,1.745e+09,1.745e+09,6784700000,2500000,2500000,53700000,43700000,114800000,214700000,-23900000,-21200000,-45100000,-121600000,0,0,0,-121600000,4.8e+07,4.8e+07,-22900000,25100000,148700000,2996100000,282800000,0.1877,0.03979,0.00105,0.00143,0.00037,113.12,1.78204,2.88808,0.4416,0.01481,0.0148100000000001,14.14277,10.33768,1.67536,0.00047,0.05278,19.24344,30.12105
"19","2020_Q1",18.5554838709677,"Down",2.155e+09,-1722500000,432500000,-352900000,-265400000,-55100000,-32400000,79600000,-90900000,-30600000,-60300000,-11300000,1.1e+07,-66100000,-55100000,-55100000,-55100000,-55100000,330300000,330300000,7.96e+08,1327300000,167200000,1160100000,2453600000,1152400000,2888800000,320200000,2280800000,21300000,266500000,4041200000,6494800000,1423700000,8.95e+08,528700000,2.5e+07,7e+05,7e+05,1449400000,2688800000,623800000,295600000,56300000,271900000,3312600000,4.762e+09,2970600000,-858500000,-379300000,1732800000,1732800000,6494800000,-55100000,-55100000,55100000,42800000,286900000,329700000,799999.999999996,1.74e+08,173400000,-300700000,9e+05,899999.999999999,-16300000,-316100000,1.87e+08,1.87e+08,8700000,195700000,134700000,2713800000,488500000,0.2007,0.03694,-0.02557,-0.0318,-0.00848,-8.8657,1.69284,2.74815,0.41784,-0.32681,-0.32681,12.78173,10.27758,2.89739,-0.01087,0.09634,17.69488,29.94347
"20","2020_Q2",14.3485714285714,"Down",2211200000,-1770100000,441100000,-367400000,-279500000,-57500000,-30400000,73700000,-7700000.00000003,-28100000,20400000,6.6e+07,55600000,300000.000000007,55900000,55900000,55900000,55900000,379700000,379700000,817200000,1590400000,206600000,1383800000,2787300000,1120700000,2.831e+09,301700000,2.249e+09,19200000,261100000,3951700000,6.739e+09,1562900000,1027200000,535700000,26900000,1100000,1100000,1590900000,2860800000,603700000,286600000,53400000,263700000,3464500000,5055400000,2975700000,-802600000,-489500000,1683600000,1683600000,6.739e+09,55900000,55900000,57500000,-17400000,-174199999,-78199999,-16500000,-8199999,-30899999,171600000,7e+05,7e+05,-1300000,1.71e+08,61900002,61900002,-12500000,49400002,131200000,2887700000,-59799999,0.19948,0.03333,0.02528,0.0332,0.00829,-1.06977,1.75203,3.00273,0.42851,0.33116,0.3294,13.09953,9.97393,-0.35427,0.0108,-0.01156,19.11585,34.02985
"21","2020_Q3",17.68921875,"Up",2009199999,-1600800000,408399999,-325500000,-245500000,-55200000,-24800000,82899999,-52600000,-29900000,-22700000,30299999,13399999,-11600000,1799999,1799999,1799999,1799999,547400000,547400000,755100000,1425600000,1.75e+08,1250600000,2728100000,1101500000,2819600000,2.76e+08,2263200000,21600000,258800000,3921100000,6649200000,1412500000,9.06e+08,506500000,2.7e+07,9e+05,9e+05,1440400000,2902100000,603500000,286200000,51800000,265500000,3505600000,4.946e+09,2.979e+09,-800800000,-4.75e+08,1703200000,1703200000,6649200000,1800000,1800000.00000003,55200000,38700000,55999999,151699999,-15500000,2.98023223876953e-08,-16300000,2.7e+07,0,0,6e+05,27600000.0000001,162999999,162999999,4700000,167699999,138099999,2929100000,190199998,0.20326,0.04126,9e-04,0.00106,0.00027,105.66672,1.89399,2.90395,0.44052,0.01066,0.01062,11.90284,10.09005,1.12678,0.00034,0.03633,17.2462,28.7298
"22","2020_Q4",18.03859375,"Up",2009200001,-1599100000,410100001,-322100000,-245500000,-56300000,-20300000,88000001,-26400000,-27700000,1299999.99999999,61600001,31600001,-2700000,28900001,28900001,28900001,28900001,273700000,273700000,696300000,1448600000,171800000,1276800000,2418600000,1085200000,2803500000,263300000,2267300000,20900000,2.52e+08,3888700000,6307300000,1241700000,761800000,479900000,27600000,4e+05,4e+05,1269700000,2660400000,626200000,279800000,61400000,2.85e+08,3286600000,4556300000,2.981e+09,-771900000,-458100000,1.751e+09,1.751e+09,6307300000,28900000,28900000,56300000,44800000,-121900000,8100000,-32400000,6199999,-27000001,-258200000,0,0,7e+05,-257500000,-276400001,-276400001,2700000,-273700001,144300001,2.688e+09,-7299999,0.20411,0.0438,0.01438,0.0165,0.00458,-0.2526,1.90486,2.60211,0.42617,0.1709,0.1701,11.88173,10.35482,-0.04317,0.00571,-0.00144,16.73112,27.43523
"23","2021_Q1",20.4809836065574,"Up",2035400000,-1637200000,398200000,-319600000,-251800000,-53900000,-13900000,78600000,-84900000,-26700000,-58200000,-6300000,-41600000,7900000,-33700000,-33700000,-33700000,-33700000,386600000,386600000,6.74e+08,1391300000,151500000,1239800000,2451900000,1065700000,2837400000,251900000,2270400000,29600000,285500000,3903100000,6.355e+09,1241400000,765100000,476300000,163500000,2100000,2100000,1.407e+09,2477100000,678600000,308800000,39300000,330500000,3155700000,4562700000,2.985e+09,-805600000,-387100000,1792300000,1792300000,6.355e+09,-33700000,-33700000,53900000,48600000,76500000,145300000,-4e+05,34700000,32900000,-80200000,4e+05,4e+05,-1300000,-81100000,97100000.0000001,97100000.0000001,15800000,112900000,132500000,2640600000,200700000,0.19564,0.03862,-0.01656,-0.0188,-0.0053,-5.95549000000001,1.74264,2.54572,0.41552,-0.19953,-0.19859,12.05092,10.6116,1.18828,-0.00659,0.03926,17.01132,28.67684
"24","2021_Q2",25.0488888888889,"Up",2155400000,-1704400000,4.51e+08,-369900000,-268800000,-56900000,-44200000,81100000,2099999.99999999,-26600000,28700000,83200000,83800000,-17600000,66200000,66200000,66200000,66200000,141400000,141400000,728400000,1637300000,165500000,1423400000,2507100000,1037800000,2.826e+09,238300000,2274600000,29800000,283300000,3863800000,6370900000,1303800000,878400000,425400000,117700000,26700000,26700000,1448200000,2.393e+09,660700000,301500000,42900000,316300000,3053700000,4501900000,2990500000,-739400000,-382100000,1.869e+09,1.869e+09,6370900000,66200000,66200000,56900000,-19100000,-196300000,-92300000,-1.1e+07,124629972.129848,-12200000,-137200000,1500000,1500000,1999999,-133700001,-238200001,-238200001,-7e+06,-245200001,1.38e+08,2510700000,-51700000,0.20924,0.03763,0.03071,0.03542,0.01039,-0.78097,1.73118,2.40872,0.39409,0.39033,0.3885,12.70873,11.02005,-0.30483,0.01313,-0.01026,17.16884,29.21455
"25","2021_Q3",23.62875,"Down",2394100000,-1889400000,504700000,-387600000,-307200000,-50500000,-29900000,117100000,-22400000,-25700000,3300000,94700000,180200000,-2.7e+07,153200000,153200000,153200000,153200000,2.07e+08,2.07e+08,786100000,1708200000,175400000,1532800000,2701300000,1028400000,2818500000,227500000,2.281e+09,29200000,280800000,3846900000,6548200000,1429099999,953100000,475999999,129100000,8400000,8400000,1566599999,2215100000,667900000,295200000,38800000,333900000,2.883e+09,4449599999,3027500000,-586200000,-342700000,2098600000,2098600000,6548199999,153200000,153200000,50500000,-91900000,-28100000,83700000,-19400000,136300000,115800000,-145200000,6300000,6300000,2900001,-135999999,63500001,63500001,2100000,65600001,167600000,2344200000,147100000,0.21081,0.04891,0.06399,0.073,0.0234,0.96018,1.72431,2.12027,0.35799,0.9033,0.89906,14.11616,12.37382,0.86733,0.02998,0.02878,12.75179,18.25107
