"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","disposition_of_fixed_assets","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",32.1,"Up",878526000,-736016000,142510000,-99483000,-95132000,-4351000,43027000,-5042000,-5495000,453000,37985000,37985000,-14893000,23092000,23243000,23243000,23243000,19757000,19757000,128602000,128602000,658694000,30443000,11240000,837496000,397754000,131287000,25838000,82444000,529041000,1366537000,120608000,38973000,81635000,511818000,642491000,261419000,53143000,31857000,21286000,314562000,957053000,278255000,134463000,409484000,409484000,1366537000,23243000,4413000,7368000,-59316000,-24292000,-11188000,1085000,1085000,-12273000,-12273000,55000,-29727000,-2545000,57542000,1929000,1929000,0,57529000,3510000,3510000,3510000,47440000,773237000,-8171000,0.16221,0.04898,0.02646,0.05676,0.01701,-0.35155,1.30351,2.33722,0.56584,0.91256,0.89579,34.49258,16.07711,-0.32081,0.09992,5,0.02087,-0.00661,0.1095,15.8828,17.51179
"12","2013_Q1",39.1583333333333,"Up",877373000,-739013000,138360000,-101568000,-97127000,-4441000,36792000,-4974000,-5729000,755000,31818000,31818000,-12154000,19664000,19832000,19832000,19832000,42839000,42839000,133149000,133149000,723326000,33895000,17484000,933209000,425086000,134407000,32047000,85237000,559493000,1492702000,123191000,41589000,81602000,589766000,721304000,286876000,56421000,33589000,22832000,343297000,1064601000,281543000,149173000,428101000,428101000,1492702000,19832000,4441000,7187000,-67601000,-36141000,-29616000,1999.99999999953,1999.99999999953,-29618000,-29618000,3204000,-39752000,-5123000,101546000,1379000,4052000,-2673000,98975000,23082000,23082000,23082000,41233000,876642000,-43830000,0.1577,0.04193,0.0226,0.04633,0.01329,-2.21006,1.29378,2.4868,0.58729,0.77487,0.76069,34.28042,16.72662,-1.71251,0.20016,4,0.01833,-0.0322,0.25832,20.22174,22.66262
"13","2013_Q2",46.225625,"Up",903080000,-756642000,146438000,-105852000,-101131000,-4721000,40586000,-5009000,-5810000,801000,35577000,35577000,-13695000,21882000,22055000,22055000,22055000,15006000,15006000,134109000,134109000,714121000,27804000,11729000,891040000,427935000,140728000,32047000,87977000,568663000,1459703000,129126000,41339000,87787000,591009000,728797000,222249000,60854000,35252000,25602000,283103000,1011900000,278684000,171228000,447803000,447803000,1459703000,22055000,4721000,-2022000,25003000,49757000,-6145000,440000,440000,-6585000,-6585000,-2322000,-8467000,-4891931.61337221,-65123000,-6937000,966000,-7903000,-69123000,-27833000,-27833000,-27833000,45307000,813258000,77860000,0.16215,0.04494,0.02442,0.04925,0.01511,3.53027,1.22262,2.2597,0.55714,0.86065,0.84651,35.24077,17.47456,3.03832,0.190383533338658,7,0.01668,0.0589,0.23897542058219,17.61873,19.66816
"14","2013_Q3",60.29671875,"Up",1008505000,-848672000,159833000,-114182000,-109283000,-4899000,45651000,-4393000,-4977000,584000,41258000,41258000,-15977000,25281000,25555000,25555000,25555000,20257000,20257000,143833000,143833000,783840000,23413000,9856000,971343000,443516000,157657000,40313000,95154000,601173000,1572516000,134411000,44121000,90290000,593888000,734677000,294073000,67615000,38557000,29058000,361688000,1096365000,284495000,193427000,476151000,476151000,1572516000,25555000,4899000,75000,-55837000,-25308000,-15542000,-20000,-20000,-15522000,-15522000,-182999.999999999,-47511000,-3356000,77078000,1877000,1877000,-1.86264514923096e-09,78070000,5251000,5251000,5251000,50550000,887961000,-4852000,0.15849,0.04527,0.02534,0.05367,0.01625,-0.189860000000002,1.32214,2.30256,0.56468,0.9892,0.9759,39.0379,18.43118,-0.18781,0.12991,4,0.02019,-0.00339,0.13132,17.16526,19.00734
"15","2013_Q4",62.034375,"Up",1069290000,-903901000,165389000,-113669000,-108570000,-5099000,51720000,-4007000,-4842000,835000,47713000,47713000,-16822000,30891000,31018000,31018000,31018000,16093000,16093000,140086000,140086000,755698000,23321000,9477000,935198000,452367000,151613000,40313000,95474000,603980000,1539178000,143323000,48645000,94678000,595314000,746040000,218172000,67837000,40774000,27063000,286009000,1032049000,287724000,221082000,507129000,507129000,1539178000,31018000,5099000,8763000,43345000,88225000,-11642000,54000,54000,-11696000,-11696000,85000,-11557000,-3363000,-79141000,1124000,1124000,0,-80832000,-4164000,-4164000,-4164000,56819000,813486000,105344000,0.15467,0.04837,0.02901,0.06116,0.02015,3.39622,1.25355,2.03508,0.52852,1.19909,1.18222,41.3364,19.60449,4.07237,0.13001,6,0.02476,0.07587,0.10842,14.03391,15.4175
"16","2014_Q1",57.7980327868852,"Down",1024874000,-865581000,159293000,-113732000,-108416000,-5316000,45561000,-4321000,-5094000,773000,41240000,41240000,-14080000,27160000,27372000,27372000,27372000,23686000,23686000,170519000,170519000,859019000,28325000,15251000,1081549000,481212000,162360000,49511000,102593000,643572000,1725121000,145302000,51159000,94143000,720938000,872511000,245471000,72417000,44005000,28412000,317888000,1190399000,291172000,245088000,534722000,534722000,1725121000,27372000,5316000,5893000,-119196000,-80615000,-12064000,4158000,4158000,-16222000,-16222000,-1404000,-62787000,-3366000,153317000,1006000,1006000,0,150995000,7593000,7593000,7593000,50877000,966409000,-66303000,0.15543,0.04446,0.02671,0.05119,0.01587,-2.42229,1.23958,2.2262,0.5602,1.05716,1.04128,39.58265,20.65202,-2.56075,0.13,3,0.01953,-0.04214,0.12297,18.52945,20.69145
"17","2014_Q2",70.9403174603175,"Up",1078106000,-906045000,172061000,-127336000,-121829000,-5507000,44725000,-4021000,-4958000,937000,40704000,40704000,-16010000,24694000,24734000,24734000,24734000,22340000,22340000,182777000,182777000,935850000,26583000,12564000,1167550000,493171000,183555000,56787000,112394000,676726000,1844276000,161182000,54052000,107130000,772104000,940428000,269760000,77251000,46238000,31013000,347011000,1287439000,291782000,266444000,556837000,556837000,1844276000,24734000,5507000,-2422000,-50206000,-22387000,-12603000,27000,27000,-12630000,-12630000,-3530000,-47822000,-3378000,73168000,-6773000,1168000,-7941000,68863000,-1346000,-1346000,-1346000,50232000,1041864000,3433000,0.1596,0.04148,0.02294,0.04442,0.01341,0.1388,1.24151,2.31206,0.56492,0.9523,0.93974,41.50872,21.43907,0.13218,0.13006,3,0.01677,0.00205,0.13657,20.29631,22.79539
"18","2014_Q3",82.2725,"Up",1221802000,-1029502000,192300000,-131288000,-125463000,-5825000,61012000,-3938000,-5084000,1146000,57074000,57074000,-21904000,35170000,38309000,38309000,38309000,28203000,28203000,191228000,191228000,981223000,12250000,12028000,1212904000,528254000,198969000,65004000,119341000,727223000,1940127000,169126000,56384000,112742000,834860000,1003986000,260835000,83455000,48918000,34537000,344290000,1348276000,292536000,300574000,591851000,591851000,1940127000,38309000,5825000,-3219000,-22722000,18193000,-22524000,76000,76000,-22600000,-22600000,10693000,-59624000,-4179000,52441000,-1180000,1085000,-2265000,47294000,5863000,5863000,5863000,66837000,1095695000,43495000,0.15739,0.04994,0.03135,0.06473,0.01975,1.13537,1.20809,2.27807,0.56475,1.4666,1.45485,46.7747,22.65805,1.66514,0.15999,4,0.02399,0.02456,0.10909,15.97157,17.49643
"19","2014_Q4",72.1396875,"Down",1297111000,-1099271000,197840000,-137694000,-131627000,-6067000,60146000,-4151000,-5178000,1027000,55995000,55995000,-21458000,34537000,34537000,34537000,34537000,21666000,21666000,181855000,181855000,941756000,20508000,11088000,1165785000,536519000,202599000,65745000,124404000,739118000,1904903000,176100000,59481000,116619000,748894000,929770000,263117000,88103000,51913000,36190000,351220000,1280990000,294051000,330937000,623913000,623913000,1904903000,34537000,6067000,3823000,47469000,91896000,-15779000,3140000,3140000,-18919000,-18919000,2951000,-14904000,-4174000,-79076000,-381000,1158000,-1539000,-83529000,-6537000,-6537000,-6537000,66213000,1012011000,119361000,0.15252,0.04637,0.02663,0.05536,0.01813,3.45603,1.25384,2.05315,0.53127,1.32229,1.31025,49.66159,23.88732,4.56989,0.15981,6,0.02245,0.06923,0.12086,14.95696,16.46568
"20","2015_Q1",83.8291803278689,"Up",1793307000,-1532186000,261121000,-193252000,-184288000,-8964000,67869000,-9294000,-9383000,89000,58575000,56722000,-15583000,41139000,41140000,41140000,41140000,29898000,29898000,295379000,295379000,1249659000,40573000,32010000,1615509000,816745000,448678000,199375000,249303000,1265423000,2880932000,224514000,70853000,153661000,1210591000,1442600000,609066000,156161000,54403000,58963000,765227000,2207827000,306152000,367879000,673105000,673105000,2880932000,41140000,8964000,12802000,-119641000,-56735000,-30181000,1653000,1653000,-31834000,-31834000,-5725000,-613982000,-4198000,693165000,-10044000,1179000,-11223000,678949000,8232000,8232000,8232000,76833000,1819657000,-57406000,0.14561,0.03785,0.02294,0.06112,0.01428,-1.39538,1.11986,3.28006,0.63162,1.56599,1.55146,68.26185,25.6216,-2.18515,0.1598,2,0.01712,-0.02167,0.10204,23.29414,26.37079
"21","2015_Q2",99.5230158730159,"Up",1789178000,-1515803000,273375000,-201344000,-191618000,-9726000,72031000,-9845000,-9477000,-368000,62186000,58056000,-17403000,40653000,40653000,40653000,40653000,21023000,21023000,290638000,290638000,1286614000,36524000,32498000,1634799000,828707000,460879000,199286000,261593000,1289586000,2924385000,231303000,76517000,154786000,1196110000,1433241000,621890000,161417000,56849000,63094000,783307000,2216548000,304308000,404316000,707837000,707837000,2924385000,40653000,9726000,2646000,-14796000,38229000,-24814000,103000,103000,-24917000,-24917000,-6124000,-30938000,-4216000,-7379000,-9304000,1039000,-10343000,-16166000,-8875000,-8875000,-8875000,81757000,1.818e+09,59550000,0.15279,0.04026,0.02272,0.05743,0.0139,1.46484,1.14063,3.13144,0.62167,1.54674,1.53298,68.07358,26.93136,2.26572,0.16041,4,0.0167,0.02216,0.10371,21.97949,24.94727
"22","2015_Q3",105.169375,"Up",1996947000,-1699298000,297649000,-205897000,-195610000,-10287000,91752000,-9983000,-9627000,-356000,81769000,75639000,-24416000,51223000,51223000,51223000,51223000,23394000,23394000,287808000,287808000,1367317000,32028000,32028000,1710547000,836889000,457419000,199129000,258290000,1294308000,3004855000,236464000,78885000,157579000,1253144000,1493102000,599402000,160049000,59893000,64079000,759451000,2252553000,302651000,450273000,752302000,752302000,3004855000,51223000,10287000,1551000,-71960000,-8899000,-23049000,42000,42000,-23091000,-23091000,3868000,-19268000.0000001,-5266000,40552000.0000001,-4880000,1550000,-6430000,30538000,2371000,2371000,2371000,102039000,1852546000,31446000,0.14905,0.04595,0.02565,0.06809,0.01705,0.6139,1.14563,2.99421,0.61652,1.94491,1.93302,75.82287,28.56445,1.19399,0.19995,2,0.02043,0.01137,0.10281,17.92601,19.93583
"23","2015_Q4",107.83640625,"Up",2084845000,-1773658000,311187000,-234259000,-223728000,-10531000,76928000,-10158000,-9851000,-307000,66770000,62639000,-19248000,43391000,43391000,43391000,43391000,32707000,32707000,285730000,285730000,1386960000,32640000,32640000,1738037000,854077000,467715000,210627000,257088000,1321792000,3059829000,244858000,77723000,167135000,1253619000,1502269000,591231000,178616000,63238000,86365000,769847000,2272116000,299767000,488407000,787713000,787713000,3059829000,43391000,10531000,3000,23667000,77592000,-14067000,84000,84000,-14151000,-14151000,-5471000,-54371000,-5257000,-3008000,-5701000,1724000,-7425000,-13908000,9313000,9313000,9313000,87459000,1844850000,116307000,0.14926,0.0369,0.02081,0.05508,0.01418,2.68044,1.15694,2.88445,0.60293,1.65035,1.63851,79.29579,29.96018,4.42366,0.19995,4,0.01731,0.04137,0.12115,20.71991,23.55635
"24","2016_Q1",80.7219672131148,"Down",1993282000,-1699859000,293423000,-211275000,-200219000,-11056000,82148000,-10045000,-10070000,25000,72103000,66370000,-18638000,47732000,47732000,47732000,47732000,45008000,45008000,308462000,308462000,1470987000,54022000,54022000,1878479000,876660000,469991000,213220000,256771000,1346651000,3225130000,237978000,70871000,167107000,1352461000,1590439000,604680000,201847000,66734000,81984000,806527000,2396966000,297548000,530893000,828164000,828164000,3225130000,47732000,11056000,34420000,-120579000,-27371000,-21044000,41000,41000,-21085000,-21085000,-7417000,-65156000,-5246000,120595000,-5598000,1752000,-7350000,104828000,12301000,12301000,12301000,93204000,1957141000,-29781000,0.14721,0.04121,0.02395,0.05764,0.0148,-0.62392,1.18111,2.89431,0.60684,1.8185,1.80393,75.94034,31.55151,-1.1346,0.19986,6,0.01774,-0.00997000000000001,0.10991,20.51557,23.27668
"25","2016_Q2",75.54828125,"Down",1982861000,-1675679000,307182000,-230769000,-219106000,-11663000,76413000,-12894000,-11368000,-1526000,63519000,60021000,-19751000,40270000,40270000,40270000,40270000,21559000,21559000,286292000,286292000,1541085000,50473000,50473000,1899409000,882405000,485804000,213934000,271870000,1368209000,3267618000,257395000,78250000,179145000,1386308000,1643703000,595663000,213575000,70066000,84375000,809238000,2452941000,248784000,566007000,814677000,814677000,3267618000,40270000,11663000,12430000,-25347000,39016000,-15808000,92000,92000,-15900000,-15900000,373000,-29234000,-5151000,28192000,-56272000,1464000,-57736000,-33231000,-23449000,-23449000,-23449000,88076000,1981971000,66672000,0.15492,0.03854,0.02031,0.04943,0.01232,1.65562,1.15557,3.01094,0.60655,1.55989,1.55046,76.80744,31.55706,2.58258,0.19953,6,0.01509,0.02215,0.12791,22.25819,25.65548
"26","2016_Q3",79.47328125,"Up",2133339000,-1811303000,322036000,-228029000,-215526000,-12503000,94007000,-13206000,-11711000,-1495000,80801000,77303000,-25875000,51428000,51428000,51428000,51428000,15044000,15044000,305293000,305293000,1582274000,38192000,38192000,1940803000,898239000,483028000,214444000,268584000,1381267000,3322070000,262139000,77979000,184160000,1401567000,1663706000,626543000,214360000,73540000,86173000,840903000,2504609000,206399000,611062000,817461000,817461000,3322070000,51428000,12503000,674000,-32863000,31742000,-27242000,105000,105000,-27347000,-27347000,-5226000,-37476000,-6373000,50849000,-45257000,1865000,-47122000,-781000,-6515000,-6515000,-6515000,106510000,2028110000,72280000,0.15095,0.04407,0.02411,0.06291,0.01548,1.40546,1.16655,3.06389,0.6105,2.01979,2.01402,83.78521,32.10514,2.83874,0.25029,6,0.01889,0.02362,0.12392,18.90025,21.414
"27","2016_Q4",86.9596825396825,"Up",2269967000,-1932706000,337261000,-240340000,-228134000,-12206000,96921000,-13346000,-11833000,-1513000,83575000,80077000,-26036000,54041000,54041000,54041000,54041000,24116000,24116000,317664000,317664000,1657693000,33225000,33225000,2032698000,991721000,539187000,219021000,320166000,1530908000,3563606000,282803000,78442000,204361000,1452376000,1735179000,727191000,235146000,77577000,98848000,962337000,2697516000,207174000,658916000,866090000,866090000,3563606000,54041000,12206000,10436000,46799000,123482000,-36557000,1559000,1559000,-38116000,-38116000,-5589000,-222774000,-6299000,116540000,-1877000,1862000,-3739000,108364000,9072000,9072000,9072000,109127000,2179567000,145405000,0.14858,0.0427,0.02381,0.0624,0.01516,2.69064,1.17146,3.11459,0.61162,2.14517,2.13719,90.10666,34.37956,5.77187,0.25004,6,0.01839,0.04432,0.11656,19.75177,22.23926
"28","2017_Q1",92.1516129032258,"Up",2292033000,-1957212000,334821000,-249762000,-236834000,-12928000,85059000,-15454000,-13888000,-1566000,69605000,66099000,-14738000,51361000,51361000,51361000,51361000,50282000,50282000,417714000,417714000,1772587000,46611000,46611000,2287194000,1006130000,550826000,259399000,291427000,1556956000,3844150000,299532000,88423000,211109000,1622462000,1921994000,769916000,241464000,81929000,100460000,1011380000,2933374000,206956000,703820000,910776000,910776000,3844150000,51361000,12928000,6160000,-173789000,-103340000,-18993000,444000,444000,-19437000,-19437000,-7958000,-62216000,-6277000,200619000,-2594000,1709000,-4303000,191748000,26192000,26192000,26192000,97987000,2392378000,-80057000,0.14608,0.03711,0.02241,0.05639,0.01336,-1.55871,1.19001,3.22074,0.62234,2.04381,2.03765,91.20704,36.24258,-3.18571,0.24978,3,0.01626,-0.02259,0.12221,23.90211,27.53496
