"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","deferred_compensation","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",10.7267741935484,"Up",56803000,-43243000,13560000,-9781000,-9781000,3779000,34000,34000,3813000,3813000,-1379000,2434000,2434000,2434000,2434000,33052000,33052000,29456000,29456000,38854000,4593000,4593000,105955000,22913000,23596000,1257000,22339000,46509000,152464000,16792000,9404000,7388000,16792000,7425000,7425000,7425000,24217000,17305000,110860000,82000,128247000,128247000,152464000,2434000,773000,-152000,-10532000,-5671000,-3034000,-3256000,1429000,-7477000,-1110000,-915000,-81000,-1191000,-1076000,-1605000,-10273000,-10273000,-10273000,4552000,0,-5711000,0.23872,0.06653,0.04285,0.01898,0.01596,-2.34634,6.30985,0.18883,0,0.22699,0.22619,5.2973,11.95999,-0.53259,0.10035,0.02587,-0.04209,0.44207,-7.26098,-8.74623
"12","2013_Q1",11.9246666666667,"Up",59641000,-42842000,16799000,-11488000,-11488000,5311000,-45000,-45000,5266000,5266000,-1568000,3698000,3698000,3698000,3698000,26342000,26342000,28272000,28272000,49872000,5181000,3569000,109667000,22829000,23327000,1257000,17691000,46156000,155823000,17467000,11620000,5847000,17467000,7311000,7311000,7311000,24778000,17360000,113483000,202000,131045000,131045000,155823000,3698000,318000,15000,-8260000,1036000,-11018000,2216000,-494000,-4229000,-311000,-211000,-19000.0000000001,-330000,-2151000,-2151000,-6710000,-6710000,-6710000,5629000,-2.22044604925031e-16,-1374000,0.28167,0.08905,0.062,0.02822,0.02373,-0.37155,6.27853,0.18908,8.27180612553028e-25,0.34512,0.34435,5.56612,12.23005,-0.12823,0.20075,0.04228,-0.00993000000000001,0.58167,-4.67969,-4.95989
"13","2013_Q2",13.1528125,"Up",56295000,-42379000,13916000,-10682000,-10682000,3234000,-32000,-32000,3202000,3202000,-1076000,2126000,2126000,2126000,2126000,28728000,28728000,26435000,26435000,46506000,4224000,2652000,105893000,23125000,23742000,1257000,18051000,46867000,152760000,13069000,9224000,3845000,13069000,7557000,7557000,7557000,20626000,17407000,114542000,185000,132134000,132134000,152760000,2126000,584000,156000,1127000,1762000,3366000,-2876000,-1125000,3993000,-872000,-880000,340000,-532000,-1075000,-1075000,2386000,2386000,2386000,3818000,0,5149000,0.2472,0.05745,0.03777,0.01609,0.01392,2.42192,8.10261,0.1561,0,0.19838,0.19782,5.25287,12.32938,0.48045,0.10031,0.02291,0.03686,0.50564,-7.52436,-8.88312
"14","2013_Q3",12.5528125,"Down",55301000,-42044000,13257000,-10617000,-10617000,2640000,-22000,-22000,2618000,2618000,-930000,1688000,1688000,1688000,1688000,28974000,28974000,26234000,26234000,48494000,4687000,2881000,108389000,23347000,24152000,1257000,18595000,47499000,155888000,15423000,10801000,4622000,15423000,7671000,7671000,7671000,23094000,17471000,115155000,168000,132794000,132794000,155888000,1688000,602000,-345000,709999.999999999,243000,-1988000,2057000,398000,2655000,-823000,-846000,-511000,-1334000,-1075000,-1075000,246000,246000,246000,3242000,-3.5527136788005e-15,4059000,0.23972,0.04774,0.03052,0.01271,0.01083,2.40462,7.02775,0.17391,1.32348898008484e-23,0.15745,0.15701,5.15819,12.38634,0.3786,0.10027,0.01967,0.0289,0.63685,-8.93708,-10.975
"15","2013_Q4",12.9359375,"Up",59125000,-45527000,13598000,-10443000,-10443000,3155000,9000,9000,3164000,3164000,-1048000,2116000,2116000,2116000,2116000,29946000,29946000,26545000,26545000,48995000,5146000,3075000,110632000,23594000,24536000,1382000,18833000,48130000,158762000,17034000,12271000,4763000,17034000,7851000,7851000,7851000,24885000,17528000,116197000,152000,133877000,133877000,158762000,2116000,632000,63000,328000,-469000,-501000,1699000,-401000,3139000,-882000,-882000,-85000,-1092000,-1075000,-1075000,972000,972000,972000,3787000,0,4281000,0.22999,0.05336,0.03579,0.01581,0.01333,2.02316,6.49478,0.18588,0,0.1973,0.19691,5.51282,12.4827,0.39916,0.10023,0.02251,0.03021,0.50803,-7.90758,-9.4916
"16","2014_Q1",12.4398360655738,"Down",57572000,-43618000,13954000,-10480000,-10480000,3474000,10000,10000,3484000,3484000,-1485000,1999000,1999000,1999000,1999000,23882000,23882000,29393000,29393000,49016000,4759000,2413000,107050000,23752000,24679000,1382000,19246000,48431000,155481000,12248000,7077000,5171000,12907000,7771000,7668000,7771000,20678000,17585000,117120000,98000,134803000,134803000,155481000,1999000,673000,1105000,-7868000,-3112000,-20999.9999999995,-5379000,644000,-4091000,-997000,-988000,-25000,-897000,-1076000,-1076000,-6064000,-6064000,-6064000,4147000,0,-3233000,0.24237,0.06034,0.03472,0.01483,0.01286,-1.61731,8.29395,0.15339,-2.11758236813575e-22,0.18639,0.18571,5.36802,12.56904,-0.30145,0.10033,0.02157,-0.02268,0.53827,-5.75886,-6.8745
"17","2014_Q2",11.812380952381,"Down",61396000,-45786000,15610000,-11367000,-11367000,4243000,46000,46000,4289000,4289000,-1485000,2804000,2804000,2804000,2804000,31686000,31686000,30396000,30396000,43587000,3643000,2397000,109312000,22840000,26408000,1382000,20905000,49248000,158560000,13329000,8694000,4635000,13762000,8218000,7793000,8218000,21980000,17641000,118849000,90000,136580000,136580000,158560000,2804000,613000,453000,6131000,-1129000,5429000,1616000,215000,10001000,-943000,-1008000,-179000,-1122000,-1075000,-1075000,7804000,7804000,7804000,4856000,0,11529000,0.25425,0.06911,0.04567,0.02053,0.01768,4.11163,7.94303,0.16093,0,0.26147,0.26055,5.7251,12.73592,1.07507,0.10024,0.02679,0.07962,0.38338,-6.52512,-7.46783
"18","2014_Q3",12.5190625,"Up",54883000,-41226000,13657000,-10243000,-10243000,3414000,52000,52000,3466000,3466000,-1194000,2272000,2272000,2272000,2272000,36943000,36943000,25224000,25224000,44595000,3535000,2334000,110297000,23185000,26929000,1382000,21412000,50114000,160411000,13577000,8709000,4868000,14176000,8394000,7937000,8394000,22570000,17714000,120045000,82000,137841000,137841000,160411000,2272000,646000,-102000,4979000,5204000,-1007000,15000.0000000009,767000,7795000,-987000,-991000,-475000,-1462000,-1076000,-1076000,5257000,5257000,5257000,4060000,-4.54747350886464e-13,9246000,0.24884,0.06221,0.0414,0.01648,0.01416,4.06954,7.78054,0.16374,3.3881317890172e-21,0.2117,0.21111,5.11396,12.84392,0.86154,0.10026,0.02289,0.06323,0.47359,-9.09926,-10.82103
"19","2014_Q4",12.79171875,"Up",63168000,-47137000,16031000,-11148000,-11148000,4883000,85000,85000,4968000,4968000,-1764000,3204000,3204000,3204000,3204000,33328000,33328000,29885000,29885000,47432000,4506000,3034000,115151000,22979000,27575000,1382000,22130000,50554000,165705000,16379000,9325000,7054000,17103000,8556000,8072000,8556000,25659000,17795000,122171000,80000,140046000,140046000,165705000,3204000,668000,433000,-6301000,-5295000,-2838000,617000,1215000,-1996000,-461000,-461000,-80000,-541000,-1078000,-1078000,-3615000,-3615000,-3615000,5551000,0,553000,0.25378,0.0773,0.05072,0.02288,0.01934,0.1726,6.7328,0.18322,0,0.29824,0.29738,5.87992,13.03602,0.05148,0.10034,0.02882,0.00372,0.33645,-6.00396,-6.82531
"20","2015_Q1",15.1608196721311,"Up",64903000,-47401000,17502000,-10994000,-10994000,6508000,167000,220000,6675000,6675000,-2377000,4298000,4298000,4298000,4298000,38663000,38663000,32245000,32245000,44973000,2353000,2353000,118234000,22824000,29697000,1382000,22423000,52521000,170755000,18214000,10293000,7921000,19067000,8779000,8329000,8779000,27846000,17852000,125392000,-335000,142909000,142909000,170755000,4298000,672000,-6e+05,2598000,-2560000,2459000,968000,1731000,6968000,-532000,-534000,-24000,-556000,-1077000,-1077000,5335000,5335000,5335000,7180000,0,11623000,0.26966,0.10027,0.06622,0.03008,0.02517,2.70428,6.20098,0.19485,2.71050543121376e-20,0.4,0.39848,6.0403,13.30005,1.08171,0.10023,0.03543,0.07662,0.25058,-5.38482,-5.94084
"21","2015_Q2",20.5426984126984,"Up",60956000,-44581000,16375000,-11133000,-11133000,5242000,132000,144000,5374000,5374000,-1902000,3472000,3472000,3472000,3472000,40534000,40534000,30323000,30323000,43956000,3182000,2133000,117995000,22591000,28361000,1382000,22785000,50952000,168947000,13180000,8425000,4755000,14090000,8990000,8525000,8990000,23080000,18389000,127786000,-308000,145867000,145867000,168947000,3472000,620000,1549000,-2102000,1224000,1017000,-1869000,-2474000,3539000,-428000,-428000,-161000,-589000,-1079000,-1079000,1871000,1871000,1871000,5862000,0,5234000,0.26864,0.086,0.05696,0.0238,0.02055,1.50749,8.37438,0.15823,0,0.3228,0.32205,5.66716,13.56145,0.48661,0.10032,0.02939,0.0338,0.31077,-6.9147,-7.73254
"22","2015_Q3",20.63453125,"Up",60140000,-44047000,16093000,-10234000,-10234000,5859000,51000,69000,5910000,5910000,-1972000,3938000,3938000,3938000,3938000,43631000,43631000,28544000,28544000,47019000,3598000,2138000,122792000,22808000,28727000,1382000,23363000,51535000,174327000,15722000,10049000,5673000,16525000,8978000,8429000,8978000,25503000,18462000,130642000,-280000,148824000,148824000,174327000,3938000,719000,-1278000,2102000,2757000,-3063000,1573000,834999.999999999,5481000,-885000,-885000,-418000,-1303000,-1081000,-1081000,3097000,3097000,3097000,6578000,0,9767000,0.26759,0.09742,0.06548,0.02646,0.02259,2.48019,7.43068,0.17136,4.33680868994202e-19,0.36517,0.36426,5.57678,13.80045,0.90569,0.10024,0.03181,0.06189,0.2745,-6.63287,-7.44683
"23","2015_Q4",21.6053125,"Up",65338000,-47173000,18165000,-11525000,-11525000,6640000,33000,50000,6673000,6673000,-2043000,4630000,4630000,4630000,4630000,49474000,49474000,30655000,30655000,42019000,4021000,2456000,126169000,22896000,29356000,1382000,23917000,52252000,178421000,15745000,8098000,7647000,16656000,9279000,8714000,9279000,25935000,18546000,134191000,-251000,152486000,152486000,178421000,4630000,743000,-125000,2614000,-2259000,5e+06,-1918000,1791000,7862000,-864000,-864000,-74000,-938000,-1081000,-1081000,5843000,5843000,5843000,7383000,0,11176000,0.27802,0.10163,0.07086,0.03036,0.02595,2.41382,7.57499,0.17008,0,0.4293,0.42815,6.05823,14.13871,1.03625,0.10023,0.0353,0.06909,0.23348,-6.70107,-7.4509
"24","2016_Q1",25.335737704918,"Up",60565000,-42510000,18055000,-11534000,-11534000,6521000,-19000,-1999.99999999999,6502000,6502000,-2357000,4145000,4145000,4145000,4145000,53922000,53922000,28176000,28176000,43713000,2256000,2256000,128067000,22768000,30818000,1382000,24086000,53586000,181653000,15808000,9105000,6703000,16605000,8987000,8409000,8987000,25592000,18667000,137255000,139000,156061000,156061000,181653000,4145000,864000,406000,739000,2452000,-1694000,940999.999999999,-960000,6154000,-664000,-670000,39000,-625000,-1081000,-1081000,4448000,4448000,4448000,7385000,0,9817000,0.29811,0.10767,0.06844,0.02656,0.02282,2.3684,7.71256,0.16399,-6.93889390390723e-18,0.38412,0.38302,5.61255,14.46214,0.90974,0.10018,0.03166,0.05948,0.2608,-7.30156,-8.26898
"25","2016_Q2",20.91875,"Down",121831000,-95232000,26599000,-22598000,-20944000,4001000,-104000,159000,3897000,3897000,-1397000,2500000,2500000,2500000,2500000,32354000,32354000,61760000,61760000,77670000,3694000,3694000,175478000,28192000,81995000,27528000,24436000,110187000,285665000,34214000,26275000,7939000,44099000,17170000,10619000,63404000,107503000,39434000,138601000,127000,178162000,178162000,285665000,2500000,2785000,-827000,10003000,13553000,3649000,-5615000,-1584000,14461000,-703000,-703000,-148000,-86913000,-1154000,50884000,-21568000,-21568000,-21568000,6786000,52050000,17483000,0.21833,0.03284,0.02052,0.01403,0.00875,6.9932,3.97918,0.6034,0.18221,0.21711,0.21664,10.5802,15.47217,1.51828,0.10022,0.01477,0.07067,0.4616,2.90245,4.92277
"26","2016_Q3",20.1734375,"Down",136163000,-107685000,28478000,-20254000,-19441000,8224000,11000,259000,8235000,8235000,-2887000,5348000,5348000,5348000,5348000,39111000,39111000,67435000,67435000,76862000,4354000,4354000,187762000,27521000,81438000,26715000,24085000,108959000,296721000,40856000,29426000,11430000,52394000,17187000,10677000,61867000,114261000,39551000,142793000,116000,182460000,182460000,296721000,5348000,1963000,-1299000,3628000,-3475000,809000,3141000,3153000,9640000,-457000,-457000,294000,-163000,-1156000,-2720000,6757000,6757000,6757000,10187000,50497000,16245000,0.20915,0.0604,0.03928,0.02931,0.01802,3.03758,3.58365,0.62622,0.17018,0.46371,0.46279,11.80638,15.82069,1.40857,0.10023,0.026,0.06494,0.21616,1.1177,1.38448
"27","2016_Q4",24.4374603174603,"Up",145298000,-114372000,30926000,-20987000,-20653000,9939000,-26000,218000,9913000,9913000,-3453000,6460000,6460000,6460000,6460000,43106000,43106000,74241000,74241000,74722000,4209000,4209000,196278000,26477000,81978000,26381000,24449000,108455000,304733000,44067000,31549000,12518000,57787000,15869000,10655000,59095000,116882000,39649000,148097000,105000,187851000,187851000,304733000,6460000,1592000,393000,-1281000,-10183000,2139000,2155000,4608000,7164000,-745000,-745000,196000,-549000,-1156000,-2620000,3995000,3995000,3995000,11531000,49043000,12958000,0.21285,0.0684,0.04446,0.03439,0.0212,2.00588,3.39658,0.62221,0.16094,0.55999,0.55824,12.59518,16.28389,1.12327,0.10021,0.03013,0.05127,0.17895,0.51487,0.59734
"28","2017_Q1",28.2282258064516,"Up",173927000,-133809000,40118000,-22481000,-22148000,17637000,-486000,-287000,17151000,17151000,-6172000,10979000,10979000,10979000,10979000,39792000,39792000,92578000,92578000,75303000,4244000,4244000,211917000,25803000,80976000,25923000,24602000,106779000,318696000,52638000,36552000,16086000,64060000,14937000,10849000,56709000,120769000,39753000,157688000,486000,197927000,197927000,318696000,10979000,1660000,1818000,-14482000,-20362000,-581000,4981000,1480000,-24999.9999999981,-547000,-549000,111000,-436000.000000004,-1388000,-2853000,-3314000,-3314000,-3314000,19297000,47589000,10440000,0.23066,0.1014,0.06312,0.05547,0.03445,0.95091,3.3081,0.61017,0.14932,0.95139,0.94777,15.07166,17.15139,0.90468,0.12028,0.04748,0.04008,0.12642,0.40405,0.44208
"29","2017_Q2",35.4080952380952,"Up",130872000,-102729000,28143000,-20904000,-20570000,7239000,-159000,92000,7080000,7080000,-2334000,4746000,4746000,4746000,4746000,53782000,53782000,69456000,69456000,79444000,3539000,3539000,206221000,25703000,78659000,25589000,24912000,104362000,310583000,41452000,29704000,11748000,53396000,15042000,10836000,55356000,108752000,40288000,161047000,496000,201831000,201831000,310583000,4746000,1359000,2777000,8960000,23110000,-4141000,-6897000,-3112000,17842000,-867000,-867000,-133000,-1e+06,-1388000,-2852000,13990000,13990000,13990000,8598000,46134000,19025000,0.21504,0.05531,0.03626,0.02351,0.01528,4.00864,3.86211,0.53883,0.14854,0.41116,0.40992,11.33778,17.48514,1.64819,0.12025,0.02332,0.07234,0.29246,-0.88951,-1.0565
"30","2017_Q3",36.7839682539683,"Up",156308000,-123191000,33117000,-21191000,-20858000,11926000,86000,368000,12012000,12012000,-4234000,7778000,7778000,7778000,7778000,45818000,45818000,75371000,75371000,82036000,4246000,4246000,207471000,25507000,79881000,25256000,25419000,105388000,312859000,39002000,27712000,11290000,50817000,14842000,11041000,53700000,104517000,40403000,167434000,505000,208342000,208342000,312859000,7778000,1338000,-940000,-12133000,-6076000.00000001,-2591000,-2386000,-1080000,-3957000,-798000,-798000,-354000,-1152000,-1390000,-2855000,-7964000,-7964000,-7964000,13264000,44680000,4567000,0.21187,0.0763,0.04976,0.03733,0.02486,0.587170000000001,4.08271,0.50166,0.14281,0.67255,0.67075,13.51561,18.01487,0.3949,0.12019,0.03423,0.01705,0.17871,-0.0857999999999998,-0.0954200000000001
"31","2017_Q4",40.1419047619048,"Up",157934000,-123656000,34278000,-22942000,-22318000,11336000,-128000,199000,11208000,11208000,-4006000,7202000,7202000,7202000,7202000,32357000,32357000,79850000,79850000,83550000,6174000,5220000,201931000,30846000,109740000,37825000,25571000,140586000,342517000,45459000,33748000,11711000,57275000,14912000,11043000,62572000,119847000,48910000,173245000,515000,222670000,222670000,342517000,7202000,1702000,708000,1568000,-855000,865000,5754000,-4196000,11180000,-1043000,-1043000,-54000,-33747000,-1391000,9106000,-13461000,-13461000,-13461000,13038000,55186000,17569000,0.21704,0.07178,0.0456,0.03234,0.02103,2.43946,3.52564,0.53823,0.16112,0.61661,0.61535,13.52175,19.06421,1.5042,0.11909,0.02935,0.06001,0.19314,1.75096,2.01385
