"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2016_Q4",11.6363492063492,"Down",66470000,-35126000,31344000,-42870000,-30456000,-12414000,-11526000,398000,398000,-11128000,-11233000,-79000,-11312000,-11312000,-11312000,-11312000,161612000,92496000,66972000,66972000,8193000,8193000,236777000,19282000,95364000,50440000,43895000,1029000,114646000,351423000,16018000,6063000,9955000,25572000,7750000,17822000,41590000,5356000,2519000,2837000,5356000,46946000,643602000,-241938000,-738000,304477000,304477000,351423000,-11312000,6144000,14462000,-5304000,3990000,-1598000,-45654000,2750000,3547000,-12000,2738000,-38926000,-38926000,-2000,-38928000,-5382000,0,-12205000,0.47155,-0.1734,-0.17018,-0.03715,-0.03219,1.07894,5.69312,0.15419,0,-0.1335,-0.1335,0.78447,3.59341,-0.14404,-0.03651,-0.03939,30.02824,14.02152
"12","2017_Q1",11.0379032258065,"Down",75422000,-29370000,46052000,-48034000,-35950000,-12084000,-1982000,77000.0000000001,77000,-1905000,3582000,-48000,3534000,3534000,3534000,3534000,175346000,106174000,71945000,71945000,6293000,6293000,253584000,16376000,92796000,47987000,43895000,913999.999999999,109172000,362756000,18170000,4968000,13202000,27720000,6856000,20864000,45890000,5117000,2569000,2548000,5117000,51007000,647475000,-238404000,-748000,311749000,311749000,362756000,3534000,6518000,1846000,941999.999999999,12840000,-1320000,-1376000,2228000,2353000,-10000,2218000,13682000,13682000,-4000,13678000,4536000,-1.16415321826935e-10,4206000,0.61059,-0.02628,0.04686,0.01134,0.00973999999999999,1.19015,5.52591,0.16362,0,0.041,0.041,0.87505,3.61691,0.0488,0.01115,0.01327,-38.65653,88.46922
"13","2017_Q2",11.0261904761905,"Down",72579000,-29212000,43367000,-48850000,-35730000,-13120000,-5483000,127000,127000,-5356000,-2771000,97000,-2674000,-2674000,-2674000,-2674000,174620000,130486000,71948000,71948000,7654000,7654000,254222000,16046000,90336000,45586000,43895000,855000,106382000,360604000,12748000,4388000,8360000,27089000,7582000,19507000,39837000,5151000,2309000,2842000,5151000,44988000,657356000,-244459000,-707000,315616000,315616000,360604000,-2674000,4532000,4806000,-6897000,-233000,-1637000,23401000,1144000,1144000,-9000,1135000,24303000,24303000,9000,24312000,-951000,0,-9582000,0.59751,-0.07555,-0.03684,-0.00847,-0.00742,3.5834,6.38155,0.14254,0,-0.03056,-0.03056,0.82957,3.60745,-0.10952,-0.00834,-0.02987,183.61725,31.84753
"14","2017_Q3",13.784126984127,"Up",74493000,-30021000,44472000,-46194000,-33420000,-12774000,-1722000,134000,134000,-1588000,-5488000,-270000,-5758000,-5758000,-5758000,-5758000,169976000,135394000,74552000,74552000,8527000,8527000,253055000,15655000,133799000,52401000,80506000,892000,149454000,402509000,14917000,4110000,10807000,30358000,7975000,22383000,45275000,19948000,2497000,17451000,19948000,65223000,684777000,-250217000,-7e+05,337286000,337286000,402509000,-5758000,4145000,12007000,5108000,15502000,-1529000,-13024000,2497000,2497000,-76000,2421000,4899000,4899000,9000,4908000,2423000,-9.31322574615479e-10,6272000,0.597,-0.02312,-0.0773,-0.01707,-0.01431,-1.08927,5.58929,0.19338,0,-0.06471,-0.06471,0.83714,3.79037,0.07048,-0.01612,0.01756,-70.15105,98.70848
"15","2017_Q4",13.8730158730159,"Up",81950000,-37501000,44449000,-45959000,-33704000,-12255000,-1510000,276000,276000,-1234000,-10934000,107000,-10827000,-10827000,-10827000,-10827000,183271000,158664000,78476000,78476000,8530000,8530000,270277000,15638000,130888000,49446000,80506000,936000,146526000,416803000,15940000,4129000,11811000,52614000,7575000,45039000,68554000,4908000,2466000,2442000,4908000,73462000,701680000,-261044000,-721000,343341000,343341000,416803000,-10827000,4603000,18022000,2928000,14726000,-1217000,8757000,2239000,2239000,-76000,-163000,23320000,23320000,-50000,23270000,3093000,0,4697000,0.54239,-0.01843,-0.13212,-0.03153,-0.02598,-0.43382,3.94254,0.21396,0,-0.11965,-0.11965,0.9056,3.79416,0.05191,-0.03109,0.01349,-59.25348,121.37152
"16","2018_Q1",12.6606557377049,"Down",93093000,-44018000,49075000,-49963000,-38103000,-11860000,-888000,-1198000,391000,-2086000,3414000,768000,4182000,4182000,4182000,4182000,394537000,334635000,81189000,81189000,8737000,8737000,484463000,16610000,128002000,46490000,80506000,1006000,144612000,629075000,20004000,6090000,13914000,60314000,6276000,54038000,80318000,4895000,1690000,3205000,150716000,231034000,686026000,-287285000,-7e+05,398041000,398041000,629075000,4182000,4560000,4882000,4838000,18462000,-2092000,-37387000,2883000,2883000,-77000,194883000,175958000,175958000,13000,175971000,3672000,145821000,5650000,0.52716,-0.00954,0.04492,0.01051,0.00665,1.35103,6.03181,0.58043,0.2318,0.04593,0.04593,1.0224,4.37153,0.06205,0.00762000000000001,0.0103,-67.73312,280.08559
"17","2018_Q2",13.33703125,"Up",86766000,-40453000,46313000,-47848000,-35222000,-12626000,-1535000,-2370000,938000,-3905000,-11255000,-102000,-11357000,-11357000,-11357000,-11357000,381321000,330447000,85631000,85631000,10092000,10092000,477044000,16149000,125422000,43652000,80506000,1264000,141571000,618615000,10964000,2942000,8022000,63341000,6944000,56397000,74305000,5274000,1734000,3540000,153520000,227825000,690050000,-298538000,-722000,390790000,390790000,618615000,-11357000,4417000,17770000,-17083000,-6253000,-1713000,7316000,1675000,1675000,-82000,-5264000,-4201000,-4201000,13000,-4188000,2882000,148246000,-15812000,0.53377,-0.01769,-0.13089,-0.02906,-0.01836,1.39227,6.42008,0.58299,0.23964,-0.1225,-0.1225,0.93588,4.21514,-0.17055,-0.02086,-0.02905,-80.87266,151.84039
"18","2018_Q3",14.5753968253968,"Up",89545000,-47769000,41776000,-44180000,-32058000,-12122000,-2404000,-2056000,1270000,-4460000,-4460000,-2e+05,-4660000,-4660000,-4660000,-4660000,358011000,307836000,95659000,95659000,10275000,10275000,463945000,15205000,168357000,64080000,102665000,1612000,183562000,647507000,13579000,3978000,9601000,74371000,8520000,65851000,87950000,19857000,1871000,17986000,170561000,258511000,696105000,-306291000,-818000,388996000,388996000,647507000,-4660000,6090000,10883000,-2203000,10110000,-7114000,-27363000,-3894000,2840000,-74000,-5351000.00000003,-22604000,-22604000,-7000,-22611000,3686000,150704000,-5431000,0.46654,-0.02685,-0.05204,-0.01198,-0.0072,1.16545,5.2751,0.66456,0.23274,-0.04976,-0.04976,0.95624,4.15403,-0.058,-0.00833,-0.00971,-56.24173,86.23419
"19","2018_Q4",12.5388888888889,"Down",103591000,-57073000,46518000,-47330000,-35356000,-11974000,-812000,-2106000,1267000,-2918000,-7610000,-195000,-7805000,-7805000,-7805000,-7805000,328635000,288475000,106217000,106217000,11973000,11973000,446825000,14349000,172274000,61852000,109196000,1226000,186623000,633448000,21306000,9755000,11551000,49967000,7634000,42333000,71273000,22209000,1999000,20210000,175404000,246677000,703795000,-316085000,-939000,386771000,386771000,633448000,-7805000,6719000,6416000,-982000,4348000,-8033000,-3699000,-2928000,1309000,-14876000,-20013000,-19364000,-19364000,3000,-19361000,5907000,153195000,-2913000,0.44905,-0.00784,-0.07534,-0.02018,-0.01232,0.37322,6.2692,0.63779,0.24184,-0.08297,-0.08297,1.10126,4.1117,-0.03097,-0.01388,-0.00518,-29.70036,216.05911
"20","2019_Q1",10.262131147541,"Down",107056000,-60935000,46121000,-47406000,-37255000,-10151000,-1285000,-2078000,1326000,-3363000,-4511000,15000,-4496000,-4496000,-4496000,-4496000,322766000,302028000,112108000,112108000,10044000,10044000,444918000,15579000,201856000,81724000,118821000,1311000,217435000,662353000,30167000,17060000,13107000,61941000,8686000,53255000,92108000,34439000,1854000,32585000,190158000,282266000,703024000,-322093000,-844000,380087000,380087000,662353000,-4496000,7815000,11960000,-1436000,13843000,-9762000,2627000,-1643000,1671000,-11736000,-2930000,13540000,13540000,13000,13553000,6530000,155719000,-4683000,0.43081,-0.012,-0.042,-0.01183,-0.00679,1.04159,4.83039,0.74264,0.2351,-0.04769,-0.04769,1.13546,4.0313,-0.04967,-0.00788,-0.00821,-25.58147,129.99767
"21","2019_Q2",10.1425396825397,"Down",98107000,-56823000,41284000,-49516000,-39146000,-10370000,-8232000,-1908000,1531000,-10140000,-13202000,-26000,-13228000,-13228000,-13228000,-13228000,286458000,286458000,108323000,108323000,10931000,10931000,405712000,15379000,203534000,76085000,118821000,8628000,218913000,624625000,25577000,17478000,8099000,77497000,9807000,67690000,103074000,16655000,1854000,14801000,174931000,278005000,689810000,-342376000,-814000,346620000,346620000,624625000,-13228000,7722000,13828000,1396000,9718000,-16605000,4133000,-24691000,1443000,-77000,-29419000,-15568000,-15568000,-2000,-15570000,-510000,158276000,-15693000,0.42081,-0.08391,-0.13483,-0.03816,-0.02118,1.18635,3.93612,0.80205,0.25339,-0.14033,-0.14033,1.04078,3.67716,-0.16648,-0.02536,-0.03009,251.33725,15.57119
"22","2019_Q3",9.03375,"Down",104691000,-64106000,40585000,-45404000,-36705000,-8699000,-4819000,-1962000,1508000,-6781000,-3772000,-134000,-3906000,-3906000,-3906000,-3906000,253578000,253578000,108374000,108374000,12978000,12978000,374930000,15890000,196767000,70106000,118821000,7840000,212657000,587587000,32188000,22338000,9850000,77830000,10302000,67528000,110018000,11719000,1754000,9965000,172587000,282605000,665666000,-359885000,-799000,304982000,304982000,587587000,-3906000,7910000,9204000,909000,14117000,-2935000,-2935000,-42125000,1620000,-152000.000000001,-44087000,-32905000,-32905000,25000,-32880000,3091000,160868000,1199000,0.38766,-0.04603,-0.03731,-0.01281,-0.00665,-0.30696,3.4079,0.92663,0.27378,-0.0422,-0.0422,1.1312,3.29536,0.01296,-0.00817999999999999,0.00251000000000001,-29.99353,19.23843
"23","2019_Q4",9.58046875,"Up",114830000,-70458000,44372000,-51189000,-41953000,-9236000,-6817000,-2332000,1175000,-9149000,-10148000,-215000,-10363000,-10363000,-10363000,-10363000,238134000,238134000,116857000,116857000,21399000,21399000,376390000,13500000,190229000,64367000,118821000,7041000,203729000,580119000,27899000,16525000,11374000,91735000,13091000,78644000,119634000,10953000,1754000,9199000,174448000,294082000,662286000,-375363000,-886000,286037000,286037000,580119000,-10363000,7628000,15897000,-7006000,6156000,-2683000,-2683000,-17168000,50000,-7000,-18895000,-15422000,-15422000,-22000,-15444000,811000,163495000,-8663000,0.38641,-0.05937,-0.09025,-0.03623,-0.01786,0.83595,3.14618,1.02813,0.28183,-0.11678,-0.11678,1.29403,3.22339,-0.09762,-0.0225,-0.01881,-92.03329,10.94895
"24","2020_Q1",8.93354838709677,"Down",118532000,-72219000,46313000,-52539000,-41768000,-10771000,-6226000,-2530000,1009000,-8756000,-9275000,-285000,-9560000,-9560000,-9560000,-9560000,224764000,224764000,125304000,125304000,22026000,22026000,372094000,13704000,206140000,69752000,128427000,7961000,219844000,591938000,34348000,19116000,15232000,87935000,10903000,77032000,122283000,18276000,1937000,16339000,184433000,306716000,671061000,-384923000,-916000,285222000,285222000,591938000,-9560000,8177000,13075000,-9865000,1827000,-1609000,-15339000,1904000,1904000,-9602000,166000,-13346000,-13346000,-24000,-13370000,1951000,166157000,-9238000,0.39072,-0.05253,-0.08065,-0.03352,-0.01615,0.96632,3.04289,1.07536,0.2807,-0.10729,-0.10729,1.3303,3.20107,-0.10368,-0.02036,-0.01967,-30.03947,9.41327
"25","2020_Q2",6.69095238095238,"Down",98787000,-61111000,37676000,-50717000,-40124000,-10593000,-13041000,-2994000,580000,-16035000,-16495000,-230000,-16725000,-16725000,-16725000,-16725000,196798000,196798000,108835000,108835000,21878000,21878000,327511000,14319000,198376000,62511000,128427000,7438000,212695000,540206000,23037000,13478000,9559000,55851000,12086000,43765000,78888000,18382000,1937000,16445000,187237000,266125000,676878000,-401648000,-1149000,274081000,274081000,540206000,-16725000,8886000,11857000,-12916000,-8898000,-2488000,-2488000,468000,468000,-16976000,-16508000,-27894000,-27894000,-72000,-27966000,-4155000,168855000,-19329000,0.38139,-0.13201,-0.1693,-0.06102,-0.03096,1.1557,4.15159,0.97097,0.31258,-0.18658,-0.18658,1.10207,3.05764,-0.21563,-0.03625,-0.0419,6.72515,2.1427
"26","2020_Q3",8.10328125,"Up",83455000,-50731000,32724000,-44703000,-36082000,-8621000,-11979000,-3423000,187000,-15402000,-19168000,35000,-19133000,-19133000,-19133000,-19133000,211872000,211872000,94311000,94311000,23991000,23991000,330174000,15340000,201695000,55319000,128427000,17949000,217035000,547209000,20109000,12308000,7801000,63418000,13011000,50407000,83527000,29748000,1937000,27811000,201337000,284864000,684286000,-420781000,-1160000,262345000,262345000,547209000,-19133000,8957000,14233000,12837000,16894000,-2201000,-2201000,1294000,1294000,-1024000,269999.999999996,14963000,14963000,111000,15074000,-3022000,171589000,7579000,0.39212,-0.14354,-0.22926,-0.07293,-0.03496,-0.39612,3.9529,1.08584,0.31357,-0.21232,-0.21232,0.92613,2.91132,0.08411,-0.04126,0.01635,13.32991,3.3628
"27","2020_Q4",8.40328125,"Up",121116000,-73603000,47513000,-46398000,-36654000,-9744000,1115000,-3705000,-59000,-2590000,-4152000,-66000,-4218000,-4218000,-4218000,-4218000,209854000,209854000,122148000,122148000,21266000,21266000,353268000,15628000,199531000,52677000,128427000,18427000,215159000,568427000,21239000,10765000,10474000,74987000,11353000,63634000,96226000,34871000,1937000,32934000,209231000,305457000,689014000,-424999000,-1045000,262970000,262970000,568427000,-4218000,8679000,12271000,-11557000,5175000,-4959000,-4959000,-183000,-183000,-2038000,-2321000,-2105000,-2105000,87000,-2018000,9794000,174360000,-6656000,0.39229,0.00921,-0.03483,-0.01604,-0.00742,1.578,3.67123,1.16157,0.30674,-0.04656,-0.04656,1.33698,2.90289,-0.07347,-0.00893,-0.0141,-3.62406,-31.83318
"28","2021_Q1",12.3416393442623,"Up",142529000,-92469000,50060000,-57202000,-45844000,-11358000,-7142000,-3259000,432000,-10401000,-24847000,-458000,-25305000,-25305000,-25305000,-25305000,222752000,222752000,137649000,137649000,18547000,18547000,378948000,17268000,190576000,44898000,128427000,17251000,207844000,586792000,30327000,15959000,14368000,91171000,12027000,79144000,121498000,41097000,1853000,39244000,218265000,339763000,698334000,-450304000,-1001000,247029000,247029000,586792000,-25305000,9830000,26137000,2632000,13294000,-1721000,-1721000,3423000,3423000,-1747000,1385000,12958000,12958000,-60000,12898000,2688000,177168000,4057000,0.35123,-0.05011,-0.17754,-0.10244,-0.04312,-0.16032,3.11896,1.3754,0.30193,-0.27714,-0.27714,1.56095,2.70542,0.04443,-0.05438,0.00872,-16.95833,6.38253
"29","2021_Q2",13.3519047619048,"Up",115316000,-71984000,43332000,-52254000,-40198000,-12056000,-8922000,-3958000,-228000,-12880000,-13165000,-249000,-13414000,-13414000,-13414000,-13414000,241086000,241086000,119666000,119666000,13682000,13682000,374434000,17980000,1.86e+08,37439000,128427000,20134000,203980000,578414000,21461000,9089000,12372000,104444000,11904000,92540000,125905000,21925000,1853000,20072000,201940000,327845000,715302000,-463718000,-1015000,250569000,250569000,578414000,-13414000,9431000,10039000,4454000,10510000,-2797000,-2797000,13070000,13070000,-2246000,10661000,18374000,18374000,-40000,18334000,509000,180015000,2415000,0.37577,-0.07737,-0.11632,-0.05353,-0.02319,-0.18004,2.97394,1.3084,0.31122,-0.14515,-0.14515,1.24783,2.7114,0.02613,-0.02964,0.00534,-119.98232,6.84499
"30","2021_Q3",8.37921875,"Down",123880000,-82161000,41719000,-54887000,-43476000,-11411000,-13168000,-3573000,194000,-16741000,-16983000,-218000,-17201000,-17201000,-17201000,-17201000,238299000,238299000,134230000,134230000,16094000,16094000,388623000,19134000,175289000,27717000,128427000,19145000,194423000,583046000,26574000,12295000,14279000,112713000,17977000,94736000,139287000,21088000,1853000,19235000,203987000,343274000,721796000,-480919000,-1105000,239772000,239772000,583046000,-17201000,7707000,13543000,2942000,6991000,-3629000,-3629000,1724000,1724000,-7985000,-6265000,-2903000,-2903000,116000,-2787000,-5461000,182899000,-5930000,0.33677,-0.1063,-0.13885,-0.07174,-0.0295,0.34475,2.79009,1.43167,0.3137,-0.18613,-0.18613,1.3405,2.59457,-0.06417,-0.03876,-0.01336,10.14466,4.20717
