"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","interbank_assets","short_long_term_investments","net_loans","reserve_for_loan_losses","total_loans","net_fixed_assets","intangible_assets","goodwill","customer_acceptances_liabilities","other_assets","total_assets","total_deposits","interest_bearing_deposits","other_deposits","short_term_debt","long_term_debt","other_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","provision_for_loan_losses_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","capital_expenditures","net_change_in_investments","net_change_in_loans_interbank","net_cash_from_investing_activities","net_change_in_deposits","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",22.33984375,"Up",54660830,42758474,47156327,-4397853,11902356,-2172404,52488426,-32440009,-32440009,20048417,20048417,20048417,-6600292,13448125,13448125,13448125,13448125,57906350,41652916,768117774,3702952265,-69411493,3772363758,75760671,4582286,244011793,16940917,159010142,5070935114,3902894851,2925398861,977495990,234632800,200796066,41177655,4379501372,0,579642204,100834814,10956724,691433742,691433742,5070935114,13448125,2432535,2172404,-1455303,7434374,24032135,-1442076,-1442076,-51880431,-63167119,-116489626,-112293132,139424020,26728088,-65729403,-65729403,-65729403,22480952,435428866,35073542,0.36678,0.24603,0.01945,0.00265,2.60806,6.33394,0.08587,0.39568,0.39315,1.60827,20.34391,1.03196,0.00265,0.00692,16.793,18.83054
"12","2013_Q3",25.88671875,"Up",54924470,43598750,47544320,-3945570,11325720,-2774048,52150422,-30861730,-30861730,21288692,21288692,21288692,-6978160,14310532,14310532,14310532,14310532,70623888,170547156,774252165,3856669718,-68694868,3925364586,75840853,4334100,243900240,15654018,161345787,5373167925,4096578004,2997690722,1098887282,217254019,325762333,37004750,4676599106,1.86264514923096e-09,581037737,115145346,385736,696568819,696568819,5373167925,14310532,2190407,2774048,3851915,7569784,30696686,-1946216,-1946216,-30941023,-157959478,-190846717,193683153,113340964,301761809,141611778,141611778,141611778,23479099,543016352,36080827,0.3876,0.26055,0.02054,0.00266,2.52128,6.71376,0.10106,0.41878,0.41563,1.60728,20.38403,1.05585,0.00266,0.00672,20.1197,22.18983
"13","2013_Q4",28.60484375,"Up",55960228,44572947,48177242,-3604295,11387281,-684956,55275272,-33322891,-33322891,21952381,21952381,21952381,-7305431,14646950,14646950,14646950,14646950,92150263,118991196,789944174,3902022510,-67279672,3969302182,74117834,4087425,243807645,16167556,149911985,5391200588,4333542983,3195122394,1138420589,183315219,115670655,46455869,4678984726,0,582774960,129792296,-351394,712215862,712215862,5391200588,14646950,2295247,684956,3016586,24129087,44772826,-983321,-983321,-19592497,-47976416,-68552234,236964979,-243295956,-6250177,-30029585,-30029585,-30029585,24247628,298985874,54698825,0.39229,0.26174,0.02057,0.00272,3.73449,6.56962,0.05546,0.42724,0.42324,1.63231,20.77467,1.59551,0.00272,0.01015,8.53014,9.42201
"14","2014_Q1",31.4203278688525,"Up",57456686,44968465,48404526,-3436061,12488221,-2225114,55231572,-32636584,-32636584,22594988,22594988,22594988,-7274394,15320594,15320594,15320594,15320594,79785004,129153733,781704294,4076523793,-67969693,4144493486,72649574,3840750,243651006,15406389,161061314,5563775857,4533472724,3366058237,1167414487,169123618,90637328,46834526,4840068196,0,585434076,142298199,-4024614,723707661,723707661,5563775857,15320594,2327687,2225114,2884938,4175372,26933705,-922306,-922306,-9077639,-178804382,-188804327,199929740,-35531457,159667900,-2202722,-2202722,-2202722,24922675,259760946,35450135,0.39325,0.26665,0.02117,0.00275,2.31389,6.68788,0.04669,0.44588,0.44033,1.67217,21.06211,1.03171,0.00326,0.00637,7.22137,7.9653
"15","2014_Q2",32.7328571428571,"Up",58640178,45907815,49290792,-3382977,12732363,-487638,58152540,-33645860,-33645860,24506680,24506680,24506680,-8139557,16367123,16367123,16367123,16367123,94172230,76765177,822530339,4114163224,-67523575,4181686799,71627370,3603074,243568203,17219090,157283883,5600932590,4500576786,3320374679,1180202107,166125942,150604286,41128923,4858435937,0,587028832,155840829,-373008,742496653,742496653,5600932590,16367123,2258990,487638,233254,-6044984,13302021,-604626,-604626,-34004645,-40306647,-74915918,-32895938,58710778,23612567,-38001330,-38001330,-38001330,26765670,316730228,28255617,0.41792,0.27911,0.02204,0.00292,1.72636,6.54338,0.05655,0.47301,0.46808,1.69469,21.45799,0.81658,0.00343,0.00504,8.31505,9.08152
"16","2014_Q3",33.60421875,"Up",59823844,47226401,50564404,-3338003,12597443,-254348,59569496,-33901928,-33901928,25667568,25667568,25667568,-8497589,17169979,17169979,17169979,17169979,91575519,119532494,828508999,4248673302,-66888250,4315561552,72534086,3365399,243550227,15921099,165130468,5788791593,4651513344,3327154924,1324358420,159680962,170556327,42658975,5024409608,0,591029844,170155642,3196499,764381985,764381985,5788791593,17169979,2339999,254348,437414,-8505200,11696540,-2660887,-2660887,-616872,-131687509,-134965268,150936557,14215878,163439334,40170606,40170606,40170606,28007567,330237289,25339069,0.42905,0.28701,0.02246,0.00297,1.47578,6.57317,0.05705,0.49483,0.48943,1.72411,22.0293,0.73027,0.00346,0.00438,8.52133,9.29818
"17","2014_Q4",34.4509375,"Up",62425514,49537061,52781556,-3244495,12888453,-851194,61574320,-34359550,-34359550,27214770,27214770,27214770,-9017943,18196827,18196827,18196827,18196827,64743501,152826051,798956624,4355091101,-66159575,4421250676,71551257,3129236,243533067,16949949,158922705,5865703491,4662330748,3304396536,1357934212,161555803,215523517,44359272,5083769340,0,593725177,185496234,2712740,781934151,781934151,5865703491,18196827,2388544,851194,386654,13979851,35803070,-725698,-725698,26833967,-111937077,-85828808,10817404,47844265,56487277,6461539,6461539,6461539,29603314,377079320,51875410,0.43596,0.2915,0.02327,0.0031,2.85079,6.50153,0.06429,0.52347,0.51753,1.79579,22.4938,1.49229,0.00359,0.00884,10.5507,11.4767
"18","2015_Q1",36.9332786885246,"Up",64697491,50313272,53533210,-3219938,14384219,-2041480,62656011,-34392345,-34392345,28263666,28263666,28263666,-9526428,18737238,18737238,18737238,18737238,48741692,139165818,819978860,4522667866,-67358639,4590026505,71576016,2893072,243529010,16988407,152707056,6018247797,4782604912,3461551829,1321053083,190153022,195476384,47320098,5215554416,0,597163932,201371081,4158368,802693381,802693381,6018247797,18737238,2294664,2041480,1738874,9444268,34256524,-1887351,-1887351,-18856328,-171425981,-192169660,120274164,15785449,128251094,-29662042,-29662042,-29662042,30558330,385629406,47641675,0.43686,0.28961,0.02334,0.00311,2.54262,6.49757,0.06408,0.53796,0.53083,1.8575,23.04578,1.36782,0.00359,0.00792,11.02442,11.91946
"19","2015_Q2",45.6398412698413,"Up",69761681,51268379,54678590,-3410211,18493302,-315091,69446590,-36831022,-36831022,32615568,32615568,32615568,-10772857,21842711,21842711,21842711,21842711,61498151,232278569,895362190,4579030734,-66241583,4645272317,71281505,2665659,243442869,18262956,210523735,6314346368,4789309423,3364338269,1424971154,203586415,455443811,41856073,5490195722,0,599695733,218909667,5545246,824150646,824150646,6314346368,21842711,2165601,315091,-3033969,-16042215,5247219,-1222077,-1222077,-35642846,-65558107,-177423030,6704511,235391497,278045021,105869210,105869210,105869210,34781169,659030226,28289734,0.46753,0.3131,0.0265,0.00346,1.29516,6.66164,0.10437,0.62334,0.61737,1.99085,23.51947,0.80733,0.00414,0.00448,17.17976,18.32046
"20","2015_Q3",46.73578125,"Up",71849463,51830685,55502651,-3671966,20018778,-1186116,70663347,-36688272,-36688272,33975075,33975075,33916022,-11252191,22663831,22663831,22663831,22663831,66487191,206460262,929821504,4764781571,-65572050,4830353621,73633237,2438245,243290816,17125955,212504995,6516543776,4993610926,3520524730,1473086196,195456839,445345050,40740900,5675153715,0,603923370,237243866,222825,841390061,841390061,6516543776,22663831,2152955,1186116,205055714,-207192752,23865864,-4579111,-5233180,-41868988,-182140556,-229014185,204301503,-16547570,184319054,-20829267,-20829267,-20829267,36128030,640801889,-164391642,0.47286,0.31543,0.02694,0.00348,-7.25348,6.74497,0.09833,0.64515,0.63744,2.04528,23.95121,-4.67961,0.00414,-0.02523,15.89665,16.904
"21","2015_Q4",49.05421875,"Up",83469515,62059101,67192114,-5133013,21410414,-2227937,81241578,-42858411,-42858411,38383167,38383167,36134598,-11985846,24148752,24148752,24148752,24148752,68595726,258442551,1090530307,6272230238,-63758390,6335988628,81527013,11640802,429415765,21510180,315171270,8549063852,6600678516,4723768375,1876910141,210553412,545329689,58276681,7414838298,0,876082890,256648129,1494535,1134225554,1134225554,8549063852,24148752,668703,2227937,-234993284,213736168,5788276,-1452686,-1452686,48129653,-208113282,-149145723,201415407,-8957431,197448271,54090824,54090824,54090824,39051870,755883101,263321198,0.45985,0.28931,0.02129,0.00282,10.90413,6.53736,0.08842,0.63787,0.60527,2.20478,29.95965,6.95542,0.00338,0.0308,17.59935,17.90596
"22","2016_Q1",44.28,"Down",98082524,71474750,77796525,-6321775,26607774,-5459353,92623171,-49702033,-49702033,42921138,42921138,40431742,-13577634,26854108,26854108,26854108,26854108,75078807,245872526,1060404817,6477803027,-65432354,6543235381,77923607,10540497,432232255,21574096,313114052,8714543684,6971413808,5081548695,1889865113,220689802,300305226,66523548,7558932384,3.5527136788005e-15,880523114,278573408,-3485222,1155611300,1155611300,8714543684,26854108,5281317,5459353,18001650,-5893957,49702471,-2834495,-2962908,27581496,-212485091,-187015090,370931481,-192733800,131225675,-6086944,-6086944,-6086944,48202455,520995028,53051636.9999999,0.4376,0.27379,0.02324,0.00308,1.97555,6.54107,0.05978,0.6708,0.65398,2.45005,28.86654,1.3252,0.00365,0.00609,9.2509,10.3892
"23","2016_Q2",45.585,"Up",99758387,73902677,80974382,-7071705,25855710,-3893570,95864817,-52234224,-52234224,43630593,43630593,41801121,-13835857,27965264,27965264,27965264,27965264,77778562,304799111,1256114014,6765690303,-62239279,6827929582,78771705,9667282,431840600,25168584,311557471,9261387632,7080212225,5053661875,2026550350,272552735,616289980,63552851,8032607791,0,926010461,300746837,2022543,1228779841,1228779841,9261387632,27965264,-428254,3893570,-4052898,-3350208,24027474,-2849721,-2849721,-74816425,-289043266,-435889309,109015688,302919677,473488175,61626340,61626340,61626340,43202339,888842715,50838267,0.43736,0.28033,0.02276,0.00302,1.81791,6.53706,0.09597,0.69769,0.68463,2.48881,30.65603,1.26833,0.00364,0.00549,18.77362,18.58935
"24","2016_Q3",50.3815625,"Up",107756222,75043286,83761705,-8718419,32712936,-5280101,102476121,-54950585,-54950585,47525536,47525536,46545354,-15758582,30786772,30786772,30786772,30786772,77817212,393963880,1338630533,7029989975,-61411537,7091401512,78800120,8820668,427573930,23432495,356639047,9735667860,7292826351,5278979166,2013847185,303030740,783240425,94416534,8473514050,0,931652135,325608051,4893624,1262153810,1262153810,9735667860,30786772,1649132,5280101,10736167,-13202685,35249487,-1901521,-3850557,-98180081,-270822843,-354000292,212803444,180444582,407954224,89203419,89203419,89203419,49174668,1086271165,49829044,0.44105,0.28571,0.02439,0.00316,1.61852,6.71354,0.11158,0.7459,0.73346,2.61072,30.57954,1.20726,0.00377,0.00512,20.50759,21.2192
"25","2016_Q4",56.5530158730159,"Up",118326853,86634944,97379699,-10744755,31691909,-6108183,112218670,-57853535,-57853535,54365135,54365135,48692404,-16316209,32376195,32376195,32376195,32376195,81750005,175227032,1455374869,8180771973,-60248505,8241020478,84916306,16240711,550579616,25945676,407583473,10978389661,8670146011,6300921171,2369224840,346823874,382338103,103437703,9502745691,0,1120272050,351484480,3887440,1475643970,1475643970,10978389661,32376195,676739,6108183,38250164,-58665868,18745413,-3783844,-3991639,39696083,-196759609,-138286526,410992619,-492725494,-95262942,-214804055,-214804055,-214804055,55041874,729161977,8908371,0.45945,0.27362,0.02194,0.00295,0.27515,6.43973,0.06642,0.7148,0.70508,2.61241,32.5792,0.19668,0.00354,0.00081,11.76217,11.90859
"26","2017_Q1",63.3156451612903,"Up",120155538,89413093,101493214,-12080121,30742445,-3046146,117109392,-59499656,-59499656,57609736,57609736,54345121,-18248352,36096769,36096769,36096769,36096769,84732291,98913129,1535247020,8390944261,-58980475,8449924736,88904145,15104038,551593796,28234826,400949093,11194622599,8759307048,6360115896,2399191152,436474608,406304187,95840644,9697926487,-8.88178419700125e-16,1129850105,381072505,-14226498,1496696112,1496696112,11194622599,36096769,-1711617,3046146,-63842433,100704761,74293626,-6335914,-6366083,-108210577,-209582282,-350905873,89495249,32176234.9999999,203280543,-73331704,-73331704,-73331704,55898119,842778795,168515318,0.47946,0.30042,0.02412,0.00322,4.66843,6.47956,0.07528,0.79339,0.78152,2.64095,32.89657,3.70388,0.00381,0.01505,13.56122,13.15831
"27","2017_Q2",59.5849206349206,"Down",119149000,88767000,102143000,-13376000,30382000,-3651000,115498000,-61382000,-61382000,54116000,54116000,53444000,-13791000,39653000,39653000,39653000,39653000,95215622,97458509,1821741513,8583682511,-58349769,8642032280,97003955,13907909,551546341,29568023,434476612,11724600995,9280596989,6771917406,2508679583,472006111,181264257,67658161,10001525518,0,1324552347,413700739,-15177609,1723075477,1723075477,11724600995,39653000,-429000,3651000,159046000,-194125000,7796000,-11446000,-11446000,-309925000,-193557000,-514928000,521563000,-240535000,516161000,9029000,9029000,9029000,53687000,653270368,-138093000,0.45419,0.3328,0.02301,0.00338,-3.48254,5.80446,0.05572,0.82572,0.81729,2.48112,35.8807,-2.8756,0.00398,-0.01178,10.3946,10.3122
"28","2017_Q3",59.3938095238095,"Down",141683000,106627000,123743000,-17116000,35056000,-6812000,134871000,-68576000,-68576000,66295000,66295000,63074000,-19988000,43086000,43086000,43086000,43086000,121804437,416980586,2680023843,14696820022,-61944494,14758764516,258037159,60963513,1800741933,48417956,802364329,20886153778,15757474635,11863871453,3893603182,670427485,725230449,117694370,17270826939,-1.4210854715202e-14,3177801168,449762022,-12236351,3615326839,3615326839,20886153778,43086000,-1499000,6812000,261674000,-233949000,76124000,-7245000,-7245000,-198977000,-507426000,-558506000,269932000,615783000,828493000,346111000,346111000,346111000,64796000,1395657934,-156410000,0.46791,0.3041,0.01192,0.00206,-3.63018,4.77711,0.06682,0.81145,0.80286,2.66834,68.0881,-2.9457,0.0024,-0.00749,19.65945,19.21493
"29","2017_Q4",62.79,"Up",216159000,172896000,201881000,-28985000,43263000,-6921000,209238000,-100889000,-100889000,108349000,108349000,99502000,-35060000,64442000,64442000,64442000,64442000,132324313,275957904,3136869522,15194626686,-65159286,15259785972,270136166,59780903,1802534059,54286991,863854537,21790371081,15789584846,11690498688,4099086158,595017663,1623946639,108472748,18117021896,0,3183229737,503270311,-13150863,3673349185,3673349185,21790371081,64442000,-12920000,6921000,328831000,-351063000,36211000,-17331000,-17354000,-500897000,-493983000,-1012211000,33565000,822934000,845497000,-130503000,-130503000,-130503000,95429000,2218964302,-237905000,0.50125,0.29812,0.01754,0.00296,-3.69177,4.93202,0.10183,0.84042,0.83439,2.81903,47.9058,-3.10263,0.00346,-0.01092,21.86589,19.25851
"30","2018_Q1",61.8608196721312,"Down",211219000,175016000,208371000,-33355000,36203000,-6280000,204939000,-103870000,-103870000,101069000,101069000,81966000,-55168000,26798000,26798000,26798000,26798000,155815000,603043000,2806281000,15565876000,-67240000,15633116000,266014000,56710000,1808002000,57440000,886519000,22205700000,16451702000,12070316000,4381386000,600767000,1319909000,125370000,18497748000,1.13686837721616e-13,3193044000,519144000,-4236000,3707952000,3707952000,22205700000,26798000,-8770000,6280000,-712890000,734315000,45733000,-17454000,-17454000,351251000,-363680000,-29883000,663214000,-1210442000,355464000,371314000,371314000,371314000,92299000,1920676000,864328000,0.4785,0.12687,0.00723,0.00121,32.25345,4.98867,0.08649,0.34693,0.34402,2.73445,48.00335,11.18964,0.0017,0.03892,19.12113,17.46194
"31","2018_Q2",61.62921875,"Down",218654000,174471000,211528000,-37057000,44183000,-6931000,211723000,-103227000,-103227000,108496000,108496000,103143000,-19633000,83510000,83510000,83510000,83510000,128855000,239908000,3231987000,16255813000,-70204000,16326017000,269439000,54012000,1808300000,60918000,885942000,22935174000,16502909000,12228696000,4274213000,597413000,1976881000,108668000,19185871000,0,3193843000,591680000,-36220000,3749303000,3749303000,22935174000,83510000,-6181000,6931000,254770000,-258137000,80893000,-8642000,-8806000,-490310000,-683710000,-1182662000,52039000,649939000,690935000,-410834000,-410834000,-410834000,102315000,2574294000,-144831000,0.4962,0.38193,0.02227,0.00364,-1.7343,5.11718,0.11224,1.08345,1.07942,2.83679,48.643,-1.87902,0.00412,-0.00631,23.90108,22.53944
