"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","net_extraordinary_gains_losses","discontinued_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_compensation","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_discontinued_operations_operating","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",5.75548387096774,"Up",149841000,-137204000,12637000,-7475000,-7475000,5162000,-1035000,-3576000,2541000,4127000,21000,4148000,-1066000,3082000,2225000,2225000,5307000,5307000,5307000,454000,454000,166633000,166633000,126691000,117366000,293778000,20356000,517346000,472345000,45001000,537702000,831480000,82398000,39848000,5689000,36861000,121405000,121227000,204651000,267732000,68973000,39355000,1296000,28322000,336705000,541356000,558009000,-371080000,103925000,-730000,290124000,290124000,831480000,3082000,4212000,3723000,-2978000,4012000,12051000,-930000,-930000,-385000,-5275000,-2422000,-9126000,-3200000,-1262000,2946613.68134133,-1262000,-1078000,-5540000,-2615000,-2615000,-2615000,9374000,268580000,6532000,0.08434,0.03445,0.03542,0.01829,0.00638,1.23083,1.43551,1.86595,0.32301,0.10854,0.10819,3.06461,5.93373,0.1336,6,0.00845,0.01041,28.60316,51.94227
"12","2013_Q1",6.174,"Up",121086000,-117522000,3564000,-4615000,-4615000,-1051000,-608000,-3801000,3193000,-1659000,106000,-1553000,1317000,-236000.000000002,1442000,1442000,1206000,1206000,1206000,899000,899000,134979000,134979000,297996000,185008000,433874000,17783000,518534000,469571000,48342000,536317000,970191000,71611000,35384000,1372000,34855000,196024000,181843000,273099000,331316000,70544000,39779000,1935979.30497962,30765000,401860000,674959000,561934000,-371080000,105131000,-753000,295232000,295232000,970191000,-235999.999999998,3674000,2823000,6114999.99999999,4022000,16398000,-847000,-847000,2310000,-61027000,-34694000,-99807000,62900000,-4.65661287307739e-10,3370923.46558718,0,20954000,83854000,445000,445000,445000,2623000,336780000,6574000,0.02943,-0.00868,0.00995999999999999,0.00408,0.00124,5.45108,1.58871,2.2862,0.34713,0.02463,0.02453,2.47286,6.02933,0.13426,7,0.00172,0.00935999999999999,128.05223,-319.5823
"13","2013_Q2",6.484375,"Up",201189000,-159389000,41800000,-9984000,-9984000,31816000,-2328000,-4056000,1728000,29488000,18000,29506000,-12385000,17121000,1182000,1182000,18303000,18303000,18303000,204000,204000,193218000,193218000,185459000,175285000,378881000,20634000,599161000,547100000,52061000,619795000,998676000,77727000,37823000,13422000,26482000,175655000,175485000,259011000,346100000,77905000,43965000,2328000,31612000,424005000,683016000,563966000,-371080000,123434000,-660000,315660000,315660000,998676000,17121000,4625000,2288000,-37742000,1580000,-12128000,-1560000,-1560000,2370000,73000,8196000,8895000,14100000,8386361.87296254,2586368.95346101,7533410.12552636,-11562000,2538000,-695000,-695000,-695000,36441000,351729000,9524000,0.20776,0.15814,0.09097,0.05798,0.01833,0.52035,1.4628,2.16377,0.3522,0.37038,0.36726,4.07125,6.38768,0.19273,3,0.02456,0.01278,9.64641,11.04869
"14","2013_Q3",7.17703125,"Up",172229000,-151091000,21138000,-7649000,-7649000,13489000,-3630000,-4145000,515000,9859000,48000,9907000,-4287000,5620000,3527000,3527000,9147000,9147000,9147000,1187000,1187000,161402000,161402000,271792000,157567000,434381000,18210000,527638000,474981000,52657000,545848000,980229000,79546000,40766000,8612000,30168000,162132000,150579000,246553000,327810000,81214000,44964000,875000,35375000,409024000,655577000,564777000,-371890000,132580000,-815000,324652000,324652000,980229000,5620000,4749000,2536000,11429000,1677000,26011000,-1200000,-1200000,-3415000,-3965000,30715000,22007000,-1.9e+07,-775000,34999.9999999999,-809999.999999996,-27260000,-47035000,983000,983000,983000,18238000,332685000,32754000,0.12273,0.07832,0.05311,0.02817,0.00933,3.58085,1.76182,2.01932,0.3394,0.18422,0.18314,3.46865,6.53842,0.65966,6,0.01239,0.04435,18.17623,24.5754300000001
"15","2013_Q4",8.429375,"Up",168779000,-150258000,18521000,-8944000,-8944000,9577000,-1444000,-3815000,2371000,8133000,6000,8139000,-2663000,5476000,56884000,56884000,62360000,62360000,62360000,3553000,3553000,161715000,161715000,148960000,140844000,314228000,18487000,526069000,470909000,55160000,544556000,858784000,108644000,33667000,38702000,36275000,136886000,136693000,250657000,164520000,79797000,47922000,81000.0000000001,31794000,244317000,494974000,567168000,-397548000,194941000,-751000,363810000,363810000,858784000,5476000,4770000,7564000,-24569000,3471000,-3288000,-1525000,-1525000,224999.999999999,199805000,12580000,211097000,-1.64e+08,-25117000,541000,-25658000,-16326000,-205443000,2366000,2366000,2366000,14347000,169647000,-9084000,0.10974,0.05674,0.36948,0.17141,0.07261,-0.14567,1.25362,1.36053,0.19754,1.28601,1.27711,3.48063,7.50263,-0.18733,6,0.10169,-0.01481,11.57692,17.34301
"16","2014_Q1",8.97573770491803,"Up",134974000,-132601000,2373000,-7821000,-7821000,-5448000,-155000,-3358000,3203000,-5603000,7000.00000000001,-5596000,2758000,-2838000,-1109000.00000001,-1109000.00000001,-3947000.00000002,-3947000.00000002,-3947000.00000002,771000,771000,138063000,138063000,213289000,200800000,352123000,18955000,526380000,467648000,58190000,545335000,897458000,75044000,37291000,25000,37728000,191271000,189321000,267917000,173756000,81339000,51953000,-53587.3420000629,29386000,255095000,523012000,581725000,-397548000,190994000,-725000,374446000,374446000,897458000,-2838000,4147000,2935000,33896000,-50253000,-12113000,-1923000,-1923000,66000,-4726000,-60424000,-67007000.0000001,7905999.99999997,13400000,13400000,0,55032000,76338000,-2782000,-2782000,-2782000,-1301000,175358000,27914000,0.01758,-0.04036,-0.02924,-0.01054,-0.0044,-7.07221,1.3143,1.39676,0.19539,-0.0840400000000001,-0.0823100000000001,2.87381,7.97253,0.59433,3,-0.00625,0.04423,-134.19447,-32.04607
"17","2014_Q2",8.71222222222222,"Down",204726000,-161938000,42788000,-10198000,-10198000,32590000,-1458000,-3433000,1975000,31132000,8000,31140000,-13114000,18026000,-737000,-737000,17289000,17289000,17289000,4407000,4407000,184452000,184452000,171385000,163750000,360244000,19532000,552655000,491908000,60747000,572187000,932431000,69372000,34697000,12161000,22514000,156683000,156433000,226809000,217392000,91214000,54958000,872000,35384000,308606000,535415000,590873000,-401423000,208282000,-716000,397016000,397016000,932431000,18026000,4700000,394000,-43694000,-617000,-21191000,-1617000,-1617000,-3750000,-15625000,41723000,20731000,40968000,2092000,5967000,-3875000,-38964000,4096000,3636000,3636000,3636000,37290000,218146000,5093000,0.209,0.15919,0.08445,0.04355,0.01854,0.29458,1.58831,1.3486,0.23395,0.35883,0.32858,4.24901,8.23992,0.1057,5,0.02448,0.00721,5.7318,6.55842
"18","2014_Q3",8.525,"Down",177466000,-158317000,19149000,-8306000,-8306000,10843000,359000,-3577000,3936000,11202000,68000,11270000,-4824000,6446000,-339000,-339000,6107000,6107000,6107000,3948000,3948000,179122000,179122000,145363000,139077000,328433000,19045000,563400000,498972000,64428000,582445000,910878000,79915000,44493000,4951000,30471000,128696000,128502000,225802000,191139000,94836000,57756000,3182000,33898000,285975000,511777000,594710000,-409371000,214390000,-628000,399101000,399101000,910878000,6446000,4818000,3817000,10926000,337999.999999993,26345000,-695000,-695000,-774000,-9444000.00000001,26425000,15512000,-10580000,-6871000,1077000,-7948000,-24865000,-42316000,-459000,-459000,-459000,15661000,208330000,30716000,0.1079,0.0611,0.03441,0.0153,0.00670000000000001,5.02964,1.45452,1.28232,0.22871,0.12651,0.11725,3.67622,8.26741,0.63628,4,0.0087,0.04374,13.05038,18.84921
"19","2014_Q4",8.6265625,"Up",180269000,-155233000,25036000,-8889000,-8889000,16147000,-4491000,-3123000,-1368000,11656000,17000,11673000,-4353000,7320000,368000,368000,7688000,7688000,7688000,397000,397000,179790000,179790000,154284000,147732000,334471000,19065000,570942000,505633000,65309000,590007000,924478000,83569000,38029000,6340000,39200000,142976000,142737000,226545000,203974000,90326000,57690000,4768000,27868000,294300000,520845000,600276000,-418027000,222078000,-694000,403633000,403633000,924478000,7320000,5042000,7162000,-759000,-1099000,17666000,-1412000,-1412000,-2760000,-8049000,-5098000,-17319000,-4120000,-7852000,804000,-8656000,8074000,-3898000,-3551000,-3551000,-3551000,21189000,203974000,23371000,0.13888,0.08957,0.04265,0.01905,0.00832,3.03993,1.4764,1.29039,0.22064,0.15867,0.15468,3.72049,8.3304,0.48234,6,0.01102,0.03349,9.60767,12.60773
"20","2015_Q1",8.74426229508197,"Up",157022000,-154316000,2706000,-6790000,-6790000,-4084000,-641000,-2991000,2350000,-4725000,1210000,-3515000,2137000,-1378000,53000.0000000002,53000.0000000002,-1325000,-1325000,-1325000,979000,979000,143048000,143048000,235299000,226432000,379326000,18475000,593443000,526462000,66981000,611918000,991244000,79043000,36781000,2384000,39878000,215365000,214062000,295168000,203969000,92262000,60290000,2864000,29108000,296231000,591399000,605472000,-425685000,220753000,-695000,399845000,399845000,991244000,-1378000,5271000,803000,14223000,2179000,21098000,-1113000,-1113000,-134000,-8317000,-73694000,-82842000,321000,-4150000,3508000,-7658000,66155000,62326000,582000,582000,582000,1186999.99999999,204729000,12160000,0.01723,-0.02601,-0.00844,-0.00330999999999999,-0.00134,-9.17736,1.28512,1.47907,0.20654,-0.02734,-0.02571,3.24004,8.25052,0.25091,4,-0.0019,0.01745,171.65122,-49.88981
"21","2015_Q2",9.34349206349206,"Up",213866000,-170864000,43002000,-9865000,-9865000,33137000,-118000,-2977000,2859000,33019000,56000,33075000,-13572000,19503000,-335000,-335000,19168000,19168000,19168000,128000,128000,188484000,188484000,177809000,166788000,366421000,19996000,604616000,533118000,71498000,624612000,991033000,76039000,38082000,14128000,23829000,157238000,156107000,233574000,243965000,95161000,64267000,2573000,28321000,339126000,572700000,609663000,-430693000,239920000,-557000,418333000,418333000,991033000,19503000,4987000,321000,-48099000,-1027000,-24315000,-2983000,-2983000,173000,-5918000,57291000,48563000,39400000,-2877000,2130000,-5007000,-61622000,-25099000,-851000,-851000,-851000,38124000,244262000,614000,0.20107,0.15494,0.08963,0.04582,0.01934,0.03203,1.56876,1.36901,0.24647,0.39812,0.37303,4.44203,8.68884,0.01275,4,0.0253,0.00081,6.40368,7.36741
"22","2015_Q3",9.75125,"Up",185042000,-163117000,21925000,-6615000,-6615000,15310000,-3974000,-2848000,-1126000,11336000,45000,11381000,-4696000,6685000,-40000.0000000001,-40000.0000000001,6645000,6645000,6645000,2250000,2250000,177228000,177228000,172592000,162120000,352070000,20859000,601610000,530409000,71201000,622469000,974539000,85690000,48572000,6985000,30133000,144195000,142917000,229885000,201817000,94113000,64435000,4109000,25569000,295930000,525815000,646990000,-444182000,246565000,-649000,448724000,448724000,974539000,6685000,5064000,5399000,10660000,787000,28595000,-2317000,-2317000,-884000,-1165000,13477000,9132000,-10973000,-10952000,2539000,-13491000,-13680000,-35605000,2122000,2122000,2122000,20374000,201817000,33413000,0.11849,0.08274,0.03591,0.01481,0.00682,5.02829,1.5315,1.1718,0.20709,0.13432,0.13012,3.74034,9.07026,0.67539,9,0.00892,0.04487,9.79518000000001,13.03508
"23","2015_Q4",10.58984375,"Up",187102000,-158496000,28606000,-8028000,-8028000,20578000,-4207000,-1840000,-2367000,16371000,5000,16376000,-6787000,9589000,611000,611000,10200000,10200000,10200000,1840000,1840000,175755000,175755000,158637000,149004000,336232000,20370000,595405000,528173000,67232000,615775000,952007000,80713000,35065000,9119000,36529000,138619000,138188000,219332000,200123000,86995000,61138000,4288000,21569000,287118000,506450000,651591000,-462167000,256766000,-633000,445557000,445557000,952007000,9589000,5117000,1987000,4980000,-177000,21496000,-886000,-886000,-2918000,-2371000,6028000,2526000,-1999000,-16089000,1895000,-17984000,-6344000,-24432000,-410000,-410000,-410000,25695000,200123000,36576000,0.15289,0.10998,0.05452,0.02289,0.01071,3.58588,1.53298,1.13667,0.21021,0.19684,0.1875,3.61075,8.5985,0.70586,7,0.01392,0.04992,7.71679,9.63568
"24","2016_Q1",10.1367213114754,"Down",164412000,-159914000,4498000,-8019000,-8019000,-3520999.99999999,543000,-1237000,1780000,-2978000,-22000,-3e+06,2226000,-774000,-1132000,-1132000,-1906000,-1906000,-1906000,850000,850000,153608000,153608000,218022000,212260000,372480000,20162000,603689000,535653000,68036000,623851000,996331000,75166000,35555000,13897103.5167005,39611000,195887000,195887000,271053000,206550000,90780000,64245000,4902000,21633000,297330000,568383000,635888000,-462167000,254860000,-633000,427948000,427948000,996331000,-774000.000000002,5221000,5725000,10031000,1407000,21610000,-1204000,-1204000,-1136000,-2244000,-59900000,-67170000,-17566000,4164000,4164000,0,57972000,44570000,-990000,-990000,-990000,1700000,206550000,8301000,0.02736,-0.02142,-0.01159,-0.00445,-0.00191,-4.35519,1.3742,1.32816,0.20731,-0.03688,-0.03535,3.1811,8.28009,0.16061,4,-0.00263,0.01145,121,-58.4209
"25","2016_Q2",10.295,"Up",224238000,-178117000,46121000,-10245000,-10245000,35876000,621000,-1526000,2147000,36497000,101000,36598000,-14800000,21798000,-30000,-30000,21768000,21768000,21768000,1561000,1561000,197248000,197248000,193961000,193961000,392770000,19729000,604411000,534886000,69525000,624140000,1016910000,72990000,36550000,12339000,24101000,177476000,177476000,250877000,236058000,84111000,65767000,383000,17961000,320169000,571046000,638484000,-468304000,276628000,-944000,445864000,445864000,1016910000,21798000,5245000,1816000,-46527000,506000,-17162000,-880000,-880000,17000,-2001000,20780000,17916000,28042000,-5341000,796000,-6137000,-22744000,-43000,711000,711000,711000,41121000,236469000,8514000,0.20568,0.15999,0.09708,0.04882,0.02141,0.39112,1.56559,1.28076,0.23254,0.42209,0.4127,4.34806,8.64547,0.16509,5,0.0284,0.01111,5.7126,6.54778
"26","2016_Q3",11.11171875,"Up",197015000,-173996000,23019000,-8346000,-8346000,14673000,-1030000,-1733000,703000,13643000,50000,13693000,-5306000,8387000,-258000,-258000,8128999.99999999,8128999.99999999,8128999.99999999,8492000,8492000,193155000,193155000,256427000,256427000,458074000,19727000,644753000,573022000,71731000,664480000,1122554000,93768000,54823000,5950000,32995000,235613000,235613000,329792000,236883000,95454000,68040000,790000,26624000,332337000,662129000,646737000,-469995000,284757000,-1074000,460425000,460425000,1122554000,8387000,5437000,3628000,22048000,-78000,39422000,-957000,-957000,-233000,-31910000,-17012000,-50112000,782000.000000007,1042000,2733000,-1691000,15797000,17621000,6931000,6931000,6931000,20110000,237294000,46507000,0.11684,0.07448,0.04126,0.01766,0.00724,5.72112,1.38898,1.43808,0.21139,0.15623,0.15321,3.78642,8.84888,0.89382,4,0.01025,0.05863,11.37752,15.5934
"27","2016_Q4",12.1261904761905,"Up",199794000,-174069000,25725000,-8679000,-8679000,17046000,872000,-1760000,2632000,17918000,329000,18247000,-7260000,10987000,-133000,-133000,10854000,10854000,10854000,514000,514000,194419000,194419000,188399000,188399000,383332000,19360000,650253000,575851000,74402000,669613000,1052945000,90172000,42526000,8175000,39471000,160575000,160575000,251383000,220918000,105958000,70768000,1830000,33360000,326876000,578259000,650123000,-470124000,295611000,-924000,474686000,474686000,1052945000,10987000,5677000,3209000,-7315000,79000,12637000,-1006000,-1006000,48000,-3902000,72220000,67360000,-16028000,1600000,1729000,-129000,-73547000,-87975000,-7978000,-7978000,-7978000,22723000,221554000,21662000,0.12876,0.08532,0.05433,0.02287,0.01031,1.99576,1.52489,1.21819,0.21041,0.20614,0.20041,3.79447,9.01519,0.4114,5,0.01353,0.027,9.72759,12.96727
