"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","foreign_exchange_gain_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2018_Q1",4.00327868852459,"Up",-7506000,-1600000,-5906000,-7506000,257000,190000,-7249000,-7249000,-7249000,-7249000,-7249000,-7249000,31768000,31768000,1564000,1564000,33332000,29640000,29640000,62972000,2792000,1730000,1062000,2792000,18000,18000,2810000,277492000,-216562000,-768000,60162000,60162000,62972000,-7249000,595000,811000,-964000,-6807000,-254000,-254000,4000,4000,4000,-7057000,-7057000,-152000,-7209000,-6911000,0,-0.12049,-0.11511,11.9384,0.04671,0,-0.20438,-0.20438,1.69623,-0.12046,4.59673,4.23235
"12","2018_Q2",3.92578125,"Down",-4150000,-1157000,-2993000,-4150000,81000,17000,-4069000,-4069000,-4069000,-4069000,-4069000,-4069000,28416000,28416000,1333000,1333000,29749000,29111000,29111000,58860000,2434000,1160000,1274000,2434000,16000,16000,2450000,277803000,-220631000,-762000,56410000,56410000,58860000,-4069000,588000,110000,-155000,-3526000,-34000,-34000,201000,201000,201000,-3359000,-3359000,7000,-3352000,-3562000,0,-0.07213,-0.06913,12.22227,0.04343,0,-0.11479,-0.11479,1.59138,-0.07211,7.97754,6.84723
"13","2018_Q3",3.3847619047619,"Down",-5620000,-1672000,-3948000,-5620000,-287000,-393000,-5907000,-5907000,-5907000,-5907000,-5907000,-5907000,24849000,24849000,917000,917000,25766000,28524000,28524000,54290000,2756000,1455000,1301000,2756000,12000,12000,2768000,278441000,-226538000,-381000,51522000,51522000,54290000,-5907000,610000,637000,760000,-3900000,-48000,-48000,0,0,0,-3948000,-3948000,381000,-3567000,-5010000,0,-0.11465,-0.1088,9.34906,0.05372,0,-0.16491,-0.16491,1.43837,-0.11462,4.95988,4.42153
"14","2018_Q4",3.56396825396825,"Up",-5116000,-1175000,-3941000,-5116000,65000,-35000.0000000001,-5051000,-5051000,-5051000,-5051000,-5051000,-5051000,20849000,20849000,457000,457000,21306000,27938000,27938000,49244000,2300000,878000,1422000,2300000,7000,7000,2307000,278879000,-231589000,-353000,46937000,46937000,49244000,-5051000,618000,439000,-1000.00000000012,-3995000,-32000,-32000,-1.16415321826935e-10,-1.16415321826935e-10,-1.16415321826935e-10,-4027000,-4027000,27000.0000000001,-4e+06,-4498000,0,-0.10761,-0.10257,9.26348,0.04915,0,-0.14101,-0.14101,1.31037,-0.1076,4.63517,4.07525
"15","2019_Q1",7.04459016393443,"Up",-6108000,-1265000,-4843000,-6108000,-3000,-137000,-6111000,-6111000,-6111000,-6111000,-6111000,-6111000,15823000,15823000,1193000,1193000,17016000,27329000,27329000,44345000,2944000,1653000,1291000,2944000,3000,3000,2947000,279353000,-237700000,-255000,41398000,41398000,44345000,-6111000,617000,474000,-96000,-5116000,-8000,-8000,0,0,0,-5124000,-5124000,98000,-5026000,-5491000,0,-0.14762,-0.13781,5.77989,0.07119,0,-0.16914,-0.16914,1.1458,-0.14761,2.88162,2.59054
"16","2019_Q2",7.55730158730159,"Up",-5805000,-1278000,-4527000,-5805000,-59000,-146000,-5864000,-5864000,-5864000,-5864000,-5864000,-5864000,12019000,12019000,963000,963000,12982000,26842000,26842000,39824000,2841000,1861000,980000,2841000,0,0,2841000,280664000,-243564000,-117000,36983000,36983000,39824000,-5864000,602000,570000,15000,-4677000,-6000,-6000,541000.000000002,541000.000000002,741000.000000002,-3942000,-3942000,138000,-3804000,-5203000,0,-0.15856,-0.14725,4.56952,0.07682,0,-0.16299,-0.16299,1.02795,-0.15856,2.31001,2.07046
"17","2019_Q3",7.07625,"Down",-6006000,-1313000,-4693000,-6006000,154000,102000,-5852000,-5852000,-5852000,-5852000,-5852000,-5852000,44921000,44921000,678000,678000,45599000,26276000,26276000,71875000,2462000,1550000,912000,2462000,0,0,2462000,319045000,-249416000,-216000,69413000,69413000,71875000,-5852000,597000,486000,-94000,-4863000,-31000,-31000,37793000,37793000,37895000,33001000,33001000,-99000,32902000,-5409000,0,-0.08431,-0.08142,18.52112,0.03547,0,-0.15594,-0.15594,1.84962,-0.08431,8.30486,7.47935
"18","2019_Q4",11.18828125,"Up",-6111000,-1578000,-4533000,-6111000,-39000,-289000,-6150000,-6150000,-6149999.99999997,-6149999.99999997,-6149999.99999997,-6149999.99999997,40338000,40338000,573000,573000,40911000,25732000,25732000,66643000,2021000,1061000,959999.999999998,2021000,0,0,2021000,320130000,-255566000,58000,64622000,64622000,66643000,-6149999.99999997,596000,797000.00000003,-227000,-4984000,-161000,-161000,288000,288000,288000,-4856999.99999997,-4856999.99999997,274000,-4583000.00000006,-5515000,0,-0.0951700000000001,-0.09228,20.24295,0.03127,0,-0.149759999999999,-0.14976,1.57361,-0.09517,7.31423,6.60088
"19","2020_Q1",14.1425806451613,"Up",-13311000,-2974000,-10337000,-13311000,-370000,-555000,-13681000,736319000,686495000,686495000,686495000,686495000,714594000,714594000,1669000,1669000,716263000,25171000,100614000,816877000,55690000,2149000,53541000,60190000,1056000,1056000,61246000,324808000,430929000,-106000,755631000,755631000,816877000,686495000,566000,-673495000,-17312000,-3746000,-6000,674994000,3172000,3172000,3172000,674420000,674420000,-164000,674256000,-12745000,0,0.90851,0.84039,11.90003,0.08105,0,16.65841,9.70914,18.33605,0.90724,56.06858,53.68447
"20","2020_Q2",12.2106349206349,"Down",-5178000,-4023000,-1155000,-2171000,1805000,-92999.9999999999,-365999.999999998,-365999.999999762,-14000,-14000,-14000,-14000,241540000,241540000,6675000,1179000,257896000,25034000,100477000,358373000,8735000,5649000,3086000,10235000,1056000,1056000,11291000,242942000,104156000,-16000,347082000,347082000,358373000,-14000,558000,3456000,-64673000,-60673000,-389000,-388999.999999762,-412082000,-412082000,-412082000,-473144000,-473144000,89999.9999999999,-473054000,-1613000,0,-3.9999999999929e-05,-4.0000000000151e-05,25.19746,0.03253,0,-0.000389999999999446,-0.000390000000001223,9.59599,-3.9999999999818e-05,149.74582,111.25749
"21","2020_Q3",14.996875,"Up",-8811000,-6246000,-2565000,-6514000,-662000,-465000,-7176000,-7176000,-6844000,-6844000,-6844000,-6844000,229703000,229703000,8007000,802000,258389000,24882000,100373000,358762000,12636000,5240000,7396000,14136000,1056000,1056000,15192000,246395000,97312000,-137000,343570000,343570000,358762000,-6844000,546000,3175000,-8445000,-11568000,-426000,-426000,340000,340000,278000,-11716000,-11716000,-121000,-11837000,-5968000,0,-0.01992,-0.01908,18.27879,0.04422,0,-0.23718,-0.23718,11.90633,-0.01986,38.48911,35.26297
"22","2020_Q4",16.01484375,"Up",-5793000,-3447000,-2346000,-4669000,1476000,1352000,-3193000,-3193000.00000003,-2525000.00000003,-2525000.00000003,-2525000.00000003,-2525000.00000003,238431000,238431000,7192000,439000,251685000,26207000,101708000,353393000,6198000,3870000,2328000,6198000,1056000,1056000,7254000,251781000,94786000,-428000,346139000,346139000,353393000,-2525000.00000003,548000,3156000,6304000.00000001,7483000,-694000,-694000.00000003,2168000,2168000,2229999.99999994,9019000,9019000,-291000,8728000,-4121000,0,-0.00729,-0.00715000000000003,40.60745,0.02096,0,-0.0870300000000004,-0.0870300000000002,11.93101,-0.00727000000000001,57.85756,51.06682
"23","2021_Q1",16.2219672131148,"Up",-7943000,-4482000,-3461000,-4922000,2830000,2702000,-2092000,-2092000,-1838000,-1838000,-1838000,-1838000,237366000,237366000,84396000,582000,325875000,27336000,27869000,353744000,3984000,2491000,1351000,3984000,1121000,1121000,5105000,249805000,97568000,1266000,348639000,348639000,353744000,-1838000,586000,2794000,-1933000,-391000,-2218000,-2218000,-150000,-150000,-150000,-2759000,-2759000,1694000,-1065000,-4336000,0,-0.00527,-0.0052,81.79593,0.01464,0,-0.06282,-0.06282,11.91661,-0.00526,54.74308,48.22552
"24","2021_Q2",14.7371428571429,"Down",-6099000,-1465000,-4634000,-3553000,508000,409000,-3045000,-3045000,-2568000,-2568000,-2568000,-2568000,239879000,239879000,86332000,6288000,327899000,27508000,28041000,355940000,2721000,1238000,1341000,2721000,1121000,1121000,3842000,255513000,9.5e+07,1585000,352098000,352098000,355940000,-2568000,621000,936000,2820000,1809000,-637000,-636999.999999998,1022000,1022000,1022000,2194000,2194000,319000,2512999.99999999,-2932000,0,-0.00729,-0.00721,120.5068,0.01091,0,-0.08728,-0.08728,11.96647,-0.00727,81.81412,67.51449
"25","2021_Q3",15.6115625,"Up",-13770000,-4516000,-9254000,-10605000,915000,793000,-9690000,-9690000,-5118000,-5118000,-5118000,-5118000,315258000,315258000,9580000,382000,324863000,28451000,29093000,353956000,3891000,1491000,1681000,3891000,1501000,1501000,5392000,256779000,89882000,1903000,348564000,348564000,353956000,-5118000,638000,1040000,76237000,72797000,-1712000,-1712000,3976000,3976000,3976000,75061000,75061000,318000,75379000,-9967000,0,-0.01468,-0.01446,83.49088,0.01547,0,-0.17394,-0.17394,11.84636,-0.01462,31.63018,29.7273
"26","2021_Q4",13.0159375,"Down",-7140000,-1541000,-5599000,-3731000,-1324000,-1328000,-5055000,-5055000,-3261000,-3261000,-3261000,-3261000,238877000,238877000,11316000,375000,250237000,28640000,29282000,279519000,3861000,1012000,1643000,3861000,1501000,1501000,5362000,260876000,11618000,1663000,274157000,274157000,279519000,-3261000,687000,1133000,-1961000.00000001,-3402000.00000001,-7e+05,-7e+05,2964000,2964000,-72039000,-76141000,-76141000,-240000,-76381000,-3044000,0,-0.01189,-0.01167,64.81145,0.01956,0,-0.10899,-0.10899,9.16268,0.26026,78.4747,64.02493
"27","2022_Q1",10.0327419354839,"Down",-10647000,-1866000,-8781000,-7193000,-475000,-585000,-7668000,-7668000,-6467000,-6467000,-6467000,-6467000,236983000,236983000,9887000,934000,246870000,28307000,28307000,275177000,3453000,2069000,1374000,3453000,2339000,2339000,5792000,262263000,5151000,1971000,269385000,269385000,275177000,-6467000,702000,1354000,2652000,-1759000,-476000,-476000,33000,33000,33000,-2202000,-2202000,308000,-1894000,-6491000,0,-0.02401,-0.0235,71.49435,0.0215,0,-0.20463,-0.20463,8.5241,-0.0238,36.50947,32.94634
"28","2022_Q2",6.72790322580645,"Down",-8132000,-1314000,-6818000,-7845000,1391000,1290000,-6454000,-6454000,-5395000,-5395000,-5395000,-5395000,231821000,231821000,10659000,632000,242980000,27823000,27823000,270803000,2891000,1323000,1568000,2891000,2352000,2352000,5243000,263711000,-243999.999999998,2093000,265560000,265560000,270803000,-5395000,710000,1448000,-1886000,-5123000,-161000,-161000,-1157171.54721527,-1157171.54721527,466983704.515575,-5283999.99999999,-5283999.99999999,122000,-5162000.00000001,-7135000,0,-0.02032,-0.01992,84.04704,0.01974,0,-0.17781,-0.17781,8.75238,-0.02014,32.49068,29.55016
"29","2022_Q3",4.7071875,"Down",-13419000,-3023000,-10396000,-12096000,-2157000,-2280000,-14253000,-14253000,-11644000,-11644000,-11644000,-11644000,225793000,225793000,12971000,545000,238764000,27276000,27698000,266462000,8235000,2454000,5588000,8235000,2432000,2432000,10667000,265159000,-11888000,2524000,255795000,255795000,266462000,-11644000,727000,1448000,3092000,-6377000,-82000,-82000,1440485.35835419,1440485.35835419,1555869113.54672,-6459000,-6459000,431000,-6028000,-11369000,0,-0.04552,-0.0437,28.99381,0.0417,0,-0.38253,-0.38253,8.40345,-0.04509,19.86041,18.66675
