"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",14.1225806451613,"Down",10468700000,-9456600000,1012100000,-244600000,-203200000,767500000,-177200000,-199400000,-199700000,2.1e+07,1200000,590300000,590300000,-2400000,587900000,587900000,-1100000,586800000,586800000,14500000,14500000,4389400000,4389400000,1069200000,4.2e+08,390800000,29200000,5893100000,24311500000,5073200000,1596100000,2092300000,1160400000,224400000,29384700000,35277800000,5417900000,798600000,188200000,4431100000,1.2e+09,617900000,617900000,7235800000,14747200000,236900000,20800000,216100000,14984100000,22219900000,13337900000,-388300000,12949600000,108300000,13057900000,35277800000,587900000,280200000,33500000,-624100000,277500000,-884100000,-226300000,-34800000,-1145200000,286800000,581400000,867700000,0,0,0,1047700000,15947200000,-458100000,0.09668,0.07331,0.05605,0.04494,0.01663,-0.78067,0.81444,1.70164,0.45205,0.32915,0.32915,5.87206,7.26363,-0.25696,4,0.02007,-0.01567,15.20731,20.75922
"12","2013_Q1",15.414,"Up",11072100000,-10038800000,1033300000,-232700000,-192600000,800600000,-176900000,-198900000,-1.99e+08,22100000,-1e+05,623700000,623700000,-6300000,617400000,617400000,-1900000,615500000,615500000,16099999.9999999,16099999.9999999,4350900000,4350900000,1088400000,387700000,380900000,6799999.99999999,5843100000,24846400000,5244900000,1566800000,2086800000,1394600000,196700000,30091300000,35934400000,5668600000,764500000,300800000,4603300000,1546600000,540500000,540500000,7755700000,14655200000,227500000,22500000,2.05e+08,14882700000,22638400000,13558100000,-370400000,13187700000,108300000,1.3296e+10,35934400000,617400000,2.87e+08,51100000,319600000,1275100000,-869200000,-257700000,3099999.99999999,-1123800000,-303900000,134600000,-149700000,1599999.99999994,1599999.99999994,1599999.99999994,1087600000,16201800000,544300000,0.09332,0.07231,0.05559,0.04629,0.01713,0.88432,0.75339,1.70265,0.45087,0.34088,0.34088,6.13209,7.30378,0.30145,4,0.02071,0.01831,14.88203,20.21696
"13","2013_Q2",16.855625,"Up",11383100000,-10206200000,1176900000,-263700000,-214200000,913200000,-151500000,-195700000,-195900000,44500000,-3e+05,761700000,761700000,-6400000,755300000,755300000,-1800000,753500000,753500000,1280300000,1280300000,4502200000,4502200000,1159100000,426700000,355900000,70800000,7368300000,25222500000,5510600000,1539800000,2086100000,1.679e+09,205700000,30733100000,38101400000,5981200000,790900000,185700000,5004600000,1.15e+09,387400000,387400000,7518600000,16393700000,198900000,16100000,182800000,16592600000,24111200000,14280600000,-398100000,13882500000,107700000,13990200000,38101400000,755300000,2.92e+08,-52600000,5200000,999900000,-492400000,-291400000,-63400000,-847200000,601600000,509900000,1111500000,1264200000,1264200000,1264200000,1205200000,17543700000,724400000,0.10339,0.08022,0.06619,0.05386,0.01978,0.96138,0.98001,1.72343,0.46045,0.41356,0.41356,6.24759,7.61937,0.39759,6,0.02375,0.02283,13.49436,17.80924
"14","2013_Q3",17.19390625,"Up",11149300000,-1.0143e+10,1006300000,-269700000,-224200000,736600000,-162900000,-199900000,-200200000,37600000,-6e+05,573700000,573700000,-20400000,553300000,553300000,-8e+05,552500000,552500000,45299999.9999998,45299999.9999998,4651500000,4651500000,1411400000,471800000,425700000,46100000,6.58e+09,25566100000,5730800000,1513200000,2.08e+09,1938800000,198800000,31296900000,37876900000,5993400000,777400000,303600000,4912400000,5.4e+08,339700000,339700000,6873100000,16429600000,221400000,37200000,184200000,1.6651e+10,23524100000,14518900000,-3.63e+08,14155900000,196900000,14352800000,37876900000,553300000,307800000,84500000,-414600000,5.31e+08,-740800000,-256500000,41900000,-955400000,-1159400000,348800000,-810600000,-1.235e+09,-1.235e+09,-1.235e+09,1044400000,16969600000,-90600000,0.09026,0.06607,0.04955,0.03849,0.01459,-0.16398,0.95736,1.63899,0.44802,0.30076,0.30076,6.0693,7.70599,-0.04932,4,0.01752,-0.00287,16.20481,22.97624
"15","2013_Q4",17.71203125,"Up",12093300000,-11055300000,1.038e+09,-262100000,-218200000,775900000,-163700000,-208100000,-208300000,4.4e+07,4e+05,612200000,612200000,-19400000,592800000,592800000,-8e+05,5.92e+08,5.92e+08,9600000,9600000,5469100000,5469100000,1862400000,429800000,381100000,48700000,7770900000,26453900000,5900200000,1487600000,2.08e+09,2134500000,198100000,32354100000,4.0125e+10,7277800000,1040300000,168200000,6069300000,1049900000,396100000,396100000,8723800000,16481600000,237400000,5.5e+07,182400000,1.6719e+10,25442800000,14821400000,-349300000,14472100000,210100000,14682200000,4.0125e+10,592800000,302500000,46600000,-106600000,835300000,-903800000,-220500000,-10600000,-1134900000,-41700000,305600000,263900000,-35700000,-35700000,-35700000,1078400000,17531500000,87400000,0.08583,0.06416,0.04895,0.04032,0.01475,0.14764,0.89077,1.7329,0.43692,0.32069,0.32069,6.55108,7.83971,0.04735,6,0.01824,0.00269,16.24805,22.58268
"16","2014_Q1",19.056393442623,"Up",13101300000,-11896300000,1.205e+09,-330700000,-281300000,874300000,-157300000,-198800000,-198100000,41200000,3e+05,7.17e+08,7.17e+08,-11300000,705700000,705700000,-6800000,698900000,698900000,56900000.0000001,56900000.0000001,5475500000,5475500000,1093100000,397900000,325500000,72400000,7023400000,26946600000,6168700000,1462200000,2.08e+09,2437100000,189400000,33115300000,40138700000,6787200000,723700000,304300000,5759200000,1.125e+09,326500000,326500000,8238700000,16226500000,233100000,60800000,172300000,16459600000,24698300000,15573800000,-3.59e+08,15214800000,225600000,15440400000,40138700000,705700000,315300000,5.3e+07,425300000,1499300000,-964600000,-325700000,-29700000,-1.32e+09,-797400000,665400000,-1.32e+08,47300000.0000002,47300000.0000002,47300000.0000002,1189600000,17351500000,661600000,0.09198,0.06673,0.05335,0.04526,0.01741,0.94663,0.85249,1.59959,0.43229,0.37466,0.37466,7.02332,8.15632,0.35467,7,0.02116,0.02003,14.53816,19.78108
"17","2014_Q2",21.4257142857143,"Up",12909900000,-11618400000,1291500000,-315300000,-262100000,976200000,-164700000,-220900000,-220900000,56500000,-3e+05,811500000,811500000,-4800000,806700000,806700000,-7900000,798800000,798800000,988400000,988400000,4988100000,4988100000,977900000,378800000,3.3e+08,48800000,7333200000,27262500000,6394800000,1434400000,2079900000,2706400000,174100000,33657300000,40990500000,6426200000,750500000,172100000,5503600000,9e+08,295800000,295800000,7.622e+09,17467800000,238700000,60600000,178100000,17706500000,25328500000,15783200000,-344300000,15438900000,223100000,1.5662e+10,40990500000,806700000,319900000,-65400000,342900000,1404100000,-599100000,-284700000,22300000,-861500000,382300000,6600000,388900000,931500000,931500000,931500000,1296100000,18367800000,1044700000,0.10004,0.07562,0.06187,0.051,0.01949,1.30784,0.96211,1.61719,0.4481,0.42582,0.42582,6.88198,8.23013,0.55691,5,0.02331,0.03049,13.409,17.80311
"18","2014_Q3",22.99984375,"Up",12520800000,-11382400000,1138400000,-304400000,-256700000,8.34e+08,-177500000,-228900000,-228900000,50300000,1100000,656500000,656500000,-1e+07,646500000,646500000,-8800000,637700000,637700000,2.42e+08,2.42e+08,5393500000,5393500000,1318300000,518100000,405100000,1.13e+08,7471900000,27554700000,6544700000,1414900000,2079900000,2879300000,170600000,34099400000,41571300000,6746100000,705900000,319600000,5720600000,1.3e+09,423800000,423800000,8469900000,17062900000,236100000,61200000,174900000,1.7299e+10,25768900000,15930800000,-354200000,15576600000,225800000,15802400000,41571300000,646500000,331100000,32400000,-542200000,467800000,-460200000,-214100000,-19100000,-693400000,-650400000,129600000,-520800000,-746400000,-746400000,-746400000,1165100000,18362900000,172700000,0.09092,0.06661,0.05093,0.04035,0.01534,0.27082,0.88217,1.6307,0.44172,0.33911,0.33911,6.65823,8.28322,0.09184,6,0.01854,0.00502,15.55309,21.7277
"19","2014_Q4",21.87390625,"Down",12330200000,-11198100000,1132100000,-266700000,-216700000,865400000,-158500000,-229800000,-229800000,72300000,-1e+06,706900000,706900000,-7700000,699200000,699200000,-8100000,691100000,691100000,1061600000,1061600000,5320800000,5320800000,1589500000,393600000,384400000,9200000,8365500000,27963300000,6576700000,1391100000,2079900000,2938300000,167400000,3.454e+10,42905500000,6587700000,7.28e+08,172500000,5687200000,1939900000,444200000,444200000,8971800000,17706500000,245300000,63200000,182100000,17951800000,26923600000,16063600000,-306100000,15757500000,224400000,15981900000,42905500000,699200000,341400000,36400000,-244500000,832500000,-678700000,-84500000,5e+07,-713200000,628700000,71600000,700300000,819600000,819600000,819600000,1206800000,19646400000,291300000,0.09182,0.07019,0.05605,0.04324,0.01611,0.4215,0.93242,1.68463,0.4579,0.3669,0.3669,6.54608,8.36563,0.15465,6,0.01926,0.00812,15.40007,21.47539
"20","2015_Q1",20.0398360655738,"Down",10190300000,-9029500000,1160800000,-320200000,-256600000,840600000,-158900000,-241400000,-241400000,80400000,2100000,681700000,681700000,-6e+05,681100000,681100000,-21300000,659800000,659800000,74400000,74400000,3.823e+09,3.823e+09,1014200000,579100000,350300000,2800000,5490700000,29881600000,11828700000,4302100000,4300200000,3.042e+09,184400000,41710300000,4.7201e+10,5081500000,773800000,335500000,3972200000,2206400000,585800000,585800000,7873700000,19157400000,477700000,66600000,411100000,19635100000,27508800000,18304800000,-241600000,18063200000,1.629e+09,19692200000,4.7201e+10,681100000,368100000,50200000,358400000,1457800000,-980700000,-2555900000,6800000,-3529800000,1045200000,39600000,1084800000,-987200000,-987200000,-987200000,1208700000,21363800000,5.87e+08,0.11391,0.08249,0.06475,0.03351,0.01398,0.88966,0.69735,1.39694,0.45261,0.33996,0.33996,5.25057,9.30709,0.30245,4,0.01589,0.01413,17.61347,25.32643
"21","2015_Q2",19.7968253968254,"Down",7472500000,-6384300000,1088200000,-281400000,-232100000,806800000,-149400000,-239100000,-239100000,89200000,5e+05,657400000,657400000,-6800000,650600000,650600000,-14500000,636100000,636100000,81100000,81100000,2985100000,2985100000,855400000,513200000,481600000,31600000,4434800000,30367600000,11702900000,2804100000,5.654e+09,3064900000,179900000,42070500000,46505300000,4.019e+09,704500000,1.8e+08,3134500000,1399800000,457100000,457100000,5875900000,20192200000,379100000,6.8e+07,311100000,20571300000,26447200000,20098900000,-263200000,19835700000,222400000,20058100000,46505300000,650600000,367400000,79900000,-143900000,9.54e+08,-792700000,-68300000,-28100000,-889100000,-475700000,417500000,-58200000,6700000,6700000,6700000,1174200000,2.1592e+10,244400000,0.14563,0.10797,0.08513,0.03171,0.01368,0.38422,0.75474,1.31853,0.46429,0.32344,0.32344,3.79951,10.08578,0.12427,4,0.01513,0.00582,18.31962,26.662
"22","2015_Q3",16.98203125,"Down",7092500000,-6090400000,1002100000,-3.12e+08,-267100000,690100000,-129900000,-240400000,-240400000,110200000,3e+05,560200000,548700000,7900000,556600000,556600000,-5600000,5.51e+08,5.51e+08,551100000,551100000,3346100000,3346100000,999800000,2281800000,522600000,48500000,7178800000,29783800000,11196800000,2733500000,5664800000,2607200000,191300000,40980600000,48159400000,4495900000,790300000,3.5e+08,3355600000,1400100000,570100000,570100000,6466100000,20892900000,437200000,5.5e+07,382200000,21330100000,27796200000,20404200000,-278600000,20125600000,237600000,20363200000,48159400000,556600000,407500000,89200000,-105700000,947600000,-831600000,-45800000,-22800000,-900200000,-31700000,454300000,422600000,4.7e+08,4.7e+08,4.7e+08,1097600000,2.2293e+10,152400000,0.14129,0.0973,0.07769,0.02706,0.01144,0.27659,1.11022,1.36502,0.4629,0.27521,0.27521,3.54253,10.05225,0.07612,5,0.01279,0.00354,19.80858,31.50543
"23","2015_Q4",16.12875,"Down",6307900000,-5167900000,1.14e+09,-333700000,-284700000,806300000,-138800000,-243700000,-243700000,103100000,1800000,667500000,663200000,-5500000,657700000,657700000,-8400000,649300000,649300000,80500000,80500000,2.802e+09,2.802e+09,1085400000,692100000,402400000,47900000,4.66e+09,31214100000,12653700000,4082100000,5749200000,2625300000,197100000,43867800000,48527800000,4669700000,844900000,198900000,3625900000,1619400000,589800000,589800000,6878900000,20840700000,455300000,53400000,401900000,2.1296e+10,28174900000,20392800000,-230700000,20162100000,190800000,20352900000,48527800000,657700000,372800000,29900000,-370800000,689600000,542500000,-1061700000,3e+05,-518900000,-708800000,67500000,-641300000,-470600000,-470600000,-470600000,1179100000,22460100000,1356300000,0.18073,0.12782,0.10293,0.0319,0.01338,2.08886,0.67743,1.38432,0.46283,0.32295,0.32295,3.13748,10.0284,0.67461,4,0.01501,0.03135,18.98024,27.75592
"24","2016_Q1",14.7075409836066,"Down",6.155e+09,-4945600000,1209400000,-3.46e+08,-296600000,863400000,-167200000,-238600000,-238600000,71100000,3e+05,696200000,686600000,6900000,693500000,693500000,-8700000,684800000,684800000,1.9e+07,1.9e+07,2569900000,2569900000,1038100000,671300000,395600000,17100000,4298300000,32034700000,12469200000,4037200000,5745200000,2628500000,58300000,44503900000,48802200000,4773900000,860100000,352100000,3561700000,1863900000,528800000,388200000,7166600000,20676900000,457600000,46100000,411500000,21134500000,28301100000,20514300000,-219200000,20295100000,2.06e+08,20501100000,48802200000,693500000,368300000,47100000,302300000,1411200000,-1121200000,-43300000,46800000,-1117700000,-521300000,182200000,-339100000,-45600000.0000001,-45600000.0000001,-45600000.0000001,1231700000,22540800000,405900000,0.19649,0.14028,0.11126,0.0334,0.01403,0.59273,0.59977,1.38047,0.46188,0.33983,0.33983,3.05444,10.07151,0.20143,5,0.01574,0.00932999999999999,18.28513,26.08501
"25","2016_Q2",17.2146875,"Up",5005300000,-3866300000,1.139e+09,-324500000,-280600000,814500000,-135900000,-240600000,-240600000,101100000,3600000,678600000,678600000,-8400000,670200000,670200000,-9e+06,661200000,661200000,160600000,160600000,2449400000,2449400000,1232100000,750500000,377600000,1.38e+08,4592600000,32673300000,12471500000,3990900000,5745200000,2684100000,51300000,45144800000,49737400000,4661400000,743500000,193900000,3.724e+09,835900000,516100000,516100000,6013400000,21919800000,457900000,50200000,407700000,22377700000,28391100000,21397400000,-268500000,21128900000,217400000,21346300000,49737400000,670200000,382100000,16300000,-168900000,899700000,-981600000,-70400000,-111900000,-1163900000,-587100000,992900000,405800000,141600000,141600000,141600000,1196600000,22755700000,54500000,0.22756,0.16273,0.1321,0.03097,0.01329,0.08243,0.76373,1.33002,0.45752,0.32404,0.32404,2.45298,10.35477,0.02671,5,0.01484,0.00122,18.88275,27.74107
