"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2019_Q4",30.6971875,"Up",1.1598e+10,-7.32e+09,4.278e+09,-2.585e+09,-1.741e+09,-8.44e+08,1.693e+09,-2.73e+08,-6.44e+08,-4.3e+07,3.33e+08,8.1e+07,1.42e+09,1.315e+09,-2.55e+08,1.06e+09,1.06e+09,-1.5e+07,1.045e+09,-9.6e+07,9.49e+08,8.15e+08,8.15e+08,5.833e+09,5.833e+09,1.261e+09,1.46e+08,1.46e+08,8.055e+09,9.4379e+10,1.6831e+10,4.7376e+10,2.216e+09,3.3668e+10,1.213e+09,1.0279e+10,1.58586e+11,1.66641e+11,7.743e+09,7.177e+09,5.66e+08,5.805e+09,1.3548e+10,6.0879e+10,1.9538e+10,1.0105e+10,9.433e+09,8.0417e+10,9.3965e+10,7.747e+09,6.4941e+10,-3.932e+09,5.31e+08,6.9287e+10,3.389e+09,7.2676e+10,1.66641e+11,1.06e+09,8.44e+08,6.03e+08,2.28e+08,2.735e+09,-1.179e+09,-3.18e+08,-7.5e+07,-1.572e+09,-1.6e+09,6.51e+08,0,0,-1.17e+08,-1.066e+09,9.7e+07,9.7e+07,8e+06,1.05e+08,2.537e+09,6.6684e+10,1.841e+09,0.36886,0.14597,0.08182,0.01306,0.00569,1.93994,0.59455,1.29293,0.40017,0.4705,0.4698,5.75012,30.51066,0.91274,0.79326,0.01604,0.01159,1.68599,25.96334,38.90667
"12","2020_Q1",30.8941935483871,"Up",1.2352e+10,-7.471e+09,4.881e+09,-2.795e+09,-1.93e+09,-8.65e+08,2.086e+09,-1.21e+08,-6.97e+08,1.66e+08,3.44e+08,6.6e+07,1.965e+09,1.347e+09,-4.33e+08,9.14e+08,9.14e+08,-7.2e+07,8.42e+08,-9.6e+07,7.46e+08,6.48e+08,6.48e+08,6.669e+09,6.669e+09,1.299e+09,9.7e+07,9.7e+07,8.713e+09,9.3723e+10,1.6528e+10,4.4193e+10,2.173e+09,3.3153e+10,1e+09,7.867e+09,1.54444e+11,1.63157e+11,1.0596e+10,9.972e+09,6.24e+08,5.302e+09,1.5898e+10,5.9661e+10,1.8191e+10,9.867e+09,8.324e+09,7.7852e+10,9.375e+10,7.747e+09,6.4933e+10,-6.314e+09,-3.23e+08,6.6043e+10,3.364e+09,6.9407e+10,1.63157e+11,9.14e+08,8.65e+08,2.2e+07,1.92e+08,1.993e+09,4.82e+08,1.018e+09,-1.129e+09,3.71e+08,-1.589e+09,-9.63e+08,0,0,-6.9e+07,-2.621e+09,-2.57e+08,-2.57e+08,6.1e+07,-1.96e+08,2.951e+09,6.4963e+10,4.058e+09,0.39516,0.16888,0.0604,0.01075,0.00457,5.43968,0.54806,1.35073,0.39816,0.36949,0.36912,6.11788,28.8737,2.00991,0.78702,0.01531,0.0266,2.13003,21.79431,30.83174
"13","2020_Q2",26.062380952381,"Down",1.2013e+10,-8.018e+09,3.995e+09,-2.482e+09,-1.6e+09,-8.82e+08,1.513e+09,-1.69e+09,-7.06e+08,-9.56e+08,1.63e+08,-1.91e+08,-1.77e+08,-1.913e+09,5.49e+08,-1.364e+09,-1.364e+09,3.1e+07,-1.333e+09,-9.6e+07,-1.429e+09,7.99e+08,7.99e+08,6.574e+09,6.574e+09,6.99e+08,7.9e+07,7.9e+07,8.151e+09,9.8483e+10,1.5986e+10,4.7634e+10,2.239e+09,3.5549e+10,1.248e+09,8.598e+09,1.62103e+11,1.70254e+11,8.932e+09,8.317e+09,6.15e+08,5.056e+09,1.3988e+10,6.3571e+10,2.0404e+10,9.905e+09,1.0499e+10,8.3975e+10,9.7963e+10,7.747e+09,6.4962e+10,-7.808e+09,3.942e+09,6.8843e+10,3.448e+09,7.2291e+10,1.70254e+11,-1.364e+09,8.82e+08,3.097e+09,1.94e+08,2.809e+09,-1.216e+09,-8.7e+07,3.3e+07,-1.27e+09,-1.737e+09,4.29e+08,1e+06,1e+06,-7.9e+07,-1.386e+09,1.53e+08,1.53e+08,1.1e+07,1.64e+08,2.395e+09,6.8627e+10,8.24e+08,0.33256,0.12595,-0.11895,-0.01977,-0.00839,-0.57663,0.58271,1.35512,0.40309,-0.70778,-0.70708,5.94998,30.26053,0.40812,0.86033,0.00191,0.00511,-1.21554,28.32067,44.83014
"14","2020_Q3",27.1871875,"Up",7.956e+09,-3.108e+09,4.848e+09,-2.75e+09,-1.801e+09,-9.49e+08,2.098e+09,2.7e+08,-6.81e+08,5.26e+08,3.27e+08,9.8e+07,2.368e+09,2.368e+09,-5.91e+08,1.777e+09,1.777e+09,-3.6e+07,1.741e+09,-9.4e+07,1.647e+09,4.62e+08,4.62e+08,5.461e+09,5.461e+09,9.61e+08,7.3e+07,7.3e+07,6.957e+09,9.6302e+10,1.5352e+10,4.6083e+10,2.158e+09,3.4387e+10,1.105e+09,8.433e+09,1.57737e+11,1.64694e+11,7.988e+09,7.344e+09,6.44e+08,3.452e+09,1.144e+10,6.368e+10,1.9633e+10,1.0128e+10,9.505e+09,8.3313e+10,9.4753e+10,7.747e+09,6.497e+10,-7.797e+09,1.706e+09,6.6626e+10,3.315e+09,6.9941e+10,1.64694e+11,1.777e+09,9.49e+08,-2.19e+08,-9.1e+07,2.416e+09,-9.95e+08,-2.48e+08,2.47e+08,-9.96e+08,-1.733e+09,9.3e+07,2e+06,2e+06,-1e+08,-1.738e+09,-3.18e+08,-3.18e+08,-2.5e+07,-3.43e+08,3.047e+09,6.7132e+10,2.552e+09,0.60935,0.2637,0.20701,0.02355,0.01,1.54948,0.60813,1.35476,0.40762,0.81575,0.81494,3.94056,29.16246,1.26399,0.85835,0.02157,0.01629,1.05222,21.88054,31.77788
"15","2020_Q4",26.82609375,"Down",9.11e+09,-4.526e+09,4.584e+09,-2.489e+09,-1.554e+09,-9.35e+08,2.095e+09,-1.45e+08,-7.18e+08,1.73e+08,3.15e+08,8.5e+07,1.95e+09,1.335e+09,-2.31e+08,1.104e+09,1.104e+09,-2e+07,1.084e+09,-9.4e+07,9.9e+08,6.57e+08,6.57e+08,4.333e+09,4.333e+09,1.368e+09,6.6e+07,6.6e+07,6.424e+09,9.599e+10,1.4513e+10,4.5561e+10,2.122e+09,3.3832e+10,9.91e+08,8.616e+09,1.56064e+11,1.62488e+11,7.013e+09,6.385e+09,6.28e+08,4.585e+09,1.1598e+10,6.2967e+10,1.9488e+10,1.0235e+10,9.253e+09,8.2455e+10,9.4053e+10,7.747e+09,6.5029e+10,-8.442e+09,8.7e+08,6.5204e+10,3.231e+09,6.8435e+10,1.62488e+11,1.104e+09,9.35e+08,1.53e+08,1.1e+08,2.302e+09,-1.468e+09,-7.8e+07,1.68e+08,-1.378e+09,-1.734e+09,1.097e+09,0,0,-8.4e+07,-7.21e+08,2.03e+08,2.03e+08,-8e+06,1.95e+08,3.03e+09,6.7552e+10,1.903e+09,0.50318,0.22997,0.10867,0.01447,0.00609,1.92222,0.55389,1.37434,0.41574,0.49034,0.48986,4.51213,28.45815,0.94255,0.85884,0.01752,0.01224,1.75152,22.07756,31.93079
"16","2021_Q1",31.6196721311475,"Up",1.0008e+10,-5.017e+09,4.991e+09,-2.74e+09,-1.794e+09,-9.46e+08,2.251e+09,1.66e+08,-6.85e+08,4.38e+08,3.31e+08,8.2e+07,2.417e+09,2.4e+09,-5.01e+08,1.899e+09,1.899e+09,-2.8e+07,1.871e+09,-9.6e+07,1.775e+09,4.52e+08,4.52e+08,5.258e+09,5.258e+09,1.536e+09,1.04e+08,1.04e+08,7.35e+09,9.4571e+10,1.3818e+10,4.4537e+10,2.08e+09,3.2688e+10,7.7e+08,8.999e+09,1.52926e+11,1.60276e+11,9.901e+09,9.25e+09,6.51e+08,4.078e+09,1.3979e+10,6.2819e+10,1.9115e+10,1.0332e+10,8.783e+09,8.1934e+10,9.5913e+10,7.747e+09,6.5045e+10,-9.995e+09,-1.43e+09,6.1367e+10,2.996e+09,6.4363e+10,1.60276e+11,1.899e+09,9.46e+08,-4.71e+08,-1.2e+08,2.254e+09,-1.676e+09,4.13e+08,-2.46e+08,-1.533e+09,-1.736e+09,9.13e+08,2e+06,2e+06,-1.04e+08,-9.25e+08,-2.04e+08,-2.04e+08,2e+06,-2.02e+08,3.197e+09,6.6897e+10,1.902e+09,0.4987,0.22492,0.17736,0.02758,0.01107,1.07155,0.52579,1.49019,0.41739,0.87784,0.87741,4.94955,26.5183,0.94065,0.85856,0.02335,0.01265,0.97803,20.78355,29.51799
"17","2021_Q2",35.4355555555556,"Up",1.2137e+10,-7.148e+09,4.989e+09,-2.491e+09,-1.559e+09,-9.32e+08,2.498e+09,-1e+06,-6.57e+08,1.52e+08,3.95e+08,1.09e+08,2.497e+09,2.497e+09,-4.83e+08,2.014e+09,2.014e+09,-2.2e+07,1.992e+09,-9.2e+07,1.9e+09,4.65e+08,4.65e+08,6.227e+09,6.227e+09,8.53e+08,8.9e+07,8.9e+07,7.634e+09,9.5141e+10,1.3627e+10,4.4293e+10,2.219e+09,3.2365e+10,6.38e+08,9.071e+09,1.53061e+11,1.60695e+11,7.818e+09,7.229e+09,5.89e+08,5.108e+09,1.2926e+10,6.2688e+10,1.9093e+10,1.0733e+10,8.36e+09,8.1781e+10,9.4707e+10,7.747e+09,6.5096e+10,-8.093e+09,-1.692e+09,6.3058e+10,2.93e+09,6.5988e+10,1.60695e+11,2.014e+09,9.32e+08,3.6e+07,-4.18e+08,2.564e+09,-2.002e+09,376750031.025791,4.4e+07,-1.958e+09,-1.783e+09,1.417e+09,17402012.9902633,17402012.9902633,-1.99e+08,-5.65e+08,4.1e+07,4.1e+07,-7e+06,3.4e+07,3.43e+09,6.7796e+10,1.493e+09,0.41106,0.20582,0.15655,0.02879,0.01182,0.78579,0.59059,1.43522,0.42189,0.93966,0.9392,6.00247,27.3546,0.73838,0.8818,0.02409,0.00977,0.93842,19.63003,26.95396
"18","2021_Q3",36.7434375,"Up",1.0948e+10,-6.719e+09,4.229e+09,-2.413e+09,-1.484e+09,-9.29e+08,1.816e+09,-2.5e+07,-6.18e+08,1.59e+08,3.52e+08,8.2e+07,1.791e+09,1.791e+09,-2.7e+08,1.521e+09,1.521e+09,-3.7e+07,1.484e+09,-9e+07,1.394e+09,3.74e+08,3.74e+08,6.108e+09,6.108e+09,1.48e+09,2e+08,2e+08,8.162e+09,9.5273e+10,1.3358e+10,4.3934e+10,2.204e+09,3.2014e+10,5.67e+08,9.149e+09,1.52565e+11,1.60727e+11,8.401e+09,7.782e+09,6.19e+08,5.149e+09,1.355e+10,6.309e+10,1.9191e+10,1.0953e+10,8.238e+09,8.2281e+10,9.5831e+10,7.747e+09,6.5104e+10,-8.388e+09,-2.437e+09,6.2026e+10,2.87e+09,6.4896e+10,1.60727e+11,1.521e+09,9.29e+08,-1.6e+07,54999999.9999999,2.489e+09,-1.719e+09,-21804525.7108603,7.6e+07,-1.643e+09,-1.781e+09,9.7e+08,3000000.00000001,3000000.00000001,-9e+07,-8.98e+08,-51999999.9999999,-51999999.9999999,-1.3e+07,-65000000.0000001,2.745e+09,6.8239e+10,1.351e+09,0.38628,0.16588,0.12733,0.02148,0.00867,0.96915,0.60236,1.47669,0.42456,0.68942,0.68908,5.41444,26.84421,0.66815,0.88081,0.02084,0.00887,1.27762,24.72313,37.37059
"19","2021_Q4",37.95734375,"Up",1.1466e+10,-7.467e+09,3.999e+09,-2.611e+09,-1.667e+09,-9.44e+08,1.388e+09,-2.64e+08,-6.48e+08,-1.65e+08,4.4e+08,1.09e+08,1.124e+09,1.013e+09,-1.99e+08,8.14e+08,8.14e+08,-3.4e+07,7.8e+08,-9.8e+07,6.82e+08,4.51e+08,4.51e+08,6.378e+09,6.378e+09,1.495e+09,2.34e+08,2.34e+08,8.558e+09,9.8097e+10,1.3489e+10,4.4388e+10,2.212e+09,3.2573e+10,6.15e+08,8.988e+09,1.55974e+11,1.64532e+11,9.543e+09,8.924e+09,6.19e+08,5.898e+09,1.5441e+10,6.5036e+10,1.9393e+10,1.1277e+10,8.116e+09,8.4429e+10,9.987e+10,7.747e+09,6.5114e+10,-9.397e+09,-1.377e+09,6.2087e+10,2.575e+09,6.4662e+10,1.64532e+11,8.14e+08,9.44e+08,8.48e+08,-7.05e+08,1.901e+09,-1.817e+09,-2.41e+08,1.64e+08,-1.894e+09,-1.784e+09,1.912e+09,0,0,-8.7e+07,4.1e+07,4.8e+07,4.8e+07,8e+06,5.6e+07,2.332e+09,7.0934e+10,9e+06,0.34877,0.12105,0.05948,0.01055,0.00415,0.0132,0.55424,1.54449,0.43113,0.34,0.33662,5.71619,27.09032,0.00449,0.88938,0.01591,5.99999999999993e-05,2.61584,30.22427,50.78026
"20","2022_Q1",41.2261290322581,"Up",1.252e+10,-7.368e+09,5.152e+09,-3.049e+09,-2.002e+09,-1.047e+09,2.103e+09,6e+06,-7.32e+08,1.4e+08,5.24e+08,7.4e+07,2.109e+09,2.428e+09,-4.63e+08,1.965e+09,1.965e+09,-3.2e+07,1.933e+09,-9.3e+07,1.84e+09,2.86e+08,2.86e+08,6.862e+09,6.862e+09,1.67e+09,1.41e+08,1.41e+08,8.959e+09,1.00067e+11,1.3324e+10,4.6514e+10,4.008e+09,3.2775e+10,4.88e+08,9.243e+09,1.59905e+11,1.68864e+11,1.055e+10,9.857e+09,6.93e+08,7.679e+09,1.8229e+10,6.7961e+10,1.9306e+10,1.1689e+10,7.617e+09,8.7267e+10,1.05496e+11,7.747e+09,6.5164e+10,-1.0989e+10,-1.096e+09,6.0826e+10,2.542e+09,6.3368e+10,1.68864e+11,1.965e+09,1.047e+09,-1.62e+08,-5.48e+08,2.302e+09,-1.292e+09,2.41e+08,-3.26e+08,-5.162e+09,-1.785e+09,4.823e+09,1999999.99999997,1999999.99999997,-3.82e+08,2.658e+09,-2.02e+08,-2.02e+08,7e+06,-1.95e+08,3.15e+09,0,1.773e+09,0.4115,0.16797,0.14696,0.0201938407198367,0.0076781723268281,0.96359,0.611559539671152,1.59461054471024,0.441557914910106,0.9173,0.90819,6.24164,27.1641123381681,0.8839,0.88988,0.01959710075986,0.00621530401763862,0.97011,26.3652129078573,41.999914379705
"21","2022_Q2",43.6516129032258,"Up",1.5097e+10,-9.747e+09,5.35e+09,-2.93e+09,-1.875e+09,-1.055e+09,2.42e+09,2.3e+08,-7.19e+08,3.69e+08,4.91e+08,8.9e+07,2.65e+09,2.65e+09,-5.93e+08,2.057e+09,2.057e+09,-2.8e+07,2.029e+09,-1.02e+08,1.927e+09,4.13e+08,4.13e+08,8.408e+09,8.408e+09,1.212e+09,2.61e+08,2.61e+08,1.0294e+10,9.9346e+10,1.3361e+10,4.639e+10,3.895e+09,3.2503e+10,2.75e+08,9.717e+09,1.59097e+11,1.69391e+11,9.229e+09,8.624e+09,6.05e+08,5.983e+09,1.5212e+10,7.049e+10,1.9416e+10,1.1985e+10,7.431e+09,8.9906e+10,1.05118e+11,7.01e+09,6.5117e+10,-9.082e+09,-1.308e+09,6.1737e+10,2.536e+09,6.4273e+10,1.69391e+11,2.057e+09,1.055e+09,7.9e+07,-2.52e+08,2.939e+09,-1.101e+09,1866722752.65747,-2.17e+08,-1.318e+09,-1.833e+09,1.294e+09,-7.98e+08,-7.98e+08,-1.46e+08,-1.483e+09,1.38e+08,1.38e+08,-4e+06,1.34e+08,3.475e+09,7.6473e+10,2.715e+09,0.35438,0.1603,0.12764,0.02998,0.01138,1.40893,0.6767,1.63549,0.45146,0.95208,0.95208,7.45899,27.03903,1.3414,0.90563,0.02348,0.01695,0.95122,21.88777,31.42975
"22","2022_Q3",42.665,"Down",1.3215e+10,-8.637e+09,4.578e+09,-3.058e+09,-1.994e+09,-1.064e+09,1.52e+09,-7.8e+08,-7.91e+08,-5.81e+08,5.1e+08,8.2e+07,7.4e+08,7.4e+08,-1.33e+08,6.07e+08,6.07e+08,-1.2e+07,5.95e+08,-1.45e+08,4.5e+08,1.045e+09,1.045e+09,7.545e+09,7.545e+09,1.546e+09,2.91e+08,2.91e+08,1.0427e+10,1.0129e+11,1.3687e+10,4.7412e+10,3.916e+09,3.3277e+10,3.16e+08,9.903e+09,1.62389e+11,1.72816e+11,9.167e+09,8.463e+09,7.04e+08,8.808e+09,1.7975e+10,7.0005e+10,2.0299e+10,1.25e+10,7.799e+09,9.0304e+10,1.08279e+11,6.818e+09,6.506e+10,-1.0418e+10,5.38e+08,6.1998e+10,2.539e+09,6.4537e+10,1.72816e+11,6.07e+08,1.064e+09,7.49e+08,1.14e+08,2.534e+09,-9.92e+08,5058868257.9724,1.9e+08,-8.02e+08,-1.825e+09,1.151e+09,-3.53e+08,-3.53e+08,-95000000.0000001,-1.122e+09,6.1e+08,6.1e+08,2.4e+07,6.34e+08,2.584e+09,7.8813e+10,1.839e+09,0.34642,0.11502,0.03405,0.00697,0.0026,4.08667,0.58008,1.67778,0.45605,0.22233,0.22233,6.52915,27.26285,0.9086,0.90168,0.0139,0.01124,4.05556,30.09598,51.16316
