"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","investment_income_loss","sale_of_loan_income_loss","commissions_fees_earned","other_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","short_long_term_investments","net_loans","reserve_for_loan_losses","total_loans","net_fixed_assets","goodwill","other_assets","total_assets","total_deposits","interest_bearing_deposits","other_deposits","short_term_debt","long_term_debt","other_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","capital_expenditures","net_change_in_investments","net_change_in_loans_interbank","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","net_change_in_deposits","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebit"
"11","2012_Q4",10.5183870967742,"Down",77082000,53108000,62015000,-8907000,23974000,-1232205.71670845,8728000,11939000,3307000,-2700000,74382000,-50178000,-50178000,24204000,24204000,24204000,-4760000,19444000,19444000,19444000,19444000,172399000,3586355000,3271434000,-136660000,3408094000,159386000,106100000,265706000,7632205000,5203097000,4023031000,1180066000,414836000,1042403000,81712000,6742048000,642456000,199845000,47856000,890157000,890157000,7632205000,19259000,-2395000,-2395000,-182425000,26734000,-158086000,-9352000,-40742000,220828000,170807000,31980000,31980000,31980000,1457239000,0.314,0.25225,0.02184,0.00255,7.574,0.19093,0.27031,0.27031,1.07158,12.37477,0.13001,0.00377,0.48097,53.08379
"12","2013_Q1",12.1506666666667,"Up",76894000,51501000,59666000,-8165000,25393000,-789232.405306316,9164000,11621000,4608000,-2275000,74619000,-48008000,-48008000,26611000,26611000,26611000,-5853000,20758000,20758000,20758000,20758000,187040000,3683005000,3266571000,-130854000,3397425000,158989000,106100000,276529000,7747440000,5364461000,4172528000,1191933000,289508000,1122431000,70091000,6846491000,642456000,210531000,47962000,900949000,900949000,7747440000,30837000,-2834000,-2834000,-105405000,-4481000,-112720000,-19420000,-45420000,161364000,96524000,14641000,14641000,14641000,1411939000,0.34607,0.26996,0.02304,0.00268,7.5992,0.18225,0.28856,0.28856,1.0689,12.52409,0.26996,0.00519,0.93554,46.0298
"13","2013_Q2",14.10875,"Up",73447000,50497000,57955000,-7458000,22950000,-136999.999999999,9089000,10586000,3412000,-2100000,71347000,-43434000,-43434000,27913000,27913000,27913000,-7145000,20768000,20768000,20768000,20768000,129057000,3658037000,3273010000,-130835000,3403845000,159224000,106100000,217548000,7609237000,5373215000,4192477000,1180738000,312505000,927458000,81779000,6694957000,643005000,221200000,50075000,914280000,914280000,7609237000,129060000,-2654000,-2654000,11620000,-34021000,-25055000,-17790467.3302811,-171732000,8754000,-161988000,-57983000,-57983000,-57983000,1239963000,0.38004,0.28276,0.02272,0.00273,7.32265,0.16295,0.28858,0.28839,1.02058,12.70439,0.247149559816654,0.00273,0.835922990250938,39.79888
"14","2013_Q3",17.6728125,"Up",78188000,54966000,62151000,-7185000,23222000,241000,7472000,11818000,3691000,-1078000,77110000,-48481000,-48481000,28629000,28629000,28629000,-5927000,22702000,22702000,22702000,22702000,132456000,3721377000,3542573000,-130883000,3673456000,161918000,119509000,234116000,7996816000,5358197000,4122093000,1236104000,300024000,1342935000,66658000,7067814000,672771000,232849000,23382000,929002000,929002000,7996816000,36921000,-513000,-513000,-58754000,-103102000,-150246000,-10099000,395742000,-270215000,116724000,3399000,3399000,3399000,1642959000,0.36616,0.29035,0.02444,0.00284,7.60796,0.20545,0.31321,0.31291,1.07871,12.81685,0.13933,0.0041,0.44485,52.76129
"15","2013_Q4",20.7503125,"Up",86218000,62345000,69531000,-7186000,23873000,-403000,7021000,13711000,3544000,-1907000,84311000,-50368000,-50368000,33943000,33943000,33943000,-8315000,25628000,25628000,25628000,25628000,254684000,3318953000,3870334000,-130765000,4001099000,168633000,129706000,205471000,8047930000,5612880000,4215479000,1397401000,314313000,1092908000,80022000,7100123000,690494000,247330000,9983000,947807000,947807000,8047930000,106622000,-3694000,-3694000,421272000,-129708000,301902000,-11054000,-235761000,-40298000,-286296000,122228000,122228000,122228000,1407221000,0.39369,0.29725,0.02704,0.00318,7.49111,0.17486,0.34649,0.34612,1.16567,12.81436,0.14945,0.00456,0.43133,33.95507
"16","2014_Q1",20.9988524590164,"Up",90012000,67010000,73939000,-6929000,23002000,0,4935000,13363000,4704000,-1802000,88210000,-53034000,-53034000,35176000,35176000,35176000,-8630000,26546000,26546000,26546000,26546000,155657000,3222829000,3932487000,-130351000,4062838000,167671000,129706000,180259000,7884350000,5579967000,4205548000,1374419000,313394000,965744000,61995000,6921100000,691662000,261943000,9645000,963250000,963250000,7884350000,61492000,-2116000,-2116000,93052000,-68300000,22636000,-23079000,-128163000,-32913000.0000001,-183155000,-99027000,-99027000,-99027000,1279138000,0.39079,0.29492,0.02756,0.00337,7.18515,0.16224,0.35702,0.35664,1.21059,12.95494,0.31039,0.00629,0.8694,31.93885
"17","2014_Q2",20.1968253968254,"Down",86835000,67447000,74087000,-6640000,19388000,-51000,3595000,12219000,3625000,-1122000,85713000,-50070000,-50070000,35643000,35643000,35643000,-8913000,26730000,26730000,26730000,26730000,161691000,3150656000,3957900000,-130729000,4088629000,166757000,129706000,171824000,7830723000,5624465000,4228193000,1396272000,327322000,812341000,81635000,6845763000,692941000,276731000,15288000,984960000,984960000,7830723000,53919000,-1771000,-1771000,83180000,-34822000,46587000,-21033544.0789628,-139793000,44498000,-94472000,6034000,6034000,6034000,1139663000,0.41047,0.30783,0.02714,0.00341,6.9503,0.14554,0.35909,0.35888,1.16655,13.23206,0.282609823629293,0.00341,0.775553416820154,27.43798
"18","2014_Q3",20.4425,"Up",89939000,67435000,73963000,-6528000,22504000,-48000,4778000,13547000,4227000,-239000,89700000,-52673000,-52673000,37027000,37027000,37027000,-8350000,28677000,28677000,28677000,28677000,202358000,3042968000,4072643000,-130636000,4203279000,167741000,129706000,187458000,7890094000,5745836000,4280898000,1464938000,315240000,732938000,86065000,6880079000,693088000,292721000,24206000,1010015000,1010015000,7890094000,21793000,-3843000,-3843000,123621000,-118146000,1632000.00000001,-11942000,-92187000,121371000,17242000,40667000,40667000,40667000,1048178000,0.41169,0.31885,0.02839,0.00363,6.81186,0.13285,0.38509,0.38492,1.20776,13.56312,0.16036,0.00515,0.41643,22.84333
"19","2014_Q4",20.62078125,"Up",93692000,69260000,75690000,-6430000,24432000,-61000,6e+06,14319000,4174000,-360000,93332000,-54238000,-54238000,39094000,39094000,39094000,-9800000,29294000,29294000,29294000,29294000,282097000,2880953000,4328467000,-130632000,4459099000,178509000,129706000,212758000,8109810000,6106811000,4510840000,1595971000,367213000,492535000,102771000,7069330000,708571000,309234000,22675000,1040480000,1040480000,8109810000,45086000,-3849000,-3849000,316874000,-126461000,184452000,-12687000,-188446000,51334000,-149799000,79739000,79739000,79739000,859748000,0.41726,0.31266,0.02815,0.00361,6.7943,0.10601,0.39251,0.39226,1.25536,13.94123,0.16999,0.00518,0.43309,14.77595
"20","2015_Q1",19.126393442623,"Down",92789000,68811000,76179000,-7368000,23978000,-28000,5424000,15958000,2624000,-191000,92598000,-55698000,-55698000,36900000,36900000,36900000,-8846000,28054000,28054000,28054000,28054000,442409000,2908425000,4358342000,-129753000,4488095000,179175000,129706000,193845000,8306507000,6345212000,4712809000,1632403000,397107000,422649000,113492000,7278460000,709106000,301197000,17744000,1028047000,1028047000,8306507000,61936000,-4926000,-4926000,-31643000,-37209000,-73778000,-26315000,-40032000,238401000,172154000,160312000,160312000,160312000,819756000,0.39768,0.30234,0.02729,0.00338,7.07989,0.09869,0.37391,0.37362,1.2367,13.70192,0.35073,0.00655,0.93801,10.22621
"21","2015_Q2",21.3774603174603,"Up",92797000,70104000,77486000,-7382000,22693000,5000,5430000,12999000,4259000,-765000,92032000,-55497000,-55497000,36535000,36535000,36535000,-8865000,27670000,27670000,27670000,27670000,183466000,3114378000,4557813000,-129856000,4687669000,187067000,130843000,206032000,8475096000,6458792000,4783341000,1675451000,425652000,423889000,113239000,7421572000,720261000,315236000,18027000,1053524000,1053524000,8475096000,38096000,-3889000,-3889000,-160944000,-121818000,-266939000,-22557000,25885000,-33240000,-30100000,-258943000,-258943000,-258943000,849541000,0.39371,0.29818,0.02626,0.00326,7.04452,0.10024,0.36792,0.36773,1.2339,14.00845,0.29993,0.00593,0.81522,18.23115
"22","2015_Q3",21.55828125,"Up",97050000,71248000,78617000,-7369000,25802000,-98000,7600000,15512000,2788000,-282000,96768000,-59945000,-59945000,36823000,36823000,36823000,-7488000,29335000,29335000,29335000,29335000,355719000,2955144000,4676912000,-130519000,4807431000,186858000,130843000,202849000,8589810000,6558657000,4827642000,1731015000,408935000,455246000,110521000,7533359000,720828000,330183000,5440000,1056451000,1056451000,8589810000,38834000,-3514000,-3514000,158746000,-122640000,32592000.0000001,-13631000,14602000,99865000,100827000,172253000,172253000,172253000,864181000,0.37942,0.30227,0.02777,0.00342,7.13082,0.10061,0.38838,0.38818,1.28488,13.98673,0.18047,0.005,0.46467,13.80827
"23","2015_Q4",21.86109375,"Up",98857000,73058000,80367000,-7309000,25799000,-31000,7326000,15357000,3147000,-826000,98031000,-59112000,-59112000,38919000,38919000,38919000,-9305000,29614000,29614000,29614000,29614000,242835000,3182816000,4745651000,-130768000,4876419000,185864000,130843000,196290000,8764299000,6673179000,4779456000,1893723000,441041000,455111000,120160000,7689491000,721394000,345407000,8007000,1074808000,1074808000,8764299000,56898000,-2696000,-2696000,-221361000,-78100000,-302157000,-14388000,31925000,114522000,132375000,-112884000,-112884000,-112884000,896152000,0.39369,0.29956,0.02755,0.00338,7.15429,0.10225,0.39206,0.39176,1.30878,14.22951,0.19048,0.00502,0.48585,16.78658
"24","2016_Q1",19.5226229508197,"Down",100463000,75996000,83211000,-7215000,24467000,143000,6033000,15418000,2873000,-411000,100052000,-62203000,-62203000,37849000,37849000,37849000,-8341000,29508000,29508000,29508000,29508000,193253000,3312832000,4948984000,-129697000,5078681000,194030000,140638000,213525000,9089232000,6945008000,5026698000,1918310000,423414000,519979000,124181000,8012582000,737129000,337532000,1989000,1076650000,1076650000,9089232000,42943000,-8125000,-8125000,-81569000.0000001,-53398000,-144810000,-28880000,47025000,34748000,52285000,-49581999.9999999,-49581999.9999999,-49581999.9999999,943393000,0.37675,0.29372,0.02741,0.00325,7.44214,0.10379,0.38879,0.38839,1.32367,14.1856,0.38051,0.00642,0.97872,19.81928
"25","2016_Q2",21.0784375,"Up",100958000,76706000,84381000,-7675000,24252000,108000,5992000,14681000,3471000,-568000,100390000,-62356000,-62356000,38034000,38034000,38034000,-9352000,28682000,28682000,28682000,28682000,150861000,3296288000,5067122000,-130071000,5197193000,192951000,140638000,192910000,9120742000,7016194000,5129190000,1887004000,445960000,439853000,125055000,8027062000,737426000,350933000,5321000,1093680000,1093680000,9120742000,56233000,-2726000,-2726000,31350000,-117775000,-88857000,-22883000,-57551000,71218000,-9768000,-42392000,-42392000,-42392000,885813000,0.37673,0.2841,0.02623,0.00314,7.3395,0.09712,0.37677,0.37654,1.32619,14.36666,0.30059,0.00565,0.79782,19.32355
"26","2016_Q3",23.05859375,"Up",105404000,78645000,86069000,-7424000,26759000,-220000,8257000,15772000,2950000,-1.16415321826935e-10,105404000,-64461000,-64461000,40943000,40943000,40943000,-10492000,30451000,30451000,30451000,30451000,160333000,3168529000,5246231000,-132386000,5378617000,177911000,140638000,234521000,9199442000,7088816000,5181790000,1907026000,414327000,454752000,116888000,8074783000,738141000,366105000,20413000,1124659000,1124659000,9199442000,3579000.00000001,-2327000,-2327000,148377000,-179065000,-33669000,-15253000,-16813000,71668000,39562000,9472000,9472000,9472000,869079000,0.38844,0.2889,0.02708,0.00331,7.17976,0.09447,0.39977,0.39957,1.38379,14.76498,0.20025,0.00497,0.5009,17.31055
"27","2016_Q4",26.4966666666667,"Up",106919000,78626000,85944000,-7318000,28293000,-594000,9592000,16307000,2988000,-626000,106293000,-65180000,-65180000,41113000,41113000,41113000,-10156000,30957000,30957000,30957000,30957000,251413000,2971786000,5463428000,-132534000,5595962000,178638000,147053000,232697000,9316875000,7309319000,5210572000,2098747000,401243000,337789000,120745000,8169096000,749228000,381713000,16838000,1147779000,1147779000,9316875000,68712000,-1840000,-1840000,188291000,-182267000,7788000,-15257000,-132304000,162149000,14580000,91080000,91080000,91080000,739032000,0.38452,0.28954,0.02697,0.00332,7.11731,0.07932,0.40578,0.40542,1.40149,15.04501,0.19999,0.00496,0.49284,11.86046
"28","2017_Q1",29.5406451612903,"Up",108559000,80545000,87759000,-7214000,28014000,-757000,9765000,15645000,3361000,-1139000,107420000,-66717000,-66717000,40703000,40703000,40703000,-9662000,31041000,31041000,31041000,31041000,152541000,3101151000,5554891000,-129572000,5684463000,176198000,147053000,226095000,9450600000,7372279000,5330427000,2041852000,473650000,377740000,110062000,8333731000,749872000,374379000,-7382000,1116869000,1116869000,9450600000,64563000,-1413000,-1413000,-187917000,-114495000,-306575000,-30647000,110816000,62971000,143140000,-98872000,-98872000,-98872000,851390000,0.37494,0.28594,0.02779,0.00328,7.46169,0.09009,0.40562,0.4051,1.41857,14.59441,0.40047,0.00653,0.98731,17.16947
"29","2017_Q2",28.7068253968254,"Down",105951000,80262000,87628000,-7366000,25689000,-1e+05,6358000,15633000,3798000,-1598000,104353000,-63344000,-63344000,41009000,41009000,41009000,-9754000,31255000,31255000,31255000,31255000,234004000,2981909000,5747748000,-129226000,5876974000,175283000,147053000,179392000,9553908000,7480157000,5430681000,2049476000,497187000,337654000,103670000,8418668000,750147000,389505000,-4412000,1135240000,1135240000,9553908000,93757000,-2805000,-2805000,122326000,-199663000,-83570000,-23042000,-12123000,107888000,71276000,81463000,81463000,81463000,834841000,0.38706,0.29499,0.02753,0.00327,7.41576,0.08738,0.40818,0.40785,1.38368,14.82576,0.30092,0.00568,0.73723,14.65134
"30","2017_Q3",29.307619047619,"Up",113914000,86258000,94032000,-7774000,27656000,-522000,7532000,17495000,3151000,-3013000,110901000,-65309000,-65309000,45592000,45592000,45592000,-11905000,33687000,33687000,33687000,33687000,237590000,2801819000,6215885000,-129877000,6345762000,179823000,177811000,203385000,9899494000,7797963000,5563905000,2234058000,451050000,337568000,102956000,8689537000,797487000,406771000,5699000,1209957000,1209957000,9899494000,42918000,-2374000,-2374000,221034000,-180298000,27959000,-16097000,-72127000,20939000,-67291000,3586000,3586000,3586000,788618000,0.40023,0.29572,0.02784,0.0034,7.18169,0.07966,0.43438,0.43401,1.46888,15.60196,0.20756,0.00503,0.47784,12.08607
"31","2017_Q4",32.5455555555556,"Up",119997000,88812000,96464000,-7652000,31185000,77000,9141000,17307000,4660000,-3327000,116670000,-68552000,-68552000,48118000,48118000,48118000,-11639000,36479000,36479000,36479000,36479000,220210000,2541645000,6379857000,-129576000,6509433000,178672000,177811000,219601000,9798602000,7767154000,5411171000,2355983000,453596000,279784000,91867000,8592401000,798161000,403373000,4667000,1206201000,1206201000,9798602000,41776000,-2503000,-2503000,259466000,-169790000,80809000,-56193000,-52898000,-30814000,-139965000,-17380000,-17380000,-17380000,733380000,0.40099,0.304,0.03024,0.00372,7.12352,0.07485,0.46759,0.46722,1.53813,15.46118,0.72029,0.00946,1.54042,10.66482
"32","2018_Q1",33.9332786885246,"Up",117535000,89826000,96898000,-7072000,27709000,-115000,7408000,17282000,3134000,-2886000,114649000,-68366000,-68366000,46283000,46283000,46283000,-31327000,14956000,14956000,14956000,14956000,200004000,2426556000,6448256000,-129568000,6577824000,177348000,177811000,208146000,9706349000,7579747000,5267845000,2311902000,362573000,480130000,84842000,8507292000,798777000,402259000,-1979000,1199057000,1199057000,9706349000,76290000,-2446000,-2446000,90114000,-91238000,-1543000,-16388000,108863000,-187410000,-94953000,-20206000,-20206000,-20206000,842703000,0.39378,0.12725,0.01247,0.00154,7.09499,0.08682,0.19171,0.19149,1.50662,15.37014,0.21007,0.00323,1.09575,13.88629
"33","2018_Q2",33.81390625,"Down",121378000,95292000,103066000,-7774000,26086000,-333000,6097000,16871000,3451000,-795000,120583000,-73627000,-73627000,46956000,46956000,46956000,-8397000,38559000,38559000,38559000,38559000,451048000,2789258000,7542422000,-127608000,7670030000,238491000,289535000,293185000,11658778000,9418845000,6607376000,2811469000,395794000,289118000,100997000,10204754000,1049705000,421342000,-17023000,1454024000,1454024000,11658778000,47936000,-5558000,-5558000,-66542000,-125329000,-112290000,-107000,-207625000,524162000,315398000,251044000,251044000,251044000,684912000,0.38686,0.31768,0.02652,0.00331,7.01828,0.05875,0.47716,0.4767,1.50204,17.99336,0.00132,0.00332,0.00277,4.98049
"34","2018_Q3",37.954126984127,"Up",140382000,108554000,117715000,-9161000,31828000,-56000,8142000,18804000,4938000,-4718000,135664000,-81795000,-81795000,53869000,53869000,53869000,-9485000,44384000,44384000,44384000,44384000,368132000,2797761000,7817108000,-131564000,7948672000,240373000,289535000,324417000,11897644000,9423575000,6508690000,2914885000,361515000,529095000,109467000,10423652000,1050569000,443705000,-20282000,1473992000,1473992000,11897644000,51301000,-5739000,-5739000,-27205000,-286874000,-326462000,-19444000,207009000,4719000.00000012,192245000,-82916000,-82916000,-82916000,890610000,0.38373,0.31617,0.03011,0.00373,7.07172,0.07486,0.52504,0.52475,1.66064,17.43653,0.23001,0.00536,0.43809,9.69905
"35","2018_Q4",37.7552380952381,"Down",146161000,113745000,122905000,-9160000,32416000,-367000,7256000,19504000,6023000,-3194000,142967000,-82829000,-82829000,60138000,60138000,60138000,-10802000,49336000,49336000,49336000,49336000,307104000,2694534000,7990710000,-132535000,8123245000,239006000,289535000,334447000,11909102000,9601182000,6498070000,3103112000,408754000,289383000,117171000,10416490000,1051308000,471021000,-29717000,1492612000,1492612000,11909102000,68275000,-2687000,-2687000,96551000,-179225000,-91942000,-21991000,-192847000,177588000,-37361000,-61028000,-61028000,-61028000,698137000,0.41145,0.33755,0.03305,0.00414,6.9787,0.05862,0.58359,0.58304,1.72892,17.65596,0.26013,0.00599,0.44574,6.50226
"36","2019_Q1",37.3355737704918,"Down",144368000,115874000,125310000,-9436000,28494000,-357000,5639000,19708000,3504000,-1246000,143122000,-81876000,-81876000,61246000,61246000,61246000,-11647000,49599000,49599000,49599000,49599000,203790000,2869578000,8156310000,-131239000,8287549000,241528000,289586000,303257000,12115484000,9493767000,6492589000,3001178000,396151000,574226000,135486000,10599630000,1052098000,473183000,-9427000,1515854000,1515854000,12115484000,113199000,-4653000,-4653000,-152956000,-176846000,-341726000,-43951000,272206000,-107432000,125213000,-103314000,-103314000,-103314000,970377000,0.42424,0.34356,0.03272,0.00409,6.99251,0.08009,0.58675,0.58613,1.70786,17.93237,0.51993,0.00772,0.88613,12.51652
