"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"11","2017_Q4",4.61301587301587,"Up",9361000,-7109000,2252000,-11875000,-8408000,-3467000,-9623000,-262000,-261000,-262000,1000,-9885000,-9778000,-9778000,-9778000,-9778000,-9778000,19847000,19847000,12127000,12127000,3958000,1018000,1018000,36950000,3638000,3638000,40588000,12365000,6335000,6030000,941000,941000,13306000,11778000,25084000,368683000,-353369000,15504000,15504000,40588000,10146000,0.24057,-1.02799,-1.04455,-0.63068,-0.24091,2.77694,1.61791,0.24998,-0.30656,-0.30656,0.29349,0.48608,-0.3584,1.00811
"12","2018_Q1",8.27081967213115,"Up",17140000,-6672000,10468000,-8551000,-3137000,-5414000,1917000,341000,337000,333000,4000,2258000,-725000,-725000,-725000,-725000,-725000,14041000,14041000,14729000,14729000,3155000,1116000,1116000,33041000,3493000,3493000,36534000,10407000,6272000,4135000,424000,424000,10831000,11730000,22561000,369540000,-355757000,13973000,13973000,36534000,10163000,0.61074,0.11184,-0.0423,-0.0518900000000002,-0.01984,3.0506,1.61461,0.27818,-0.0224199999999999,-0.02242,0.53011,0.43216,-0.0282100000000001,-2.02295
"13","2018_Q2",12.4575,"Up",14260000,-7186000,7074000,-11105000,-8186000,-2919000,-4031000,-316000,-315000,-317000,2000,-4347000,-5407000,-5407000,-5407000,-5407000,-5407000,15466000,15466000,15430000,15430000,4049000,1366000,1366000,36311000,3967000,3967000,40278000,10486000,5972000,4514000,1485000,1485000,11971000,11570000,23541000,377711000,-361164000,16737000,16737000,40278000,9957000,0.49607,-0.28268,-0.37917,-0.32306,-0.13424,3.03325,1.40652,0.24721,-0.1606,-0.1606,0.42356,0.49713,-0.19101,1.36666
"14","2018_Q3",11.7244444444444,"Down",22778000,-8207000,14571000,-19108000,-14559000,-4549000,-4537000,-482000,-482000,-563000,81000,-5019000,-6903000,-6903000,-6903000,-6903000,-6903000,26862000,26862000,18270000,18270000,3793000,1581000,1581000,50506000,4071000,4071000,54577000,11125000,5552000,5573000,1615000,1615000,12740000,19297000,32037000,383020000,-360877000,22540000,22540000,54577000,17238000,0.6397,-0.19918,-0.30306,-0.30626,-0.12648,3.96436,1.42134,0.31585,-0.19101,-0.19101,0.63027,0.62369,-0.165,2.12123
"15","2018_Q4",14.9611111111111,"Up",18027000,-7666000,10361000,-14683000,-10954000,-3729000,-4322000,-430000,-432000,-432000,-51179.6978989077,-4752000,-7659000,-7659000,-7659000,-7659000,-7659000,29777000,29777000,13162000,13162000,3905000,1358000,1358000,48202000,4207000,4207000,52409000,9775000,5768000,4007000,2506000,2506000,12281000,19193000,31474000,389074000,-368536000,20935000,20935000,52409000,17246000,0.57475,-0.23975,-0.42486,-0.36585,-0.14614,3.92492,1.50342,0.32907,-0.21193,-0.21193,0.49881,0.57928,-0.19086,2.89935
"16","2019_Q1",18.2877049180328,"Up",8859000,-7295000,1564000,-3658000,-1911000,-1747000,-2094000,43000.0000000001,136000,205000,-69000.0000000001,-2051000,2683000,2683000,2683000,2683000,2683000,26862000,26862000,18270000,18270000,3793000,1581000,1581000,50506000,4071000,4071000,54577000,11125000,5552000,5573000,1615000,1615000,12740000,19297000,32037000,383020000,-360877000,22540000,22540000,54577000,17238000,0.17654,-0.23637,0.30286,0.11903,0.04916,3.96436,1.42134,0.31585,0.07202,0.07202,0.23782,0.60508,0.06413,4.59599
"17","2019_Q2",17.0531746031746,"Down",22484000,-8138000,14346000,-15682000,-12569000,-3113000,-1336000,-153000,-153000,-460000,307000,-1489000,-1069000,-1069000,-1069000,-1069000,-1069000,97751000,53289000,15528000,15528000,3638000,2339000,2339000,119256000,5207000,5207000,124463000,10172000,4580000,5592000,723000,723000,10895000,19093000,29988000,468447000,-374256000,94475000,94475000,124463000,17280000,0.63805,-0.05942,-0.04754,-0.01132,-0.00859,10.94594,0.31742,0.13884,-0.0249,-0.0249,0.5238,2.20093,-0.00941,60.23278
"18","2019_Q3",17.4946875,"Up",25477000,-9524000,15953000,-38175000,-17210000,-20965000,-22222000,1075000,1057000,456000,601000,-21147000,-21567000,-21567000,-21567000,-21567000,-21567000,82924000,18286000,23454000,23454000,3558000,2847000,2847000,112783000,5906000,5906000,118689000,14038000,7108000,6930000,754000,754000,14792000,1666000,16458000,471180000,-369014000,102231000,102231000,118689000,0,0.62617,-0.87224,-0.84653,-0.21096,-0.18171,7.62459,0.16099,0,-0.49324,-0.49324,0.58266,2.33804,-0.20758,3.73161999999999
"19","2019_Q4",17.021875,"Down",21810000,-8640000,13170000,-16528000,-13520000,-3008000,-3358000,514000,478000,-2000,480000,-2844000,-2844000,-2844000,-2844000,-2844000,-2844000,84085000,35084000,18774000,18774000,4063000,2679000,2679000,109601000,6445000,31628000,141229000,10380000,6201000,4179000,2561000,2561000,12941000,25233000,38174000,474806000,-371858000,103055000,103055000,141229000,0,0.60385,-0.15397,-0.1304,-0.0276,-0.02014,8.46928,0.37042,0,-0.06504,-0.06504,0.4988,2.35689,-0.02217,25.0402
"20","2020_Q1",14.9927419354839,"Down",21086000,-5858000,15228000,7779000,-5708000,13487000,23007000,-2302000,-2217000,-1726000,-491000,20705000,17343000,17343000,17343000,17343000,17343000,82924000,18286000,23454000,23454000,3558000,2847000,2847000,112783000,5906000,5905999.99999999,118689000,14038000,7108000,6930000,754000,754000,14792000,1666000,16458000,471180000,-369014000,102231000,102231000,118689000,0,0.72219,1.0911,0.82249,0.16965,0.14612,7.62459,0.16099,3.46944695195361e-18,0.39664,0.39664,0.48224,2.33804,0.16692,-3.60429
"21","2020_Q2",13.5325396825397,"Down",30499000,-9324000,21175000,-18078000,-14982000,-3096000,3097000,373000,383000,-2000,385000,3470000,3470000,3470000,3470000,3470000,3470000,74665000,36905000,19958000,19958000,6823000,3272000,3272000,104718000,7190000,32809000,137527000,12241000,5281000,6960000,2871000,2871000,15112000,25425000,40537000,485141000,-388180000,96990000,96990000,137527000,0,0.69429,0.10154,0.11377,0.03578,0.02523,6.92946,0.41795,0,0.07842,0.07436,0.68923,2.19181,0.02835,-24.10881
"22","2020_Q3",16.54890625,"Up",16193000,-9258000,6935000,-23466000,-19573000,-3893000,-16531000,86999.9999999995,67000,-999.999999999767,68000,-16444000,-16444000,-16444000,-16444000,-16444000,-16444000,69718000,26889000,32168000,32168000,6816000,2953000,2953000,111655000,7144000,41583000,153238000,14293000,6345000,7948000,5502000,5502000,19795000,22352000,42147000,489749000,-378679000,111091000,111091000,153238000,0,0.42827,-1.02087,-1.0155,-0.14802,-0.10731,5.64057,0.37939,2.16840434497101e-19,-0.36604,-0.36604,0.36045,2.47287,-0.12323,4.21741
"23","2020_Q4",23.79953125,"Up",26678000,-9922000,16756000,-21832000,-18069000,-3763000,-5076000,371000,304000,-2000,306000,-4705000,-4705000,-4705000,-4705000,-4705000,-4705000,81580000,45623000,24171000,24171000,7282000,3504000,3504000,116537000,7423000,33728000,150265000,12549000,6400000,6149000,5576000,5576000,18125000,21688000,39813000,493774000,-383384000,110452000,110452000,150265000,0,0.62808,-0.19027,-0.17636,-0.0426,-0.03131,6.42963,0.36046,0,-0.10473,-0.10473,0.59385,2.45864,-0.03561,16.07171
"24","2021_Q1",45.2519672131148,"Up",44480000,-9067000,35413000,-28154000,-8515000,-19639000,7259000,755000,852000,-3000,855000,8014000,8014000,8014000,8014000,8014000,8014000,69718000,26889000,32168000,32168000,6816000,2953000,2953000,111655000,7144000,41583000,153238000,14293000,6345000,7948000,5502000,5502000,19795000,22352000,42147000,489749000,-378679000,111091000,111091000,153238000,0,0.79616,0.1632,0.18017,0.07214,0.0523,5.64057,0.37939,-1.35525271560688e-20,0.17839,0.17839,0.99012,2.47287,0.06006,-9.60435
"25","2021_Q2",56.9847619047619,"Up",32258000,-9787000,22471000,-18954000,-16041000,-2913000,3517000,101000,119000,-2000,121000,3618000,3618000,3618000,3618000,3618000,3618000,85542000,43507000,26174000,26174000,10080000,3586000,3586000,125382000,7115000,32122000,157504000,15170000,6475000,8695000,6143000,6143000,21313000,21561000,42874000,502587000,-388035000,114630000,114630000,157504000,0,0.6966,0.10903,0.11216,0.03156,0.02297,5.88289,0.37402,0,0.07992,0.07647,0.71254,2.53203,0.02657,-24.32243
"26","2021_Q3",51.7571875,"Down",41829000,-14405000,27424000,-37975000,-32809000,-5166000,-10551000,73000.0000000001,-1999.99999999994,0,-2000,-10478000,-10478000,-10693000,-10693000,-10693000,-10693000,91947619.2898497,62681729.0398882,24040052.1962054,24040052.1962054,11388560.1605364,4199588.50890964,4199588.50890964,131575820.155501,8567455.30850898,55411623.9070486,186987444.06255,17138104.0292262,8091208.58240011,9046895.4468261,5382345.03346848,5382345.03346848,22520449.0626947,34311649.1456601,56832098.2083548,517645520.025492,-387508870.103725,130155345.854195,130155345.854195,186987444.06255,0,0.65562,-0.25224,-0.25564,-0.0422677369890499,-0.0277652728650642,5.88225666982446,0.429794265466033,2.25978287410554e-06,-0.23619,-0.226,0.92395,2.88954941097925,-0.0309715408673072,6.23135174648861
"27","2021_Q4",43.830625,"Down",34568000,-11583000,22985000,-26290000,-22660000,-3630000,-3305000,159000,75000,-1000,76000,-3146000,-3146000,-3289000,-3289000,-3289000,-3289000,83556000,58154000,29122000,29122000,10322000,4213000,4213000,127213000,9076000,84251000,211464000,18791000,8826000,9965000,4439000,4439000,23230000,48025000,71255000,519360000,-379104000,140209000,140209000,211464000,0,0.66492,-0.09561,-0.09515,-0.02346,-0.01555,5.47624,0.50821,0,-0.07265,-0.06951,0.76356,3.09704,-0.01747,25.28169
"28","2022_Q1",36.0816129032258,"Down",15524000,-4176000,11348000,1363000,2674000,-1311000,12711000,339000,493000,-3000,496000,13050000,13050000,13228000,13228000,13228000,13228000,75807000,33620000,34504000,34504000,9356000,3893000,3893000,123560000,7633000,82048000,205608000,18048000,6755000,11293000,4435000,4435000,22483000,48865000,71348000,510061000,-375815000,134260000,134260000,205608000,1.4210854715202e-14,0.731,0.8188,0.8521,0.09853,0.06434,5.49571,0.53142,0,0.28344,0.28344,0.33264,2.87686,0.07223,-5.96389
"29","2022_Q2",29.528064516129,"Down",34506000,-12408000,22098000,-27059000,-22775000,-4284000,-4961000,30000,43000,-4893.19815149982,1479714.17041911,-4931000,-4931000,-4931000,-4931000,-4931000,-4931000,98291000,54553000,28910000,28910000,13059000,4686000,4686000,144946000,11819000,79197000,224143000,16507000,5575000,10932000,2321000,2321000,18828000,48535000,67363000,544624000,-387821000,156780000,156780000,224143000,0,0.64041,-0.14377,-0.1429,-0.03145,-0.022,7.69843,0.42967,0,-0.10566,-0.10566,0.73938,3.3594,-0.02402,19.81274
"30","2022_Q3",27.2840625,"Down",38614000,-14406000,24208000,-35602000,-30234000,-5368000,-11394000,271000,155000,-4679.59445449946,3168142.51125733,-11123000,-11123000,-11123000,-11123000,-11123000,-11123000,178550278.720063,177484850.930573,1695030.65422932,1695030.65422932,25696540.4587215,7867673.25940647,7867673.25940647,213809523.092421,27971518.8174699,96396960.9865058,310206484.078926,15233469.3561153,8169201.64951574,7064267.70659954,-4348592.64567094,-4348592.64567094,10884876.7104443,55041858.2544589,65926734.9649032,670319294.199793,-425708633.640537,244279749.114023,244279749.114023,310206484.078926,0,0.62692,-0.29507,-0.28806,-0.715622137057242,-0.473936332477868,13.7080077179687,0.132034388224828,-9.51487525939173e-07,-0.23834,-0.23834,0.8274,5.47125643221926,-0.529679745950608,188.782120975163
