"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",48.6461290322581,"Down",500928000,-291395000,209533000,-155437000,-132414000,-23023000,54096000,-23000,-23000,54073000,53503000,-16198000,37305000,37305000,37305000,37305000,203101000,203101000,25948000,25948000,296398000,36709000,36709000,562156000,335953000,60902000,56743000,4159000,396855000,959011000,212517000,99342000,7911000,105264000,212517000,112164000,112164000,112164000,324681000,217094000,0,404062000,13174000,634330000,634330000,959011000,37305000,23023000,-1967000,24555000,82916000,-27143000,-8000,-27151000,0,-11655000,-12843000,-11564000,44201000,44201000,44480000,77119000,0,90729000,0.41829,0.10799,0.07447,0.05881,0.0389,2.43209,2.64523,0.51185,0,1.54883,1.64862,20.79748,26.33605,3.76688,6,0.04997,0.12154,-2.63361,-3.75446
"12","2013_Q1",43.9313333333333,"Down",509224000,-320667000,188557000,-156016000,-136304000,-19712000,32541000,84000,84000,32625000,26003000,-6875000,19128000,19128000,19128000,19128000,209128000,194128000,18490000,18490000,266976000,40927000,40927000,535521000,330101000,57788000,53392000,4396000,387889000,923410000,191506000,87461000,2459000,101586000,191506000,110955000,110955000,110955000,302461000,218009000,2.71050543121376e-20,389682000,13258000,620949000,620949000,923410000,19128000,19712000,2185000,20543000,61568000,-18802000,-15002000,-33804000,0,-41289000,-41290000,-36802000,-9038000.00000001,-9038000,-8973000,52253000,0,60869000,0.37028,0.0639,0.03756,0.0308,0.02071,3.18219,2.79637,0.48709,0,0.81403,0.66711,21.67095,26.42561,2.59039,6,0.02613,0.08317,-4.00222,-6.4266
"13","2013_Q2",46.1859375,"Up",423164000,-259896000,163268000,-135832000,-119008000,-16824000,27436000,60000,60000,27496000,28519000,-9247000,19272000,19272000,19272000,19272000,201260000,186260000,22223000,22223000,251285000,36327000,36327000,511095000,334443000,59534000,55207000,4327000,393977000,905072000,176814000,69644000,6076000,101094000,176814000,106848000,106848000,106848000,283662000,219734000,0,389636000,12040000,621410000,621410000,905072000,19272000,16824000,3314000,-1547000,37863000,-22101000,-11000,-22112000,0,-23034000,-24203000,-23020000,-7269000,-7269000,-7868000,44260000,0,29859000,0.38583,0.06484,0.04554,0.03101,0.02129,1.54935,2.89058,0.45648,0,0.83635,0.82752,18.3641,26.96741,1.29579,3,0.02646,0.041,-4.54722,-7.33562
"14","2013_Q3",50.18109375,"Up",382448000,-256266000,126182000,-161767000,-146174000,-15593000,-35585000,-7.27595761418343e-12,7.27595761418343e-12,-35585000,-35646000,12010000,-23636000,-23636000,-23636000,-23636000,184675000,149675000,29722000,29722000,325695000,39508000,39508000,579600000,311867000,66514000,62299000,4215000,378381000,957981000,277089000,153235000,3832000,120022000,277089000,105576000,105576000,105576000,382665000,221050000,2.16840434497101e-19,346750000,7516000,575316000,575316000,957981000,-23636000,15593000,15716000,18620000,26293000,-16569000,-19999000,-36568000,1.45519152283669e-11,-23477000,-23716000,-23454000,-33729000,-33729000,-36585000,-19992000,0,-29951000,0.32993,-0.09305,-0.0618,-0.04108,-0.02467,1.26718,2.09175,0.66514,1.35525271560688e-20,-1.04984,-1.04984,16.98712,25.5537,-1.33033,4,-0.03471,-0.04399,9.23744,5.18969
"15","2013_Q4",49.6065625,"Down",492680000,-290919000,201761000,-139994000,-123521000,-16473000,61767000,82000,82000,61849000,61649000,-19910000,41739000,41739000,41739000,41739000,194246000,141746000,26267000,26267000,337172000,33856000,33856000,591541000,318021000,65155000,61164000,3991000,383176000,974717000,251888000,117554000,15502000,118832000,251888000,107294000,107294000,107294000,359182000,225349000,0,382851000,7335000,615535000,615535000,974717000,41739000,16473000,3735000,-26926000,35021000,-18488000,-17485000,-35973000,0,-6921000,-6927000,-6884000,-7836000,-7836000,-7929000,78240000,0,52736000,0.40952,0.12537,0.08472,0.06781,0.04282,1.26347,2.34843,0.58353,0,1.8686,1.84457,22.05668,27.55674,2.36093,3,0.05774,0.07296,-2.48269,-3.14482
"16","2014_Q1",48.8819672131148,"Down",467497000,-303187000,164310000,-142551000,-126583000,-15968000,21759000,123000,123000,21882000,22026000,-6375000,15651000,15651000,15651000,15651000,236497000,173997000,25960000,25960000,322422000,33582000,33582000,618461000,312149000,60020000,56665000,3355000,372169000,990630000,271349000,150652000,1039000,119658000,271349000,102503000,102503000,102503000,373852000,228744000,-3.46944695195361e-18,389563000,-1529000,616778000,616778000,990630000,15651000,15968000,19207000,23467000,74293000,-15448000,-9599000,-25047000,-4.65661287307739e-10,-10919000,-10984000,-10782000,38464000,38464000,32251000,37727000,2.3283064365387e-10,52121000,0.35147,0.04654,0.03348,0.02538,0.0158,3.3302,2.27921,0.60614,2.16840434497101e-19,0.70329,0.68318,21.00732,27.71538,2.3421,4,0.02176,0.07246,-6.26864,-10.86893
"17","2014_Q2",44.5252380952381,"Down",410149000,-261888000,148261000,-127947000,-113720000,-14227000,20314000,19000,19000,20333000,20102000,-6506000,13596000,13596000,13596000,13596000,195432000,131432000,25099000,25099000,304291000,40007000,40007000,564829000,315314000,57396000,53643000,3753000,372710000,937539000,231791000,120654000,786000,110351000,231791000,100335000,100335000,100335000,332126000,226927000,0,378196000,290000,605413000,605413000,937539000,13596000,14227000,-2084000,-21578000,4161000,-15902000,-1494000,-17396000,0,-27528000,-27581000,-30483000,-43718000,-43718000,-42565000,34541000,0,3567000,0.36148,0.04953,0.03315,0.02246,0.0145,0.26236,2.4368,0.54859,0,0.61381,0.60645,18.51688,27.33242,0.16104,3,0.02343,0.00505,-5.65797,-9.62056
"18","2014_Q3",46.57171875,"Up",384628000,-265510000,119118000,-135713000,-120156000,-15557000,-16595000,-60000,-60000,-16655000,-16557000,5870000,-10687000,-10687000,-10687000,-10687000,199949000,170949000,30050000,30050000,338979000,56546000,56546000,625524000,311210000,59661000,55988000,3673000,370871000,996395000,287926000,162718000,1648000,123560000,314456000,98444000,98444000,98444000,412900000,229470000,2.77555756156289e-17,352932000,1093000,583495000,583495000,996395000,-10687000,15557000,4022000,892000,9784000,-14873000,35006000,20133000,26530000,-14604000,-14604000,9029000.00000001,38946000,38946000,39517000,-1037999.99999999,26530000,-20889000,0.3097,-0.04315,-0.02779,-0.01832,-0.01073,1.95462,1.98923,0.70763,0.02663,-0.4894,-0.4894,17.61359,26.72047,-0.95659,4,-0.011,-0.02948,167.07033,10.45008
"19","2014_Q4",47.68890625,"Up",487304000,-297193000,190111000,-134594000,-119426000,-15168000,55517000,-82000,-82000,55435000,55721000,-18779000,36942000,36942000,36942000,36942000,209787000,170787000,28126000,28126000,342455000,32859000,32859000,613227000,318871000,63323000,59750000,3573000,382194000,995421000,278035000,150426000,4547000,123062000,297135000,97620000,97620000,97620000,394755000,230688000,0,372922000,-2944000,600666000,600666000,995421000,36942000,15168000,2651000,-150000,54611000,-13862000,-9995000,-23857000,-7430000,-17778000,-17780000,-28078000,2676000,2676000,-162000,70685000,19100000,75452000,0.39013,0.11393,0.07581,0.0615,0.03711,2.04244,2.0638,0.6572,0.01919,1.71496,1.69801,22.62216,27.88478,3.50272,4,0.05547,0.10518,-2.6977,-3.43475
"20","2015_Q1",55.6796721311475,"Up",479243000,-314433000,164810000,-144071000,-128529000,-15542000,20739000,-45000,-45000,20694000,20609000,-3572000,17037000,17037000,17037000,17037000,225291000,173291000,31928000,31928000,297631000,39349000,39349000,594199000,310301000,54118000,50660000,3458000,364419000,958618000,274467000,155323000,420000,118724000,274467000,95033000,95033000,95033000,369500000,232537000,-8.88178419700125e-16,374074000,-17493000,589118000,589118000,958618000,17037000,15542000,23017000,37258000,92854000,-27575000,-13012000,-40587000,-19100000,-16164000,-16164000,-38071000,14196000,14196000,2504000,36281000,0,49536000,0.3439,0.04327,0.03555,0.02892,0.01777,2.90755,2.16492,0.62721,0,0.80378,0.78569,22.61007,27.79383,2.33704,6,0.02901,0.07241,-6.20960999999997,-10.86316
"21","2015_Q2",60.2355555555556,"Up",404865000,-252756000,152109000,-128908000,-114514000,-14394000,23201000,-176000,-176000,23025000,23028000,-7421000,15607000,15607000,15607000,15607000,200562000,141282000,25041000,25041000,281059000,38684000,38684000,545346000,309548000,55209000,51789000,3420000,364757000,910103000,235578000,130899000,489000,104190000,246764000,92546000,92546000,92546000,339310000,230660000,0,352527000,-12394000,570793000,570793000,910103000,15607000,14394000,-259000,-16346000,13396000,-10063000,-7283000,-17346000,11186000,-40775000,-41213000,-31925000,-35875000,-35875000,-32009000,37595000,11186000,18607000,0.3757,0.05731,0.03855,0.02734,0.01715,1.19222,2.20999,0.59445,0.01229,0.74277,0.73046,19.26828,27.1651,0.88554,5,0.02778,0.02759,-5.03727,-8.16241
"22","2015_Q3",55.895,"Down",366455000,-251451000,115004000,-135046000,-119794000,-15252000,-20042000,-205000,-205000,-20247000,-20323000,6628000,-13695000,-13695000,-13695000,-13695000,205333000,145753000,31283000,31283000,314030000,50260000,50260000,600906000,307100000,53948000,50637000,3311000,361048000,961954000,315657000,193723000,2571000,119363000,345241000,87888000,87888000,87888000,433129000,231838000,-7.105427357601e-15,317251000,-20264000,528825000,528825000,961954000,-13695000,15252000,4383000,20765000,26705000,-10086000,-283000.000000001,-10369000,18398000,-22162000,-22162000,-6563000,9773000.00000001,9773000,4471000.00000001,-4790000.00000001,29584000,-739000,0.31383,-0.05469,-0.03737,-0.0259,-0.01424,0.05396,1.74054,0.81904,0.03075,-0.66558,-0.66558,17.80983,25.70106,-0.03592,4,-0.01644,-0.00114,36.69081,8.76904
"23","2015_Q4",50.13375,"Down",455913000,-275400000,180513000,-122852000,-106716000,-16136000,57661000,-254000,-254000,57407000,57393000,-18894000,38499000,38499000,38499000,38499000,218523000,183923000,36501000,36501000,327324000,33587000,33587000,615935000,302216000,59207000,55270000,3937000,361423000,977358000,299353000,183738000,5141000,110474000,333704000,94127000,94127000,94127000,427831000,232660000,0,337110000,-20243000,549527000,549527000,977358000,38499000,16136000,-1409000,-8266000,44960000,-13820000,24603000,10783000,4767000,-19240000,-19240000,-17850000,37893000,37893000,38170000,73797000,34351000,70605000,0.39594,0.12647,0.08444,0.07006,0.03939,1.83394,1.84575,0.77854,0.03515,1.89678,1.87644,22.46209,27.0743,3.47859,6,0.06126,0.10414,-2.49566,-3.19405
"24","2016_Q1",63.4281967213115,"Up",498544000,-321038000,177506000,-148148000,-131245000,-16903000,29358000,-63000,-63000,29295000,29284000,-11811000,17473000,17473000,17473000,17473000,227634000,187534000,26315000,26315000,268831000,43042000,43042000,565822000,290980000,41146000,37716000,3430000,332126000,897948000,275022000,154541000,1611000,118870000,275022000,95133000,95133000,95133000,370155000,234130000,-1.13686837721616e-13,321148000,-27485000,527793000,527793000,897948000,17473000,16903000,32518000,30695000,97589000,-8176000,-5516000,-13692000,-34351000,-38278000,-38278000,-75015000,8882000,8882000,3611000,46261000,-7.45058059692383e-09,80591000,0.35605,0.05889,0.03505,0.03311,0.01946,4.61232,2.05737,0.70133,-6.93889390390723e-18,0.8795,0.85867,25.09408,26.56632,4.05653,7,0.03284,0.12937,-4.92065,-7.75373
"25","2016_Q2",70.5040625,"Up",419351000,-2.54e+08,165351000,-125673000,-109212000,-16461000,39678000,-74000,-74000,39604000,39536000,-13551000,25985000,25985000,25985000,25985000,233602000,174801000,25539000,25539000,250280000,31045000,31045000,540466000,283448000,45302000,41886000,3416000,328750000,869216000,225786000,127454000,3272000,95060000,250786000,94931000,94931000,94931000,345717000,234476000,0,304626000,-15603000,523499000,523499000,869216000,25985000,16461000,-2397000,-11754000,28295000,-7084000,-18750000,-25834000,2.5e+07,-46150000,-46150000,-23945000,-21484000,-21484000,-12733000,56139000,2.5e+07,50852000,0.3943,0.09462,0.06196,0.04964,0.02989,1.95698,2.15509,0.6604,0.02876,1.35339,1.32787,21.8412,27.26557,2.64854,7,0.0463,0.07903,-3.71581,-5.25737
"26","2016_Q3",77.371875,"Up",371416000,-247545000,123871000,-126620000,-110729000,-15891000,-2749000,-176000,-176000,-2925000.00000001,-3116000.00000001,1105000,-2011000,-2011000,-2011000,-2011000,245929000,170829000,35255000,35255000,296584000,31071000,31071000,608839000,277195000,47503000,44071000,3432000,324698000,933537000,315304000,198675000,4635000,111994000,359164000,91953000,91953000,91953000,451117000,235757000,1.81898940354586e-12,266424000,-19761000,482420000,482420000,933537000,-2011000.00000001,15891000,989999.999999996,32018000,46888000,-8952000,-16401000,-25353000,18860000,-38105000,-38543000,-22536000,-1001000,-1001000,-3972000,13142000,43860000,35103000,0.33351,-0.0074,-0.00541,-0.00416999999999999,-0.00214999999999999,-17.45549,1.69516,0.93511,0.04698,-0.10691,-0.10691,19.74462,25.64563,1.86609,6,0.00282,0.05678,-15.37582,73.50637
"27","2016_Q4",84.8171428571429,"Up",473777000,-279260000,194517000,-132420000,-115834000,-16586000,62097000,-158000,-158000,61939000,61922000,-17756000,44166000,44166000,44166000,44166000,267343000,192243000,30605000,30605000,325463000,14475000,14475000,637886000,274747000,51451000,47954000,3497000,326198000,964084000,316319000,170192000,26877000,119250000,381919000,87850000,87850000,87850000,469769000,240708000,0,276955000,-23348000,494315000,494315000,964084000,44166000,16586000,16182000,-26567000,50367000,-10447000,-119000,-10566000,21740000,-33801000,-33801000,-15607000,24194000,24194000,21414000,78683000,65600000,59425000,0.41057,0.13107,0.09322,0.08935,0.04581,1.34549,1.67021,0.95034,0.06804,2.40792,2.36144,25.83017,26.9499,3.23983,7,0.07381,0.09174,-2.564,-3.24884
"28","2017_Q1",99.3862903225806,"Up",520772000,-332918000,187854000,-139190000,-122394000,-16796000,48664000,13000,13000,48677000,48671000,-14475000,34196000,34196000,34196000,34196000,243009000,193709000,31413000,31413000,286343000,32894000,32894000,593659000,264280000,52560000,47238000,5322000,316840000,910499000,313817000,178208000,13812000,121797000,329197000,85015000,85015000,85015000,414212000,241716000,0,274912000,-20341000,496287000,496287000,910499000,34196000,16796000,7003000,15747000,73742000,-8201000,25702000,17501000,-50220000,-39315000,-39315000,-92960000,-1717000,-1717000,1466000,65460000,15380000,87481000,0.36072,0.09345,0.06566,0.0689,0.03756,2.55822,1.80335,0.83462,0.01689,1.90157,1.82349,28.95913,27.59756,4.86465,7,0.06331,0.14661,-3.47738,-4.67756
"29","2017_Q2",103.9,"Up",436676000,-266085000,170591000,-128307000,-112615000,-15692000,42284000,-38000,-38000,42246000,42246000,-6017000,36229000,36229000,36229000,36229000,231428000,175628000,31538000,31538000,257298000,33030000,33030000,553294000,263884000,55078000,50103000,4975000,318962000,872256000,270810000,152439000,21999000,96372000,298210000,78362000,78362000,78362000,376572000,246020000,0,275026000,-25362000,495684000,495684000,872256000,36229000,15692000,5201000,-27911000,29211000,-13292000,-6898000,-20190000,12019000,-32810000,-32810000,-27793000,-18772000,-18772000,-18081000,57976000,27400000,22790000,0.39066,0.09683,0.08297,0.07309,0.04153,0.62905,1.85538,0.7597,0.03141,2.05695,1.96886,24.79282,28.14308,1.29393,5,0.07188,0.03789,-3.51918,-4.82518
"30","2017_Q3",102.239841269841,"Down",373601000,-245196000,128405000,-125186000,-109207000,-15979000,3219000,-291000,-291000,2928000,2928000,11362000,14290000,14290000,14290000,14290000,258132000,202332000,33077000,33077000,311047000,54100000,54100000,656356000,263311000,51008000,46567000,4441000,314319000,970675000,341985000,219334000,3359000,119292000,396485000,76530000,76530000,76530000,473015000,250516000,0,260234000,-13090000,497660000,497660000,970675000,14290000,15979000,8665000,3303999.99999999,42238000,-9864000,-119999.999999993,-9984000,27101000,-24570000,-24570000,-4558000.00000001,27696000,27696000,26704000,19198000,54500000,1276000.00000001,0.3437,0.00862,0.03825,0.02871,0.01472,0.0892899999999998,1.65544,0.95048,0.05615,0.80716,0.78616,21.10263,28.11003,0.0720700000000005,7,0.03401,0.00203,-10.60694,-63.2594
"31","2017_Q4",116.149047619048,"Up",490026000,-287593000,202433000,-138270000,-121481000,-16789000,64163000,-1e+05,-1e+05,64063000,64049000,-19972000,44077000,44077000,44077000,44077000,272743000,257743000,32432000,32432000,363788000,22690000,22690000,691653000,266230000,55541000,51015000,4526000,321771000,1013424000,372778000,249562000,6790000,116426000,429178000,73780000,73780000,73780000,502958000,255473000,0,272633000,-17640000,510466000,510466000,1013424000,44077000,16789000,9974000,-12344000,58496000,-14726000,40682000,25956000,1900000,-28005000,-28005000,-33159000,51293000,51293000,55411000,80952000,56400000,73854000,0.41311,0.13094,0.08995,0.08635,0.04349,1.67557,1.61158,0.98529,0.05565,2.50196,2.43654,27.81552,28.97576,4.1922,6,0.07981,0.11528,-2.67248,-3.37177
