"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"11","2014_Q4",19.1328125,"Down",33325000,-25576000,7749000,-15070000,-12273000,-2797000,-7321000,-1200000,-866000,-334000,-8521000,-8521000,-5638000,-5638000,-5638000,-5638000,4416000,4416000,46557000,21113000,5866000,98798000,5174000,127750000,40025000,132924000,231722000,28650000,28650000,72858000,30987000,16662000,30987000,103845000,126781000,929000,127877000,127877000,231722000,7506000,0.23253,-0.21968,-0.16918,-0.04409,-0.02433,1.35604,0.81207,0.03239,-0.53744,-0.53744,3.17668,12.18979,-0.03389,-0.422070000000001
"12","2015_Q1",10.0262295081967,"Down",92267000,-66456000,25811000,-17893000,-15359000,-2534000,7918000,-1533000,-1048000,-485000,6385000,5638000,2360000,2360000,2360000,2360000,7908000,7908000,38400000,10230000,3818000,117597000,6722000,122649000,39726000,129371000,246968000,37469000,35546000,88857000,21156000,20508000,26925000,115782000,128126000,3289000,131186000,131186000,246968000,5769000,0.27974,0.08582,0.02558,0.01799,0.00956,1.32344,0.88258,0.02336,0.22393,0.22393,8.75482,12.44767,0.01493,-0.27014
"13","2015_Q2",8.6784126984127,"Down",19689000,-16573000,3116000,-15340000,-12486000,-2854000,-12224000,-1412000,-784000,-628000,-13636000,-13961000,-10593000,-10593000,-10593000,-10593000,2141000,2141000,36201000,13931000,4106000,67721000,5922000,122495000,39473000,128417000,196138000,22676000,20112000,47831000,21442000,20794000,26570000,74401000,129597000,-7304000,121737000,121737000,196138000,5128000,0.15826,-0.62085,-0.53802,-0.08702,-0.05401,1.41584,0.61116,0.02614,-1.00792,-1.00792,1.8734,11.58324,-0.07143,-0.24436
"14","2015_Q3",8.72359375,"Up",22612000,-19210000,3402000,-15776000,-12952000,-2824000,-12374000,-488000,-834000,346000,-12862000,-13046000,-9898000,-9898000,-9898000,-9898000,3020000,3020000,37320000,17551000,4447000,73578000,5536000,122621000,39530000,128157000,201735000,2.4e+07,21436000,49079000,21733000,21085000,38171000,87250000,131886000,-17202000,114485000,114485000,201735000,16438000,0.15045,-0.54723,-0.43773,-0.08646,-0.04906,1.49917,0.76211,0.08148,-0.93847,-0.93847,2.14393,10.85475,-0.06484,-1.08437
"15","2015_Q4",9.521875,"Up",35887000,-26323000,9564000,-15498000,-12535000,-2963000,-5934000,-1887000,-1540000,-347000,-7821000,-7648000,-15880000,-15880000,-15880000,-15880000,3074000,3074000,49736000,10729000,4466000,93793000,5366000,122412000,39297000,127778000,221571000,54294000,32884000,84224000,23044000,17991000,36367000,120591000,134392000,-33082000,100980000,100980000,221571000,13323000,0.2665,-0.16535,-0.4425,-0.15726,-0.07167,1.11361,1.19421,0.06013,-1.50077,-1.50077,3.39157,9.5433,-0.11562,-1.72717
"16","2016_Q1",5.00262295081967,"Down",84559000,-59950000,24609000,-18255000,-15340000,-2915000,6354000,-2328000,-1941000,-387000,4026000,-45859000,-46536000,-46536000,-46536000,-46536000,7114000,7114000,26146000,4451000,4191000,94903000,6859000,70698000,37956000,77557000,172460000,22494000,17680000,69183000,19086000,19082000,46625000,115808000,136736000,-79618000,56652000,56652000,172460000,27539000,0.29103,0.07514,-0.55034,-0.82144,-0.26984,1.37177,2.0442,0.15968,-4.37739,-4.37739,7.954,5.32894,-0.45059,3.21451
"17","2016_Q2",4.1078125,"Down",24028000,-20666000,3362000,-12907000,-10883000,-2024000,-9545000,-2144000,-1779000,-365000,-11689000,-11914000,-12011000,-12011000,-12011000,-12011000,3228000,3228000,25838000,5166000,4906000,50045000,6394000,69657000,36790000,76051000,126096000,17349000,12535000,27966000,19356000,19352000,46394000,74360000,143852000,-91629000,51736000,51736000,126096000,27038000,0.13992,-0.39724,-0.49988,-0.23216,-0.09525,1.78949,1.4373,0.21442,-1.03046,-1.03046,2.06143,4.43857,-0.1224,-2.4945
"18","2016_Q3",4.2190625,"Up",29362000,-24249000,5113000,-14448000,-12408000,-2040000,-9335000,-2390000,-1686000,-704000,-11725000,-42877000,-42573000,-42573000,-42573000,-42573000,1162000,1162000,27898000,5958000,5698000,53103000,5522000,37247000,35237000,42769000,95872000,23780000,18966000,39788000,19629000,19629000,45913000,85701000,144909000,-134202000,10171000,10171000,95872000,26284000,0.17414,-0.31793,-1.44994,-4.18572,-0.44406,1.33465,8.42602,0.27416,-3.45911,-3.45911,2.3857,0.82641,-0.75909,-2.69116
"19","2016_Q4",5.66095238095238,"Up",38384000,-34457000,3927000,-14244000,-11607000,-2637000,-10317000,-2192000,-1866000,-326000,-12509000,-44932000,-44799000,-44799000,-44799000,-44799000,3277000,3277000,45493000,6262000,6002000,83486000,4644000,3704000,1805000,8348000,91834000,4.3e+07,38186000,79686000,19912000,19912000,45758000,125444000,145926000,-179001000,-33610000,-33610000,91834000,25846000,0.10231,-0.26878,-1.16713,1.33291,-0.48783,1.04769,-3.73234,0.28144,-3.63998,-3.63998,3.11875,-2.73086,-3.68777,-2.18755
"20","2017_Q1",4.69209677419355,"Down",82204000,-51996000,30208000,-14812000,-13254000,-1558000,15396000,-3142000,-2116000,-1026000,12254000,12154000,12201000,12201000,12201000,12201000,6183000,6183000,21698000,4121000,4121000,86635000,4311000,3854000,1618000,8165000,94800000,14574000,11927000,66893000,20280000,20280000,48603000,115496000,146664000,-166800000,-20696000,-20696000,94800000,28323000,0.36748,0.18729,0.14842,-0.58953,0.1287,1.29513,-5.5806,0.29877,0.990260000000001,0.99026,6.67186,-1.67973,0.4372,1.43804
"21","2017_Q2",3.23698412698413,"Down",14352000,-12136000,2216000,-10010000,-8620000,-1390000,-7794000,-1789000,-1840000,51000,-9583000,-9881000,-9926000,-9926000,-9926000,-9926000,3613000,3613000,22285000,3937000,3937000,34351000,3919000,3604000,1553000,7523000,41874000,12279000,8429000,23553000,20577000,20577000,48517000,72070000,147050000,-176726000,-30196000,-30196000,41874000,27940000,0.1544,-0.54306,-0.69161,0.32872,-0.23704,1.45846,-2.38674,0.66724,-0.80614,-0.80614,1.1656,-2.45237,-0.54178,-3.12125
"22","2017_Q3",2.92349206349206,"Down",19112000,-12811000,6301000,-11296000,-9599000,-1697000,-4995000,-1621000,-1835000,214000,-6616000,-6586000,-7061000,-7061000,-7061000,-7061000,1238000,1238000,20916000,4712000,4712000,36861000,3348000,3425000,1529000,6773000,43634000,16696000,12070000,32327000,20420000,20420000,48015000,80342000,147481000,-183787000,-36708000,-36708000,43634000,27595000,0.32969,-0.26135,-0.36945,0.19236,-0.16182,1.14025,-2.18868,0.63242,-0.57234,-0.57234,1.54916,-2.97544,-0.62448,-5.27668
"23","2017_Q4",2.4568253968254,"Down",35975000,-23437000,12538000,-10421000,-9085000,-1336000,2117000,-1790000,-2042000,252000,327000,86000,-492000,-492000,-492000,-492000,473000,473000,45869000,4956000,4956000,75886000,4427000,2756000,1484000,7183000,83069000,34810000,29996000,71713000,20786000,20786000,48075000,119788000,147851000,-184279000,-36719000,-36719000,83069000,27289000,0.34852,0.05885,-0.01368,0.0134,-0.00592000000000001,1.05819,-3.26229,0.32851,-0.03985,-0.03985,2.91366,-2.97392,-0.04333,12.66698
"24","2018_Q1",1.94983606557377,"Down",79696000,-49748000,29948000,-13945000,-12781000,-1164000,16003000,-2253000,-2199000,-53999.9999999999,13750000,13726000,14231000,14231000,14231000,14231000,5247000,5247000,27518000,3467000,3467000,86766000,4677000,2808000,1404000,7485000,94251000,17632000,13459000,67550000,21233000,21233000,48858000,116408000,148094000,-170048000,-22157000,-22157000,94251000,27625000,0.37578,0.2008,0.17857,-0.64228,0.15099,1.28447,-5.25378,0.2931,1.15268,1.15268,6.45521,-1.79467,0.53298,1.39836
"25","2018_Q2",12.57640625,"Up",40886000,-25857000,15029000,-11243000,-9914000,-1329000,3786000,-1760000,-2005000,245000,2026000,2026000,1962000,1962000,1962000,1962000,4335000,4335000,15816000,3536000,3536000,45438000,3979000,2889000,1363000,6868000,52306000,9758000,9758000,21056000,21608000,21608000,51672000,72728000,148317000,-168691000,-20422000,-20422000,52306000,30064000,0.36758,0.0926,0.04799,-0.0960699999999999,0.03751,2.15796,-3.56126,0.57477,0.1589,0.15862,3.31141,-1.65401,0.06278,6.79583
"26","2018_Q3",24.6747619047619,"Up",60805000,-40528000,20277000,-12008000,-10681000,-1327000,8269000,-1668000,-1258000,-410000,6601000,6601000,6301000,6301000,6301000,6301000,9108000,9108000,28043000,5190000,5190000,76923000,2839000,2418000,1196000,5257000,82180000,30351000,29976000,44412000,2311000,2311000,32794000,77206000,167682000,-162390000,4974000,4974000,82180000,30483000,0.33348,0.13599,0.10363,1.26679,0.07667,1.73203,15.52191,0.37093,0.47019,0.40277,4.53735,0.37117,0.16683,2.58496
"27","2018_Q4",17.2001587301587,"Down",74427000,-43925000,30502000,-13980000,-12580000,-1400000,16522000,-1401000,-1093000,-308000,15121000,15121000,14723000,14723000,14723000,14723000,6178000,6178000,73348000,5194000,5194000,113715000,4019000,1789000,1091000,5808000,119523000,49764000,49014000,67918000,2313000,2313000,28180000,96098000,171491000,-147667000,23425000,23425000,119523000,25867000,0.40982,0.22199,0.19782,0.62852,0.12318,1.6743,4.10237,0.21642,1.05022,0.9072,5.30901,1.67095,0.2853,1.19168
"28","2019_Q1",15.0734426229508,"Down",111319000,-68428000,42891000,-17427000,-15872000,-1555000,25464000,-8285000,-979000,-7306000,17179000,17179000,16204000,16204000,16204000,16204000,7078000,7078000,49472000,4469000,4469000,113816000,5856000,2248000,1036000,8104000,121920000,17724000,17724000,73597000,10827000,10640000,10827000,84424000,169435000,-131463000,37496000,37496000,121920000,0,0.3853,0.22875,0.14556,0.43215,0.13291,1.54648,2.25155,0,1.13465,1.25476,7.7949,2.62559,0.33533,-0.27796
"29","2019_Q2",10.5925396825397,"Down",44846000,-30059000,14787000,-12986000,-11530000,-1456000,1801000,1418000,-244000,1662000,3219000,3219000,3055000,3055000,3055000,3055000,10156000,10156000,44480000,4785000,4785000,71882000,5215000,4828000,997000,10043000,81925000,13073000,13073000,29653000,4864000,4677000,4864000,34517000,176127000,-128408000,47408000,47408000,81925000,0,0.32973,0.04016,0.06812,0.06444,0.03729,2.42411,0.72808,0,0.2131,0.18788,3.12821,3.30692,0.05844,-5.63909
"30","2019_Q3",9.9278125,"Down",41330000,-28159000,13171000,-15478000,-13744000,-1734000,-2307000,-41000.0000000009,-111000,69999.9999999991,-2348000,-2348000,-2373000,-2373000,-2373000,-2373000,3446000,3446000,50420000,5418000,5418000,77686000,5717000,18422000,8324000,24139000,101825000,22116000,22116000,52567000,4850000,4663000,4850000,57417000,175658000,-130781000,44408000,44408000,101825000,0,0.31868,-0.05582,-0.05742,-0.05344,-0.0233,1.47785,1.29294,0,-0.16267,-0.15676,2.83315,3.04415,-0.04817,1.49371
"31","2019_Q4",9.811875,"Down",46723000,-31680000,15043000,-17562000,-15364000,-2198000,-2519000,-542000,-240000,-302000,-3061000,-3061000,-3124000,-3124000,-3124000,-3124000,7037000,7037000,67032000,5500000,5500000,108037000,4909000,17651000,4836000,22560000,130597000,37490000,37490000,84540000,4451000,4264000,4451000,88991000,176310000,-133905000,41606000,41606000,130597000,0,0.32196,-0.05391,-0.06686,-0.07509,-0.02392,1.27794,2.1389,0,-0.21534,-0.25962,3.22072,2.86799,-0.06783,2.79357
"32","2020_Q1",7.09032258064516,"Down",101764000,-66052000,35712000,-22260000,-19792000,-2468000,13452000,445000,-334000,779000,13897000,13897000,20386000,20386000,20386000,20386000,8249000,8249000,45711000,4057000,4057000,102547000,3962000,24842000,6011000,28804000,131351000,22511000,22511000,64588000,3376000,3223000,3376000,67964000,176790000,-113519000,63387000,63387000,131351000,0,0.35093,0.13219,0.20033,0.32161,0.1552,1.58771,1.07221,0,1.40583,1.05512,7.01772,4.37122,0.30535,-0.61322
"33","2020_Q2",10.3144444444444,"Up",35007000,-24222000,10785000,-15798000,-13371000,-2427000,-5013000,-366000,-169000,-197000,-5379000,-5379000,-3555000,-3555000,-3555000,-3555000,8733000,8733000,39291000,5172000,5172000,65598000,4002000,26134000,5740000,30136000,95734000,11503000,11503000,32590000,3161000,3021000,3161000,35751000,177760000,-117074000,59983000,59983000,95734000,0,0.30808,-0.1432,-0.10155,-0.05927,-0.03713,2.01283,0.59602,0,-0.24526,-0.24526,2.41511,4.13819,-0.0563,1.74207
"34","2020_Q3",17.93765625,"Up",79680000,-50453000,29227000,-19270000,-16269000,-3001000,9957000,1533000,-83000,1616000,11490000,11490000,8204000,8204000,8204000,8204000,21206000,21206000,44953000,10233000,10233000,113399000,4366000,22730000,5518000,27096000,140495000,41694000,41694000,68025000,3009000,2869000,3009000,71034000,179147000,-108870000,69461000,69461000,140495000,0,0.3668,0.12496,0.10296,0.11811,0.05839,1.66702,1.02265,0,0.56265,0.50545,5.46465,4.7638,0.11321,-2.12976
"35","2020_Q4",19.90234375,"Up",112494000,-66358000,46136000,-21916000,-18656000,-3260000,24220000,-2000,-103000,101000,24218000,24218000,17794000,17794000,17794000,17794000,27265000,27265000,79453000,8451000,8451000,168994000,5004000,27533000,5325000,32537000,201531000,63699000,63699000,98131000,7664000,7524000,7664000,105795000,187080000,-91076000,95736000,95736000,201531000,0,0.41012,0.2153,0.15818,0.18587,0.08829,1.72213,1.10507,0,1.19825,1.03713,7.57535,6.44687,0.17209,-1.12572
"36","2021_Q1",27.3824590163934,"Up",132912000,-85272000,47640000,-27637000,-24060000,-3577000,20003000,2125000,-112000,2237000,22128000,22128000,16303000,16303000,16303000,16303000,46681000,46681000,71301000,8127000,8127000,169976000,6575000,26902000,5138000,33477000,203453000,42529000,42529000,78651000,8403000,8403000,8403000,87054000,190583000,-74773000,116399000,116399000,203453000,0,0.35843,0.1505,0.12266,0.14006,0.08013,2.16114,0.74789,0,1.06709,0.92752,8.69957,7.61873,0.13063,-2.3337
"37","2021_Q2",30.3109523809524,"Up",93053000,-58198000,34855000,-22575000,-18582000,-3993000,12280000,-676000,-97000,-579000,11604000,11604000,8838000,8838000,8838000,8838000,62965000,62965000,59136000,14685000,14685000,169156000,7089000,31160000,6760000,38249000,207405000,27761000,27761000,71772000,8511000,8511000,8511000,80283000,193179000,-65935000,127122000,127122000,207405000,0,0.37457,0.13197,0.09498,0.06952,0.04261,2.35685,0.63154,6.7762635780344e-21,0.56832,0.48894,5.98373,8.17452,0.06516,-5.12744
"38","2021_Q3",29.17484375,"Down",78564000,-49854000,28710000,-28267000,-23851000,-4416000,443000,-8000.00000000047,-73000,64999.9999999991,435000,435000,1721000,1721000,1721000,1721000,56197000,56197000,81931000,19418000,19418000,185571000,6917000,30265000,6442000,37182000,222753000,47909000,47909000,80744000,8317000,8317000,8317000,89061000,197223000,-64214000,133692000,133692000,222753000,7.27595761418343e-12,0.36543,0.00564,0.02191,0.01287,0.00773,2.29826,0.66617,0,0.11067,0.0952099999999999,5.05202,8.597,0.01212,-126.85553
"39","2021_Q4",26.98859375,"Down",85307000,-56034000,29273000,-27783000,-23263000,-4520000,1490000,-686000,-101000,-585000,804000,804000,2623000,2623000,2623000,2623000,28058000,28058000,113288000,16605000,16605000,194940000,7276000,34062000,6107000,41338000,236278000,55526000,55526000,91541000,11120000,11120000,11120000,102661000,194985000,-61591000,133617000,133617000,236278000,0,0.34315,0.01747,0.03075,0.01963,0.0111,2.12954,0.76832,1.0842021724855e-19,0.16313,0.14306,5.30549,8.31003,0.01812,-18.83087
"40","2022_Q1",20.9404838709677,"Down",109430000,-73885000,35545000,-29327000,-24766000,-4561000,6218000,1088000,-112000,1200000,7306000,7306000,4539000,4539000,4539000,4539000,37720000,37720000,101933000,17506000,17506000,193112000,6955000,30438000,5788000,37393000,230505000,40475000,40475000,78168000,10968000,10968000,10968000,89136000,198294000,-57052000,141369000,141369000,230505000,0,0.32482,0.05682,0.04148,0.03211,0.01969,2.47047,0.63052,0,0.28229,0.247560000000005,6.80577,8.79215,0.0298,-6.06626
"41","2022_Q2",17.0220967741935,"Down",46662000,-32633000,14029000,-22316000,-17064000,-5252000,-8287000,-828000,-109000,-719000,-9115000,-9115000,-6476000,-6476000,-6476000,-6476000,23700000,23700000,117422000,15773000,15773000,168709000,6293000,33048000,5464000,39341000,208050000,32899000,32899000,60284000,11404000,11404000,11404000,71688000,200192000,-63528000,136362000,136362000,208050000,0,0.30065,-0.1776,-0.13879,-0.04749,-0.03113,2.79857,0.52572,-8.67361737988404e-19,-0.40216,-0.35475,2.89772,8.46811,-0.04383,2.8599
"42","2022_Q3",10.47859375,"Down",41300000,-33418000,7882000,-29255000,-24119000,-5136000,-21373000,-1193000,-84000,-1109000,-22566000,-22566000,-17826000,-17826000,-17826000,-17826000,10877000,10877000,120694000,13606000,13606000,153728000,6144000,37082000,5126000,43226000,196954000,31030000,31030000,66193000,11108000,11108000,11108000,77301000,202399000,-81354000,119653000,119653000,196954000,15707000,0.19085,-0.51751,-0.43162,-0.14898,-0.09051,2.32242,0.64604,0.07975,-1.08036,-1080.36364,2.50303,7.2517,-0.12171,-0.22599
