"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"12","2018_Q2",41.4975,"Up",92756000,-28377000,64379000,-52386000,-26984000,-20377000,-5025000,11993000,-276000,-672000,396000,11717000,11717000,-1202000,10515000,10515000,10515000,10512000,96798000,96798000,43634000,43634000,12890000,20842000,20842000,174164000,25228000,180651000,90466000,63591000,17285000,9309000,205879000,380043000,34060000,34060000,3281000,3281000,37341000,7e+07,22444000,22444000,92444000,129785000,325298000,-75040000,250258000,250258000,380043000,10515000,5025000,3149000,-15169000,3520000,-3047000,9.31322574615479e-10,-3047000,-1e+06,996000,996000,-4000,469000,469000,469000,17018000,7e+07,4000,0.69407,0.1293,0.11333,0.042,0.02766,0.000380000000021141,4.66415,0.5186,0.18419,0.22259,0.21336,1.96407,5.29911,7.9999999999858e-05,0.03067,1.000000000001e-05,-1.57469,-2.23447
"13","2018_Q3",50.2792063492063,"Up",104488000,-36488000,6.8e+07,-59490000,-32731000,-21521000,-5238000,8510000,-331000,-751000,420000,8179000,8179000,2554000,10733000,10733000,10733000,10732000,105959000,105959000,52553000,52553000,14718000,20681000,20681000,193911000,26587000,182298000,86669000,63591000,18826000,13212000,208885000,402796000,42186000,42186000,3460000,3460000,45646000,6.9e+07,21952000,21952000,90952000,136598000,330505000,-64307000,266198000,266198000,402796000,10733000,5238000,2808000,-7095000,11684000,-3084000,0,-3084000,-1e+06,1561000,1562000,561000,9161000,9161000,9161000,13748000,6.9e+07,1015000,0.65079,0.08144,0.10271,0.04032,0.02664,0.09458,4.24815,0.51314,0.1713,0.22623,0.21682,2.20256,5.61134,0.0214,0.03005,0.00284,-2.68832,-4.34301
"14","2018_Q4",48.33,"Down",111848000,-41992000,69856000,-86550000,-57790000,-22869000,-5891000,-16694000,-19000,-736000,717000,-16713000,-16713000,9061000,-7652000,-7652000,-7652000,-7650000,124243000,124243000,55461000,55461000,16906000,16864000,16864000,213474000,28349000,185537000,82868000,63591000,26596000,12482000,213886000,427360000,69467000,69467000,3539000,3539000,73006000,6.8e+07,21613000,21613000,89613000,162619000,336700000,-71959000,264741000,264741000,427360000,-7652000,5891000,-4010000,25545000,19774000,-3186000,0,-3186000,-1e+06,2696000,2696000,1696000,18284000,18284000,18284000,-10803000,6.8e+07,2495000,0.62456,-0.14926,-0.0684,-0.0289,-0.0179,-0.326140000000003,2.92406,0.61426,0.15912,-0.16,-0.16,2.3393,5.53705,0.05218,-0.02159,0.00704,5.20624,3.36905
"15","2019_Q1",60.6631147540984,"Up",111402000,-38858000,72544000,-64151000,-34147000,-24437000,-5567000,8393000,123000,1513000,-1390000,8516000,8516000,-588000,7928000,7928000,7928000,7927000,146061000,146061000,49510000,49510000,22990000,9502000,9502000,228063000,27757000,185165000,79067000,63591000,28952000,13555000,212922000,440985000,71914000,71914000,3356000,3356000,75270000,6.7e+07,21126000,21126000,88126000,163396000,341620000,-64031000,277589000,277589000,440985000,7928000,5567000,6159000,6078000,25732000,-2773000,-1287000,-4060000,-1e+06,1146000,1146000,146000,21818000,21818000,21818000,13960000,6.7e+07,17853000,0.65119,0.07534,0.07116,0.02856,0.01798,2.25218,3.02993,0.58863,0.15193,0.16495,0.15189,2.31814,5.77629,0.3715,0.02168,0.04882,-5.6634,-9.41987
"16","2019_Q2",61.7047619047619,"Up",112335000,-38950000,73385000,-64164000,-32440000,-26496000,-5228000,9221000,31000,-821000,852000,9252000,9252000,-242000,9010000,9010000,9010000,9010000,122442000,122442000,56123000,56123000,25714000,36302000,36302000,240581000,29366000,209955000,75560000,63591000,28817000,41987000,239321000,479902000,65718000,65718000,9925000,9925000,75643000,6.6e+07,45763000,45763000,111763000,187406000,347480000,-54984000,292496000,292496000,479902000,9010000,5228000,1947000,-17372000,-1187000.00000001,-2962000,-20061000,-23023000,-1e+06,1591000,1591000,591000,-23619000,-23619000,-23619000,14449000,6.6e+07,-5643000,0.65327,0.08208,0.08021,0.0308,0.01877,-0.626299999999999,3.18048,0.64071,0.13753,0.18704,0.17958,2.33194,6.07188,-0.11714,0.02229,-0.01396,-3.90629,-6.12103
"17","2019_Q3",49.02046875,"Down",121660000,-44556000,77104000,-63059000,-29503000,-28418000,-5138000,14045000,64000,-786000,850000,14109000,14109000,-313000,13796000,13796000,13796000,13796000,150851000,150851000,60021000,60021000,23895000,33724000,33724000,268491000,29774000,207156000,72181000,63591000,29579000,41805000,236930000,505421000,73107000,73107000,10109000,10109000,83216000,6.5e+07,44777000,44777000,109777000,192993000,353616000,-41188000,312428000,312428000,505421000,13796000,5138000,7535000,-2415000,24054000,-2746000,7400000,4654000,-1e+06,701000,701000,-299000,28409000,28409000,28409000,19183000,6.5e+07,14335000,0.63377,0.11544,0.1134,0.04416,0.0273,1.03907,3.22643,0.61772,0.12861,0.2851,0.27419,2.51416,6.45647,0.29624,0.03268,0.03395,-4.47537,-6.11257
"18","2019_Q4",45.086875,"Down",127880000,-47523000,80357000,-68162000,-33234000,-29461000,-5467000,12195000,8368000,3602000,4766000,20563000,20563000,-2873000,17690000,17690000,17690000,17690000,164323000,164323000,64897000,64897000,20978000,13495000,13495000,263693000,32332000,204981000,68802000,63591000,27450000,45138000,237313000,501006000,46958000,46958000,9747000,9747000,56705000,6.4e+07,44135000,44135000,108135000,164840000,359664000,-23498000,336166000,336166000,501006000,17690000,5467000,10211000,-32388000,980000,-4952000,17432000,12480000,-1e+06,1012000,1012000,12000,13472000,13472000,13472000,17662000,6.4e+07,-16805000,0.62838,0.09536,0.13833,0.05262,0.03531,-0.94997,4.65026,0.49035,0.12774,0.36459,0.3522,2.63558,6.92831,-0.34635,0.03982,-0.03782,-5.68016,-8.22657
"19","2020_Q1",43.5825806451613,"Down",140488000,-52570000,87918000,-72966000,-36597000,-30068000,-6301000,14952000,20000,-47000,67000,14972000,14972000,-2138000,12834000,12834000,13035000,13035000,119629000,119629000,76373000,76373000,34168000,13504000,13504000,243674000,38548000,275577000,103438000,104963000,19137000,48039000,314125000,557799000,65069000,65069000,10726000,10726000,75795000,6.3e+07,52143000,52143000,115143000,190938000,366114000,-10463000,355651000,366861000,557799000,12834000,6301000,4503000,-373000,23265000,-8664000,-28000,-67525000,-1e+06,566000,566000,-434000,-44694000,-44694000,-44694000,21253000,6.3e+07,14354000,0.6258,0.10643,0.09278,0.03553,0.02337,1.10119,3.21491,0.52046,0.11294,0.26806,0.25873,2.88909,7.31386,0.29519,0.02704,0.02978,-2.66452,-3.78739
"20","2020_Q2",50.3239682539683,"Up",151939000,-57980000,93959000,-84092000,-37940000,-39730000,-6422000,9867000,-94000.0000000009,-186000,92000.0000000005,9773000,9773000,-1202000,8571000,8571000,8807000,8807000,171732000,171732000,81894000,81894000,36841000,18834000,18834000,309301000,39467000,275307000,99420000,104963000,17964000,52960000,314774000,624075000,64828000,64828000,12831000,12831000,77659000,1.13e+08,56226000,56226000,169226000,246885000,373837000,-2472000,366216000,377190000,624075000,8571000,6422000,14512000,-16605000,12900000,-3719000,-3294000,-7012999.99999999,5e+07,-3784000,1365000,46216000,52103000,52103000,52103000,16289000,1.13e+08,-2833000.00000001,0.6184,0.06494,0.05796,0.02335,0.01411,-0.32168,3.98281,0.65454,0.18107,0.18075,0.17527,3.11826,7.51589,-0.0581399999999998,0.01612,-0.00518,-3.60562,-5.95237
"21","2020_Q3",61.83,"Up",141637000,-49005000,92632000,-77638000,-34279000,-36636000,-6723000,14994000,-646000,-711000,65000,14348000,14348000,2277000,16625000,16625000,16995000,16995000,205827000,205827000,76591000,76591000,50406000,15265000,15265000,348089000,40627000,273929000,95402000,105662000,21554000,51311000,314556000,662645000,80029000,80029000,12740000,12740000,92769000,1.12e+08,53907000,53907000,165907000,258676000,383879000,14523000,393253000,403969000,662645000,16625000,6723000,3695000,8105000,35148000,-4297000,2004000,-2293000,-1e+06,3059000,3059000,1240000,34095000,34095000,34095000,21717000,1.12e+08,23248000,0.65401,0.10586,0.11999,0.04207,0.02565,1.36793,3.75221,0.64034,0.16902,0.34831,0.3356,2.90286,8.05974,0.47647,0.02982,0.04079,-4.32044,-6.25764
"22","2020_Q4",72.56234375,"Up",158851000,-61183000,97668000,-79612000,-35820000,-36914000,-6878000,18056000,24315000,-438000,24753000,42371000,42371000,-6546000,35825000,35825000,36084000,36084000,247176000,247176000,81883000,81883000,40199000,17854000,17854000,387112000,42639000,268294000,91384000,105662000,20749000,50499000,310933000,698045000,68947000,68947000,13881000,13881000,82828000,1.11e+08,54790000,54790000,165790000,248618000,393258000,50607000,438716000,449427000,698045000,35825000,6878000,-13508000,-10573000,18622000,-3561000,-584000,21542000,-999999.999999993,2185000,2185000,1184999.99999999,41349000,41349000,41349000,24934000,1.11e+08,17346000,0.61484,0.11367,0.22716,0.08029,0.05169,0.48071,4.67369,0.55319,0.15902,0.73627,0.70567,3.24125,8.95172,0.35393,0.05865,0.02819,-5.46146,-7.54187
"23","2021_Q1",94.265737704918,"Up",165576000,-59260000,106316000,-92935000,-46571000,-38867000,-7497000,13381000,287000,-391000,678000,13668000,13668000,1971000,15639000,15639000,15967000,15967000,253459000,253459000,83326000,83326000,44281000,16348000,16348000,397414000,44796000,289477000,103259000,112838000,21692000,51688000,334273000,731687000,76234000,76234000,14010000,14010000,90244000,1.1e+08,5.3e+07,5.3e+07,1.63e+08,253244000,406327000,66574000,467752000,478443000,731687000,15639000,7497000,11437000,837000,35410000,-5614000,-597000,-32510000,-1e+06,5102000,5102000,3383000,6283000,6283000,6283000,20878000,1.1e+08,14130000,0.6421,0.08081,0.09643,0.03337,0.02182,0.88495,4.40377,0.52931,0.15034,0.32404,0.30806,3.36029,9.49282,0.28676,0.02489,0.02203,-6.8713,-10.7211
"24","2021_Q2",85.4190476190476,"Down",172498000,-65762000,106736000,-91733000,-41881000,-42467000,-7385000,15003000,-3366000,-3211000,-155000.000000004,11637000,11637000,2913000,14550000,14550000,14830000,14830000,642172000,642172000,88406000,88406000,47228000,17972000,17972000,795778000,45103000,273664000,98998000,112838000,7088000,54740000,318767000,1114545000,75754000,75754000,15319000,15319000,91073000,412772000,51315000,51315000,464087000,555160000,472246000,81404000,548501000,559385000,1114545000,14550000,7385000,11366000,-12069000,21232000,-4069000,2000,-9066999.99999999,3.9e+08,1989000,1989000,376548000,388713000,388713000,388713000,22388000,412772000,3337000,0.61877,0.08697,0.08597,0.02651,0.01331,0.22502,8.7378,0.99245,0.37035,0.29922,0.28663,3.48046,11.06699,0.06733,0.01449,0.00326,-10.24656,-15.29028
"25","2021_Q3",82.6978125,"Down",188857000,-77367000,111490000,-94765000,-43797000,-43491000,-7477000,16725000,-3973000,-4005000,32000,12752000,12752000,1738000,14490000,14490000,14745000,14745000,662682000,662682000,92612000,92612000,59611000,22886000,22886000,837791000,44481000,274519000,94737000,112901000,12049000,54832000,3.19e+08,1156791000,87669000,87669000,16433000,16433000,104102000,416921000,50959000,50959000,467880000,571982000,482437000,96149000,573437000,584809000,1156791000,14490000,7477000,13585000,-11476000,24076000,-3312000,3000,-3309000,0,878000,878000,-257000,20510000,20510000,20510000,24202000,416921000,7676000,0.59034,0.08856,0.07807,0.02521,0.01275,0.52058,8.04779,0.97807,0.36041,0.29751,0.28499,3.81053,11.57012,0.15488,0.01401,0.00729,-10.15457,-14.69423
"26","2021_Q4",81.803125,"Down",192324000,-80384000,111940000,-92856000,-41246000,-44143000,-7467000,19084000,-4003000,-4056000,52999.9999999998,15081000,15081000,-1787000,13294000,13294000,13538000,13538000,700307000,700307000,90624000,90624000,56526000,23310000,23310000,870767000,42412000,268575000,90476000,112901000,11430000,53768000,310987000,1181754000,84408000,84408000,17279000,17279000,101687000,421112000,49892000,49892000,471004000,572691000,492636000,109687000,597174000,609063000,1181754000,13294000,7467000,18142000,-1017000,37886000,-1558000,37000,-1521000,5.96046447753906e-08,1542000,1542000,1260000,37625000.0000001,37625000.0000001,37625000.0000001,26551000,421112000,25763000,0.58204,0.09923,0.07039,0.02223,0.01146,1.90301,8.56321,0.94028,0.35634,0.27101,0.26117,3.84998,11.95434,0.51573,0.01253,0.02385,-10.51542,-14.62979
"27","2022_Q1",70.7712903225806,"Down",195290000,-82386000,112904000,-102144000,-47146000,-47612000,-7386000,10760000,-4161000,-4097000,-64000,6599000,6599000,2242000,8841000,8841000,9146000,9146000,736796000,710621000,105548000,105548000,75276000,25154973.7965214,25154973.7965213,917620000,41713000,272682000,91406000,137250000,13547000,30479000,314395000,1232015000,113311000,23495000,25168000,10331000,138479000,425345000,42136000,42136000,467481000,605960000,499483000,118833000,613167000,626055000,1232015000,8841000,7386000,14670000,-10934000,19963000,-6485000,17000,-6468000,0,1295000,1295000,-3181000,10314000,10314000,10314000,18146000,425345000,-1515000,0.57814,0.0551,0.04683,0.01461,0.00742,-0.16565,6.62642,0.9679,0.34524,0.18309,0.17644,3.90935,12.27449,-0.03033,0.00836,-0.00139,-17.16362,-28.94526
"28","2022_Q2",61.4603225806452,"Down",205437000,-90087000,115350000,-106437000,-47186000,-51490000,-7761000,8913000,-628000,-641000,13000,8285000,8285000,618000,8903000,8903000,9079000,9079000,671753000,671753000,103067000,103067000,86436000,27322000,27322000,888578000,39969000,296243000,86831000,112901000,39554000,56957000,336212000,1224790000,91175000,91175000,16294000,16294000,107469000,488024000,51023000,51023000,539047000,646516000,453589000,137884000,562993000,578274000,1224790000,8903000,7761000,5840000,-36465000,-13961000,-2171000,15999.9999999999,-2155000,-520863419.888075,-22251000,1080000,-22251000,-38367000,-38367000,-38367000,16674000,488024000,-22580000,0.56149,0.04339,0.04419,0.0157,0.00741,-2.48706,8.26823,1.11801,0.39846,0.18105,0.17484,4.09672,11.22693,-0.45028,0.00813,-0.02021,-11.01889,-20.6136
"29","2022_Q3",68.62140625,"Up",212845000,-87336000,125509000,-114173000,-52242000,-54156000,-7775000,11336000,336000,231000,105000,11672000,11672000,-844000,10828000,10828000,10842000,10842000,643380000,643380000,108256000,108256000,108321000,26038000,26038000,885995000,60680000,308866000,82264000,112901000,51638000,62063000,369546000,1255541000,122638000,122638000,18748000,18748000,141386000,488804000,47941000,47941000,536745000,678131000,469205000,148726000,561283000,577410000,1255541000,10828000,7775000,5695000,1921000,26219000,-24131000,-2984000,-26975000,-1952590259.66423,-27585000,583000,-27585000,-28341000,-28341000,-28341000,19111000,488804000,-2255000,0.58967,0.05326,0.05094,0.01878,0.00864,-0.20799,6.2665,1.17444,0.38932,0.21621,0.20879,4.24445,11.19283,-0.04497,0.00973,-0.00202,-8.08833,-13.63585
