"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",313.284375,"Down",-6474506,-1887757,-4563890,-6257147,-6227840,-6416447,-6416447,-6416447,-6416447,-6416447,17048587,7231078,1503311,1069308,18613511,1519687,6150681,24764192,2847480,1429083,1418397,3741849,10515577,10440048,10814111,14555960,377755342,-367507622,10208232,10208232,24764192,-6416447,239550,836689,-1311855,-6652063,-381415,3703193,-1233242,-1233242,-1233242,-6017597,515548,-0.62856,-0.2591,4.97442,1.4259,0.02082,-30.18143,-30.18143,48.01708,-0.3021,2.74745,2.64226
"12","2013_Q3",301.3734375,"Down",-6425389,-1581521,-4804890,-6221265,-6626370,-5868682,-5868682,-5868682,-5868682,-5868682,24178956,22752895,1747462,1178494,25994890,3450968,8057275,34052165,7549056,3021521,4527535,7821594,10102115,10030792,17472586,25294180,382169379,-373376304,8757985,8757985,34052165,-5868682,232008,86957.0000000009,1771692,-3778025,-2100515,6291274,15521457,15521457,15521457,-5989257,7591362,-0.6701,-0.17234,3.32348,2.88813,0.22293,-26.62633,-26.62633,39.73515,-0.22187,2.76956,2.66627
"13","2013_Q4",235.1953125,"Down",-6895114,-1710749,-5184365,-6656065,-7048142,-7191653,-7191653,-7191653,-7191653,-7191653,20955293,20955293,1118443,653979,22199223,5438659,10117359,32316582,7767022,1860544,5906478,8062346,10280753,10213637,20693344,28755690,383958244,-380567957,3560892,3560892,32316582,-7191653,258946,1158135,-227520,-6002092,-2135976,-710340,-1801730,-1801730,-1801730,-6397119,10612277,-2.01962,-0.22254,2.75344,8.07542,0.32838,-31.24268,-31.24268,15.46958,-0.29409,1.61682,1.55392
"14","2014_Q1",265.706557377049,"Up",-8469987,-3654244,-4815743,-8958222,-9337593,-6509910,-6509910,-6509910,-6509910,-6509910,30585424,30585424,1146216,616179,31840455,5304684,9716719,41557174,8884189,1151903,7732286,9132116,7395662,7332752,17471346,26603462,402231945,-387530334,14953712,14953712,41557174,-6962377,328221,-2476267,2220602,-6889821,-88390,-248221.000000001,9629697,9629697,9629697,-8630001,10222000,-0.43534,-0.15665,3.48665,1.77905,0.24597,-21.56756,-21.56756,49.54217,-0.19987,2.35961,2.27315
"15","2014_Q2",256.328571428571,"Down",-6865687,-2236014,-4629673,-6842103,-7235904,-7562528,-7562528,-7562528,-7562528,-7562528,26463625,26463625,649579,236163,27213592,5274600,9616545,36830137,8168386,2190342,5978044,8369773,7709791,7651087,20802555,29172328,402542838,-395150590,7657809,7657809,36830137,-7620256,335855,920566,-143711,-6507546,-230689,-230689,-4122708,-4122708,-4122708,-6506248,13185718,-0.98756,-0.20534,3.25141,3.80949,0.35801,-24.59385,-24.59385,24.90371,-0.26486,2.04079,1.94062
"16","2014_Q3",292.9921875,"Up",-7982983,-2143655,-5839328,-7959504,-8316265,-11970735,-11970735,-11970735,-11970735,-11970735,17847097,17847097,966728,276549,18901867,5141435,9458422,28360289,8151405,1705801,6445604,8296275,10352172,10297675,22607110,30903385,404360049,-407265814,-2543096,-2543096,28360289,-12115224,335707,4237838,-227960,-7769639,-132184,-132184,-8618908,-8618908,-8618908,-7623797,12294953,4.70715,-0.42209,2.27836,-12.15188,0.43353,-38.6698,-38.6698,-8.21512,-0.59544,0.72826,0.69755
"17","2014_Q4",201.77859375,"Down",-6461990,-2065117,-4396873,-6379584,-6696114,-2619754,-2619754,-2619754,-2619754,-2619754,32212589,32212589,1279434,242279,33562518,5126112,9207594,42770112,7746925,1216980,6529945,7869336,5819777,5769486,19155294,27024630,425588745,-410023000,15745482,15745482,42770112,-2757186,321050,-3509131,-738124,-6683391,-235559,-235559,14374424,14374424,14374424,-6058534,13357344,-0.16638,-0.06125,4.26497,1.71634,0.31231,-7.07808,-7.07808,42.54132,-0.07502,3.11218,2.95556
"18","2015_Q1",198.421967213115,"Down",-10612045,-3974834,-6637211,-9729123,-9994669,-10107646,-10107646,-10107646,-10107646,-10107646,24987603,24987603,1360902,343176,26507971,5186958,5918788,32426759,11374929,1818831,9556098,11497871,3464849,3418765,15058115,26555986,426076991,-420271608,5870773,5870773,32426759,-10248608,314591,759957,2782205,-6391855,-302011,172810,-7214359.99999999,-7214359.99999999,-7214359.99999999,-9414532,11613457,-1.72169,-0.31171,2.30547,4.52342,0.35814,-26.45068,-26.45068,15.36321,-0.48249,1.42059,1.37465
"19","2015_Q2",130.733174603175,"Down",-8981387,-2689196,-6292191,-8960390,-9003371,-9350701,-9350701,-9350701,-9350701,-9350701,14145901,14145901,1216247,245674,15379317,5159997,5869741,21249058,9076524,1677534,7398990,9210668,3784438,3742560,14384548,23595216,427243203,-429622309,-2346158,-2346158,21249058,-9350701,269604,1549717,-1375835,-8907215,-73069,-73069,-10810204,-10810204,-10810204,-8690786,10618637,3.98554,-0.44005,1.66973,-10.05696,0.49972,-24.30346,-24.30346,-6.09791,-0.77555,0.40586,0.39365
"20","2015_Q3",84.42125,"Down",-9302714,-2063729,-7238985,-9272583,-9450081,-8461714,-8461714,-8461714,-8461714,-8461714,29929140,29929140,1093970,219667,31025853,5266367,5955250,36981103,9465704,1376605,8089099,9619118,2765902,2728231,12102275,21721393,453293933,-438084023,15259710,15259710,36981103,-8461714,276094,396015,212320,-7577285,-334531,-334531,15765511,15765511,15765511,-8996489,9361305,-0.554510000000001,-0.22881,3.22544,1.42345,0.25314,-15.96852,-15.96852,28.79735,-0.30897,2.28621,2.21813
"21","2015_Q4",81.56578125,"Down",-10024961,-2305241,-7719720,-9987931,-10070236,-9642647,-9642647,-9642647,-9642647,-9642647,21185263,21185263,1084792,166996,22272680,5441329,6109375,28382055,9472653,1391716,8080937,9635379,2305720,2272255,11637708,21273087,454788765,-447726670,7108968,7108968,28382055,-9642647,294835,1002442,1079615,-7265755,-428960,-428960,-8739678,-8739678,-8739678,-9693096,9354555,-1.35641,-0.33974,2.31155,2.99243,0.32959,-15.94988,-15.94988,11.75893,-0.51375,1.22053,1.1845
"22","2016_Q1",58.6729508196721,"Down",-8528251,-2276008,-5860013,-8499522,-8565684,-8959964,-8959964,-8959964,-8959964,-8959964,437000,436999.999999996,53999.9999999998,54000,491000,38000,38000,529000,174000,25000,149000.000000001,174000,-9.31322574615479e-10,0,419000,593000,3221000,-3371999.99999994,-64000,-64000,529000,-8959964,285163,567170,1178462,-6929169,-48720,-48720,-9073508,-9073508,-9073508,-8214359,419000,139.99944,-16.93755,2.82184,-9.26562,0.79206,-4.48463,-4.48463,-0.0755800000000004,-25.23934,0.00218999999999991,0.0021199999999999
"23","2016_Q2",32.05046875,"Down",-9837039,-4628334,-5208705,-9813875,-9839633,-9561405,-9561405,-9561405,-9561405,-9561405,8674395,8674395,3008616,2453171,11683011,4950360,5735411,17418422,7026496,1925435,5101061,7200841,7771069,7746017,17070226,24271067,459348481,-466248039,-6852645,-6852645,17418422,-276000,4000,22000,-43000,-293000,0,0,-293000,-293000,-293000,-9809875,9315332,1.39529,-0.54892,1.62245,-3.54185,0.5348,-14.61932,-14.61932,-10.47764,-0.9343,-0.06534,-0.06531
"24","2016_Q3",14.4975,"Down",-8913264,-1415719,-3694097,-8883953,-8880012,2515458,2515458,2515458,2515458,2515458,2448761,2448761,2387201,2387201,4835962,6399535.84450502,1488827,6324789,6514809,4171777,2343032,10474945,611882,591037,738320.999999996,11213266,458796830,-463732581,-4888477,-4888477,6324789,-164000.000000001,2000,15000,94000,-52999.9999999995,0,0,697000,697000,697000,-8881953,126439,-0.514569999999995,0.397710000000003,0.46167,-2.29382,0.01999,2.27738,2.27738,-4.4258,-0.606110000000001,0.26147,0.26141
"25","2016_Q4",45.9155555555556,"Up",-1912630,-1909936,0,-1879868,-1892151,-4247870,-4247870,-4247870,-4247870,-4247870,2078618,2078618,26908,26908,2105526,3223275.9472724,38827,2144353,3374280,813626,2560654,3471106,668541,651902,794980,4266086,465811332,-467980451,-2121733,-2121733,2144353,-652000,3000,27000,201000,-421000,0,0,-267000,-267000,-267000,-1876868,126439,2.00208,-1.98096,0.60659,-2.01066,0.05896,-4.83106,-4.83106,-2.41303,3.2017,1.04013,1.03847
"26","2018_Q2",12.1709375,"Down",-1515000,-1019000,-496000,-1515000,-1482000,-1482000,-1482000,-1482000,-1482000,-1482000,9460000,9460000,221000,221000,9681000,212999.999999997,213000,9894000,468000,89000.0000000005,379000,468000,14999.9999999998,0,14999.9999999995,483000,31504000,-22093000,9411000,9411000,9894000,-1469000,10000,403000,-138000,-1194000,-133000,-133000,-1327000,-1327000,-1327000,-1505000,0,-0.157480000000001,-0.14979,20.6859,0.05132,0,-0.53599,-0.53599,3.40367,-0.15722,6.28571,6.24422
"27","2018_Q3",8.62984126984127,"Down",-1892000,-1145000,-747000,-1892000,-1894000,-1894000,-1894000,-1894000,-1894000,-1894000,8020000,8020000,281000,281000,8301000,291000,291000,8592000,580000,192000,388000,580000,14000,-313730.711779002,14000,594000,31984000,-23986000,7998000,7998000,8592000,-1893000,13000,479000,52000,-1349000,-91000,-91000,-1440000,-1440000,-1440000,-1879000,0,-0.23681,-0.22044,14.31207,0.07427,0,-0.66285,-0.66285,2.79908,-0.2364,4.26823,4.2389
"28","2018_Q4",3.78111111111111,"Down",-1753000,-1130000,-623000,-1753000,-1758000,-1758000,-1758000,-1758000,-1758000,-1758000,6673000,6673000,175000,175000,6848000,280000,280000,7128000,557000,194000,363000,557000,5000,-4.65661287307739e-10,5000,562000,32301000,-25735000,6566000,6566000,7128000,-1749000,26000,308000,83000,-1332000,-15000,-15000,-1347000,-1347000,-1347000,-1727000,0,-0.26774,-0.24663,12.29443,0.0855899999999998,0,-0.58488,-0.58488,2.18449,-0.26754,3.86393,3.80662
"29","2019_Q1",7.77426229508197,"Up",-2084000,-1435000,-649000,-2084000,-2106000,-2106000,-2106000,-2106000,-2106000,-2106000,5238000,5238000,593000,25000,5831000,259000,259000,6090000,4760000,630000,4130000,4760000,0,0,0,4760000,32569000,-27864000,1330000,1330000,6090000,-2129000,5000,263000,426000,-1435000,16000,16000,-1437000,-1437000,-1437000,-2079000,0,-1.58346,-0.34581,1.225,3.57895,0,-0.70459,-0.70459,0.44497,-1.58346,2.51948,2.51344
"30","2019_Q2",6.62015873015873,"Down",-1916000,-1329000,-587000,-1916000,-1961000,-1961000,-1961000,-1961000,-1961000,-1961000,7853000,5357000,5244000,5244000,13097000,248000,810000,13907000,4117000,123000,3994000,4429000,250000,250000,250000,4679000,42428000,-29825000,9228000,9228000,13907000,-1961000,11000,315000,-1088000,-2723000,0,-2496000,4343000,4343000,4343000,-1905000,0,-0.21251,-0.14101,2.9571,0.50704,0,-0.47991,-0.47991,2.25832,-0.2069,4.12231,4.09864
"31","2019_Q3",5.84703125,"Down",-1545000,-768000,-777000,-1545000,-1542000,-1542000,-1542000,-1542000,-1542000,-1542000,7382000,4879000,4467000,4250000,11849000,234000,726000,12575000,4102000,179000,3923000,4406000,188000,188000,188000,4594000,42723000,-31367000,7981000,7981000,12575000,-1542000,14000,316000,735000,-477000,0,0,-477000,-477000,-477000,-1531000,0,-0.19321,-0.12262,2.68929,0.57562,0,-0.35786,-0.35786,1.85221,-0.18876,4.82169,4.77799
"32","2019_Q4",5.8615625,"Up",-1791000,-948000,-843000,-1791000,-1749000,-1874000,-1874000,-1874000,-1874000,-1874000,6051000,3548000,4436000,4250000,10487000,215000,636000,11123000,722000.000000001,282000,440000,4589000,131000,131000,131000,4720000,43019000,-33241000,6403000,6403000,11123000,-1874000,19000,268000,256000,-1331000,3.63797880709171e-12,0,-1331000,-1331000,-1331000,-1772000,0,-0.29268,-0.16848,2.28525,0.73715,1.35525271560688e-20,-0.43492,-0.43492,1.48601,-0.28681,3.41479,3.37856
"33","2020_Q1",8.76290322580645,"Up",-1988000,-1147000,-841000,-1988000,-1988000,-1870000,-1870000,-1870000,-1870000,-1870000,31292000,28771000,4644000,4358000,35936000,228000,1190000,37126000,1079000,284000,795000,4826000,760000,760000,760000,5586000,70026000,-35111000,31540000,31540000,37126000,-1870000,40000,79000,-169000,-1920000,43000,43000,25331000,25331000,25331000,-1948000,0,-0.05929,-0.05037,7.44633,0.17711,0,-0.42842,-0.42842,7.22591,-0.05789,16.06366,15.74044
"34","2020_Q2",6.77031746031746,"Down",-2163000,-1472000,-691000,-2163000,-2163000,-2163000,-2163000,-2163000,-2163000,-2163000,29585000,29585000,518000,76000,30103000,279000,1195000,31298000,751000,204000,547000,927000,693000,693000,693000,1620000,66994000,-37316000,29678000,29678000,31298000,-2205000,17000,343000,-501000,-2346000,-68000,2253000,-3468000,-3468000,-3468000,-2146000,-7.105427357601e-15,-0.07288,-0.06911,32.47357,0.05459,8.470329472543e-22,-0.30234,-0.30234,4.14831,-0.07122,13.78611,13.67776
"35","2020_Q3",7.04609375,"Up",-1884000,-1215000,-669000,-1884000,-1884000,-1884000,-1884000,-1884000,-1884000,-1884000,28233000,28233000,535000,78000,28768000,270000,1139000,29907000,663000,146000,517000,851000,667000,667000,667000,1518000,67560000,-39171000,28389000,28389000,29907000,-1855000,17000,566000,-70000,-1342000,-8000,-8000,-1350000,-1350000,-1350000,-1867000,0,-0.06636,-0.063,33.80494,0.05347,0,-0.26523,-0.26523,3.99662,-0.06484,15.12212,14.98567
"36","2020_Q4",7.505,"Up",-2415000,-1378000,-1037000,-2415000,-2415000,-2485000,-2485000,-2485000,-2485000,-2485000,26531000,26531000,413000,78999.9999999999,26944000,258000,1080000,28024000,735000,190000,545000,919000,629000,629000,629000,1548000,68119000,-41643000,26476000,26476000,28024000,-2472000,19000,559000,2e+05,-1694000,-7000,-7000,-1701000,-1701000,-1701000,-2396000,0,-0.09386,-0.08867,29.31882,0.05847,5.29395592033938e-23,-0.34976,-0.34976,3.72645,-0.09168,11.07304,10.98592
"37","2021_Q1",8.60180327868853,"Up",-2627000,-1628000,-999000,-2627000,-2627000,-2557000,-2557000,-2557000,-2557000,-2557000,24648000,19650000,605000,84000,25253000,251000,1026000,26279000,1158000,275000,883000,1345000,626000,626000,626000,1971000,68588000,-44280000,24308000,24308000,26279000,-2637000,15000,399000,353000,-1870000,-8000,-5006000,-6876000,-6876000,-6876000,-2612000,0,-0.10519,-0.0973,18.77546,0.08108,0,-0.3597,-0.3597,3.41952,-0.10255,9.43645,9.38257
"38","2021_Q2",7.55269841269841,"Down",-2392000,-1273000,-1119000,-2388000,-2388000,-2388000,-2388000,-2388000,-2388000,-2388000,22922000,17924000,285000,81000,23207000,238000,963000,24170000,1102000,408000,694000,1275000,565000,565000,565000,1840000,68998000,-46668000,22330000,22330000,24170000,-2388000,18000,410000,-33999.9999999999,-1994000,-5000,265000,-1729000,-1729000,-1729000,-2370000,0,-0.10694,-0.0988,18.20157,0.0824,0,-0.33595,-0.33595,3.14147,-0.1043,9.67173,9.59883
"39","2021_Q3",7.25109375,"Down",-2476000,-1087000,-1389000,-2511000,-2511000,-2511000,-2511000,-2511000,-2511000,-2511000,20618000,15619000,343000,83000,20961000,230000,904000,21865000,1039000,347000,692000,1204000,543000,543000,543000,1747000,69297000,-49179000,20118000,20118000,21865000,-2511000,14000,298000,-98000,-2297000,-6000,-6000,-2303000,-2303000,-2303000,-2497000,0,-0.12481,-0.11484,17.40947,0.08684,0,-0.35326,-0.35326,2.83028,-0.12153,8.25711,8.21107
"40","2021_Q4",6.444375,"Down",-2552000,-1163000,-1389000,-2555000,-2555000,-2555000,-2555000,-2555000,-2555000,-2555000,18427000,13428000,361000,84000,18788000,228000,913000,19701000,1128000,489000,639000,1395000,436000,436000,436000,1831000,69604000,-51734000,17870000,17870000,19701000,-2555000,16000,307000,56000,-2176000,-14000,-13999.9999999998,-2190000,-2190000,-2190000,-2539000,-3.46944695195361e-18,-0.14298,-0.12969,13.4681,0.10246,-4.13590306276514e-25,-0.35945,-0.35945,2.51402,-0.13957,7.25758,7.21213
"41","2022_Q1",5.85935483870968,"Down",-3937000,-1681000,-2256000,-3903000,-3903000,-3903000,-3903000,-3903000,-3903000,-3903000,15492000,13493000,387000,87000,15879000,244000,888000,16767000,1706000,279000,1427000,1984000,402000,402000,402000,2386000,69974000,-55593000,14381000,14381000,16767000,-3859000,28000,371000,573000,-2887000,-44000,2955000,68000,68000,68000,-3875000,0,-0.2714,-0.23278,8.00353,0.16591,0,-0.54835,-0.54835,2.02044,-0.26402,3.99794,3.96925
"42","2022_Q2",5.5641935483871,"Down",-3176000,-1470000,-1706000,-3189000,-3189000,-3189000,-3189000,-3189000,-3189000,-3189000,12470000,10472000,282000,85000,12752000,239000,930000,13682000,1359000,212000,1147000,1675000,386000,386000,386000,2061000,70403000,-58782000,11621000,11621000,13682000,-3189000,21000,430000,-269000,-3007000,-16000,-16000,-3023000,-3023000,-3023000,-3168000,0,-0.27442,-0.23308,7.61313,0.17735,0,-0.44864,-0.44864,1.63489,-0.2656,3.93624,3.91032
"43","2022_Q3",5.14171875,"Down",-3563000,-1370000,-2193000,-3513000,-3513000,-3513000,-3513000,-3513000,-3513000,-3513000,9292000,7294000,357000,77000,9649000,278000,893000,10542000,1429000,233000,1196000,1724000,278000,278000,278000,2002000,70835000,-62295000,8540000,8540000,10542000,-3513000,23000,432000,-66000,-3124000,-62000,-62000,-3186000,-3186000,-3186000,-3490000,0,-0.41136,-0.33324,5.59687,0.23443,0,-0.49422,-0.49422,1.20144,-0.39839,2.66246,2.64503
