"","YQ","p","d","operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","total_current_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2020_Q2",2.82238095238095,"Down",-4971456,-4971456,22749,25742,-4948707,-4948707,-4948707,-4948707,-4948707,-4948707,7007260,7007260,624520,7631780,8508598,16140378,1515964,344800,1171164,1780436,2051430,95288167,-81199219,14088948,14088948,16140378,-4948707,17709,667338,-806720,-5070380,-5070380,-5070380,-5070380,-4953747,0,-0.35125,-0.3066,4.28647,0.14561,0,-0.49011,-0.49011,1.39535,-0.34462,1.41454,1.4095
"12","2020_Q3",3.2321875,"Up",-5769885,-5769885,-915.000000238419,-25742.0000001192,-5770800,-5770800,-5770800,-5770800,-5770800,-5770800,5880861,5880861,475005.000000007,6355866.00000006,8435363,14791228.9999998,2517447,434466,2082981.00000006,3047500.99999988,3572857.99999994,98188390.999999,-86970019.999999,11218371,11218371,14791228.9999998,-5770800,17710.0000000009,960046,1163071.00000003,-3629973.00000024,-1126399,-1126399,-1126399,-5752174.99999988,0,-0.514410000000001,-0.39015,2.0856,0.31848,0,-0.556720000000011,-0.556720000000011,1.08225,-0.49139,1.02237,1.01923
"13","2020_Q4",2.69046875,"Down",-5889037,-5889037,-39221,-4129,-5928258,-5928258,-5928258,-5928258,-5928258,-5928258,6157448,6157448,846399,7003847,8363056,15366903,3867852,914204,2953648,4489424,4863391,103401790,-92898278,10503512,10503512,15366903,-5928258,17639,488783,974656,-4447180,276587,276587,276587,-5871398,0,-0.56441,-0.38578,1.56008,0.46303,0,-0.51444,-0.51444,0.91148,-0.545,1.04872,1.04558
"14","2021_Q1",3.39967213114754,"Up",-10938292622,-10938292622,-11930508613,-11847897871,-22868801235,-22868801235,-22868801235,-22868801235,-22868801235,-22868801235,5761568000,5761568000,679461000,6441029000,8172659000,14613688000,5453210000,1672109000,3781101000,6145546000,6389354000,107360295000,-99135961000,8224334000,8224334000,14613688000,-22868801235,70760942,2703839833,3079932993,-17014267467,-6310151808,-6310151808,-6310151808,-10867531680,0,-2.78062999999999,-1.56489,1.04808,0.77688,0,-1829.84606,-1829.84606,658.0697,-2.70057,0.53016,0.52673
"15","2021_Q2",2.87793650793651,"Down",-5520046,-4620046,8741,-40163,-4611305,-4611305,-4611305,-4611305,-4611305,-4611305,15900297,15900297,10507161,36407458,8103440,44510898,2655350,428925,2226425,34035435,34101253,111058778,-100649133,10409645,10409645,44510898,-4611305,14634,560814,7040861,3005004,10138729,10138729,10138729,-4605412,0,-0.44298,-0.1036,1.06969,3.27593,0,-0.32612,-0.32612,0.73619,-0.4402,3.45252,3.44159
"16","2021_Q3",2.538125,"Down",-3629795.00000095,-3629794.99999905,560758.000001907,4212690420.18945,-3069037,-3069037,-3069037,-3069037,-3069037,-3069037,22128331.999999,22128331.999999,9823295,31951627,8032565.00000095,39984192.0000019,3307741.99999905,1808455,1499287.00000048,32207156,32207156,111653441,-103876405.000015,7777036,7777036,39984192.0000019,-3069037,18003.0000000075,27132,9261837,6237935,6228035,6228035,6228035,-3611792,2.91038304567337e-11,-0.394629999999859,-0.0767599999999965,0.99207,4.14132,8.67361737988404e-19,-0.214449999999542,-0.214449999999542,0.54341999999989,-0.394629999999974,6.12669,6.0963
"17","2021_Q4",2.320625,"Down",-3278821,-3278821,5813,-1648765719.30672,-3273008,-3273008,-3273008,-3273008,-3273008,-3273008,14151496,14151496,10430236,24581732,7968476,32550208,3173076,1089061,2084015,30385765,30385765,112253754,-110089311,2164443,2164443,32550208,-3273008,18588,597557,-5300737,-7957600,-7976836,-7976836,-7976836,-3260233,0,-1.51217,-0.10055,0.80899,14.03861,0,-0.22872,-0.22872,0.15125,-1.51217,4.34064,4.31603
"18","2022_Q1",2.41306451612903,"Up",-10687905338,-9428805338,-5934234312,-6508014837,-15363039650,-15363039650,-15363039650,-15363039650,-15363039650,-15363039650,12710762,12710762,15377854,28088616,8168334.99999994,36256951,3833927.00000006,1405734.00000001,2428193.00000003,29109949.9999999,37980556,112786348.999999,-114509954,-1723605,-1723605,36256951,-15363039650,70861775,1716912497,13439071039,-136194339,6940804072,6940804072,6940804072,-9357943563,-4.65661287307739e-10,8913.3181,-423.72674,0.96491,-22.03553,-1.38777878078145e-17,-1073.4651,-1073.4651,-0.120430000000011,-2149.57849,0.00136000000000003,0.00134999999999952
"19","2022_Q2",2.09435483870968,"Down",-7047240,-7047240,-1299,-2838,-7048539,-9179004,-9179004,-9179004,-9179004,-9179004,20800384,20800384,2553443,23353827,8115664,31469491,8154979,2019653,6135326,27578713,41570972,113587477,-123688958,-10101481,-10101481,31469491,-9179004,20606,2604562,3540581,-3013255,8089622,8089622,8089622,-7026634,13135369,0.90868,-0.29168,0.84681,-4.11533,0.4174,-0.64143,-0.64143,-0.70589,-1.76833,1.09085,1.08766
"20","2022_Q3",1.4478125,"Down",-7064846,-7064846,-131520.999999046,25394965774.1914,-7196367,-2667036,-2667036,-2667036,-2667036,-2667036,14469744,14469744,731379.000000002,15201123,8041766.99999999,23242890,9059955,3491991,5567964,17473264,32026432,117572452,-126355994,-8783542,-8783542,23242890,-2667036,18190,-4063885,-3140101,-9852832,-6330640,-6330640,-6330640,-7046656,8405909,0.303640000001447,-0.114749999999973,0.86996,-3.64619,0.36166,-0.174620000000104,-0.174620000000104,-0.57508,-0.34830000000023,0.86053,0.85831
