"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","other_investing_activities","net_cash_from_investing_activities","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2019_Q1",2.04868852459016,"Down",2578000,-412000,2166000,-2162000,-1828000,-334000,4000,8000,8000,12000,-44000,-32000,-231000,-263000,-263000,-263000,-263000,3408000,3408000,1777000,1777000,618000,316000,302000,5803000,3344000,2572000,2447000,125000,5916000,11719000,1708000,280000,1428000,999.999999999998,1000,1709000,0,1709000,22611000,-11899000,-702000,10010000,10010000,11719000,-261000,334000,331000,-856000,-452000,-407000,-407000,16000,16000,-843000,-843000,-21000,-864000,338000,0,0.84019,0.00155,-0.10202,-0.02627,-0.02244,3.39555,0.17073,-2.11758236813575e-22,-0.02646,-0.02646,0.25941,1.00724,-0.02627,-10.08284,-852
"12","2019_Q2",2.02253968253968,"Down",2381000,-350000,2031000,-2612000,-2309000,-303000,-581000,7000,7000,-574000,-129000,-703000,-2999.99999999997,-706000,-706000,-706000,-706000,3561000,3561000,1236000,1236000,381000,247000,134000,5178000,3483000,2485000,2363000,122000,6218000,11396000,2120000,350000,1770000,13000,13000,2133000,2.27373675443232e-13,2133000,22732000,-12605000,-833000,9263000,9263000,11396000,-706000,303000,121000,1203000,921000,-445000,-695000,-12387.337115436,-31000,195000,195000,-42000,153000,-278000,-7.105427357601e-15,0.853,-0.24402,-0.29651,-0.07622,-0.06195,2.42757,0.23027,0,-0.07049,-0.07049,0.23774,0.92491,-0.07622,12.80935,6.12909
"13","2019_Q3",1.61984375,"Down",2573000,-328000,2245000,-2490000,-2162000,-328000,-245000,38000,38000,-207000,-35000,-242000,4000,-238000,-238000,-238000,-238000,2704000,2704000,1357000,1357000,412000,3e+05,112000,4473000,3626000,2740000,2365000,375000,6366000,10839000,1606000,297000,1309000,0,0,1606000,0,1606000,22943000,-12846000,-833000,9233000,9233000,10839000,-240000,328000,210000,-683000,-385000,-471000,-471000,-2.91038304567337e-11,0,-856000,-856000,-1000,-857000,83000,0,0.87252,-0.09522,-0.0925,-0.02578,-0.02196,2.78518,0.17394,0,-0.02366,-0.02366,0.25574,0.9177,-0.02578,-32.57831,11.03673
"14","2019_Q4",1.7128125,"Up",1912000,-353000,1559000,-2681000,-2290000,-391000,-1122000,3000,3000,-1119000,-72000,-1191000,-7000.00000000001,-1198000,-1198000,-1198000,-1198000,2248000,2248000,1204000,1204000,440000,259000,181000,3892000,3590000,2676000,2306000,370000,6266000,10158000,1810000,156000,1654000,284000,0,2094000,-3.63797880709171e-12,2094000,23062000,-14041000,-926000,8064000,8064000,10158000,-1196000,391000,121000,619000,-65000,-361000,-361000,2000,2000,-424000,-424000,-32000,-456000,-731000,0,0.81538,-0.58682,-0.62657,-0.14856,-0.11794,1.85864,0.25967,0,-0.11846,-0.11846,0.18906,0.79739,-0.14856,3.07524,2.00357
"15","2020_Q1",1.37693548387097,"Down",1950000,-348000,1602000,-2541000,-2136000,-405000,-939000,-247000,-247000,-1186000,-6000,-1192000,-10000,-1202000,-1202000,-1202000,-1202000,1609000,1609000,1133000,1133000,483000,380000,103000,3225000,3396000,2386000,2266000,120000,5782000,9007000,1389000,217000,1172000,658000,141000,2047000,148605.352991027,2047000,23235000,-15243000,-985000,6960000,6960000,9007000,-1202000,405000,420000,-18000,-395000,-463000,-213000,3000.00000000001,-13000,-621000,-621000,-18000,-639000,-534000,0,0.82154,-0.48154,-0.61641,-0.1727,-0.13345,1.57548,0.29411,0,-0.11851,-0.11851,0.19225,0.68619,-0.1727,3.01311,1.71353000000001
"16","2020_Q2",1.12253968253968,"Down",2033000,-328000,1705000,-2450000,-1945000,-505000,-745000,-178613.101991717,-178711.378963688,-745000,-56000,-801000,-10613.3938102672,-801000,-801000,-801000,-801000,1659000,1659000,1065000,1065000,277000,220000,57000,3001000,3099000,2751000,2168000,583000,5850000,8851000,1794000,328000,1466000,723000,110000,2517000,242000,2759000,23333000,-16044000,-1128000,6092000,6092000,8851000,-801000,505000,97999.9999999999,550000,352000,-213000,-213000,-396997.410831228,-53000,86000,86000,-36000,50000.0000000002,-240000,1.81898940354586e-12,0.83866,-0.36645,-0.394,-0.13148,-0.0905,1.19229,0.45289,0,-0.07856,-0.07856,0.19939,0.59749,-0.12646,6.9125,2.22685
"17","2020_Q3",1.4721875,"Up",2644000,-308000,2336000,-2257000,-1894000,-363000,79000,5000,5000.00000000012,84000,17000,101000,-1000,1e+05,1e+05,1e+05,1e+05,2252000,2252000,1032000,1032000,241000,175000,66000,3525000,2941000,2694000,2164000,530000,5635000,9160000,1404000,310000,1094000,919000,63000,2323000,183000,2506000,23810000,-15944000,-1136000,6654000,6654000,9160000,1e+05,363000,198000,-88000,573000,-204000,-204000,279000,225000,594000,594000,-1000,593000,442000,0,0.88351,0.02988,0.03782,0.01503,0.01092,1.51743,0.37662,0,0.00978,0.00978,0.25851,0.65057,0.01463,-5.09502,-28.50633
"18","2020_Q4",3.4384375,"Up",2079000,-289000,1790000,-1917000,-1569000,-348000,-127000,2000,2000,-125000,-2e+05,-325000,0,-325000,-325000,-325000,-325000,4630000,4630000,935000,935000,225000,180000,45000,5790000,2781000,2392000,1937000,455000,5173000,10963000,1583000,340000,1243000,1085000,16000,2668000,363000,3031000,25746000,-16269000,-1469000,7932000,7932000,10963000,-325000,348000,101000,534000,658000,-196000,-196000,1975000,2005000,2467000,2467000,-89000,2378000,221000,218000,0.86099,-0.06109,-0.15633,-0.04097,-0.02965,2.17016,0.38212,0.01989,-0.02719,-0.02719,0.1739,0.66349,-0.03918,-19.9638,34.74016
"19","2021_Q1",10.1454098360656,"Up",2714000,-270000,2444000,-2054000,-1702000,-352000,390000,4000,4000,394000,87000,481000,-14000,467000,467000,467000,467000,5111000,5111000,1407000,1407000,236000,123000,113000,6754000,2584000,2667000,2196000,471000,5251000,12005000,1500000,290000,1210000,1338000,68030.5035263585,2838000,282000,3120000,25843000,-15802000,-1085000,8885000,8885000,12005000,467000,352000,95000,-375000,539000,-146000,-146000,8000,-8000,385000,385000,96000,481000,742000,218000,0.90052,0.1437,0.17207,0.05256,0.0389,2.37984,0.35115,0.01816,0.03852,0.03852,0.22384,0.73237,0.05094,-6.59434,-12.54615
"20","2021_Q2",13.9861904761905,"Up",3762000,-304000,3458000,-2365000,-2006000,-359000,1093000,1000,1000,1094000,-40999.9999999999,1053000,-8000,1045000,1045000,1045000,1045000,6252000,6252000,1961000,1961000,337000,261000,76000,8550000,2436000,2481000,2091000,390000,4917000,13467000,1563000,365000,1198000,1701000,142000,3264000,221000,3485000,26085000,-14757000,-1244000,9982000,9982000,13467000,1045000,359000,237000,-154000,1487000,-215000,-215000,362237.165326655,-66000,1206000,1206000,-65000,1141000,1452000,218000,0.91919,0.29054,0.27778,0.10469,0.0776,2.61949,0.34913,0.01619,0.08572,0.08363,0.30859,0.8188,0.10242,-4.15565,-5.52059
"21","2021_Q3",15.79375,"Up",5314000,-313000,5001000,-2483000,-2159000,-324000,2518000,4000,4000,2522000,75000,2597000,-319000,2278000,2278000,2278000,2278000,13608000,13608000,2908000,2908000,261000,195000,66000,16777000,2308000,2700000,2329000,371000,5008000,21785000,1816000,275000,1541000,1793000,81000,3609000,218000,3827000,31418000,-12479000,-879000,17958000,17958000,21785000,2278000,324000,152000,-480000,2274000,-186000,-186000,5396000,5121000,7209000,7209000,147000,7356000,2842000,218000,0.9411,0.47384,0.42868,0.12685,0.10457,4.64866,0.21311,0.01001,0.18032,0.16997,0.42064,1.42152,0.12533,-4.71147,-5.31771
"22","2021_Q4",10.96,"Down",5252000,-290000,4962000,-2983000,-2694000,-289000,1979000,9000,9000,1988000,-13000,1975000,474000,2449000,2449000,2449000,2449000,24915000,24915000,2743000,2743000,247000,175000,72000,27905000,2166000,2973000,2412000,561000,5139000,33044000,3161000,337000,2824000,1844000,20000,5005000,397000,5402000,39036000,-10547000,-750000,27642000,27642000,33044000,4925000,578000,-432000,1298000,6369000,-302000,-5078000,10477000,10046000,11337000,11337000,-37000,11300000,2557000,218000,0.94478,0.37681,0.4663,0.0886,0.07411,5.57542,0.19543,0.0066,0.19179,0.17405,0.41131,2.16438,0.08734,-9.65858,-12.47954
"23","2022_Q1",7.0641935483871,"Down",5241000,-287000,4954000,-2741000,-2452000,-289000,2213000,231000,-14000,2444000,-23000,2421000,55000.0000000002,2476000,2476000,2476000,2476000,24908000,24908000,2545000,2545000,160000,160000,88063.8423035345,27613000,1980000,7884000,2262000,5145000,9864000,37477000,2356000,585000,1771000,1821000,994698.699196931,4177000,145000,4322000,41808000,-7554000,-997000,33155000,33155000,37477000,0,0,0,0,0,-4726000,0,0,0,0,0,0,0,2213000,0,0.94524,0.42225,0.47243,0.07468,0.06607,6.61073,0.13036,0,0.16473,0.153,0.34868,2.20577,0.07435,-11.25531,-11.25531
"24","2022_Q2",4.94209677419355,"Down",6028000,-310000,5718000,-3130000,-2732000,-398000,2588000,13000,-23576.7129235892,2601000,-10000,2591000,-536000,2055000,2055000,2055000,2055000,27249000,27249000,2816000,2816000,427000,322000,105000,30492000,1891000,9987000,2361000,358000,11878000,42370000,2908000,407000,2501000,3897000,2094000,6805000,126000,6931000,42122000,-5499000,-855000,35439000,35439000,42370000,2055000,398000,319000,-78000.0000000002,2694000,-187999.999999999,-188000.000000001,-9734133.17811471,-231999.999999999,2274000,2274000,67000,2341000,2986000,-2.91038304567337e-11,0.94857,0.42933,0.34091,0.05799,0.0485,4.48082,0.19558,0,0.1562,0.14639,0.45819,2.69337,0.05778,-9.12559,-10.52898
"25","2022_Q3",2.86625,"Down",6915000,-342000,6573000,-3466000,-3106000,-360000,3107000,14000,27000,3121000,-85000,3036000,-711000,2325000,2325000,2325000,2325000,30016000,30016000,3241000,3241000,393000,285000,108000,33650000,1770000,9561000,2228000,318000,11331000,44981000,3186000,417000,2769000,3661000,1879000,6847000,96000,6943000,42618000,-3174000,-1077000,38038000,38038000,44981000,2325000,360000,439000,-139000,2985000,-135000,-135000,7000,7000,2857000,2857000,-90000,2767000,3467000,0,0.95054,0.44931,0.33623,0.06112,0.05169,4.91456,0.18253,0,0.17001,0.15957,0.50563,2.781,0.06097,-8.65763,-9.66077
