"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",5.97774193548387,"Down",29324000,-22694000,6630000,-5409000,-5409000,1221000,-37000,1184000,1184000,-402000,782000,782000,782000,782000,459000,459000,13868000,13868000,6753000,2657000,1307000,1350000,23737000,6609000,19995000,2458000,15294000,1010000,26604000,50341000,12589000,8839000,3750000,12589000,6642000,1538000,1538000,8180000,20769000,14389000,14781000,402000,29572000,29572000,50341000,782000,724000,116000,74000,1696000,-843000,-843000,-6e+05,-35000,75000,-110000,-592000,261000,261000,4000,265000,1945000,6642000,1578000,0.22609,0.04164,0.02667,0.02644,0.01553,2.0179,1.88553,0.70232,0.13194,0.10543,0.10341,3.95362,3.98706,0.21275,0.02071,0.0418,3.17892,5.06388
"12","2013_Q1",6.30916666666667,"Up",31087000,-22598000,8489000,-5538000,-5538000,2951000,-93000,2858000,2858000,-1042000,1816000,1816000,1816000,1816000,406000,406000,15411000,15411000,6803000,2111000,1134000,977000,24731000,6885000,23431000,3691000,17592000,1061000,30316000,55047000,13327000,8883000,3979000,13327000,8017000,2053000,1502000,10070000,23397000,14328000,16841000,481000,31650000,31650000,55047000,1816000,757000,411000,-92999.9999999995,2891000,-468000,-4368000,1375000,40000,40000,0,1377000,-1e+05,-1e+05,47000,-53000,3708000,8017000,4189000,0.27307,0.09493,0.05842,0.05738,0.03299,2.30672,1.85571,0.73924,0.14564,0.24498,0.24028,4.19358,4.26953,0.56509,0.04353,0.10041,2.05259,2.57913
"13","2013_Q2",6.6153125,"Up",28710000,-21496000,7214000,-6062000,-6062000,1152000,-4000,1148000,1148000,-427000,721000,721000,721000,721000,577000,577000,13626000,13626000,7025000,2662000,1183000,1479000,23890000,6654000,23145000,3395000,17508000,1136000,29799000,53689000,10363000,6474000,3545000,10363000,8653000,2136000,1591000,10789000,21152000,14489000,17562000,486000,32537000,32537000,53689000,721000,729000,165000,-2120000,-505000,-136000,-136000,636000,53000,53000,1212940.70106517,689000,48000,48000,123000,171000,1881000,8653000,52000,0.25127,0.04013,0.02511,0.02216,0.01343,0.07212,2.30532,0.65009,0.16117,0.09688,0.09375,3.85783,4.37208,0.00699,0.01664,0.00120000000000001,4.29346,7.01042
"14","2013_Q3",7.7425,"Up",28882000,-22061000,6821000,-5540000,-5540000,1281000,-68000,1213000,1213000,-442000,771000,771000,771000,771000,409000,409000,13993000,13993000,8267000,3579000,1394000,2185000,26248000,6472000,23128000,3176000,17559000,1170000,29600000,55848000,12102000,7163000,4860000,12102000,8718000,2263000,1641000,10981000,23083000,14628000,17620000,517000,32765000,32765000,55848000,771000,711000,74000,-817000,739000,-177000,-177000,65000,-722000,58000,-780000,-657000,-95000,-95000,-73000,-168000,1992000,8718000,1440000,0.23617,0.04435,0.02669,0.02353,0.01381,1.8677,2.1689,0.7045,0.1561,0.10433,0.10163,3.90825,4.43369,0.19486,0.01762,0.03292,4.17118,6.48634
"15","2013_Q4",8.01609375,"Up",30513000,-23375000,7138000,-5796000,-5796000,1342000,-85000,1257000,1257000,-469000,788000,788000,788000,788000,165000,165000,13680000,13680000,7572000,3911000,1251000,2660000,25328000,6671000,22930000,2895000,17463000,1212000,29601000,54929000,13774000,8720000,5054000,13774000,10609000,2427000,1730000,13036000,26810000,14480000,13111000,528000,28119000,28119000,54929000,788000,791000,95000,2244000,3918000,-602000,-602000,1891000,-5590000,55000,-5645000,-3698000,-382000,-382000,138000,-244000,2133000,10609000,4244000,0.23393,0.04398,0.02583,0.02802,0.01435,5.38579,1.83883,0.95345,0.19314,0.11494,0.1106,4.45055,4.10137,0.61902,0.01915,0.10312,4.89639,7.78241
"16","2014_Q1",8.91901639344262,"Up",30403000,-21786000,8617000,-5687000,-5687000,2930000,-102000,2828000,2828000,-1124000,1704000,1704000,1704000,1704000,23000,23000,15663000,15663000,6181000,2268000,1180000,1088000,24135000,7089000,22650000,2651000,17384000,1219000,29739000,53874000,13857000,7132000,5690000,13857000,7593000,2341000,1734000,9934000,23791000,14745000,14771000,567000,30083000,30083000,53874000,1704000,714000,-150000,1192000,3460000,-797000,-797000,-3016000,94000,151000,-57000,-2922000,-259000,-259000,117000,-142000,3644000,7593000,5163000,0.28343,0.09637,0.05605,0.05664,0.03163,3.02993,1.74172,0.79085,0.14094,0.25694,0.24253,4.58429,4.53604,0.7785,0.04258,0.12902,2.07739,2.58362
"17","2014_Q2",9.53761904761905,"Up",29119000,-22450000,6669000,-5910000,-5910000,759000,-45000,714000,714000,-269000,445000,445000,445000,445000,168000,168000,14115000,14115000,8217000,2285000,1146000,1139000,24785000,7437000,22346000,2490000,17473000,1384000,29783000,54568000,10321000,7314000,3007000,10321000,10821000,2574000,1906000,13395000,23716000,15100000,15175000,577000,30852000,30852000,54568000,445000,624000,637000,-4120000,-2414000,-703000,-703000,3228000,159000,228000,-69000,3387000,270000,270000,-125000,145000,1383000,10821000,-3171000,0.22903,0.02607,0.01528,0.01442,0.00814999999999999,-7.12584,2.40141,0.7687,0.1983,0.06597,0.06335,4.31648,4.57338,-0.47006,0.01006,-0.07167,7.70282,14.03557
"18","2014_Q3",9.5115625,"Down",31111000,-24185000,6926000,-5410000,-5410000,1516000,-138000,1378000,1378000,-519000,859000,859000,859000,859000,263000,263000,16345000,16345000,7513000,2353000,1682000,671000,26474000,8520000,28160000,4450000,21244000,1440000,36680000,63154000,11688000,8133000,3555000,11688000,16327000,3274000,1909000,19601000,31289000,15433000,16032000,4e+05,31865000,31865000,63154000,859000,747000,213000,184000.000000001,2003000,-1129000,-7810000,5506000,97000,99000,-2000,5603000,-204000,-204000,299000,95000,2263000,16327000,1837000,0.22262,0.04873,0.02761,0.02696,0.0136,2.13853,2.26506,0.98192,0.25853,0.12636,0.12141,4.57649,4.68741,0.27023,0.01669,0.03569,7.09854,10.59631
"19","2014_Q4",9.809375,"Up",31052000,-24058000,6994000,-5617000,-5617000,1377000,-83000,1294000,1294000,-481000,813000,813000,813000,813000,19000,19000,15296000,15296000,7222000,2412000,1565000,847000,24949000,8876000,27535000,4035000,20991000,1475000,36411000,61360000,10813000,7184000,3629000,10813000,14837000,3058000,1952000,17895000,28708000,15587000,16845000,220000,32652000,32652000,61360000,813000,897000,-141000,61000,1630000,-831000,-831000,-1490000,69000,69000,0,-1421000,-622000,-622000,378000,-244000,2274000,14837000,1985000,0.22524,0.04434,0.02618,0.0249,0.01325,2.44157,2.30732,0.87921,0.2418,0.11916,0.11481,4.55108,4.78558,0.29093,0.01608,0.03927,6.51627,10.76107
"20","2015_Q1",9.52639344262295,"Down",32342000,-23844000,8498000,-5382000,-5382000,3116000,-79000,3037000,3037000,-1128000,1909000,1909000,1909000,1909000,65000,65000,16899000,16899000,6750000,3428000,1209000,1171000,27142000,9397000,25610000,3554000,20923000,1133000,35007000,62149000,11933000,7695000,4195000,11933000,12168000,3730000,2046000,15898000,27831000,15707000,18754000,-143000,34318000,34318000,62149000,1909000,822000,708000,-219000,3220000,-786000,-1384000,-2669000,70000,70000,-1.45519152283669e-11,-2582000,-746000,-746000,792000,45999.9999999999,3938000,12168000,4061000,0.26275,0.09635,0.05903,0.05563,0.03072,2.12729,2.27453,0.81097,0.19579,0.27971,0.27059,4.73875,5.02828,0.59502,0.03802,0.08087,3.07339,3.88415
"21","2015_Q2",9.9331746031746,"Up",29670000,-22608000,7062000,-6035000,-6035000,1027000,-95000,932000,932000,-331000,601000,601000,601000,601000,50000,50000,14514000,14514000,6583000,2932000,1180000,776000,24079000,9953000,26652000,3841000,21660000,1151000,36605000,60684000,10378000,6533000,3435000,10378000,11471000,3604000,2103000,15075000,25453000,15975000,19298000,-42000,35231000,35231000,60684000,601000,840000,109000,1086000,2636000,-1089000,-1789000,-697000,62000,127000,-65000,-657000,190000,190000,-205000,-15000,1867000,11471000,2195000,0.23802,0.03461,0.02026,0.01706,0.00990000000000001,3.65225,2.3202,0.72246,0.18903,0.08772,0.08427,4.33075,5.14246,0.32039,0.01195,0.04363,6.1173,11.12074
"22","2015_Q3",9.4934375,"Down",29476000,-22739000,6737000,-5367000,-5367000,1370000,-36000,1334000,1334000,-456000,878000,878000,878000,878000,163000,163000,15004000,15004000,6269000,3802000,1461000,1355000,25238000,11419000,27783000,4172000,22652000,959000,39202000,64440000,12756000,8438000,4318000,12756000,11984000,3704000,1922000,15688000,28444000,16212000,20171000,-387000,35996000,35996000,64440000,878000,902000,255000,643000,2678000,-1634000,-3852000,513000,101000,107000,-6000.00000000001,636000,-538000,-538000,651000,113000,2272000,11984000,1737000,0.22856,0.04648,0.02979,0.02439,0.01363,1.97836,1.97852,0.7902,0.18597,0.12752,0.123,4.28119,5.22818,0.25229,0.01699,0.03361,5.2029,8.62847
"23","2015_Q4",9.53640625,"Up",30160000,-23382000,6778000,-5096000,-5096000,1682000,-62000,1620000,1620000,-552000,1068000,1068000,1068000,1068000,152000,152000,14925000,14925000,5798000,3407000,1214000,1167000,24282000,11813000,27361000,3814000,22462000,964000,39174000,63456000,12199000,8776000,3423000,12199000,10538000,3713000,1945000,14251000,26450000,16287000,21237000,-518000,37006000,37006000,63456000,1068000,969000,-120000,172000,2089000,-1008000,-1008000,-1446000,69000,71000,-2000,-1377000,-296000,-296000,285000,-11000,2651000,10538000,2367000,0.22473,0.05577,0.03541,0.02886,0.01683,2.21629,1.99049,0.71475,0.16607,0.15483,0.14975,4.37228,5.36474,0.34314,0.02084,0.04618,3.91777,6.17479
"24","2016_Q1",9.59311475409836,"Up",32860000,-24318000,8542000,-6319000,-6319000,2223000,-102000,2121000,2121000,-544000,1577000,1577000,1577000,1577000,641000,641000,17080000,17080000,6520000,1977000,1096000,881000,26218000,12313000,38176000,8211000,29112000,853000,50489000,76707000,15829000,8141000,7688000,15829000,19073000,2894000,1823000,21967000,37796000,16455000,22814000,-358000,38911000,38911000,76707000,1577000,1235000,436000,331000,3579000,-339000,-11315000,8535000,149000,149000,0,8623000,887000,887000,-398000,489000,3458000,19073000,3994000,0.25995,0.06765,0.04799,0.04053,0.02056,2.53266,1.65633,0.97134,0.24865,0.22809,0.22268,4.75268,5.62786,0.57767,0.0259,0.06561,5.33025,8.2915
"25","2016_Q2",10.38546875,"Up",33147000,-24901000,8246000,-6808000,-6808000,1438000,-168000,1270000,1270000,-364000,906000,906000,906000,906000,781000,781000,17221000,17221000,7589000,2230000,1296000,934000,27821000,14017000,43383000,9607000,32705000,1071000,57400000,85221000,14730000,7322000,7408000,16159000,25917000,3095000,1914000,29012000,45171000,16720000,23609000,-279000,40050000,40050000,85221000,906000,1549000,312000,-2907000,-140000,-967000,-7890000,8273000,77000,175000,-98000,8350000,320000,320000,-180000,140000,2987000,27346000,-523000,0.24877,0.04338,0.02733,0.02262,0.01063,-0.57726,1.7217,1.12787,0.32088,0.13028,0.12652,4.76661,5.75928,-0.07521,0.01285,-0.00742,8.89354,18.47357
"26","2016_Q3",10.36703125,"Down",34485000,-26458000,8027000,-6449000,-6449000,1578000,-191000,1387000,1387000,-563000,824000,824000,824000,824000,598000,598000,17964000,17964000,7511000,2695000,1185000,1510000,28768000,14691000,42580000,8867000,32680000,1033000,57271000,86039000,18177000,10412000,7426000,19606000,22362000,2873000,1922000,25235000,44841000,17002000,24505000,-309000,41198000,41198000,86039000,824000,1556000,42000,2727000,5149000,-1519000,-1573000,-3555000,137000,137000,2.91038304567337e-11,-3870000,-294000,-294000,111000,-183000,3134000,23791000,4905000,0.23277,0.04576,0.02389,0.02,0.00958,5.95267,1.46731,1.08843,0.27651,0.11788,0.11468,4.93348,5.89385,0.70172,0.01214,0.07228,7.40045,14.69772
"27","2016_Q4",10.4907936507937,"Up",37813000,-28898000,8915000,-6562000,-6562000,2353000,-188000,2165000,2165000,-885000,1280000,1280000,1280000,1280000,559000,559000,19967000,19967000,10772000,2979000,1201000,1778000,34277000,15378000,41613000,8128000,32436000,1049000,56991000,91268000,19499000,11886000,7613000,20928000,24768000,3141000,1949000,27909000,48837000,17049000,25785000,-403000,42431000,42431000,91268000,1280000,1562000,332000,-4309000,-1135000,-1589000,-1589000,2406000,72000,72000,0,2454000,-270000,-270000,231000,-39000,3915000,26197000,-1098000,0.23577,0.06223,0.03385,0.03017,0.01402,-0.85781,1.63785,1.15097,0.28703,0.18265,0.17935,5.39569,6.05465,-0.15668,0.01783,-0.0153,6.54866,10.89588
"28","2017_Q1",11.6314516129032,"Up",38453000,-28671000,9782000,-7217000,-7217000,2565000,-223000,2342000,2342000,-830000,1512000,1512000,1512000,1512000,842000,842000,22049000,22049000,10278000,2420000,1193000,1227000,35589000,15568000,40940000,7519000,32520000,901000,56508000,92097000,18327000,11615000,5907000,19756000,25883000,3057000,1923000,28940000,48696000,16518000,27297000,-414000,43401000,43401000,92097000,1512000,1517000,202000,439000.000000001,3670000,-1116000,-1116000,1114000,251000,251000,1.45519152283669e-11,-2166000,388000,388000,-105000,283000,4082000,27312000,4235000,0.25439,0.0667,0.03932,0.03484,0.01642,2.80093,1.80143,1.122,0.29656,0.21526,0.21721,5.47452,6.17896,0.60293,0.0205,0.05741,6.48457,10.31969
"29","2017_Q2",12.0469841269841,"Up",36279000,-27588000,8691000,-7280000,-7280000,1411000,-272000,1139000,1139000,-283000,856000,856000,856000,856000,601000,601000,20411000,20411000,11786000,2705000,1281000,1424000,35503000,16625000,40574000,6973000,32570000,1031000,57199000,92702000,12693000,8286000,3535000,14122000,30532000,3067000,1930000,33599000,47721000,17318000,28028000,-365000,44981000,44981000,92702000,856000,1487000,524000,-5749000,-2882000,-2128000,-2128000,4650000,266000,610000,-344000,4826000,-184000,-184000,-57000,-241000,2898000,31961000,-4696000,0.23956,0.03889,0.02359,0.01903,0.00923,-5.48598,2.51402,1.06091,0.34477,0.12092,0.11889,5.12488,6.35415,-0.66337,0.0107,-0.05869,10.82126,22.22537
"30","2017_Q3",12.9949206349206,"Up",35927000,-27773000,8154000,-6696000,-6696000,1458000,-271000,1187000,1187000,-406000,781000,781000,781000,781000,625000,625000,21144000,21144000,11536000,2747000,1171000,1576000,36052000,17419000,40600000,6542000,33019000,1039000,58019000,94071000,14647000,9868000,4414000,16076000,28278000,3119000,1944000,31397000,47473000,17801000,28809000,-12000,46598000,46598000,94071000,781000,1497000,576000,1683000,4537000,-1808000,-1808000,-2254000,151000,151000,5.82076609134674e-11,-2103000,626000,626000,-602000,23999.9999999999,2955000,29707000,3236000,0.22696,0.04058,0.02174,0.01676,0.0083,4.14341,2.2426,1.01878,0.31579,0.10961,0.10722,5.04239,6.54007,0.45418,0.00983,0.04074,9.84162,19.9465
"31","2017_Q4",13.4260317460317,"Up",40483000,-30782000,9701000,-7047000,-7047000,2654000,-311000,2343000,2343000,-512000,1831000,1831000,1831000,1831000,504000,504000,22700000,22700000,11144000,2523000,988000,1535000,36871000,17478000,39886000,5984000,32823000,1079000,57364000,94235000,16470000,11478000,4524000,18613000,24103000,2915000,1960000,27018000,45631000,18125000,30640000,-161000,48604000,48604000,94235000,1831000,1543000,404000,384000,4162000,-1137000,-1137000,-3461000,60000,60000,0,-3401000,-376000,-376000,255000,-121000,4197000,26246000,3956000,0.23963,0.06556,0.04523,0.03767,0.01943,2.16057,1.98093,0.93883,0.27852,0.25641,0.24963,5.66909,6.80633,0.55398,0.02355,0.05087,6.13343,9.69932
"32","2018_Q1",14.9883606557377,"Up",42452000,-31557000,10895000,-7392000,-7392000,3503000,-224000,3279000,3279000,-825000,2454000,2454000,2454000,2454000,577000,577000,24684000,24684000,12651000,2601000,1240000,1361000,40513000,17091000,39218000,5505000,32740000,973000,56309000,96822000,19007000,13535000,5240000,21150000,20707000,3617000,1908000,24324000,45474000,18543000,33086000,-281000,51348000,51348000,96822000,2454000,1464000,897000,-758000,4057000,-798000,-798000,-3396000,94000,110000,-16000,-3302000,-43000,-43000,116000,73000,4967000,22850000,4236000,0.25664,0.08252,0.05781,0.04779,0.02535,1.72616,1.91551,0.8856,0.236,0.34317,0.33194,5.93651,7.18053,0.59236,0.03154,0.05444,4.4842,6.35826
