"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q4",45.46609375,"Up",1.484e+09,-1.349e+09,1.35e+08,-7.3e+07,-7.3e+07,6.2e+07,3.3e+07,-9e+06,4.8e+07,9.5e+07,-1e+07,8.5e+07,-2.3e+07,6.2e+07,6e+07,-1.7e+07,4.3e+07,4.3e+07,8.37e+08,8.37e+08,1.139e+09,1.139e+09,4.54e+08,2.94e+08,2.94e+08,2.724e+09,1.307e+09,1.273e+09,3e+08,1.36e+08,2.58e+09,5.304e+09,1.249e+09,1.056e+09,1.93e+08,2.54e+08,2.54e+08,1.633e+09,1.248e+09,3.38e+08,1.77e+08,1.61e+08,1.586e+09,3.219e+09,1.266e+09,-2.9e+08,4.43e+08,-1.06e+08,1.313e+09,7.72e+08,2.085e+09,5.304e+09,6e+07,6.8e+07,-2.3e+07,-8.4e+07,2.1e+07,-5e+07,9e+06,-4.1e+07,-6e+06,0,-1.31e+08,-1.51e+08,-1.51e+08,5e+06,-1.46e+08,1.3e+08,1.378e+09,1.9e+07,0.09097,0.04178,0.02898,0.02062,0.00811,0.44186,1.6681,1.54388,0.2598,0.86694,0.82852,29.91935,26.47177,0.38306,0.01131,0.005,4.16154,8.72581
"12","2014_Q1",49.0268852459016,"Up",-2.956e+09,2.703e+09,-2.53e+08,4.8e+07,4.8e+07,-2.05e+08,5.1e+07,-8e+06,6.8e+07,-1.54e+08,4.78e+08,3.24e+08,3e+06,3.27e+08,5.45e+08,-3.2e+07,5.13e+08,5.13e+08,1.677e+09,1.677e+09,1.227e+09,1.227e+09,4.72e+08,3.77e+08,3.77e+08,3.753e+09,1.414e+09,6.32e+08,4.47e+08,1.85e+08,2.274e+09,6.027e+09,1.409e+09,1.207e+09,2.02e+08,2.87e+08,2.87e+08,1.802e+09,1.064e+09,2.88e+08,1.37e+08,1.51e+08,1.352e+09,3.154e+09,1.292e+09,-3.16e+08,9.56e+08,-1.2e+07,1.92e+09,9.53e+08,2.873e+09,6.027e+09,5.45e+08,6.2e+07,-3.76e+08,-9.8e+07,1.33e+08,-1.05e+08,-5e+06,8.18e+08,-1.15e+08,5e+06,-1.1e+08,8.41e+08,8.41e+08,-1e+06,8.4e+08,-1.43e+08,1.17e+09,-3.49e+08,0.08559,0.06935,-0.17355,0.17856,0.08512,-0.68031,2.08269,1.09781,0.19413,10.5123,10.28056,-60.57377,39.34426,-7.15164,0.11845,-0.08058,3.54545,2.47317
"13","2014_Q2",53.4157142857143,"Up",1.718e+09,-1.539e+09,1.79e+08,-8.1e+07,-8.1e+07,9.8e+07,-6e+06,-8e+06,2e+06,9.2e+07,-7e+06,8.5e+07,-3.1e+07,5.4e+07,4.8e+07,-2.9e+07,1.9e+07,1.9e+07,1.728e+09,1.728e+09,1.315e+09,1.315e+09,4.89e+08,3.85e+08,3.85e+08,3.917e+09,1.404e+09,6.1e+08,4.27e+08,1.83e+08,2.203e+09,6.12e+09,1.508e+09,1.333e+09,1.75e+08,3.24e+08,3.24e+08,2.343e+09,6.49e+08,2.85e+08,1.38e+08,1.47e+08,9.34e+08,3.277e+09,1.295e+09,-3.15e+08,9.75e+08,-2.4e+07,1.931e+09,9.12e+08,2.843e+09,6.12e+09,4.8e+07,6.6e+07,-2e+06,-1.9e+07,9.3e+07,-5.2e+07,0,-1.7e+07,-5e+06,-1.5e+07,-2e+07,5.6e+07,5.6e+07,-5e+06,5.1e+07,1.64e+08,1.16e+09,1.24e+08,0.10419,0.05704,0.01106,0.00667999999999999,0.00309999999999999,6.52632,1.67179,1.15266,0.18954,0.39256,0.38306,35.49587,39.89669,2.56198,0.00443,0.02892,-3.46341,-5.79592
"14","2014_Q3",58.99328125,"Up",-7.15e+08,6.66e+08,-4.9e+07,-1.3e+07,-1.3e+07,-6.2e+07,-2e+07,-3e+06,5e+06,-81999999.9999999,-3e+07,-1.12e+08,2e+07,-9.2e+07,-1.43e+08,-1.4e+07,-1.57e+08,-1.57e+08,1.285e+09,1.285e+09,1.129e+09,1.129e+09,4.62e+08,7.49e+08,3.17e+08,3.625e+09,1.28e+09,5.84e+08,4.16e+08,1.68e+08,2.024e+09,5.649e+09,1.188e+09,1.036e+09,1.52e+08,6.18e+08,6.18e+08,1.933e+09,1.219e+09,2.76e+08,1.28e+08,1.48e+08,1.495e+09,3.428e+09,1.237e+09,-7.46e+08,8.2e+08,0,1.311e+09,9.1e+08,2.221e+09,5.649e+09,-1.41e+08,6.4e+07,2.14e+08,-1.03e+08,3.4e+07,-7.5e+07,5e+06,-5.4e+07,2.07e+08,-2.3e+07,-3.16e+08,-3.36e+08,-3.36e+08,7e+06,-3.29e+08,2000000.00000006,1.346e+09,-1.96e+08,0.06853,0.08671,0.21958,-0.07069,-0.02779,1.24841,1.87532,1.54345,0.23827,-3.42795,-3.52018,-15.61135,28.62445,-4.27948,-0.04085,-0.051,30.5,-0.98387
"15","2014_Q4",56.82484375,"Down",7.95e+08,-7.02e+08,9.3e+07,-7e+07,-7e+07,2.3e+07,-2.6e+07,-4e+06,-2e+06,-3e+06,-8e+06,-1.1e+07,-1e+07,-2.1e+07,1e+06,-2.2e+07,-2.1e+07,-2.1e+07,9.36e+08,9.36e+08,1.27e+09,1.27e+09,5.62e+08,7.07e+08,3.57e+08,3.475e+09,1.403e+09,6.48e+08,4.31e+08,2.17e+08,2.218e+09,5.693e+09,1.297e+09,1.118e+09,1.79e+08,5.33e+08,5.33e+08,1.971e+09,1.268e+09,2.77e+08,1.29e+08,1.48e+08,1.545e+09,3.516e+09,1.244e+09,-7.45e+08,7.99e+08,-9.1e+07,1.207e+09,9.7e+08,2.177e+09,5.693e+09,1e+06,7.5e+07,-6e+06,-2.3e+07,4.7e+07,-8.2e+07,-7e+06,-3.86e+08,2.3e+07,-2.9e+07,-6e+06,-3.45e+08,-3.45e+08,-1.9e+07,-3.64e+08,9.8e+07,1.409e+09,3e+06,0.11698,0.02893,-0.02642,-0.00965000000000001,-0.00369,-0.14286,1.76306,1.61507,0.2475,-0.47297,-0.47297,17.90541,27.18468,0.06757,-0.00544,0.000779999999999989,4.82653,20.56522
"16","2015_Q1",58.7650819672131,"Up",7.88e+08,-6.71e+08,1.17e+08,-6.4e+07,-6.4e+07,5.3e+07,-2.8e+07,-6e+06,-3e+06,2.5e+07,-3.2e+07,-7e+06,-1.1e+07,-1.8e+07,-1.14e+08,-2.4e+07,-1.38e+08,-1.38e+08,4.76e+08,4.76e+08,5.31e+08,5.31e+08,2.08e+08,1.919e+09,2.59e+08,3.134e+09,3.63e+08,1.727e+09,1.56e+08,1.571e+09,2.189e+09,5.323e+09,5.99e+08,4.85e+08,1.14e+08,1.204e+09,1.204e+09,1.832e+09,1.076e+09,5.94e+08,5.3e+07,5.41e+08,1.67e+09,3.502e+09,1.247e+09,-7.44e+08,6.61e+08,-2.99e+08,8.65e+08,9.56e+08,1.821e+09,5.323e+09,-1.14e+08,6.5e+07,1.39e+08,1.2e+07,1.02e+08,-1.31e+08,2000000.00000006,-2.75e+08,-4000000.00000003,-1.3e+07,-1.7e+07,-1.9e+08,-1.9e+08,-1.8e+07,-2.08e+08,1.18e+08,1.105e+09,10000000.0000001,0.14848,0.06726,-0.17513,-0.07578,-0.02593,-0.0724599999999997,1.7107,1.92312,0.20759,-3.09417,-3.09417,17.66816,19.39462,0.22422,-0.0392,0.00284,5.33051,11.86792
"17","2015_Q2",61.997619047619,"Up",8.16e+08,-7.04e+08,1.12e+08,-5.8e+07,-5.8e+07,5.4e+07,-1.8e+07,-5e+06,-1e+06,3.6e+07,-3e+06,3.3e+07,-9e+06,2.4e+07,7e+07,-2e+07,5e+07,5e+07,9.07e+08,9.07e+08,1.367e+09,1.367e+09,5.41e+08,4.37e+08,4.37e+08,3.252e+09,1.365e+09,5.56e+08,3.93e+08,1.63e+08,2.087e+09,5.339e+09,1.409e+09,1.257e+09,1.52e+08,3.96e+08,3.96e+08,1.929e+09,1.361e+09,2.26e+08,1.21e+08,1.05e+08,1.587e+09,3.516e+09,1.255e+09,-7.42e+08,7.11e+08,-3.41e+08,8.83e+08,9.4e+08,1.823e+09,5.339e+09,7e+07,6.8e+07,1.5e+07,2e+07,1.73e+08,-5.5e+07,-1.8e+07,-7e+07,-1.3e+07,7e+06,-6e+06,9.7e+07,9.7e+07,-1.7e+07,8e+07,1.22e+08,1.485e+09,9.6e+07,0.13725,0.06618,0.06127,0.02743,0.00937000000000002,1.92,1.68585,1.92869,0.27814,1.12613,1.0989,18.37838,19.88739,2.16216,0.01415,0.02716,4.7377,10.7037
"18","2015_Q3",59.26328125,"Down",8.12e+08,-7.13e+08,9.9e+07,-6.5e+07,-6.5e+07,3.4e+07,1e+07,-6e+06,1.2e+07,4.4e+07,4.5e+07,8.9e+07,-2.4e+07,6.5e+07,2.224e+09,-1.6e+07,2.208e+09,2.208e+09,2.857e+09,2.857e+09,5.54e+08,5.54e+08,2.04e+08,3.12e+08,2.94e+08,3.927e+09,3.38e+08,6.1e+08,1.48e+08,4.62e+08,1.011e+09,4.938e+09,6.08e+08,4.84e+08,1.24e+08,3.64e+08,3.64e+08,1.001e+09,8.05e+08,2.82e+08,3.6e+07,2.46e+08,1.087e+09,2.088e+09,1.231e+09,-1.201e+09,2.919e+09,-2.61e+08,2.688e+09,1.62e+08,2.85e+09,4.938e+09,2.224e+09,5.9e+07,-2.381e+09,1.29e+08,3.1e+07,-6.7e+07,2.677e+09,2.674e+09,-2.43e+08,-2e+07,-7.63e+08,1.942e+09,1.942e+09,8e+06,1.95e+09,9.3e+07,8.34e+08,1.79e+08,0.12192,0.04187,2.71921,0.77474,0.44714,0.08107,3.92308,0.73263,0.16889,51.11111,49.84199,18.7963,62.22222,4.14352,0.55673,0.04513,-21.75269,-59.5
"19","2015_Q4",66.64171875,"Up",8.08e+08,-7.03e+08,1.05e+08,-5.9e+07,-5.9e+07,4.6e+07,-1.2e+07,-2e+06,-3e+06,3.4e+07,-3e+06,3.1e+07,-1e+07,2.1e+07,1e+07,-5e+06,5e+06,5e+06,2.912e+09,2.86e+09,5.54e+08,5.54e+08,2.02e+08,2.23e+08,2.06e+08,3.891e+09,3.41e+08,5.76e+08,1.41e+08,4.35e+08,9.75e+08,4.866e+09,6.28e+08,5.06e+08,1.22e+08,2.98e+08,2.98e+08,9.59e+08,8.02e+08,2.57e+08,3.4e+07,2.23e+08,1.059e+09,2.018e+09,1.245e+09,-1.199e+09,2.924e+09,-2.85e+08,2.685e+09,1.63e+08,2.848e+09,4.866e+09,1e+07,2e+07,-1.3e+07,3.5e+07,5.2e+07,-2.9e+07,-3.2e+07,-5.5e+07,5e+06,5e+06,1e+07,7e+06,7e+06,-4e+06,3e+06,6.6e+07,8.35e+08,8.2e+07,0.12995,0.05693,0.00619,0.00175999999999998,0.00102999999999986,16.4,4.05735,0.70857,0.1716,0.12165,0.11933,19.65937,65.32847,1.99513,0.00126999999999999,0.02081,-31.4697,-45.15217
"20","2016_Q1",68.7927868852459,"Up",8.09e+08,-6.95e+08,1.14e+08,-6.3e+07,-6.3e+07,5.1e+07,-2.2e+07,-1.1e+07,-1e+06,2.9e+07,-1.13e+08,-8.4e+07,1.6e+07,-6.8e+07,2.4e+07,-3e+06,2.1e+07,2.1e+07,2.775e+09,2.728e+09,5.02e+08,5.02e+08,1.87e+08,5.89e+08,5.89e+08,4.053e+09,3.51e+08,2.21e+08,1.33e+08,8.8e+07,6.28e+08,4.681e+09,2.365e+09,4.82e+08,1.32e+08,3.7e+08,3.7e+08,2.772e+09,6.14e+08,9.6e+07,2.1e+07,7.5e+07,7.1e+08,3.482e+09,1.346e+09,-1.293e+09,1.194e+09,-1.9e+08,1.057e+09,1.42e+08,1.199e+09,4.681e+09,2.4e+07,2.2e+07,1.4e+08,-9.8e+07,8.8e+07,-3.6e+07,-2.682e+09,-1.96e+08,3e+06,-1.7e+07,-13999999.9999998,-1.22e+08,-1.22e+08,-7e+06,-1.29e+08,7.3e+07,6.51e+08,-7.7e+07,0.14091,0.06304,0.0259599999999994,0.01751,0.00449,-3.66667,1.46212,2.90409,0.13907,0.518519999999993,0.501189999999996,19.97531,26.09877,-1.90123,0.01079,-0.03957,-29.09589,-41.64706
