"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2018_Q3",110.392698412698,"Up",1166700000,-818800000,347900000,-1.91e+08,-1.91e+08,156900000,-22900000,-18800000,-4100000,1.34e+08,1.34e+08,-31600000,102400000,102400000,-2100000,100300000,100300000,205300000,195100000,10200000,779700000,779700000,686700000,64200000,64200000,1735900000,496300000,57300000,2681600000,1759700000,56300000,3235200000,4971100000,780300000,420800000,359500000,91100000,871400000,1897600000,500300000,500300000,2397900000,3269300000,1684900000,16900000,1701800000,4971100000,102400000,36300000,10100000,3900000,152700000,-25500000,6100000,3400000,7e+05,-15300000,-42200000,-92900000,-1e+07,-1e+07,-3600000,-148700000,-11300000,-11300000,-9900000,-21200000,193200000,1988700000,203200000,0.29819,0.13448,0.08597,0.05894,0.02018,2.02592,1.99208,1.92108,0.40005,1.83364,1.82696,21.32907,30.80256,3.71481,0.77148,0.034,0.04849,0.42074,9.23085,11.36648
"12","2018_Q4",99.274126984127,"Down",1179700000,-830700000,3.49e+08,-185200000,-185200000,163800000,-21300000,-18400000,-2900000,142500000,142500000,-27800000,114700000,114700000,-1100000,113600000,113600000,2.4e+08,228800000,11200000,788200000,788200000,672500000,59400000,59400000,1760100000,499500000,61200000,2676700000,1766400000,6.3e+07,3237400000,4997500000,807700000,420700000,3.87e+08,130300000,9.38e+08,1792500000,495200000,495200000,2287700000,3225700000,1754800000,1.7e+07,1771800000,4997500000,114700000,36500000,18300000,17400000,186900000,-23200000,-5900000,-2e+06,7e+05,-30400000.0000001,-42100000,-67099999.9999999,-1e+07,-1e+07,-2400000,-121600000,34900000,34900000,-1200000,33700000,200300000,1922800000,222300000,0.29584,0.13885,0.0963,0.06412,0.02273,1.95687,1.87644,1.82058,0.38475,2.08059,2.06922,21.60623,32.13919,4.07143,0.77106,0.03716,0.05306,0.3706,8.4014,10.2735
"13","2019_Q1",103.176393442623,"Up",1144100000,-823500000,320600000,-1.84e+08,-1.84e+08,136600000,-21900000,-17900000,-4100000,114700000,114700000,-25500000,89200000,89200000,-1200000,8.8e+07,8.8e+07,198200000,1.89e+08,9200000,725400000,725400000,6.51e+08,69100000,69100000,1643700000,502100000,56300000,2.67e+09,1784400000,66100000,3228400000,4872100000,783200000,393700000,389500000,56100000,839300000,1737100000,496800000,496800000,2233900000,3073200000,1780600000,18300000,1798900000,4872100000,89200000,35600000,10200000,42900000,177900000,-18700000,3e+06,0,-2e+05,-15900000,-45800000,-130500000,-2e+07,-2e+07,-1900000,-198200000,-36200000,-36200000,-3599999,-39799999,172200000,1793200000,221900000,0.28022,0.1194,0.07692,0.04892,0.01806,2.52159,1.95842,1.70838,0.36805,1.61765,1.60878,21.03125,32.73162,4.07904,0.84191,0.03272,0.05427,0.52045,9.26249,11.67643
"14","2019_Q2",113.36380952381,"Up",1087300000,-7.8e+08,307300000,-186400000,-186400000,120900000,-22900000,-17500000,-5400000,9.8e+07,9.8e+07,-24200000,73800000,73800000,-1500000,72300000,72300000,214800000,205300000,9500000,716200000,716200000,6.63e+08,56600000,56600000,1650600000,504500000,57500000,2763500000,1786800000,174600000,3325500000,4976100000,770600000,403700000,366900000,77300000,847900000,1731500000,569800000,569800000,2301300000,3149200000,1808100000,18800000,1826900000,4976100000,73800000,36600000,7700000,-39900000,78200000,-23300000,1700000,1.49011611938477e-08,1400000,-20200000,-45800000,14900000,-1e+07,-1e+07,-2800000,-43700000,14300000,14300000,2e+06,16300000,157500000,1808800000,118500000,0.28263,0.11119,0.06649,0.03958,0.01453,1.639,1.94669,1.72379,0.3635,1.32904,1.32418,19.98713,33.23713,2.17831,0.84191,0.02808,0.02818,0.63347,10.12063,13.18445
"15","2019_Q3",119.28140625,"Up",1196400000,-8.39e+08,357400000,-190500000,-190500000,166900000,-20400000,-17200000,-3200000,146500000,123600000,-25700000,97900000,97900000,-1900000,9.6e+07,9.6e+07,220400000,209900000,10500000,785500000,785500000,661900000,61200000,61200000,1.729e+09,509300000,56900000,2740800000,1784900000,172100000,3.307e+09,5.036e+09,819900000,428700000,391200000,54200000,874100000,1722800000,584100000,584100000,2306900000,3.181e+09,1835900000,19100000,1.855e+09,5.036e+09,97900000,37100000,17300000,-20700000,131600000,-24400000,9e+05,0,2e+06,-21500000,-45700000,-32400000,-2e+07,-2e+07,-6400000,-104500000,5600000,5600000,-1e+06,4600000,2.04e+08,1.777e+09,184600000,0.29873,0.1395,0.08024,0.05175,0.01906,1.92292,1.97803,1.71482,0.35286,1.76471,1.75824,21.99265,33.74816,3.39338,0.84007,0.03361,0.04378,0.47604,7.63039,9.32654
"16","2019_Q4",132.5628125,"Up",1.204e+09,-8.42e+08,3.62e+08,-189100000,-189100000,172900000,-26600000,-1.7e+07,-9600000,146300000,1.68e+08,-35400000,132600000,132600000,-1900000,130700000,130700000,311300000,3e+08,11300000,787100000,787100000,6.62e+08,49500000,49500000,1809900000,497600000,5e+07,2716800000,1781400000,170400000,3264400000,5074300000,830300000,414700000,415600000,35900000,866200000,1714100000,578400000,578400000,2292500000,3158700000,1903100000,12500000,1915600000,5074300000,132600000,37400000,-8e+06,13600000,175600000,-24900000,3300000,28400000,1e+05,6900000,-45600000,-27900000,-5e+06,-5e+06,-1.1e+07,-89500000,9.3e+07,9.3e+07,-2900000,90100000,210300000,1.75e+09,234400000,0.30066,0.1436,0.10855,0.06823,0.02576,1.79342,2.08947,1.64894,0.34488,2.40257,2.38069,22.13235,34.98346,4.30882,0.83824,0.04154,0.05523,0.34889,6.84118,8.32099
"17","2020_Q1",126.37064516129,"Down",458900000,-3.14e+08,144900000,-78900000,-78900000,6.6e+07,-9300000,-16900000,6100000,56700000,79600000,-15900000,63700000,63700000,-1200000,62500000,62500000,196200000,1.82e+08,14200000,6.83e+08,6.83e+08,6.33e+08,6.2e+07,6.2e+07,1574200000,505200000,55700000,2767900000,1811800000,174600000,3328800000,4.903e+09,779500000,347700000,431800000,65400000,844900000,1.506e+09,591600000,591600000,2097600000,2942500000,1947100000,13400000,1960500000,4.903e+09,63700000,26800000,-29500000,70400000,131400000,-14100000,-7600000,-65600000,2e+05,-87100000,-49500000,-179700000,0,0,-4100000,-233300000,-1.89e+08,-121200000,3200000,-1.18e+08,92800000,1571400000,1.65e+08,0.31576,0.14382,0.1362,0.03188,0.01275,2.64,1.86318,1.50089,0.3205,1.1489,1.1426,8.43566,35.79228,3.03309,0.90993,0.02716,0.04001,0.792,14.81897,20.83636
"18","2020_Q2",114.940317460317,"Down",1090300000,-776800000,313500000,-194700000,-194700000,118800000,-18900000,-15100000,-3800000,99900000,99900000,-24200000,75700000,75700000,-7e+05,7.5e+07,7.5e+07,313500000,3e+08,13500000,707700000,707700000,595700000,58100000,58100000,1.675e+09,495500000,53200000,2735400000,1807100000,169500000,3284100000,4959100000,734600000,358400000,376200000,106700000,841300000,1597300000,5.92e+08,5.92e+08,2189300000,3030600000,1914900000,13600000,1928500000,4959100000,75700000,38900000,18400000,-24600000,108400000,-17800000,1800000,-2100000,2500000,-15600000,-49500000,131800000,-41300000,-41300000,-5300000,35699999.9999999,128500000,128500000,-10500000,1.18e+08,157700000,1.704e+09,139500000,0.28754,0.10896,0.06879,0.03889,0.01512,1.86,1.99097,1.57148,0.34361,1.38122,1.37363,20.07919,35.26519,2.56906,0.9116,0.02947,0.03302,0.66,8.81737,11.70455
"19","2020_Q3",130.8009375,"Up",949200000,-668700000,280500000,-1.49e+08,-1.49e+08,131500000,-18500000,-15700000,-2800000,1.13e+08,1.13e+08,-23900000,89100000,89100000,-9e+05,88200000,88200000,494900000,4.85e+08,9900000,644100000,644100000,604200000,50400000,50400000,1793600000,489100000,54300000,2721700000,1808700000,172300000,3265100000,5058700000,735500000,354400000,381100000,145200000,880700000,1610400000,594100000,594100000,2204500000,3085200000,1959900000,13600000,1973500000,5058700000,89100000,38700000,2400000,65100000,195300000,-17200000,4600000,1e+05,1200000,-11300000,-49400000,51100000,0,0,-2800000,-1100000,182900000,182900000,2100000,1.85e+08,170200000,1755600000,2.42e+08,0.29551,0.13854,0.09292,0.04469,0.01744,2.74376,2.03656,1.56331,0.34705,1.63031,1.62731,17.54529,36.22736,4.4732,0.91312,0.03183,0.05598,0.56009,7.40717,9.58707
"20","2020_Q4",146.58125,"Up",1108600000,-7.79e+08,329600000,-166700000,-166700000,162900000,-17300000,-1.5e+07,-2300000,145600000,1.39e+08,-30400000,108600000,108600000,-1500000,107100000,107100000,278200000,269200000,9e+06,711400000,711400000,584900000,65900000,65900000,1640400000,485300000,60400000,2.691e+09,1813400000,153600000,3236700000,4877100000,770800000,387600000,383200000,21900000,792700000,1436300000,617100000,617100000,2053400000,2846100000,2016800000,14200000,2.031e+09,4877100000,108600000,39400000,7e+06,-3099999.99999999,151900000,-16700000,-4200000,1.49011611938477e-08,1400000,-19500000,-49300000,-298200000,-3.72529029846191e-09,-3.72529029846191e-09,-3200000,-350700000,-218300000,-218300000,2500000,-215800000,202300000,1458200000,212900000,0.29731,0.14694,0.09661,0.05273,0.02196,1.98786,2.06938,1.40133,0.29899,1.98701,1.96875,20.56772,37.41744,3.94991,0.91466,0.03809,0.05185,0.46032,5.83292,7.24371
"21","2021_Q1",166.296393442623,"Up",534400000,-372200000,162200000,-80900000,-80900000,81300000,-7700000,-14300000,6600000,73600000,72600000,-11300000,61300000,82500000,-1600000,80900000,80900000,267900000,258600000,9300000,553300000,553300000,526700000,239700000,71800000,1587600000,438700000,71100000,2987700000,1873100000,3.44e+08,3497500000,5085100000,715400000,339200000,376200000,153100000,948200000,1436900000,614600000,614600000,2051500000,2999700000,2.07e+09,15400000,2085400000,5085100000,61300000,27500000,-13200000,71700000,147300000,-31100000,-8400000,-237600000,2e+05,-276900000,-53200000,130900000,0,0,-5800000,71900000,-57700000,-18100000,8500000,-9600000,108800000,1.59e+09,160700000,0.30352,0.15213,0.15138,0.03879,0.01591,1.9864,1.67433,1.43843,0.31268,1.4844,1.47628,9.8055,37.98165,2.94862,0.97615,0.03126,0.03746,0.6576,12.15165,16.26199
"22","2021_Q2",182.567619047619,"Up",956300000,-694100000,262200000,-152300000,-152300000,109900000,-1.4e+07,-15200000,1200000,95900000,95900000,-21200000,74700000,79100000,-1400000,77700000,77700000,4.44e+08,433800000,10200000,703100000,703100000,616400000,6.4e+07,6.4e+07,1827500000,516700000,69600000,2879100000,1924400000,168700000,3465400000,5292900000,787900000,421300000,366600000,360800000,1148700000,1433700000,612500000,612500000,2046200000,3194900000,2082699999,15300000,2097999999,5292899999,74700000,39300000,6100000,-6.7e+07,53100000,-19300000,-1100000,1e+05,5300000,-14999999.9999999,-53200000,207100000,-1e+07,-1e+07,-11500000,132400000,170500000,1.76e+08,-1800000,174200000,149200000,1794500000,84100000,0.27418,0.11492,0.08125,0.03704,0.01468,1.08237,1.59093,1.52283,0.33904,1.43358,1.42048,17.64391,38.4262,1.55166,0.98155,0.02906,0.01867,0.68468,9.05161,12.28844
"23","2021_Q3",189.4903125,"Up",1054300000,-7.56e+08,298300000,-156100000,-156100000,142200000,-12100000,-12600000,5e+05,130100000,106500000,-16900000,89600000,96600000,-8e+05,95800000,95800000,277999999,265399999,12600000,762300000,762300000,638300000,66500000,66500000,1745099999,518700000,69700000,2839300000,1922900000,158100000,3427700000,5172799999,861800000,465700000,396100000,137600000,999400000,1434200000,598300000,598300000,2032500000,3031900000,2125699999,15200000,2140899999,5172799999,89600000,37600000,31900000,-22400000,136700000,-17600000,-1800000,8500000,1300000,-9600000,-53300000,-2.24e+08,-1200000,-1200000,-32200000,-310700000,-183600000,-171800000,3500000,-168300000,179800000,1571800000,156700000,0.28294,0.13488,0.09087,0.04475,0.01852,1.6357,1.74615,1.41618,0.30386,1.76753,1.75137,19.45203,39.21956,2.89114,0.98339,0.03459,0.03635,0.55637,7.19577,9.09845
"24","2021_Q4",195.205,"Up",1083400000,-782300000,301100000,-155200000,-155200000,145900000,-12800000,-13600000,8e+05,133100000,1.33e+08,-27500000,105500000,110500000,-2100000,108400000,108400000,267799999,257899999,9900000,798300000,798300000,700700000,66400000,66400000,1833199999,521200000,72100000,2815200000,1922600000,154600000,3408500000,5241699999,906500000,491900000,414600000,128900000,1035400000,1434900000,593300000,593300000,2028200000,3063600000,2168800000,9300000,2178100000,5241700000,105500000,35700000,2899999.99999999,-45700000,98400000,-25900000,-5e+05,-7.45058059692383e-09,1200000,-25200000,-53300000,-8600000,-1.86264514923096e-09,11200000,-12200000,-74100000,-9e+05,-3300000.00000006,-4200000,-7500000,181600000,1563800000,137500000,0.27792,0.13467,0.10006,0.04977,0.02068,1.26845,1.77052,1.40655,0.29834,1.99632,1.98172,19.95212,39.94107,2.53223,0.98158,0.0373,0.03172,0.4917,7.13656,8.8828
"25","2022_Q1",184.235,"Down",1100100000,-810200000,289900000,-155600000,-155600000,134300000,-10400000,-13300000,2900000,123900000,123900000,-22600000,101300000,119400000,-1800000,117600000,117600000,295600000,286200000,9400000,675300000,675300000,662100000,246300000,66800000,1879300000,459500000,69100000,2873600000,1871300000,320800000,3402200000,5281500000,964200000,532800000,431400000,9700000,1065200000,1435500000,540100000,540100000,1975600000,3040800000,2229800000,10900000,2240700000,5281500000,101300000,36500000,6e+06,81700000,225500000,-27400000,3500000,0,1600000,-22300000,-57100000,-119300000,0,-11200000,-4200000,-180600000,22600000,32100000,-5e+05,31600000,170800000,1445200000,247700000,0.26352,0.12208,0.1069,0.05248,0.02227,2.10629,1.76427,1.35708,0.27363,2.16575,2.14991,20.25967,41.06446,4.56169,1.05157,0.04134,0.05861,0.48554,6.73068,8.55994
"26","2022_Q2",185.979032258065,"Up",1156100000,-8.33e+08,323100000,-180200000,-180200000,142900000,-9500000,-13100000,3600000,133400000,133400000,-29600000,103800000,181500000,-1300000,180200000,180200000,371400000,3.59e+08,12400000,777900000,777900000,708800000,6.9e+07,6.9e+07,1927100000,460400000,72900000,2709300000,1870600000,174500000,3242600000,5169700000,954300000,548500000,405800000,7800000,962100000,1436100000,547100000,547100000,1983200000,2945300000,2213300000,11100000,2224400000,5169700000,103800000,34700000,13100000,-1.66e+08,-14400000,-21400000,-9400000,348600000,1e+05,317900000,-56900000,-1900000.00000003,-1.44e+08,-1.44e+08,-7600000,-210400000,93100000,69300000,3200000,72500000,177600000,1443900000,19800000,0.27947,0.12361,0.15587,0.08101,0.03486,0.10988,2.00301,1.32409,0.2793,3.3125,3.28832,21.25184,40.68566,0.363969999999999,1.04596,0.05625,0.0047,0.31576,6.03885,7.50525
