"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2016_Q3",21.15546875,"Up",66007000,-17451000,-3043000,-14408000,48556000,358000,357000,1000.00000000001,48914000,48914000,47165000,47165000,47165000,47165000,91105000,7877000,150354000,150354000,2192000,2192000,243651000,2508000,10456000,10353000,103000,90630000,334281000,12753000,7694000,5059000,103200000,115953000,9731000,424000,9731000,125684000,429199000,-220818000,208597000,208597000,334281000,47165000,346000,2519000,-59399000,-9369000,-594000,8623000,473000,473000,473000,-273000,-273000,-273000,48902000,0,0.73562,0.71455,0.22611,0.14109,2.10129,0.60252,-6.61744490042422e-24,1.15655,1.10261,1.61859,5.1151,0.21603,-1.86301000000001,-1.87629
"12","2016_Q4",24.0485714285714,"Up",7821000,-17076000,-3007000,-14069000,-9255000,579000,578000,1000,-8676000.00000001,-8675999.99999999,-8077000.00000001,-8077000.00000001,-8077000.00000001,-8077000.00000001,104305000,14787000,3089000,3089000,3448000,3448000,110842000,3050000,10668000,10565000,103000,211288000,322130000,14270000,7334000,6936000,96396000,110666000,9044000,431000,9044000,119710000,431565000,-228895000,202420000,202420000,322130000,-8077000.00000001,371000,2446000,139334000,134074000,-1186000,-127665000,500999.999999993,500999.999999993,500999.999999996,6910000,6910000,6910000,-8884000.00000001,0,-1.18335,-1.03273,-0.0399,-0.02507,1.00159,0.59139,0,-0.19683,-0.19148,0.19059,4.9327,-0.0382,11.74077,11.27012
"13","2017_Q1",24.0993548387097,"Up",27940000,-16468000,-3108000,-13360000,11472000,804000,803000,1000,12276000,12276000,12435000,12435000,12435000,12435000,130136000,14528000,8616000.00000001,8616000.00000001,2901000,2901000,141653000,3105000,10465000,10362000,103000,286910000,428563000,10637000,3880000,6757000,95649000,106286000,8323000,397000,8323000,114609000,553355000,-237960000,313954000,313954000,428563000,12435000,467000,2879000,-30948000,-15167000,-569000,-104892000,127077000,127077000,119800000,-259000,-259000,-259000,11939000,0,0.41059,0.44506,0.0396099999999999,0.02902,1.33275,0.36505,0,0.29173,0.2828,0.65548,7.36539,0.0385800000000001,-10.90008,-11.34379
"14","2017_Q2",22.4149206349206,"Down",3500000,-19859000,-4811000,-15048000,-16359000,1054000,1054000,-2992.05789926451,-15305000,-15305000,-15475000,-15475000,-15475000,-15475000,154786000,13561000,6938000,6938000,4365000,4365000,166089000,3360000,10989000,10886000,103000,252214000,418303000,10952000,4275000,6677000,95923000,106875000,7680000,361000,7680000,114555000,557940000,-252996000,303748000,303748000,418303000,-15475000,410000,3826000,693000,-10546000,-1196000,8553000.00000001,1025999.99999996,1025999.99999996,1026000,-966999.999999998,-966999.999999998,-966999.999999998,-15949000,-3.46944695195361e-18,-4.674,-4.42143,-0.05095,-0.03699,1.55405,0.37714,0,-0.33209,-0.33209,0.0751099999999999,6.51837,-0.04969,9.70506,9.46183
"15","2017_Q3",22.2011111111111,"Down",12500000,-21011000,-4092000,-16919000,-8511000,1066000,1036000,30000,-7445000,-7445000,-7725000,-7725000,-7725000,-7725000,188489000,11220000,14876000,14876000,7617000,7617000,210982000,3861000,11079000,10865000,214000,205182000,416164000,11818000,7379000,4439000,95613000,107431000,7368000,614000,7368000,114799000,562485000,-259880000,301365000,301365000,416164000,-7725000,454000,4362000,-9967000,-12876000,-1152000,9439000,1096000,1096000,1096000,-2341000,-2341000,-2341000,-8057000,0,-0.68088,-0.618,-0.02563,-0.01856,1.96388,0.38093,-5.16987882845642e-26,-0.16517,-0.16517,0.26727,6.44373,-0.02502,23.39444,22.14652
"16","2017_Q4",21.6847619047619,"Down",3.72529029846191e-09,-23580000,-4171000,-19409000,-23580000,1100000,1044000,56000,-22480000,-22480000,-22653000,-22653000,-22653000,-22653000,209952000,13634000,831000,831000,7027000,7027000,217810000,6085000,11308000,11043000,265000,180445000,398255000,11238000,6602000,4636000,89088000,100326000,7390000,1202000,7390000,107716000,567079000,-275443000,290539000,290539000,398255000,-22653000,556000,4442000,14146000,-3509000,-3004000,4933000,990000,990000,990000,2414000,2414000,2414000,-23024000,-2.16840434497101e-19,1.51845336842363,1.48648036657671,-0.07797,-0.05688,2.17102,0.37075,0,-0.48268,-0.48268,0,6.19061,-0.07603,9.11883,8.90382
"17","2018_Q1",26.146393442623,"Up",30150000,-24823000,-4427000,-20396000,5327000,954000,1047000,-93000,6281000,6281000,7367000,7367000,7367000,7367000,224131000,16528000,1142000,1142000,5606000,5606000,230879000,7088000,13037000,11148000,1889000,159323000,390202000,12506000,6869000,5637000,60144000,72650000,1088000,1088000,1088000,73738000,571140000,-252868000,316464000,316464000,390202000,7367000,610000,4345000,-18988000,-6666000,-1926000,8939000,621000,621000,621000,2894000,2894000,2894000,5937000,0,0.176679999999999,0.244339999999998,0.02328,0.01888,3.17796,0.23301,0,0.15684,0.15684,0.64188,6.73739,0.0232,-37.75156,-42.07453
"18","2018_Q2",34.46046875,"Up",15554645.9962734,-30649000,-4562000,-26087000,-30649000,1156000,1154000,2000,-29493000,-29493000,-29493000,-29493000,-29493000,-29493000,462410000,251572000,1098000,1098000,7411000,6649000,470919000,8921000,12343000,11316000,1027000,141353000,612272000,13134000,8523000,4611000,60297000,73431000,1177000,1177000,1177000,74608000,822226000,-282361000,537664000,537664000,612272000,-29493000,730000,4956000,-438000,-24245000,-2735000,12674000,261355000,261355000,246615000,235044000,235044000,235044000,-29919000,-1.35525271560688e-20,-1.88513251597911,-1.64738217937344,-0.05485,-0.04817,6.41308,0.13876,0,-0.6176,-0.6176,0.43569492077432,11.25905,-0.05473,15.4554,15.08728
"19","2018_Q3",40.7719047619048,"Up",-29569722.7283025,-28289000,-4958000,-23331000,-28289000,2421000,2483000,-62000,-25868000,-25868000,-25868000,-25868000,-25868000,-25868000,255408000,35292000,1283000,1283000,12836000,12074000,269527000,9401000,12558000,11531000,1027000,321930000,591457000,10839000,4916000,5923000,60317000,71156000,1122000,1122000,1122000,72278000,829416000,-308229000,519179000,519179000,591457000,-25868000,822000,4853000,-8226000,-28419000,-1563000,-190169000,2309000,2309000,2308000,-216280000,-216280000,-216280000,-27467000,0,-3.44982849419179,-3.06656630657717,-0.04982,-0.04374,3.78783,0.13922,-2.01948391736579e-28,-0.46423,-0.46423,-0.402657184026073,9.31718,-0.04972,9.29872,9.02852999999997
"20","2018_Q4",36.6922222222222,"Down",-49480730.0887271,-28388000,-7435000,-20953000,651000,2500000,2642000,-142000,3151000,3151000,3151000,3151000,3151000,3151000,271601000,34996000,2462000,2462000,12857000,12095000,286920000,9688000,12750000,11677000,1073000,298666000,585586000,11654000,5983000,5671000,40373000,52027000,1286000,1286000,1286000,53313000,839689000,-305078000,532273000,532273000,585586000,3151000,816000,5960000,-20238000,-10311000,-1429000,5862000.00000003,4153000,4153000,4153000.00000003,-295999.99999994,-295999.99999994,-295999.99999994,1466999.99999999,0,-3.70123022530857,-3.28482228049231,0.00592,0.00538,5.51483,0.10016,0,0.0562499999999999,0.05625,-0.827835696813431,9.50138,0.00591,-185.14042,-417.20584
"21","2019_Q1",33.2731147540984,"Down",11563999.9999999,-32647000,-5517000,-27130000,-21083000,2884000,2807000,77000,-18199000,-18199000,-18199000,-18199000,-18199000,-18199000,294361000,26246000,10187000,10187000,11179000,10375000,315727000,11813000,13084000,11969000,1115000,261005000,576732000,13459000,3797000,9662000,40394000,53853000,1198000,1198000,1198000,55051000,845929000,-323277000,521681000,521681000,576732000,-18199000,883000,4800000,-4265000,-16781000,-3411000,6780000,1165000,1165000,1251000,-8750000,-8750000,-8750000,-20200000,0,-1.82316,-1.57376,-0.03489,-0.03156,5.86276,0.10553,0,-0.32342,-0.32342,0.2055,9.27084,-0.03481,14.57233,13.9620100000001
"22","2019_Q2",32.8512698412698,"Down",111939000,-33695000,-5512000,-28183000,78244000,2701000,2886000,-185000,80945000,80945000,80045000,80045000,80045000,80045000,340356000,21858000,137676000,137676000,10639000,9433000,488671000,11456000,24404000,12737000,11667000,208332000,697003000,12090000,5485000,6605000,61231000,73321000,14117000,10221000,14117000,87438000,852452000,-243232000,609565000,609565000,697003000,80045000,996000,5313000,-105082000,-18728000,-1466000,13673000,667000,667000,666999.999999996,-4388000,-4388000,-4388000,79240000,1.05879118406788e-22,0.69899,0.71508,0.13131,0.11484,6.66482,0.14344,0,1.42168,1.37985,1.98815,10.82652,0.12834,-4.29525,-4.34993
"23","2019_Q3",39.91984375,"Up",19485000,-39056000,-5758000,-33298000,-19571000,3588000,3615000,-27000,-15983000,-15983000,-16033000,-16033000,-16033000,-16033000,505170000,32557000,10130000,10130000,11709000,11307000,527009000,12128000,24650000,13522000,11128000,157744000,684753000,16020000,8994000,7026000,47692000,63712000,12950000,9650000,12950000,76662000,865728000,-259266000,608091000,608091000,684753000,-16033000,1007000,8065000,116117000,109156000,-2565000,-102430000,3973000,3973000,3973000,10699000,10699000,10699000,-18564000,0,-1.00441,-0.82284,-0.02637,-0.02341,8.27174,0.12607,0,-0.28427,-0.27607,0.34548,10.7818,-0.02582,27.21235,25.81217
"24","2019_Q4",36.52984375,"Down",21760000,-36036000,-6267000,-29769000,-14276000,3701000,3700000,1000,-10575000,-10575000,-10225000,-10225000,-10225000,-10225000,546481000,51189000,4349000,4349000,22935000,7533000,573765000,13868000,24616000,14027000,10589000,112479000,686244000,16536000,8304000,8232000,47776000,64312000,11695000,9082000,11695000,76007000,878291000,-269490000,610237000,610237000,686244000,-10225000,1070000,8085000,-5407000.00000006,-6476999.99999997,-3344000,22060000,3049000,3049000,3049000,18632000,18632000,18632000,-13206000,6.61744490042422e-24,-0.65607,-0.4699,-0.01676,-0.0149,8.92159,0.12455,0,-0.18051,-0.17328,0.38414,10.77276,-0.01644,41.38127,38.2797
"25","2020_Q1",33.1298387096774,"Down",3516000,-34089000,-6749000,-27340000,-30573000,3373000,3418000,-44999.9999999999,-27200000,-27200000,-26912000,-26912000,-26912000,-26912000,529782000,50312000,21574000,21574000,7049000,6547000,558405000,15805000,24514000,14421000,10093000,111845000,670250000,19184000,10189000,8995000,47374000,66558000,10491000,8565000,10491000,77049000,888442000,-296402000,593201000,593201000,670250000,-26912000,1225000,6296000,-186000,-19577000,-3663000,15727000,2973000,2973000,2973000,-877000,-877000,-877000,-29348000,0,-8.69539,-7.65415,-0.04537,-0.04015,8.38975,0.12989,0,-0.474,-0.45787,0.0619299999999999,10.44796,-0.04458,18.05172,17.32843
"26","2020_Q2",30.6477777777778,"Down",32385000,-41162000,-7219000,-33943000,-8777000,703000,3039000,-2336000,-8074000,-8074000,-8074000,-8074000,-8074000,-8074000,573902000,73808000,6825000,6825000,7380000,6476000,588107000,16799000,23825000,14637000,9188000,78856000,666963000,17605000,10313000,7292000,48312000,65917000,8041000,8041000,8041000,73958000,896425000,-304476000,593005000,593005000,666963000,-8074000,1373000,3714000,12447000,9460000,-2611000,12565000,1471000,1471000,1471000,23496000,23496000,23496000,-7404000,0,-0.27102,-0.24931,-0.01362,-0.01211,8.92193,0.12472,0,-0.14178,-0.14178,0.56869,10.41333,-0.01343,77.51243,65.38703
"27","2020_Q3",34.73921875,"Up",13089000,-50688000,-7230000,-43458000,-37599000,4559000,2090000,2469000,-33040000,-35018000,-35018000,-35018000,-35018000,-35018000,586259000,109534000,8925000,8925000,8202000,7398000,603386000,16239000,23950000,15162000,8788000,41334000,644720000,19670000,10513000,9157000,46779000,66449000,7626000,7626000,7626000,74075000,908656000,-339494000,570645000,570645000,644720000,-35018000,1443000,7599000,-1706000,-27682000,-1551000,59408000,4e+06,4e+06,4e+06,35726000,35726000,35726000,-36156000,0,-2.87256,-2.67538,-0.06137,-0.05432,9.08044,0.12981,0,-0.61371,-0.61371,0.22939,10.00086,-0.06056,16.21471,15.59241
"28","2020_Q4",41.3528125,"Up",35366000,-52089000,-7637000,-44452000,-16723000,1401000,1423000,-22000,-15322000,-12550000,-12550000,-12550000,-12550000,-12550000,551164000,58094000,9534000,9534000,10185000,10185000,570883000,19771000,23927000,15319000,8608000,75466000,646349000,24490000,13109000,11381000,45998000,70488000,7378000,7378000,7378000,77866000,919960000,-352044000,568483000,568483000,646349000,-12550000,1446000,5638000,1600000,-3866000,-5371000,-50560000,2986000,2986000,2986000,-51440000,-51440000,-51440000,-15277000,0,-0.47286,-0.35486,-0.02208,-0.01942,8.09901,0.13697,0,-0.21914,-0.21914,0.61755,9.92671,-0.02179,36.07803,32.95844
"29","2021_Q1",47.3790163934426,"Up",41854000,-55552000,-7603000,-47949000,-13698000,696000,712000,-16000,-13002000,-13691000,-13691000,-13691000,-13691000,-13691000,603003000,163544000,11443000,11443000,23226000,10726000,637672000,21682000,26789000,15977000,10812000,65572000,703244000,26557000,8954000,17603000,94504000,121061000,9739000,9739000,9739000,130800000,938105000,-365735000,572444000,572444000,703244000,-13691000,1532000,-6593000,35836000,17084000,-4234000,78779000,9587000,9587000,9587000,105450000,105450000,105450000,-12166000,0,-0.327280000000001,-0.32711,-0.02392,-0.01947,5.26736,0.22849,0,-0.23779,-0.23779,0.72693,9.9423,-0.02352,49.56461,44.02124
"30","2021_Q2",39.6468253968254,"Down",33965000,-49637000,-8226000,-41411000,-15672000,204000,215000,-11000,-15468000,-2487000,-2487000,-2487000,-2487000,-2487000,551979000,176965000,12525000,12525000,26664000,14164000,591168000,22301000,25967000,15550000,10417000,101569000,692737000,20176000,7663000,12513000,79755000,99931000,9194000,9194000,9194000,109125000,951154000,-368222000,583612000,583612000,692737000,-2487000,1638000,-3629000,-25488000,-29966000,-2023000,38048000,5339000,5339000,5339000,13421000,13421000,13421000,-14034000,3.23117426778526e-27,-0.46142,-0.07322,-0.00426,-0.00359,5.91576,0.18698,0,-0.04288,-0.04288,0.58563,10.05269,-0.0042,39.33155,35.22071
"31","2021_Q3",32.84484375,"Down",67447000,-58361000,-8864000,-49497000,9086000,141000,147000,-6000,9227000,52248000,52248000,52248000,52248000,52248000,450048000,115842000,14825000,14825000,16094000,15594000,480967000,23132000,20738000,16384000,4354000,214635000,695602000,24440000,7112000,17328000,21522000,45962000,2702000,2702000,2702000,48664000,962343000,-315974000,646938000,646938000,695602000,52248000,1753000,-17712000,-45943000,-9654000,-3531000,-53309000,1840000,1840000,1840000,-61123000,-61123000,-61123000,10839000,0,0.13471,0.77465,0.08076,0.07511,10.46445,0.07522,0,0.90087,0.90087,1.16293,11.14455,0.08043,-41.52117,-49.53203
"32","2021_Q4",37.91140625,"Up",19683000,-60983000,-10373000,-50610000,-41300000,-397000,196000,-593000,-41697000,-40191000,-40191000,-40191000,-40191000,-40191000,288201000,41200000,20545000,20545000,20883000,20883000,329629000,24179000,50130000,16675000,33455000,367635000,697264000,31239000,9131000,22108000,13078000,44317000,34087000,34087000,34087000,78404000,974514000,-356165000,618860000,618860000,697264000,-40191000,1993000,9360000.00000001,-10185000,-39023000,-3769000,-38848000,3229000,3229000,3229000,-74642000,-74642000,-74642000,-39307000,-2.01948391736579e-28,-2.09826,-2.04191,-0.06494,-0.05764,7.43798,0.12669,0,-0.69057,-0.666,0.3382,10.62329,-0.06155,7.33205,6.97823
"33","2022_Q1",32.2533870967742,"Down",154016000,-62363000,-11374000,-50989000,91653000,-373000,291000,-664000,91280000,73061000,73061000,73061000,73061000,73061000,334107000,143480000,66384000,66384000,23877000,23877000,424368000,28240000,53876000,16493000,37383000,413843000,838211000,33444000,14001000,19443000,37294000,70738000,33969000,33969000,33969000,104707000,1018118000,-283104000,733504000,733504000,838211000,73061000,2107000,7607000,-20985000,61790000,-6639000,8702000,31788000,31788000,31788000,102280000,102280000,102280000,93760000,0,0.59509,0.47437,0.09961,0.08716,5.99915,0.14275,0,1.24247,1.39528,2.61919,12.47396,0.0952,-3.56343000000001,-3.64535
"34","2022_Q2",24.6670967741935,"Down",85495000,-59029000,-11273000,-47756000,26466000,557000,653000,-96000,27023000,23594000,23594000,23594000,23594000,23594000,389755000,78267000,88204000,88204000,28011000,23011000,505970000,28411000,53244000,16712000,36532000,351952000,857922000,24517000,11905000,12612000,36424000,60941000,33958000,33958000,33958000,94899000,1029058000,-259510000,763023000,763023000,857922000,23594000,2178000,15205000,-35162000,5815000.00000001,-2995000,-71759000,731000,731000,731000,-65213000,-65213000,-65213000,28644000,1.26217744835362e-29,0.30956,0.27597,0.03092,0.0275,8.30262,0.12437,0,0.40486,0.39103,1.46703,13.08269,0.0296,-13.60686,-14.72663
"35","2022_Q3",28.63515625,"Up",30175000,-58174000,-11091000,-47083000,-27999000,570000,718000,-148000,-27429000,-33974000,-33974000,-33974000,-33974000,-33974000,511918000,49410000,54284000,54284000,19734000,19734000,585936000,38855000,54997000,17944000,37053000,265389000,851325000,32095000,15747000,16348000,42946000,75041000,33943000,33943000,33943000,108984000,1044172000,-293485000,742341000,742341000,851325000,-33974000,2224000,20455000,55564000,44269000,-14645000,-75639000,2513000,2513000,2513000,-28857000,-28857000,-28857000,-25775000,0,-0.92789,-1.1259,-0.04577,-0.03991,7.80821,0.14681,0,-0.58297,-0.56306,0.51778,12.72777,-0.04376,19.86103,18.28344
