"","YQ","p","d","revenue","sales_services_revenue","cost_of_revenue","cost_of_goods_services","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","current_portion_of_long_term_debt","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","stock_based_compensation","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repayment_of_long_term_debt_net","repayments_of_long_term_debt","cash_from_long_term_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",5.019375,"Up",561792000,561792000,-465472000,-465472000,96320000,-101904000,-47045000,-54859000,-5584000,16983000,-108000,-118000,10000,17091000,11399000,11399000,-151000,11248000,11248000,11248000,11248000,214417000,214417000,46139000,46139000,237618000,27819000,11100000,525993000,581997000,35788000,35788000,617785000,1143778000,344915000,304204000,40711000,66753000,10460000,134415000,3701000,130714000,546083000,40327000,5323000,35004000,40327000,586410000,1222940000,115000,1222825000,-1054357000,168583000,388785000,557368000,1143778000,11248000,17850000,6098000,14868000,-8770000,28883000,-19297000,18220000,3373000,64079000,-57727000,-57727000,-57727000,-55236000,-14219000,-14219000,-14219000,443219557.255136,17903000,17903000,3684000,12527000,12527000,12527000,12266000,66753000,-16427000,0.17145,-0.00994,0.02002,0.02018,0.00983,-1.46044,0.96321,1.05211,0.05836,0.00654,0.00603,0.32649,0.09797,-0.00955,0.01693,-0.02472,-12.03848,26.44413
"12","2013_Q3",9.89375,"Up",405139000,405139000,-304656000,-304656000,100483000,-112275000,-59963000,-52312000,-11792000,-18409000,-20077000,-20116000,39000,1668000,-30201000,-30201000,-301000,-30502000,-30502000,-30502000,-30502000,746057000,746057000,113544000,113544000,254891000,15050000,13688000,1129542000,595579000,162723000,162723000,758302000,1887844000,317353000,262227000,55126000,14944000,9249000,163497000,29781000,133716000,495794000,183884000,68293000,115591000,183884000,679678000,1714284000,121000,1714163000,-1084858000,629426000,578740000,1208166000,1887844000,-30502000,22198000,35423000,19714000,15709000,-62417000,-67581000,-147467000,172617000,-35298000,-40515000,-40515000,-40515000,-27174000,40708000,40708000,-619292000,6.6e+08,572506000,572506000,597007000,534535000,534535000,531640000,10406000,14944000,-92225000,0.24802,-0.02911,-0.07529,-0.02525,-0.01616,3.02357,2.27825,0.56257,0.00792000000000002,-0.01773,-0.01636,0.23545,0.3658,-0.0536,-0.02168,-0.06555,-70.25879,62.00076
"13","2013_Q4",10.21265625,"Up",431346000,431346000,-328476000,-328476000,102870000,-133424000,-77072000,-56352000,-30554000,-7164000,-6423000,-6471000,48000,-741000,-37718000,-37718000,-778000,-38496000,-38496000,-38496000,-38496000,795116000,795116000,47580000,47580000,347545000,28525000,27260000,1218766000,654482000,292961000,292961000,947443000,2166209000,376970000,302439000,74531000,599404000,10931000,204016000,63739000,140277000,1180390000,344156000,131298000,212858000,344156000,1524546000,1687520000,123000,1687397000,-1123355000,564165000,77498000,641663000,2166209000,-38496000,28450000,27026000,20984000,6042000,85056000,66162000,-229170000,194911000,102036000,-76548000,-76548000,-76548000,-77502000,-2746000,-2746000,-2746000,0,27128000,27128000,24215000,48749000,48749000,49059000,-2104000,599404000,7182000,0.23849,-0.07083,-0.08925,-0.05999,-0.01777,-0.18656,1.03251,2.37593,0.27671,-0.0217,-0.0217,0.24312,0.31798,0.00405,-0.02428,0.00453,93.01901,6.40545
"14","2014_Q1",13.394262295082,"Up",615219000,615219000,-458630000,-458630000,156589000,-169942000,-101489000,-68453000,-13353000,-1553000,-6137000,-6229000,92000,4584000,-14906000,-14906000,-1358000,-16264000,-16264000,-16264000,-16264000,845889000,845889000,49109000,49109000,340355000,30586000,27574000,1265939000,738494000,412497000,412497000,1150991000,2416930000,412221000,303969000,108252000,20759000,12855000,255035000,91882000,163153000,688015000,475676000,181180000,294496000,475676000,1163691000,1806740000,123000,1806617000,-1139620000,667120000,586119000,1253239000,2416930000,-16264000,37585000,15230000,25171000,-9941000,97436000,-988999.999999985,-102144000,172910000,133987000,-89434000,-89434000,-89434000,-89505000,-2045000,-2044999.99999994,-2045000,0,13088000.0000001,13088000.0000001,10516000,54998000,54998000,50773000,24232000,20759000.0000001,33592000,0.25453,-0.0217,-0.02644,-0.01298,-0.00673,-2.06542,1.83999,0.92855,0.00858999999999993,-0.00883,-0.00883,0.33389,0.36206,0.01823,-0.0093,0.0192,-34.05125,61.7936
"15","2014_Q2",13.9471428571429,"Up",620542000,620542000,-465414000,-465414000,155128000,-199095000,-117551000,-81544000,-43967000,-5024000,-11742000,-11883000,141000,6718000,-48991000,-48991000,-809000,-49800000,-49800000,-49800000,-49800000,2583019000,2393908000,72380000,72380000,450730000,49918000,48869000,3156047000,849389000,494974000,494974000,1344363000,4500410000,504452000,375778000,128674000,610844000,12572000,310746000,112740000,198006000,1426042000,572403000,210817000,361586000,572403000,1998445000,2101476000,124000,2101352000,-1189420000,912056000,1589909000,2501965000,4500410000,-49800000,44268000,47761000,37038000,10723000,16494000,-23721000,-198594000,141272000,58723000,-141364000,-141364000,-141364000,-329180000,1472735000,1472735000,-527265000,2e+09,374126000,374126000,1816559000,1546102000,1546102000,1548019000,301000,610844000,-123760000,0.24999,-0.07085,-0.08025,-0.0199,-0.01107,2.48514,2.21315,0.79875,0.13573,-0.02689,-0.02689,0.33505,0.49245,-0.06682,-0.01351,-0.03358,-6552.07641,44.8558
"16","2014_Q3",16.501875,"Up",769349000,769349000,-556354000,-556354000,212995000,-241750000,-134032000,-107718000,-28755000,-31998000,-30772000,-31239000,467000,-1226000,-60753000,-60753000,-1149000,-61902000,-61902000,-61902000,-61902000,2674910000,2674910000,96607000,96607000,596927000,73250000,61536000,3441694000,1035822000,576947000,576947000,1612769000,5054463000,604985000,443548000,161437000,617511000,14099000,367453000,139436000,228017000,1589949000,679074000,234980000,444094000,679074000,2269023000,2203660000,125000,2203535000,-1251327000,952333000,1833107000,2785440000,5054463000,-61902000,54715000,70770000,35784000,34986000,-65245000,-24210000,-259538000,130329000,-1662000,-175685000,-175685000,-175685000,2610000.00000006,218191000,218191000,-81809000,3e+08,68149000,68149000,281492000,282440000,282440000,281002000,25960000,617511000,-213821000,0.27685,-0.03738,-0.08046,-0.02222,-0.01225,3.45419,2.16466,0.8146,0.12217,-0.03321,-0.03321,0.41279,0.51098,-0.11473,-0.01516,-0.05238,-79.2526600000001,71.54926
"17","2014_Q4",15.6265625,"Down",851804000,851804000,-599953000,-599953000,251851000,-290980000,-155107000,-135873000,-39129000,-31853000,-28762000,-29061000,299000,-3091000,-70982000,-70982000,-3727000,-74709000,-74709000,-74709000,-74709000,2370735000,2370735000,156889000,156889000,752492000,82798000,65467000,3362914000,1404326000,670293000,670293000,2074619000,5437533000,843933000,649362000,194571000,620024000,12806000,388626000,161570000,227056000,1852583000,778060000,254321000,523739000,778060000,2630643000,2284135000,125000,2284010000,-1326041000,958094000,1848796000,2806890000,5437533000,-74709000,64972000,76426000,39158000,37268000,-94685000,-61241000,-214531000,112903000,-27996000,-284175000,-284175000,-284175000,-291643000,-3056000,-3056000,-3056000,0,36810000,36810000,33754000,-285885000,-285885000,-304175000,25843000,620024000,-349290000,0.29567,-0.04594,-0.08771,-0.02662,-0.01374,4.67534,1.81526,0.93721,0.11403,-0.03987,-0.03987,0.45462,0.51135,-0.18642,-0.01777,-0.08307,-67.74411,44.74203
"18","2015_Q1",13.4990163934426,"Down",956661000,956661000,-694964000,-694964000,261697000,-336535000,-196970000,-139565000,-74838000,-29072000,-28484000,-28703000,219000,-588000,-103910000,-103910000,-3719000,-107629000,-107629000,-107629000,-107629000,1905713000,1905713000,226604000,226604000,953675000,94081000,76134000,3180073000,1829267000,821327000,821327000,2650594000,5830667000,1046829000,777946000,268883000,611099000,611099000,449238000,191651000,257587000,2107166000,934810000,292271000,642539000,2753595000,4860761000,2345392000,126000,2345266000,-1433660000,911710000,58196000.0000002,969906000,5830667000,-107629000,67976000,66640000,44516000,22124000,-113389000,-74486000,-377601000,177737000,-86402000,-368661000,-368661000,-368661000,-372231000,793999.99999997,793999.999999985,-2477000,3270999.99999997,10530000,10530000,11325000,-447308000,-447308000,-465022000,-6862000,2429884000,-485193000,0.27355,-0.07823,-0.1125,-0.11097,-0.01846,4.50801,1.50917,5.01158,0.41674,-0.05716,-0.05716,0.5081,0.48422,-0.25769,-0.02483,-0.11193,-76.3875,-7.00408
"19","2015_Q2",15.8122222222222,"Up",939880000,939880000,-679807000,-679807000,260073000,-362519000,-195365000,-167154000,-102446000,-48695000,-26390000,-26574000,184000,-22305000,-151141000,-151141000,-3040000,-154181000,-154181000,-154181000,-154181000,1510076000,1510076000,200052000,200052000,1054840000,156449000,135756000,2921417000,2224191000,974422000,974422000,3198613000,6120030000,1086099000,732331000,353768000,641597000,11265000,475950000,226474000,249476000,2203646000,1147438000,312850000,834588000,1147438000,3351084000,2429803000,126000,2429677000,-1587841000,825997000,1942949000,2768946000,6120030000,-154181000,77112000,100460000,43026000,57434000,-155185000,2175000,-307209000,102356000,-131794000,-426060000,-426060000,-426060000,-432344000,151896000,151896000,-3726000,155622000,35218000,35218000,186156000,-377982000,-377982000,-395637000,-25334000,641597000,-603539000,0.27671,-0.109,-0.16404,-0.05568,-0.02519,3.91448,1.32572,1.21024,0.10484,-0.08161,-0.08161,0.4975,0.43722,-0.31947,-0.03383,-0.13241,34.28116,8.47743
"20","2015_Q3",16.99109375,"Up",954976000,954976000,-741606000,-741606000,213370000,-383558000,-201846000,-181712000,-170188000,-10872000,-24105000,-24352000,247000,13233000,-181060000,-181060000,-3167000,-184227000,-184227000,-184227000,-184227000,1150673000,1150673000,138648000,138648000,1212279000,127021000,106430000,2628621000,2646017000,1193547000,1193547000,3839564000,6468185000,1117038000,771637000,345401000,649529000,11254000,629075000,288527000,340548000,2395642000,1318247000,334628000,983619000,1318247000,3713889000,2502806000,127000,2502679000,-1772068000,715934000,2038362000,2754296000,6468185000,-184227000,91389000,63373000,43335000,20038000,-130051000,60657000,-399011000,194535000,-159516000,-405165000,-405165000,-405165000,-422837000,198984000,198984000,-10175000,209159000,23653000,23653000,218351000,-364002000,-364002000,-359403000,-78799000,649529000,-610848000,0.22343,-0.17821,-0.19291,-0.06689,-0.02848,3.31574,1.09725,1.3484,0.10042,-0.09694,-0.09694,0.50253,0.37674,-0.32144,-0.03901,-0.12936,6.35978,2.94465
"21","2015_Q4",14.963125,"Down",936789000,936789000,-705293000,-705293000,231496000,-415158000,-236367000,-178791000,-183662000,-44412000,-28981000,-29308000,327000,-15431000,-228074000,-228074000,-1784000,-229858000,-229858000,-229858000,-229858000,1426036000,1426036000,119964000,119964000,1293717000,159078000,133855000,2998795000,3103811000,1444891000,1444891000,4548702000,7547497000,1198720000,824861000,373859000,666842000,15033000,703242000,348117000,355125000,2568804000,1651495000,362261000,1289234000,1651495000,4220299000,3340567000,131000,3340436000,-2001926000,1314656000,2012542000,3327198000,7547497000,-229858000,110366000,108599000,55998000,52601000,-192447000,15541000,-385162000,149197000,-203340000,-392403000,-392403000,-392403000,-404090000,120137000,120137000,-59005000,179142000,785155000,785155000,893978000,286548000,286548000,275363000,-73296000,666842000,-656362000,0.24712,-0.19605,-0.24537,-0.06908,-0.03045,2.85551,1.16739,1.26842,0.08835,-0.11878,-0.11878,0.48411,0.67938,-0.33919,-0.04072,-0.11626,10.35792,4.13365
"22","2016_Q1",13.154262295082,"Down",1214380000,1214380000,-995816000,-995816000,218564000,-478897000,-288654000,-190243000,-260333000,-55016000,-37867000,-38617000,750000,-17149000,-315349000,-315349000,-5048000,-320397000,-320397000,-320397000,-320397000,1196908000,1196908000,168965000,168965000,1277838000,138295000,115667000,2782006000,3403334000,1882599000,1869783000,5285933000,8067939000,1338946000,916148000,422798000,627927000,627927000,844162000,423961000,420201000,2811035000,2104822000,446105000,1658717000,4125915000,6936950000,3409583000,131000,3409452000,-2322323000,1083704000,47285000,1130989000,8067939000,-320397000,143723000,162431000,55640000,106791000,-15606000,-32106000,-482478000,324871000,-29849000,-411222000,-411222000,-411222000,-414280000,212920000,212920000,-130874000,343794000,12585000,12585000,225038000,-219091000,-219091000,-229128000,-116610000,2649020000,-538390000,0.17998,-0.21438,-0.26384,-0.28329,-0.03971,1.68038,0.98967,6.13353,0.32834,-0.16285,-0.16285,0.61722,0.55081,-0.27364,-0.05444,-0.09149,-12.45272,-5.5779
"23","2016_Q2",15.15203125,"Up",1147048000,1147048000,-894580000,-894580000,252468000,-500692000,-318210000,-182482000,-248224000,-30197000,-39374000,-40625000,1251000,9177000,-278421000,-278421000,-3846000,-282267000,-282267000,-282267000,-282267000,1441789000,1441789000,318056000,318056000,1301961000,177737000,153757000,3239543000,3593014000,2359145000,2359145000,5952159000,9191702000,1452008000,1013486000,438522000,635285000,635285000,1100406000,516620000,583786000,3187699000,2506683000,496997000,2009686000,4991012000,8178711000,3561390000,134000,3561256000,-2604590000,970365000,42626000,1012991000,9191702000,-282267000,156460000,147231000,89658000,57573000,-271029000,-159327000,-512671000,340376000,-249605000,-216859000,-216859000,-216859000,-233819000,663635000,663635000,-8128000,671763000,52838000,52838000,715435000,232011000,232011000,244881000,-91764000,3119614000,-575806000,0.2201,-0.2164,-0.24608,-0.27865,-0.03071,2.03993,1.01626,8.07382,0.33939,-0.14183,-0.14183,0.57637,0.48759,-0.28933,-0.04251,-0.08673,-18.28413,-6.75932
