"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2018_Q2",1.8465625,"Down",2064000,-11198000,-2255000,-8943000,-9134000,-826000,-837000,11000,-9960000,-9960000,-9960000,-9960000,7008000,-2952000,-2952000,6535000,6535000,2727000,471000,9472000,241000,2536000,2536000,5257000,14729000,11296000,11296000,8754000,26821000,3208000,772000,16299000,43120000,-148788000,-148788000,120397000,-28391000,14729000,-9960000,42000,1251000,3270000,-2605000,-1915000,-5397000,-695804.770788038,215367.110644374,-5385000,-5385000,-5385000,-9092000,19862000,-4.42539,-1.43023,0.10398,-0.20042,0.35316,-1.51879,1.3485,-0.30434,-0.30434,0.21279,-15.33941,0.55478,-1.46579,-1.45905
"12","2018_Q3",1.17269841269841,"Down",2473000,-11331000,-2737000,-8594000,-8858000,-538000,-854000,316000,-9396000,-9396000,-9596000,-9596000,6524000,-3072000,-3072000,1163000,1163000,2575000,264000,6008000,202000,2536000,2536000,5218000,11226000,13144000,13144000,10114000,31487000,1060000,457000,11923000,43410000,-71597000,-71597000,39413000,-32184000,11226000,-9596000,39000,759000,-532000,1848000,-320000.000000004,-9330000,-1042000,3958000,-5372000,-5372000,-5372000,-8819000,19092000,-3.58187999999999,-1.24222,0.09545,-0.27365,0.19081,-1.34881,1.70069,-0.30568,-0.30568,0.24607,-7.1242,0.25532,-2.033,-2.02405
"13","2018_Q4",2.31380952380952,"Up",3375000,-4856000,-2158000,-2698000,-1481000,-480000,-809000,329000,-1961000,-1961000,-1961000,-1961000,1165000,-796000,-796000,3766000,3766000,2130000,1006000,5896000,177000,2536000,2536000,5193000,11089000,8965000,8965000,6747000,25309000,1235000,640000,9846000,35155000,-43978000,-43978000,19912000,-24066000,11089000,-1961000,30000,508000,-4837000,-4179000,-2928000,-6260000,-1132000,8868000,2603000,2603000,2603000,-1451000,18208000,-0.43881,-0.23585,0.03308,-0.07178,0.23296,-1.46077,1.64199,-0.06468,-0.06468,0.27426,-3.57372,0.17218,-9.95314,-9.75152
"14","2019_Q1",2.42508196721311,"Up",4522000,-4873000,-2073000,-2800000,-351000,-1977000,-729000,-1248000,-2328000,-2328000,-2328000,-2328000,1237000,-1091000,-1091000,1683000,1683000,1790000,666000,3473000,70000,2536000,2536000,5086000,8559000,7702000,7702000,1752000,18837000,3763000,2696000,10093000,28930000,-82853000,-82853000,62482000,-20371000,8559000,-2328000,107000,1798000,-5446000,-1263000,-4183000,-5869000,-2714000,3786000,-2083000,-2083000,-2083000,-244000,15713000,-0.0776200000000021,-0.241260000000001,0.05356,-0.12747,0.18437,-1.42016,1.83585,-0.06149,-0.06149,0.25488,-4.67003,1.21899,-57.5,-39.97151
"15","2019_Q2",1.50015873015873,"Down",921000,-5208000,-2386000,-2822000,-4287000,305000,-616000,921000,-3982000,-3982000,-3982000,-3982000,1827000,-2155000,-2155000,4959000,4959000,453000,419000,5412000,62000,2782000,2782000,5324000,10736000,6244000,6244000,1098000,16509000,2842000,1775000,6856000,23365000,-57735000,-57735000,45106000,-12629000,10736000,-3982000,8000,-455000,-1021000,-1445000,424000,-5450000,-2717000,8726000,3276000,3276000,3276000,-4279000,13181000,-4.65472,-2.33985,0.17064,-0.20073,0.32782,-1.85011,1.22774,-0.09426,-0.09426,0.04028,-2.52527,-0.63494,-1.92148,-1.91789
"16","2019_Q3",1.41125,"Down",1828000,-6620000,-2392000,-4228000,-4792000,-222000,-498000,276000,-5014000,-5014000,-5114000,-5114000,2232000,-2882000,-2882000,1462000,1462000,512000,145000,3796000,54000,2742000,2742000,5276000,9072000,8326000,8326000,205000,17177000,2552000,1500000,4737000,21914000,-49902000,-49902000,37060000,-12842000,9072000,-5114000,8000,276000,-667000,2080000,-925000,-5497000,-2500000,2e+06,-3497000,-3497000,-3497000,-4784000,10831000,-2.62143999999998,-1.57659,0.22442,-0.31768,0.22099,-1.70643,1.19389,-0.10269,-0.10269,0.06513,-1.77801,-5.32717,-1.9584,-1.95513
"17","2019_Q4",1.51765625,"Up",8000,-5433000,-1770000,-3663000,-5425000,-535000,-389000,-146000,-5960000,-5960000,-5960000,-5960000,2352000,-3608000,-3608000,2436000,2436000,1121000,870000,3567000,46000,3029000,3029000,5555000,9122000,6898000,6898000,122000,14462000,3178000,2138000,4541000,19003000,-47149000,-47149000,37268000,-9881000,9122000,-5960000,8000,362000,-605000,-1423000,-996000,-6195000,-2141000,6859000,974000,974000,974000,-5417000,8805000,-678.125,-451,0.36515,-0.39553,0.24665,-1.92319,0.96525,-0.11205,-0.11205,0.00025,-1.46428,-1.71646,-1.17574,-1.17401
"18","2020_Q1",2.40370967741935,"Up",7000,-6395000,-1989000,-4406000,-6388000,-494000,-271000,-223000,-6882000,-6882000,-6882000,-6882000,2483000,-4399000,-4399000,1777000,1777000,1056000,806000,2838000,461000,3487000,3487000,6428000,9266000,7068000,7068000,141000,13381000,4725000,4725000,4725000,18106000,-49023000,-49023000,40183000,-8840000,9266000,-6882000,15000,752000,239000,170000,66000,-5876000,-2715000,5285000,-658999.999999999,-658999.999999999,-658999.999999999,-6373000,6172000,-912.57143,-628.42857,0.49762,-0.47475,0.21209,-2.04819,0.66609,-0.11564,-0.11564,0.000180000000000006,-1.28873,-2.13855,-0.68963,-0.68801
"19","2020_Q2",2.4684126984127,"Up",8000,-6654000,-2450000,-4204000,-6646000,-519000,-156000,-363000,-7165000,-7165000,-7165000,-7165000,2441000,-4724000,-4724000,406000,406000,3091000,591000,3502000,434000,973000,973000,3887000,7389000,7395000,7395000,167000,11970000,5044000,5044000,5044000,17014000,-61821000,-61821000,52196000,-9625000,7389000,-7165000,27000,790000,788000,331000,457000,-5560000,-1811000,4189000,-1371000,-1371000,-1371000,-6619000,4408000,-830.75,-590.5,0.49081,-0.63933,0.29256,-1.76769,0.59656,-0.10869,-0.10869,0.00018,-1.4224,27.30636,-0.60462,-0.60217
"20","2020_Q3",2.196875,"Down",0,-4204000,-1695000,-2509000,-4204000,-787000,-222000,-565000,-4991000,-4991000,-4991000,-4991000,1623000,-3368000,-3368000,6392000,6392000,386000,299000,6778000,412000,958000,958000,3850000,10628000,6697000,6697000,174000,11414000,5364000,5364000,5364000,16778000,-69528000,-69528000,63378000,-6150000,10628000,-4991000,22000,886000,-711000,-715000,-1000,-4794000,0,8280000,3486000,3486000,3486000,-4182000,4543000,-680.448244240971,-443.213626243267,0.54764,-0.3169,0.59383,-2.72813,0.42746,-0.07376,-0.07376,-1.76182853028894e-18,-1.52269,-0.896459999999998,0.44213,0.43982
"21","2020_Q4",1.9171875,"Down",7000,-2839000,-1071000,-1768000,-2832000,579000,-235000,814000,-2253000,-2253000,-2253000,-2253000,720000,-1533000,-1533000,1827000,1827000,1837000,1306000,3678000,389000,499000,499000,3368000,7046000,5747000,5747000,180000,8296000,4531000,4531000,4531000,12827000,-51372000,-51372000,45591000,-5781000,7046000,-2253000,23000,-485000,-2719000,-968000,-1737000,-5434000,-1582000,869000,-4565000,-4565000,-4565000,-2809000,2369000,-404.57143,-219,0.26518,-0.21757,0.44335,-2.21882,0.33622,-0.03176,-0.03176,0.00015,-1.06437,-1.36997,-0.19295,-0.19138
"22","2021_Q1",2.45622950819672,"Up",6399000,-4569000,-2035000,-2534000,1830000,-223000,-67000,-156000,1607000,1607000,1607000,1607000,-481000,1126000,1126000,5747000,5747000,1310000,939000,7215000,367000,482000,482000,7574000,14789000,6120000,6120000,186000,6390000,4606000,4606000,4606000,10996000,-80334000,-80102000,83895000,3793000,14789000,1607000,22000,-3777000,-64000,355000,-275000,-2212000,-1563000,6132000,3920000,3920000,3920000,1852000,84000.0000000005,0.28598,0.17596,0.29686,0.07614,1.12911,2.89902,0.00567999999999996,0.02201,0.02201,0.12507,-1.57017,0.13274,-3.05778,-3.09454
"23","2021_Q2",2.53253968253968,"Up",987000,-5267000,-2164000,-3103000,-4280000,-1647000,1000,-1648000,-5927000,-5927000,-5942000,-5942000,1701000,-4241000,-4241000,8449000,8449000,770000,710000,9221000,344000,464000,464000,7533000,16754000,4965000,4965000,197000,5162000,5220000,5220000,5220000,10382000,-56507000,-56275000,62647000,6372000,16754000,-5942000,23000,2084000,-1464000,-1173000,-447000,-5299000,-84000,8001000,2702000,2702000,2702000,-4257000,0,-4.33636999999998,-4.29686000000001,-0.66557,-0.25313,1.78632,1.62932,0,-0.0751,-0.0751,0.01748,-1.00061,-0.36586,1.98473,1.97407
"24","2021_Q3",1.88421875,"Down",9000,-4679000,-2242000,-2437000,-4670000,3829000,3.63797880709171e-12,3829000,-841000,-841000,-841000,-841000,233000,-607999.999999998,-607999.999999998,10835000,10835000,437000,313000,11272000,322000,444000,444000,10388000,21660000,4855000,4855000,204000,5059000,4234000,4234000,4234000,9293000,-48055000,-47823000,60190000,12367000,21660000,-841000,22000,-3376000,197000,-3768590.17710292,-1594338.09278873,-3998000,0,6384000,2386000,2386000,2386000,-4648000,0,-518.88889,-67.55556,-0.04916,-0.02807,2.22811,0.75144,6.93889390390723e-18,-0.01077,-0.01077,0.000159999999999997,-0.85094,-0.03662,2.33111,2.32013
"25","2021_Q4",1.3421875,"Down",3e+06,-4603000,-2221000,-2382000,-1603000,238000,-6000,244000,-1365000,-1365000,-1465000,-1465000,378000,-1087000,-1087000,19566000,19566000,1677000,1574000,22171000,3e+05,424000,424000,9263000,31434000,4663000,4663000,211000,5510000,2859000,2859000,2859000,8369000,-21777000,-21545000,44610000,23065000,31434000,-1465000,22000,229000,-2380000,-5040786.90280389,-2387184.12371831,-3594000,636000,12325000,8731000,8731000,8731000,-1581000,636000,-0.534329999999727,-0.36233,-0.04713,-0.03458,4.02377,0.36284,0.02023,-0.02306,-0.02306,0.06364,-0.46198,-0.04093,11.97343,11.80911
"26","2022_Q1",0.749354838709677,"Down",9000,-11118000,-5716000,-5402000,-11109000,1626000,-6000,1632000,-9483000,-9483000,-9483000,-9483000,2432000,-7051000,-7051000,13415000,13415000,2149000,2049000,15621000,278000,402000,402000,9853000,25474000,8023000,8023000,219000,8498000,1754000,1754000,1754000,10252000,239094000,-9740000,24962000,15222000,25474000,-9483000,22000,-638000,3682000,-2978340.17710292,-1915188.09278873,-6417000,-380000,266000,-6151000,-6151000,-6151000,-11087000,256000,-1234.33333,-783.44444,-0.46321,-0.27679,1.8382,0.6735,0.01005,-0.14958,-0.14958,0.000189999999999982,-0.20663,-0.40918,1.18689,1.18454
"27","2022_Q2",0.641290322580645,"Down",2e+06,-8481000,-5348000,-3133000,-6481000,-2743000,-1000,-2742000,-9224000,-9224000,-9424000,-9424000,2417000,-7007000,-7007000,12138000,12138000,1417000,1387000,13612000,255000,379000,379000,6573000,20185000,12474000,12474000,226000,12700000,1211000,1211000,1211000,13911000,-8325000,-8093000,14367000,6274000,20185000,-9424000,23000,3218000,5162000,4430000,732000,-1021000,-256000,-256000,-1277000,-1277000,-1277000,-6458000,0,-3.24050000000034,-3.50349999999992,-1.11683,-0.34714,1.07181,2.21725,0,-0.10492,-0.10492,0.02995,-0.12465,-0.93614,1.87953,1.87286
"28","2022_Q3",0.9840625,"Up",9000,-4036000,-1831000,-2205000,-4027000,-64000,50000,-114000,-4091000,-4091000,-4091000,-4091000,940000,-3151000,-3151000,17863000,17863000,12669000,643000,30609000,254000,354000,354000,6380000,36989000,9600000,9600000,225000,9825000,19774000,19774000,19774000,29599000,-8757999.99999994,-8526000,15916000,7390000,36989000,-4091000,22000,231000,4544000,19195483.6285049,6464730.15464789,706000,-2.91038304567337e-11,5040000,5725000,5725000,5725000,-4005000,0,-447.44444,-350.11111,-0.42639,-0.08519,3.11542,4.00528,0,-0.04718,-0.04718,0.000130000000000002,-0.13114,-0.116,4.46017,4.43581
