"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",51.836935483871,"Down",307112774,-287211769,19901005,-16398089,-15845201,-552888,3502916,-313915,-361756,47841,3189001,3189001,-1343000,1846001,1846001,1846001,1779094,568960,568960,34032935,34032935,49381171,6760409,4976295,90743475,13128075,12917015,5277225,6349827,1289963,26045090,116788565,26004288,16060295,9639995,1185647,27189935,35455068,4180361,3842164,338197,39635429,66825364,10916847,35914354,49963201,49963201,116788565,1846001,1846001,552888,820697,-13607508,-10387922,-198598,-206762,-206762,-198598,-183002,10487368,10304366,-282154,-282154,-282154,4055804,36640715,-8407302,0.0648,0.01141,0.00579,0.03561,0.01523,-4.72561,3.33739,1.33749,0.31374,2.92456,2.27681,504.84651,75.47429,-13.82032,0.30083,0.02161,-0.09261,0.10286,8.89386,10.29764
"12","2013_Q1",61.4075,"Up",307662668,-286355564,21307104,-16765828,-16153723,-612105,4541276,-205800,-253534,47734,4335476,4335476,-1717000,2618476,2618476,2618476,2550835,491387,491387,32681835,32681835,38364621,8393321,6476702,79931164,13083912,12794790,5185978,6349827,1258985,25878702,105809866,28819394,17189208,9435220,1182829,30002223,19429412,3969576,3633390,336186,23398988,53401211,11027402,38349253,52408655,52408655,105809866,2618476,2618476,612105,-53619.0000000002,13442962,16619924,-485446,-566296,-566296,-485446,-183577,-16028474,-16212051,-77573,-77573,-77573,5153381,20612241,19827897,0.06925,0.01476,0.00829,0.04867,0.02411,7.7731,2.66417,1.01894,0.1948,4.19238,3.25166,505.65403,79.64344,32.58782,0.30172,0.03552,0.25754,0.07197,3.9044,4.43066
"13","2013_Q2",61.95375,"Up",302218321,-282988532,19229789,-16442334,-15848472,-593862,2787455,-254703,-316052,61349,2532752,2532752,-1070000,1462752,1462752,1462752,1403461,34802,34802,32335062,32335062,49705411,8973459,7355045,91048734,12895924,11885964,5094728,6349827,441409,24781888,115830622,23702368,15220297,7856287,1192560,24894928,35152785,4088987,3754812,334175,39241772,64136700,12459592,39635286,51693922,51693922,115830622,1462752,1462752,593862,853075,-16085956,-13176267,-191188,-330228,-330228,-191188,-176719,15733104,12910870,-456585,-456585,-456585,3381317,36345345,-11825827,0.06363,0.00922,0.00464,0.02715,0.01212,-8.42619,3.65732,1.2407,0.31378,2.25536,1.82753,485.66526,78.4119,-19.00412,0.28399,0.01715,-0.12836,0.12592,10.73858,13.02641
"14","2013_Q3",66.49546875,"Up",274568151,-256271131,18297020,-16037980,-15438195,-599785,2259040,-134146,-248992,114846,2124894,2124894,-911000,1213894,1213894,1213894,1165786,432857,432857,30956166,30956166,39096409,7978286,6323715,78463718,13154761,11814695,5003478,6349827,461390,24969456,103433174,23110260,15433201,7542173,1202804,24313064,22200499,4161030,3828867,332163,26361529,50674593,12475954,40683583,52758581,52758581,103433174,1213894,1213894,599785,273919,12191597,14279195,-773501,-774001,-774001,-773501,-165597,-12942042,-13107639,398055,398055,398055,2858825,23403303,15187921,0.06664,0.00823,0.00425,0.0221,0.01127,13.02805,3.22722,0.9605,0.22626,1.87092,1.57155,440.64366,80.01608,24.3745,0.26576,0.01658,0.18909,0.14205,8.03493,10.16823
"15","2013_Q4",66.199375,"Down",316031197,-296220406,19810791,-16663346,-16065285,-598061,3147445,-259958,-309445,49487,2887487,2887487,-1255000,1632487,1632487,1632487,1583845,177452,177452,35454486,35454486,48138310,9828846,8098720,93599094,13311648,11704416,4912228,6349827,442361,25016064,118615158,26721647,16128607,9494686,1214256,27935903,32211719,4226237,3896085,330152,36437956,64373859,12492316,42149939,54241299,54241299,118615158,1632487,1632487,598061,355858,-11999676,-9413270,-698676,-703977,-703977,-698676,-166131,10022672,9856541,-255405,-255405,-255405,3745506,33425975,-7697846,0.06269,0.00996,0.00501,0.0292,0.01335,-4.86023,3.35049,1.18681,0.2818,2.54182,2.1229,507.17957,82.39458,-12.35381,0.26661,0.01904,-0.08377,0.10489,8.87691,10.56365
"16","2014_Q1",72.164262295082,"Up",318234965,-298215240,20019725,-17149062,-16528157,-620905,2870663,-182124,-233657,51533,2688539,2688539,-1139000,1549539,1549539,1549539,1500362,275036,275036,28383205,28383205,46125187,6833925,5001992,81617353,13088859,11668687,4820978,6349827,497882,24757546,106374899,27250567,15859636,9468580,998788,28249355,18918604,3566406,3327010,239396,22485010,50734365,12508678,43532812,55640534,55640534,106374899,1549539,1549539,620905,-604559,12477347,14043232,-270399,-305220,-305220,-270399,-166666,-13508583,-13675249,97583.9999999999,97583.9999999999,97583.9999999999,3491568,19917392,16837516,0.06291,0.00902,0.00471,0.02697,0.0141,11.2223,2.88918,0.91182,0.18724,2.40783,1.99673,510.71463,84.63986,27.02144,0.26747,0.02107,0.2128,0.11108,5.62565,6.84245
"17","2014_Q2",68.198253968254,"Down",305625557,-285984494,19641063,-17116303,-16492263,-624040,2524760,-271764,-301995,30231,2252996,2252996,-965000,1287996,1287996,1287996,1238819,326390,326390,32092060,32092060,50987078,8470311,7032830,91875839,13527259,11512639,4729728,6349827,433084,25039898,116915737,23812290,15847759,7711202,781123,24593413,32742218,3654781,3417396,237385,36396999,60990412,13617196,44651003,55925325,55925325,116915737,1287996,1287996,624040,988097,-13303934,-10403801,-976358,-985678,-985678,-976358,-169805,13605949,11431513,51354,51354,51354,3148800,33523341,-10166492,0.06427,0.00826,0.00405,0.02215,0.0106,-8.2066,3.73579,1.09057,0.28673,1.99095,1.66381,491.18095,85.21875,-16.33891,0.2729,0.01513,-0.1092,0.13707,10.54273,13.14856
"18","2014_Q3",69.1271875,"Up",272421788,-254801826,17619962,-16441008,-15812174,-628834,1178954,-183669,-222624,38955,995285,995285,-464000,531285,531285,531285,483177,396560,396560,26894796,26894796,49075457,6498766,4996292,82865579,13525701,11473133,4638478,6349827,484828,24998834,107864413,23673226,15904672,7464795,560647,24233873,23675441,3695371,3459998,235373,27370812,51604685,13587156,45015446,56259728,56259728,107864413,531285,531285,628834,298304,8982687,10441110,-356505,-377154,-377154,-870443,-166842,-9287253,-9500496.99999999,70170,70170,70170,1807788,24236088,10897970,0.06468,0.00433,0.00177,0.00859,0.00448,22.55482,3.41941,0.91726,0.22469,0.79009,0.65839,445.46119,87.25325,17.82024,0.27282,0.00772,0.12944,0.3453,13.18713,20.22091
"19","2014_Q4",68.96859375,"Down",322647624,-303353020,19294604,-16852818,-16295082,-557736,2441786,-191354,-228827,37473,2250432,2250432,-990000,1260432,1260432,1260432,1211789,333751,333751,29699236,29699236,48639828,8703083,7050381,87375898,13944111,11363045,4547228,6349827,465990,25307156,112683054,26999969,16447785,10219580,338595,27338564,24986136,3710727,3569713,141014,28696863,56035427,13584110,46112791,56647627,56647627,112683054,1260432,1260432,557736,197360,-838426,1177102,-956794,-974794,-974794,-1439659,-163087,1088643,199748,-62809,-62809,-62809,2999522,25324731,2194302,0.0598,0.00757,0.00376,0.02139,0.01075,1.8108,3.19607,0.98919,0.22474,2.0019,1.65738,533.01993,88.79209,3.62503,0.26942,0.01605,0.02561,0.13458,8.33165,10.23471
"20","2015_Q1",67.7073770491803,"Down",336060419,-316109453,19950966,-16700097,-16124305,-575792,3250869,-158054,-181914,23860,3092815,3092815,-1213000,1879815,1879815,1879815,1830638,99922,99922,33286932,33286932,43635266,6640738,5034570,83662858,13763140,11253954,4455978,6349827,448149,25017094,108679952,27555786,16412895,9539277,341190,27896976,18817485,3623207,3484204,139003,22440692,50337668,13578586,47829201,58342284,58342284,108679952,1879815,1879815,575792,-26523,4018959,6448043,-314296,-458700,-458700,-314296,-163405,-6166056,-6367576,-233829,-233829,-233829,3826661,19158675,8744324,0.05937,0.00967,0.00545,0.03138,0.01684,4.77665,2.99899,0.8628,0.17629,3.03854,2.50321,557.80255,92.02467,14.51408,0.27122,0.02458,0.10779,0.08926,4.98052,5.86266
"21","2015_Q2",68.4838095238095,"Up",315433476,-295906944,19526532,-16757427,-16181122,-576305,2769105,-230075,-237142,7067,2539030,2539030,-993000,1546030,1546030,1546030,1496853,173707,173707,33408314,33408314,47495141,7824048,6578677,88901210,13629797,11031261,4364728,6349827,316706,24661058,113562268,24244762,16264507,7488805,343777,24588539,24461258,3639659,3502668,136991,28100917,52689456,14728678,49209637,60872812,60872812,113562268,1546030,1546030,576305,878018,-7912841,-4912488,-337996,-340796,-340796,-337996,-165594,5646360,5324269,73785,73785,73785,3345410,24805035,-3912427,0.0619,0.00878,0.00475,0.02459,0.01318,-2.61377,3.61555,0.86557,0.21843,2.4436,2.0386,514.94299,94.64022,-6.38701,0.27033,0.01861,-0.0438,0.11063,7.36272,8.89505
"22","2015_Q3",69.98578125,"Up",287443864,-269710529,17733335,-16076614,-15485757,-590857,1656721,-158388,-194375,35987,1498333,1498333,-729000,769333,769333,769333,721225,189559,189559,30847526,30847526,65521673,4678708,3325626,101237466,13388517,10959662,4273478,6349827,336357,24348179,125585645,24610278,16627660,7956142,346057,24956335,35524719,3604653,3469673,134980,39129372,64085707,14750650,49814791,61499938,61499938,125585645,769333,769333,590857,101044,-12081634,-10620400,-265310,-270310,-270310,-265310,-164179,11065741,10901562,15852,15852,15852,2247578,35870776,-9370366,0.06169,0.00576,0.00251,0.01173,0.00574,-12.99229,4.05658,1.04205,0.28563,1.17123,0.97867,466.79181,95.16283,-15.21692,0.26662,0.00877,-0.0928,0.22764,15.87541,21.53725
"23","2015_Q4",69.28078125,"Down",334456509,-314957889,19498620,-15947983,-15405676,-542307,3550637,-221413,-242266,20853,3329224,3329224,-1333000,1996224,1996224,1996224,1947581,149857,149857,33301156,33301156,49896207,5642916,4092039,88990136,13084440,10861673,4182228,6349827,329618,23946113,112936249,27896714,16629153,10686519,348710,28245424,17780249,3599277,3562406,36871,21379526,49624950,14730674,51646128,63311299,63311299,112936249,1996224,1996224,542307,396247,15174650,18109428,-185318,-201518,-201518,-185318,-164887,-17741817,-17963812,-39702,-39702,-39702,4092944,18128959,20415276,0.0583,0.01062,0.00582,0.03076,0.01724,10.48238,3.1506,0.78382,0.16052,3.16257,2.62911,543.10493,98.09848,33.15121,0.26775,0.02484,0.24007,0.08466,4.39271,5.06363
"24","2016_Q1",66.7388524590164,"Down",344522047,-324711949,19810098,-16251598,-15696883,-554715,3558500,-162809,-167956,5147,3395691,3395691,-1346000,2049691,2049691,2049691,2000514,219536,219536,31866787,31866787,60793478,3792872,2125908,96672673,12753145,10757989,4090978,6349827,317184,23511134,120183807,27552043,17044726,10507317,351383,27903426,24286526,3730958,3696098,34860,28017484,55920910,15516260,53527606,64262897,64262897,120183807,2049691,2049691,554715,21558,-7762789.00000001,-5136825,-188767,-205767,-205767,-188767,-168213,6508950,5395271,69679,69679,69679,4113215,24637909,-2492341,0.0575,0.01033,0.00581,0.03113,0.01665,-1.24585,3.46454,0.87019,0.205,3.16031,2.67107,544.25918,96.93812,-3.93728,0.26573,0.02341,-0.0269099999999999,0.08408,5.93657,6.86198
"25","2016_Q2",72.4725,"Up",322008249,-303046345,18961904,-16412083,-15845134,-566949,2549821,-185199,-212454,27255,2364622,2364622,-1009000,1355622,1355622,1355622,1306445,344467,344467,31410516,31410516,43704180,8010368,6809787,83469531,12635474,10629347,3999728,6349827,279792,23264821,106734352,23855413,15775388,7738402,354047,24209460,14444294,3795326,3762477,32849,18239620,42449080,16684988,54535923,64285272,64285272,106734352,1355622,1355622,566949,810508,9983752,12716831,-347565,-361565,-361565,-347565,-168691,-9839568,-12244335,124931,124931,124931,3116770,14798341,13761957,0.05889,0.00792,0.00406,0.02032,0.01224,10.5339,3.44781,0.66032,0.13865,2.08912,1.78115,514.9199,98.16052,22.0066,0.26975,0.0178,0.16605,0.12912,4.63745,5.66858
"26","2016_Q3",77.66609375,"Up",296449126,-278908888,17540238,-15346039,-14770358,-575681,2194199,-125575,-161402,35827,2068624,2068624,-922000,1146624,1146624,1146624,1097981,321990,321990,29255947,29255947,56594107,5358286,4080280,91530330,12465906,10555022,3908478,6349827,296717,23020928,114551258,24681760,16033216,8418478,357000,25038760,20813439,3803458,3772620,30838,24616897,49655657,16704431,55519822,64895601,64895601,114551258,1146624,1146624,575681,171273,-7257128,-5363550,-296673,-330837,-330837,-296673,-341339,6372098.00000001,5637746,-22477,-22477,-22477,2769880,21170439,-3861921,0.05917,0.0074,0.0037,0.01692,0.00959,-3.51729,3.65555,0.76516,0.18481,1.81131,1.53962,489.04472,102.27259,-6.37091,0.5631,0.01602,-0.04297,0.31088,7.52684,9.50162
"27","2016_Q4",81.69,"Up",333398723,-314235192,19163531,-15848351,-15335808,-512543,3315180,-153246,-188798,35552,3161934,3161934,-1310000,1851934,1851934,1851934,1803292,414997,414997,33932942,33932942,50670660,6851098,5446628,91869697,12362980,10464675,3825561,6349827,289287,22827655,114697352,28632715,17997838,10271763,359737,28992452,16821727,3815396,3785570,29826,20637123,49629575,16683935,57209248,65067777,65067777,114697352,1851934,1851934,512543,201390,3472912,6038779,-257593,-321586,-321586,-257593,-162508,-3988975,-5688179,93007,93007,93007,3827723,17181464,8353042,0.05748,0.00994,0.00541,0.02771,0.01572,4.63211,3.16875,0.76274,0.1498,3.02472,2.55066,559.22119,104.27616,14.01085,0.27258,0.02284,0.09706,0.09012,4.38027,5.05748
"28","2017_Q1",89.8803225806452,"Up",342769125,-323664976,19104149,-16289414,-15781920,-507494,2814735,-154242,-160567,6325,2660493,2660493,-1034000,1626493,1626493,1626493,1612595,605380,605380,30033104,30033104,48404882,8773008,8608049,87816374,12607877,10397220,3759311,6349827,288082,23005097,110821471,28538863,18164983,10373880,362495,28901358,13559050,2610465,2579650,30815,16169515,45070873,19533738,58693241,65750598,65750598,110821471,1626493,1626493,507494,342518,2517775,4994280,-580860,-580860,-580860,-580860,-142500,-3259919,-4223037,190383,190383,190383,3322229,13921545,6293144,0.05573,0.00821,0.0047,0.02453,0.01455,3.9025,3.03849,0.68548,0.12562,2.45068,2.29726,520.90989,99.92188,9.56376,0.21656,0.02133,0.07648,0.08837,4.0082,4.73088
"29","2017_Q2",87.3055555555556,"Down",310104229,-291788243,18315986,-16224752,-15698319,-526433,2091234,-211770,-217543,5773,1879464,1879464,-833000,1046464,1046464,1046464,1046464,331420,331420,26427248,26427248,49731837,7863169,6638196,84353674,12375237,10306896,3693061,6349827,264008,22682133,107035807,23134557,15819728,7314829,365243,23499800,12733859,4105904,4074770,31134,16839763,40339563,20792866,59417819,66696244,66696244,107035807,1046464,1046464,526433,901650,-308535,2166012,-369300,-400778,-400778,-369300,-127713,-822443,-2070672,-273960,-273960,-273960,2617667,13099102,2772832,0.05906,0.00674,0.00337,0.01569,0.00978,2.64972,3.58955,0.60483,0.12238,1.53515,1.51953,454.91974,97.84271,4.06772,0.18735,0.01399,0.03305,0.12204,4.8775,6.10533
"30","2017_Q3",82.9731746031746,"Down",294047870,-276573968,17473902,-16350473,-15820504,-529969,1123429,-132946,-147910,14964,990483,990483,-502000,488483,488483,488483,488483,248760,248760,27737863,27737863,45707269,9294419,7829685,82988311,12373290,10317575,3626812,6349827,340936,22690865,105679176,26208371,17255595,8952776,367982,26576353,7938648,4112754,4080631,32123,12051402,38627755,20790359,59775503,67051421,67051421,105679176,488483,488483,529969,189962,4287613,5496027,-436617,-437117,-437117,-436617,-324972,-4792472,-5142070,-82660,-82660,-82660,1653398,8306630,6006394,0.05943,0.00382,0.00166,0.00729,0.00462,12.29601,3.12264,0.57609,0.0786,0.71945,0.7062,433.0806,98.75491,8.84636,0.47863,0.01024,0.07558,0.66527,4.87352,7.17257
"31","2017_Q4",78.4703174603175,"Down",332842200,-314818453,18023747,-17061945,-16587055,-474890,961802,-163753,-180266,16513,798049,798049,-413000,385049,385049,385049,385049,121790,121790,31035527,31035527,49101309,9346462,7836179,89605088,12867402,10236828,3560561,6349827,326440,23104230,112709318,27851161,18329745,9521416,370803,28221964,13070583,4085511,4052400,33111,17156094,45378058,20812312,60033389,67331260,67331260,112709318,385049,385049,474890,232906,-5314549,-4221704,-912859,-923536,-923536,-912859,-127163,5134756,5007593,-126970,-126970,-126970,1436692,13441386,-4377716,0.05415,0.00289,0.00116,0.00572,0.00342,-11.36924,3.17501,0.67395,0.11926,0.56713,0.55632,490.23946,99.17144,-6.44789,0.1873,0.00604,-0.05159,0.33025,9.27102,13.84858
