"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","investment_income_loss","commissions_fees_earned","other_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","interbank_assets","other_interbank_assets","short_long_term_investments","investment_securities_available_for_sale","investment_securities_held_to_maturity","net_loans","reserve_for_loan_losses","total_loans","net_fixed_assets","intangible_assets","goodwill","customer_acceptances_liabilities","other_assets","total_assets","total_deposits","interest_bearing_deposits","other_deposits","long_term_debt","other_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","provision_for_loan_losses_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_change_in_investments","net_change_in_loans_interbank","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","net_change_in_deposits","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",5.20161290322581,"Down",1.35e+09,6.36e+08,7.83e+08,-1.47e+08,7.14e+08,1.82e+08,2.92e+08,2.31e+08,-3.3e+07,1.317e+09,-8.69e+08,-8.69e+08,4.48e+08,4.48e+08,4.48e+08,-1.36e+08,3.12e+08,3.01e+08,3.01e+08,0,3.01e+08,1.738e+09,2.192e+09,2.192e+09,2.7729e+10,2.7603e+10,1.2e+07,7.3197e+10,-2.062e+09,7.5259e+10,2.274e+09,3.65e+08,4.816e+09,3.62e+08,9.125e+09,1.21798e+11,9.4881e+10,6.4536e+10,3.0345e+10,6.224e+09,3.856e+09,1.06897e+11,1331131295.563,1.9925e+10,1.5e+07,1.991e+10,-1.377e+09,-3.849e+09,2.02e+08,1.4901e+10,1.4901e+10,1.21798e+11,3.01e+08,1.82e+08,3.3e+07,1.689e+09,-1.027e+09,1.178e+09,-5.2e+07,6.74e+08,-3.5e+07,5.87e+08,-1.4e+07,-1.37e+09,-2.17e+08,-1.601e+09,1.64e+08,1.64e+08,1.64e+08,6.3e+08,8.16e+09,0.33185,0.22296,0.0202,0.00247,7.17381,0.067,0.21287,0.21152,0.95474,10.53819,0.0099,0.00259,0.04651,10.19365,14.33482
"12","2013_Q1",5.957,"Up",1.354e+09,6.47e+08,7.77e+08,-1.3e+08,7.07e+08,1.7e+08,1.92e+08,3.34e+08,-3.7e+07,1.317e+09,-9.02e+08,-9.02e+08,4.15e+08,4.15e+08,4.15e+08,-1.38e+08,2.77e+08,2.65e+08,2.65e+08,-4e+06,2.61e+08,1.979e+09,3.51e+09,3.51e+09,2.737e+10,2.7244e+10,9999999.99999997,7.2076e+10,-1.919e+09,7.3995e+10,2.279e+09,3.45e+08,4.816e+09,3.44e+08,8.628e+09,1.21347e+11,9.5474e+10,6.5511e+10,2.9963e+10,5.861e+09,2.939e+09,1.05848e+11,4.82e+08,1.9667e+10,1.5e+07,1.9652e+10,-1.377e+09,-3.338e+09,6.5e+07,1.5499e+10,1.5499e+10,1.21347e+11,2.65e+08,1.87e+08,3.7e+07,1.256e+09,-1.519e+09,2.26e+08,-10999999.9999999,1.059e+09,-6.6e+07,9.82e+08,-1.7e+07,-7.11e+08,5.93e+08,3.51e+08,1.559e+09,1.559e+09,1.559e+09,6.02e+08,7.435e+09,0.3065,0.19276,0.01684,0.00215,6.82934,0.06127,0.18458,0.18316,0.95757,10.62023,0.01202,0.00229,0.06513,9.06312,13.14699
"13","2013_Q2",6.6440625,"Up",1.299e+09,6.3e+08,7.43e+08,-1.13e+08,6.69e+08,1.71e+08,2.6e+08,2.28e+08,-1e+07,1.289e+09,-8.42e+08,-8.42e+08,4.47e+08,4.47e+08,4.47e+08,-1.14e+08,3.33e+08,3.35e+08,3.35e+08,-8e+06,3.27e+08,1.796e+09,3.137e+09,3.137e+09,2.7218e+10,2.7089e+10,8e+06,7.2187e+10,-1.749e+09,7.3936e+10,2.252e+09,3.31e+08,4.816e+09,3.66e+08,7.615e+09,1.19718e+11,9.4133e+10,6.4162e+10,2.9971e+10,5.847e+09,2.168e+09,1.03978e+11,4.74e+08,1.9658e+10,1.5e+07,1.9643e+10,-1.377e+09,-3.003e+09,-1.2e+07,1.574e+10,1.574e+10,1.19718e+11,3.35e+08,1.71e+08,1e+07,1.512e+09,-8.98e+08,1.13e+09,-3.72e+08,-1.74e+08,-3.3e+07,-5.79e+08,-2.2e+07,2.56e+08,-1.341e+09,-1.107e+09,-5.56e+08,-5.56e+08,-5.56e+08,6.18e+08,7.677e+09,0.34411,0.25173,0.02078,0.00273,6.60597,0.06413,0.23142,0.2298,0.91932,10.80396,0.01557,0.00292,0.06728,9.51618,13.1566
"14","2013_Q3",7.4946875,"Up",1.305e+09,6.47e+08,7.46e+08,-9.9e+07,6.58e+08,1.6e+08,2.56e+08,2.34e+08,-3.1e+07,1.274e+09,-8.84e+08,-8.84e+08,3.9e+08,3.9e+08,3.9e+08,-1.22e+08,2.68e+08,2.67e+08,2.67e+08,-8e+06,2.59e+08,2.112e+09,2.168e+09,2.168e+09,2.4528e+10,2.2001e+10,2.425e+09,7.3354e+10,-1.636e+09,7.499e+10,2.228e+09,3.18e+08,4.816e+09,3.26e+08,8.857e+09,1.18707e+11,9.2454e+10,6.299e+10,2.9464e+10,4.856e+09,2.191e+09,1.03378e+11,4.66e+08,1.9454e+10,1.4e+07,1.944e+10,-1.377e+09,-2.736e+09,-4.78e+08,1.5329e+10,1.5329e+10,1.18707e+11,2.67e+08,1.71e+08,3.1e+07,1.481e+09,-9.13e+08,1.037e+09,4.7e+08,-1.29e+09,-6.6e+07,-8.86e+08,-5e+07,1.099e+09,-1.679e+09,-8.04e+08,-6.53e+08,-6.53e+08,-6.53e+08,5.61e+08,8.733e+09,0.29885,0.19847,0.0169,0.00218,6.74395,0.07357,0.18487,0.18265,0.93148,10.60885,0.03569,0.0026,0.19305,11.80214,16.97692
"15","2013_Q4",7.3925,"Down",1.319e+09,6.71e+08,7.58e+08,-8.7e+07,6.48e+08,1.47e+08,2.72e+08,2.22e+08,-1.8e+07,1.301e+09,-8.84e+08,-8.84e+08,4.17e+08,4.17e+08,4.17e+08,-1.24e+08,2.93e+08,2.93e+08,2.93e+08,-8e+06,2.85e+08,2.032e+09,1.827e+09,1.827e+09,2.4137e+10,2.163e+10,2.388e+09,7.4352e+10,-1.54e+09,7.5892e+10,2.218e+09,3.07e+08,4.816e+09,3.31e+08,6.844e+09,1.16864e+11,9.2321e+10,6.2013e+10,3.0308e+10,4.838e+09,2.443e+09,1.01375e+11,4.58e+08,1.9262e+10,1.4e+07,1.9248e+10,-1.377e+09,-2.443e+09,-4.11e+08,1.5489e+10,1.5489e+10,1.16864e+11,2.93e+08,1.55e+08,1.8e+07,1.111e+09,-5.98e+08,9.79e+08,2.209e+09,-1.087e+09,-5.1e+07,1.071e+09,-4.9e+07,-2.125e+09,-1.33e+08,-2.471e+09,-4.21e+08,-4.21e+08,-4.21e+08,5.72e+08,6.611e+09,0.31615,0.21607,0.0184,0.00244,6.54497,0.05657,0.20518,0.20299,0.9496,10.82145,0.03528,0.00286,0.17193,8.00524,10.98082
"16","2014_Q1",8.11213114754098,"Up",1.436e+09,6.73e+08,7.58e+08,-8.5e+07,7.63e+08,1.2e+08,2.65e+08,3.71e+08,-7.9e+07,1.357e+09,-9.46e+08,-9.46e+08,4.11e+08,4.11e+08,4.11e+08,-2.01e+08,2.1e+08,1.96e+08,1.96e+08,-8e+06,1.88e+08,1.661e+09,3.612e+09,3.612e+09,2.3949e+10,2.1485e+10,2.353e+09,7.3268e+10,-1.341e+09,7.4609e+10,2.216e+09,2.95e+08,4.816e+09,3.13e+08,7.266e+09,1.17396e+11,9.2453e+10,6.237e+10,3.0083e+10,4.83e+09,2.163e+09,1.01628e+11,4.5e+08,1.923e+10,1.4e+07,1.9216e+10,-1.377e+09,-2.216e+09,-3.19e+08,1.5768e+10,1.5768e+10,1.17396e+11,1.96e+08,1.48e+08,7.9e+07,8.69e+08,-6.93e+08,5.99e+08,7e+06,3.8e+08,-6.4e+07,3.23e+08,-4.9e+07,409000000.000001,1.32e+08,4.92e+08,1.414e+09,1.414e+09,1.414e+09,5.59e+08,7.012e+09,0.28621,0.13092,0.01192,0.0016,6.44521,0.05973,0.13653,0.13477,1.04285,11.12418,0.03558,0.00202,0.26064,9.57245,13.01946
"17","2014_Q2",8.05428571428572,"Down",1.273e+09,6.5e+08,7.32e+08,-8.2e+07,6.23e+08,1.56e+08,2.52e+08,2.05e+08,-2e+06,1.271e+09,-8.17e+08,-8.17e+08,4.54e+08,4.54e+08,4.54e+08,-1.51e+08,3.03e+08,3.15e+08,3.15e+08,-8e+06,3.07e+08,2.072e+09,3.124e+09,3.114e+09,2.4049e+10,2.1615e+10,2.317e+09,7.4419e+10,-1.261e+09,7.568e+10,2.194e+09,2.94e+08,4.816e+09,3.16e+08,6.649e+09,1.17933e+11,9.3393e+10,6.2239e+10,3.1154e+10,4.226e+09,2.201e+09,1.01801e+11,4.42e+08,1.9193e+10,1.4e+07,1.9179e+10,-1.377e+09,-1.897e+09,-2.29e+08,1.6132e+10,1.6132e+10,1.17933e+11,3.15e+08,1.22e+08,2e+06,5.96e+08,-6.14e+08,4.21e+08,8.6e+07,-6.29e+08,-3.7e+07,-5.8e+08,-4.9e+07,-8.03e+08,9.4e+08,8.2e+07,-7.7e+07,-7.7e+07,-7.7e+07,5.76e+08,6.207e+09,0.35664,0.24116,0.01903,0.0026,6.3105,0.05263,0.22279,0.22086,0.9238,11.38607,0.03556,0.00302,0.15961,7.17882,9.10793
"18","2014_Q3",7.9228125,"Down",1.298e+09,6.6e+08,7.37e+08,-7.7e+07,6.38e+08,1.62e+08,2.58e+08,2.14e+08,-3.5e+07,1.263e+09,-8.2e+08,-8.2e+08,4.43e+08,4.43e+08,4.43e+08,-1.48e+08,2.95e+08,2.96e+08,2.96e+08,-8e+06,2.88e+08,2.094e+09,2.725e+09,2.705e+09,2.4338e+10,2.1963e+10,2.275e+09,7.5284e+10,-1.229e+09,7.6513e+10,2.194e+09,2.81e+08,4.816e+09,3.08e+08,6.679e+09,1.18719e+11,9.3822e+10,6.2545e+10,3.1277e+10,3.824e+09,2.226e+09,1.0169e+11,9.2e+08,1.9135e+10,1.4e+07,1.9121e+10,-1.377e+09,-1.597e+09,-5.2e+07,1.7029e+10,1.7029e+10,1.18719e+11,2.96e+08,1.26e+08,3.5e+07,5.42e+08,-6.77e+08,3.22e+08,2.6e+07,-9.4e+08,-5.8e+07,-9.72e+08,-7.8e+07,-5.65e+08,4.29e+08,2.73e+08,-3.77e+08,-3.77e+08,-3.77e+08,5.69e+08,5.642e+09,0.34129,0.22188,0.01691,0.00243,5.97158,0.04752,0.209,0.20719,0.94194,11.69013,0.0566,0.00308,0.27083,6.2355,8.00903
"19","2014_Q4",7.7909375,"Down",1.318e+09,6.6e+08,7.36e+08,-7.6e+07,6.58e+08,1.61e+08,2.66e+08,2.26e+08,-2.4e+07,1.294e+09,-8.26e+08,-8.26e+08,4.68e+08,4.68e+08,4.68e+08,-1.51e+08,3.17e+08,3.2e+08,3.2e+08,-2e+07,3e+08,1.77e+09,3.013e+09,2.993e+09,2.4704e+10,2.2379e+10,2.222e+09,7.5429e+10,-1.178e+09,7.6607e+10,2.192e+09,2.87e+08,4.816e+09,3.1e+08,6.705e+09,1.19226e+11,9.413e+10,6.2742e+10,3.1388e+10,3.813e+09,2.23e+09,1.02066e+11,9e+08,1.9083e+10,1.4e+07,1.9069e+10,-1.377e+09,-1.272e+09,-1.74e+08,1.716e+10,1.716e+10,1.19226e+11,3.2e+08,1.43e+08,2.4e+07,6.71e+08,-3.83e+08,7.75e+08,-7.72e+08,-2.58e+08,-8.1e+07,-1.111e+09,-8.9e+07,7.8e+07,3.08e+08,3e+08,-3.6e+07,-3.6e+07,-3.6e+07,6.11e+08,5.706e+09,0.35508,0.22762,0.01748,0.00252,5.9479,0.04786,0.21771,0.21598,0.95646,11.79971,0.06459,0.00326,0.29667,6.4419,8.41026
"20","2015_Q1",7.41245901639344,"Down",1.294e+09,6.62e+08,7.36e+08,-7.4e+07,6.32e+08,1.32e+08,4.46e+08,4.8e+07,-8e+06,1.286e+09,-9.69e+08,-9.69e+08,3.17e+08,3.17e+08,3.17e+08,-9.8e+07,2.19e+08,2.16e+08,2.16e+08,-1.6e+07,2e+08,1.601e+09,2.403e+09,2.303e+09,2.4334e+10,2.2053e+10,2.175e+09,7.6204e+10,-1.103e+09,7.7307e+10,2.193e+09,2.75e+08,4.816e+09,3.1e+08,7.427e+09,1.19563e+11,9.42e+10,6.2453e+10,3.1747e+10,3.462e+09,2.775e+09,1.0269e+11,8.84e+08,1.8781e+10,1.4e+07,1.8767e+10,-1.377e+09,-1.177e+09,-2.38e+08,1.6873e+10,1.6873e+10,1.19563e+11,2.16e+08,1.32e+08,8e+06,6.1e+08,-3.77e+08,5.89e+08,-1.9e+08,-8.41e+08,-8.7e+07,-1.118e+09,-8.3e+07,1.1e+07,7e+07,-2.5e+08,-7.79e+08,-7.79e+08,-7.79e+08,4.49e+08,5.715e+09,0.24498,0.15456,0.01185,0.00167,6.08605,0.0478,0.14641,0.14503,0.94729,11.70498,0.06076,0.00237,0.415,9.16258,12.97792
"21","2015_Q2",7.93936507936508,"Up",1.285e+09,6.54e+08,7.25e+08,-7.1e+07,6.31e+08,1.5e+08,2.46e+08,2.29e+08,-4.9e+07,1.236e+09,-9.05e+08,-9.05e+08,3.31e+08,3.31e+08,3.31e+08,-9.5e+07,2.36e+08,2.34e+08,2.34e+08,-1.6e+07,2.18e+08,1.737e+09,4.289e+09,4.224e+09,2.5115e+10,2.2879e+10,2.129e+09,7.7145e+10,-1.098e+09,7.8243e+10,2.174e+09,2.72e+08,4.816e+09,3.13e+08,6.586e+09,1.22447e+11,9.7477e+10,6.3924e+10,3.3553e+10,3.208e+09,2.626e+09,1.05396e+11,8.68e+08,1.8618e+10,1.4e+07,1.8604e+10,-1.377e+09,-9.43e+08,-1.15e+08,1.7051e+10,1.7051e+10,1.22447e+11,2.34e+08,1.23e+08,4.9e+07,6.49e+08,-7.38e+08,3.17e+08,1.7e+08,-1.046e+09,-5.1e+07,-9.27e+08,-8.3e+07,-4.61e+08,3.277e+09,2.632e+09,2.022e+09,2.022e+09,2.022e+09,4.54e+08,5.293e+09,0.25759,0.16965,0.01279,0.00178,6.18122,0.04323,0.16196,0.16053,0.95468,12.02303,0.06166,0.00246,0.38073,7.8326,10.7432
"22","2015_Q3",7.83390625,"Down",1.41e+09,6.65e+08,7.28e+08,-6.3e+07,7.45e+08,1.47e+08,2.58e+08,3.35e+08,-6.3e+07,1.347e+09,-9.34e+08,-9.34e+08,4.13e+08,4.13e+08,4.13e+08,-1.24e+08,2.89e+08,2.85e+08,2.85e+08,-1.6e+07,2.69e+08,1.661e+09,2.094e+09,2.094e+09,2.4849e+10,2.2672e+10,2.067e+09,7.9034e+10,-1.115e+09,8.0149e+10,2.147e+09,2.68e+08,4.816e+09,3.05e+08,6.681e+09,1.21855e+11,9.7075e+10,6.3265e+10,3.381e+10,3.602e+09,2.433e+09,1.04956e+11,8.52e+08,1.8369e+10,1.4e+07,1.8355e+10,-1.377e+09,-6.58e+08,-2.87e+08,1.6899e+10,1.6899e+10,1.21855e+11,2.85e+08,1.29e+08,6.3e+07,6.3e+08,-7.57e+08,3.5e+08,-82000000.0000001,-2.017e+09,-2.3e+07,-2.122e+09,-9.6e+07,1.6e+08,-402000000.000001,-4.99e+08,-2.271e+09,-2.271e+09,-2.271e+09,5.42e+08,5.448e+09,0.29291,0.19078,0.01592,0.00221,6.21078,0.04471,0.2015,0.19985,1.05618,12.02022,0.07191,0.003,0.35688,6.98708,9.16949
"23","2015_Q4",7.6559375,"Down",1.333e+09,6.83e+08,7.48e+08,-6.5e+07,6.5e+08,1.44e+08,2.6e+08,2.41e+08,-6e+07,1.273e+09,-8.95e+08,-8.95e+08,3.78e+08,3.78e+08,3.78e+08,-1.16e+08,2.62e+08,2.58e+08,2.58e+08,-1.6e+07,2.42e+08,1.726e+09,3.282e+09,3.217e+09,2.4821e+10,2.2714e+10,2.001e+09,7.9948e+10,-1.115e+09,8.1063e+10,2.122e+09,2.63e+08,4.831e+09,3.16e+08,7.48e+09,1.24789e+11,9.7178e+10,6.3061e+10,3.4117e+10,7.364e+09,3.295e+09,1.07837e+11,8.36e+08,1.8032e+10,1.3e+07,1.8019e+10,-1.377e+09,-4e+08,-1.39e+08,1.6952e+10,1.6952e+10,1.24789e+11,2.58e+08,1.32e+08,6e+07,7.63e+08,-4.69e+08,7.44e+08,1.7e+07,-1.026e+09,-1.23e+08,-1.132e+09,-9.5e+07,1.903e+09,1.03e+08,1.641e+09,1.253e+09,1.253e+09,1.253e+09,5.1e+08,7.364e+09,0.28357,0.18155,0.01428,0.00194,6.36131,0.05901,0.18347,0.1825,1.01061,12.21835,0.07202,0.0027,0.39256,11.0549,14.91534
"24","2016_Q1",6.46065573770492,"Down",1.378e+09,6.72e+08,7.41e+08,-6.9e+07,7.06e+08,1.52e+08,4.64e+08,8.5e+07,-6.9e+07,1.309e+09,-9.01e+08,-9.01e+08,4.08e+08,4.08e+08,4.08e+08,-1.2e+08,2.88e+08,2.85e+08,2.85e+08,-1.6e+07,2.69e+08,1.382e+09,3.932e+09,3.932e+09,2.4799e+10,2.271e+10,1.946e+09,8.0056e+10,-1.106e+09,8.1162e+10,2.152e+09,2.59e+08,4.878e+09,3.19e+08,8.273e+09,1.2605e+11,9.843e+10,6.3568e+10,3.4862e+10,8.349e+09,2.417e+09,1.09206e+11,8.2e+08,1.7896e+10,1.3e+07,1.7883e+10,-1.377e+09,-1.15e+08,-3.8e+08,1.6844e+10,1.6844e+10,1.2605e+11,2.85e+08,1.39e+08,6.9e+07,6.4e+08,-9.72e+08,1.61e+08,-6.67e+08,-1.1e+09,-1.76e+08,-1.943e+09,-9.4e+07,1.009e+09,1.252e+09,2.088e+09,3.06e+08,3.06e+08,3.06e+08,5.47e+08,8.359e+09,0.29608,0.19521,0.01597,0.00213,6.48338,0.06631,0.20692,0.20597,1.06,12.32615,0.07231,0.00288,0.34944,12.75503,17.10049
"25","2016_Q2",7.3290625,"Up",1.395e+09,6.94e+08,7.68e+08,-7.4e+07,7.01e+08,1.42e+08,3.04e+08,2.49e+08,-1.13e+08,1.282e+09,-8.96e+08,-8.96e+08,3.86e+08,3.86e+08,3.86e+08,-1.13e+08,2.73e+08,2.73e+08,2.73e+08,-1.6e+07,2.57e+08,1.708e+09,2.682e+09,2.682e+09,2.5106e+10,2.3095e+10,1.901e+09,8.0455e+10,-1.151e+09,8.1606e+10,2.134e+09,2.46e+08,4.878e+09,3.14e+08,8.016e+09,1.25539e+11,9.8154e+10,6.3001e+10,3.5153e+10,7.851e+09,2.323e+09,1.08328e+11,8.2e+08,1.7729e+10,1.3e+07,1.7716e+10,-1.377e+09,6.2e+07,-2.3e+07,1.7211e+10,1.7211e+10,1.25539e+11,2.73e+08,1.3e+08,1.13e+08,5.67e+08,-2.95e+08,7.88e+08,-7.9e+07,-5.15e+08,-6.2e+07,-6.56e+08,-9.4e+07,-5.11e+08,-2.76e+08,-1.056e+09,-9.24e+08,-9.24e+08,-9.24e+08,5.16e+08,7.851e+09,0.2767,0.18423,0.01493,0.00205,6.29411,0.06254,0.19984,0.19907,1.08476,12.74572,0.07309,0.0028,0.36576,11.90504,15.91451
"26","2016_Q3",7.62578125,"Up",1.4e+09,6.84e+08,7.62e+08,-7.8e+07,7.16e+08,1.51e+08,3.17e+08,2.43e+08,-7.2e+07,1.328e+09,-9.41e+08,-9.41e+08,3.87e+08,3.87e+08,3.87e+08,-1.15e+08,2.72e+08,2.75e+08,2.75e+08,-1.6e+07,2.59e+08,1.867e+09,2.37e+09,2.37e+09,2.5257e+10,2.3494e+10,1.646e+09,8.0551e+10,-1.151e+09,8.1702e+10,2.091e+09,2.4e+08,4.882e+09,3.12e+08,8.642e+09,1.26212e+11,9.7245e+10,6.2263e+10,3.4982e+10,8.968e+09,2.612e+09,1.08827e+11,8.2e+08,1.7552e+10,1.3e+07,1.7539e+10,-1.377e+09,2.42e+08,1.48e+08,1.7385e+10,1.7385e+10,1.26212e+11,2.75e+08,1.37e+08,7.2e+07,1.196e+09,-1.324e+09,3.56e+08,-1.98e+08,-2.19e+08,-3e+06,-4.2e+08,-9.2e+07,1.11e+09,-9.09e+08,-8.9e+07,-1.53e+08,-1.53e+08,-1.53e+08,5.24e+08,8.97e+09,0.27643,0.185,0.0149,0.00205,6.25982,0.07107,0.20474,0.20426,1.10672,13.09486,0.07273,0.00278,0.35521,13.55534,18.35401
"27","2016_Q4",10.1274603174603,"Up",1.459e+09,6.81e+08,7.63e+08,-8.2e+07,7.78e+08,1.35e+08,3.25e+08,3.14e+08,-2.9e+07,1.43e+09,-9.59e+08,-9.59e+08,4.71e+08,4.71e+08,4.71e+08,-1.52e+08,3.19e+08,3.2e+08,3.2e+08,-1.6e+07,3.04e+08,1.928e+09,2.31e+09,2.31e+09,2.541e+10,2.3859e+10,1.431e+09,7.9757e+10,-1.126e+09,8.0883e+10,2.075e+09,2.28e+08,4.882e+09,3.05e+08,8.282e+09,1.25177e+11,9.9289e+10,6.2968e+10,3.6321e+10,6.054e+09,2.469e+09,1.07812e+11,8.2e+08,1.7352e+10,1.3e+07,1.7339e+10,-1.377e+09,4.65e+08,1.05e+08,1.7365e+10,1.7365e+10,1.25177e+11,3.2e+08,1.58e+08,2.9e+07,8.52e+08,-7.49e+08,6.1e+08,-1.11e+08,7.61e+08,-7.7e+07,5.73e+08,-9.8e+07,-2.912e+09,2.044e+09,-1.182e+09,1e+06,1e+06,1e+06,6.29e+08,6.054e+09,0.32282,0.20836,0.01751,0.00243,6.20858,0.04836,0.24398,0.24281,1.17095,13.27849,0.07865,0.00321,0.32237,6.55962,8.76008
"28","2017_Q1",12.1445161290323,"Up",1.4e+09,6.94e+08,7.73e+08,-7.9e+07,7.06e+08,1.44e+08,3.33e+08,2.23e+08,-4.8e+07,1.352e+09,-9.24e+08,-9.24e+08,4.28e+08,4.28e+08,4.28e+08,-1.34e+08,2.94e+08,2.95e+08,2.95e+08,-1.6e+07,2.79e+08,1.853e+09,3.598e+09,3.583e+09,2.5267e+10,2.3781e+10,1.362e+09,7.9004e+10,-1.091e+09,8.0095e+10,2.096e+09,2.21e+08,4.904e+09,3.19e+08,8.706e+09,1.25968e+11,9.9035e+10,6.2989e+10,3.6046e+10,7.763e+09,2.506e+09,1.09304e+11,8.2e+08,1.7105e+10,1.3e+07,1.7092e+10,-1.377e+09,6.66e+08,-5.5e+08,1.6664e+10,1.6664e+10,1.25968e+11,2.95e+08,1.49e+08,4.8e+07,9.69e+08,-1.247e+09,2.14e+08,-5.1e+08,5.09e+08,-1.27e+08,-1.28e+08,-9.7e+07,1.744e+09,-2.54e+08,1.127e+09,1.213e+09,1.213e+09,1.213e+09,5.77e+08,7.763e+09,0.30571,0.19929,0.01674,0.00221,6.55929,0.06163,0.22813,0.22628,1.14473,12.95503,0.07931,0.00298,0.34767,10.24263,13.80841
"29","2017_Q2",11.6388888888889,"Down",1.355e+09,6.88e+08,7.73e+08,-8.5e+07,6.67e+08,1.47e+08,3.28e+08,1.88e+08,-7e+07,1.285e+09,-8.65e+08,-8.65e+08,4.2e+08,4.2e+08,4.2e+08,-1.27e+08,2.93e+08,3.01e+08,3.01e+08,-1.6e+07,2.85e+08,1.736e+09,2.638e+09,2.638e+09,2.5424e+10,2.3521e+10,1.777e+09,7.8808e+10,-1.061e+09,7.9869e+10,2.088e+09,2.09e+08,4.904e+09,3.08e+08,8.43e+09,1.24545e+11,9.9424e+10,6.2402e+10,3.7022e+10,6.01e+09,2.389e+09,1.07823e+11,8.2e+08,1.6971e+10,1.2e+07,1.6959e+10,-1.377e+09,8.73e+08,-5.65e+08,1.6722e+10,1.6722e+10,1.24545e+11,3.01e+08,1.4e+08,7e+07,8.52e+08,-6.31e+08,7.32e+08,-2.08e+08,1.06e+08,-2.3e+07,-1.25e+08,-1.73e+08,-1.75e+09,3.89e+08,-1.684e+09,-1.077e+09,-1.077e+09,-1.077e+09,5.6e+08,6.01e+09,0.30996,0.21033,0.01704,0.00229,6.44797,0.04826,0.23573,0.23284,1.12076,13.15302,0.14309,0.00368,0.60702,7.63214,10.17619
"30","2017_Q3",11.9533333333333,"Up",1.39e+09,7.12e+08,8.01e+08,-8.9e+07,6.78e+08,1.51e+08,4e+08,1.23e+08,-4.8e+07,1.342e+09,-8.93e+08,-8.93e+08,4.49e+08,4.49e+08,4.49e+08,-1.33e+08,3.16e+08,3.16e+08,3.16e+08,-1.6e+07,3e+08,1.873e+09,2.258e+09,2.258e+09,2.554e+10,2.3608e+10,1.754e+09,7.9086e+10,-1.041e+09,8.0127e+10,2.06e+09,1.98e+08,4.904e+09,3.13e+08,8.411e+09,1.24643e+11,9.8093e+10,6.0974e+10,3.7119e+10,6.765e+09,2.292e+09,1.0775e+11,8.2e+08,1.684e+10,1.2e+07,1.6828e+10,-1.377e+09,1.089e+09,-4.79e+08,1.6893e+10,1.6893e+10,1.24643e+11,3.16e+08,1.34e+08,4.8e+07,1.015e+09,-1.093e+09,4.2e+08,-4.4e+07,-3.5e+08,-3.9e+07,-4.33e+08,-1e+08,1.348e+09,-1.331e+09,-2.3e+08,-2.43e+08,-2.43e+08,-2.43e+08,5.83e+08,7.365e+09,0.32302,0.21583,0.01776,0.00241,6.37838,0.05909,0.24958,0.24752,1.15641,13.37188,0.08319,0.00321,0.33333,9.42024,12.23163
"31","2017_Q4",13.3785714285714,"Up",1.397e+09,7.3e+08,8.27e+08,-9.7e+07,6.67e+08,2.61e+08,2.66e+08,1.37e+08,-7.6e+07,1.321e+09,-8.71e+08,-8.71e+08,4.5e+08,4.5e+08,4.5e+08,-1.38e+08,3.12e+08,3.11e+08,3.11e+08,-1.6e+07,2.95e+08,1.829e+09,1.932e+09,1.932e+09,2.5555e+10,2.3659e+10,1.703e+09,7.8315e+10,-1.041e+09,7.9356e+10,2.057e+09,1.87e+08,4.904e+09,3.19e+08,8.173e+09,1.23271e+11,9.7591e+10,6.0298e+10,3.7293e+10,6.102e+09,2.354e+09,1.06647e+11,8.2e+08,1.6356e+10,1.2e+07,1.6344e+10,-1.377e+09,1.279e+09,-4.54e+08,1.6624e+10,1.6624e+10,1.23271e+11,3.11e+08,1.36e+08,7.6e+07,1.12e+09,-7.91e+08,8.52e+08,-1.6e+07,6.34e+08,-5.9e+07,5.59e+08,-1.21e+08,-6.58e+08,-5.02e+08,-1.781e+09,-3.7e+08,-3.7e+08,-3.7e+08,5.86e+08,6.702e+09,0.32212,0.21117,0.01775,0.00239,6.41524,0.05437,0.24958,0.24728,1.1819,13.37056,0.10237,0.00337,0.41017,8.3157,10.82889
