"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_affiliates_net_of_taxes","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","goodwill","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","short_term_debt","current_portion_of_long_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",30.8427419354839,"Up",2231058000,-1622014000,609044000,-459422000,-459422000,149622000,-3037000,-4025000,988000,146585000,0,146585000,-44709000,3434000,105310000,105310000,-8539000,96771000,96771000,89336000,89336000,1035529000,1035529000,1070854000,316460000,257031000,2512179000,258683000,278045000,2062625000,1591482000,2599353000,5111532000,838217000,707641000,130576000,17739000,17739000,593002000,593002000,1448958000,436426000,277379000,180977000,96402000,713805000,2162763000,405750000,883000,2130476000,35475000,2571701000,377068000,2948769000,5111532000,105310000,105310000,30600000,18241000,-75606000,78545000,-11562000,-11562000,-11562000,-85913000,255000,-95220000,73917000,-55740000,-58798000,-3585000,14592000,-2083000,-2083000,3523000,1440000,180222000,454165000,137763000,0.27298,0.06706,0.04337,0.03282,0.01893,1.4236,1.73378,0.73345,0.08885,0.43388,0.42332,10.00314,11.53044,0.61767,0.02629,0.03743,2.02433,2.43834
"12","2013_Q1",34.3933333333333,"Up",2408438000,-1744943000,663495000,-482153000,-482153000,181342000,-4679000,-5071000,392000,176663000,0,176663000,-54108000,-840000.000000001,121715000,121715000,-9248000,112467000,112467000,122080000,122080000,1015194000,1015194000,1203507000,363596000,299547000,2704377000,273458000,292934000,2063228000,1601046000,2629620000,5333997000,920432000,787658000,132774000,17992000,17992000,534285000,534285000,1472709000,488121000,322128000,196814000,125314000,810249000,2282958000,376825000,879000,2183905000,52855000,2613585000,437454000,3051039000,5333997000,121715000,121715000,33333000,34812000,9801000,199661000,-18303000,-18303000,-18303000,-13977000,-3224000,-32304000,-82751000,-55482000,-84194000,-3073000,-141306000,26051000,26051000,6693000,32744000,214675000,506113000,260281000,0.27549,0.07529,0.0467,0.03686,0.02108,2.31429,1.83633,0.74826,0.09488,0.51389,0.49878,11.00478,11.94215,1.18929,0.02899,0.0671,1.7889,2.11773
"13","2013_Q2",36.66484375,"Up",2293511000,-1646520000,646991000,-493362000,-493362000,153629000,-9892000,-9522000,-370000,143737000,-6944015.06057163,143737000,-45852000,801000,98686000,98686000,-7208000,91478000,91478000,90562000,90562000,1028163000,1028163000,1136043000,330647000,265576000,2585415000,262825000,292948000,2064498000,1610996000,2620271000,5205686000,746142000,609028000,137114000,1908000,1908000,494519000,494519000,1242569000,600599000,319481000,199768000,119713000,920080000,2162649000,340730000,874000,2223037000,14462000,2578229000,464808000,3043037000,5205686000,98686000,98686000,32393000,24095000,-193221000,-38047000,-11862000,-11862000,-11862000,-32359000,-68000,-44289000,117922000,-61650000,-73449000,-199000,56073000,-26263000,-26263000,-5255000,-31518000,186022000,602507000,26791000,0.2821,0.06698,0.03989,0.03006,0.01757,0.29287,2.0807,0.71069,0.11574,0.41399,0.40402,10.37939,11.6679,0.12124,0.02307,0.00676,2.75207,3.33235
"14","2013_Q3",40.49640625,"Up",2391810000,-1721954000,669856000,-493791000,-493791000,176065000,-1621000,-1587000,-34000.0000000001,174444000,-14528972.5275376,174444000,-54775000,1766000,121435000,121435000,-13005000,108430000,108430000,78839000,78839000,1039914000,1039914000,1099012000,355501000,292416000,2573266000,256775000,291322000,2043143000,1607731000,2591240000,5164506000,822209000,682604000,139605000,5894000,5894000,486232000,486232000,1314335000,446709000,3.2e+08,200709000,119291000,766709000,2081044000,338598000,867000,2275516000,1265000,2615379000,468083000,3083462000,5164506000,121435000,121435000,31843000,25794000,95726000,274798000,-10072000,-10072000,-10072000,-1348999.99999999,-5003000,-16424000,-183781000,-70409000,-78062000,-14554000,-268744000,-10370000,-10370000,-1353000,-11723000,207908000,452603000,348337000,0.28006,0.07361,0.04533,0.03517,0.021,3.21255,1.95785,0.67491,0.08764,0.49232,0.48531,10.85984,11.87494,1.5816,0.02812,0.09033,1.79774,2.12288
"15","2013_Q4",43.7490625,"Up",2348956000,-1709309000,639647000,-479170000,-479170000,160477000,-552000,-1815000,1263000,159925000,-12535000,147390000,-34660000,3642000,116372000,116372000,-8994000,107378000,107378000,69915000,69915000,1103272000,1103272000,1123107000,339126000,272360000,2635420000,265273000,311412000,2065984000,1634480000,2642669000,5278089000,880850000,723905000,156945000,80588000,80588000,485007000,485007000,1446445000,311458000,334200000,205263000,128937000,645658000,2092103000,329517000,860000,2328174000,51151000,2708842000,477144000,3185986000,5278089000,116372000,116372000,31845000,1455000,3124000,152796000,-16799000,-16799000,-16799000,-14170000,-2076000,-33045000,-60773000,-71783000,-74967000,-4013000,-136569000,-16818000,-16818000,7894000,-8924000,192322000,392046000,213307000,0.27231,0.06832,0.04571,0.0337,0.02034,1.98651,1.822,0.65666,0.07428,0.49166,0.48177,10.75543,12.40328,0.97669,0.02745,0.05452,1.67496,2.00733
"16","2014_Q1",45.7050819672131,"Up",2526370000,-1826850000,699520000,-512637000,-512637000,186883000,-295000,-1761000,1466000,186588000,0,186588000,-55604000,3985000,134969000,134969000,-10701000,124268000,124268000,188616000,188616000,1055216000,1055216000,1250403000,340430000,276565000,2834665000,275888000,461945000,2052138000,1635005000,2789971000,5624636000,969656000,824495000,145161000,5441000,5441000,575566000,575566000,1550663000,450233000,338200000,198674000,139526000,788433000,2339096000,319081000,856000,2398267000,67849000,2785197000,500343000,3285540000,5624636000,134969000,134969000,31954000,12198000,95507000,274628000,-21482000,-21482000,-21482000,-147849000,-3516000,-172847000,77611000,-60856000,-73773000,-3489000,13266000,115047000,115047000,3654000,118701000,218837000,455674000,348466000,0.27689,0.07397,0.04919,0.03782,0.02209,2.80415,1.82803,0.71194,0.08101,0.57309,0.56225,11.65103,12.84468,1.60704,0.03046,0.08542,1.22035,1.42901
"17","2014_Q2",45.7469841269841,"Up",2430159000,-1733446000,696713000,-539445000,-539445000,157268000,1777000,-1803000,3580000,159045000,9.31322574615479e-10,159045000,-49623000,706000,110128000,110128000,-8029000,102099000,102099000,129115000,129115000,1116502000,1116502000,1246873000,384416000,307028000,2876906000,285528000,327569000,2390107000,1802905000,3003204000,5880110000,851729000,685915000,165814000,105984000,105984000,655548000,655548000,1613261000,541687000,423404000,287151000,136253000,965091000,2578352000,297913000,856000,2445536000,72862000,2816311000,485447000,3301758000,5880110000,110128000,110128000,36136000,29269000,-230782000,-55249000,-18484000,-18484000,-18484000,-144679000,-3931000,-167094000,304759000,-58856000,-75306000,-84206000,161697000,-60646000,-60646000,1145000,-59501000,193404000,647671000,-6239000,0.28669,0.06472,0.04201,0.03092,0.01736,-0.06111,1.78329,0.7809,0.11015,0.47211,0.46278,11.23719,13.02278,-0.02885,0.02335,-0.00143000000000001,2.68121,3.29728
"18","2014_Q3",46.345,"Up",2615406000,-1886934000,728472000,-547628000,-547628000,180844000,-1222000,-2254000,1032000,179622000,0,179622000,-55322000,2817000,127117000,127117000,-10881000,116236000,116236000,89698000,89698000,1188143000,1188143000,1257235000,376927000,310496000,2912003000,292972000,360044000,2426735000,1832377000,3079751000,5991754000,914362000,755999000,158363000,6302000,6302000,623237000,623237000,1543901000,665909000,430485000,278456000,152029000,1096394000,2640295000,266319000,850000,2505721000,78703000,2850743000,500716000,3351459000,5991754000,127117000,127117000,37353000,15930000,18831999.9999999,199232000,-19492000,-19492000,-19492000,-78178000,-2566000,-100236000,-37599000,-71310000,-76137000,-31456000,-140365000,-41369000,-41369000,1952000,-39417000,218197000,672211000,272859000,0.27853,0.06915,0.04444,0.03468,0.0194,2.34746,1.88613,0.7878,0.11219,0.53868,0.53016,12.12065,13.21128,1.26452,0.0261,0.06126,2.66967,3.22108
"19","2014_Q4",49.75140625,"Up",2623729000,-1902063000,721666000,-547578000,-547578000,174088000,-3312000,-2828000,-484000,170776000,0,170776000,-51302000,4762000,124236000,124236000,-9460000,114776000,114776000,76542000,76542000,1179171000,1179171000,1283698000,388826000,319354000,2928237000,303157000,358886000,2540351000,1886281000,3202394000,6130631000,993938000,822068000,171870000,5781999.99999999,5781999.99999999,706114000,706114000,1705834000,630806000,423420000,264684000,158736000,1054226000,2760060000,270763000,845000,2564882000,-17291000,2818354000,552217000,3370571000,6130631000,124236000,124236000,39179000,12125000,-1038000,174502000,-22806000,-22806000,-22806000,-141253000,-4171000,-166230000,69867000,-72001000,-74839000,-7708000,-9842000,-1570000,-1570000,-11586000,-13156000,213267000,636588000,240725000,0.27505,0.06635,0.04375,0.03405,0.01872,2.09735,1.7166,0.81887,0.10384,0.53523,0.52674,12.23513,13.14272,1.12256,0.02591,0.05433,2.62603,3.21703
"20","2015_Q1",54.8940983606557,"Up",2702096000,-1937632000,764464000,-561522000,-561522000,202942000,-3073000,-3517000,444000,199869000,0,199869000,-59363000,3449000,143955000,143955000,-10989000,132966000,132966000,89474000,89474000,1127517000,1127517000,1327796000,368379000,311788000,2913166000,311496000,386286000,2527859000,1884123000,3225641000,6138807000,1012158000,860996000,151162000,5815000,5815000,762138000,762138000,1780111000,542776000,434948000,253118000,181830000,977724000,2757835000,266203000,840000,2642523000,-95132000,2813594000,567378000,3380972000,6138807000,143955000,143955000,39570000,21972000,68522000,274019000,-21334000,-21334000,-21334000,-60173000,-2822000,-83079000,-98006000,-66331000,-73707000,-1800000,-166137000,24803000,24803000,-11871000,12932000,242512000,548591000,349063000,0.28292,0.07511,0.04921,0.03933,0.02166,2.6252,1.63651,0.81569,0.08936,0.6242,0.61337,12.68474,13.20816,1.63864,0.03047,0.07998,1.89317,2.26231
"21","2015_Q2",55.311746031746,"Up",2463646000,-1750251000,713395000,-545166000,-545166000,168229000,-2688000,-2808000,120000,165541000,-6862000,158679000,-49127000,2028000,111580000,111580000,-8133000,103447000,103447000,59202000,59202000,1099273000,1099273000,1297825000,345954000,293335000,2802254000,292044000,387780000,2457186000,1855714000,3137010000,5939264000,869285000,716975000,152310000,14586000,14586000,662968000,662968000,1546839000,653718000,429691000,248445000,181246000,1083409000,2630248000,245587000,839000,2689620000,-201867000,2733340000,575676000,3309016000,5939264000,111580000,111580000,37149000,19775000,-195158000,-26654000,-15493000,-15493000,-15493000,-13637000,-1185000,-30315000,104378000,-68130000,-75707000,-474000,35774000,-21195000,-21195000,-9077000,-30272000,205378000,668304000,43854000,0.28957,0.06828,0.04199,0.03126,0.01742,0.42393,1.8116,0.79487,0.11252,0.48741,0.47887,11.60802,12.87875,0.20663,0.02347,0.00995000000000001,2.96576,3.62067
"22","2015_Q3",55.39890625,"Up",2629320000,-1878642000,750678000,-560426000,-560426000,190252000,-3210000,-3033000,-177000,187042000,-7222000,179820000,-53784000,3572000,129608000,129608000,-11680000,117928000,117928000,47068000,47068000,1164380000,1164380000,1314220000,379669000,322134000,2905337000,310333000,416994000,2472962000,1871844000,3200289000,6105626000,934168000,778748000,155420000,14716000,14716000,687858000,687858000,1636742000,588523000,446673000,252969000,193704000,1035196000,2671938000,249609000,837000,2779521000,-165737000,2863393000,570295000,3433688000,6105626000,129608000,129608000,39026000,14067000,25055000,207756000,-17937000,-17937000,-17937000,-47679000,-1994000,-67590000,-98610000.0000001,-34219000,-37500000,-19682000,-152511000,-12345000,-12345000,211000,-12134000,229278000,603239000,290180000,0.2855,0.07236,0.04485,0.03434,0.01931,2.46065,1.77507,0.77815,0.0988,0.55683,0.54892,12.41503,13.52027,1.37016,0.0263,0.06472,2.42575,2.92334
"23","2015_Q4",59.4596875,"Up",2685835000,-1936927000,748908000,-551588000,-551588000,197320000,-3445000,-3168000,-277000,193875000,-8438000,185437000,-49232000,5191000,141396000,141396000,-13661000,127735000,127735000,60481000,60481000,1223636000,1223636000,1424923000,411133000,356794000,3120173000,311891000,422716000,2516778000,1901520000,3251385000,6371558000,1041118000,873785000,167333000,14456000,14456000,741707000,741707000,1797281000,597106000,450634000,248249000,202385000,1047740000,2845021000,260338000,834000,2878696000,-199682000,2939352000,587185000,3526537000,6371558000,141396000,141396000,42716000,12495000,-89179000,107428000,-18734000,-18734000,-18734000,-80762000,-6068000,-105564000,63567000,-36889000,-37656000,-7948000,18730000,20594000,20594000,-7181000,13413000,240036000,611562000,181355000,0.27884,0.07347,0.04756,0.03622,0.02005,1.41978,1.73605,0.80675,0.09598,0.60455,0.59574,12.71173,13.9116,0.85833,0.02784,0.03952,2.29583,2.79283
"24","2016_Q1",62.442131147541,"Up",2850918000,-2056945000,793973000,-580871000,-580871000,213102000,-3871000,-4064000,193000,209231000,-12409000,196822000,-59248000,3269000,140843000,140843000,-10895000,129948000,129948000,72086000,72086000,1229816000,1229816000,1509957000,419241000,361082000,3231100000,318476000,454600000,2500564000,1907593000,3273640000,6504740000,1167558000,1005798000,161760000,17331000,17331000,962108000,962108000,2146997000,463752000,464983000,252862000,212121000,928735000,3075732000,208198000,824000,2895997000,-219939000,2884256000,544752000,3429008000,6504740000,140843000,140843000,40236000,18585000,127306000,326970000,-19520000,-19520000,-19520000,-29783000,-7259000,-56562000,9634999.99999997,-145744000,-148989000,-113914000,-250023000,20385000,20385000,-8780000,11605000,253338000,481083000,420372000,0.2785,0.07475,0.04558,0.0379,0.01998,3.23492,1.50494,0.89697,0.07396,0.61969,0.61065,13.59527,13.75425,2.00464,0.0297,0.09608,1.61443,1.91925
"25","2016_Q2",67.5921875,"Up",2712956000,-1935114000,777842000,-597590000,-597590000,180252000,-642000,-3779000,3137000,179610000,-4058000,175552000,-53533000,2514000,124533000,124533000,-10781000,113752000,113752000,71614000,71614000,1274950000,1274950000,1500369000,424070000,363965000,3271003000,324283000,476924000,2528360000,1925111000,3329567000,6600570000,968759000,809124000,159635000,17333000,17333000,1001412000,1001412000,1987504000,666283000,500552000,257877000,242675000,1166835000,3154339000,189590000,821000,2933805000,-209697000,2913698000,532533000,3446231000,6600570000,124533000,124533000,40967000,23685000,-266983000,-77798000,-12605000,-12605000,-12605000,-52562000,-5829000,-70996000,297557000,-93599000,-99997000,-58579000,145379000,-3415000,-3415000,2943000,-472000,221219000,683616000,-4836000,0.28671,0.06644,0.04193,0.03301,0.01723,-0.04251,1.64578,0.9153,0.10357,0.54689,0.53915,13.04316,14.00827,-0.02325,0.02457,-0.00104,2.7665,3.39526
