"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","notes_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",16.7079032258065,"Down",185086000,-64470000,120616000,-100790000,-10022000,-89301000,-1467000,19826000,-31329000,-31845000,-719000,1235000,-11503000,0,-11503000,2960000,-8543000,-9676000,645000,-9031000,-931000,-9962000,82377000,82377000,63998000,63998000,25091000,25091000,171466000,6008930000,7851450000,-1842520000,730506000,579338000,151168000,6739436000,6910902000,210992000,97164000,29498000,84330000,68195000,38737000,279187000,3342715000,3342715000,3621902000,46571000,4100590000,-1095531000,3051630000,237370000,3.289e+09,6910902000,-9676000,89301000,3008000,15323000,97956000,-42723000,-27433000,-66799000,-136955000,-55349000,-1318000,-5864000,-62736000,-101735000,-101735000,-101735000,109127000,3342715000,78767000,0.65168,0.10712,-0.05382,-0.00303,-0.00144,-7.90675,0.61416,1.10122,0.48369,-0.03988,-0.03985,0.74086,12.02866,0.31529,0.22155,0.00684,0.01188,-5.55601,29.87655,164.44759
"12","2013_Q1",17.2973333333333,"Up",176103000,-58787000,117316000,-94501000,-10653000,-82414000,-1434000,22815000,-32328000,-30660000,-2757000,1089000,-9513000,-8495000,-18008000,1628000,-16380000,-12955000,655000.000000001,-12300000,-931000,-13231000,12115000,12115000,64006000,64006000,23561000,23561000,99682000,6131146000,8015185000,-1884039000,628275000,477631000,150644000,6759421000,6859103000,207495000,104567000,30937000,71991000,25025000,25025000,232520000,3409333000,3409333000,3641853000,46571000,4101383000,-1155038000,2992916000,224334000,3217250000,6859103000,-12955000,84548000,17187000,-11282000,77498000,-149612000,54634000,-55147999.9999999,-150126000,-55963000,67647000.0000001,-9220000,2365999.99999999,-70262000,-70262000,-70262000,107363000,3409333000,-55159000,0.66618,0.12955,-0.0751300000000001,-0.00411,-0.00193,4.16892,0.4287,1.13198,0.49705,-0.05291,-0.05295,0.70428,11.78312,-0.22059,0.22381,0.00645,-0.00832,-4.22969,31.64235,148.90283
"13","2013_Q2",17.83796875,"Up",184884000,-63117000,121767000,-95156000,-9476000,-84044000,-1636000,26611000,-32767000,-30981000,-2802000,1016000,-6156000,3021000,-3135000,1973000,-1162000,-309000,41000,-268000,-931000,-1199000,7121000,7121000,66193000,66193000,24628000,24628000,97942000,6174634000,8180983000,-2006349000,618205000,461397000,156808000,6792839000,6890781000,185503000,83060000,29404000,73039000,48448000,48448000,233951000,3499107000,3499107000,3733058000,46571000,4104190000,-1219553000,2931208000,226515000,3157723000,6890781000,-309000,84588000,5056000,-22675000,66660000,-27113000,-936000,-72968000,-101017000,-55966000,90801000,-5472000,29363000,-4994000,-4994000,-4994000,111199000,3499107000,59438000,0.65861,0.14393,-0.00649,-0.000380000000000001,-0.00017,-49.57298,0.41864,1.1822,0.5078,-0.0048,-0.0048,0.73978,11.54238,0.23783,0.22394,0.00823,0.00893000000000001,-46.67723,31.40303,131.2234
"14","2013_Q3",17.6740625,"Down",189502000,-64192000,125310000,-97399000,-9866000,-85733000,-1800000,27911000,-28842000,-30803000,515000,1446000,-931000.000000001,2772000,1841000,2683000,4524000,5354000,-162000,5192000,-931000,4261000,9035000,9035000,66700000,66700000,24843000,24843000,100578000,5945039000,8015442000,-2070403000,697926000,533335000,164591000,6642965000,6743543000,217146000,111056000,29598000,76492000,26726000,26726000,243872000,3394723000,3394723000,3638595000,46571000,4106707000,-1286906000,2866372000,238576000,3104948000,6743543000,5354000,86269000,3356000,10750000,105729000,-59664000,-17229000,141997000,65104000,-59974000,-103357000,-5588000,-168919000,1914000,1914000,1914000,114180000,3394723000,62583000,0.66126,0.14729,0.02249,0.00137,0.00063,14.6874,0.41242,1.17187,0.5034,0.01705,0.01695,0.75805,11.27988,0.25035,0.23991,0.00988,0.00963,14.0751,29.6522,121.303
"15","2013_Q4",17.57234375,"Down",191124000,-65934000,125190000,-98053000,-11364000,-84914000,-1775000,27137000,-33904000,-30939000,-3794000,829000,-6767000,6460000,-307000,2658000,2351000,3235000,-47000,3188000,-931000,2257000,11149000,11149000,66707000,66707000,23022000,23022000,100878000,5960393000,8113534000,-2153141000,694795000,531712000,163083000,6655188000,6756066000,216268000,98607000,26702000,90959000,26757000,26757000,243025000,3463172000,3463172000,3706197000,46571000,4109258000,-1327810000,2828019000,221850000,3049869000,6756066000,3235000,85442000,9378000,-9147000,88908000,-32219000,-6461000,-53907000,-92587000,-59751000,69474000,-3930000,5793000,2114000,2114000,2114000,112579000,3463172000,68555000,0.65502,0.14199,0.01181,0.00074,0.00033,30.37439,0.41509,1.2152,0.5126,0.00903,0.00898,0.76454,11.12646,0.27424,0.23902,0.00952,0.01053,26.47364,30.66312,127.20724
"16","2014_Q1",18.5422950819672,"Up",193416000,-65369000,128047000,-105039000,-11532000,-91582000,-1925000,23008000,-26366000,-33360000,5666000,1328000,-3358000,-9.31322574615479e-10,-3358000,-15000,-3373000,38002000,-1302000,36700000,-931000,35769000,30249000,30249000,83033000,83033000,22796000,22796000,136078000,5999183000,8199998000,-2200815000,672461000,507655000,164806000,6671644000,6807722000,226715000,118682000,32279000,75754000,27203000,27203000,253918000,3523703000,3523703000,3777621000,46571000,4112272000,-1347195000,2811648000,218453000,3030101000,6807722000,38002000,91932000,-40567000,-10762000,78605000,-42319000,-18665000,66275000,5291000,-59855000,-2039000,-2902000,-64796000,19100000,19100000,19100000,114940000,3523703000,61874000,0.66203,0.11896,0.18493,0.0118,0.00525,1.72982,0.53591,1.2467,0.5176,0.14308,0.14476,0.7737,11.06079,0.24751,0.23943,0.01459,0.00944,1.67338,30.39372,151.83649
"17","2014_Q2",20.151746031746,"Up",198039000,-67496000,130543000,-103533000,-11994000,-89613000,-1926000,27010000,-35034000,-32884000,-3565000,1415000,-8024000,-5e+05,-8524000,3329000,19099000,19012000,-651000,18361000,-931000,17430000,15891000,15891000,84568000,84568000,23131000,23131000,123590000,6035192000,8308552000,-2273360000,675241000,517927000,157314000,6710433000,6834023000,192469000,76007000,27747000,88715000,30731000,30731000,223200000,3628246000,3628246000,3851446000,46571000,4113139000,-1418701000,2741009000,241568000,2982577000,6834023000,19012000,89613000,-16861000,-9243000,82521000,-109134000,-21476000,-6099000,-136709000,-59883000,105567000,-5854000,39830000,-14358000,-14358000,-14358000,116623000,3628246000,-5083000,0.65918,0.13639,0.08801,0.00584,0.00255,-0.291619999999998,0.55372,1.29131,0.53091,0.06967,0.06922,0.7916,10.77013,-0.02032,0.23936,0.01169,-0.000770000000000003,3.43563,30.97464,133.74139
"18","2014_Q3",21.84734375,"Up",203706000,-66083000,137623000,-104761000,-12530000,-90069000,-2162000,32862000,-30693000,-31691000,-428000,1426000,2169000,0,2169000,2190000,31068000,31086000,-1079000,30007000,-931000,29076000,26816000,26816000,44248000,44248000,23334000,23334000,94398000,5997529000,8287537000,-2290008000,840478000,612688000,227790000,6838007000,6932405000,203825000,89566000,29160000,85099000,30802000,30802000,234627000,3747794000,3747794000,3982421000,46571000,4117081000,-1481119000,2682533000,267451000,2949984000,6932405000,31086000,90069000,-22154000,4691000,103692000,-29150000,-99079000,-14636000,-142865000,-66317000,120587000,-4172000,50098000,10925000,10925000,10925000,122931000,3747794000,96282000,0.6756,0.16132,0.14274,0.00986,0.00419,3.31139,0.40233,1.34998,0.54062,0.11619,0.11529,0.81399,10.5331,0.38474,0.265,0.01424,0.01438,2.28082,30.26883,113.23042
"19","2014_Q4",22.84703125,"Up",206752000,-69381000,137371000,-104287000,-11554000,-90724000,-2009000,33084000,-24965000,-33087000,-939000,9061000,8119000,0,8119000,2492000,41913000,41992000,-1443000,40549000,-931000,39618000,14605000,14605000,18318000,18318000,23969000,23969000,56892000,6049258000,8427778000,-2378520000,791938000,650441000,141497000,6841196000,6898088000,208254000,82233000,27131000,98890000,32710000,32710000,240964000,3628192000,3628192000,3869156000,46571000,4226445000,-1494756000,2778260000,250672000,3028932000,6898088000,41992000,90723000,-26030000,-10920000,95765000,-147337000,-46605000,172604000,-21338000,-66335000,-118586000,-1708000,-86638000,-12211000,-12211000,-12211000,123807000,3628192000,-36942000,0.66442,0.16002,0.19162,0.01308,0.00574,-0.932449999999999,0.2361,1.2774,0.52597,0.15743,0.15614,0.82157,10.8549,-0.1468,0.2636,0.01592,-0.00555,1.67437,29.18726,109.22461
"20","2015_Q1",25.2686885245902,"Up",209549000,-67781000,141768000,-107419000,-11722000,-93523000,-2174000,34349000,-34910000,-32792000,-2074000,-44000,-561000.000000004,-41000,-602000,7087000,67752000,67752000,-2335000,65417000,-931000,64486000,15224000,15224000,14369000,14369000,22340000,22340000,51933000,5948487000,8383259000,-2434772000,828308000,718226000,110082000,6776795000,6828728000,210935000,91282000,34215000,85438000,34064000,34064000,244999000,3565299000,3565299000,3810298000,46571000,4226298000,-1537772000,2735097000,283333000,3018430000,6828728000,67752000,93524000,-54731000,8780000,115325000,-45365000,-55770000,103444000,2309000.00000001,-67289000,-44071000,-5513000,-117015000,618999.999999993,618999.999999993,618999.999999993,127873000,3565299000,84201000,0.67654,0.16392,0.30774,0.02136,0.00944,1.30573,0.21197,1.26234,0.5221,0.25386,0.25186,0.82491,10.58371,0.33147,0.26489,0.02002,0.01279,1.04347,27.76251,103.35308
"21","2015_Q2",25.4433333333333,"Up",219753000,-69166000,150587000,-104318000,-12152000,-90400000,-1766000,46269000,30719000,-28800000,59159000,360000,76988000,-996000,75992000,425000,76417000,76417000,-2595000,73822000,-931000,72891000,6274000,6274000,15494000,15494000,23266000,23266000,45034000,5931548000,8453506000,-2521958000,881929000,763540000,118389000,6813477000,6858511000,184294000,63857000,23460000,96977000,34624000,34624000,218918000,3516669000,3516669000,3735587000,46571000,4337008000,-1573398000,2810181000,312743000,3122924000,6858511000,76417000,90400000,-52264000,-18535000,96018000,-20868000,-25463000,-3207000,-49538000,-67623000,-90977000,-5620000,-55430000,-8950000,-8950000,-8950000,136669000,3516669000,96841000,0.68526,0.21055,0.3317,0.02334,0.01063,1.32857,0.20571,1.19618,0.51275,0.28381,0.2818,0.85562,10.7603,0.37706,0.26329,0.02116,0.01459,0.92773,25.68538,75.86926
"22","2015_Q3",26.0634375,"Up",215862000,-68183000,147679000,-107534000,-13721000,-92044000,-1769000,40145000,-29864000,-29673000,-573000,382000,10281000,-843000,9438000,1404000,89884000,89884000,-3029000,86855000,-931000,85924000,2990000,2990000,15494000,15494000,22912000,22912000,41396000,5867330000,8425279000,-2557949000,1031004000,914815000,116189000,6898334000,6939730000,193181000,72054000,27735000,93392000,33366000,33366000,226547000,3564403000,3564403000,3790950000,46571000,4345420000,-1534349000,2857642000,291138000,3148780000,6939730000,89884000,92044000,-72200000,11257000,120985000,-28240000,-158615000,72617000,-114238000,-72798000,65609000,-2791000,-10031000,-3284000,-3284000,-3284000,132189000,3564403000,113802000,0.68414,0.18598,0.39805,0.02729,0.01238,1.32445,0.18273,1.20394,0.51362,0.33323,0.32695,0.83716,10.902,0.44135,0.28233,0.02364,0.01695,0.84724,26.94183,88.71374
"23","2015_Q4",28.26640625,"Up",221418000,-70188000,151230000,-110488000,-15824000,-92025000,-2639000,40742000,-27139000,-30232000,2691000,402000,13603000,-541000,13062000,633000,13695000,13695000,-404000,13291000,-930000,12361000,1321000,1321000,15494000,15494000,23722000,23722000,40537000,5825473000,8382963000,-2557490000,1056720000,921925000,134795000,6882193000,6922730000,188241000,56401000,23577000,108263000,33879000,33879000,222120000,3513234000,3513234000,3735354000,46457000,4452175000,-1624273000,2874359000,313017000,3187376000,6922730000,13695000,92025000,1902000,-18823000,88799000,-33695000,-11529000,-19192000,-64416000,-72829000,-50112000,-4503000,-26052000,-1669000,-1669000,-1669000,132767000,3513234000,79616000,0.68301,0.184,0.05583,0.00388,0.00179,6.4409,0.1825,1.17192,0.50749,0.0477,0.04732,0.85452,10.91374,0.30726,0.28107,0.01271,0.01188,5.89184,26.4517,86.19884
"24","2016_Q1",28.3993442622951,"Up",237605000,-74500000,163105000,-128335000,-17993000,-106808000,-3534000,34770000,-31711000,-33170000,1052000,407000,3059000,45000,3104000,1424000,177163000,177163000,-10748000,166415000,-930000,165485000,6742000,6742000,16694000,16694000,20798000,20798000,44234000,6543402000,9189446000,-2646044000,1076208000,938906000,137302000,7619610000,7663844000,209672000,81356000,29162000,99154000,36330000,36330000,246002000,3570795000,3570795000,3816797000,46458000,4450434000,-1597137000,2899755000,947292000,3847047000,7663844000,177163000,106808000,-143005000,11859000,152825000,-279415000,-22035000,264181000,-37269000,-73640000,-19608000,-16767000,-110135000,5421000,5421000,5421000,141578000,3570795000,-127402000,0.68645,0.14634,0.69647,0.04302,0.02159,-0.76987,0.17981,0.99214,0.46593,0.63434,0.60766,0.91079,10.93724,-0.48836,0.28228,0.03224,-0.01718,0.445000000000002,25.17378,102.50368
"25","2016_Q2",28.6590625,"Up",234815000,-74202000,160613000,-122488000,-13844000,-106892000,-1752000,38125000,-29994000,-31104000,679000,431000,8131000,0,8131000,403000,11604000,11604000,-1211000,10393000,-929000,9464000,3668000,3668000,16694000,16694000,21030000,21030000,41392000,6485337000,9228798000,-2743461000,1074839000,944864000,129975000,7560176000,7601568000,209375000,77676000,28589000,103110000,35995000,35995000,245370000,3411825000,3411825000,3657195000,46458000,4623617000,-1697208000,2972867000,971506000,3944373000,7601568000,11604000,106892000,2496000,-8231000,112761000,-25581000,-13262000,-6383000,-45226000,-73628000,-159230000,-11051000,-70609000,-3074000,-3074000,-3074000,145017000,3411825000,110802000,0.684,0.16236,0.0403,0.0024,0.00125000000000001,11.70773,0.16869,0.92719,0.44883,0.03606,0.03581,0.89468,11.15009,0.42217,0.28053,0.0113,0.01506,7.7798,23.50178,89.39428
"26","2016_Q3",29.39359375,"Up",238786000,-75347000,163439000,-120150000,-10835000,-107423000,-1892000,43289000,-29813000,-30678000,325000,540000,13476000,-1629000,11847000,402000,19564000,19564000,-1618000,17946000,-929000,17017000,5167000,5167000,19694000,19694000,20524000,20524000,45385000,6470139000,9312412000,-2842273000,1094558000,933403000,161155000,7564697000,7610082000,228135000,91275000,26735000,110125000,37916000,37916000,266051000,3465177000,3465177000,3731228000,46458000,4625610000,-1725392000,2946676000,932178000,3878854000,7610082000,19564000,107423000,-1e+05,-13178000,113709000,-42707000,-7373000,-27149000,-77229000,-79742000,52877000,-8099000,-34981000,1499000,1499000,1499000,150712000,3465177000,94425000,0.68446,0.18129,0.07126,0.00439,0.00224,5.54886,0.17059,0.96194,0.45534,0.06391,0.06346,0.89679,10.8921,0.35462,0.29948,0.01318,0.01286,4.68602,22.95776,79.92816
