"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","income_taxes_receivable","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","disposition_of_fixed_assets","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",23.8308064516129,"Down",684698000,-586971000,97727000,-53425000,-53425000,44302000,-1419000,-1419000,-1419000,42883000,44842000,-15674000,29168000,29168000,-114000,29054000,29054000,140665000,140665000,697210000,697210000,60887000,49060000,11827000,898762000,76531000,734326000,80489000,627181000,3255000,23401000,810857000,1709619000,287863000,165481000,122382000,2253000,240306000,219816000,530422000,140539000,70505000,24542000,45963000,211044000,741466000,425814000,523874000,17693000,967381000,772000,968153000,1709619000,29168000,13132000,-1992000,16504000,56812000,-6719000,204000,204000,-6923000,-6923000,-56700000,31439000,4003000,4003000,136000,35578000,35690000,35690000,-1052000,34638000,57434000,142792000,82893000,0.14273,0.0647,0.04243,0.03001,0.01699,2.85307,1.69443,0.76586,0.08352,0.45776,0.45212,10.78774,15.24155,1.30602,6,0.02459,0.07016,0.03703,0.04801
"12","2013_Q1",27.1066666666667,"Up",719405000,-630824000,88581000,-56483000,-56483000,32098000,-1389000,-1389000,-2262000,30709000,47082000,-16542000,30540000,30540000,-108000,30432000,30432000,104848000,104848000,700480000,700480000,53985000,48168000,5817000,859313000,74309000,737408000,74231000,635958000,3279000,23940000,811717000,1671030000,282089000,154003000,128086000,2031000,219674000,198865000,503794000,81047000,66322000,24268000,42054000,147369000,651163000,433647000,554306000,31017000,1018970000,897000,1019867000,1671030000,30540000,14699000,-8289000,-7130000,29820000,-9864000,336000,336000,-10200000,-10200000,-12496000,-60747000,5281000,5281000,332000,-55134000,-37810000,-37810000,1993000,-35817000,46797000,83078000,46345000,0.12313,0.04462,0.0423,0.02984,0.01821,1.5229,1.70568,0.63848,0.04972,0.47769,0.47196,11.29258,15.99488,0.72748,5,0.02603,0.03964,-0.4652,-0.67824
"13","2013_Q2",24.59703125,"Down",658545000,-570342000,88203000,-46384000,-46384000,41819000,-1185000,-1185000,-1185000,40634000,40624000,-14228000,26396000,26396000,-172000,26224000,26224000,151604000,151604000,674894000,674894000,67390000,48521000,18869000,893888000,71591000,749496000,78690000,644149000,2959000,23698000,821087000,1714975000,235745000,131354000,104391000,1856000,200263000,181298000,437864000,147808000,78097000,33883000,44214000,225905000,663769000,444081000,580530000,25539000,1050150000,1056000,1051206000,1714975000,26396000,12595000,10893000,-32128000,17756000,-3982000,292000,292000,-4274000,-4274000,-18487000,66683000,3089000,3089000,-21860000,47912000,47181000,47181000,-425000,46756000,54414000,149664000,32532000,0.13394,0.0635,0.03982,0.02495,0.01529,1.24054,2.04147,0.63144,0.08727,0.41062,0.40589,10.31168,16.44354,0.50939,5,0.0205,0.02544,-0.03565,-0.04639
"14","2013_Q3",22.21265625,"Down",641999000,-556879000,85120000,-48409000,-48409000,36711000,-2135000,-2135000,-2135000,34576000,35532000,-10660000,24872000,24872000,-53000,24819000,24819000,159575000,159575000,687120000,687120000,74461000,53167000,21294000,921156000,93192000,913586000,106859000,777739000,3586000,25402000,1006778000,1927934000,246017000,148136000,97881000,1730000,198264000,178714000,446011000,264047000,140183000,38631000,101552000,404230000,850241000,458077000,605349000,13377000,1076803000,890000,1077693000,1927934000,24872000,16727000,-1168000,3831000,44262000,-8690000,670000,670000,-9360000,-9360000,-162077000,115437000,11472000,11472000,-998000,125911000,8095999.99999997,8095999.99999997,-125000,7971000.00000001,53438000,265777000,59239000,0.13259,0.05718,0.03866,0.02303,0.01287,2.38684,2.06532,0.78895,0.13786,0.38249,0.37714,9.89396,16.59479,0.91294,4,0.01673,0.03993,1.98739,2.89292
"15","2013_Q4",25.01765625,"Up",614835000,-609090000,5745000,-56746000,-56746000,-51001000,-2010000,-2010000,-2010000,-53011000,-101895000,23780000,-78115000,-78115000,-270000,-78385000,-78385000,146335000,146335000,632220000,632220000,72068000,46433000,25635000,850623000,87376000,833513000,94754000,710321000,2733000,25705000,920889000,1771512000,251829000,133092000,118737000,4043000,206349000,196707000,462221000,208396000,123939000,26738000,97201000,332335000,794556000,458128000,526964000,-9021000,976071000,885000,976956000,1771512000,-78115000,17826000,37050000,76489000,53250000,-6098000,801000,801000,-6899000,-6899000,-6666000,-53207000,-3011000,1136000,-1929000,-58147000,-11563000,-11563000,-1677000,-13240000,-33175000,212439000,13436000,0.00934,-0.08295,-0.12749,-0.08023,-0.04425,-0.17141,1.8403,0.8133,0.11992,-1.2076,-1.23937,9.47212,15.0373,0.20699,4,-0.05968,0.01023,-1.99258,-1.29613
"16","2014_Q1",26.9819672131148,"Up",698376000,-610454000,87922000,-48193000,-48193000,39729000,-2356000,-2356000,-3359000,37373000,38271000,-12930000,25341000,25341000,-140000,25201000,25201000,129305000,129305000,660847000,660847000,81490000,61446000,20044000,871642000,88026000,839424000,86929000,722792000,2198000,27505000,927450000,1799092000,257623000,142813000,114810000,4311000,221199000,203029000,483133000,203438000,113718000,30525000,83193000,317156000,800289000,443740000,552165000,1858000,997763000,1040000,998803000,1799092000,25341000,15457000,19426000,-37742000,22482000,-6686000,326000,326000,-7012000,-7012000,-9375000,-3924000,-15557000,296000,-10580000,-30061000,-16954000,-16954000,-76000.0000000002,-17030000,55186000,207749000,23688000,0.12589,0.05689,0.03609,0.02523,0.01401,0.93996,1.80415,0.80125,0.11547,0.39063,0.39063,10.82519,15.46584,0.36718,4,0.01909,0.01794,1.42145,1.97448
"17","2014_Q2",25.4038095238095,"Down",645848000,-559385000,86463000,-47375000,-47375000,39088000,-2424000,-2424000,-2424000,36664000,41294000,-13967000,27327000,27327000,-12000,27315000,27315000,160796000,160796000,642897000,642897000,76558000,51212000,25346000,880251000,83711000,824711000,78686000,719527000,2406000,24092000,908422000,1788673000,238640000,137373000,101267000,6012000,210727000,190775000,455379000,200859000,114193000,29514000,84679000,315052000,770431000,457161000,579480000,-19413000,1017228000,1014000,1018242000,1788673000,27327000,15914000,1780000,-3302000,41719000,-4676000,1926000,1926000,-6602000,-6602000,-11454000,-233000,6327000,6327000,-2291000,3803000,34068000,34068000,-2577000,31491000,55002000,206871000,60991000,0.13388,0.06052,0.04229,0.02683,0.01527,2.23288,1.93301,0.75663,0.11566,0.42529,0.41992,10.05571,15.83801,0.94962,3,0.02039,0.04554,0.8377,1.17875
"18","2014_Q3",24.23671875,"Down",586285000,-517215000,69070000,-44227000,-44227000,24843000,-2495000,-2495000,-2495000,22348000,43691000,-11782000,31909000,31909000,-201000,31708000,31708000,167225000,167225000,656481000,656481000,66052000,52325000,13727000,889758000,80352000,806922000,70983000,709502000,2494000,23943000,887274000,1777032000,247108000,153597000,93511000,8532000,204387000,184665000,460027000,198219000,76863000,27237000,49626000,275082000,735109000,465004000,611188000,-35449000,1040743000,1180000,1041923000,1777032000,31909000,13500000,-21908000,-9014000,14487000,-4066000,1031000,1031000,-5097000,-5097000,-3674000,-226000.000000002,4590000,11202000,-7284000,-2920000,7893000,7893000,-1464000,6429000,38343000,206751000,37045000,0.11781,0.04237,0.05408,0.03043,0.01784,1.16832,1.93414,0.70553,0.11635,0.48697,0.48053,9.00412,15.98364,0.56893,4,0.02392,0.02795,1.03085,1.59103
"19","2014_Q4",24.39078125,"Up",629502000,-552065000,77437000,-47176000,-47176000,30261000,-2454000,-2454000,-2454000,27807000,36712000,-10002000,26710000,26710000,-53000,26657000,26657000,188872000,188872000,674447000,674447000,67509000,49939000,17570000,930828000,78208000,815184000,66115000,722583000,1938000,24548000,893392000,1824220000,288754000,173024000,115730000,8441000,180984000,155864000,478179000,195501000,84379000,26480000,57899000,279880000,758059000,448507000,633339000,-16588000,1065258000,903000,1066161000,1824220000,26710000,12733000,-4591000,23239000,58091000,-2397000,783000,783000,-3180000,-3180000,-2806000,-3182000,-18695000,781000,-9310000,-35693000,19592000,19592000,2055000,21647000,42994000,203942000,73838000,0.12301,0.04807,0.04235,0.025,0.01461,2.76993,1.94661,0.71102,0.1118,0.41195,0.40732,9.7282,16.46228,1.14108,7,0.02301,0.05451,0.35051,0.498
"20","2015_Q1",23.1327868852459,"Down",622179000,-572712000,49467000,-48520000,-48520000,947000,-2117000,-2117000,-2921000,-1170000,22646000,83000,22729000,22729000,-143000,22586000,22586000,122379000,122379000,701892000,701892000,74332000,52256000,22076000,898603000,73864000,803937000,63095000,714190000,2140000,24512000,877801000,1776404000,286138000,175952000,110186000,10989000,206734000,186347000,503861000,192842000,66645000,28786000,37859000,259487000,763348000,403142000,651475000,-42538000,1012079000,977000,1013056000,1776404000,22729000,12393000,-20789000,-1254000.00000001,13079000,-3671000,854000,854000,-4525000,-4525000,-23227000,-738000.000000001,-48388000,5524000,709000,-52867000,-63015000,-63015000,-3478000,-66493000,13340000,203831000,8332000,0.07951,0.00151999999999999,0.0363,0.02229,0.01271,0.3689,1.78343,0.75351,0.11474,0.35587,0.35233,9.80319,15.94654,0.13128,4,0.02106,0.00649,6.10585,86.01056
"21","2015_Q2",24.0401587301587,"Up",581056000,-502257000,78799000,-42187000,-42187000,36612000,-1790000,-1790000,-1790000,34822000,34822000,-9176000,25646000,25646000,-71000,25575000,25575000,98890000,98890000,667425000,667425000,78378000,53040000,25338000,844693000,70661000,780782000,55889000,698833000,1936000,24124000,851443000,1696136000,213409000,116571000,96838000,10907000,212051000,192135000,436367000,190116000,72605000,33483000,39122000,262721000,699088000,390836000,672677000,-67587000,995926000,1122000,997048000,1696136000,25646000,12992000,6503000,-39687000,5454000,-1921000,5216000,5216000,-7137000,-7137000,-1921000,-2433000,-18646000,1521000,142000,-25309000,-21776000,-21776000,-1713000,-23489000,49604000,201023000,17172000,0.13561,0.06301,0.04401,0.02565,0.01508,0.67144,1.93574,0.70116,0.11852,0.40951,0.40523,9.30404,15.94706,0.27496,6,0.02357,0.01351,2.05897,2.7896
"22","2015_Q3",24.07671875,"Up",564763000,-494966000,69797000,-42512000,-42512000,27285000,-1804000,-1804000,-1804000,25481000,28594000,-9584000,19010000,19010000,6999.99999999999,19017000,19017000,98518000,98518000,666013000,666013000,67049000,48657000,18392000,831580000,65107000,747260000,49062000,671397000,2159000,24642000,812367000,1643947000,225742000,136319000,89423000,10805000,190547000,168769000,427094000,228007000,65942000,27287000,38655000,293949000,721043000,347466000,687437000,-112620000,922283000,621000,922904000,1643947000,19010000,10956000,-10664000,10000,19312000,-351000,4608000,4608000,-4959000,-4959000,-351000,37527000,-45773000,2795000,-3176000,-15680000,3280999.99999999,3280999.99999999,-3653000,-372000,38241000,238812000,47484000,0.12359,0.04831,0.03367,0.02061,0.01157,2.49692,1.94707,0.78128,0.14527,0.31084,0.30797,9.23117,15.07491,0.77614,7,0.01896,0.03868,3.66868,5.14180000000001
"23","2015_Q4",25.196875,"Up",575108000,-493390000,81718000,-40996000,-40996000,40722000,-2027000,-2027000,-2027000,38695000,38695000,-12442000,26253000,26253000,-47000,26206000,26206000,175183000,175183000,633544000,633544000,61740000,48178000,13562000,870467000,68602000,764453000,49197000,684909000,2090000,28257000,833055000,1703522000,254357000,141011000,113346000,10708000,189832000,163459000,454897000,225513000,68693000,31279000,37414000,294206000,749103000,345435000,708833000,-100310000,953958000,461000,954419000,1703522000,26253000,10352000,-8068000,80795000,109332000,-7951000,215000,215000,-8166000,-8166000,-19701000,-2931000,-5460000,1305000,-1452000,-14653000,74978000,74978000,1687000,76665000,51074000,236221000,136360000,0.14209,0.07081,0.04557,0.02746,0.01538,5.20339,1.91355,0.78488,0.13867,0.43498,0.43103,9.54584,15.83412,2.26335,6,0.02463,0.10828,1.19509,1.49889
"24","2016_Q1",25.1744262295082,"Down",578394000,-492918000,85476000,-44761000,-44761000,40715000,-1742000,-1742000,-2422000,38973000,-21790000,-9891000,-31681000,-31681000,-43000,-31724000,-31724000,135326000,135326000,636030000,636030000,52419000,42125000,10294000,823775000,64906000,670561000,40332000,601379000,1886000,26964000,735467000,1559242000,254150000,150284000,103866000,11904000,184388000,163601000,450442000,180972000,71030000,34759000,36271000,252002000,702444000,327187000,672309000,-143171000,856325000,473000,856798000,1559242000,-31681000,9901000,82460000,-31931000,28749000,-3647000,387000,387000,-4034000,-4034000,953000,-42828000,-19796000,5204000,-513000,-67937000,-38235000,-38235000,-1622000,-39857000,50616000,192876000,24929000,0.14778,0.07039,-0.05485,-0.03703,-0.02035,-0.785809999999999,1.82881,0.81985,0.1237,-0.53074,-0.52465,9.67651,14.32628,0.41706,5,-0.02402,0.02224,1.13699,1.41348
"25","2016_Q2",28.3921875,"Up",560708000,-487548000,73160000,-39229000,-39229000,33931000,-1660000,-1660000,-1660000,32271000,31270000,-8030000,23240000,23240000,-1000,23239000,23239000,125088000,125088000,593968000,593968000,70681000,57198000,13483000,789737000,61295000,676462000,35663000,594004000,1824000,44971000,737757000,1527494000,211555000,119922000,91633000,13041000,178957000,162004000,403553000,177021000,102979000,39177000,63802000,2.8e+08,683553000,311251000,690837000,-158545000,843543000,398000,843941000,1527494000,23240000,9805000,11449000,-20879000,23615000,-2546000,704000,704000,-3250000,-3250000,-2546000,-2802000,-20915000,4085000,-883000,-29313000,-8244000,-8244000,-1994000,-10238000,43736000,190062000,28341000,0.13048,0.06051,0.04145,0.02754,0.01521,1.21954,1.95696,0.80995,0.12443,0.39349,0.38866,9.49419,14.2833,0.47988,7,0.02458,0.02493,1.4856,1.91489
"26","2016_Q3",32.271875,"Up",627384000,-552595000,74789000,-40405000,-40405000,34384000,-4251000,-4251000,-4251000,30133000,12400000,-8662000,3737999.99999999,3737999.99999999,6000,3744000,3744000,113667000,113667000,681123000,681123000,79756000,56533000,23223000,874546000,74314000,804054000,58233000,716244000,2011000,27566000,878368000,1752914000,227337000,130473000,96864000,17066000,231268000,206282000,475671000,343145000,83948000,31759000,52189000,427093000,902764000,292081000,689911000,-132566000,849426000,724000,850150000,1752914000,3737999.99999999,11605000,15491000,-24207000,6627000,-2492000,265000,265000,-2757000,-2757000,-87745000,96085000,-22850000,2150000,-1842000,66724000,-14394000,-14394000,2973000,-11421000,45989000,360211000,27952000,0.11921,0.05481,0.00597,0.0044,0.00214,7.46581,1.83855,1.06189,0.20549,0.06391,0.06318,10.70987,14.50027,0.47716,5,0.00650000000000001,0.0216,5.36093,7.17031
"27","2016_Q4",38.5511111111111,"Up",666869000,-581786000,85083000,-44992000,-44992000,40091000,-2590000,-2590000,-2590000,37501000,36496000,-10805000,25691000,25691000,4000,25695000,25695000,153918000,153918000,700846000,700846000,77832000,51957000,25875000,932596000,71588000,810145000,51991000,727773000,1869000,28512000,881733000,1814329000,272950000,155083000,117867000,15498000,225128000,200331000,513576000,349210000,87672000,35876000,51796000,436882000,950458000,276817000,710409000,-124038000,863188000,683000,863871000,1814329000,25691000,12425000,4324000,17120000,59560000,-1778000,2322000,2322000,-4100000,-4100000,-1933000,4504000,-18556000,6444000,365000,-18883000,38744000,38744000,1507000,40251000,52516000,364708000,78663000,0.12759,0.06012,0.03853,0.02974,0.01416,3.06141,1.81589,1.10023,0.20102,0.44447,0.43826,11.53533,14.93121,1.36069,5,0.02347,0.05976,4.01382,5.25779
