"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",20.6679032258065,"Up",550855000,-359519000,191336000,-149421000,-149421000,41915000,-2503000,-2503000,39412000,-172000,39240000,-15036000,24204000,24204000,286000,24490000,24490000,56515000,49265000,7250000,247297000,247297000,104879000,27986000,27986000,436677000,238300000,447805000,134946000,686105000,1122782000,401122000,401122000,43877000,445265000,150418000,106416000,49602000,56814000,256834000,702099000,420042000,641000,420683000,1122782000,24204000,10746000,6580000,33622000,75152000,-11575000,-1561000,-5960000,-45990000,-10852000,-18874000,-5229000,1969000,-7198000,0,-34955000,-5793000,-5793000,-5793000,52661000,194295000,89744000,0.34734,0.07609,0.04446,0.05821,0.02181,3.66452,0.98071,1.66895,0.17305,0.54153,0.53448,12.18059,9.28803,1.98443,0.23996,0.04899,0.1244,0.44312,2.61636,3.28713
"12","2013_Q1",23.981,"Up",527536000,-341585000,185951000,-155046000,-155046000,30905000,-2452000,-2452000,28453000,-583000,27870000,-10493000,17377000,17377000,216000,17593000,17593000,49032000,41782000,7250000,213490000,213490000,93515000,26926000,26926000,382963000,240490000,453613000,145853000,694103000,1077066000,384244000,384244000,4553999.99999999,389171000,150372000,116863000,52868000,63995000,267235000,656406000,420359000,301000,420660000,1077066000,17377000,11256000,4023000,31285000,63941000,-11590000,-802000,-1714000,-14106000,-10808000,-40634000,-5876000,1786000,-7662000,0,-57318000,-7483000,-7483000,-7483000,42161000,154926000,72349000,0.35249,0.05858,0.03335,0.04182,0.01633,4.11237,0.98405,1.56042,0.14384,0.39053,0.37946,11.71013,9.33104,1.60599,0.23991,0.04102,0.10448,0.614340000000002,2.51166,3.42644
"13","2013_Q2",26.270625,"Up",442297000,-294515000,147782000,-144556000,-144556000,3226000,-2516000,-2516000,710000,-156000,554000,625000,1179000,1179000,229000,1408000,1408000,38161000,30910000,7251000,194762000,194762000,106669000,31673000,31673000,371265000,244381000,457084000,147013000,701465000,1072730000,332931000,332931000,49169000,384934000,150330000,115467000,57107000,58360000,265797000,650731000,421847000,152000,421999000,1072730000,1179000,11089000,10101000,-53641000,-31272000,-10921000,-1106000,-3519000,-15546000,-10866000,43785000,2737000,4587000,-1850000,290000,35946000,-10872000,-10872000,-10872000,14315000,199499000,-50872000,0.33412,0.00729,0.00318,0.00334,0.00131,-36.13068,0.96449,1.54202,0.18597,0.03118,0.0308,9.79508,9.3422,-1.12661,0.24064,0.01665,-0.06903,7.71733,11.27056,50.01178
"14","2013_Q3",27.84046875,"Up",510698000,-336040000,174658000,-152078000,-152078000,22580000,-2567000,-2567000,20013000,-2425000,17588000,-6189000,11399000,11399000,22000,11421000,11421000,41002000,33751000,7251000,245352000,245352000,118309000,32944000,32944000,437607000,252243000,455027000,146655000,707270000,1144877000,382215000,382215000,69169000,454400000,150287000,121321000,60142000,61179000,271608000,726008000,418724000,145000,418869000,1144877000,11399000,11749000,8637000,-18742000,13043000,-15015000,0,-2296000,-17311000,-10903000,21795000,-4008000,1853000,-5861000,225000,7109000,2841000,2841000,2841000,34329000,219456000,6761000,0.342,0.04421,0.02236,0.02727,0.00998,0.59198,0.96304,1.73326,0.19169,0.25149,0.24769,11.24563,9.22036,0.148880000000001,0.24009,0.02939,0.0089,0.95464,5.19835,7.90319
"15","2013_Q4",28.86453125,"Up",565706000,-365835000,199871000,-154641000,-154641000,45230000,-2668000,-2668000,42562000,-115000,42447000,-14398000,28049000,28049000,45000,28094000,28094000,44142000,36891000,7251000,249255000,249255000,99109000,25759000,25759000,418265000,258976000,450115000,147360000,709091000,1127356000,405211000,405211000,8869000,417249000,150255000,128104000,65333000,62771000,278359000,695608000,431647000,101000,431748000,1127356000,28049000,11732000,12838000,49097000,101716000,-16572000,0,-4527000,-21099000,-10887000,-61273000,-5363000,747000,-6110000,46000,-77477000,3140000,3140000,3140000,56962000,159124000,103885000,0.35331,0.07995,0.04966,0.06507,0.02492,3.69776,1.00243,1.61114,0.14115,0.61993,0.60955,12.48303,9.52485,2.29236,0.24024,0.05422,0.14449,0.38752,2.01857,2.54216
"16","2014_Q1",27.2996721311475,"Down",541263000,-348282000,192981000,-155237000,-155237000,37744000,-1529000,-1529000,36215000,-97000,36118000,-13376000,22742000,22742000,18000,22760000,22760000,72281000,65030000,7251000,228715000,228715000,89516000,26665000,26665000,417177000,267401000,450127000,147421000,717528000,1134705000,407799000,407799000,484000.000000007,411584000,150197000,136507000,68964000,67543000,286704000,698288000,436328000,89000,436417000,1134705000,22742000,12051000,363999.999999998,46358000,81515000,-18048000,-1000,-3414000,-21463000,-10838000,-9864000.00000001,-11263000,2404000,-13667000,52000,-31913000,28139000,28139000,28139000,49795000,150681000,91481000,0.35654,0.06973,0.04205,0.05215,0.02006,4.01938,1.01359,1.60005,0.13279,0.50447,0.49581,11.99697,9.67111,2.02765,0.24022,0.04643,0.12642,0.47619,1.57446,2.07715
"17","2014_Q2",28.1309523809524,"Up",452201000,-297029000,155172000,-145210000,-145210000,9962000,-2132000,-2132000,7830000,8428000,16258000,-5242000,11016000,11016000,80000,11096000,11096000,52936000,45684000,7252000,203695000,203695000,100283000,26463000,26463000,383377000,273877000,455193000,152730000,729070000,1112447000,336584000,336584000,39175000,378746000,150153000,140684000,73324000,67360000,290837000,669583000,442855000,9000,442864000,1112447000,11016000,12024000,-773000,-58332000,-36065000,-4298000,-299000,-5284000,-9881000,-10787000,40389000,-3014000,1659000,-4673000,12000,26600000,-19346000,-19346000,-19346000,21986000,189328000,-35402000,0.34315,0.02203,0.02454,0.02506,0.00997,-3.19052,1.01223,1.51194,0.17019,0.24636,0.24207,10.04021,9.8327,-0.78603,0.2395,0.02831,-0.04581,0.97215,6.20358,13.69123
"18","2014_Q3",29.1371875,"Up",509143000,-328010000,181133000,-155288000,-155288000,25845000,-2041000,-2041000,23804000,-8936000,14868000,-5203000,9665000,9665000,40000,9705000,9705000,32130000,29278000,2852000,238076000,238076000,128377000,26037000,26037000,424620000,278439000,457213000,164233000,735652000,1160272000,396203000,396203000,35702000,434994000,150110000,138170000,69366000,68804000,288280000,723274000,437028000,-30000,436998000,1160272000,9665000,14928000,8225000,-3744999.99999999,29073000,-16824000,-499000,-6358000,-23681000,-11254000,-3702999.99999999,-6894000,1484000,-8378000,53000,-21798000,-16406000,-16406000,-16406000,40773000,185812000,25407000,0.35576,0.05076,0.01906,0.02221,0.00836,2.61793,0.97615,1.6551,0.16015,0.21557,0.21159,11.30926,9.70742,0.56435,0.24998,0.02754,0.03339,1.15961,3.76921,5.9463
"19","2014_Q4",35.17515625,"Up",614690000,-394758000,219932000,-166195000,-166195000,53737000,-1861000,-1861000,51876000,-1008000,50868000,-17372000,33496000,33496000,92000,33588000,33588000,35330000,29678000,5652000,277267000,277267000,116864000,22234000,22234000,451695000,285479000,461619000,166899000,747098000,1198793000,445262000,445262000,1263000,449883000,166066000,143296000,72558000,70738000,309362000,759245000,439530000,18000,439548000,1198793000,33496000,14812000,3629000,29862000,81799000,-16450000,-5e+05,-13640000,-30590000,-11167000,-18545000,-21151000,1127000,-22278000,54000,-50809000,4e+05,4e+05,4e+05,68549000,167329000,99333000,0.35779,0.08742,0.05464,0.07641,0.02802,2.9574,1.00403,1.72733,0.13958,0.75158,0.7364,13.75453,9.83509,2.22271,0.24988,0.05966,0.13241,0.33247,1.92562,2.45639
"20","2015_Q1",40.1877049180328,"Up",646661000,-418698000,227963000,-182362000,-182362000,45601000,-1884000,-1884000,43717000,-20780000,22937000,-15959000,6978000.00000001,6978000,104000,7082000,7082000,37196000,34144000,3052000,240053000,240053000,121791000,39209000,39209000,438249000,311008000,490077000,193457000,801085000,1239334000,453754000,453754000,160000.000000004,457333000,197736000,169764000,89411000,80353000,367500000,824833000,414587000,-86000,414501000,1239334000,6978000,14958000,34997000,36056000,92989000,-20390000,-2503000,-5342000,-90058000,-11120000,29072000,-18380000,14199000,-32579000,1963000,1535000,4466000,4466000,4466000,60559000,197896000,92184000,0.35252,0.07052,0.01095,0.01709,0.00571,13.01666,0.95827,1.98994,0.15968,0.1599,0.15738,14.60065,9.36076,2.08138,0.25107,0.02327,0.11786,1.57018,2.65361,3.52405
"21","2015_Q2",40.6653968253968,"Up",523477000,-338977000,184500000,-168704000,-168704000,15796000,-1899000,-1899000,13897000,-377000,13520000,-5068000,8452000,8452000,26000,8478000,8478000,26621000,25469000,1152000,232678000,232678000,143883000,37810000,37810000,440992000,310713000,497447000,200628000,808160000,1249152000,369891000,369891000,74653000,448773000,198023000,174776000,91169000,83607000,372799000,821572000,427231000,349000,427580000,1249152000,8452000,13860000,7154000,-78783000,-49317000,-20033000,0,-8138000,-28171000,-11117000,74957000,3660000,8954000,-5294000,1313000,68813000,-8675000,-8675000,-8675000,29656000,272676000,-64092000,0.35245,0.03018,0.0162,0.01983,0.00679,-7.5598,0.98266,1.92145,0.21829,0.19136,0.18623,11.81557,9.64317,-1.44664,0.25093,0.02239,-0.07325,1.31128,8.29697,15.57704
"22","2015_Q3",37.7784375,"Down",568226000,-362102000,206124000,-167278000,-167278000,38846000,-1849000,-1849000,36997000,560000,37557000,-13680000,23877000,23877000,2000.00000000001,23879000,23879000,38690000,33438000,5252000,274606000,274606000,164684000,28152000,28152000,506132000,320722000,498109000,201820000,818831000,1324963000,404685000,404685000,304326000,713236000,9000,176583000,92529000,84054000,176592000,889828000,434787000,348000,435135000,1324963000,23877000,13935000,4069000,-24468000,17413000,-13575000,-798000,-6462000,-20835000,-11776000,31505000,-8406000.00000001,1503000,-9909000,68000,11391000,7969000,7969000,7969000,52781000,304335000,28418000,0.36275,0.06836,0.04202,0.05488,0.01802,1.19008,0.70963,2.04495,0.22969,0.53762,0.52342,12.79327,9.78897,0.63981,0.26513,0.03892,0.03102,0.49315,5.03297,6.83841
"23","2015_Q4",33.73296875,"Down",615850000,-384219000,231631000,-170372000,-170372000,61259000,-1623000,-1623000,59636000,-171000,59465000,-18619000,40846000,40846000,2000,40848000,40848000,30968000,24616000,6352000,280091000,280091000,145196000,29751000,29751000,486006000,333912000,502515000,206939000,836427000,1322433000,427502000,427502000,257244000,690352000,0,176272000,95721000,80551000,176272000,866624000,455464000,345000,455809000,1322433000,40846000,14504000,4102000,30854000,90306000,-23638000,-2063000,-6194000,-31895000,-11736000,-47041000,-8485000,1091000,-9576000,29000,-67233000,-8822000,-8822000,-8822000,75763000,257244000,101598000,0.37612,0.09947,0.06633,0.08962,0.03089,2.48722,0.704,1.90129,0.19452,0.92285,0.89968,13.91343,10.28995,2.29533,0.26514,0.05913,0.11424,0.28731,2.98663,3.69376
"24","2016_Q1",27.2829508196721,"Down",596866000,-371723000,225143000,-165771000,-165771000,59372000,-1135000,-1135000,58237000,-11609000,46628000,-14397000,32231000,32231000,-2.27373675443232e-13,32231000,32231000,32800000,28548000,4252000,243409000,243409000,125228000,36933000,36933000,438370000,341159000,484396000,206746000,825555000,1263925000,424405000,424405000,5477000,435900000,1.85e+08,165726000,88934000,76792000,350726000,786626000,476954000,345000,477299000,1263925000,32231000,15265000,20551000,46903000,114950000,-23163000,-799000,-8012000,-31974000,-11700000,-66194000,-1150000,728000,-1878000,0,-79044000,3932000,3932000,3932000,74637000,190477000,112774000,0.37721,0.09947,0.054,0.06753,0.0255,3.49893,1.00567,1.64808,0.1507,0.72992,0.71284,13.51691,10.80132,2.55393,0.26496,0.05271,0.1353,0.363,2.11258,2.65575
"25","2016_Q2",35.4271875,"Up",501037000,-315326000,185711000,-165106000,-165106000,20605000,-1796000,-1796000,18809000,-1086000,17723000,-5881000,11842000,11842000,1000,11843000,11843000,43518000,38566000,4952000,218179000,218179000,147928000,33870000,33870000,443495000,347309000,520648000,226054000,867957000,1311452000,349841000,349841000,105293000,459207000,1.95e+08,168680000,91365000,77315000,363680000,822887000,488221000,344000,488565000,1311452000,11842000,15251000,10105000,-57428000,-20230000,-21119000,-958000,-4785000,-60926000,-11759000,103614000,-687000,1005000,-1692000,6000,91174000,10018000,10018000,10018000,35856000,300293000,-36810000,0.37065,0.04112,0.02364,0.02424,0.00903,-3.10817,0.96578,1.68429,0.22898,0.26759,0.26294,11.32082,11.03125,-0.83171,0.26569,0.02465,-0.03844,0.99291,7.16128,12.46178
"26","2016_Q3",41.17,"Up",536538000,-327618000,208920000,-162319000,-162319000,46601000,-1068000,-1068000,45533000,-572000,44961000,-15934000,29027000,29027000,2000,29029000,29029000,31241000,24441000,6800000,242849000,242849000,170083000,31896000,31896000,476069000,355095000,523566000,229653000,878661000,1354730000,395430000,395430000,83241000,483271000,1.93e+08,172573000,95045000,77528000,365573000,848844000,505544000,342000,505886000,1354730000,29027000,16380000,5776000,871000.000000015,52054000,-20804000,-3917000,-3390000,-28111000,-12225000,-23665000,-2657000,4396000,-7053000,479000,-38068000,-14125000,-14125000,-14125000,62981000,276241000,58982000,0.38939,0.08685,0.0541,0.05738,0.02143,2.03183,0.9851,1.67794,0.20391,0.65335,0.63615,12.0757,11.37813,1.32749,0.27514,0.04321,0.06178,0.42113,3.89006,5.2574
"27","2016_Q4",38.7501587301587,"Down",584629000,-363075000,221554000,-169495000,-169495000,52059000,-1011000,-1011000,51048000,-399000,50649000,-16837000,33812000,33812000,1000,33813000,33813000,34735000,27335000,7400000,246989000,246989000,150690000,32615000,32615000,465029000,369334000,526695000,231572000,896029000,1361058000,415555000,415555000,21091000,441423000,215800000,179494000,103910000,75584000,395294000,836717000,5.24e+08,341000,524341000,1361058000,33812000,17277000,7146000,23648000,81883000,-19886000,-3849000,-2447000,-25685000,-12276000,-36149000,-6191000,15470000,-21661000,1312000,-53304000,2894000,2894000,2894000,69336000,236891000,89935000,0.37897,0.08905,0.05784,0.06449,0.02484,2.65978,1.05348,1.59575,0.17405,0.75903,0.73755,13.12376,11.76276,2.01886,0.27557,0.04899,0.0956,0.36306,2.9156,3.88321
"28","2017_Q1",39.5475806451613,"Up",581285000,-362457000,218828000,-170824000,-170824000,48004000,-906000,-906000,47098000,-31520000,15578000,-4621000,10957000,10957000,-65000,10892000,10892000,38564000,36312000,2252000,229436000,229436000,118438000,46603000,46603000,433041000,356445000,540748000,28610000,897193000,1330234000,425046000,425046000,34017000,463473000,1.8e+08,185752000,110708000,75044000,365752000,829225000,500603000,406000,501009000,1330234000,10957000,20039000,37930000,40729000,109655000,-30561000,4.65661287307739e-10,-7008000,-38304000,-12235000,-26361000,-24694000,724999.999999998,-25419000,916000,-62374000,8977000,8977000,8977000,68043000,214017000,82832000,0.37646,0.08258,0.01874,0.02174,0.00819,7.60485,0.93434,1.65511,0.16089,0.24521,0.23943,13.08635,11.26997,1.86478,0.27544,0.02567,0.09196,1.1233,2.57856,3.65497
"29","2017_Q2",36.074126984127,"Down",477667000,-303944000,173723000,-163666000,-163666000,10057000,-975000,-975000,9082000,-2123000,6959000,-2178000,4781000,4781000,56000,4837000,4837000,30389000,29128000,1261000,191892000,191892000,143713000,52024000,52024000,418018000,363306000,544959000,253515000,908265000,1326283000,346141000,346141000,116674000,465991000,1.75e+08,183832000,111666000,72166000,358832000,824823000,501110000,350000,501460000,1326283000,4781000,18839000,4609000,-60238000,-32009000,-24996000,-1539000,-4583000,-31118000,-12132000,77752000,-9468000,1798000,-11266000,-209000,55943000,-7184000,-7184000,-7184000,28896000,291674000,-54160000,0.36369,0.02105,0.01013,0.00965,0.00365,-11.19702,0.89705,1.64484,0.21992,0.10981,0.10642,10.84375,11.37594,-1.22951,0.27541,0.01737,-0.05544,2.50817,9.04225,25.98041
