"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","disposition_of_fixed_assets","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2013_Q4",18.1165625,"Down",168144000,-76359000,91785000,-83125000,-83125000,8660000,-2205000,-2205000,6455000,6455000,-2081000,4374000,4374000,4374000,4374000,101821000,83645000,11344000,11344000,142041000,22580000,22580000,277786000,294080000,66440000,45128000,21312000,360520000,638306000,75655000,25416000,50239000,59532000,59532000,135656000,18664000,18664000,173500000,309156000,363861000,-584041000,547502000,1613000,328935000,329150000,638306000,4374000,4548000,3730000,13613000,26265000,-1020000,1960000,1960000,-2980000,-2980000,-822000,0,-63000,1090000,1027000,26470000,26470000,-92000,26378000,13208000,155305000,27882000,0.54587,0.0515,0.02601,0.01329,0.00685,6.37449,2.04772,0.93926,0.24331,0.15152,0.14941,5.82458,11.39445,0.96584,0,0.00869,0.05542,0,4.04936,6.17598
"12","2014_Q1",16.5862295081967,"Down",182251000,-83907000,98344000,-81878000,-81878000,16466000,-3863000,-3863000,12603000,12603000,-4409000,8194000,8194000,8194000,8194000,88130000,72601000,12277000,12277000,137256000,22907000,22907000,260570000,291672000,65043000,45128000,19915000,356715000,617285000,73361000,22995000,50366000,59098000,59098000,132939000,19180000,19180000,149989000,282928000,364424000,-584041000,553083000,684000,334150000,334357000,617285000,8194000,4494000,4129000,39000.0000000037,16856000,-2403000,56999.9999999998,56999.9999999998,-2460000,-2460000,554000,-2603000,-25917000,335000,-28185000,-10775000,-10775000,-269000,-11044000,20960000,131289000,23005000,0.53961,0.09035,0.04496,0.02451,0.01327,2.80754,1.96007,0.84619,0.21269,0.28347,0.2795,6.30495,11.55988,0.79586,0.09005,0.02227,0.04745,0.31767,2.05911,2.6211
"13","2014_Q2",15.8042857142857,"Down",181659000,-82916000,98743000,-82799000,-82799000,15944000,-1791000,-1791000,14153000,14153000,-5119000,9034000,9034000,9034000,9034000,104655000,91224000,12549000,12549000,141664000,22515000,22515000,281383000,289542000,64647000,45128000,19519000,354189000,635572000,76997000,25783000,51214000,67401000,67401000,144883000,19036000,19036000,149748000,294631000,364805000,-584041000,559213000,750000,340727000,340941000,635572000,9034000,4289000,1045000,6777000,21145000,-2535000,770000,770000,-3305000,-3305000,-23000,-2605000,-118000,140000,-2583000,18539000,18539000,84000,18623000,20233000,131197000,29594000,0.54356,0.08777,0.04973,0.0265,0.01421,3.27585,1.94214,0.86417,0.20642,0.31248,0.30845,6.28339,11.78538,1.02362,0.0901,0.0237,0.06025,0.28836,1.31182,1.6647
"14","2014_Q3",15.71015625,"Down",193104000,-87105000,105999000,-86149000,-86149000,19850000,-1828000,-1828000,18022000,18022000,-6467000,11555000,11555000,11555000,11555000,97760000,77603000,10754000,10754000,139964000,21474000,21474000,269952000,290388000,64941000,45128000,19813000,355329000,625281000,71423000,21911000,49512000,52178000,52178000,124091000,20617000,20617000,151230000,275321000,365202000,-584041000,567864000,683000,349708000,349960000,625281000,11555000,4410000,96000,-14600000,1461000,-5252000,999.999999999767,999.999999999767,-5253000,-5253000,-12084000,-2897000,-119999.999999996,81000,-2936000,-13559000,-13559000,-61999.9999999999,-13621000,24260000,131103000,10875000,0.54892,0.10279,0.05984,0.03302,0.01848,0.94115,2.17544,0.78672,0.20967,0.39962,0.39448,6.67833,12.09435,0.3761,0.10019,0.02881,0.02168,0.25071,1.3744,1.67975
"15","2014_Q4",18.203125,"Up",173061000,-79931000,93130000,-83578000,-83578000,9552000,-1767000,-1767000,7785000,7785000,-2527000,5258000,5258000,5258000,5258000,115942000,95804000,16003000,16003000,145055000,20914000,20914000,297914000,286797000,60189000,45128000,15061000,346986000,644900000,75160000,24107000,51053000,65200000,65200000,140856000,20657000,20657000,151170000,292026000,365590000,-584041000,570217000,838000,352604000,352874000,644900000,5258000,4577000,1056000,6522000,17413000,-2134000,1896000,1896000,-4030000,-4030000,3788000,-2897000,-120000,93000,-2924000,18277000,18277000,-76000,18201000,14129000,131009000,21044000,0.53813,0.05519,0.03038,0.0149,0.00815,4.00228,2.11503,0.82756,0.20315,0.1818,0.17963,5.98371,12.19155,0.72761,0.10017,0.01616,0.04171,0.55097,1.06639,1.57737
"16","2015_Q1",18.6367213114754,"Up",198835000,-90211000,108624000,-84334000,-84334000,24290000,-1848000,-1848000,22442000,22442000,-5358000,17084000,17084000,17084000,17084000,127329000,109176000,12426000,12426000,146275000,19599000,19599000,305629000,288156000,60649000,45128000,15521000,348805000,654434000,75862000,24320000,51542000,59684000,59684000,136047000,20509000,20509000,150920000,286967000,366219000,-584041000,584395000,642000,367215000,367467000,654434000,17084000,4654000,-1396000,-472000.000000007,19870000,-6003000,714000,714000,-6717000,-6717000,-3739000,-2898000,-122000,211000,-2809000,13322000,13322000,50000,13372000,28944000,130912000,27827000,0.5463,0.12216,0.08592,0.04649,0.02611,1.62883,2.2465,0.78093,0.20004,0.59065,0.58403,6.87439,12.69586,0.96207,0.10019,0.03851,0.05363,0.16963,0.12379,0.14751
"17","2015_Q2",16.9815873015873,"Down",190706000,-85903000,104803000,-84333000,-84333000,20470000,-1746000,-1746000,18724000,18724000,-6845000,11879000,11879000,11879000,11879000,127186000,114308000,14651000,14651000,157519000,24444000,24444000,323800000,285877000,60502000,45128000,15374000,346379000,670179000,77989000,20051000,57938000,66027000,66027000,144576000,19812000,19812000,150388000,294964000,366414000,-584041000,592787000,-209000,374951000,375215000,670179000,11879000,4719000,2324000,-12114000,6808000,-2105000,3305000,3305000,-5410000,-5410000,1523000,-2900000,-150000,4000,-3046000,5285000,5285000,-153000,5132000,25189000,131136000,17815000,0.54955,0.10734,0.06229,0.03166,0.01773,1.49971,2.23965,0.78612,0.19567,0.41065,0.40615,6.59266,12.96197,0.61586,0.10025,0.02809,0.03386,0.24413,0.15681,0.19297
"18","2015_Q3",19.3809375,"Up",197067000,-90993000,106074000,-88414000,-88414000,17660000,-1793000,-1793000,15867000,15867000,-5829000,10038000,10038000,10038000,10038000,121807000,112942000,10626000,10626000,151749000,23023000,23023000,307205000,284789000,60073000,45128000,14945000,344862000,652067000,65875000,19501000,46374000,52779000,52779000,174936000,20393000,20393000,96144000,271080000,366844000,-584041000,599338000,-1438000,380703000,380987000,652067000,10038000,4675000,2015000,-13076000,3652000,-4161000,3544000,3544000,-7705000,-7705000,-260999.999999999,-3481000,-137999.999999996,-902000,-4521000,-1130000,-1130000,-236000,-1366000,22335000,132033000,10927000,0.53826,0.08961,0.05094,0.02635,0.01539,1.08856,1.7561,0.71152,0.20248,0.34696,0.34264,6.81162,13.159,0.37769,0.12032,0.02534,0.02049,0.34678,0.45785,0.57905
"19","2015_Q4",18.54484375,"Down",173259000,-79149000,94110000,-84884000,-84884000,9226000,-5293000,-5293000,3933000,3933000,-1397000,2536000,2536000,2536000,2536000,64815000,58436000,16280000,16280000,154933000,29315000,29315000,265343000,283531000,60164000,45128000,15036000,343695000,609038000,67145000,18900000,48245000,66630000,66630000,136553000,21318000,21318000,96362000,232915000,371765000,-591908000,598385000,-2386000,375856000,376120000,609035000,2536000,4820000,4912000,-277000,11991000,-4413000,0,0,-4413000,-4413000,-1985000,-3483000,-58171000,129000,-64316000,-54310000,-54310000,-196000,-54506000,14046000,77822000,10753000,0.54318,0.05325,0.01464,0.00674,0.00416,4.24014,1.94315,0.61926,0.12778,0.08768,0.08672,5.99035,12.99506,0.37178,0.12042,0.01266,0.02263,1.37342,0.92603,1.40982
"20","2016_Q1",18.6532786885246,"Up",193568000,-87392000,106176000,-87598000,-87598000,18578000,-419000,-419000,18159000,18159000,-5470000,12689000,12689000,12689000,12689000,78380000,76182000,12547000,12547000,151916000,27831000,27831000,270674000,277035000,58268000,45128000,13140000,335303000,605977000,69658000,18946000,50712000,67970000,67970000,140662000,21577000,21577000,94780000,235442000,371400000,-605583000,607079000,-2638000,370258000,370535000,605977000,12689000,4928000,4478000,10560000,32655000,-5000,2254000,2254000,-2259000,-2259000,4151000,-3484000,-251000,-584000,-19080000,17726000,17726000,20000,17746000,23506000,76237000,39531000,0.54852,0.09598,0.06555,0.03425,0.02094,3.11538,1.92429,0.63541,0.12581,0.44189,0.43843,6.74101,12.89424,1.37667,0.12133,0.03453,0.08441,0.27457,-0.09117,-0.11535
"21","2016_Q2",21.6996875,"Up",190391000,-85718000,104673000,-83773000,-83773000,20900000,-330000,-330000,20570000,20570000,-7423000,13147000,13147000,13147000,13147000,87008000,87008000,12705000,12705000,156567000,26591000,26591000,282871000,274745000,57476000,45128000,12348000,332221000,615092000,71853000,20148000,51705000,66577000,66577000,141471000,21606000,21606000,94070000,235541000,372246000,-605586000,616230000,-3622000,379268000,379551000,615092000,13147000,4783000,-167000,-1709000,16054000,-3137000,1000,1000,-3138000,-3138000,-728000,-3992000,-809000,447000,-4354000,10972000,10972000,-146000,10826000,25683000,75505000,28260000,0.54978,0.10977,0.06905,0.03464,0.02137,2.14954,1.9995,0.62058,0.12275,0.46276,0.45851,6.70155,13.34981,0.99472,0.14051,0.03596,0.05929,0.30364,-0.44788,-0.55038
"22","2016_Q3",22.88140625,"Up",207535000,-91477000,116058000,-89551000,-89551000,26507000,-382000,-382000,26125000,26125000,-9591000,16534000,16534000,16534000,16534000,57031000,57031000,10059000,10059000,157498000,24346000,24346000,248934000,273477000,56399000,45128000,11271000,329876000,578810000,58447000,16995000,41452000,59392000,59392000,120892000,22403000,22403000,77516000,198408000,373127000,-617789000,628831000,-4033000,380136000,380402000,578810000,16534000,4806000,-22000,-16333000,4985000,-2365000,1871000,1871000,-4236000,-4236000,-2327000,-3992000,-17416000,378000,-32463000,-29805000,-29805000,-172000,-29977000,31313000,58166000,22206000,0.55922,0.12772,0.07967,0.04346,0.02857,1.34305,2.05914,0.52157,0.10049,0.58416,0.57939,7.33236,13.43047,0.78455,0.14104,0.04453,0.04817,0.24144,0.03625,0.04282
"23","2016_Q4",22.7304761904762,"Down",190583000,-84866000,105717000,-89708000,-89708000,16009000,-431000,-431000,15578000,15578000,-5400000,10178000,10178000,10178000,10178000,48815000,48815000,10787000,10787000,163743000,26337000,26337000,249682000,273403000,55984000,45128000,10856000,329387000,579069000,61589000,17065000,44524000,66241000,66241000,130887000,23502000,23502000,68005000,198892000,374502000,-624932000,634277000,-3867000,379980000,380177000,579069000,10178000,5042000,1127000,1216000,17563000,-4123000,2327000,2327000,-6450000,-6450000,-4083000,-3926000,-10813000,516000,-21808000,-8328000,-8328000,112000,-8216000,21051000,47560000,23544000,0.5547,0.084,0.0534,0.02677,0.01758,2.31322,1.90761,0.52316,0.08213,0.36573,0.3627,6.84836,13.6541,0.84602,0.14108,0.03126,0.05218,0.38573,-0.0596200000000001,-0.07839
"24","2017_Q1",20.7295161290323,"Down",205693000,-89905000,115788000,-90025000,-90025000,25763000,-80000.0000000001,-80000,25683000,25683000,-8905000,16778000,16778000,16778000,16778000,52659000,52659000,9467000,9467000,162323000,23755000,23755000,248204000,273615000,55590000,45128000,10462000,329205000,577409000,59388000,15437000,43951000,60958000,60958000,123347000,23023000,23023000,61860000,185207000,375461000,-624932000,646315000,-4846000,391998000,392202000,577409000,16778000,4722000,-1473000,-260000,19767000,-5434000,3874000,3874000,-9308000,-9308000,-5388000,-4736000,-5802000,377000,-10489000,3890000,3890000,-46000,3844000,30485000,41838000,33696000,0.56292,0.12525,0.08157,0.04278,0.02906,2.00834,2.01224,0.47222,0.07246,0.60472,0.5987,7.4137,14.1286,1.21449,0.1707,0.04707,0.07372,0.28227,-0.35496,-0.42002
"25","2017_Q2",20.211746031746,"Down",193287000,-84820000,108467000,-90130000,-90130000,18337000,-180000,-180000,18157000,18157000,-6628000,11529000,11529000,11529000,11529000,69254000,69254000,9867000,9867000,159343000,24494000,24494000,262958000,273455000,55180000,45128000,10052000,328635000,591593000,69363000,20857000,48506000,62392000,62392000,134696000,22958000,22958000,61105000,195801000,376554000,-628300000,653122000,-5776000,395600000,395792000,591593000,11529000,4999000,1491000,9497000,27516000,-6182000,1258000,1258000,-7440000,-7440000,-5622000,-4738000,-829000,306000,-5261000,16633000,16633000,-38000,16595000,23336000,41088000,33279000,0.56117,0.09487,0.05965,0.02913,0.01949,2.88655,1.95223,0.49471,0.06945,0.41583,0.41157,6.97158,14.26871,1.20032,0.17089,0.03538,0.07237,0.41096,-1.20698,-1.53602
"26","2017_Q3",21.1946031746032,"Up",194672000,-86548000,108124000,-91030000,-91030000,17094000,-142000,-142000,16952000,16952000,-6252000,10700000,10700000,10700000,10700000,57149000,57149000,8773000,8773000,160384000,22110000,22110000,248416000,271147000,54942000,45128000,9814000,326089000,574505000,53701000,12969000,40732000,55297000,55297000,111808000,23680000,23680000,61213000,173021000,378124000,-628300000,658536000,-7057000,401303000,401484000,574505000,10700000,5e+06,1007000,-16748000,-40999.9999999963,-3814000,0,0,-3814000,-3814000,-3765000,-4722000,-916000,792000,-8214000,-12020000,-12020000,-85000,-12105000,22094000,40343000,7784000,0.55542,0.08781,0.05496,0.02665,0.01862,0.727480000000001,2.22181,0.43095,0.07022,0.38674,0.38288,7.03625,14.50475,0.28135,0.17067,0.03313,0.01672,0.44131,-0.76066,-0.98315
"27","2017_Q4",20.4096825396825,"Down",180501000,-85766000,94735000,-90815000,-90815000,3920000,-379000,-379000,3541000,3541000,-1259000,2282000,2282000,2282000,2282000,63677000,63677000,10444000,10444000,154225000,24602000,24602000,252948000,272122000,54833000,45128000,9705000,326955000,579903000,59383000,15617000,43766000,60527000,60527000,122780000,28818000,28818000,56014000,178794000,378751000,-628300000,655533000,-5059000,400925000,401109000,579903000,2282000,5024000,4878000,14110000,26294000,-3855000,3000,3000,-3858000,-3858000,-3840000,-5285000,-10857000,82000,-16060000,6394000,6394000,134000,6528000,8944000,30066000,20458000,0.52484,0.02172,0.01264,0.00569,0.00394,8.96494,2.06017,0.44575,0.05185,0.08241,0.08164,6.51863,14.47905,0.73882,0.19086,0.01645,0.04447,2.31595,-3.75794,-8.57423
"28","2018_Q1",17.8131147540984,"Down",194925000,-86528000,108397000,-89798000,-89798000,18599000,-254000,-254000,18345000,18345000,-6662000,11683000,11683000,11683000,11683000,57701000,57701000,12293000,12293000,149483000,23621000,23621000,243098000,270198000,54926000,45128000,9798000,325124000,568222000,60754000,16961000,43793000,62960000,62960000,126445000,29273000,29273000,40881000,167326000,378040000,-635179000,661976000,-4131000,400706000,400896000,568222000,11683000,5092000,-1583000,9672000,24864000,-2521000,12000,12000,-2533000,-2533000,-3646000,-5286000,-15799000,155000,-27808000,-6590000,-6590000,124000,-6466000,23691000,14339000,37504000,0.5561,0.09542,0.05994,0.02914,0.02056,3.21013,1.92256,0.41738,0.02523,0.42278,0.41842,7.05381,14.50047,1.35717,0.19129,0.03817,0.08437,0.45245,-1.83032,-2.33142
