"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2014_Q3",219.85734375,"Up",-9339000,-2863000,-6476000,-9127000,-36000,14000,-50000,-9163000,-9163000,-9163000,-9163000,-9163000,-9163000,76861000,76861000,1353000,446000,78214000,6456000,6456000,84670000,3583000,687000,2891000,84000,84000,3857000,7279000,6e+06,8216000,12073000,227155000,72597000,72597000,84670000,-9163000,261000,1499000,367000,-7036000,-204000,-204000,436000,436000,388000,-6852000,-6852000,-6852000,-8866000,1127000,-0.12622,-0.10822,20.27845,0.1663,0.01331,-2.95858,-2.95858,23.44035,-0.11312,8.54207,8.2978
"12","2014_Q4",297.6271875,"Up",-15827000,-4930000,-10897000,-13026000,15000,15000,-1.45519152283669e-11,-13011000,-13011000,-5598000.00000001,-5598000.00000001,-5598000.00000001,-5598000,51070000,51070000,27690000,353000,78760000,7117000,7117000,85877000,6961000,2935000,4026000,84000.0000000009,84000,7238000,7259000,6e+06,8248000,15486000,230587000,70391000,70391000,85877000,-5598000.00000001,297000,3297000,-6502000,-8506000,-1047000,-17434000,94999.9999999963,135000,149000,-25791000,-25791000,-25791000,-12729000,1182000,-0.07953,-0.06519,10.88146,0.22,0.01376,-1.80503,-1.80503,22.69702,-0.07101,3.91924,3.82988
"13","2015_Q1",387.513442622951,"Up",-20215000,-8284000,-11931000,149030000,13000,13000,0,149043000,149043000,120014000,120014000,120014000,120014000,190404000,190404000,33218000,8333000,223622000,7599000,7599000,231221000,11779000,2412000,9367000,13050000,84000,25021000,8323000,6e+06,9264000,34285000,237118000,196936000,196936000,231221000,120014000,283000,1712000,8668000,130677000,-356000,3887000,517000,517000,4770000,139334000,139334000,139334000,149313000,1133000,0.60941,0.51904,8.93737,0.17409,0.0049,38.63754,26.53939,63.40196,0.58149,-1.26761,-1.27002
"14","2015_Q2",424.914285714286,"Up",-26347000,-8366000,-17981000,12848000,11000,11000,0,12859000.0000001,12859000.0000001,11190000,11190000,11190000,11190000,206593000,206593000,44506000,11224000,251099000,8028000,8028000,259127000,13408000,4113000,9295000,3563000,85000,17562000,8240000,6e+06,8734000,26296000,255251000,232831000,232831000,259127000,11190000,304000,3191000,-17006000,-2320999.99999997,-733000,3885000,14673000,14942000,14625000,16189000,16189000,16189000,13152000,1085000,0.04806,0.04318,14.29786,0.11294,0.00419,3.56928000000001,3.15546,74.26613,0.04621,-15.62561,-15.99533
"15","2015_Q3",439.3190625,"Up",-23387000,-7257000,-16130000,-15942000,22000,22000,0,-15920000,-15920000,-14091000,-14091000,-14091000,-14091000,203377000,203377000,31075000,11344000,234452000,8798000,8798000,243250000,7428000,1474000,5954000,1021000,85000,9036000,8005000,6e+06,8455000,17491000,262342000,225759000,225759000,243250000,-14091000,323000,5930000,1448000,-6390000,-1440000,2133000,1089000,1161000,1041000,-3216000,-3216000,-3216000,-15619000,1037000,-0.06242,-0.05793,25.94644,0.07748,0.00426,-4.42515,-4.42515,70.89747,-0.06001,12.95473,12.69226
"16","2015_Q4",325.501875,"Down",-29892000,-7384000,-22508000,-15683000,-63000,-63000,0,-15746000,-15746000,-15906000,-15906000,-15906000,-15906000,197141000,197141000,20050000,1768000,217191000,9628000,9628000,226819000,9649000,1494000,8155000,986000,85000,11215000,7783000,6e+06,8192000,19407000,266742000,207412000,207412000,226819000,-15906000,444000,3273000,5165000,-7024000,-1277000,-291000,1127000,1127000,1079000,-6236000,-6236000,-6236000,-15239000,989000,-0.07669,-0.07013,19.36612,0.09357,0.00436,-4.98241,-4.98241,64.96989,-0.07358,12.87171,12.5073
"17","2016_Q1",202.699180327869,"Down",-22477000,-7682000,-14795000,-14825000,-11000,3000,-14000,-14836000,-14836000,-21574000,-21574000,-21574000,-21574000,195620000,195620000,12522000,4954000,208142000,10400000,10400000,218542000,13281000,3661000,8761000,988000,96000,14840000,7560000,6e+06,7928000,22768000,276898000,195774000,195774000,218542000,-21574000,521000,3546000,9155000,-8352000,-545000,491000,290000,510000,6340000,-1521000,-1521000,-1521000,-14304000,939000,-0.1102,-0.09872,14.02574,0.1163,0.0043,-6.75866,-7.7579,61.33168,-0.10561,13.61025,13.13194
"18","2016_Q2",123.94625,"Down",-31101000,-9164000,-21937000,-25393000,39000,39000,0,-25354000,-25354000,-23720000,-23720000,-23720000,-23720000,176986000,176986000,12439000,2832000,189425000,10498000,10498000,199923000,14104000,3039000,11065000,953000,89000,15305000,7352000,6e+06,7805000,23110000,281657000,176813000,176813000,199923000,-23720000,595000,4319000,-701000,-19507000,-281000,902000,43000,43000,-29000,-18634000,-18634000,-18634000,-24798000,701000,-0.13415,-0.11865,12.37667,0.1307,0.00351,-7.39861,-7.39861,55.15054,-0.12831,7.10884,6.94227
"19","2016_Q3",99.31921875,"Down",-36540000,-9130000,-27410000,-34528000,60000,60000,0,-34468000,-34468000,-32389000,-32389000,-32389000,-32389000,160527000,160527000,11487000,4048000,172014000,7435000,7435000,179449000,21380000,1843000,19537000,923000,85000,22545000,7165000,6e+06,7560000,30105000,286590000,149344000,149344000,179449000,-32389000,609000,8504000,7195000,-16081000,-1703000,-706000,519000,532000,328000,-16459000,-16459000,-16459000,-33919000,637000,-0.21688,-0.18049,7.62981,0.20158,0.00355,-10.0904,-10.0904,46.52632,-0.20611,4.71388,4.63073
"20","2016_Q4",112.685714285714,"Up",-32212000,-7749000,-24463000,-16867000,19000,63000,-44000,-16848000,-16848000,-15540000,-15540000,-15540000,-15540000,148276000,148276000,30880000,10688000,179156000,7188000,7188000,186344000,39626000,2367000,37259000,774000,81000,40645000,7089000,6e+06,7422000,48067000,291063000,138277000,138277000,186344000,-15540000,332000,3875000,-1372000,-12705000,-85000,-84999.9999999998,1111000,1111000,539000,-12251000,-12251000,-12251000,-16535000,578000,-0.11238,-0.08339,4.40782,0.34761,0.0031,-4.82598,-4.82598,42.94219,-0.10648,8.93245,8.75663
"21","2017_Q1",142.845967741935,"Up",-26673000,-7183000,-19490000,-13970000,129000,53000,76000,-13841000,-13841000,-13506000,-13506000,-13506000,-13506000,131490000,131490000,36422000,5921000,167912000,6835000,6835000,174747000,37192000,22883000,14309000,481000,90000,37905000,7091000,6e+06,7376000,45281000,295827000,129466000,129466000,174747000,-13506000,548000,3570000,-8266000,-17654000,-177000,-177000,467000,536000,1045000,-16786000,-16786000,-16786000,-13422000,517000,-0.10432,-0.07729,4.42981,0.34975,0.00296,-4.16537,-4.16537,39.92844,-0.09853,9.75808,9.3753
"22","2017_Q2",123.801428571429,"Down",-23959000,-8234000,-15725000,-21198000,-25000,-21000,-4000,-21223000,-21223000,-20913000,-20913000,-20913000,-20913000,118240000,118240000,24916000,8984000,143156000,6466000,6466000,149622000,27423000,9618000,17805000,314000,91000,27971000,7068000,6e+06,7297000,35268000,301865000,114354000,114354000,149622000,-20913000,360000,5979000,1565000,-13009000,-13000,-13000,-174000,62999.9999999999,-228000,-13250000,-13250000,-13250000,-20838000,463000,-0.18288,-0.13977,5.11802,0.30841,0.00309,-6.44346,-6.44346,35.23335,-0.17158,5.65203,5.55604
"23","2017_Q3",76.6857142857143,"Down",-27097000,-8897000,-18200000,-16727000,1000,110000,-109000,-16726000,-16726000,-16726000,-16726000,-16726000,-16726000,107777000,107777000,22461000,4916000,130238000,5886000,5886000,136124000,25822000,11369000,14453000,259000,92000,26303000,7045000,6e+06,7218000,33521000,306848000,102603000,102603000,136124000,-16726000,347000,4702000,772000,-10905000,128000,128000,382000,390000,314000,-10463000,-10463000,-10463000,-16380000,395000,-0.16302,-0.12287,4.95145,0.32671,0.0029,-5.15131,-5.15131,31.5999,-0.152,6.55568,6.41968
"24","2017_Q4",82.7114285714286,"Up",-26387000,-7907000,-18480000,-20905000,160000,148000,12000,-20745000,-20745000,-20626000,-20626000,-20626000,-20626000,120702000,120702000,13485000,2701000,134187000,5527000,5527000,139714000,25692000,11860000,13832000,205000,93000,26091000,7021000,6e+06,7159000,33250000,331350000,106464000,106464000,139714000,-20626000,357000,4359000,8754000,-7156000,27000,27000,20117000,20132000,20054000,12925000,12925000,12925000,-20548000,332000,-0.19374,-0.14763,5.14304,0.31231,0.00238,-6.20086,-6.20086,32.0066,-0.18122,5.85799,5.75795
"25","2018_Q1",70.8519672131147,"Down",-24149000,-6688000,-17461000,-14051000,235000,260000,-25000,-13816000,-13816000,-13686000,-13686000,-13686000,-13686000,158708000,158708000,16758000,6226000,175466000,5091000,5231000,180697000,21723000,9256000,12467000,148000,92000,22031000,6998000,6e+06,7109000,29140000,390158000,151557000,151557000,180697000,-13686000,343000,3594000,-7462000,-17211000,69000,69000,55209000,55238000,55148000,38006000,38006000,38006000,-13708000,271000,-0.0903,-0.07574,7.9645,0.19227,0.0015,-3.34395,-3.34395,37.0305,-0.08617,11.558,11.27585
"26","2018_Q2",45.805,"Down",-28606000,-8292000,-20314000,-18706000,396000,372000,24000,-18310000,-18310000,-18310000,-18310000,-18310000,-18310000,143891000,143891000,16308000,5616000,160199000,4698000,4838000,165037000,19816000,5316000,14500000,90000,90000,20018000,6975000,6e+06,7065000,27083000,395084000,137954000,137954000,165037000,-18310000,334000,4795000,-1495000,-14676000,83000,83000,-154999.999999993,106000,-223999.999999993,-14817000,-14817000,-14817000,-18372000,202000,-0.13273,-0.11094,8.00275,0.19632,0.00122,-4.43564,-4.43564,33.41966,-0.12616,7.82109,7.68144
"27","2018_Q3",30.41,"Down",-2e+07,-7912000,-12088000,-17748000,435000,425000,10000,-17313000,-17313000,-17313000,-17313000,-17313000,-17313000,137066000,137066000,6420000,5243000,143486000,4387000,4527000,148013000,15861000,7334000,8527000,87000,87000,16041000,6952000,6e+06,7026000,23067000,399391000,124946000,124946000,148013000,-17313000,303000,4168000,5906000,-6936000,18000,18000,128000,130000,93000,-6825000,-6825000,-6825000,-17445000,167000,-0.13856,-0.11697,8.94495,0.18462,0.00113,-4.19293,-4.19293,30.25993,-0.13109,7.84746,7.71349
"28","2018_Q4",17.61,"Down",-15158000,-7588000,-7570000,-15038000,644000,662000,-18000,-14394000,-14394000,-7403000,-7403000,-7403000,-7403000,122061000,122061000,13018000,4920000,135079000,4096000,4236000,139315000,9974000,1238000,8736000,84000,84000,10132000,6929000,6e+06,6988000,17120000,404047000,122195000,122195000,139315000,-7403000,264000,4641000,-12512000,-15010000,10000,10000,29000,33000,-5000.00000000186,-15005000,-15005000,-15005000,-14774000,133000,-0.06058,-0.05314,13.33192,0.1401,0.00095,-1.79054,-1.79054,29.55485,-0.05727,8.25288,8.10799
"29","2019_Q1",14.9081967213115,"Down",-11148000,-5426000,-5722000,-10946000,4e+05,518000,-118000,-10546000,-10546000,-10569000,-10569000,-10569000,-10569000,120738000,120738000,6334000,5536000,127072000,3727000,3867000,130939000,8694000,555000,8139000,92000,92000,8847000,6906000,6e+06,6949000,15796000,407572000,115143000,115143000,130939000,-10569000,244000,3618000,5390000,-1317000,6000,6000,17000,25000,-12000,-1323000,-1323000,-1323000,-10702000,104000,-0.09179,-0.08072,14.36329,0.13719,0.00079,-2.55521,-2.55521,27.83746,-0.08652,11.2721,11.02083
"30","2019_Q2",15.1042857142857,"Up",-10770000,-5567000,-5203000,-10664000,628000,623000,5000,-10036000,-10036000,-10036000,-10036000,-10036000,-10036000,113184000,113184000,5093000,4447000,118277000,3520000,10994000,129271000,7846000,896000,6950000,963000,963000,8872000,13353000,13353000,13380000,22252000,409516000,107019000,107019000,129271000,-10036000,208000,1923000,391999.999999998,-7513000,5000.00000000001,4999.99999999994,-32000.0000000001,-1.16415321826935e-10,-46000,-7554000,-7554000,-7554000,-10456000,90000,-0.09378,-0.07764,13.33149,0.20793,7e-04,-2.42339,-2.42339,25.84186,-0.08331,10.81618,10.60521
"31","2019_Q3",14.66921875,"Down",-10875000,-5638000,-5237000,-10724000,590000,6e+05,-10000,-10134000,-10134000,-10134000,-10134000,-10134000,-10134000,105372000,105372000,4826000,4015000,110198000,3314000,10613000,120811000,7924000,689000,7235000,641000,641000,8628000,13485000,13485000,13496000,22124000,411319000,98687000,98687000,120811000,-10134000,191000,1767000,346000,-7830000,4000,4000,29000,30000,14000,-7812000,-7812000,-7812000,-10533000,74000,-0.10269,-0.08388,12.77214,0.22418,0.00061,-2.44699,-2.44699,23.8293,-0.09028,9.99696,9.81891
"32","2019_Q4",14.26296875,"Down",14214000,8312000,5902000,13957000,-1130000,-1158000,28000,12827000,12827000,12827000,12827000,12827000,10553000,98527000,98527000,4127000,3311000,102654000,2889000,4e+06,106654000,12270000,145000,12125000,1712000,1712000,14040000,6217000,6217000,6217000,20257000,413578000,86397000,86397000,106654000,12827000,-376000,-3558000,93000.0000000002,8986000,-9000.00000000012,-9000.00000000093,3000.00000000001,-30000,32000,9009000,9009000,9009000,13581000,58000,0.12215,0.09895,7.31154,0.23446,0.00054,2.54595,2.54595,20.84358,0.11387,-7.2505,-7.05517
"33","2020_Q1",13.9745161290323,"Down",-2385000,-1254000,-1131000,-2385000,23000,9000,14000,-2362000,-2362000,-2362000,-2362000,-2362000,-3128000,4952000,4952000,117000,82000,5069000,84000,457000,5526000,1074000,365000,709000,189000,189000,1263000,191000,191000,191000,1454000,214000,4072000,4072000,5526000,-2362000,14000,47000,-432000,-2733000,-2000,-2000,22000,22000,22000,-2713000,-2713000,-2713000,-2371000,0,-0.76817,-0.56605,4.01346,0.35707,0,-0.75447,-0.75447,-14.34245,-0.73376,2.08857,2.07631
"34","2020_Q2",11.9065079365079,"Down",-5236000,-3331000,-1905000,-5215000,92000,-44000.0000000001,136000,-5123000,-5123000,340000,340000,340000,-310999.999999998,85821000,85821000,7338000,2318000,93159000,1064000,89796000,182955000,10094000,2362000,7732000,36646000,36646000,46767000,14650000,6140000,14650000,61417000,181526000,121538000,121538000,182955000,340000,9000,-387000,-3272000,-3310000,-10725527.3081486,84179000,37968.7379630954,118384.703633261,17730.0969754705,80869000,80869000,80869000,-5206000,27000,-0.00256000000000001,-0.00170000000000003,1.99198,0.50533,0.00015,-0.14202,-0.14202,55.50294,-0.00228000000000006,16.47983,16.45139
"35","2020_Q3",14.946875,"Up",-6911000,-4147000,-2764000,-6877000,98000,73000,25000,-6779000,-6779000,-5353000,-5353000,-5353000,-5353000,72697000,72697000,98040000,5158000,170737000,834000,1461000,172198000,6099000,155000,5944000,36451000,36451000,42561000,13172000,6088000,13172000,55733000,181806000,116465000,116465000,172198000,-5353000,304000,-1274000,-6777000,-13100000,-14000,-14000,6000,189826.599258183,-10000,-13124000,-13124000,-13124000,-6573000,11000,-0.04596,-0.03109,4.01158,0.47854,6e-05,-0.64514,-0.64514,14.03633,-0.04129,11.05827,10.56943
"36","2020_Q4",17.244375,"Up",-7230000,-5156000,-2074000,-7157000,6490000,169000,6321000,-667000,-667000,1765000,1765000,1765000,1765000,105575000,105575000,29580000,3230000,135155000,594000,1033000,136188000,6430000,137000,6293000,535000,535000,6965000,10688000,6035000,10688000,17653000,182111000,118535000,118535000,136188000,1765000,62000,-8305000,6871000,393000,32496000,32496000,-6000,206855.195254014,-11000,32878000,32878000,32878000,-7095000,0,0.01489,0.01296,19.40488,0.14893,6.7762635780344e-21,0.21225,0.21225,14.25458,0.01366,14.8802,14.75129
"37","2021_Q1",16.8116393442623,"Down",-7094000,-4631000,-2463000,-7054000,-13000,2000,-15000,-7067000,-7067000,-2415000,-2415000,-2415000,-2415000,98679000,98679000,29770000,3506000,128449000,335000,584000,129033000,6142000,244000,5898000,319000,319000,6461000,6e+06,6e+06,6e+06,12461000,182480000,116572000,116572000,129033000,-2415000,209000,-4334000,-440000,-6980000,-12000.0000000075,-12000,140000,140000,96000,-6896000,-6896000,-6896000,-6845000,0,-0.02072,-0.01872,19.88067,0.1069,0,-0.29065,-0.29065,14.01962,-0.0197,14.41622,13.98908
"38","2021_Q2",11.1315873015873,"Down",-8617000,-3957000,-4660000,-8617000,-14000,-34000,20000,-8631000,-8631000,-8631000,-8631000,-8631000,-8631000,114101000,114101000,5500000,5306000,119601000,1e+05,461000,120062000,4723000,357000,4366000,261000,261000,4984000,6106000,6106000,6106000,11090000,183511000,108972000,108972000,120062000,-8631000,170000,1049000,-3e+06,-10412000,2.6e+07,2.6e+07,26000,26000,-166000,15422000,15422000,15422000,-8447000,-1.13686837721616e-13,-0.0792,-0.07189,23.99699,0.10177,0,-1.03777,-1.03777,13.09252,-0.075,13.50787,13.24138
"39","2021_Q3",9.38765625,"Down",-8674000,-4561000,-4113000,-8664000,-6000,2000,-8000,-8670000,-8670000,-8670000,-8670000,-8670000,-8670000,107696000,107696000,5780000,5655000,113476000,79000,793000,114269000,6429000,312000,6117000,348000,348000,6777000,6370000,6370000,6370000,13147000,184331000,101122000,101122000,114269000,-8670000,19000,846000,1426000,-6379000,7.45058059692383e-09,0,38000,38000,-26000,-6405000,-6405000,-6405000,-8645000,0,-0.08574,-0.07587,16.74428,0.13001,0,-1.04246,-1.04246,12.14865,-0.08066,12.45761,12.43029
"40","2021_Q4",8.40140625,"Down",-7497000,-3385000,-4112000,-7497000,9000,2000,6999.99999999994,-7488000,-7488000,-7488000,-7488000,-7488000,-7488000,100650000,100650000,5104000,4988000,105754000,75000,711000,106465000,5704000,149000,5555000,349000,349000,6053000,6288000,6288000,6288000,12341000,184935000,94124000,94124000,106465000,-7488000,71000,421000,-50000.0000000005,-7046000,0,-3.72529029846191e-09,6000,6000,0,-7046000,-7046000,-7046000,-7426000,7.105427357601e-15,-0.07955,-0.07033,17.47134,0.13111,2.64697796016969e-23,-0.89859,-0.89859,11.28535,-0.07457,13.55373,13.42537
"41","2022_Q1",8.93096774193548,"Up",-6789000,-3428000,-3361000,-6569000,292000,42000,250000,-6277000,-6277000,-5641000,-5641000,-5641000,-5641000,94809000,94809000,4868000,4740000,99677000,79000,635000,100312000,4778000,612000,4166000,352000,352000,5130000,6205000,6205000,6205000,11335000,185512000,88977000,88977000,100312000,-5641000,13000,507000,-690000,-5811000,-30000,-30000,0,0,3.63797880709171e-12,-5841000,-5841000,-5841000,-6556000,0,-0.0634,-0.05623,19.43021,0.12739,0,-0.66912,-0.66912,10.55416,-0.05927,14.46141,14.43279
"42","2022_Q2",8.00096774193548,"Down",-7842000,-3621000,-4221000,-7731000,11000,5000,6000.00000000003,-7720000,-7720000,-7720000,-7720000,-7720000,-7720000,86758000,86758000,5887000,5753000,92645000,69000,545000,93190000,4897000,1799000,3098000,345000,345000,5242000,6131000,6131000,6131000,11373000,185994000,81817000,81817000,93190000,-7720000,12000,565000,-890000,-8033000,-36074724.9475846,-36341936.2027398,7860.61067390028,7316.51764765658,-18000,-8051000,-8051000,-8051000,-7719000,0,-0.09436,-0.08284,17.6736,0.13901,-1.65436122510606e-24,-0.92373,-0.92373,9.77985,-0.08778,11.23954,11.22209
"43","2022_Q3",8.30640625,"Up",-8327000,-3682000,-4645000,-7924000,80000,74000,6000,-7844000,-7844000,-7844000,-7844000,-7844000,-7844000,79511000,79511000,5477000,5328000,84988000,70000,465000,85453000,4512000,854000,3658000,320000,320000,4832000,6075000,6075000,6075000,10907000,186599000,74546000,74546000,85453000,-7844000,-2000,575000,26000,-7245000,-134164174.842754,-134965808.608219,3000,3000,-2000,-7247000,-7247000,-7247000,-7926000,0,-0.10522,-0.09179,17.58858,0.14631,0,-0.93755,-0.93755,8.9002,-0.09729,10.03167,10.0342
