"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2016_Q3",6.39859375,"Up",53036000,-21407000,31629000,-42349000,-26316000,-16033000,-10720000,-124000,-61000,-63000,-10844000,-8499000,-509000,-9008000,-9008000,-9008000,-9008000,49679000,49679000,12919000,12919000,45832000,5608000,40224000,108430000,29356000,155102000,23061000,114980000,17061000,184458000,292888000,52687000,6260000,46427000,14458000,14458000,67145000,4010000,4010000,4010000,71155000,575692000,-353776000,-183000,221733000,221733000,292888000,-9008000,3491000,11962000,5665000,12110000,-9526000,22880000,-3136000,1110000,1110000,-1909000,-799000,8175000,8175000,8175000,-7229000,0,-10581000,0.59637,-0.20213,-0.16985,-0.04063,-0.03076,1.17462,1.61486,0.3209,0,-0.09963,-0.09963,0.58658,2.45236,-0.11703,-0.0399,-0.04687,6.87218,4.63424
"12","2016_Q4",7.44428571428571,"Up",71343000,-38699000,32644000,-45402000,-29161000,-16241000,-12758000,-178000,-30000,-148000,-12936000,-15509000,-554000,-16063000,-16063000,-16063000,-16063000,90213000,90213000,9481000,9481000,39588000,4018000,35570000,139282000,30766000,146160000,21659000,114980000,9521000,176926000,316208000,67026000,7992000,59034000,30004000,30004000,97030000,4075000,4075000,4075000,101105000,585090000,-369839000,-148000,215103000,215103000,316208000,-16063000,3933000,15113000,34866000,37849000,-3861000,7.45058059692383e-09,3498000,4000,3999.99999999977,-817000,-813000,40534000,40534000,40534000,-8825000,3.63797880709171e-12,22734000,0.45756,-0.17883,-0.22515,-0.07468,-0.0508,-1.4153,1.43545,0.47003,-3.3881317890172e-21,-0.17638,-0.17638,0.7834,2.36198,0.24963,-0.07329,0.10372,10.22244,7.07109
"13","2017_Q1",7.7108064516129,"Up",63057000,-20572000,42485000,-43831000,-26732000,-17099000,-1346000,-171000,-20000,-151000,-1517000,-1245000,-244000,-1489000,-1489000,-1489000,-1489000,77329000,77329000,10451000,10451000,23593000,2579000,21014000,111373000,35305000,143974000,20748000,116239000,6987000,179279000,290652000,49494000,5175000,44319000,14836000,14836000,64330000,4383000,4383000,4383000,68713000,593443000,-371328000,-176000,221939000,221939000,290652000,-1489000,4519000,9541000,-19035000,-6464000,-6946000,0,-6364000,990000,990000,-1722000,-732000,-13560000,-13560000,-13560000,3173000,0,-22564000,0.67376,-0.02135,-0.02361,-0.00671,-0.00512,15.15379,1.73128,0.3096,0,-0.01627,-0.01627,0.6889,2.42469,-0.24651,-0.00658,-0.0997,-24.37094,57.45097
"14","2017_Q2",10.871746031746,"Up",62602000,-21396000,41206000,-50608000,-31306000,-19302000,-9402000,-218000,-19000,-199000,-9620000,-5754000,-647000,-6401000,-6401000,-6401000,-6401000,70294000,70294000,8787000,8787000,24834000,8197000,16637000,103915000,36778000,140283000,19345000,116239000,4699000,177061000,280976000,44266000,3261000,41005000,18106000,18106000,62372000,4542000,4542000,4542000,66914000,591868000,-377729000,-77000,214062000,214062000,280976000,-6401000,4389000,3780000,-574000,1194000.00000001,-4770000,0,1985000,2763000,2763000,-12618000,-9855000,-6676000.00000001,-6676000.00000001,-6676000.00000001,-5013000,0,-9710000.00000001,0.65822,-0.15019,-0.10225,-0.0299,-0.02278,1.51695,1.66605,0.31259,5.42101086242752e-20,-0.06895,-0.06895,0.67437,2.30596,-0.1046,-0.02928,-0.04442,14.02234,7.47649
"15","2017_Q3",14.2426984126984,"Up",56317000,-17042000,39275000,-44498000,-24599000,-19899000,-5223000,-27000,-18000,-9000,-5250000,-5309000,-716000,-6025000,-6025000,-6025000,-6025000,66086000,66086000,8750000,8750000,14521000,6950000,7571000,89357000,40294000,138506000,17970000,116239000,4297000,178800000,268157000,28670000,809000,27861000,12457000,12457000,41127000,4974000,4974000,4974000,46101000,605734000,-383754000,76000,222056000,222056000,268157000,-6025000,4704000,8464000,8177000,15320000,-7737000,0,-7549000,7002000,7002000,-18982000,-11980000,-4209000,-4209000,-4209000,-519000,0,637000,0.69739,-0.09274,-0.10698,-0.02713,-0.02247,-0.10573,2.17271,0.20761,0,-0.06338,-0.06338,0.59246,2.33605,0.0067,-0.02654,0.00281,127.33333,12.65288
"16","2017_Q4",15.2853968253968,"Up",62640000,-22356000,40284000,-51380000,-31504000,-19876000,-11096000,242000,-19000,261000,-10854000,-10918000,-598000,-11516000,-11516000,-11516000,-11516000,203141000,122227000,9843000,9843000,27820000,3865000,23955000,240804000,45078000,137257000,16599000,116239000,4419000,199348000,440152000,44049000,2109000,41940000,21906000,21906000,65955000,5243000,5243000,5243000,71198000,764205000,-395270000,19000,368954000,368954000,440152000,-11516000,5208000,11576000,8005000,13273000,-7423000,-97918000,-105341000,3800000,3800000,144391000,148191000,56123000,56123000,56123000,-5888000,-4.65661287307739e-10,-4708000,0.6431,-0.17714,-0.18384,-0.03121,-0.02616,0.40882,3.65103,0.19297,8.67361737988404e-19,-0.11166,-0.11166,0.60734,3.57728,-0.04565,-0.03078,-0.01258,34.50085,18.30759
"17","2018_Q1",18.9288524590164,"Up",73507000,-19381000,54126000,-51091000,-28242000,-22849000,3035000,489000,-18000,507000,3524000,3500000,159000,3659000,3659000,3659000,3659000,208199000,126457000,10855000,10855000,9888000,2043000,7845000,228942000,47493000,150190000,21153000,125272000,3765000,217988000,446930000,38123000,7049000,31074000,13440000,13440000,51563000,4305000,4305000,4305000,55868000,782955000,-391611000,-282000,391062000,391062000,446930000,3659000,5036000,10897000,2171000,21763000,-6212000,-4186000,-25329000,10094000,10094000,-2236000,7858000,4292000,4292000,4292000,8071000,0,3871000,0.73634,0.04129,0.04978,0.00936,0.00819,1.05794,4.44004,0.14286,0,0.03355,0.03355,0.67398,3.58562,0.03549,0.00925,0.00979,-25.79594,-68.59934
"18","2018_Q2",25.148125,"Up",76949000,-20224000,56725000,-59125000,-33592000,-25533000,-2400000,544000,-19999.9999999999,564000,-1856000,-2076000,-541000,-2617000,-2617000,-2617000,-2617000,189091000,106827000,8055000,8055000,17697000,10799000,6898000,214843000,48197000,149810000,19902000,125525000,4383000,208635000,423478000,30399000,3981000,26418000,18625000,18625000,49024000,4443000,4443000,4443000.00000001,53467000,764178000,-394305000,138000,370011000,370011000,423478000,-2617000,5217000,11601000,-7648000,6553000,-4883000,9119000,4236000,5222000,5222000,-35640000,-30418000,-19629000,-19629000,-19629000,2817000,7.45058059692383e-09,-9173000,0.73718,-0.03119,-0.03401,-0.00707,-0.00618,3.50516,4.3824,0.1445,1.38777878078145e-17,-0.0236,-0.0236,0.69383,3.33632,-0.08271,-0.00699,-0.0245,-67.12496,78.78792
"19","2018_Q3",29.7909523809524,"Up",74222000,-17784000,56438000,-57134000,-30916000,-26218000,-696000,-2770000,-3664000,894000,-3466000,-3481000,-428000,-3909000,-3909000,-3909000,-3909000,465864000,384926000,8096000,8096000,16449000,8707000,7742000,490409000,51516000,162689000,22591000,135842000,4256000,230162000,720571000,34797000,5337000,29460000,13710000,13710000,48507000,6767000,6767000,283345000,331852000,787594000,-398214000,-661000,388719000,388719000,720571000,-3909000,5448000,15305000,118000,16962000,-5204000,-3773000,-23415000,12828000,12828000,-63901000,284528000,278075000,278075000,278075000,4752000,276578000,94000,0.76039,-0.00938,-0.05267,-0.01006,-0.00542,-0.02405,10.11007,0.85371,0.38383,-0.03467,-0.03467,0.6583,3.44768,0.00083,-0.00582,0.00014,-39.83291,271.96264
"20","2018_Q4",26.9236507936508,"Down",74237000,-19918000,54319000,-64735000,-35690000,-29045000,-10416000,-2563000,-3772000,1209000,-12979000,-12996000,-713000,-13709000,-13709000,-13709000,-13709000,459918000,379020000,8620000,8620000,33750000,7099000,26651000,502288000,52945000,182098000,27813000,149762000,4523000,250004000,752292000,51282000,4283000,46999000,25281000,25281000,76563000,7016000,7016000,287148000,363711000,801470000,-411924000,-965000,388581000,388581000,752292000,-13709000,5966000,17320000,11575000,21152000,-7961000,1258000,-26915000,5413000,5413000,-5355000.00000001,75000,-5688000.00000006,-5688000.00000006,-5688000,-4450000,280132000,-123000,0.7317,-0.14031,-0.18467,-0.03528,-0.01822,0.00897000000000005,6.56045,0.936,0.37237,-0.12003,-0.12003,0.65,3.40231,-0.00108000000000001,-0.02029,-0.000180000000000001,40.40135,17.26056
"21","2019_Q1",36.4331147540984,"Up",95676000,-22070000,73606000,-65725000,-32230000,-33495000,7881000,-2449000,-3769000,1320000,5432000,5095000,252000,5347000,5347000,5347000,5347000,468009000,374664000,12733000,12733000,14183000,4673000,9510000,494925000,59904000,190057000,25915000,149524000,14618000,266013000,760938000,42254000,8177000,34077000,17418000,17418000,59672000,6964000,6964000,290632000,350304000,818229000,-406576000,-1019000,410634000,410634000,760938000,5347000,6174000,18133000,792000,30446000,-13175000,-13280000,-36455000,-14347000,5653000,16580000,2233000,-3776000,-3776000,-3776000,14055000,283668000,1420000,0.76933,0.08237,0.05589,0.01302,0.00703,0.26557,8.29409,0.85308,0.37279,0.04644,0.04644,0.83095,3.56636,0.01233,0.00762,0.00202,-13.11569,-23.39056
"22","2019_Q2",37.6857142857143,"Up",97409000,-23335000,74074000,-75079000,-42387000,-32692000,-1005000,-2665000,-4232000,1567000,-3670000,-3692000,-626000,-4318000,-4318000,-4318000,-4318000,984580000,914500000,8870000,8870000,25430000,15739000,9691000,1018880000,72937000,204865000,24097000,149481000,31287000,290335000,1309215000,42047000,6341000,35706000,30916000,26276000,72963000,18735000,18735000,808115000,881078000,840042000,-411005000,-9e+05,428137000,428137000,1309215000,-4318000,6785000,18999000,-3525000,17941000,-14060000,27233000,13173000,6981999.99999999,6982000,-181094000,508482000,539596000,539596000,539596000,5780000,789380000,-11179000,0.76044,-0.0103199999999999,-0.04433,-0.01009,-0.0033,2.58893,13.96434,2.05793,0.60294,-0.03699,-0.03699,0.83448,3.66775,-0.09577,-0.00349,-0.00904,-33.77163,194.22886
"23","2019_Q3",39.6403125,"Up",93862000,-20518000,73344000,-66482000,-34417000,-32065000,6862000,-8261000,-13514000,5253000,-1399000,-1446000,-583000,-2029000,-2029000,-2029000,-2029000,815191000,555792000,5948000,5948000,26760000,12152000,14608000,847899000,76962000,202140000,22374000,149466000,30300000,567784000,1415683000,40556000,3131000,37425000,23595000,18821000,64151000,17835000,17835000,891961000,956112000,873223000,-413034000,-618000,459571000,459571000,1415683000,-2029000,7149000,28440000,-3655000,29905000,-9431000,-468491000,-477922000,10226000,10226000,-18357000,89455000,-358562000,-358562000,-358562000,14011000,874126000,1508000,0.7814,0.07311,-0.02162,-0.00441,-0.00143,-0.74322,13.21724,2.08044,0.61746,-0.01708,-0.01708,0.79007,3.86838,0.01269,-0.0015,0.00112,4.20634,8.5886
"24","2019_Q4",34.9884375,"Down",94151000,-22164000,71987000,-77016000,-40574000,-36442000,-5029000,-5797000,-13548000,7751000,-10826000,-10854000,-623000,-11477000,-11477000,-11477000,-11477000,795849000,450457000,13678000,13678000,34542000,9654000,24888000,844069000,77667000,201838000,20622000,149068000,32148000,619623000,1463692000,56396000,4197000,52199000,32439000,27457000,88835000,19130000,19130000,906345000,995180000,894781000,-424511000,-1758000,468512000,468512000,1463692000,-11477000,7435000,30551000,12220000,38729000,-8029000,-137606000,-145635000,10515000,10515000,-8825000,1689999.99999994,-105216000,-105216000,-105216000,2406000,887215000,7220000,0.76459,-0.05341,-0.1219,-0.0245,-0.00784,-0.62908,9.50154,2.12413,0.60615,-0.09555,-0.09555,0.78388,3.90072,0.06011,-0.00835,0.00525,37.97423,-18.16783
"25","2020_Q1",39.058064516129,"Up",125504000,-26165000,99339000,-82350000,-43777000,-38573000,16989000,-8065000,-13557000,5492000,8924000,9021000,-802000,8219000,8219000,8219000,8219000,768594000,387520000,11529000,11529000,27144000,10538000,16606000,807267000,87359000,283889000,34667000,214513000,34709000,681731000,1488998000,47326000,7362000,39964000,24063000,18780000,71389000,18477000,18477000,918780000,990169000,916217000,-416292000,-1096000,498829000,498829000,1488998000,8219000,8878000,35060000,-25329000,26828000,-10806000,-3086000,-93041000,-12623000,7377000,16505000,3882000,-62331000,-62331000,-62331000,25867000,900303000,-9466000,0.79152,0.13537,0.06549,0.01648,0.00552,-1.15172,11.308,1.98499,0.60464,0.06783,0.06783,1.03573,4.1166,-0.07812,0.0058,-0.00668,5.09178,7.7526
"26","2020_Q2",53.4319047619048,"Up",131590000,-42390000,89200000,-85924000,-46383000,-39541000,3275999.99999999,-8467000,-13427000,4960000,-5191000,-5191000,-522000,-5713000,-5713000,-5713000,-5713000,763895000,359101000,6493000,6493000,37380000,17852000,19528000,807768000,97889000,316233000,32075000,214323000,69835000,687236000,1495004000,60846000,13605000,47241000,40987000,35753000,101833000,16995000,16995000,930244000,1032077000,890382000,-422093000,-5362000,462927000,462927000,1495004000,-5713000,9243000,34373000,25064000,62967000,-56795000,9363000.00000001,-47262000,2667000,2667000,-46836000,-44169000,-28464000,-28464000,-28464000,12519000,913249000,-18690000,0.67786,0.0249,-0.04342,-0.01234,-0.00381999999999999,3.27149,7.93228,2.22946,0.61087,-0.04666,-0.04666,1.07484,3.78122,-0.15266,-0.0041,-0.01342,11.93019,45.59035
"27","2020_Q3",73.62703125,"Up",153009000,-43524000,109485000,-87424000,-47050000,-40374000,22061000,-10185000,-13425000,3240000,11876000,11876000,-1287000,10589000,10589000,10589000,10589000,702594000,285064000,8834000,8834000,30710000,16060000,14650000,742138000,105640000,411608000,59522000,284682000,67404000,797740000,1539878000,56488000,6421000,50067000,34005000,28320000,90493000,24814000,24814000,951007000,1041500000,908032000,-411504000,1850000,498378000,498378000,1539878000,10589000,10591000,37699000,359000,59238000,-24984000,-14685000,-131220000,5372000,5372000,-7268000,-1896000,-73878000,-73878000,-73878000,32652000,926193000,9314000,0.71555,0.14418,0.06921,0.02125,0.00688,0.87959,8.20105,2.08978,0.60147,0.0855,0.07409,1.23552,4.02431,0.07521,0.00731,0.00643,6.84794,10.13549
"28","2020_Q4",79.4553125,"Up",154018000,-62370000,91648000,-109450000,-65409000,-44041000,-17802000,-18272000,-17468000,-804000,-36074000,-36074000,-1066000,-37140000,-37140000,-37140000,-37140000,1250868000,527541000,12487000,12487000,36141000,15082000,21059000,1299496000,113058000,407842000,55386000,284809000,67647000,1042161000,2341657000,85362000,5838000,79524000,57593000,51941000,142955000,16326000,16326000,1553310000,1696265000,1092703000,-448644000,1333000,645392000,645392000,2341657000,-37140000,13254000,41676000,28660000,46450000,-25319000,-550738000,-572460000,1197000,1197000.00000001,-57106000,768510000,242500000,242500000,242500000,-4548000,1536984000,-140999.999999996,0.59505,-0.11558,-0.24114,-0.05755,-0.01586,0.00379999999999969,9.09025,2.62827,0.65637,-0.29426,-0.34666,1.22027,5.11339,-0.00112,-0.01689,-5.99999999999993e-05,-62.91029,-16.07213
"29","2021_Q1",95.2847540983607,"Up",205721000,-57133000,148588000,-99370000,-52421000,-46949000,49218000,-20690000,-21977000,1287000,28528000,28528000,-2485000,26043000,26043000,26043000,26043000,1145420000,479853000,12913000,12913000,24622000,12776000,11846000,1182955000,125807000,418868000,51249000,285214000,82405000,1068303000,2251258000,77112000,8547000,68565000,32620000,32620000,109732000,24969000,24969000,1531891000,1641623000,1030706000,-422601000,1530000,609635000,609635000,2251258000,26043000,13930000,48562000,-20748000,67787000,-32786000,50385000,18156000,6247000,6247000,4225000,-133818000,-47875000,-47875000,-47875000,63148000,1506922000,12099000,0.72228,0.23925,0.12659,0.04272,0.01157,0.46458,10.7804,2.6928,0.66937,0.20191,0.20191,1.59496,4.72651,0.0938,0.01216,0.00565,5.72468,7.34491
"30","2021_Q2",82.8395238095238,"Down",198378000,-71384000,126994000,-110215000,-64084000,-46131000,16779000,-79137000,-1929000,-77208000,-62358000,-62358000,-2821000,-65179000,-65179000,-65179000,-65179000,1872112000,656168000,11633000,11633000,51881000,25256000,26625000,1935626000,134093000,412618000,49798000,290601000,72219000,1257935000,3193561000,92991000,14902000,78089000,48608000,48608000,251093000,25179000,25179000,1699125000,1950218000,1645493000,-400912000,-1238000,1243343000,1243343000,3193561000,-65179000,14846000,114909000,8996999.99999999,73573000,-23511000,-744433000,-764952000,1091813000,1091813000,-34364000,867600000,176221000,176221000,176221000,31625000,1783440000,19932000,0.64016,0.08458,-0.32856,-0.05242,-0.02041,-0.3058,7.7088,1.56853,0.55845,-0.48514,-0.48514,1.47655,9.25437,0.14836,-0.02136,0.00653,-2.80385999999999,-5.2847
