"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","trading_account_profits_losses","commissions_fees_earned","other_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","interbank_assets","other_interbank_assets","short_long_term_investments","trading_securities","investment_securities_available_for_sale","investment_securities_held_to_maturity","net_loans","reserve_for_loan_losses","total_loans","net_fixed_assets","property_plant_equipment_net","goodwill","other_intangible_assets","other_assets","total_assets","total_deposits","interest_bearing_deposits","saving_deposits","time_deposits","other_deposits","short_term_debt","long_term_debt","other_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","provision_for_loan_losses_2","non_cash_items","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","trading_assets_liabilities","net_change_in_operating_loans","accrued_interest_receivable","other_operating_assets_liabilities","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","capital_expenditures","net_change_in_investments","decrease_in_investments","decrease_in_htm_investments","decrease_in_afs_investments","increase_in_investments","increase_in_afs_investments","net_change_in_other_investments","net_change_in_loans_interbank","net_change_in_customer_loans","net_change_in_interbank_assets","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repayment_of_short_term_debt_net","cash_from_repayment_of_long_term_debt_net","repayments_of_long_term_debt","net_change_in_deposits","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",76.7804838709677,"Up",1113638000,662722000,744851000,-82129000,450916000,8469000,128577000,319170000,-4.6e+07,1067638000,-616027000,-616027000,451611000,446428000,446428000,-152966000,293462000,293462000,293462000,293462000,1622928000,411994000,411994000,7150848000,526844000,5183878000,1121325000,63190732000,-921223000,64111955000,589035000,589035000,3524625000,129628000,4465443000,81085233000,64007258000,38136189000,33163780000,4972409000,25871069000,592154000,4969536000,1570758000,71139706000,870416000,3014950000,63702000,2951248000,6286785000,-226624000,9945527000,9945527000,81085233000,293462000,51572000,4.6e+07,95351000,96635000,-1284000,-657237000,12305000,-494642000,-12443000,-162457000,-170852000,-19055000,-19055000,491496000,494673000,80084000,414589000,-19157000,-6307000,15980000,-92949000,-766699000,657723000,-49811000,329681000,-92804000,-1104195000,-383421000,-720774000,-720774000,1461782000,-223515000,41268000,200097000,200097000,200097000,503183000,5561690000,-20143000,0.40553,0.26352,0.02951,0.00362,-0.06864,7.15293,0.06859,2.33236,2.3236,8.8509,72.12658,-0.16009,0.73758,0.00476,-0.00025,0.31624,7.82769,8.72158
"12","2013_Q1",80.4843333333333,"Up",1125527000,667422000,745353000,-77931000,458105000,10356000,127236000,335004000,-4.9e+07,1076527000,-626146000,-626146000,450381000,445440000,445440000,-149247000,296193000,296193000,296193000,296193000,1983615000,132945000,129945000,6563327000,488966000,4739437000,1032276000,65645097000,-925860000,66570957000,594652000,594652000,3524625000,115763000,4448779000,83008803000,65611253000,38346313000,33783947000,4562366000,27264940000,1074482000,4607758000,1512717000,72806210000,872500000,3089608000,64088000,3025520000,6477276000,-236791000,10202593000,10202593000,83008803000,296193000,49773000,4.9e+07,21361000,23159000,-1798000,-390122000,-12160000,-396233000,-3186000,21457000,26205000,-25572000,-25572000,532787000,521101000,91346000,429755000,-4467000,-2046000.00000001,16153000,-1968205000,-2100408000,282049000,126554000,-1334436000,-112192000,129474000,482328000,-352854000,-352854000,1606257000,48379000,1671918000,363687000,363687000,363687000,500154000,5682240000,233707000,0.40015,0.26316,0.02903,0.00357,0.78904,7.13605,0.06845,2.33359,2.31741,8.86758,73.50813,1.84129,0.88392,0.00492,0.00282,0.37878,7.39497,8.21221
"13","2013_Q2",80.7153125,"Up",1092588000,656050000,729975000,-73925000,436538000,8927000,126660000,310751000,-3.8e+07,1054588000,-635596000,-635596000,418992000,415336000,415336000,-141223000,274113000,274113000,274113000,274113000,1231091000,1899746000,1304770000,6080975000,420144000,4400742000,959199000,64997150000,-927117000,65924267000,589570000,589570000,3524625000,102420000,4386380000,82811957000,65089726000,39328058000,35024025000,4304033000,25761668000,374593000,5394563000,1530118000,7.2389e+10,874627000,3126259000,64476000,3061783000,6645195000,-223124000,10422957000,10422957000,82811957000,274113000,50578000,3.8e+07,16577000,19253000,-2676000,319130000,22156000,205643000,-2872000,94203000,698398000,-16671000,-16671000,413620000,432469000,79164000,353305000,-20607000,-14597000,1758000,-779737000,404142000,-1174825000,11015000,-371773000,-95557000,96411000,-699889000,796300000,-3460000,-519555000,31528000,-487173000,-160548000,-160548000,-160548000,469570000,5769156000,913252000,0.38349,0.25088,0.0263,0.00331,3.33166,6.94515,0.06967,2.14706,2.13092,8.55797,74.78973,7.15328,0.74847,0.00446,0.01103,0.3486,9.6643,10.83091
"14","2013_Q3",91.18796875,"Up",1188729000,677587000,750207000,-72620000,511142000,9224000,128975000,316486000,-5.7e+07,1131729000,-598591000,-598591000,533138000,530685000,530685000,-182219000,348466000,348466000,348466000,348466000,1350015000,2679841000,2555354000,5588761000,378235000,3085086000,1819691000,65044801000,-927065000,65971866000,595536000,595536000,3524625000,89918000,4355508000,83229005000,65661470000,39510217000,35455693000,4054524000,26151253000,307740000,5122398000,1421067000,72512675000,876796000,3177375000,64709000,3112666000,6887070000,-224911000,10716330000,10716330000,83229005000,348466000,49274000,5.7e+07,-45338000,11120000,-56458000,-491304000,-7793999.99999999,-426427000,1741000,-58824000,-81901999.9999998,-26992000,-26992000,1407441000,1442356000,62091000,1380265000,-30055999.9999999,-24814000,-4859000,-1827235000,-632995000,-1250584000,27057000,-419729000,-113010000,-320571000,-66853000,-253718000,-253718000,573656000,9991000,150066000,-351565000,-351565000,-351565000,582412000,5430138000,246335000,0.44849,0.29314,0.03252,0.00419,0.70691,6.76656,0.06524,2.71698,2.70087,9.26848,76.71852,1.92067,0.88114,0.00554,0.00296,0.32431,7.00556,7.65303
"15","2013_Q4",90.115625,"Down",1154377000,673108000,742686000,-69578000,481269000,8987000,130710000,341572000,-4.8e+07,1106377000,-658626000,-658626000,447751000,443870000,443870000,-149391000,294479000,294479000,294479000,294479000,1941944000,2043620000,1925811000,8681143000,371370000,4692180000,3319114000,62742672000,-916370000,63659042000,614795000,614795000,3524625000,79290000,4799396000,84427485000,66552141000,40368349000,36536906000,3831443000,26183792000,246019000,5121326000,1491797000,73411283000,879010000,3258078000,65097000,3192981000,7074287000,-195173000,11016202000,11016202000,84427485000,294479000,50134000,4.8e+07,-2385000,62856000,-65241000,-503047000,-9590000,-587994000,-1688000,96225000,-112819000,-42301000,-42301000,-1259209000,310641000,75372000,235269000,-1577120000,-1947000,7270000,1531090000,1134344000,629543000,-212000,229368000,-96445000,-63480000,-61721000,-1759000,-1759000,550210000,78417000,468702000,585251000,585251000,585251000,497885000,5367345000,101928000,0.38787,0.2551,0.02673,0.00349,0.34613,6.66394,0.06357,2.27955,2.26035,8.93598,78.47156,0.78902,0.74658,0.00463,0.00121,0.32751,6.8799,7.65024
"16","2014_Q1",92.0808196721311,"Up",1118866000,666484000,734466000,-67982000,452382000,13690000,126243000,312449000,-4.2e+07,1076866000,-695053000,-695053000,381813000,375677000,375677000,-154255000,221422000,221422000,221422000,221422000,1573361000,1750711000,1651138000,9172628000,376131000,4531786000,3966130000,63156483000,-916676000,64073159000,633520000,633520000,3524625000,68851000,5282212000,85162391000,67118612000,40145418000,36621580000,3523838000,26973194000,260455000,5108870000,1368922000,73856859000,881500000,3297272000,65258000,3232014000,7188004000,-61244000,11305532000,11305532000,85162391000,221422000,53749000,4.2e+07,43041000,46556000,-3515000,68435000,-16414000,134716000,-7704000,-42163000,428647000,-43599000,-43599000,-328577000,218737000,71210000,147527000,-547212000,-156573000,-102000,-1327114000,-782371000,274673000,57846000,-1641444000,-113787000,12161000.0000001,14436000,-2275000,-2275000,909573000,18031000,825978000,-386819000,-386819000,-386819000,435562000,5369325000,614653000,0.34125,0.1979,0.01959,0.0026,2.77593,6.53281,0.06305,1.7097,1.69703,8.63929,80.48886,4.74603,0.8786,0.00394,0.00722,0.51389,8.71509,9.94195
"17","2014_Q2",97.79,"Up",1080994000,656433000,722952000,-66519000,424561000,6447000,120698000,297416000,-3.2e+07,1048994000,-690234000,-690234000,358760000,354306000,354306000,-125289000,229017000,229017000,229017000,229017000,1671052000,3391251000,3299185000,10679056000,314807000,6191571000,3873985000,63218310000,-916768000,64135078000,627966000,627966000,3524625000,58789000,5359311000,88530360000,68699366000,41289523000,37887008000,3402515000,27409843000,230209000,6251197000,1462725000,76643497000,1231500000,3368096000,65694000,3302402000,7309912000,-22645000,11886863000,11886863000,88530360000,229017000,52562000,3.2e+07,41404000,42256000,-852000,206115000,27893000,122406000,-3185000,59001000,561098000,-16725000,-16725000,-1454568000,258629000,92305000,166324000,-1713085000,-1709847000,-112000,-1991508000,-220551000,-1648047000,21763000,-3441038000,-98486000,1116197000,-30246000,1146443000,-352245000,1581705000,24208000,2970124000,90184000,90184000,90184000,411322000,6481406000,726001000,0.33188,0.21186,0.01927,0.00259,3.17007,6.44775,0.07321,1.7588,1.74654,8.3018,81.83088,5.57553,0.75635,0.0037,0.0082,0.43004,11.69486,13.40828
"18","2014_Q3",99.35671875,"Up",1129581000,669114000,734290000,-65176000,460467000,8042000,124855000,327570000,-3e+07,1099581000,-667660000,-667660000,431921000,427866000,427866000,-143530000,284336000,284336000,284336000,284336000,1827197000,3122769000,3032530000,12433520000,313325000,8008779000,3760665000,63830027000,-917666000,64747693000,625006000,625006000,3524625000,49555000,5422303000,90835002000,69829255000,41495266000,38209271000,3285995000,28333989000,161631000,7391931000,1283430000,78666247000,1231500000,3413270000,65956000,3347314000,7481077000,42908000,12168755000,12168755000,90835002000,284336000,50735000,3e+07,-2431000,-1292000,-1139000,-454234000,-12725000,-314927000,13221000,-139803000,-91594000,-21022000,-21022000,-1631712000,327764000,118700000,209064000,-1907418000,-1899911000,-52058000,-214391000,-346252000,266655000,-4773000,-1871898000,-115996000,1072322000,-68578000,1140900000,-8100000,1130765000,30719000,2117810000,154318000,154318000,154318000,482656000,7553562000,150930000,0.38237,0.25172,0.02337,0.00313,0.53082,6.46461,0.08316,2.17283,2.15681,8.63198,83.57982,1.15337,0.88641,0.00441,0.00166,0.40795,11.86428,13.2579
"19","2014_Q4",99.65828125,"Up",1124284000,669059000,743023000,-73964000,455225000,6988000,127487000,320750000,-2.9e+07,1095284000,-665359000,-665359000,429925000,425811000,425811000,-150467000,275344000,275344000,275344000,275344000,1445877000,7753830000,7676064000,13645281000,296913000,9384017000,3635815000,64653726000,-918633000,65572359000,612076000,612076000,3524625000,42197000,5550730000,97228342000,74341502000,44560865000,41389867000,3170998000,29780637000,164609000,9061391000,1327524000,84895026000,1231500000,3443764000,66050000,3377714000,7642995000,15057000,12333316000,12333316000,97228342000,275344000,49445000,2.9e+07,-8967000,-7187000,-1780000,-39816000,-4005000,-31904000,-398000,-3509000,305006000,-12653000,-12653000,-1245247000,437483000,126672000,310811000,-1704945000,-1700488000,22215000,-5580349000,-853769000,-4643534000,21717000,-6816532000,-110602000,1687471000,2978000,1684493000,-13297000,4513017000,27847000,6117733000,-393793000,-393793000,-393793000,479370000,9.226e+09,577368000,0.3824,0.24491,0.02233,0.00283,2.0969,6.88339,0.09489,2.09748,2.08379,8.56441,84.5698,4.39819,0.84253,0.00397,0.00594,0.40169,16.22989,18.09647
"20","2015_Q1",98.8481967213115,"Down",1120860000,681840000,756612000,-74772000,439020000,8397000,122128000,308495000,-3.3e+07,1087860000,-666221000,-666221000,421639000,434262000,434262000,-156713000,277549000,277549000,277549000,277549000,1289965000,6554259000,6470867000,13301717000,308175000,9156932000,3507868000,65749394000,-919562000,66668956000,612984000,612984000,3524625000,35027000,5617564000,96685535000,73582053000,46457591000,43393618000,3063973000,27124462000,192676000,9006959000,1567951000,84349639000,1231500000,3475663000,66157000,3409506000,7807119000,-178386000,12335896000,12335896000,96685535000,277549000,45988000,3.3e+07,55983000,59071000,-3088000,-87989000.0000001,10460000,-126156000,5525000,22182000,324531000,-22761000,-22761000,400366000,443552000,131322000,312230000,-42979999.9999998,-36898999.9999998,-206000.000000007,60668000,-1000590000,1205197000,-19176000,419097000,-116349000,-24565999.9999998,28067000,-52632999.9999995,-52633000,-758790000,5791000,-893914000,-150286000,-150286000,-150286000,467627000,9199635000,513590000,0.37617,0.24762,0.0225,0.00287,1.85045,6.83774,0.09515,2.11138,2.09816,8.52663,84.47363,3.90699,0.88509,0.00407,0.00531,0.4192,16.91449,18.75934
"21","2015_Q2",101.125079365079,"Up",1099791000,659588000,738087000,-78499000,440203000,6231000,117805000,316265000,-3.8e+07,1061791000,-686375000,-686375000,375416000,375416000,375416000,-133803000,241613000,241613000,241613000,241613000,1269816000,6388528000,6291491000,14756355000,363085000,10703500000,3360812000,66177669000,-921373000,67099042000,602096000,602096000,3524625000,28234000,5630460000,98377783000,73594120000,44084918000,41138792000,2946126000,29509202000,193495000,10509143000,1552724000,85849482000,1231500000,3512162000,66455000,3445707000,7934820000,-150181000,12528301000,12528301000,98377783000,241613000,43170000,3.8e+07,35986000,37052000,-1066000,99597000,-18206000,197708000,-2200000,-77705000,458366000,-9598000,-9598000,-1360099000,519050000,148708000,370342000,-1878933000,-1871491000,-216000,-410699000,-666220000,179376000,-21940000,-1802336000,-110999000,1499022000,819000,1498203000,-1797000,-4543000,-46014000,1337466000,-6504000,-6504000,-6504000,418586000,10702638000,642388000,0.34135,0.21969,0.01929,0.00246,2.65875,6.85244,0.10879,1.82972,1.8198,8.32866,85.55007,4.86477,0.84059,0.00358,0.00653,0.45941,22.53497,25.12632
