"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"34","2019_Q3",1.43265625,"Down",5911000,-3513000,2398000,-2963000,-1977000,-986000,-565000,-45000,-74000,29000,-610000,-610000,-19000,-629000,-629000,-629000,-629000,14002000,14002000,3868000,3868000,9983000,688000,688000,28541000,1074000,286000,286000,1360000,29901000,3440000,1953000,1487000,2068000,2068000,11618000,399000,399000,12017000,84054000,-68393000,2241000,17902000,17884000,29901000,-629000,119000,221000,-1697000,-1986000,-19000,-19000.0000000009,203000,203000,203000,-1802000,-1802000,-60000,-1862000,-446000,6110000,-2143000,0.40568,-0.0955800000000001,-0.10641,-0.03517,-0.02104,3.407,2.45662,0.67194,0.20434,-0.02821,-0.02821,0.26514,0.803,-0.09612,-0.02579,-0.08785,17.69507,13.96814
"35","2019_Q4",1.86953125,"Up",3163000,-2891000,272000,-3388000,-1850000,-931000,-3116000,-87000,-76000,-11000,-3203000,-3203000,2000,-3201000,-3201000,-3201000,-3201000,12300000,12300000,1944000,1944000,9189000,787000,787000,24220000,975000,256000,256000,1231000,25451000,2642000,557000,2085000,1267000,1267000,10019000,391000,391000,10410000,84402000,-71594000,2252000,15060000,15041000,25451000,-3201000,103000,225000,1037000,-1836000,-21000,-21000,123000,123000,123000,-1734000,-1734000,32000,-1702000,-3013000,6110000,-1999000,0.08599,-0.98514,-1.01201,-0.21282,-0.12577,0.62449,2.41741,0.69211,0.24007,-0.14253,-0.14253,0.14084,0.67059,-0.08901,-0.14859,-0.0928,2.05443,1.98652
"36","2020_Q1",1.92887096774194,"Up",7242000,-3863000,3379000,-3256000,-2018000,-1120000,123000,-7000,-24000,17000,116000,116000,-6000,110000,110000,110000,110000,5428000,5428000,4859000,4859000,9061000,686000,686000,20034000,1045000,228000,228000,1273000,21307000,3967000,1933000,2034000,1545000,1545000,5512000,342000,342000,5854000,84726000,-71484000,2230000,15472000,15453000,21307000,110000,98000,2e+05,-1252000,-844000,-49000,-49000,124000,124000,-5986000,-6879000,-6879000,7000,-6872000,221000,0,-1074000,0.46658,0.0169800000000003,0.01519,0.00712,0.00516,-9.76364,3.63462,0.37883,0,0.00487000000000001,0.00487000000000004,0.32036,0.68442,-0.04751,0.00696,-0.068,-24.56109,-44.13008
"37","2020_Q2",1.72285714285714,"Down",5533000,-3262000,2271000,-2700000,-1808000,-892000,-429000,22000,12000,10000,-407000,-407000,-6000,-413000,-413000,-413000,-413000,5266000,5266000,3287000,3287000,9217000,523000,523000,18293000,1e+06,2732000,2732000,3732000,22025000,3319000,1742000,1577000,1221000,615000,4540000,2199000,2199000,6739000,84987000,-71897000,2216000,15306000,15286000,22025000,-413000,95000,199000,-71000,-190000,-50000,-50000,244150.717766574,244150.717766574,62000,-178000,-178000,16000,-162000,-334000,0,-449000,0.41045,-0.07753,-0.07464,-0.0270199999999999,-0.01875,1.08717,4.0293,0.44086,0,-0.01819,-0.01819,0.24366,0.67404,-0.01977,-0.02362,-0.02568,15.76647,12.27506
"38","2020_Q3",1.855,"Up",6874000,-3672000,3202000,-2952000,-2157000,-795000,250000,7000,2000,5000,257000,257000,-6000,251000,251000,251000,251000,5302000,5302000,5231000,5231000,9800000,534000,534000,20867000,860000,2573000,2573000,3433000,24300000,3916000,2320000,1596000,2428000,1809000,6344000,1988000,1988000,8332000,85423000,-71646000,2211000,15988000,15968000,24300000,251000,98000,205000,-640000,-86000,-73000,-73000,293000,293000,231000,72000,72000,-36000,36000,348000,-2.3283064365387e-10,-359000,0.46581,0.0363699999999999,0.03651,0.01572,0.01033,-1.43028,3.28925,0.52179,0,0.011,0.011,0.3012,0.70055,-0.01573,0.01398,-0.01999,-15.23563,-21.208
"39","2020_Q4",1.67046875,"Down",6111000,-3120000,2991000,-2736000,-1891000,-845000,255000,4000,13000,-9000,259000,259000,-14000,245000,245000,245000,245000,5058000,5058000,3511000,3511000,9330000,586000,586000,18485000,783000,2420000,2420000,3203000,21688000,2298000,925000,1373000,1029000,385000,3327000,1806000,1806000,5133000,85760000,-71401000,2216000,16575000,16555000,21688000,245000,105000,205000,-919000,-364000,-26000,-26000,130000,130000,130000,-260000,-260000,16000,-244000,360000,0,-571000,0.48945,0.04173,0.04009,0.0148,0.0113,-2.33061,5.55606,0.31006,0,0.01068,0.01052,0.2664,0.72257,-0.02489,0.01334,-0.0311,-14.05,-19.83529
"40","2021_Q1",2.58147540983607,"Up",3773000,-3866000,-93000,-2528000,-1674000,-854000,-2621000,-34000,-17000,-17000,-2655000,-2875000,-9999.99999999999,-2885000,-2885000,-2885000,-2885000,5433000,5433000,3717000,3717000,7989000,512000,512000,17651000,663000,2260000,2260000,2923000,20574000,2384000,945000,1439000,828000,170000,3865000,1627000,2653000,6518000,86129000,-74286000,2234000,14077000,14056000,20574000,-2885000,86000,346000,1069000,-1384000,-14000,-14000,80000,80000,1749000,351000,351000,24000,375000,-2535000,1679000,-1470000,-0.02465,-0.69467,-0.76464,-0.20525,-0.14023,0.50953,4.56688,0.46372,0.08161,-0.12511,-0.12705,0.16362,0.61048,-0.06375,-0.16617,-0.08467,1.48087,1.43228
"41","2021_Q2",2.39238095238095,"Down",2012000,-1785000,227000,-2414000,-1514000,-9e+05,-2187000,-107000,-13000,-94000,-2294000,-108000,215000,107000,107000,107000,107000,6313000,6313000,1116000,1116000,8102000,439000,439000,15970000,622000,2099000,2099000,2721000,18691000,2182000,809000,1373000,1058000,387000,4173000,1451000,2197000,6370000,86589000,-74201000,-67000,12321000,12321000,18691000,107000,82000,-2131000,2585000,643000,-47000,-47000,807208.935267505,807208.935267505,190000,786000,786000,94000,880000,-2105000,1679000,218000,0.11282,-1.08698,0.05318,0.00867999999999994,0.00572000000000003,2.03738,3.82698,0.517,0.08983,0.0046,0.00456,0.08655,0.52998,0.00938,0.00692999999999996,0.01411,2.20143,2.11888
"42","2021_Q3",7.18296875,"Up",1683000,-1306000,377000,-2321000,-1501000,-820000,-1944000,-18000,-12000,-6000,-1962000,-1962000,-4000,-1966000,-1966000,-1966000,-1966000,3449000,3449000,1429000,1429000,9057000,433000,433000,14368000,683000,2060000,2060000,2743000,17111000,2499000,1155000,1344000,771000,66000,4483000,1370000,1836000,6319000,87021000,-76167000,-62000,10792000,10792000,17111000,-1966000,83000,257000,-1272000,-2898000,-147000,-147000,1742890.83531712,1742890.83531712,175000,-2870000,-2870000,6000,-2864000,-1861000,1679000,-3276000,0.224,-1.15508,-1.16815,-0.18217,-0.1149,1.66633,3.205,0.58553,0.09812,-0.08403,-0.08478,0.07194,0.46128,-0.14002,-0.14204,-0.23669,0.9511,0.91049
"43","2021_Q4",19.53625,"Up",5267000,-3373000,1894000,-2546000,-1643000,-903000,-652000,-49000,-10000,-39000,-701000,-701000,-34000,-735000,-735000,-735000,-735000,4738000,4738000,2721000,2721000,8339000,571000,571000,16369000,617000,1905000,1905000,2522000,18891000,2710000,1086000,1624000,2709000,587000,6911000,1308000,1495000,8406000,87410000,-76880000,-45000.0000000001,10485000,10485000,18891000,-735000,74000,271000,134000,-256000,-11000,-11000,1972127.31770818,1972127.31770818,1518000,1251000,1251000,38000,1289000,-578000,1679000,-421000,0.3596,-0.12379,-0.13955,-0.0701,-0.03891,0.57279,2.36854,0.80172,0.08888,-0.03152,-0.03152,0.22584,0.44958,-0.01805,-0.05456,-0.03125,5.29239,4.69172
