"","YQ","p","d","revenue","cost_of_revenue","cost_of_goods_services","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","short_term_debt","current_portion_of_long_term_debt","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","stock_based_compensation","change_in_working_capital","change_in_accounts_receivable","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","acquisition_of_intangible_assets","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repayment_of_long_term_debt_net","repayments_of_long_term_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q4",32.25234375,"Up",1.387e+09,-5.73e+08,-5.73e+08,8.14e+08,-5.51e+08,-4.34e+08,-1.17e+08,2.63e+08,-7.2e+07,-7.7e+07,-7.8e+07,1.91e+08,-2e+07,1.71e+08,-4e+07,1.31e+08,1.31e+08,3e+06,1.34e+08,1.34e+08,7.37e+08,7.37e+08,1.138e+09,1.138e+09,3.36e+08,3.36e+08,2.211e+09,5.55e+08,1.2949e+10,7.686e+09,4.855e+09,1.66e+08,2.42e+08,1.3504e+10,1.5715e+10,1.089e+09,9.9e+08,9.9e+07,3.61e+08,3.61e+08,3.24e+08,3.24e+08,1.774e+09,6.521e+09,1.708e+09,1.136e+09,5.72e+08,8.229e+09,1.0003e+10,6.702e+09,3.2e+07,6.67e+09,-6.57e+08,-3.79e+08,5.666e+09,4.6e+07,5.712e+09,1.5715e+10,1.31e+08,1.17e+08,8e+06,1.1e+07,6.5e+07,4.2e+07,-8e+06,3.1e+07,3.21e+08,-8.5e+07,-8.5e+07,-2.4e+07,-6.1e+07,-1.183e+09,-1.268e+09,6.04e+08,5.94e+08,-2.2e+07,8e+06,8e+06,-1.4e+07,5.24e+08,-4.23e+08,-4.23e+08,3e+06,-4.2e+08,3.8e+08,6.882e+09,4e+08,0.58688,0.18962,0.09661,0.02346,0.00852999999999999,2.98507,1.24634,1.75123,0.43793,0.35488,0.35051,3.67329,15.00567,1.05935,0.01454,0.02797,16.17105,23.36502
"12","2014_Q1",35.474262295082,"Up",1.611e+09,-6.66e+08,-6.66e+08,9.45e+08,-6.51e+08,-5.05e+08,-1.46e+08,2.94e+08,-9.1e+07,-8e+07,-8e+07,2.03e+08,-5.6e+07,1.47e+08,1.3e+07,1.59e+08,1.45e+08,-4.65661287307739e-10,1.45e+08,1.45e+08,5.64e+08,5.64e+08,1.196e+09,1.196e+09,3.74e+08,3.74e+08,2.134e+09,5.6e+08,1.2836e+10,7.684e+09,4.781e+09,1.15e+08,2.56e+08,1.3396e+10,1.553e+10,1.081e+09,1.026e+09,5.5e+07,1.48e+08,1.48e+08,3.06e+08,3.06e+08,1.535e+09,6.492e+09,1.696e+09,8.64e+08,8.32e+08,8.188e+09,9.723e+09,6.628e+09,3.2e+07,6.596e+09,-5.12e+08,-3.87e+08,5.729e+09,7.8e+07,5.807e+09,1.553e+10,1.45e+08,1.46e+08,-6.7e+07,1.5e+07,9.6e+07,-6.1e+07,7.3e+07,8.4e+07,3.2e+08,-1.19e+08,-1.19e+08,-5.1e+07,-6.8e+07,-45999999.9999998,-1.64e+08,-2.55e+08,-2.38e+08,-2.38e+08,1.5e+07,2.6e+07,-1.1e+07,-3.27e+08,-1.71e+08,-1.71e+08,-2e+06,-1.73e+08,4.4e+08,6.64e+09,4.04e+08,0.58659,0.1825,0.09001,0.02497,0.00934,2.78621,1.39023,1.67436,0.42756,0.38316,0.37732,4.25699,15.1386,1.06755,0.01563,0.02857,13.80909,20.66667
"13","2014_Q2",37.0903174603175,"Up",1.489e+09,-6.42e+08,-6.42e+08,8.47e+08,-6.3e+08,-4.89e+08,-1.41e+08,2.17e+08,-1.06e+08,-7.6e+07,-7.7e+07,1.11e+08,-2.4e+07,8.7e+07,-3.3e+07,5.5e+07,5.5e+07,3e+06,5.8e+07,5.8e+07,3.01e+08,3.01e+08,1.186e+09,1.186e+09,4.46e+08,4.46e+08,1.933e+09,5.3e+08,1.301e+10,7.812e+09,4.817e+09,1.16e+08,2.65e+08,1.354e+10,1.5473e+10,1.001e+09,9.18e+08,8.3e+07,1.85e+08,1.85e+08,3.45e+08,3.45e+08,1.531e+09,6.461e+09,1.684e+09,8.71e+08,8.13e+08,8.145e+09,9.676e+09,6.56e+09,3.2e+07,6.528e+09,-4.54e+08,-3.9e+08,5.716e+09,8.1e+07,5.797e+09,1.5473e+10,5.5e+07,1.41e+08,4.1e+07,1.2e+07,-1.47e+08,2.1e+07,-1.67e+08,-1e+06,9e+07,-7.7e+07,-7.7e+07,-1.4e+07,-6.3e+07,-1.84e+08,-2.61e+08,6e+06,-2.4e+07,-2.4e+07,-5e+06,1.1e+07,-2e+06,-7.5e+07,-2.46e+08,-2.46e+08,-1.7e+07,-2.63e+08,3.58e+08,6.646e+09,1.67e+08,0.56884,0.14574,0.03895,0.01001,0.00375,2.87931,1.26257,1.66914,0.42952,0.15303,0.15075,3.92863,15.08128,0.44062,0.00934,0.01182,17.72346,29.23963
"14","2014_Q3",37.655,"Up",1.594e+09,-6.77e+08,-6.77e+08,9.17e+08,-6.27e+08,-4.82e+08,-1.45e+08,2.9e+08,-1.28e+08,-7.7e+07,-7.8e+07,1.62e+08,-1.3e+07,1.49e+08,-7.4e+07,7.6e+07,7.6e+07,-2e+06,7.4e+07,7.4e+07,3.1e+08,3.1e+08,1.266e+09,1.266e+09,4.11e+08,4.11e+08,1.987e+09,5.3e+08,1.3039e+10,7.841e+09,4.765e+09,1.19e+08,3.14e+08,1.3569e+10,1.5556e+10,1.028e+09,8.83e+08,1.45e+08,1.36e+08,1.36e+08,3.39e+08,3.39e+08,1.503e+09,6.556e+09,1.653e+09,8.59e+08,7.94e+08,8.209e+09,9.712e+09,6.491e+09,3.2e+07,6.459e+09,-3.8e+08,-3.49e+08,5.762e+09,8.2e+07,5.844e+09,1.5556e+10,7.6e+07,1.45e+08,6.2e+07,1.2e+07,-7.3e+07,-6.8e+07,0,-5e+06,2.1e+08,-9.4e+07,-9.4e+07,-4e+07,-5.4e+07,-8000000.00000006,-1.02e+08,1.9e+07,23999999.9999999,-3.724e+09,1.4e+07,4.6e+07,-3.9e+07,-99000000.0000001,9e+06,9e+06,-3.72529029846191e-09,9e+06,4.35e+08,6.692e+09,3.42e+08,0.57528,0.18193,0.04642,0.01266,0.00476,4.62162,1.32202,1.66188,0.43019,0.19486,0.19203,4.19743,15.17291,0.90058,0.01177,0.0241,14.67126,22.0069
"15","2014_Q4",34.5278125,"Down",1.572e+09,-6.48e+08,-6.48e+08,9.24e+08,-6.07e+08,-4.68e+08,-1.39e+08,3.17e+08,-1.24e+08,-7.3e+07,-7.4e+07,1.93e+08,-6e+06,1.87e+08,-9.5e+07,9.2e+07,9.2e+07,-1e+06,9.1e+07,9.1e+07,3.69e+08,3.69e+08,1.189e+09,1.189e+09,4.24e+08,4.24e+08,1.982e+09,5.25e+08,1.2854e+10,7.715e+09,4.716e+09,9.6e+07,3.27e+08,1.3379e+10,1.5361e+10,1.118e+09,9.17e+08,2.01e+08,1.12e+08,1.12e+08,3.12e+08,3.12e+08,1.542e+09,6.508e+09,1.611e+09,8.39e+08,7.72e+08,8.119e+09,9.661e+09,6.413e+09,3.2e+07,6.381e+09,-2.89e+08,-5.09e+08,5.615e+09,8.5e+07,5.7e+09,1.5361e+10,9.2e+07,1.39e+08,6.5e+07,1.2e+07,9.6e+07,3.8e+07,8e+06,5e+07,3.92e+08,-1.03e+08,-1.03e+08,-4.2e+07,-6.1e+07,-1.1e+07,-1.14e+08,-5.4e+07,-2.9e+07,-8.25e+08,-4e+06,2.3e+07,-5e+07,-2.02e+08,7.6e+07,7.6e+07,-1.7e+07,5.9e+07,4.56e+08,6.62e+09,5.44e+08,0.58779,0.20165,0.05789,0.01596,0.00592,5.97802,1.28534,1.69491,0.43096,0.23892,0.23582,4.12723,14.742,1.42825,0.01328,0.03905,13.70833,19.71924
"16","2015_Q1",35.6431147540984,"Up",1.633e+09,-6.53e+08,-6.53e+08,9.8e+08,-6.26e+08,-4.78e+08,-1.48e+08,3.54e+08,-1.1e+08,-7.1e+07,-7.1e+07,2.44e+08,-4.6e+07,1.98e+08,-3.4e+07,1.58e+08,1.58e+08,3e+06,1.61e+08,1.61e+08,2.73e+08,2.73e+08,1.241e+09,1.241e+09,4.97e+08,4.97e+08,2.011e+09,5.33e+08,1.2782e+10,7.671e+09,4.715e+09,8.3e+07,3.13e+08,1.3315e+10,1.5326e+10,1.097e+09,1.035e+09,6.2e+07,3.93e+08,3.93e+08,3.04e+08,3.04e+08,1.794e+09,6.419e+09,1.98e+09,1.025e+09,9.55e+08,8.399e+09,1.0193e+10,6.376e+09,3.2e+07,6.344e+09,-1.28e+08,-7.77e+08,5.056e+09,7.7e+07,5.133e+09,1.5326e+10,1.58e+08,1.48e+08,1.63e+08,1.1e+07,-6.8e+07,-8.4e+07,1.55e+08,-1.39e+08,4.01e+08,-1.38e+08,-1.38e+08,-6.7e+07,-7.1e+07,-1.17e+08,-2.55e+08,2.41e+08,-3.9e+07,-38999999.9999995,-3.68e+08,2.3e+07,1.3e+07,-2.09e+08,-6.3e+07,-6.3e+07,-3.3e+07,-9.6e+07,5.02e+08,6.812e+09,3.3e+08,0.60012,0.21678,0.09859,0.03137,0.01051,2.04969,1.12096,1.98578,0.44447,0.42629,0.42202,4.32378,13.38703,0.87376,0.01838,0.0237,13.0259,18.47175
"17","2015_Q2",36.9206349206349,"Up",1.458e+09,-6.22e+08,-6.22e+08,8.36e+08,-6.23e+08,-4.81e+08,-1.42e+08,2.13e+08,-9.8e+07,-7.2e+07,-7.3e+07,1.15e+08,-1.4e+07,1.01e+08,-3.8e+07,6.3e+07,6.3e+07,587372.665300183,6.3e+07,6.3e+07,3.43e+08,3.43e+08,1.168e+09,1.168e+09,5.54e+08,5.54e+08,2.065e+09,5.12e+08,1.2811e+10,7.64e+09,4.737e+09,6.7e+07,3.67e+08,1.3323e+10,1.5388e+10,9.3e+08,8.58e+08,7.2e+07,1.88e+08,1.88e+08,3.2e+08,3.2e+08,1.438e+09,7.159e+09,1.948e+09,1.026e+09,9.22e+08,9.107e+09,1.0545e+10,6.317e+09,3.2e+07,6.285e+09,-6.5e+07,-9.4e+08,4.768e+09,7.5e+07,4.843e+09,1.5388e+10,6.3e+07,1.42e+08,4e+07,1.4e+07,-1.44e+08,4.7e+07,-2e+08,9e+06,1.01e+08,-1.02e+08,-1.02e+08,-3.3e+07,-6.9e+07,-1.91e+08,-2.91e+08,5.16e+08,7.21e+08,-2.5e+07,-1.35e+08,6e+06,-3e+06,2.88e+08,9.8e+07,9.8e+07,-2.8e+07,7e+07,3.55e+08,7.347e+09,1.47e+08,0.57339,0.14609,0.04321,0.01301,0.00409,2.33333,1.43602,2.17737,0.47745,0.16973,0.16784,3.92812,12.84588,0.39605,0.01082,0.0104,19.72958,32.88263
"18","2015_Q3",37.910625,"Up",1.559e+09,-6.48e+08,-6.48e+08,9.11e+08,-6.11e+08,-4.65e+08,-1.46e+08,3e+08,-8.4e+07,-7.8e+07,-7.9e+07,2.16e+08,-1.4e+07,2.02e+08,-8.6e+07,1.16e+08,1.16e+08,-2e+06,1.14e+08,1.14e+08,3.31e+08,3.31e+08,1.227e+09,1.227e+09,5.56e+08,5.56e+08,2.114e+09,5.08e+08,1.2843e+10,7.69e+09,4.702e+09,7e+07,3.81e+08,1.3351e+10,1.5465e+10,9.7e+08,8.31e+08,1.39e+08,3.31e+08,3.31e+08,3.32e+08,3.32e+08,1.633e+09,7.142e+09,1.938e+09,1.017e+09,9.21e+08,9.08e+09,1.0713e+10,6.211e+09,3.2e+07,6.179e+09,4.9e+07,-8.98e+08,4.677e+09,7.5e+07,4.752e+09,1.5465e+10,1.16e+08,1.46e+08,2.2e+07,1.3e+07,-3.1e+07,-4.3e+07,13000000.0000001,-1e+06,2.53e+08,-9.7e+07,-9.7e+07,-3.6e+07,-6.1e+07,-6000000.00000003,-1.02e+08,1.09e+08,-2.4e+07,-2.4e+07,-1.59e+08,2e+07,-9e+06,-1.61e+08,-1e+07,-1e+07,-2e+06,-12000000.0000001,4.46e+08,7.473e+09,4.04e+08,0.58435,0.19243,0.07312,0.02399,0.00737,3.54386,1.29455,2.25442,0.48322,0.30948,0.30597,4.23222,12.69666,1.09674,0.01525,0.02853,16.01345,23.80667
"19","2015_Q4",38.74578125,"Up",1.531e+09,-6.15e+08,-6.15e+08,9.16e+08,-6.03e+08,-4.59e+08,-1.44e+08,3.13e+08,-7.3e+07,-7.8e+07,-7.9e+07,2.4e+08,-1.5e+07,2.25e+08,-8.2e+07,1.42e+08,1.42e+08,0,1.42e+08,1.42e+08,3.58e+08,3.58e+08,1.163e+09,1.163e+09,5.85e+08,5.85e+08,2.106e+09,4.86e+08,1.2685e+10,7.588e+09,4.655e+09,7.3e+07,3.69e+08,1.3171e+10,1.5277e+10,1.117e+09,9.18e+08,1.99e+08,3.39e+08,3.39e+08,2.99e+08,2.99e+08,1.755e+09,7.114e+09,1.91e+09,9.93e+08,9.17e+08,9.024e+09,1.0779e+10,5.281e+09,3.2e+07,5.249e+09,1.91e+08,-1.046e+09,4.426e+09,7.2e+07,4.498e+09,1.5277e+10,1.42e+08,1.44e+08,8e+06,1.2e+07,1.6e+08,2.8e+07,4.7e+07,8.5e+07,4.54e+08,-1.07e+08,-1.07e+08,-3.1e+07,-7.6e+07,-1e+06,-1.11e+08,-2.3e+07,-2.5e+07,-2.5e+07,-1.59e+08,1.4e+07,-4e+06,-3.01e+08,4.2e+07,4.2e+07,-1.5e+07,2.7e+07,4.57e+08,7.453e+09,5.92e+08,0.5983,0.20444,0.09275,0.03157,0.0093,4.16901,1.2,2.3964,0.48786,0.38851,0.38431,4.1888,12.10948,1.6197,0.01854,0.04271,15.52516,22.66773
"20","2016_Q1",40.1819672131148,"Up",1.624e+09,-6.54e+08,-6.54e+08,9.7e+08,-6.52e+08,-5.1e+08,-1.42e+08,3.18e+08,1.23e+08,-7.9e+07,-8e+07,4.41e+08,-8e+06,4.33e+08,-1.77e+08,2.54e+08,2.54e+08,-3e+06,2.51e+08,2.51e+08,3.57e+08,3.57e+08,1.235e+09,1.235e+09,3.16e+08,3.16e+08,1.908e+09,4.9e+08,1.2905e+10,7.783e+09,4.772e+09,7.8e+07,2.72e+08,1.3395e+10,1.5303e+10,1.055e+09,1.013e+09,4.2e+07,3.1e+08,3.1e+08,3.22e+08,3.22e+08,1.687e+09,7.028e+09,1.961e+09,1.074e+09,8.87e+08,8.989e+09,1.0676e+10,5.151e+09,3.2e+07,5.119e+09,3.41e+08,-1.059e+09,4.433e+09,1.94e+08,4.627e+09,1.5303e+10,2.54e+08,1.42e+08,2.8e+07,9e+06,-2.3e+07,-6.7e+07,1.76e+08,-1.32e+08,4.01e+08,-9.5e+07,-1.02e+08,-3.4e+07,-6.8e+07,-1.8e+07,-7.7e+07,-9.2e+07,-4.6e+07,-4.6e+07,-1.42e+08,3.2e+07,1.7e+07,-3.18e+08,6e+06,6e+06,-7e+06,-999999.999999985,4.6e+08,7.338e+09,5.19e+08,0.59729,0.19581,0.15456,0.05425,0.0164,2.06773,1.131,2.30733,0.47951,0.69155,0.68506,4.47439,12.21366,1.42993,0.02528,0.03727,15.17609,21.95283
"21","2016_Q2",44.01375,"Up",1.487e+09,-6.41e+08,-6.41e+08,8.46e+08,-6.12e+08,-4.65e+08,-1.47e+08,2.34e+08,-7.9e+07,-7.8e+07,-7.9e+07,1.55e+08,-1e+07,1.45e+08,-4.4e+07,1.01e+08,1.01e+08,-1e+06,1e+08,1e+08,4.32e+08,4.32e+08,1.239e+09,1.239e+09,3.83e+08,3.83e+08,2.054e+09,4.82e+08,1.3052e+10,7.887e+09,4.799e+09,9.3e+07,2.73e+08,1.3534e+10,1.5588e+10,9.99e+08,9.15e+08,8.4e+07,1.89e+08,1.89e+08,3.16e+08,3.16e+08,1.504e+09,7.471e+09,1.901e+09,1.024e+09,8.77e+08,9.372e+09,1.0876e+10,5.098e+09,3.2e+07,5.066e+09,3.87e+08,-9.69e+08,4.516e+09,1.96e+08,4.712e+09,1.5588e+10,1.01e+08,1.47e+08,1.4e+07,1.3e+07,-1.75e+08,3e+06,-1.91e+08,1.3e+07,8.7e+07,-1.09e+08,-1.09e+08,-2.8e+07,-8.1e+07,-4.7e+07,-1.56e+08,2.99e+08,4.63e+08,-3.3e+07,-6.5e+07,1.8e+07,-3e+06,1.3e+08,6.1e+07,6.1e+07,1.4e+07,7.5e+07,3.81e+08,7.66e+09,1.41e+08,0.56893,0.15736,0.06725,0.02122,0.00642,1.41,1.36569,2.30815,0.4914,0.27656,0.27382,4.1125,12.48961,0.38995,0.01408,0.00988,18.97113,30.88889
"22","2016_Q3",44.6621875,"Up",1.596e+09,-6.54e+08,-6.54e+08,9.42e+08,-6.26e+08,-4.74e+08,-1.52e+08,3.16e+08,-8.6e+07,-8.2e+07,-8.3e+07,2.3e+08,-3.4e+07,1.96e+08,-8.2e+07,1.14e+08,1.14e+08,-1e+06,1.13e+08,1.13e+08,3.46e+08,3.46e+08,1.313e+09,1.313e+09,3.76e+08,3.76e+08,2.035e+09,4.78e+08,1.3205e+10,7.971e+09,4.863e+09,9.7e+07,2.74e+08,1.3683e+10,1.5718e+10,1.016e+09,8.68e+08,1.48e+08,1.075e+09,1.075e+09,3.24e+08,3.24e+08,2.415e+09,6.933e+09,1.902e+09,1.038e+09,8.64e+08,8.835e+09,1.125e+10,4.897e+09,3.2e+07,4.865e+09,3.89e+08,-1.011e+09,4.275e+09,1.93e+08,4.468e+09,1.5718e+10,1.14e+08,1.52e+08,2e+07,1.3e+07,-7.6e+07,-6.6e+07,-8999999.99999994,-1000000.00000001,2.1e+08,-1.12e+08,-1.12e+08,-2.7e+07,-8.5e+07,-2.05e+08,-3.16e+08,3.44e+08,-40999999.9999999,-4.1e+07,-2.1e+08,1.1e+07,-2e+06,20999999.9999999,-8.5e+07,-8.5e+07,-1e+06,-8.6e+07,4.68e+08,8.008e+09,3.62e+08,0.59023,0.19799,0.0708,0.02529,0.00719,3.20354,0.84265,2.51791,0.50948,0.31453,0.31111,4.44241,11.89931,1.00761,0.01558,0.02518,16.37179,24.24684
"23","2016_Q4",38.8501587301587,"Down",1.57e+09,-6.42e+08,-6.42e+08,9.28e+08,-6.03e+08,-4.52e+08,-1.51e+08,3.25e+08,-8.2e+07,-8.4e+07,-8.5e+07,2.43e+08,-2.9e+07,2.14e+08,-8.2e+07,1.32e+08,1.32e+08,-2e+06,1.3e+08,1.3e+08,4.46e+08,4.46e+08,1.24e+09,1.24e+09,3.65e+08,3.65e+08,2.051e+09,4.85e+08,1.3164e+10,7.963e+09,4.834e+09,9.6e+07,2.71e+08,1.3649e+10,1.57e+10,1.132e+09,9.25e+08,2.07e+08,5.78e+08,5.78e+08,3.01e+08,3.01e+08,2.011e+09,7.379e+09,1.875e+09,1.022e+09,8.53e+08,9.254e+09,1.1265e+10,4.859e+09,3.2e+07,4.827e+09,4.08e+08,-1.021e+09,4.246e+09,1.89e+08,4.435e+09,1.57e+10,1.32e+08,1.51e+08,9e+06,1.1e+07,1.64e+08,7.1e+07,-1.9e+07,1.12e+08,4.56e+08,-1.03e+08,-1.03e+08,-2.8e+07,-7.5e+07,-1.1e+07,-1.19e+08,-8.1e+07,-5.3e+07,-5.3e+07,-4.7e+07,4.3e+07,-2e+06,-2.41e+08,9.6e+07,9.6e+07,4e+06,1e+08,4.76e+08,7.957e+09,6.19e+08,0.59108,0.20701,0.0828,0.02931,0.00828,4.76154,1.01989,2.54002,0.50682,0.36406,0.36054,4.39667,11.89061,1.73346,0.01689,0.04339,15.77941,23.11077
"24","2017_Q1",36.4354838709677,"Down",1.656e+09,-6.7e+08,-6.7e+08,9.86e+08,-6.13e+08,-4.6e+08,-1.53e+08,3.73e+08,-8e+07,-8.5e+07,-8.6e+07,2.93e+08,-3.2e+07,2.61e+08,-1.01e+08,1.6e+08,1.6e+08,-1e+06,1.59e+08,1.59e+08,7.54e+08,7.54e+08,1.171e+09,1.171e+09,2.97e+08,2.97e+08,2.222e+09,4.71e+08,1.3037e+10,7.845e+09,4.736e+09,1.27e+08,3.29e+08,1.3508e+10,1.573e+10,1.109e+09,1.012e+09,9.7e+07,1.88e+08,1.88e+08,2.97e+08,2.97e+08,1.594e+09,7.738e+09,2.105e+09,1.175e+09,9.3e+08,9.843e+09,1.1437e+10,4.857e+09,3.2e+07,4.825e+09,4.56e+08,-1.211e+09,4.102e+09,1.91e+08,4.293e+09,1.573e+10,1.6e+08,1.53e+08,7.9e+07,1.4e+07,1.51e+08,4.5e+07,1.56e+08,-5e+07,5.43e+08,-6.7e+07,-1.09e+08,-2.6e+07,-8.3e+07,1.2e+07,-5.1e+07,-25000000.0000001,3.28e+08,-1.678e+09,-1.4e+07,1e+07,-8e+06,-1.58e+08,3.34e+08,3.34e+08,-2.6e+07,3.08e+08,5.26e+08,7.926e+09,7.11e+08,0.59541,0.22524,0.09601,0.03704,0.01011,4.4717,1.39398,2.6641,0.50388,0.4449,0.44206,4.63364,11.47776,1.98944,0.01885,0.04964,13.63498,19.22788
"25","2017_Q2",34.0560317460317,"Down",1.526e+09,-6.61e+08,-6.61e+08,8.65e+08,-6.28e+08,-4.73e+08,-1.55e+08,2.37e+08,-8.9e+07,-8.9e+07,-9e+07,1.48e+08,-3.2e+07,1.16e+08,-4.3e+07,7.3e+07,7.3e+07,-2e+06,7.1e+07,7.1e+07,4.51e+08,4.51e+08,1.287e+09,1.287e+09,3.63e+08,3.63e+08,2.101e+09,4.64e+08,1.3767e+10,8.212e+09,5.086e+09,1.33e+08,3.36e+08,1.4231e+10,1.6332e+10,1.035e+09,9.33e+08,1.02e+08,2.36e+08,2.36e+08,3.64e+08,3.64e+08,1.635e+09,8.18e+09,2.2e+09,1.272e+09,9.28e+08,1.038e+10,1.2015e+10,4.841e+09,3.2e+07,4.809e+09,4.16e+08,-1.134e+09,4.123e+09,1.94e+08,4.317e+09,1.6332e+10,7.3e+07,1.55e+08,1.5e+07,1.5e+07,-2.03e+08,-5.3e+07,-1.31e+08,-1.9e+07,4e+07,-1.14e+08,-1.14e+08,-1.7e+07,-9.7e+07,-5.72e+08,-6.86e+08,4.72e+08,4.77e+08,-1.8e+07,-2.9e+07,1.3e+07,-3e+06,3.29e+08,-3.17e+08,-3.17e+08,1.4e+07,-3.03e+08,3.92e+08,8.416e+09,1.18e+08,0.56684,0.15531,0.04653,0.01645,0.00435,1.66197,1.28502,2.78318,0.51531,0.19866,0.19774,4.26973,11.5361,0.33016,0.01219,0.0079,20.31888,33.60759
"26","2017_Q3",34.5669841269841,"Up",1.644e+09,-6.78e+08,-6.78e+08,9.66e+08,-6.36e+08,-4.74e+08,-1.62e+08,3.3e+08,-9.7e+07,-9.1e+07,-9.2e+07,2.33e+08,-9e+06,2.24e+08,-9.1e+07,1.33e+08,1.33e+08,-2e+06,1.31e+08,1.31e+08,5.1e+08,5.1e+08,1.367e+09,1.367e+09,3.4e+08,3.4e+08,2.217e+09,4.54e+08,1.3823e+10,8.291e+09,5.058e+09,1.33e+08,3.41e+08,1.4277e+10,1.6494e+10,1.06e+09,9.25e+08,1.35e+08,1.63e+08,1.63e+08,3.52e+08,3.52e+08,1.575e+09,8.36e+09,2.168e+09,1.245e+09,9.23e+08,1.0528e+10,1.2103e+10,4.816e+09,3.2e+07,4.784e+09,4.26e+08,-1.051e+09,4.191e+09,2e+08,4.391e+09,1.6494e+10,1.33e+08,1.62e+08,-8e+06,1.2e+07,-6.1e+07,-6.6e+07,2000000.00000006,3e+06,2.26e+08,-6.4e+07,-9.2e+07,-1.4e+07,-7.8e+07,-9e+06,-7.4e+07,55999999.9999999,-45000000.0000001,-2.295e+09,-3.6e+07,6e+06,-5e+06,-1.06e+08,45999999.9999999,45999999.9999999,1.3e+07,5.9e+07,4.92e+08,8.523e+09,4.58e+08,0.58759,0.20073,0.07968,0.02983,0.00794,3.49618,1.40762,2.75632,0.51673,0.36712,0.36583,4.60724,11.7451,1.28353,0.01671,0.03037,16.28659,24.28182
"27","2017_Q4",33.191746031746,"Down",1.641e+09,-6.92e+08,-6.92e+08,9.49e+08,-6.08e+08,-4.48e+08,-1.6e+08,3.41e+08,-9.2e+07,-9.4e+07,-9.5e+07,2.49e+08,-7e+06,2.42e+08,-9.2e+07,1.5e+08,1.5e+08,-4e+06,1.46e+08,1.46e+08,6.62e+08,6.62e+08,1.282e+09,1.282e+09,3.28e+08,3.28e+08,2.272e+09,4.58e+08,1.3855e+10,8.352e+09,5.042e+09,1.31e+08,3.3e+08,1.4313e+10,1.6585e+10,1.213e+09,1.015e+09,1.98e+08,6.7e+07,6.7e+07,3.28e+08,3.28e+08,1.608e+09,8.377e+09,2.14e+09,1.219e+09,9.21e+08,1.0517e+10,1.2125e+10,4.787e+09,3.2e+07,4.755e+09,4.51e+08,-9.79e+08,4.259e+09,2.01e+08,4.46e+09,1.6585e+10,1.5e+08,1.6e+08,5e+06,8e+06,2.23e+08,1.04e+08,6e+06,1.13e+08,5.38e+08,-1.13e+08,-1.13e+08,-2.4e+07,-8.9e+07,-1.4e+07,-1.28e+08,-1.19e+08,-1.8e+07,-1.8e+07,-2.6e+07,7e+06,-5e+06,-2.71e+08,1.39e+08,1.39e+08,1.3e+07,1.52e+08,5.01e+08,8.444e+09,7.03e+08,0.57831,0.2078,0.08897,0.03274,0.0088,4.81507,1.41294,2.71861,0.50913,0.40962,0.40817,4.60403,11.94915,1.97235,0.01775,0.04673,15.53293,22.82111
