"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","sale_of_loan_income_loss","commissions_fees_earned","other_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","commissions_fees_paid","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","short_long_term_investments","net_loans","net_fixed_assets","customer_acceptances_liabilities","other_assets","total_assets","total_deposits","interest_bearing_deposits","long_term_debt","other_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","provision_for_loan_losses_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_investments","net_change_in_loans_interbank","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_change_in_deposits","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2015_Q4",16.2309375,"Up",4478000,3838000,5139000,-1301000,640000,16000,286000,193000,0,4478000,-3273000,-364000,-2909000,1205000,1205000,1205000,1205000,1205000,1205000,1205000,24293000,194121000,371897000,6502000,2404000,25027000,624244000,443218000,416341000,9.3e+07,8214000,544432000,60412000,22650000,-3250000,79812000,79812000,624244000,1205000,163000,0,1093000,-757000,1704000,-73000,-35736000,12577000,228000,-23004000,-5e+06,-928000,-122000,-6050000,-27350000,-27350000,-27350000,1368000,9.3e+07,0.26909,0.26909,0.0151,0.00193,6.82143,0.14898,0.18842,0.18842,0.70022,12.48005,0.00193,50.22442,57.01826
"12","2016_Q1",16.5652459016393,"Up",4618000,3979000,5344000,-1365000,639000,47000,169000,345000,0,4618000,-3454000,-430000,-3024000,1164000,1164000,1164000,2134000,2134000,2134000,2134000,40263000,190340000,391307000,6535000,2484000,24761000,655690000,465522000,438512000,1.03e+08,4419000,572941000,60431000,25172000,-2854000,82749000,82749000,655690000,2134000,162000,0,2123000,-4133000,286000,-195000,-5819000,-7758000,-409000,-14181000,1e+07,22304000,-2439000,29865000,15970000,15970000,15970000,1326000,1.03e+08,0.25206,0.4621,0.02579,0.00325,6.92384,0.15709,0.3335,0.3335,0.7217,12.932,0.00325,47.31297,53.89777
"13","2016_Q2",15.8978125,"Down",4769000,4211000,5687000,-1476000,558000,34000,211000,182000,-130345.127184237,4769000,-3425000,-4e+05,-3025000,1344000,1344000,1344000,1344000,1344000,1344000,1344000,56370000,176443000,461491000,6486000,2722000,23636000,727148000,534701000,506441000,1.03e+08,6789000,644490000,60453000,25158000,-2953000,82658000,82658000,727148000,1344000,158000,130345.127184237,1933000,-2006000,1429000,-109000,1808000,-58236000,1052000,-55485000,0,69179000,984000,70163000,16107000,16107000,16107000,1502000,1.03e+08,0.28182,0.28182,0.01626,0.00185,7.79707,0.14165,0.20992,0.20992,0.74488,12.91061,0.00185,31.04527,34.69494
"14","2016_Q3",16.10140625,"Up",5001000,4500000,6210000,-1710000,501000,36000,227000,177000,-375000,4626000,-3360000,-361000,-2999000,1266000,1266000,1266000,1266000,1266000,1266000,1266000,58043000,158720000,515094000,6490000,2622000,23017000,763986000,548790000,518070000,1.23e+08,7506000,679296000,60478000,26424000,-2212000,84690000,84690000,763986000,1266000,158000,375000,3257000,-1822000,3234000,-162000,2088000,-37208000,-791000,-36073000,2e+07,14089000,423000,34512000,1673000,1673000,1673000,1424000,1.23e+08,0.25315,0.25315,0.01495,0.00166,8.02097,0.161,0.19756,0.19756,0.78041,13.21601,0.00166,45.61587,51.30885
"15","2016_Q4",18.978253968254,"Up",5439000,4780000,6530000,-1750000,659000,20000,227000,183000,-472000,4967000,-3378000,-415000,-2963000,1589000,1589000,1589000,1589000,1589000,1589000,1589000,78383000,131937000,553971000,6654000,2714000,22646000,796305000,579043000,549627000,1.23e+08,7612000,709655000,60503000,28013000,-1866000,86650000,86650000,796305000,1589000,162000,472000,1119000,-1289000,2053000,-326000,6465000,-18832000,5000,-12688000,0,30253000,722000,30975000,20340000,20340000,20340000,1751000,1.23e+08,0.29215,0.29215,0.01834,0.002,8.1899,0.15446,0.24783,0.24782,0.84829,13.51427,0.002,25.48087,28.07867
"16","2017_Q1",20.8764516129032,"Up",5635000,5021000,6817000,-1796000,614000,26000,258000,186000,-1e+05,5535000,-3759000,-507000,-3252000,1776000,1776000,1777000,7951000,7951000,7951000,7951000,96762000,112362000,574160000,6637000,2558000,28793000,821272000,602046000,567499000,1.18e+08,5069000,725115000,60527000,37322000,-1692000,96157000,96157000,821272000,7951000,172000,1e+05,-5127000,-478000,2618000,-154000,7518000,-7454000,124000,33999.9999999963,-5e+06,23003000,-2276000,15727000,18379000,18379000,18379000,1948000,1.18e+08,0.31517,1.411,0.08269,0.00968,7.54095,0.14368,1.23947,1.23944,0.87843,14.98975,0.00968,10.90246,11.95833
"17","2017_Q2",22.244126984127,"Up",5692000,5239000,7105000,-1866000,453000,45000,223000,185000,-660000,5032000,-3570000,-401000,-3169000,1462000,1462000,1462000,973000,973000,973000,973000,63281000,108684000,668427000,6769000,2899000,28942000,879002000,658623000,623439000,1.18e+08,6644000,783267000,60561000,36926000,-1752000,95735000,95735000,879002000,973000,179000,660000,2568000,-3164000,1216000,-311000,2567000,-94413000,8000,-92149000,0,56577000,875000,57452000,-33481000,-33481000,-33481000,1641000,1.18e+08,0.25685,0.17094,0.01016,0.00111,8.18162,0.13424,0.15149,0.15148,0.8862,14.90526,0.00111,33.34491,37.4275
"18","2017_Q3",24.402380952381,"Up",6533000,5991000,8175000,-2184000,542000,30000,274000,180000,-997000,5536000,-3778000,-399000,-3379000,1758000,1758000,1758000,1170000,1170000,1170000,1170000,65752000,104129000,752708000,6896000,3177000,29153000,961815000,704272000,658969000,1.43e+08,7079000,864351000,60602000,38335000,-1473000,97464000,97464000,961815000,1170000,182000,997000,1590000,-2467000,1472000,-309000,963000,-81013000,19000,-80340000,3.5e+07,45649000,690000,81339000,2471000,2471000,2471000,1940000,1.53e+08,0.2691,0.17909,0.012,0.00122,8.86841,0.15907,0.18216,0.18215,1.01714,15.17446,0.00122,44.9732,49.62912
"19","2017_Q4",26.8412698412698,"Up",7213000,6399000,8973000,-2574000,814000,31000,233000,176000,-645000,6568000,-3986000,-621000,-3365000,2582000,2582000,2582000,1719000,1719000,1719000,1719000,113427000,58296000,800337000,7182000,2837000,28829000,1010908000,759679000,709582000,142263000,9303000,911245000,60736000,40414000,-1487000,99663000,99663000,1010908000,1719000,183000,645000,2814000,84000,5445000,-469000,1154000,-3386000,-61000,-2762000,-10737000,55407000,322000,44992000,47675000,47675000,47675000,2765000,142263000,0.35796,0.23832,0.01725,0.0017,9.14326,0.14073,0.26764,0.26762,1.12301,15.51683,0.0017,10.42893,11.16809
"20","2018_Q1",24.5508196721311,"Down",7239000,6707000,9529000,-2822000,532000,48000,262000,191000,-489000,6750000,-3813000,-473000,-3340000,2937000,2937000,2937000,1955000,1955000,1955000,1955000,117136000,55061000,834331000,7507000,3139000,28838000,1046012000,790396000,748275000,142303000,5793000,943492000,60802000,43139000,-1421000,102520000,102520000,1046012000,1955000,180000,489000,3678000,-4603000,1699000,-505000,998999.999999999,-32108000,-101000,-31715000,5000999.99999999,30717000,-1993000,33725000,3709000,3709000,3709000,3117000,147303000,0.40572,0.27006,0.01907,0.00187,9.203,0.14082,0.30332,0.30308,1.12315,15.90625,0.00187,9.67822,10.27137
"21","2018_Q2",25.5215625,"Up",6907000,6382000,9511000,-3129000,525000,67000,271000,187000,-210299.435094843,6907000,-4471000,-788000,-3683000,2436000,2436000,3622000,403000,403000,403000,403000,128642000,84326000,806764000,7374000,3344000,26708000,1057158000,797099000,751343000,142342000,9521000,953962000,60877000,43542000,-1223000,103196000,103196000,1057158000,403000,2e+05,210299.435094843,7e+06,-3192000,4411000,1132000,-29270000,27559000,-371000,-950000,0,6703000,1342000,8045000,11506000,11506000,11506000,2636000,147342000,0.35269,0.05835,0.00391,0.00038,9.24418,0.13938,0.06253,0.06248,1.07164,16.01114,0.00038,7.09408,7.67652
"22","2018_Q3",24.6357142857143,"Down",7017000,6568000,9704000,-3136000,449000,26000,237000,186000,-240000,6777000,-4105000,-450000,-3655000,2672000,2672000,2672000,2018000,2018000,2018000,2018000,121710000,85976000,837314000,7357000,3583000,27376000,1083316000,825569000,787125000,142382000,7503000,977954000,60952000,45536000,-1126000,105362000,105362000,1083316000,2018000,201000,240000,2682000,-5125000,16000,-173000,1000000.00000001,-30660000,-2653000,-32486000,-2500000,28470000,-432000,25538000,-6932000,-6932000,-6932000,2873000,144882000,0.38079,0.28759,0.01915,0.00186,9.28185,0.13374,0.31293,0.31278,1.08813,16.3386,0.00186,8.06544,8.67216
"23","2018_Q4",20.0852380952381,"Down",7691000,6976000,10198000,-3222000,715000,3000,530000,182000,-589000,7102000,-4790000,-1088000,-3702000,2312000,2312000,2312000,2243000,2243000,2243000,2243000,47381000,74133000,893355000,7240000,3571000,27895000,1053575000,787932000,739636000,147421000,7749000,945602000,61051000,47770000,-848000,107973000,107973000,1053575000,2243000,203000,589000,436000,-924000,2547000,-75000,11968000,-56619000,-198000,-44924000,5e+06,-37637000,685000,-31952000,-74329000,-74329000,-74329000,2515000,149921000,0.30061,0.29164,0.02077,0.00213,8.75776,0.1423,0.34757,0.34755,1.19178,16.73131,0.00213,40.77137,44.35121
"24","2019_Q1",20.5127868852459,"Up",7538000,7109000,10617000,-3508000,429000,6000,230000,193000,-125000,7413000,-4437000,-565000,-3872000,2976000,2976000,2976000,2642000,2642000,2642000,2642000,30834000,62927000,902136000,7181000,3800000,27073000,1033951000,774163000,732486000,142461000,4004000,923128000,61165000,50412000,-754000,110823000,110823000,1033951000,2642000,154000,125000,1650000,-2487000,2084000,-130000,10830000,-8961999.99999999,243000,1981000,-5e+06,-13769000,-1843000,-20612000,-16547000,-16547000,-16547000,3130000,144961000,0.3948,0.35049,0.02384,0.00256,8.32975,0.1402,0.40788,0.4076,1.16375,17.10931,0.00256,36.4623,38.34913
"25","2019_Q2",20.5766666666667,"Up",8093000,6947000,10912000,-3965000,1146000,18000,940000,188000,-1453000,6640000,-4094000,-499000,-3595000,2546000,2546000,2546000,2011000,2011000,2011000,2011000,99876000,58047000,924639000,7067000,3724000,35139000,1128492000,843200000,803466000,142500000,7113000,992813000,84559000,52423000,-1303000,135679000,135679000,1128492000,2011000,201000,1453000,1272000,-1556000,3381000,-78000,5512000,-29535000,-956000,-25057000,-2500000,69037000,837000,90718000,69042000,69042000,69042000,2747000,142500000,0.31459,0.24849,0.01482,0.00178,7.31737,0.12627,0.26615,0.26615,1.0711,17.95691,0.00178,15.51656,16.74156
"26","2019_Q3",21.46125,"Up",7690000,7249000,11601000,-4352000,441000,19000,238000,184000,-870000,6820000,-4443000,-455000,-3988000,2377000,2377000,2377000,1966000,1966000,1966000,1966000,110820000,55112000,997114000,6948000,4344000,35902000,1210240000,942374000,899437000,122540000,7758000,1072672000,84637000,54389000,-1455000,137568000,137568000,1210240000,1966000,202000,870000,1130000,-2271000,1897000,-72000,2688000,-73383000,541000,-70226000,-2e+07,99174000,102000,79273000,10944000,10944000,10944000,2579000,122540000,0.3091,0.25566,0.01429,0.00162,7.79739,0.10125,0.25645,0.25645,1.00309,17.94453,0.00162,4.5444,4.93058
"27","2019_Q4",22.62453125,"Up",7915000,7461000,12456000,-4995000,454000,0,252000,175000,-56000,7859000,-4497000,-405000,-4092000,3362000,3362000,3362000,2656000,2656000,2656000,2656000,150036000,57279000,1009959000,6795000,4237000,37572000,1265878000,957199000,908619000,157579000,11432000,1126210000,84783000,57045000,-1824000,139668000,139668000,1265878000,2656000,202000,56000,-404000,1076000,3586000,-37000,-2647000,-10827000,-1452000,-14963000,3.5e+07,14825000,1101000,50593000,39216000,39216000,39216000,3564000,157579000,0.42476,0.33557,0.01902,0.0021,8.06348,0.12448,0.34629,0.34625,1.03196,18.21001,0.0021,2.11644,2.2436
"28","2020_Q1",19.1788709677419,"Down",7969000,7418000,12866000,-5448000,551000,-1.81898940354586e-12,366000,184000,0,7969000,-4453000,-440000,-4013000,3516000,3516000,3516000,2699000,2699000,2699000,2699000,153543000,52025000,1011989000,6678000,4253000,41009000,1269497000,953811000,898127000,157619000,11284000,1126989000,84861000,59744000,-1761000,142508000,142508000,1269497000,2699000,156000,0,1706000,-3184000,1377000,-71000,6034000,1889000,-725000,7127000,-25000,-3388000.00000001,-1584000,-4997000,3506999.99999999,3506999.99999999,3506999.99999999,3672000,161894000,0.44121,0.33869,0.01894,0.00213,7.90825,0.12753,0.35219,0.35217,1.03986,18.59565,0.00213,2.27424,2.37514
"29","2020_Q2",11.8109523809524,"Down",7331000,6888000,11840000,-4952000,443000,3000,259000,181000,-2150000,5181000,-4422000,-441000,-3981000,759000,759000,759000,785000,785000,785000,785000,159802000,55416000,994803000,6594000,4061000,40080000,1260756000,943819000,902546000,157658000,14027000,1115504000,84938000,62246000,-1596000,145252000,145252000,1260756000,785000,192000,2150000,1806000,2937000,7870000,-103000,-3513000,11425000,14000,7823000,-25000,-9992000,583000,-9434000,6259000,6259000,6259000,951000,157658000,0.10353,0.10708,0.0054,0.00062,7.67978,0.12505,0.1024,0.1024,0.95632,18.94795,0.00062,-2.25447,-2.82477
"30","2020_Q3",12.24953125,"Up",7757000,6793000,11629000,-4836000,964000,9.09494701772928e-13,604000,180000,-625000,7132000,-4638000,-502000,-4136000,2494000,2494000,2494000,1908000,1908000,1908000,1908000,126068000,50798000,1002907000,6476000,4121000,45742000,1236112000,915900000,873026000,157697000,19365000,1092962000,85016000,62437000,-2191000,143150000,143150000,1236112000,1908000,215000,625000,-454000,-386000,1908000,-73000,-483000.000000001,-5816000,202000,-6170000,-25000,-27919000,249000,-29472000,-33734000,-33734000,-33734000,2709000,157697000,0.32152,0.24597,0.01333,0.00154,7.63508,0.12758,0.24896,0.24896,1.01216,18.67876,0.00154,11.67553,12.68204
"31","2020_Q4",14.47453125,"Up",7020000,6631000,10498000,-3867000,389000,11000,195000,182000,-435000,6585000,-4684000,-524000,-4160000,1901000,1901000,1901000,1454000,1454000,1454000,1454000,58944000,58932000,1028093000,6355000,5680000,45841000,1203845000,884444000,837001000,154737000,21133000,1060314000,85144000,63891000,-2641000,143531000,143531000,1203845000,1454000,214000,435000,-649000,-1203000,251000,-68000,-9901000,-24432000,1147000,-33254000,-2950000,-31456000,1037000,-34121000,-67124000,-67124000,-67124000,2115000,154737000,0.2708,0.20712,0.01013,0.00121,7.38735,0.12854,0.19287,0.19287,0.93118,19.03889,0.00121,45.2922,50.39085
"32","2021_Q1",17.3503278688525,"Up",7412000,6720000,10340000,-3620000,692000,102000,258000,183000,-7400000,12000,-4558000,-528000,-4030000,-4546000,-4546000,-4546000,-3503000,-3503000,-3503000,-3503000,61439000,56133000,1026894000,6274000,3677000,53858000,1208275000,890906000,840484000,154776000,16034000,1067682000,85203000,60388000,-2135000,140593000,140593000,1208275000,-3503000,124000,7400000,4133000,-6457000,1697000,-56000,-5509000,1696000,144000,-3725000,-50000,6462000,-1889000,4523000,2495000,2495000,2495000,-4422000,160742000,-0.61333,-0.47261,-0.02492,-0.0029,7.59413,0.13303,-0.46572,-0.46567,0.98542,18.69177,-0.0029,-22.45658,-21.84404
"33","2021_Q2",18.564126984127,"Up",8528000,7304000,10596000,-3292000,1224000,404000,247000,218000,-550000,7978000,-4972000,-663000,-4309000,3006000,3006000,3006000,2273000,2273000,2273000,2273000,109222000,58712000,990346000,6154000,4051000,52439000,1220924000,900465000,851201000,154816000,17377000,1077658000,85271000,62661000,-1803000,143266000,143266000,1220924000,2273000,170000,550000,7230000,-5426000,4797000,-50000,-9342000,34779000,7125000,32512000,775000,9559000,140000,10474000,47783000,47783000,47783000,3176000,159816000,0.35249,0.26653,0.01587,0.00186,7.52208,0.1309,0.29918,0.29917,1.12247,18.85692,0.00186,15.9301,16.831
"34","2021_Q3",18.17453125,"Down",7969000,6802000,9539000,-2737000,1167000,274000,419000,215000,0,7969000,-5063000,-884000,-4179000,2906000,2906000,2906000,2224000,2224000,2224000,2224000,108914000,63624000,974596000,6040000,3598000,49647000,1206419000,912213000,858003000,134855000,13500000,1060568000,85347000,64885000,-1518000,145851000,145851000,1206419000,2224000,166000,0,11666000,-12175000,1881000,-52000,-11641000,15861000,6738000,10906000,-2.5e+07,11748000,157000,-13095000,-308000.000000007,-308000.000000007,-308000.000000007,3072000,134855000,0.36466,0.27908,0.01525,0.00184,7.27159,0.11178,0.29273,0.29272,1.04889,19.19717,0.00184,8.44434,8.9267
"35","2021_Q4",16.4765625,"Down",7922000,7129000,9419000,-2290000,793000,65000,344000,219000,0,7922000,-5832000,-841000,-4991000,2090000,2090000,2090000,1601000,1601000,1601000,1601000,104954000,74193000,940735000,5902000,3370000,56590000,1185744000,907704000,854339000,114895000,14953000,1037552000,85500000,66486000,-931000,148192000,148192000,1185744000,1601000,166000,0,2671000,-8373000,-3935000,-28000,-15108000,33924000,5160000,23948000,-2e+07,-4509000,464000,-23973000,-3960000,-3960000,-3960000,2256000,114895000,0.26382,0.2021,0.0108,0.00135,7.0014,0.0969,0.21208,0.21203,1.04942,19.63079,0.00135,4.40647,4.75646
"36","2022_Q1",16.2088709677419,"Down",7404000,6825000,8862000,-2037000,579000,45000,313000,221000,-10626000,-3222000,-5084000,-790000,-4294000,-8306000,-8306000,-8306000,-6190000,-6190000,-6190000,-6190000,136590000,111795000,902981000,5777000,3512000,48488000,1209143000,938159000,884310000,114934000,13882000,1066975000,85600000,60296000,-865000,142168000,142168000,1209143000,-6190000,128000,10626000,505999.999999999,6943000,12013000,-3000,-4746000,-4723000.00000001,120000,-9352000,0,30455000,-1480000,28975000,31636000,31636000,31636000,-8178000,114934000,-1.12183,-0.83603,-0.04354,-0.00512,7.50503,0.09505,-0.81998,-0.81978,0.9808,18.8328,-0.00512,2.64808,2.60727
"37","2022_Q2",15.9620967741935,"Down",7885000,7158000,8823000,-1665000,727000,52000,454000,221000,-43438008.2637433,7885000,-5228000,-1055000,-4173000,2657000,2657000,2657000,2017000,2017000,2017000,2017000,134904000,88548000,858203000,5635000,3394000,62516000,1153200000,912688000,852368000,84974000,10981000,1008643000,85675000,62313000,-568000,144557000,144557000,1153200000,2017000,159000,43438008.2637433,2324000,-5466000,-966000,-18000,-11657000,64383000,1482000,54190000,-3e+07,-25471000,561000,-54910000,-1686000,-1686000,-1686000,2816000,84974000,0.33697,0.2558,0.01395,0.00175,6.97748,0.07369,0.26719,0.26713,1.04452,19.14927,0.00175,-17.73082,-18.79187
