"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q4",32.4421875,"Down",513000,-3325000,-1738000,-1587000,-2812000,3000,0,-2809000,-2809000,-2794000,-2794000,-2794000,-2794000,13697000,7998000,1035000,473000,473000,15205000,223000,3692000,3619000,73000,3915000,19120000,1792000,355000,1437000,893000,2685000,5194000,5194000,7879000,270038000,-259711000,914000,11241000,11241000,19120000,-2794000,249000,350000,233000,-1962000,-13000,560000,0,0,0,-1402000,-1402000,-1411000,-2563000,0,-5.48148,-5.44639,-0.24855,-0.14613,5.66294,0.70092,0,-1.1993,-1.1993,0.2202,4.82508,-0.17,5.34413,4.87091
"12","2014_Q1",43.9926229508197,"Up",492000,-4473000,-2153000,-2320000,-3981000,2000,1.13686837721616e-13,-3979000,-3979000,-3947000,-3947000,-3947000,-3947000,10273000,6899000,597000,1594000,1594000,12464000,179000,3606000,3430000,176000,3785000,16249000,2565000,671000,1894000,738000,3303000,5246000,5246000,8549000,270438000,-263658000,920000,7700000,7700000,16249000,-3947000,248000,428000,-109000,-3380000,-19000,2281000,4.65661287307739e-10,4.65661287307739e-10,4.65661287307739e-10,-1099000,-1099000,-1099000,-3733000,-2.71050543121376e-20,-8.09146,-8.02236,-0.5126,-0.24291,3.77354,1.11026,0,-1.69482,-1.69482,0.21126,3.30634,-0.30488,2.75194,2.58051
"13","2014_Q2",37.6825396825397,"Down",597000,-4315000,-1811000,-2504000,-3718000,1000,1123.57665692131,-3717000,-3717000,-3687000,-3687000,-3687000,-3687000,16454000,14546000,1112000,1546000,1546000,19112000,146000,3477000,3300000,177000,3623000,22735000,2169000,1082000,1087000,688000,2857000,5641000,5641000,8498000,280597000,-267345000,985000,14237000,14237000,22735000,-3687000,231000,234000,-555000,-3777000,-8000,1442000,9981000,9981000,9981000,7646000,7646000,7647000,-3487000,0,-6.22781,-6.17588,-0.25897,-0.16217,6.68953,0.5969,-1.61558713389263e-27,-1.42256,-1.42256,0.23034,5.49309,-0.18548,4.71867,4.4255
"14","2014_Q3",45.0515625,"Up",592000,-4205000,-1711000,-2494000,-3613000,1000,3132.91181789167,-3612000,-3540000,-3514000,-3514000,-3514000,-3514000,15721000,15219000,636000,875000,875000,17232000,133000,3454000,3127000,327000,3587000,20819000,1380000,176000,1204000,771000,2151000,6069000,6069000,8220000,282443000,-270859000,1015000,12599000,12599000,20819000,-3514000,223000,240000,794000,-2257000,59000,1309000,1620000,1620000,1620000,672000.000000002,672000.000000002,672999.999999999,-3390000,0,-6.10304,-5.93581,-0.27891,-0.16879,8.01116,0.65243,0,-1.30375,-1.30375,0.21964,4.67443,-0.18824,4.63746,4.35123
"15","2014_Q4",40.01875,"Down",1992000,-4215000,-1946000,-2269000,-2223000,1000,4825.79106991618,-2222000,-2218000,-2187000,-2187000,-2187000,-2187000,21267000,18555000,613000,582000,582000,22462000,292000,3267000,2940000,327000,3559000,26021000,1964000,761000,1203000,312000,2276000,5399000,5399000,7675000,290373000,-273046000,1019000,18346000,18346000,26021000,-2187000,231000,439000,-335000,-1852000,-50000,-2264000,7457000,7457000,7457000,3341000,3341000,3336000,-1992000,0,-1.11596,-1.09789,-0.11921,-0.08405,9.86907,0.41835,2.58493941422821e-26,-0.79033,-0.79033,0.71986,6.62981,-0.0921,10.6762,9.5668
"16","2015_Q1",41.9573770491803,"Up",291999.999999998,-4306000,-2e+06,-2306000,-4014000,2000,5000,-4012000,-4010000,-3967000,-3967000,-3967000,-3967000,18278000,15334000,517000,547000,547000,19342000,297000,3032000,2765000,267000,3329000,22671000,1988000,464000,1524000,138000,2126000,5621000,5621000,7747000,290893000,-277013000,1044000,14924000,14924000,22671000,-3967000,232000,465000,485000,-2785000,-171000,-421000,-14000,-14000,-14000.0000000019,-3220000,-3220000,-3221000,-3782000,0,-13.74658,-13.58562,-0.26581,-0.17498,9.09784,0.5191,0,-1.3571,-1.3571,0.0998900000000001,5.10547,-0.19309,4.83289,4.55356
"17","2015_Q2",39.7666666666667,"Down",25307000,-4518000,-1734000,-2784000,20789000,3000,3000,20792000,20792000,20566000,20566000,20566000,20566000,14308000,11384000,25462000,915000,915000,40685000,261000,2794000,2528000,266000,3055000,43740000,2208000,1105000,1103000,104000,2312000,5626000,5626000,7938000,291258000,-256447000,991000,35802000,35802000,43740000,20566000,231000,327000,-25118000,-3994000,-6000,-7000,56000,56000,56000,-3945000,-3945000,-3950000,21020000,0,0.82147,0.81266,0.57444,0.47019,17.59732,0.22172,-4.13590306276514e-25,7.01361,6.68487,8.63043,12.20953,0.49643,-0.680690000000001,-0.68825
"18","2015_Q3",39.2390625,"Down",521000,-4637000,-1870000,-2767000,-4116000,3000,3000,-4113000,-4113000,-4075000,-4075000,-4075000,-4075000,35686000,29751000,727000,935000,935000,37348000,265000,2567000,2301000,266000,2832000,40180000,2204000,384000,1820000,69000,2273000,5632000,5632000,7905000,291854000,-260522000,943000,32275000,32275000,40180000,-4075000,215000,440000,24671000,21251000,-22000,-3058000,179000,179000,179000,18372000,18372000,18367000,-3901000,-5.55111512312578e-17,-7.90019,-7.8215,-0.12626,-0.10142,16.43115,0.24493,0,-1.38761,-1.38761,0.177409999999998,10.99023,-0.1075,9.14791,8.67007
"19","2015_Q4",38.9546875,"Down",328000,-5380000,-2041000,-3339000,-5052000,10000,10000,-5042000,-5042000,-4998000,-4998000,-4998000,-4998000,31658000,23007000,430000,989000,989000,33077000,280000,2345000,2080000,265000,2625000,35702000,2183000,812000,1371000,35000,2218000,5637000,5637000,7855000,292468000,-265520000,899000,27847000,27847000,35702000,-4998000,212000,639000,193000,-3954000,-43000,-2783000,0,0,0,-6737000,-6737000,-6744000,-4840000,0,-15.40244,-15.2378,-0.17948,-0.13999,14.91298,0.28208,-3.30872245021211e-24,-1.69931,-1.69931,0.11152,9.4679,-0.14927,6.54091,6.26643
"20","2016_Q1",31.6147540983607,"Down",409000.000000001,-5609000,-2411000,-3198000,-5200000,6000,6000,-5194000,-5194000,-5146000,-5146000,-5146000,-5146000,28535000,19121000,622000,681000,681000,29838000,338000,2191000,1925000,266000,2529000,32367000,3315000,744000,2571000,33000,3348000,5651000,5651000,8999000,293089000,-270666000,945000,23368000,23368000,32367000,-5146000,224000,653000,1263000,-3006000,-90000,-885000,-2.91038304567337e-11,-2.91038304567337e-11,5.82076609134674e-11,-3891000,-3891000,-3886000,-4976000,0,-12.71394,-12.58191,-0.22022,-0.15899,8.91219,0.3851,0,-1.74969,-1.56926,0.13906,7.94533,-0.17733,5.73453,5.4875
"21","2016_Q2",30.6678125,"Down",466000,-5450000,-1968000,-3482000,-4984000,10000,10000,-4974000,-4974000,-4933000,-4933000,-4933000,-4933000,24005000,14088000,569000,589000,589000,25163000,318000,1979000,1713000,266000,2297000,27460000,2960000,893000,2067000,33000,2993000,5644000,5644000,8637000,293503000,-275599000,919000,18823000,18823000,27460000,-4933000,221000,439000,-220000,-4493000,-11000,-546000,9000,9000,9000,-5030000,-5030000,-5033000,-4763000,0,-10.69528,-10.58584,-0.26207,-0.17964,8.40728,0.45885,5.29395592033938e-23,-1.67698,-1.67698,0.15842,6.3989,-0.20162,5.03989,4.81641
"22","2016_Q3",36.2784375,"Up",526000,-5764000,-2043000,-3721000,-5238000,10000,10000,-5228000,-5228000,-5186000,-5186000,-5186000,-5186000,21091000,11210000,573000,198000,198000,21862000,311000,1777000,1512000,265000,2088000,23950000,3855000,303000,3552000,28000,3883000,5643000,5643000,9526000,294315000,-280785000,894000,14424000,14424000,23950000,-5186000,220000,517000,1275000,-3174000,-25000,-28000,329000,329000,329000,-2873000,-2873000,-2878000,-5018000,7.105427357601e-15,-9.95817,-9.85932,-0.35954,-0.21653,5.63018,0.66043,0,-1.76173,-1.76173,0.17869,4.89996,-0.25843,4.20307,4.02654
"23","2016_Q4",20.2619047619048,"Down",324000,-5420000,-2346000,-3074000,-5096000,21000,21000,-5075000,-5075000,-5041000,-5041000,-5041000,-5041000,33274000,24867000,472000,532000,532000,34278000,311000,1576000,1311000,265000,1887000,36165000,3949000,571000,3378000,19000,3968000,5644000,5644000,9612000,311497000,-285826000,882000,26553000,26553000,36165000,-5041000,216000,679000,-156000,-4302000,-31000,1433000,16530000,16530000,16530000,13661000,13661000,13657000,-4880000,0,-15.7284,-15.55864,-0.18985,-0.13939,8.63861,0.36199,-8.470329472543e-22,-1.50307,-1.50307,0.09661,7.91729,-0.15657,6.81844,6.52943
"24","2017_Q1",17.7637096774194,"Down",304000,-6760000,-2656000,-4104000,-6456000,31000,31000,-6425000,-6425000,-6387000,-6387000,-6387000,-6387000,28992000,15313000,488000,483000,483000,29963000,290000,1366000,1102000,264000,1656000,31619000,4946000,1363000,3583000,147000,5093000,5645000,5645000,10738000,312242000,-292213000,852000,20881000,20881000,31619000,-6387000,251000,615000,1174000,-4347000,-46000,-5321000,122000,122000,122000,-9546000,-9546000,-9554000,-6205000,-1.13686837721616e-13,-21.23684,-21.00987,-0.30588,-0.202,5.88317,0.51425,0,-1.87286,-1.87286,0.08914,6.12294,-0.24078,4.67236,4.49071
"25","2017_Q2",19.034126984127,"Up",277000,-7463000,-3285000,-4178000,-7186000,24000,24000,-7162000,-7162000,-7162000,-7162000,-7162000,-7162000,22546000,14308000,462000,495000,495000,23503000,257000,1173000,910000,263000,1430000,24933000,4703000,1015000,3688000,139000,4842000,5643000,5643000,10485000,312985000,-299375000,838000,14448000,14448000,24933000,-7162000,189000,729000,-242000,-6486000,33000,5480000,9000,9000,9000,-997000,-997000,-1005000,-6997000,0,-25.94224,-25.8556,-0.49571,-0.28725,4.85399,0.72571,0,-2.09568,-2.09568,0.08105,4.22765,-0.35648,3.22224,3.13749
"26","2017_Q3",12.768253968254,"Down",5971000,-6065000,-2900000,-3165000,-94000,27000,27000,-67000.0000000009,-67000,-67000.0000000009,-67000.0000000009,-67000.0000000009,-67000.0000000009,17532000,11685000,457000,546000,546000,18535000,231000,980000,718000,262000,1211000,19746000,4791000,1110000,3681000,136000,4927000,57000,57000,4984000,313381000,-299442000,823000,14762000,14762000,19746000,-67000.0000000009,206000,-5191000,42999.9999999998,-5009000,-5000,2388000,4.65661287307739e-10,4.65661287307739e-10,-4.65661287307739e-10,-2621000,-2621000,-2623000,112000.000000001,1.81898940354586e-12,-0.0157399999999974,-0.011219999999998,-0.00454,-0.00339,3.76192,0.33762,0,-0.0196000000000001,-0.0196000000000001,1.74708,4.31928,-0.00452,-156.53571,186.51064
"27","2017_Q4",12.0325396825397,"Down",590000,-5750000,-2426000,-3324000,-5160000,20000,20000,-5140000,-5140000,-5140000,-5140000,-5140000,-5140000,15370000,12871000,3e+05,8e+05,8e+05,16470000,241000,794000,540000,254000,1035000,17505000,4684000,741000,3943000,256000,4940000,55000,55000,4995000,316268000,-304582000,824000,12510000,12510000,17505000,-5140000,206000,643000,-252000,-4543000,-16000,3335000,2395000,2395000,2395000,1187000,1187000,1186000,-4954000,0,-8.74576,-8.71186,-0.41087,-0.29363,3.33401,0.39928,1.0842021724855e-19,-1.49566,-1.49566,0.17168,3.64023,-0.40907,3.10254,2.97868
"28","2018_Q1",11.3049180327869,"Down",701000,-6837000,-2624000,-4213000,-6136000,20000,20000,-6116000,-6116000,-6116000,-6116000,-6116000,-6116000,16898000,16898000,251000,591000,591000,17740000,313000,624000,364000,260000,937000,18677000,5240000,1016000,4224000,50000,5290000,51000,51000,5341000,323323000,-310820000,833000,13336000,13336000,18677000,-6116000,214000,681000.000000001,769000,-4452000,-126000,2374000,6099000,6099000,6099000,4021000,4021000,4027000,-5922000,2.91038304567337e-11,-8.75321,-8.72468,-0.45861,-0.32746,3.3535,0.40049,0,-1.58208,-1.58212,0.18133,3.44974,-0.45686,2.85343,2.75391
"29","2018_Q2",19.621875,"Up",385000,-6391000,-2572000,-3819000,-6006000,23000,23000,-5983000,-5983000,-5983000,-5983000,-5983000,-5983000,11833000,11833000,287000,427000,427000,12547000,337000,443000,184000,259000,780000,13327000,4269000,1756000,2513000,10000,4279000,47000,47000,4326000,324967000,-316803000,837000,9001000,9001000,13327000,-5983000,221000,681000,-887000,-5968000,-64000,-64000,963000,963000,963000,-5069000,-5069000,-5065000,-5785000,0,-15.6,-15.54026,-0.6647,-0.44894,2.93223,0.48061,-1.73472347597681e-18,-1.51737,-1.51737,0.09764,2.28278,-0.66125,2.04546,1.9702
"30","2018_Q3",22.9285714285714,"Up",933000,-6741000,-2472000,-4269000,-5808000,26000,26000,-5782000,-5782000,-5782000,-5782000,-5782000,-5782000,12876000,12876000,288000,481000,481000,13645000,293000,259000,0,259000,552000,14197000,3745000,1483000,2262000,505000,4250000,42000,42000,4292000,331654000,-322585000,836000,9905000,9905000,14197000,-5782000,228000,606000,-89999.9999999998,-5038000,0,0,6081000,6081000,6081000,1043000,1043000,1043000,-5580000,-4.65661287307739e-10,-6.22508,-6.19721,-0.58375,-0.40727,3.21059,0.43332,0,-1.29845,-1.29845,0.20952,2.22434,-0.58128,2.30753,2.21694
"31","2018_Q4",24.2079365079365,"Up",928000,-5606000,-2281000,-3325000,-4678000,25000,25000,-4653000,-6978000,-6978000,-6978000,-6978000,-6978000,16346000,16346000,478000,851000,851000,17675000,250000,32233000,31973000,260000,32483000,50158000,5975000,2760000,3215000,15240000,21215000,7895000,20745000,41960000,336924000,-329563000,837000,8198000,8198000,50158000,-6978000,43000,2768000,-653000,-4820000,1000,-15071000,9266000,9266000,23361000,3470000,3470000,3470000,-4635000,12850000,-5.04095,-7.5194,-0.85118,-0.13912,0.83314,5.11832,0.25619,-1.53053,-1.53053,0.20354,1.79812,-0.24109,0.75426,0.74733
"32","2019_Q1",23.7639344262295,"Down",715000,-10497000,-5732000,-4765000,-9782000,-693000,27000,-10475000,-34428000,-34428000,-34428000,-34428000,-34428000,38776000,38776000,353000,780000,780000,39909000,253000,31508000,31358000,150000,31761000,71670000,6663000,2940000,3723000,1.5e+07,21663000,21011000,38320000,59983000,374840000,-363991000,838000,11687000,11687000,71670000,-34428000,656000,25136000,2555000,-6081000,-45000,-1753000,25708000,25708000,30266000,22432000,22432000,22430000,-9126000,17309000,-13.68112,-48.15105,-2.94584,-0.48037,1.84227,5.13245,0.24151,-6.21983,-6.21983,0.12917,2.1114,-0.68846,2.35229,2.19454
"33","2019_Q2",16.8174603174603,"Down",486000,-14040000,-7807000,-6233000,-13554000,-686000,129000,-14240000,-33126000,-33126000,-33126000,-33126000,-33126000,55764000,55764000,489000,1389000,1389000,57642000,320000,30893000,30743000,150000,31213000,88855000,7418000,4075000,3343000,1.5e+07,22418000,1269000,18732000,41150000,443766000,-396899000,838000,47705000,47705000,88855000,-33126000,658000,20437000,265000,-11766000,-109000,-109000,28863000,28863000,28863000,16988000,16988000,16988000,-12896000,17463000,-27.88889,-68.16049,-0.69439,-0.37281,2.57124,0.86259,0.19653,-4.40681,-4.40681,0.06465,6.34628,-0.49861,2.96999,2.82581
"34","2019_Q3",15.490625,"Down",8736000,-18963000,-16213000,-1520000,-11262000,-1424000,380000,-12686000,2390000,2390000,2390000,2390000,2390000,44161000,44161000,9598000,3144000,3144000,58573000,417000,32340000,28899000,3441000,32757000,91330000,10280000,6066000,4214000,441000,10721000,6149000,52399000,63120000,466599000,-439229000,840000,28210000,28210000,91330000,2390000,650000,-13217000,-8498000,-18675000,-98000,-98000,-10212000,-10212000,684999.999999996,-18088000,-18088000,-18088000,-10612000,46250000,-1.28915,0.273579999999981,0.08472,0.02617,5.46339,2.2375,0.50641,0.1889,0.1889,0.69046,2.22962,0.02965,-0.19685,-0.18549
"35","2019_Q4",17.828125,"Up",2510000,-16242000,-12143000,-3484000,-14060000,-1587000,183000,-15647000,-15647000,-15647000,-15647000,-15647000,-15647000,31760000,31760000,8855000,3887000,3887000,47061000,386000,31620000,28284000,3336000,32006000,79067000,9907000,5461000,4446000,461000,10368000,6028000,52761000,63129000,469974000,-454876000,840000,15938000,15938000,79067000,-15647000,646000,1459000,-1230000,-14772000,0,0,2412000,2412000,2371000,-12401000,-12401000,-12401000,-13414000,46733000,-5.60159,-6.23386,-0.98174,-0.1979,4.53906,3.96091,0.59106,-1.46225,-1.46225,0.23457,1.48945,-0.22776,-1.11622,-1.06494
"36","2020_Q1",14.8387096774194,"Down",8633000,-16294000,-11548000,-4131000,-8985000,-1425000,362000,-10410000,-10410000,-10410000,-10410000,-10410000,-10410000,22214000,22214000,11368000,5997000,5997000,41717000,357000,30897000,27669000,3228000,31254000,72971000,11024000,4192000,6832000,496000,11520000,5898000,53121000,64641000,472776000,-465286000,840000,8330000,8330000,72971000,-10410000,650000,1347000,-3073000,-11486000,-6000,-6000,1978000,1978000,1945000,-9547000,-9547000,-9546000,-8335000,47223000,-1.04077,-1.20584,-1.2497,-0.14266,3.62127,7.76002,0.64715,-0.9592,-0.9592,0.79546,0.76754,-0.1694,-3.00048,-2.78342
"37","2020_Q2",8.6,"Down",7489000,-17953000,-12485000,-4853000,-11444000,-1730000,54000,-13174000,-13174000,-13174000,-13174000,-13174000,-13174000,26299000,26299000,14390000,5647000,5647000,49694000,425000,30171000,27054000,3117000,30596000,80290000,9717000,5158000,4559000,581000,10298000,5802000,53518000,63816000,494094000,-478460000,840000,16474000,16474000,80290000,-13174000,648000,1654000,-5473000,-16345000,-16000,-16000,20472000,20472000,20446000,4085000,4085000,4085000,-10796000,47716000,-1.52811,-1.75911,-0.79968,-0.16408,4.8256,3.87374,0.5943,-1.14031,-1.14031,0.64823,1.42595,-0.18822,-1.98379,-1.87146
