"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",18.3738709677419,"Up",504076000,-325954000,178122000,-117137000,-117137000,60985000,-1517000,-4198000,2681000,59468000,59468000,-18919000,40549000,40549000,40549000,40549000,143058000,143058000,197023000,234790000,24436000,24436000,599307000,177723000,147130000,92070000,34338000,20646000,387221000,986528000,402965000,124168000,278797000,1858000,404823000,223467000,20491000,7822000,243958000,648781000,58771000,289892000,-10916000,337747000,337747000,986528000,40549000,12265000,672000,22426000,75912000,-6235000,0,-899000,-6520000,-222000,-7218000,4069000,-11287000,1201000,-12759000,62254000,62254000,-1768000,60486000,73250000,225325000,108360000,0.35336,0.12098,0.08044,0.12006,0.0411,2.67232,1.48042,1.92091,0.2284,0.34337,0.33603,4.26857,2.86008,0.91761,0.05521,0.08066,0.18569,0.16079,1.1231,1.34897
"12","2013_Q1",19.9195,"Up",339294000,-226395000,112899000,-108792000,-108792000,4106999.99999999,-1791000,-4115000,2324000,2316000,2316000,-2065000,251000,251000,251000,251000,125856000,125856000,147410000,251117000,24437000,24437000,548820000,180523000,142542000,9.2e+07,32065000,18477000,386379000,935199000,179334000,124806000,53363000,1858000,378122000,223482000,21193000,7770000,244675000,622797000,58266000,264110000,-9974000,312402000,312402000,935199000,251000,15705000,785000,3650000,20391000,-14707000,0,-11393000,-6482000,34000,-23031000,3010000,-26041000,937000,-28542000,-19544000,-19544000,2342000,-17202000,19812000,225340000,10820000,0.33275,0.0121,0.000740000000000005,0.000800000000000009,0.000269999999999999,43.10757,1.45144,1.99358,0.24095,0.00213000000000002,0.00208000000000003,2.88148,2.6531,0.0918900000000001,0.05505,0.01205,0.01936,25.8247,5.0214,24.22303
"13","2013_Q2",20.301875,"Up",444661000,-278844000,165817000,-119613000,-119613000,46204000,-2806000,-4249000,1443000,43398000,43398000,-12002000,31396000,31396000,31396000,31396000,60700000,60700000,180317000,335700000,25291000,25291000,602008000,173267000,144990000,92038000,30606000,22346000,382135000,984143000,427243000,168334000,258909000,250000,427493000,223498000,20309000,6531000,243807000,671300000,57855000,264056000,-9068000,312843000,312843000,984143000,31396000,13517000,1450000,-69825000,-23462000,-3220000,-2139809.11970302,-5704000,-8198000,-1993000,-29583000,3602000,-33185000,3442000,-36332000,-65498000,-65498000,342000,-65156000,59721000,223748000,-1322000,0.37291,0.10391,0.07061,0.10036,0.0319,-0.04211,1.40823,2.1458,0.22735,0.26843,0.26327,3.80182,2.67479,-0.0113,0.07009,0.0711,-0.00237,0.26112,2.73016,3.52887
"14","2013_Q3",22.46546875,"Up",704486000,-452185000,252301000,-134830000,-134830000,117471000,-1154000,-4149000,2995000,116317000,116317000,-37915000,78402000,78402000,78402000,78402000,80341000,80341000,307770000,309998000,30434000,30434000,728543000,177060000,146583000,92049000,29153000,25381000,386411000,1114954000,498358000,203710000,294648000,250000,498608000,223513000,19790000,6287000,243303000,741911000,57616000,324181000,-8754000,373043000,373043000,1114954000,78402000,13373000,716000,-32381000,60110000,-16215000,-2689185.96695579,-18400000,-8166000,30000.0000000002,-14343000,2971000,-17314000,1135000,-21344000,20366000,20366000,-725000,19641000,130844000,223763000,120163000,0.35813,0.16675,0.11129,0.21017,0.07032,1.53265,1.46115,1.98881,0.20069,0.67434,0.66154,6.05936,3.20859,1.03354,0.07024,0.1404,0.19488,0.104160000000002,1.09613,1.22091
"15","2013_Q4",26.14578125,"Up",509918000,-331887000,178031000,-119451000,-119451000,58580000,-927000,-3909000,2982000,57653000,57653000,-17556000,40097000,40097000,40097000,40097000,161180000,161180000,202148000,258929000,27426000,27426000,649683000,179943000,139180000,91951000,27780000,19351000,381447000,1031130000,408946000,124244000,284702000,143027.588842037,408946000,223528000,20037000,6592000,243565000,652511000,57143000,335941000,-14465000,378619000,378619000,1031130000,40097000,12314000,314000,68767000,121492000,-14611000,-2419219.83073067,-6965000,-8089000,-221000,-23931000,1573000,-25504000,619000,-31622000,82905000,82905000,-2066000,80839000,70894000,223528000,142606000,0.34914,0.11488,0.07863,0.1059,0.03889,3.55653,1.58868,1.7234,0.21678,0.3477,0.34031,4.42169,3.28315,1.23659,0.07014,0.07745,0.2292,0.20174,0.87945,1.06432
"16","2014_Q1",28.5818032786885,"Up",382366000,-253718000,128648000,-120241000,-120241000,8407000,938000,-3903000,4841000,9345000.00000001,9345000.00000001,-4395000,4950000,4950000,4950000,4950000,182993000,182993000,157171000,240089000,33258000,33258000,613511000,185096000,164385000,91914000,28308000,18182000,389237000,1002748000,180793000,136158000,42697000,-81846.6938883853,388845000,223544000,31621000,14753000,255165000,644010000,56789000,314519000,-12570000,358738000,358738000,1002748000,4950000,14930000,819000,43037000,63736000,-14968000,-2101000,-13704000,-8046000,29999.9999999995,-21922000,1662000,-23584000,938000,-2.9e+07,21032000,21032000,781000,21813000,23337000,223544000,55801000,0.33645,0.02199,0.01295,0.0138,0.00494,11.27293,1.57778,1.79521,0.22293,0.04311,0.04222,3.32984,3.12408,0.48594,0.07007,0.02117,0.0909,1.62545,1.73763,4.82348
"17","2014_Q2",28.4446031746032,"Down",445981000,-282467000,163514000,-122916000,-122916000,40598000,-1843000,-3753000,1910000,38755000,38755000,-12886000,25869000,25869000,25869000,25869000,104025000,104025000,199829000,304921000,35507000,35507000,644282000,189186000,167537000,91786000,28202000,21773000,395313000,1039595000,443287000,192727000,250560000,140000,443427000,223839000,30889000,14407000,254728000,698155000,56436000,298492000,-13488000,341440000,341440000,1039595000,25869000,13285000,4511000,-56259000,-12594000,-18057000,-715000,-20176000,-11381000,-819000,-38937000,3076000,-42013000,5527000,-45610000,-78380000,-78380000,-588000,-78968000,53883000,223979000,-7547000,0.36664,0.09103,0.058,0.07576,0.02488,-0.29174,1.45296,2.04474,0.21545,0.22684,0.22184,3.91074,2.99404,-0.06618,0.0998,0.06247,-0.01266,0.43995,2.22619,2.95468
"18","2014_Q3",27.26046875,"Down",745030000,-480490000,264540000,-133661000,-133661000,130879000,-1763000,-3683000,1920000,129116000,129116000,-42030000,87086000,87086000,87086000,87086000,129909000,129909000,313489000,302477000,29218000,29218000,775093000,192751000,172141000,91812000,26691000,27696000,404153000,1179246000,538486000,235971000,302515000,140000,538626000,223855000,31215000,14355000,255070000,793696000,55887000,340482000,-10819000,385550000,385550000,1179246000,87086000,13304000,-2732000,-7115000.00000001,90543000,-14510000,9.31322574615479e-10,-17974000,-11289000,29000.0000000019,-37996000,1685000,-39681000,1130000,-48126000,24443000,24443000,1441000,25884000,144183000,223995000,164588000,0.35507,0.17567,0.11689,0.22587,0.07385,1.88995,1.43902,2.05861,0.18995,0.77073,0.75368,6.59365,3.41219,1.45663,0.09991,0.15353,0.25686,0.12963,0.65255,0.71888
"19","2014_Q4",27.71046875,"Up",567540000,-365460000,202080000,-130043000,-130043000,72037000,-1239000,-3629000,2390000,70798000,70798000,-20785000,50013000,50013000,50013000,50013000,177894000,177894000,215595000,293761000,33764000,33764000,721014000,202828000,165250000,91812000,25261000,22226000,406813000,1127827000,458475000,168956000,289519000,1274000,459749000,223800000,31545000,14474000,255345000,715094000,55706000,368020000,-10993000,412733000,412733000,1127827000,50013000,11515000,1060000,23676000,86264000,-20500000,0,-13308000,-11201000,1108000,-16761000,2052000,-18813000,1879000,-24975000,47981000,47981000,4000,47985000,83552000,225074000,107513000,0.35606,0.12693,0.08812,0.12118,0.04434,2.1497,1.56828,1.73258,0.19956,0.44682,0.43626,5.0704,3.68735,0.96052,0.10007,0.09145,0.16062,0.22396,0.56468,0.65494
"20","2015_Q1",29.8645901639344,"Up",414140000,-271003000,143137000,-123494000,-123494000,19643000,-1867000,-4361000,2494000,17776000,17776000,-6874000,10902000,10902000,10902000,10902000,314873000,314873000,158158000,274603000,33580000,33580000,781214000,205195000,163184000,91851000,23829000,21429000,411201000,1192415000,169029000,124271000,40059000,27458000,400420000,347316000,35952000,25005000,383268000,783688000,55678000,368754000,-15705000,408727000,408727000,1192415000,10902000,15034000,-3482000,-4302000,18152000,-17592000,0,-14244000,-11177000,148737000,-2153000,379000,-2532000,321000,135728000,139636000,139636000,-2657000,136979000,34677000,374774000,19657000,0.34562,0.04743,0.02632,0.02667,0.00914,1.80306,1.95099,1.91739,0.3143,0.09742,0.09544,3.70072,3.65235,0.17565,0.09988,0.02694,0.02399,1.02522,1.7274,3.04948
"21","2015_Q2",31.0439682539683,"Up",474211000,-305212000,168999000,-124577000,-124577000,44422000,-2449000,-4716000,2267000,41973000,41973000,-11023000,30950000,30950000,30950000,30950000,82914000,82914000,205287000,364390000,41084000,41084000,693675000,214783000,373296000,194934000,128704000,24029000,628493000,1322168000,440868000,195569000,245299000,67340000,508208000,364662000,35458000,24646000,400120000,908328000,55646000,379247000,-21053000,413840000,413840000,1322168000,30950000,14849000,1051000,-70241000,-23391000,-10076000,-197782000,-208243000,-14014000,25587000,-12299000,2379000,-14678000,3140000,2414000,-229220000,-229220000,-2739000,-231959000,59271000,432002000,-10023000,0.35638,0.09368,0.06527,0.07479,0.02341,-0.32384,1.36494,2.19488,0.32674,0.27613,0.27034,4.23078,3.69216,-0.08942,0.12503,0.05102,-0.01137,0.45279,5.88969,7.85845
"22","2015_Q3",31.508125,"Up",826242000,-544270000,281972000,-143517000,-143517000,138455000,-2318000,-4768000,2450000,136137000,136137000,-42374000,93763000,93763000,93763000,93763000,109295000,109295000,351602000,341440000,38210000,38210000,840547000,219941000,375437000,194854000,124542000,29625000,638580000,1479127000,570896000,256391000,314505000,48344000,619240000,361428000,35455000,24211000,396883000,1016123000,55265000,431897000,-24158000,463004000,463004000,1479127000,93763000,15764000,-824000,9936000,118639000,-17128000,-547000.00000003,-21802000,-13961000,-27146000,-31856000,2789000,-34645000,1917000,-71046000,25790999.9999999,25790999.9999999,590000,26381000,154219000,409772000,189401000,0.34127,0.16757,0.11348,0.20251,0.06339,2.02,1.35738,2.19463,0.27704,0.83919,0.82144,7.39499,4.14395,1.69517,0.12495,0.11861,0.20854,0.1489,1.94838,2.17021
"23","2015_Q4",34.11421875,"Up",609615000,-393225000,216390000,-136985000,-136985000,79405000,-1789000,-4587000,2798000,77616000,77616000,-24292000,53324000,53324000,53324000,53324000,110335000,110335000,227806000,350194000,39743000,39743000,728078000,220322000,368212000,194727000,121804000,25317000,631873000,1359951000,470503000,169927000,300576000,28468000,498971000,358053000,37754000,26430000,395807000,894778000,54835000,439085000,-28747000,465173000,465173000,1359951000,53324000,15331000,-798000,4909000,72766000,-10263000,0,-3823000,-13819000,-18555000,-38223000,3447000,-41670000,2751000,-67846000,1097000,1097000,-57000,1040000,94736000,386521000,113674000,0.35496,0.13025,0.08747,0.11463,0.03921,2.13176,1.45916,1.92354,0.28422,0.48206,0.47152,5.51099,4.20522,1.02763,0.12493,0.07549,0.1278,0.25915,2.91532,3.47819
"24","2016_Q1",35.1608196721311,"Up",480807000,-312233000,168574000,-131742000,-131742000,36832000,-1527000,-4686000,3159000,35305000,35305000,-11751000,23554000,23554000,23554000,23554000,126275000,126275000,177013000,334514000,34782000,34782000,672584000,224995000,406079000,195533000,119010000,24873000,631074000,1303658000,209872000,152017000,53580000,23356000,443734000,354818000,42941000,31569000,397759000,841493000,109302000,382706000,-29843000,462165000,462165000,1303658000,23554000,17199000,7390000,33435000,81578000,-18728000,7.45058059692383e-09,-20656000,-13755000,-8396000,-14383000,588000,-14971000,-8808000,-45342000,15580000,15580000,360000,15940000,54031000,378174000,80489000,0.35061,0.0766,0.04899,0.05096,0.01807,3.41721,1.51574,1.82076,0.29009,0.21396,0.20967,4.36756,4.19822,0.73115,0.12495,0.04224,0.09113,0.58398,4.66212,6.83913
"25","2016_Q2",40.11875,"Up",486398000,-303744000,182654000,-128815000,-128815000,53839000,-142000,-4654000,4512000,53697000,53697000,-14436000,39261000,39261000,39261000,39261000,118140000,118140000,190297000,422036000,36983000,36983000,767456000,221523000,401697000,195222000,116123000,24352000,623220000,1390676000,474104000,211216000,262888000,76310000,550414000,337969000,42364000,31118000,380333000,930747000,108965000,386657000,-35693000,459929000,459929000,1390676000,39261000,15741000,135000,-50606000,4531000,-10620000,1500000,-8355000,-16496000,38418000,-24990000,2495000,-27485000,-14667559.3513504,-3068000,-6892000,-6892000,-1243000,-8135000,69580000,414279000,22790000,0.37552,0.11069,0.08072,0.08536,0.02823,0.58047,1.39432,2.02368,0.2979,0.35683,0.34953,4.42067,4.18011,0.20713,0.14993,0.06083,0.02486,0.42016,4.25609,5.50046
"26","2016_Q3",43.11453125,"Up",836441000,-533254000,303187000,-148097000,-148097000,155090000,-848000,-4721000,3873000,154242000,154242000,-48561000,105681000,105681000,105681000,105681000,174639000,174639000,329837000,369070000,36683000,36683000,910229000,222069000,407356000,195358000,113570000,30015000,629425000,1539654000,577315000,260504000,316811000,23286000,600601000,334822000,41623000,30058000,376445000,977046000,109520000,484573000,-31485000,562608000,562608000,1539654000,105681000,15785000,300000.000000001,22142000,143908000,-11799000,0,-15429000,-16509000,-56367000,-1344000,12189000,-13533000,-12409752.1449166,-74220000,54259000,54259000,2240000,56499000,170875000,358108000,229779000,0.36247,0.18542,0.12635,0.18784,0.06864,2.17427,1.51553,1.73664,0.23259,0.96242,0.94373,7.6173,5.12356,2.09255,0.15034,0.12697,0.23877,0.15622,1.0737,1.18298
"27","2016_Q4",47.1847619047619,"Up",600980000,-384363000,216617000,-134664000,-134664000,81953000,-1166000,-4646000,3480000,80787000,80787000,-24965000,55822000,55822000,55822000,55822000,277243000,277243000,202389000,327114000,39658000,39658000,846404000,220876000,397165000,195016000,110785000,26148000,618041000,1464445000,490784000,172156000,318628000,22627000,513411000,331641000,41543000,29585000,373184000,886595000,109290000,505131000,-36571000,577850000,577850000,1464445000,55822000,14806000,-222000,85140000,155546000,-11950000,0,-5491000,-16483000,-3925000,-23164000,5007000,-28171000,-6652318.86602452,-43572000,106483000,106483000,-3879000,102604000,96759000,354268000,194914000,0.36044,0.13637,0.09288,0.0966,0.03812,3.49171,1.64859,1.5343,0.24191,0.50746,0.49773,5.46336,5.25309,1.77191,0.14984,0.07426,0.20019,0.29528,0.79605,0.93987
"28","2017_Q1",55.2848387096774,"Up",468356000,-296219000,172137000,-128623000,-128623000,43514000,-1780000,-5315000,3535000,41734000,41734000,-11504000,30230000,30230000,30230000,30230000,273555000,273555000,163265000,307034000,35155000,35155000,779009000,222038000,383525000,194782000,108093000,23422000,605563000,1384572000,228241000,174668000,53573000,22484000,463839000,328477000,42221000,30391000,370698000,834537000,108427000,480044000,-38436000,550035000,550035000,1384572000,30230000,17765000,20295000,12010000,80300000,-16044000,9.31322574615479e-10,-19638000,-16402000,-3393999.99999999,-40262000,535000,-40797000,-2013000,-62071000,-1408999.99999999,-1408999.99999999,-2279000,-3688000,61279000,350961000,68749000,0.36753,0.09291,0.06454,0.05496,0.02183,2.2742,1.67948,1.51724,0.25348,0.27608,0.27116,4.2773,5.02324,0.62786,0.14979,0.04944,0.07289,0.54257,1.26317,1.77888
"29","2017_Q2",62.1185714285714,"Up",515839000,-322359000,193480000,-132910000,-132910000,60570000,-1017000,-4883000,3866000,59553000,59553000,-14563000,44990000,44990000,44990000,44990000,158893000,158893000,183850000,402103000,36470000,36470000,781316000,226917000,394680000,201246000,110782000,25788000,621597000,1402913000,496164000,232440000,263724000,22960000,519124000,315314000,55439000,30267000,370753000,889877000,107575000,443559000,-38098000,513036000,513036000,1402913000,44990000,16516000,1970000,-48084000,15392000,-11620000,-23882000,-35600000,-18994000,-12702000,-64590000,3128000,-67718000,-1629952.60118683,-96286000,-116494000,-116494000,1832000,-114662000,77086000,338274000,31945000,0.37508,0.11742,0.08722,0.08769,0.03207,0.71005,1.50507,1.73453,0.24112,0.41417,0.40614,4.74872,4.72291,0.29408,0.17486,0.07056,0.03523,0.42218,2.32702,2.96155
