"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",24.6725806451613,"Up",143481000,-18374000,125107000,28092000,-79743000,-5876000,153199000,-3626000,-4735000,1109000,149573000,149573000,-8023000,141550000,27652000,27652000,27652000,305900000,305900000,199006000,199006000,105524000,40424000,40424000,650854000,130015000,826850000,676791000,84119000,45356000,20584000,956865000,1607719000,110310000,86646000,14357000,9307000,350388000,350388000,521962000,76404000,76404000,76404000,598366000,310252000,-92600000,732290000,59411000,1009353000,1009353000,1607719000,27652000,10745000,4183000,14714000,57294000,-3398000,-1408000,-7845000,-9783000,1323000,1323000,-43287000,-51747000,-2298000,-2298000,-3608000,-5906000,163944000,61264000,183283000,0.87194,1.06773,0.19272,0.0274,0.0172,6.6282,1.24694,0.59282,0.03811,0.52657,0.52171,2.73229,19.22101,3.49024,0.1863,0.03264,0.15979,0.35379,-1.49219,-1.59685
"12","2013_Q1",27.3811666666667,"Up",257931000,-113205000,144726000,-112154000,-99176000,-8871000,32572000,-4012000,-4375000,363000,28560000,28560000,-9395000,19165000,11659000,11659000,11659000,305900000,305900000,199006000,199006000,105524000,40424000,40424000,650854000,130015000,826850000,676791000,84119000,45356000,20584000,956865000,1607719000,110310000,86646000,14357000,9307000,350388000,350388000,521962000,76404000,76404000,76404000,598366000,310252000,-92600000,732290000,59411000,1009353000,1009353000,1607719000,11659000,11066000,-4140000,25525000,44110000,-9649000,1249000,-42154000,-9664000,-37384000,240000,-20135000,-67183000,-65227000,-65227000,-3298000,-68525000,43638000,61264000,68909000,0.5611,0.12628,0.0452,0.01155,0.00725,5.91037,1.24694,0.59282,0.03811,0.22337,0.22048,4.94168,19.33812,1.32022,0.18515,0.01859,0.06008,0.82889,-5.60603,-7.51062
"13","2013_Q2",25.9725,"Down",270866000,-121342000,149524000,-106896000,-99009000,-7887000,42628000,-3766000,-4163000,397000,38862000,38862000,-13077000,25785000,27188000,27188000,27188000,245653821.006003,245653821.006003,226776947.300172,226776947.300172,121321395.289089,18733889.8360859,44972466.8103982,612486053.431351,143852873.337665,952648524.905883,768547943.217182,135945448.372577,26145002.4441682,22010130.8719555,1096501398.24355,1708987451.6749,121369740.801217,101490135.601054,10994331.7501342,8885273.45002871,361020236.162855,361020236.162855,612831496.275037,84969405.8300508,84969405.8300508,84969405.8300508,697800902.105088,311792794.989038,-89594257.7356475,717403601.891714,71584410.4247053,1011186549.56981,1011186549.56981,1708987451.6749,27188000,10675000,7428000,-25073000,20218000,-6177000,-70000,3931000,-9705000,-3437000,1684000,401000,-12741000,11408000,11408000,4001000,15409000,53303000,0,35130000,0.55202,0.15738,0.10037,-0.033591848561924,-0.0197786554851517,1.29211,1.02494605823618,0.689441400603008,0.0746339517880788,0.53269,0.52986,5.30704,19.6180605800767,0.6883,0.19015,-0.0197810496917604,-0.00699936108131088,0.35696,-2.84384893699521,-4.05670499647436
"14","2013_Q3",26.4040625,"Up",273851000,-131299000,142552000,-120147000,-110001000,-8213000,22405000,-3509000,-4406000,897000,18896000,18896000,-29061000,-10165000,-8684000,-8684000,-8684000,141311000,141311000,229219000,229219000,124831000,47656000,47656000,543017000,150742000,1092210000,877972000,185495000,6032000,22711000,1242952000,1785969000,120379000,103197000,8869000,8313000,351911000,351911000,645894000,102225000,102225000,102225000,748119000,313435000,-88354000,731294000,81475000,1037850000,1037850000,1785969000,-8683999.99999999,11371000,28828000,-7539000.00000001,23976000,-9490000,-479000,-310726000,-9794000,2725000,2725000,871999.999999998,101331000,-185419000,-185419000,5421000,-179998000,33776000,173604000,45808000,0.52055,0.0818100000000001,-0.03171,-0.00837000000000001,-0.00486,-5.27499,0.84072,0.72084,0.0972,-0.16969,-0.16796,5.35106,20.27962,0.89509,0.19138,0.000839999999999997,0.0348699999999999,-1.12782,0.956089999999999,1.44133
"15","2013_Q4",24.0228125,"Down",302483000,-143082000,159401000,-128466000,-111864000,-8062000,30935000,-3053000,-4186000,1133000,27882000,27882000,-6202000,21680000,4232000,4232000,4232000,77034000,77034000,177343000,177343000,99606000,150084000,41461000,504067000,133649000,1043252000,841449000,174583000,6305000,20915000,1176901000,1680968000,93457000,75204000,10650000,7603000,324298000,324298000,537678000,109635000,109635000,109635000,647313000,311530000,-79996000,725682000,76439000,1033655000,1033655000,1680968000,4232000,13991000,26985000,228000,45436000,-10415000,-696000,-11511000,-9845000,5837000,5837000,521000,-95038000,-61113000,-61113000,-3164000,-64277000,44926000,119923000,40941000,0.52698,0.10227,0.01399,0.00409,0.00252,9.67415,0.93749,0.62624,0.07134,0.08231,0.08132,5.88328,20.10454,0.7963,0.19148,0.01114,0.03241,2.32632,0.95466,1.38642
"16","2014_Q1",22.8173770491803,"Down",310592000,-152721000,157871000,-336395000,-106984000,-9390000,-178524000,-2790000,-3886000,1096000,-181314000,-181314000,5757000,-175557000,-177271000,-177271000,-177271000,91058000,91058000,169261000,169261000,94707000,157464000,37600000,512490000,122158000,804035000,617236000,156851000,8623000,21325000,926193000,1438683000,97818000,82519000,7056000,8243000,314952000,314952000,524647000,83239000,83239000,83239000,607886000,306019000,-69797000,538512000,56063000,830797000,830797000,1438683000,-177271000,12688000,187068000,31388000,53873000,-9605000,2145000,-7460000.00000003,-9899000,10078000,10078000,-61427000,-26612000,19801000,19801000,-5777000,14024000,-165836000,111877000,-149810000,0.50829,-0.57479,-0.57075,-0.21337,-0.12322,0.845090000000003,0.97683,0.73169,0.07776,-3.4295,-3.52673,6.00874,16.07268,-2.89824,0.19151,-0.16314,-0.14603,-0.0558400000000008,-0.12554,-0.11662
"17","2014_Q2",22.0168253968254,"Down",307530000,-149683000,157847000,-128160000,-112733000,-8587000,29687000,-2958000,-3720000,762000,26729000,26729000,-8595000,18134000,23928000,23928000,23928000,81869000,81869000,184099000,184099000,104944000,179287000,46671000,550199000,124894000,809267000,624165000,152812000,10469000,21821000,934161000,1484360000,110008000,92044000,8996000,8968000,335888000,335888000,533602000,84784000,84784000,84784000,618386000,308806000,-65255000,552291000,70132000,865974000,865974000,1484360000,23928000,10878000,179000,-9392000,25593000,-9086000,-70000,-9156000,-10149000,5209000,5209000,-719000,-29659000,-13222000,-13222000,4033000,-9189000,40565000,87706000,30682000,0.51327,0.09653,0.07781,0.02763,0.01612,1.28226,1.0311,0.71409,0.05909,0.45953,0.45648,5.90597,16.63064,0.58923,0.19491,0.03281,0.02955,0.42415,0.14389,0.19662
"18","2014_Q3",21.63578125,"Down",291194000,-148658000,142536000,-124189000,-111426000,-8440000,18347000,-3422000,-3677000,255000,14925000,14925000,-4407000,10518000,16425000,16425000,16425000,79116000,79116000,168037000,168037000,104116000,168628000,44120000,519897000,124516000,793627000,615404000,146859000,9449000,21915000,918143000,1438040000,99329000,86918000,5383000,7028000,308175000,308175000,492714000,81896000,81896000,81896000,574610000,314855000,-64346000,558494000,54427000,863430000,863430000,1438040000,16425000,11464000,1893000,-13598000,16184000,-8521000,159000,-8362000,-10221000,5685000,5685000,-265000.000000007,-7614000,207999.999999996,207999.999999996,-2961000,-2753000,29811000,85210000,12099000,0.48949,0.0630099999999999,0.05641,0.01902,0.01142,0.73662,1.05517,0.6655,0.05925,0.31461,0.31289,5.57757,16.53827,0.23175,0.19577,0.02586,0.01174,0.62228,0.20442,0.33215
"19","2014_Q4",20.2184375,"Down",309577000,-154456000,155121000,-128353000,-116666000,-8648000,26768000,-2510000,-3380000,870000,24258000,24258000,-4075000,20183000,24088000,24088000,24088000,78715000,78715000,178197000,178197000,109369000,156201000,46661000,522482000,130227000,798965000,620998000,142846000,12361000,22760000,929192000,1451674000,106745000,87528000,10808000,8409000,263374000,263374000,506935000,80742000,80742000,80742000,587677000,315518000,-87682000,572474000,63687000,863997000,863997000,1451674000,24088000,11440000,-5082000,3617000,34063000,-12201000,-736000,-12937000,-10109000,-23335000,0,6000,-24353000,-3227000,-3227000,2826000,-401000,38208000,136816000,33699000,0.50107,0.08647,0.07781,0.02788,0.01659,1.399,1.03067,0.68018,0.09425,0.46383,0.46323,5.96108,16.63676,0.64889,0.19465,0.03162,0.03116,0.41967,1.52065,2.17054
"20","2015_Q1",22.8354098360656,"Up",316733000,-162673000,154060000,-270073000,-111339000,-9373000,-116013000,-3008000,-3523000,515000,-119021000,-119021000,22040000,-96981000,-110409000,-110409000,-110409000,81834000,81834000,177648000,177648000,113275000,91085000,41543000,463842000,134171000,655652000,515004000,91014000,27320000,22314000,789823000,1253665000,103986000,88099000,7893000,7994000,243319000,243319000,451241000,69348000,69348000,69348000,520589000,310200000,-93337000,452057000,64156000,733076000,733076000,1253665000,-110409000,10816000,131063000,-13890000,17580000,-13590000,9999.99999999988,40662000,-10008000,-6027000,1219000,-66390000,-53761000,4481000,4481000,-1362000,3119000,-105197000,103936000,-154717000,0.4864,-0.36628,-0.34859,-0.15061,-0.08807,1.40131,1.02793,0.71014,0.08291,-2.15424,-2.18411,6.17991,14.30336,-3.01875,0.19527,-0.11077,-0.1707,-0.09064,-0.2101,-0.19051
"21","2015_Q2",22.1528571428571,"Down",310240000,-160079000,150161000,-123188000,-109279000,-9631000,26973000,-2568000,-2891000,323000,24405000,24405000,-8906000,15499000,13584000,13584000,13584000,116474000,116474000,174926000,174926000,117808000,43475000,43475000,452683000,136583000,633172000,501794000,86651000,23094000,21633000,769755000,1222438000,101316000,84199000,9227000,7890000,233434000,233434000,471972000,69472000,69472000,69472000,541444000,311990000,-95011000,455450000,8565000,680994000,680994000,1222438000,13584000,10123000,4287000,-9390000,18604000,-11451000,592000,-2088000,-10191000,91000,91000,-1296000,21890000,38406000,38406000,-3766000,34640000,37096000,137222000,25161000,0.48402,0.08694,0.04379,0.01995,0.01111,1.85225,0.95913,0.79508,0.11225,0.26505,0.26473,6.05335,13.28743,0.49094,0.19884,0.02678,0.02834,0.75022,0.55931,0.76921
"22","2015_Q3",19.2303125,"Down",282628000,-144424000,138204000,-121394000,-107567000,-8948000,16810000,-2788000,-3e+06,212000,14022000,14022000,-2438000,11584000,11584000,11584000,11584000,93299000,93299000,151426000,151426000,116938000,43953000,43953000,405616000,129254000,600585000,478991000,81526000,19293000,20775000,729839000,1135455000,81631000,74154000,1549000,5928000,288248000,288248000,424243000,65652000,65652000,65652000,489895000,310441000,-94089000,456777000,-27569000,645560000,645560000,1135455000,11584000,9943000,-1274999.99999997,-14926000,5326000,-6357000,3581000,-5436000,-10258000,756000,756000,-2533999.99999999,-15894000,-16004000,-16004000,-7171000,-23175000,26753000,54364000,7908000,0.489,0.0594800000000001,0.04099,0.01794,0.0102,0.68267,0.95609,0.75887,0.04788,0.22593,0.225599999999999,5.51233,12.59089,0.15424,0.20007,0.02853,0.01033,0.88553,-1.45535,-2.31618
"23","2015_Q4",20.055,"Up",290227000,-149229000,140998000,-116712000,-102950000,-8928000,24286000,-2070000,-2503000,433000,22216000,22216000,-5003000,17213000,17213000,17213000,17213000,100468000,100468000,162180000,162180000,113901000,39786000,39786000,416335000,123778000,601872000,478035000,78764000,24026000,21047000,725650000,1141985000,82814000,72792000,3444000,6578000,283786000,283786000,421115000,66903000,66903000,66903000,488018000,311480000,-93300000,463726000,-27939000,653967000,653967000,1141985000,17213000,8445000,-18000,3170000,28810000,-5737000,-246000,-5983000,-10263000,744000,744000,-2000,-16825000,6002000,6002000,1167000,7169000,32731000,54515000,35167000,0.48582,0.08368,0.05931,0.02632,0.01507,2.04305,0.98865,0.74624,0.04774,0.33553,0.33456,5.65734,12.74765,0.6855,0.20005,0.03544,0.04535,0.59624,-1.40396,-1.89216
"24","2016_Q1",20.8845901639344,"Up",288636000,-159567000,129069000,-161832000,-102908000,-9227000,-32763000,-2885000,-2762000,-123000,-35648000,-35648000,-3746000,-39394000,-39394000,-39394000,-39394000,114492000,114492000,157386000,157386000,104507000,19755000,19755000,396140000,111214000,555543000,433199000,68888000,34752000,18704000,666757000,1062897000,87846000,73020000,7576000,7250000,268995000,268995000,409766000,65443000,65443000,65443000,475209000,311887000,-93234000,414069000,-45034000,587688000,587688000,1062897000,-39394000,10947000,45701000,23354000,40608000,-3128000,2270000,-858000.000000002,-10264000,53000,53000,-40056000,-21323000,18427000,18427000,-4403000,14024000,-21816000,52925000,2156000.00000001,0.44717,-0.11351,-0.13648,-0.06703,-0.03706,-0.0547300000000002,0.96675,0.80861,0.04979,-0.76767,-0.76611,5.62468,11.45233,0.04201,0.20002,-0.04126,0.00305,-0.26055,2.8221,1.87916
"25","2016_Q2",25.33421875,"Up",283073000,-143724000,139349000,-109247000,-100678000,-8569000,30102000,-2910000,-2151000,-759000,27192000,27192000,-8489000,18703000,18703000,18703000,18703000,110610000,110610000,159174000,159174000,102017000,35407000,35407000,407208000,106108000,535533000,430972000,66242000,20811000,17508000,641641000,1048849000,89338000,72703000,9609000,7026000,312883000,312883000,411394000,64697000,64697000,64697000,476091000,311015000,-107420000,422589000,-53426000,572758000,572758000,1048849000,18703000,8889000,3322000,-544000,30370000,-2334000,1539000,-795000,-10183000,-16160000,0,-1810000,-30891000,-1316000,-1316000,-2566000,-3882000,38991000,9173000,44602000,0.49227,0.10634,0.06607,0.03265,0.01783,2.38475,0.98982,0.83123,0.00875,0.36652,0.36609,5.5473,11.22417,0.87405,0.19955,0.04467,0.06898,0.54446,-2.60155,-3.36978
"26","2016_Q3",29.00515625,"Up",268630000,-135738000,132892000,-109303000,-100206000,-9097000,23589000,-3122000,-2130000,-992000,20467000,20467000,-5177000,15290000,15290000,15290000,15290000,120198000,120198000,150615000,150615000,99253000,35843000,35843000,405909000,101456000,523920000,427460000,63630000,16333000,16497000,625376000,1031285000,77962000,66189000,5091000,6682000,321885000,321885000,404821000,63976000,63976000,63976000,468797000,311753000,-114547000,427637000,-62355000,562488000,562488000,1031285000,15290000,8613000,4585000,-604000,27884000,-1594000,982000,-612000,-10242000,-7184000,53000,-292000,-15417000,11855000,11855000,-2267000,9588000,32202000,4974000,35181000,0.4947,0.08781,0.05692,0.02718,0.01483,2.30092,1.00269,0.83343,0.00482,0.30261,0.30189,5.31656,11.13242,0.69628,0.2027,0.04043,0.05572,0.66985,-3.57816,-4.88465
"27","2016_Q4",31.8607936507936,"Up",286816000,-141373000,145443000,-114659000,-105794000,-8865000,30784000,-1117000,-1838000,721000,29667000,29667000,-8686000,20981000,20981000,20981000,20981000,141596000,141596000,153289000,153289000,100567000,33981000,33981000,429433000,99769000,532073000,436191000,62260000,16465000,17157000,631842000,1061275000,77236000,64428000,4991000,7817000,316626000,316626000,400092000,65843000,65843000,65843000,465935000,313307000,-114012000,438441000,-42396000,595340000,595340000,1061275000,20981000,7394000,1509000,10412000,40296000,-3540000,-534000,-4074000,-10178000,455000,610000,-42453000,-22920000,13302000,13302000,8096000,21398000,38178000,6230000,53736000,0.5071,0.10733,0.07315,0.03524,0.01977,2.56117,1.07334,0.78264,0.00587,0.41752,0.41542,5.70767,11.84733,1.06935,0.20254,0.04669,0.08051,0.48511,-3.54565,-4.39728
