"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","commissions_fees_earned","other_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","commissions_fees_paid","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","interbank_assets","short_long_term_investments","net_loans","reserve_for_loan_losses","total_loans","net_fixed_assets","goodwill","other_intangible_assets","customer_acceptances_liabilities","other_assets","total_assets","total_deposits","other_deposits","short_term_debt","long_term_debt","other_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","provision_for_loan_losses_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_investments","net_change_in_loans_interbank","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_change_in_deposits","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",23.4537096774194,"Up",241015000,177256000,189205000,-11949000,63759000,48761000,14081000,-8101000,232914000,-169714000,-9447000,-160267000,63200000,63200000,63200000,-16216000,46984000,46984000,46984000,46984000,414623000,320057000,4420540000,11298857000,-135591000,11434448000,483713000,628877000,197139000,47607000,588642000,18524130000,14779477000,14779477000,748634000,308327000,253204000,16089642000,1926437000,519838000,-11787000,2434488000,2434488000,18524130000,46984000,28282000,8101000,54853000,-13450000,124770000,-18091000,283894000,-60630000,6216000,211389000,-20664000,-136060000,456000,-157869000,-314137000,22022000,22022000,22022000,91482000,1056961000,76157000,0.26222,0.19494,0.0193,0.00254,1.62091,6.60905,0.05706,0.55414,0.54862,2.84259,28.71299,0.89822,0.24372,0.00365,0.00411,0.43981,7.02147,10.16358
"12","2013_Q1",23.7198333333333,"Up",239794000,179864000,191139000,-11275000,59930000,48360000,10947000,-28051000,211743000,-140668000,-8250000,-132418000,71075000,58825000,58825000,-11866000,46959000,46959000,46959000,46959000,448491000,1500188000,4083777000,11441631000,-136171000,11577802000,477864000,628877000,189409000,45616000,520247000,19464485000,15749002000,15749002000,639133000,396589000,226483000,17011207000,1930181000,546022000,-22925000,2453278000,2453278000,19464485000,46959000,26951000,28051000,10818000,10503000,123282000,-1894000,347121000,-1363388000,784000,-1017377000,-20774000,-23305000,804000.000000002,971238000,927963000,33868000,33868000,33868000,98026000,1035722000,118501000,0.2964,0.19583,0.01914,0.00241,2.5235,6.93407,0.05321,0.55378,0.54745,2.82786,28.93119,1.39747,0.24499,0.00348,0.00609,0.44239,5.99056,8.26213
"13","2013_Q2",21.84421875,"Down",234202000,174015000,185272000,-11257000,60187000,47336000,12851000,-9578000,224624000,-158894000,-7946000,-150948000,65730000,65022000,65022000,-16446000,48576000,48576000,48576000,48576000,301475000,475677000,5034206000,11344985000,-137777000,11482762000,476353000,625675000,181853000,46390000,446324000,19064123000,15259725000,15259725000,722537000,393920000,210841000,16587023000,1934766000,573812000,-31478000,2477100000,2477100000,19064123000,48576000,25917000,9578000,49869000,-1584000,132356000,-11620000,-933394000,1098810000,-2513000,151283000,-20786000,80735000,233000,-490837000,-430655000,-147016000,-147016000,-147016000,91647000,1116457000,94889000,0.28066,0.20741,0.01961,0.00255,1.95341,6.69615,0.05856,0.57235,0.57167,2.75951,29.18665,1.11804,0.24491,0.00364,0.00498,0.42791,8.89262,12.39894
"14","2013_Q3",24.9496875,"Up",233076000,169179000,179649000,-10470000,63897000,51103000,12794000,-8257000,224819000,-158895000,-8726000,-150169000,65924000,62569000,62569000,-15707000,46862000,46862000,46862000,46862000,400562000,442917000,4678380000,11543528000,-137969000,11681497000,474958000,625675000,174423000,47915000,395510000,18934301000,15160707000,15160707000,828107000,385122000,215025000,16588961000,1823469000,600566000,-78695000,2345340000,2345340000,18934301000,46862000,24932000,8257000,29231000,31356000,140638000,-6731000,290895000,-187289000,-2843000,94032000,-20108000,96772000,-114834000,-97412999.9999998,-135583000,99087000,99087000,99087000,90856000,1213229000,131188000,0.28284,0.20106,0.01998,0.00247,2.79945,7.07316,0.06408,0.56276,0.56234,2.79901,28.16515,1.57543,0.24148,0.00354,0.00693,0.42909,8.94456,12.32733
"15","2013_Q4",26.18765625,"Up",235177000,171530000,181639000,-10109000,63647000,51064000,12583000,-7569000,227608000,-180356000,-10899000,-169457000,47252000,44813000,44813000,-11611000,33202000,33202000,33202000,33202000,425693000,462313000,4501110000,11596249000,-138223000,11734472000,450233000,625675000,167116000,42039000,377525000,18801846000,15060565000,15060565000,782779000,376664000,225396000,16445404000,1827551000,613662000,-84771000,2356442000,2356442000,18801846000,33202000,22716000,7569000,52320000,22386000,138193000,-7504000,174700000,-89065000,-16417000,61714000,-20106000,-53786000,183000,-101067000,-174776000,25131000,25131000,25131000,69968000,1159443000,96461000,0.20092,0.14118,0.01409,0.00177,2.90528,6.97891,0.06167,0.40456,0.40401,2.86557,28.71259,1.17535,0.24499,0.00284,0.00513,0.60557,10.48694,15.52844
"16","2014_Q1",27.7822950819672,"Up",226658000,166007000,175650000,-9643000,60651000,4.9e+07,11546000,-7330000,219328000,-174332000,-11786000,-162546000,44996000,43462000,43462000,-8746000,34716000,34716000,34716000,34716000,348440000,268840000,4414561000,12191191000,-133626000,12324817000,432346000,625675000,159773000,42977000,435740000,19009251000,15364869000,15364869000,657960000,385826000,175527000,16584182000,1921317000,628166000,-35379000,2425069000,2425069000,19009251000,34716000,20103000,7330000,-7372000,7568000,62345000,-4476000,100183000,-1657389000,1250156000,-311526000,-20212000,-115657000,2152000.00000001,305645000,171928000,-77253000,-77253000,-77253000,65099000,1043786000,76937000,0.19852,0.15316,0.01432,0.00183,2.21618,6.83864,0.05491,0.4231,0.42244,2.76237,29.55527,0.93766,0.24633,0.00289,0.00405,0.58221,10.68136,15.45351
"17","2014_Q2",27.178253968254,"Down",226169000,165562000,175140000,-9578000,60607000,48215000,12392000,-7963000,218206000,-149113000,-6409000,-142704000,69093000,67316000,67316000,-18201000,49115000,49115000,49115000,49115000,415024000,280373000,4185447000,12399689000,-128248000,12527937000,425638000,625675000,152734000,41722000,403186000,19004170000,15280688000,15280688000,712634000,380001000,168313000,16541636000,1837461000,657062000,-31989000,2462534000,2462534000,19004170000,49115000,19173000,7963000,18346000,8528000,103125000,451000,247530000,-229375000,1311000,19917000,-20219000,48849000,654000,-85742000,-56458000,66584000,66584000,66584000,88266000,1092635000,115446000,0.30549,0.21716,0.01994,0.00258,2.35052,6.71732,0.05749,0.59695,0.59509,2.74887,29.9298,1.40314,0.24574,0.00365,0.00607,0.41167,7.67692,9.80723
"18","2014_Q3",26.45734375,"Down",224497000,164778000,174001000,-9223000,59719000,49349000,10370000,-6691000,217806000,-160095000,-9179000,-150916000,57711000,57627000,57627000,-17665000,39962000,39962000,39962000,39962000,424609000,440688000,4066627000,12755384000,-128672000,12884056000,414783000,621193000,145825000,44259000,374947000,19349431000,15249317000,15249317000,1063664000,374991000,168877000,16856849000,1838931000,676942000,-23291000,2492582000,2492582000,19349431000,39962000,18818000,6691000,14765000,725000,80961000,-4386000,146493000,-523900000,13820000.0000001,-367973000,-20082000,346020000,206000,-29547000.0000001,296597000,9585000,9585000,9585000,76529000,1438655000,90533000,0.25707,0.17801,0.01603,0.00207,2.26548,6.76281,0.07435,0.48781,0.48638,2.74041,30.42665,1.10513,0.24514,0.0031,0.00468,0.50253,13.25048,17.5711
"19","2014_Q4",25.9453125,"Down",224242000,163541000,172701000,-9160000,60701000,50656000,10045000,-9468000,214774000,-151943000,-7229000,-144714000,62831000,62935000,62935000,-16382000,46553000,46553000,46553000,46553000,332359000,471558000,4335932000,13223002000,-125572000,13348574000,407987000,621193000,139256000,44164000,350176000,19985950000,15742357000,15742357000,1171809000,376452000,185990000,17476608000,1832529000,703506000,-26693000,2509342000,2509342000,19985950000,46553000,18228000,9468000,5599000,23703000,103551000,-1828000,-244027000,-507571000,-13594000,-767020000,-19989000,109606000,-9865000,491467000,571219000,-92250000,-92250000,-92250000,81059000,1548261000,119316000,0.28019,0.2076,0.01855,0.00233,2.56301,6.96462,0.07747,0.56983,0.5683,2.7448,30.71523,1.46047,0.24467,0.00333,0.00597,0.42938,15.00021,19.35194
"20","2015_Q1",23.0411475409836,"Down",219887000,160813000,170971000,-10158000,59074000,48407000,10667000,-9718000,210169000,-154859000,-10404000,-144455000,55310000,54309000,54309000,-14217000,40092000,40092000,40092000,40092000,356455000,802948000,4253071000,13766514000,-128762000,13895276000,398384000,621193000,132810000,47501000,294055000,20747266000,16577035000,16577035000,1151573000,374371000,171885000,18274864000,1957111000,723496000,-50074000,2472402000,2472402000,20747266000,40092000,17865000,9718000,14253000,-17137000,64791000,-2451000,94633000,-362021000,-525544000,-795383000,-20102000,-25222000,-36125000,836137000,754688000,24096000,24096000,24096000,73175000,1525944000,67804000,0.25154,0.18233,0.01622,0.00193,1.69121,7.39154,0.07355,0.49301,0.49178,2.70394,30.403,0.83378,0.24719,0.0029,0.00327,0.5014,15.98208,21.14426
"21","2015_Q2",24.6109523809524,"Up",215901000,158158000,169087000,-10929000,57743000,46502000,11241000,-6154000,209747000,-154256000,-15370000,-138886000,55491000,55035000,55035000,-14876000,40159000,40159000,40159000,40159000,333736000,515797000,4537316000,1.3796e+10,-128386000,13924386000,399762000,621193000,125404000,48473000,277335000,20724511000,16867094000,16867094000,755250000,516007000,161062000,18299413000,1960738000,744131000,-45769000,2425098000,2425098000,20724511000,40159000,17759000,6154000,17916000,-16682000,65306000,-8609000,-258781000,250414000,-3982000,-20958000,-19524000,-259927000,-75270000,287654000,-67067000,-22719000,-22719000,-22719000,73250000,1271257000,62835000,0.25702,0.18601,0.01656,0.00194,1.56466,7.54584,0.06134,0.50517,0.50412,2.71587,30.50591,0.79042,0.2456,0.00288,0.00303,0.48617,12.79892,16.89501
"22","2015_Q3",23.22046875,"Down",213938000,151791000,164920000,-13129000,62147000,49004000,12810000,-6608000,207330000,-159689000,-8952000,-150737000,47641000,47140000,47140000,-12311000,34829000,34829000,34829000,34829000,329608000,598455000,4877347000,14213665000,-131087000,14344752000,383686000,621193000,119256000,50527000,266465000,21538405000,17307322000,17307322000,1079193000,507341000,214509000,19108365000,1965583000,759780000,-60084000,2430040000,2430040000,21538405000,34829000,18847000,6608000,11882000,-6739000,65427000,6881000,-299961000,-714007000,199819000,-807268000,-19180000,315243000,347000,441303000,737713000,-4127999.99999999,-4127999.99999999,-4127999.99999999,66488000,1586534000,78941000,0.22269,0.1628,0.01433,0.00162,2.26653,7.8634,0.07366,0.44686,0.44595,2.74484,31.17754,1.01282,0.24608,0.00251,0.00367,0.55069,18.90455,26.38328
"23","2015_Q4",22.51421875,"Down",218605000,156830000,171329000,-14499000,61775000,49988000,11783000,-10080000,208525000,-152335000,-7656000,-144679000,56190000,55768000,55768000,-14602000,41166000,41166000,41166000,41166000,323743000,194414000,4980446000,14623474000,-139576000,14763050000,380809000,621193000,113229000,51781000,252119000,21608150000,17447035000,17447035000,1049182000,497177000,161195000,19154589000,1969041000,781769000,-46167000,2453561000,2453561000,21608150000,41166000,18876000,10080000,3672000,18263000,92057000,-4194000,-141955000,-419109000,404094000,-161164000,-19177000,-40175000,-15566000,138160000,63242000,-5865000,-5865000,-5865000,75066000,1546359000,103737000,0.25704,0.18831,0.01678,0.00191,2.51997,7.80685,0.07156,0.52832,0.52733,2.80558,31.48901,1.33136,0.24612,0.00279,0.0048,0.46585,16.28721,21.7586
"24","2016_Q1",19.603606557377,"Down",219761000,158395000,174310000,-15915000,61366000,48662000,12706000,-50196000,169565000,-156382000,-8220000,-148162000,13183000,11822000,11822000,3485000,15307000,15307000,15307000,15307000,303874000,565555000,4898342000,15522135000,-181179000,15703314000,377015000,621193000,107538000,54068000,308055000,22833605000,18355521000,18355521000,1423644000,490145000,151152000,20420462000,1715794000,777944000,-80595000,2413143000,2413143000,22833605000,15307000,18570000,50196000,8618000,-79751000,12940000,-3623000,65037000,-982313000,-366142000,-1287041000,-19132000,372562000,-4777000,908964000,1254232000,-19869000,-19869000,-19869000,31753000,1913789000,-55106000,0.05999,0.06965,0.00634,0.00067,-3.60005,8.46218,0.08381,0.19768,0.19776,2.83812,31.16467,-0.71167,0.24708,0.00151,-0.00241,1.24989,50.70119,122.12053
"25","2016_Q2",21.3925,"Up",222635000,162836000,180641000,-17805000,59799000,47195000,12258000,-60036000,162599000,-156877000,-7621000,-149256000,5722000,4954000,4954000,-1115000,3839000,3839000,3839000,3839000,291099000,151551000,5103331000,15760330000,-217794000,15978124000,371319000,621193000,102414000,57448000,278554000,22809370000,18664605000,18664605000,1100787000,471245000,151693000,20388330000,1946584000,762652000,-61066000,2421040000,2421040000,22809370000,3839000,18122000,60036000,-5583000,16442000,92856000,-1550000,-177848000,-289324000,417571000,-51151000,-19131000,-342342000,24284124.2390032,307254000,-54480000,-12775000,-12775000,-12775000,23844000,1572032000,39851000,0.0257,0.01724,0.00159,0.00017,10.38057,8.42131,0.06892,0.04953,0.04943,2.87267,31.23882,0.5142,0.24685,0.00101,0.00175,4.98333,53.7214,223.86106
"26","2016_Q3",25.62484375,"Up",230189000,164969000,183506000,-18537000,65220000,48720000,15732000,-17196000,212993000,-152118000,-7712000,-144406000,60875000,60525000,60525000,-13618000,46907000,46907000,46907000,46907000,313428000,153159000,5283421000,15809710000,-226086000,16035796000,366402000,621193000,97409000,57605000,293356000,23063790000,18825509000,18825509000,1095107000,468028000,211781000,20600425000,1951869000,790452000,-49541000,2463365000,2463365000,23063790000,46907000,19256000,17196000,-4883000,6773000.00000001,85249000,-1729000,-116640000,-74747999.9999999,-2185999.99999988,-195303000,-19107000,-9145999.99999988,36000.0000000075,160719000,132383000,22329000,22329000,22329000,80131000,1563135000,98793000,0.26446,0.20378,0.01904,0.00203,2.10615,8.36272,0.06777,0.60507,0.60385,2.9693,31.77592,1.27437,0.24647,0.00286,0.00428,0.40734,15.5958,20.52907
"27","2016_Q4",32.4652380952381,"Up",228060000,163513000,182153000,-18640000,64547000,47413000,16783000,-18972000,209088000,-155811000,-6584000,-149227000,53277000,58491000,58491000,-11772000,46719000,46719000,46719000,46719000,329872000,128920000,5321714000,15834760000,-236061000,16070821000,363656000,621193000,92523000,5.9e+07,283673000,23108730000,18895396000,18895396000,1075956000,463710000,184541000,20619603000,1955457000,818060000,-55689000,2489127000,2489127000,23108730000,46719000,19823000,18972000,-9416000,14785000,90883000,-6861000,-68542000,-60702000,17599000,-118506000,-19111000,-6200000,834000,68608000,44067000,16444000,16444000,16444000,73100000,1539666000,92796000,0.23361,0.20485,0.01877,0.00202,1.98626,8.28387,0.06663,0.60243,0.60199,2.94077,32.09665,1.19658,0.24643,0.00285,0.00402,0.40906,16.54985,22.70762
"28","2017_Q1",39.1966129032258,"Up",234931000,167798000,185867000,-18069000,67133000,47853000,11177000,-14455000,220476000,-156908000,-7644000,-149264000,63568000,62953000,62953000,-11122000,51831000,51831000,51831000,51831000,372689000,78177000,5497534000,16522733000,-229418000,16752151000,361612000,621193000,87757000,65887000,263285000,23975302000,19433840000,19433840000,1225406000,436280000,160008000,21255534000,1989611000,850689000,-120532000,2719768000,2719768000,23975302000,51831000,19991000,14455000,-11057000,-292999.999999998,74927000,-1687000,-280897000,-728706000,55219000,-956071000,-19202000,145017000,262091000,538789000,923961000,42817000,42817000,42817000,83559000,1661686000,92701000,0.27058,0.22062,0.01906,0.00216,1.78852,7.8152,0.06931,0.65755,0.65745,2.98041,34.50388,1.17604,0.2436,0.00296,0.00387,0.37047,15.42619,20.27745
"29","2017_Q2",40.6280952380952,"Up",245182000,181691000,202515000,-20824000,63491000,48149000,15342000,-15991000,229191000,-163555000,-11276000,-152279000,65636000,65649000,65649000,-16635000,49014000,49014000,49014000,49014000,333314000,51273000,5485315000,17991318000,-213550000,18204868000,374112000,716761000,86952000,70975000,278928000,25485026000,19932496000,19932496000,2121932000,525082000,141894000,22721404000,2003181000,878953000,-118512000,2763622000,2763622000,25485026000,49014000,18943000,15991000,7873000,4507000,96328000,-7312000,28568000,-273466000,-30160000,-605078000,-20793000,381343000,9405000,99583000,469375000,-39375000,-39375000,-39375000,84579000,2647014000,98409000,0.2677,0.19991,0.01774,0.00192,2.00777,8.2216,0.10387,0.58098,0.5792,2.90621,32.75792,1.16647,0.24646,0.00274,0.00386,0.42423,27.35549,35.25047
"30","2017_Q3",39.711746031746,"Down",267204000,199717000,226177000,-26460000,67487000,51699000,15788000,-14951000,252253000,-185985000,-10353000,-175632000,66268000,68783000,68783000,-16516000,52267000,52267000,52267000,52267000,365225000,126428000,6205748000,18251976000,-221865000,18473841000,365345000,740265000,101694000,75787000,308219000,26630569000,21450839000,21450839000,1810907000,407876000,146985000,23816607000,2007942000,910459000,-104439000,2813962000,2813962000,26630569000,52267000,20423000,14951000,-989000.000000015,-268000,86384000,-5321000,-499966000,-112357000,308788000,489511000,-20801000,-514231000,3552000,-9543000.00000006,-543984000,31911000,31911000,31911000,86691000,2218783000,97618000,0.24801,0.19561,0.01857,0.00196,1.86768,8.46373,0.08332,0.61772,0.61573,3.15795,33.25685,1.1537,0.24584,0.00274,0.00367,0.39798,21.3812,27.97063
