"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","net_extraordinary_gains_losses","discontinued_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","change_in_cash_from_disc_operations_and_other","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",63.7717741935484,"Up",368054000,-187487000,180567000,-129638000,-114878000,-14760000,50929000,-18153000,-18153000,-18493000,340000,32776000,-1088000,31688000,-7237000,24451000,-2521000,-2521000,21930000,21742000,21742000,634829000,634829000,266947000,266947000,295611000,95667000,58106000,1293054000,267392000,2110343000,930916000,1113940000,293000,63423000,2377735000,3670789000,216176000,63703000,11980000,140493000,4700000,27801000,26750000,248677000,962596000,704117000,178764000,393192000,132161000,1666713000,1915390000,1755399000,3670789000,24451000,20072000,71000,5300000,49894000,-17199000,49370000,0,32171000,-13905000,1000,3623000,-10281000,71784000,1484000,73268000,16570000,89838000,71001000,967296000,66339000,0.4906,0.13837,0.05907,0.01239,0.00592000000000001,3.05119,5.19973,1.09114,0.26351,0.53171,0.53171,9.00086,1.62234,0.34005,0.0104,0.01936,0.63955,4.68257,6.52805
"12","2013_Q1",71.912,"Up",419056000,-219876000,199180000,-137787000,-121524000,-16263000,61393000,-14374000,-14374000,-14621000,247000,47019000,-2953000,44066000,-13452000,30614000,-1037000,-1037000,29577000,29323000,29323000,337039000,337039000,297976000,297976000,323347000,114860000,55872000,1073222000,297945000,2362520000,1058792000,1238452000,1347000,61863000,2660465000,3733687000,241128000,75165000,16895000,149068000,4700000,29472000,29472000,275300000,965280000,711570000,170946000,418874000,121750000,1676850000,1952150000,1781537000,3733687000,30614000,22046000,-6370000,9196000,55486000,-19302000,55000,-313747000,-332994000,-13928000,-10666000,524000,-24070000,-301578000,-1322000,-302900000,5109999.99999999,-297790000,83439000,969980000,86785000,0.47531,0.1465,0.06997,0.01646,0.00785,2.95962,3.89837,1.09577,0.25979,0.71619,0.71619,10.23511,2.11965,0.34018,0.01249,0.02506,0.47499,7.58567,10.30966
"13","2013_Q2",74.721875,"Up",411877000,-211357000,200520000,-141957000,-126950000,-15007000,58563000,-14036000,-14036000,-14193000,157000,44527000,-9159000,35368000,-7667000,27701000,-462000,-462000,27239000,27038000,27038000,306554000,306554000,307020000,307020000,332820000,111107000,57651000,1057501000,300830000,2335396000,1034589000,1236876000,204000,61780000,2636226000,3693727000,228808000,67383000,17221000,144204000,4700000,27960000,27960000,261468000,968035000,689147000,159147000,409289000,120711000,1657182000,1918650000,1775077000,3693727000,27701000,22591000,4995000,-50023000,5264000,-15635000,-16848295.4651317,1500000,-14135000,-13964000,-7179000,5155000,-15988000,-24859000,-629000,-25488000,-4997000,-30485000,81154000,972735000,23163000,0.48684,0.14219,0.06565,0.01523,0.00732,0.85668,4.04448,1.08088,0.26335,0.65924,0.6281,10.04235,0.56476,0.34047,0.01193,0.00674,0.51646,8.20885,11.37546
"14","2013_Q3",73.52328125,"Down",420059000,-210569000,209490000,-132777000,-116253000,-16524000,76713000,-14268000,-14268000,-14425000,157000,62445000,-12962000,49483000,-6082000,43401000,-766000,-766000,42635000,42441000,42441000,281418000,281418000,311881000,311881000,348608000,114799000,60893000,1056706000,311464000,2355967000,1052845000,1240592000,86000,60554000,2667431000,3724137000,242635000,76493000,17917000,148225000,4700000,15900000,15900000,263235000,970825000,688550000,156423000,413546000,118581000,1659375000,1922610000,1801527000,3724137000,43401000,21836000,-2973000,-11285000,50979000,-21262000,-50000,-38454000,-59766000,-13980000,-2308000,-1999000,-18287000,-27074000,-808000,-27882000,2746000,-25136000,98549000,975525000,72084000,0.49872,0.18262,0.10104,0.02356,0.0114,1.69845,4.01431,1.06721,0.26195,1.03225,0.97725,10.21668,1.75323,0.34002,0.01628,0.0208,0.3294,7.04327,9.0481
"15","2013_Q4",86.10421875,"Up",413796000,-209804000,203992000,-130866000,-115228000,-15638000,73126000,-13804000,-13804000,-13948000,144000,59322000,-8334000,50988000,-5209000,45779000,1029000,1029000,46808000,46574000,46574000,326437000,326437000,313706000,313706000,346116000,124189000,69632000,1110448000,320542000,2357373000,1048154000,1241393000,932000,65191000,2677915000,3788363000,244594000,70783000,20964000,152847000,4700000,18531000,18531000,267825000,980688000,677588000,153966000,417078000,106544000,1658276000,1926101000,1862262000,3788363000,45779000,23380000,8023000,2447000,79629000,-17743000,0,-3496000,-21239000,-13971000,120000,-5517000,-19368000,39022000,-730000,38292000,6727000,45019000,96506000,985388000,86419000,0.49298,0.17672,0.11255,0.02501,0.01229,1.85552,4.14617,1.03428,0.26011,1.13231,1.07651,10.0602,2.10102,0.33966,0.01717,0.02451,0.29997,6.82808,9.01117
"16","2014_Q1",92.7701639344262,"Up",450539000,-225596000,224943000,-161632000,-143756000,-17876000,63311000,-14173000,-14173000,-14339000,166000,49138000,-9247000,39891000,-4589000,35302000,-236000,-236000,35066000,34828000,34828000,431984000,431984000,295290000,295290000,333621000,139659000,76314000,1200554000,325900000,2682553000,1255597000,1354203000,943000,70095000,3008453000,4209007000,252471000,71967000,23821000,156683000,356287000,26362000,26362000,635120000,9.3e+08,727871000,109498000,514715000,103658000,1657871000,2292991000,1916016000,4209007000,35302000,25169000,-1329000,36285000,95427000,-8940000,-4.65661287307739e-10,-268558000,-277498000,-14002000,297409000,1406000,284813000,102742000,-1160000,101582000,3965000,105547000,88480000,1286287000,120414000,0.49928,0.14052,0.0773,0.01818,0.00827,3.45739,1.89028,1.19675,0.3056,0.84618,0.77341,10.94631,2.92558,0.34019,0.01242,0.03064,0.40203,9.65532,13.49375
"17","2014_Q2",99.2011111111111,"Up",438546000,-217387000,221159000,-154359000,-140297000,-14062000,66800000,-15217000,-15217000,-15404000,187000,51583000,-7780000,43803000,-8534000,35269000,-125000,-125000,35144000,34958000,34958000,421649000,421649000,295514000,295514000,349745000,153710000,90013000,1220618000,328679000,2692837000,1250533000,1372058000,944000,67789000,3021516000,4242134000,247251000,71094000,27451000,148706000,359261000,25295000,25295000,631807000,9.3e+08,735100000,106092000,523445000,105563000,1665100000,2296907000,1945227000,4242134000,35269000,27599000,8032000,-28982000,41918000,-12109000,1609000,-28991000,-39491000,-14051000,0,233000,-13818000,-11391000,-1167000,-12558000,2223000,-10335000,94399000,1289261000,61842000,0.5043,0.15232,0.07971,0.01797,0.00824,1.76904,1.93195,1.18079,0.30392,0.84722,0.76413,10.62833,1.49876,0.34053,0.01235,0.01558,0.40194,9.1909,12.9882
"18","2014_Q3",101.81484375,"Up",468105000,-224017000,244088000,-161713000,-146843000,-14870000,82375000,-15916000,-15916000,-16062000,146000,66459000,-7623000,58836000,-10006000,48830000,-1125000,-1125000,47705000,47252000,47252000,237382000,237382000,301720000,301720000,356467000,145685000,86027000,1041254000,343408000,2679171000,1233905000,1373356000,944000,69501000,3022579000,4063833000,251950000,73533000,21817000,156600000,362273000,38267000,38267000,652490000,7e+08,726964000,102194000,517433000,107337000,1426964000,2079454000,1984379000,4063833000,48830000,28500000,1604000,-691000,78243000,-18741000,2470000,456000.00000003,-15815000.0000001,-14042000,-2.3e+08,-2211000,-246253000,-183825000,-364000,-184189000,-78000,-184267000,110875000,1062273000,101449000,0.52144,0.17598,0.10094,0.02381,0.01163,2.14698,1.59582,1.04791,0.2614,1.1419,1.01854,11.31235,2.45164,0.33934,0.01624,0.02688,0.29717,7.43983,10.01385
"19","2014_Q4",107.7828125,"Up",457173000,-221007000,236166000,-153123000,-138252000,-14871000,83043000,-17023000,-17023000,-17184000,161000,66020000,-1108000,64912000,-9684000,55228000,-271000,-271000,54957000,54831000,54831000,286382000,286382000,287179000,287179000,353227000,150415000,94602000,1077203000,347233000,2633356000,1208252000,1352045000,1706000,70274000,2980589000,4057792000,265731000,71034000,26735000,167962000,365356000,45229000,45229000,676316000,7e+08,697560000,97007000,494884000,105669000,1397560000,2073876000,1983916000,4057792000,55228000,28363000,803000,4243000,88637000,-17370000,1132000,0,-16238000,-14081000,-9000,131000,-13959000,58440000,-415000,58025000,-9025000,4.9e+07,111406000,1065356000,107963000,0.51658,0.18164,0.11993,0.02764,0.01351,1.96901,1.59275,1.04534,0.26255,1.32445,1.17592,11.04309,2.60786,0.34013,0.01839,0.02881,0.25681,6.99221,9.38037
"20","2015_Q1",110.385573770492,"Up",476008000,-234993000,241015000,-170502000,-153265000,-17237000,70513000,-16596000,-16596000,-16808000,212000,53917000,-1358000,52559000,-426000,52133000,-1188000,-1188000,50945000,50638000,50638000,303236000,303236000,273704000,273704000,335593000,83375000,75953000,995908000,317435000,2609444000,1216720000,1323553000,4011000,64010000,2926879000,3922787000,244862000,64100000,13768000,166994000,368401000,19506000,19506000,632769000,7e+08,676319000,167241000,399203000,109875000,1376319000,2009088000,1913699000,3922787000,52133000,26671000,-3886000,6525000,81443000,-19351000,0,-17242000,-36593000,-14084000,-93000,504000,-13673000,31177000,-1730000,29447000,-12593000,16854000,97184000,1068401000,84784000,0.50633,0.14813,0.10638,0.02646,0.01291,1.67432,1.57389,1.04985,0.27236,1.22246,1.07487,11.49139,2.04679,0.34,0.01769,0.02318,0.27813,7.87336,10.8514
"21","2015_Q2",121.58126984127,"Up",429430000,-206793000,222637000,-152581000,-139697000,-12884000,70056000,-17003000,-17003000,-17172000,169000,53053000,-4448000,48605000,-9332000,39273000,-703000,-703000,38570000,38352000,38352000,308759000,308759000,284827000,284827000,338736000,138449000,74928000,1070771000,310106000,2542718000,1183549000,1293506000,1119000,63810000,2852824000,3923595000,243952000,75310000,17558000,151084000,401565000,18908000,18908000,664425000,7e+08,698568000,162595000,426768000,109205000,1398568000,2062993000,1860602000,3923595000,39273000,25655000,9494000,-32064000,42358000,-14445000,0,-7375000,-21820000,-14118000,25959000,-289000,11552000,32090000,-1126000,30964000,-25441000,5523000,95711000,1101565000,58534000,0.51845,0.16314,0.08931,0.02061,0.00977,1.52623,1.61158,1.10878,0.28075,0.92484,0.81091,10.35545,1.41151,0.34045,0.01433,0.01599,0.36812,8.28333,11.31675
"22","2015_Q3",128.28828125,"Up",452045000,-218808000,233237000,-155671000,-142228000,-13443000,77566000,-16053000,-16053000,-16207000,154000,61513000,-11034000,50479000,-5280000,45199000,-190000,-190000,45009000,44563000,44563000,325010000,325010000,286371000,286371000,347095000,144033000,80667000,1102509000,315536000,2566117000,1185517000,1317874000,1134000,61191000,2881653000,3984162000,229462000,74364000,11700000,143398000,415991000,16433000,16433000,661886000,6.96e+08,706269000,161036000,433257000,111976000,1402269000,2064155000,1920007000,3984162000,45199000,26556000,14839000,-19364000,67230000,-16876000,-5.82076609134674e-11,-30184000,-47060000,-14116000,7171000,-4446000,-11391000,8779000,-237000,8542000,7709000,16251000,104122000,1111991000,73162000,0.51596,0.17159,0.09858,0.02321,0.01119,1.64177,1.66571,1.07508,0.2791,1.07226,0.92683,10.87692,1.76039,0.33965,0.0157,0.01957,0.31677,7.55826,10.14595
"23","2015_Q4",125.048125,"Down",443714000,-215501000,228213000,-151411000,-138840000,-12571000,76802000,-14176000,-14176000,-14306000,130000,62626000,-252000,62374000,-803000,61571000,-719000,-719000,60852000,60824000,60824000,276463000,276463000,272996000,272996000,345899000,140789000,77764000,1036147000,313244000,2558310000,1192364000,1303175000,940000,61507000,2871554000,3907701000,229586000,67906000,9728000,151952000,416685000,11200000,11200000,657471000,6.46e+08,663169000,148514000,406101000,108554000,1309169000,1966640000,1941061000,3907701000,61571000,27102000,-16466000,-5035000,67172000,-14245000,408000,-25892000,-39729000,-14148000,-56631000,-3e+05,-71079000,-43636000,-591000,-44227000,-4320000,-48547000,103904000,1062685000,85427000,0.51432,0.17309,0.13708,0.03134,0.01557,1.40449,1.57596,1.01318,0.27195,1.46222,1.25328,10.66697,2.05368,0.34012,0.02045,0.0233,0.23261,7.56681,10.237
"24","2016_Q1",134.503442622951,"Up",484501000,-224185000,260316000,-161438000,-148217000,-13221000,98878000,-13559000,-13559000,-13638000,79000,85319000,-2131000,83188000,7577000,90765000,10517000,10517000,101282000,101124000,101124000,338366000,338366000,262416000,262416000,330275000,72782000,65810000,1003839000,316123000,2551812000,1199975000,1295852000,2341000,53644000,2867935000,3871774000,230519000,66305000,8059000,156155000,417350000,16251000,16251000,664120000,641850000,554711000,149441000,315983000,89287000,1196561000,1860681000,2011093000,3871774000,90765000,29080000,-24994000,31835000,126686000,-15882000,0,-30357000,-46239000,-14150000,-184000,-331000,-14665000,65782000,-682000,65100000,-3197000,61903000,127958000,1059200000,136334000,0.53729,0.20408,0.20872,0.05028,0.02612,1.34819,1.51153,0.92521,0.27357,2.43051,2.09262,11.64498,3.27679,0.3401,0.0318,0.03761,0.13993,5.63336,7.29014
"25","2016_Q2",157.55109375,"Up",424893000,-199746000,225147000,-148701000,-136348000,-12353000,76446000,-13704000,-13704000,-13784000,80000,62742000,-8949000,53793000,-2613000,51180000,-312000,-312000,50868000,50689000,50689000,392558000,392558000,274660000,274660000,338906000,78885000,71831000,1085009000,318183000,2540274000,1188853000,1303456000,2358000,45411000,2858457000,3943466000,233476000,73313000,12700000,147463000,421198000,20001000,20001000,674675000,641973000,552743000,146804000,322043000,83896000,1194716000,1869391000,2074075000,3943466000,51180000,27959000,7928000,-20235000,66832000,-7822000,1251000,0,-6571000,-14179000,-70000,3180000,-11069000,49192000,-126000,49066000,5126000,54192000,104405000,1063171000,78961000,0.52989,0.17992,0.1193,0.02444,0.01285,1.55775,1.6082,0.90131,0.2696,1.21711,1.03909,10.20225,1.89596,0.34046,0.01758,0.0214,0.27973,6.42319,8.77238
"26","2016_Q3",173.526875,"Up",473553000,-217154000,256399000,-158455000,-142983000,-15472000,97944000,-11778000,-11778000,-11907000,129000,86166000,-18764000,67402000,-8007000,59395000,193000,193000,59588000,59303000,59303000,476490000,476490000,273530000,273530000,338465000,73236000,66210000,1161721000,314665000,2523821000,1175098000,1301348000,1985000,45146000,2838486000,4000207000,225887000,72787000,12957000,140143000,173952000,23965000,23965000,423804000,907930000,546905000,143992000,317327000,85586000,1454835000,1878639000,2121568000,4000207000,59395000,30047000,24389000,825000,114656000,-11713000,2734000,-3117000,-12096000,-14819000,8458000,-4769000,-11130000,91430000,-1057000,90373000,-6441000,83932000,127991000,1081882000,125110000,0.54144,0.20683,0.12523,0.02795,0.01482,2.10967,2.74118,0.8855,0.27046,1.36175,1.2552,10.87403,2.87286,0.34028,0.01976,0.03336,0.24989,4.72996,6.181
"27","2016_Q4",151.15126984127,"Down",455648000,-214046000,241602000,-154864000,-139797000,-15067000,86738000,-12773000,-12773000,-12888000,115000,73965000,-251000,73714000,-7514000,66200000,122000,122000,66322000,66322000,66322000,499459000,499459000,261833000,261833000,341830000,60750000,56613000,1163872000,322019000,2515778000,1164644000,1305078000,2792000,43237000,2837797000,4001669000,244846000,70246000,11271000,163329000,181895000,25661000,25661000,452402000,849967000,529378000,131222000,311390000,86766000,1379345000,1831747000,2169922000,4001669000,66200000,29752000,-3210000,27368000,120110000,-16377000,5807000,-10923000,-21493000,-14982000,-51308000,-9417000,-75707000,22910000,-268000,22642000,327000,22969000,116490000,1031862000,134995000,0.53024,0.19036,0.14556,0.03056,0.01657,2.03545,2.57265,0.84415,0.25786,1.50578,1.39784,10.34506,3.06493,0.34015,0.02179,0.03618,0.2259,4.57038,6.13806
