"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","short_term_debt","other_short_term_liabilities","liabilities_from_derivatives_hedging_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",21.2011290322581,"Up",533539000,-194218000,339321000,-246974000,-246974000,92347000,-1330000,-1330000,91017000,91017000,-25327000,65690000,65690000,-7770000,57920000,57920000,735733000,735733000,156038000,156038000,222348000,37737000,180668000,1126499000,288428000,1202044000,760972000,318843000,98585000,23644000,1490472000,2616971000,232902000,213613000,82505000,436963000,221247000,215716000,752370000,177846000,177551000,120748000,56803000,355397000,1107767000,354191000,842487000,33299000,1229977000,279227000,1509204000,2616971000,65690000,25257000,9237000,-12964000,87220000,-73183000,659000,-72524000,-1571000,-41097000,5551000,-19074000,-56191000,-41495000,-41495000,6368000,-35127000,117604000,260351000,56784000,0.63598,0.17308,0.10856,0.03838,0.02213,0.98039,1.49727,0.73401,0.09949,0.3694,0.36718,3.4028,7.84454,0.36216,0.01002,0.03055,0.02916,0.02712,-4.04223,-5.14778
"12","2013_Q1",23.8355,"Up",597032000,-213071000,383961000,-289711000,-289711000,94250000,-1367000,-1367000,92883000,8445000,3201000,11646000,11646000,-6560000,5086000.00000001,5086000.00000001,781275000,781275000,182962000,182962000,274638000,33646000,219023000,1248739000,305848000,1133556000,724687000,290188000,97235000,21446000,1439404000,2688143000,328596000,316313000,76420000,432269000,216878000,215391000,837285000,236565000,168950000,106644000,62306000,405515000,1242800000,358728000,843456000,-3e+07,1172184000,273159000,1445343000,2688143000,11646000,25602000,-20003000,36126000.0000001,53371000,-38821000,703000,-38118000,-1571000,52922000,1802000,-2191000,50962000,66215000,66215000,-20673000,45542000,119852000,312985000,113956000,0.64312,0.15786,0.00852,0.00352,0.00189,22.40582,1.49141,0.85987,0.11643,0.03239,0.0321100000000001,3.80251,7.46566,0.72579,0.01001,0.00345,0.05913,0.30889,-3.90724,-4.96859
"13","2013_Q2",22.8053125,"Down",590287000,-204391000,385896000,-281419000,-281419000,104477000,-1562000,-1562000,102915000,78926000,-24764000,54162000,54162000,-7487000,46675000,46675000,841331000,841331000,179875000,179875000,302836000,39679000,237466000,1336881000,324005000,1144606000,740891000,284625000,96558000,22532000,1468611000,2805492000,318380000,300270000,47541000,680025000,228771000,451254000,1045946000,285464000,191062000,124096000,66966000,476526000,1522472000,258084000,889370000,1497999.99999999,1148952000,134068000,1283020000,2805492000,54162000,23895000,19566000,-28996000,68627000,-29427000,740000,-28687000,-1578000,13783000,-5222000,-1e+06,5983000,45923000,45923000,14133000,60056000,128372000,333005000,94713000,0.65374,0.17699,0.07907,0.03638,0.01664,2.0292,1.27815,1.18663,0.1187,0.2969,0.29525,3.75482,7.30848,0.60247,0.01004,0.0267,0.05241,0.03381,-3.95979,-4.86543
"14","2013_Q3",23.62859375,"Up",588538000,-210268000,378270000,-276177000,-276177000,102093000,-12422000,-12422000,89671000,104160000,-28789000,75371000,75371000,-5188000,70183000,70183000,680470000,680470000,189435000,189435000,333530000,66685000,260360000,1214492000,348064000,1562500000,1044222000,400848000,95178000,22252000,1910564000,3125056000,281760000,262890000,72335000,350019000,162558000,187461000,704114000,891134000,243201000,170723000,72478000,1134335000,1838449000,202396000,958751000,-15062000,1146085000,140522000,1286607000,3125056000,75371000,28160000,29406000,-76771000,56166000,-434697000,745000,-433952000,-1575000,550419000,-10575000,-6935999.99999999,531333000,153547000,153547000,3383000,156930000,130253000,963469000,-352426000,0.64273,0.17347,0.11925,0.05455,0.02246,-5.02153,1.72485,1.42891,0.3083,0.4456,0.44339,3.7367,7.27664,-2.2376,0.01,0.02878,-0.14135,0.02244,2.17269,2.77197
"15","2013_Q4",29.6046875,"Up",578746000,-217465000,361281000,-271696000,-271696000,89585000,-4527000,-4527000,85058000,86247000,-23433000,62814000,62814000,-4352000,58462000,58462000,682960000,682960000,166271000,166271000,286282000,70564000,209368000,1146862000,341573000,1587789000,1051614000,412995000,93626000,29554000,1929362000,3076224000,233154000,227367000,72332000,368342000,201190000,167152000,673828000,883462000,233696000,162389000,71307000,1117158000,1790986000,207666000,946195000,-6774000,1147087000,138151000,1285238000,3076224000,62814000,30892000,5362000,-19094000,79974000,-44319000,673000,-43646000,-1535000,33097000,-122814000,-249916000,-341168000,-304840000,-304840000,-10461000,-315301000,120477000,955794000,80497000,0.62425,0.15479,0.10101,0.04549,0.019,1.37691,1.70201,1.39351,0.3107,0.37602,0.37321,3.72246,7.378,0.51775,0.00987,0.02424,0.03253,0.02626,2.26461,3.04553
"16","2014_Q1",33.5922950819672,"Up",618352000,-229951000,388401000,-290568000,-290568000,97833000,-4418000,-4418000,93415000,64951000,-18585000,46366000,46366000,-5561000,40805000,40805000,680470000,680470000,189435000,189435000,333530000,66685000,260360000,1214492000,348064000,1562500000,1044222000,400848000,95178000,22252000,1910564000,3125056000,281760000,262890000,72335000,350019000,162558000,187461000,704114000,891134000,243201000,170723000,72478000,1134335000,1838449000,202396000,958751000,-15062000,1146085000,140522000,1286607000,3125056000,46366000,28841000,13986000,-53414000,35779000,-24162999.9999999,654000,-23508999.9999999,-1510000,27748999.9999999,-36387000,-1251000,-11399000,871000,871000,-3361000,-2489999.99999994,126674000,963469000,67682000,0.62812,0.15822,0.06599,0.03172,0.01306,1.65867,1.72485,1.42891,0.3083,0.26854,0.26706,4.06939,7.54241,0.44542,0.00994,0.01697,0.02715,0.03701,2.23407,2.89267
"17","2014_Q2",33.6357142857143,"Up",629685000,-230745000,398940000,-291556000,-291556000,107384000,-4541000,-4541000,102843000,102843000,-31135000,71708000,71708000,-7065000,64643000,64643000,725887000,725887000,188633000,188633000,668871000,49852000,612702000,1590068000,355370000,1554052000,1047578000,387234000,96646000,22594000,1909422000,3499490000,243218000,224100000,72228000,729374000,400887000,328487000,1044820000,1000383000,249598000,173573000,76025000,1249981000,2294801000,166848000,917550000,-17376000,1067022000,137667000,1204689000,3499490000,71708000,28374000,13915000,-137184000,-23187000,-20263000,665000,-19598000,-1456000,249511000,-144306000,-10279000,93470000,50685000,50685000,-5268000,45417000,135758000,1072611000,9446000,0.63355,0.17054,0.10266,0.05366,0.01847,0.14613,1.52186,1.90489,0.3065,0.43817,0.43508,4.26818,7.23258,0.06403,0.00987,0.02616,0.00373999999999999,0.02252,2.55399,3.22882
"18","2014_Q3",34.96765625,"Up",634122000,-235170000,398952000,-294045000,-294045000,104907000,-2737000,-2737000,102170000,109170000,-29313000,79857000,79857000,-5960000,73897000,73897000,987983862.911064,987983862.911064,169368932.090896,169368932.090896,477785598.46508,44743847.8448045,428342845.650265,1641151497.83603,359505662.399737,1437818890.72122,985238304.623506,328731882.387158,100559306.385793,23289397.3247628,1797324553.12096,3438476050.95698,218082112.692032,205886096.452501,34014896.7817177,586654266.121818,285230795.828155,301423470.293662,838751275.595567,1116920911.84379,240391066.929005,158992089.335359,81398977.593646,1357311978.7728,2196063254.36837,172944195.292931,948270601.707687,-12346292.208933,1108868306.78811,133544489.800511,1242412796.58862,3438476050.95698,79857000,29018000,10027000,315968000,434870000,-23239000,663000,-22576000,-1438000,40156000,-83771000,2203000.00000001,-42850000,369444000,369444000,1502000,370946000,133925000,2.38418579101562e-07,455967000,0.62914,0.16544,0.11653,0.0558129267081759,0.019946487602551,6.1703,2.03157112728717,1.75543193822306,0.336219093919359,0.51187,0.5081,4.39246,7.65799187912866,3.15841,0.00996,0.0269599129752082,0.0382844820911703,0.01946,1.1390584063344,1.30759645957599
"19","2014_Q4",39.1628125,"Up",616452000,-232937000,383515000,-286224000,-286224000,97291000,-13513000,-13513000,83778000,83778000,-23657000,60121000,60121000,-5e+06,55121000,55121000,1013560000,1013560000,174993000,174993000,337387000,46948000,284157000,1533255000,364725000,1557735000,1064868000,364513000,103182000,25172000,1922460000,3455715000,252033000,243212000,2350999.99999999,433618000,171563000,262055000,688002000,1252056000,251948000,165697000,86251000,1504004000,2192006000,195308000,940545000,-5745000,1130108000,133601000,1263709000,3455715000,60121000,29806000,9627000,-196836000,-97282000,-20287000,669000,-19618000,-1436000,75058000,-6427000,-23326000,43869000,-73031000,-73031000,-10242000,-83273000,127097000,1254407000,-66369000,0.62213,0.15782,0.08942,0.04362,0.01595,-1.20406,2.22856,1.73458,0.36299,0.38366,0.38049,4.29075,7.866,-0.46195,0.01,0.02042,-0.02396,0.02605,1.89499,2.47553
"20","2015_Q1",43.6265573770492,"Up",673977000,-253373000,420604000,-324687000,-324687000,95917000,-7358000,-7358000,88559000,81559000,-23293000,58266000,58266000,-6641000,51625000,51625000,581872000,581872000,214574000,214574000,840362000,45673000,781726000,1643444000,369753000,2005453000,1337285000,535173000,101928000,31067000,2375206000,4018650000,302496000,290106000,17677000,891445000,451317000,440128000,1211618000,1376002000,298231000,209099000,89132000,1674233000,2885851000,183023000,815980000,-1776000,997227000,135572000,1132799000,4018650000,58266000,34871000,13515000,-226955000,-120303000,-444146000,4268000,-439878000,-1427000,317345000,-186757000,-4754000,124407000,-435774000,-435774000,4086000,-431688000,130788000,1393679000,-517020000,0.62406,0.14231,0.0766,0.04557,0.01285,-10.01492,1.3564,2.54754,0.3468,0.36514,0.36198,4.76693,7.05322,-3.6568,0.01009,0.01878,-0.18303,0.02764,6.20704,8.46364
"21","2015_Q2",50.188253968254,"Up",704895000,-259839000,445056000,-320658000,-320658000,124398000,-9818000,-9818000,114580000,114580000,-30146000,84434000,84434000,-9068000,75366000,75366000,595884000,595884000,206641000,206641000,1198539000,43380000,1142366000,2006724000,363415000,1969217000,1324374000,511265000,100813000,32765000,2332632000,4339356000,262029000,248639000,31250000,1286218000,634061000,652157000,1579497000,1388750000,300596000,209941000,90655000,1689346000,3268843000,139141000,822461000,-19351000,942251000,128262000,1070513000,4339356000,84434000,34566000,11324000,-193797000,-63473000,-22930000,219000,-22711000,-1370000,238350000,-134800000,2433000,104613000,18429000,18429000,-4417000,14012000,158964000,1.42e+09,-27617000,0.63138,0.17648,0.10692,0.0704,0.01737,-0.36644,1.27048,3.05353,0.32724,0.55297,0.54918,5.17195,6.91347,-0.20263,0.01005,0.02749,-0.00989000000000001,0.01818,5.18429,6.62483
"22","2015_Q3",54.3559375,"Up",697291000,-257796000,439495000,-315511000,-315511000,123984000,-9068000,-9068000,114916000,114916000,-29660000,85256000,85256000,-10475000,74781000,74781000,644469000,644469000,197053000,197053000,1175731000,40072000,1122898000,2025255000,362809000,2153523000,1483615000,542992000,95161000,31755000,2516332000,4541587000,317275000,303008000,46875000,1311983000,781262000,530721000,1676133000,1554125000,289093000,200848000,88245000,1843218000,3519351000,144419000,852972000,-102726000,894665000,127571000,1022236000,4541587000,85256000,34606000,3884000,166663000,290409000,-234011000,0,-234011000,-1323000,59564000,-43530000,-3791000,10920000,67318000.0000001,67318000.0000001,-18733000,48584999.9999999,158590000,1.601e+09,120902000,0.63029,0.17781,0.10725,0.07315,0.01647,1.61675,1.20829,3.4428,0.35252,0.55494,0.552,5.17455,6.63925,0.89721,0.00982,0.02613,0.04151,0.01769,6.03147,7.71496
"23","2015_Q4",66.020625,"Up",664983000,-250255000,414728000,-310113000,-310113000,104615000,-12269000,-12269000,92346000,92346000,-23031000,69315000,69315000,-6747000,62568000,62568000,610148000,610148000,170895000,170895000,806520000,49027000,745560000,1593150000,355885000,2069285000,1422900000,516083000,93549000,36753000,2425170000,4018320000,307032000,284472000,62500000,873168000,426368000,446800000,1242700000,1.546e+09,287992000,201737000,86255000,1833992000,3076692000,147344000,861955000,-184226000,825073000,116555000,941628000,4018320000,69315000,33640000,24097000,-6903000,120149000,-32669000,-4.65661287307739e-10,-32669000,-1342000,-38471000,-50822000,-3549000,-94184000,-6704000,-6704000,-27617000,-34321000,138255000,1608500000,121714000,0.62367,0.15732,0.09409,0.06645,0.01557,1.94531,1.28201,3.26742,0.40029,0.46769,0.4648,4.97072,6.16739,0.90981,0.01003,0.02252,0.04289,0.02145,7.22109,9.54311
"24","2016_Q1",58.0403278688525,"Down",706549000,-254217000,452332000,-348732000,-348732000,103600000,-8332000,-8332000,95268000,95268000,-25158000,70110000,70110000,-4785000,65325000,65325000,650739000,650739000,202390000,202390000,2436786000,41416000,2395370000,3289915000,374143000,2115243000,1491833000,560136000,30428000,32846000,2489386000,5779301000,326875000,326875000,61784000,2626529000,2033900000,592629000,3015188000,1678283000,222277000,202855000,19422000,1900560000,4915748000,148742000,795226000,-185992000,757976000,105577000,863553000,5779301000,70110000,34693000,80409000,-107596000,77616000,-162127000,10597000,-151530000,-1305000,287376000,-136375000,-29670000,120026000,46112000,46112000,-5521000,40591000,138293000,1740067000,-106272000,0.6402,0.14663,0.09246,0.07565,0.0113,-1.62682,1.09111,5.69247,0.30109,0.49691,0.49351,5.37455,5.76574,-0.808389999999999,0.00993,0.02358,-0.03761,0.01998,7.87696,10.51475
"25","2016_Q2",72.288125,"Up",626259000,-248187000,378072000,-283499000,-283499000,94573000,-11793000,-11793000,82780000,82780000,-19333000,63447000,63447000,-3536000,59911000,59911000,803309000,803309000,207949000,207949000,1735780000,58231000,1665370000,2747038000,368795000,2357085000,1603593000,686852000,30375000,36265000,2725880000,5472918000,334208000,303497000,0,2056028000,1699353000,356675000,2390236000,1932028000,233511000,216844000,16667000,2165539000,4555775000,138212000,861212000,-212727000,786697000,130446000,917143000,5472918000,63447000,39312000,13870000,91584000,208213000,-24367000,-74000,-24441000,-1293000,-150071000,-3249000,-6839000,-161452000,22320000,22320000,17849000,40169000,133885000,1932028000,220435000,0.6037,0.15101,0.09566,0.06532,0.01095,3.67937,1.14927,4.96736,0.35302,0.45969,0.45683,4.80525,6.03629,1.69139,0.00992,0.01985,0.07151,0.02158,8.43051,11.9349
"26","2016_Q3",73.77765625,"Up",842645000,-406873000,435772000,-374611000,-374611000,61161000,5968000,5968000,67129000,67129000,4000,67133000,67133000,-4900000,62233000,62233000,988457000,988457000,202931000,202931000,1464433000,52707000,1411726000,2655821000,367541000,2304739000,1577455000,665667000,26252000,35365000,2672280000,5328101000,326009000,309117000,0,1941636000,1256458000,685178000,2267645000,1915803000,218554000,202630000,15924000,2134357000,4402002000,132401000,917989000,-245234000,805156000,120943000,926099000,5328101000,67133000,88442000,12756000,-86096999.9999999,82234000,-1865143000,-41446000,-1868872000,-1544000,2289538000,-77500000,-39975000,2170519000,383881000,383881000,-23431000,360450000,149603000,1915803000,-1801641000,0.51715,0.07258,0.07385,0.0672,0.01168,-28.94993,1.17118,4.75327,0.35957,0.48055,0.47742,6.50666,6.21718,-13.91175,0.01192,0.02084,-0.58868,0.02481,6.19871,15.16237
