"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"13","2016_Q4",21.0098412698413,"Down",1035801000,-744288000,291513000,-250066000,-246461000,-3605000,41447000,-3588000,-3723000,37859000,37859000,-13974000,23885000,23885000,23885000,23885000,50290000,50290000,21762000,21762000,195217000,24500000,24500000,291769000,577409000,586174000,197958000,368078000,20138000,1163583000,1455352000,235536000,162275000,73261000,244955000,320426000,130626000,111907000,451052000,696007000,594426000,164919000,759345000,759345000,1455352000,23885000,21184000,10872000,-7844000,48097000,-57490000,-57490000,4.5e+07,-63008000,563000,-753000,-18761000,-28154000,-28154000,-28154000,62631000,329845000,11271000,0.28144,0.04001,0.02306,0.03145,0.01641,0.47189,1.19111,0.91659,0.22664,0.16167,0.15921,7.01083,5.13963,0.07629,0.01958,0.00924,4.46352,6.74488
"14","2017_Q1",19.5961290322581,"Down",985700000,-526080000,459620000,-429433000,-362696000,11556000,30187000,-3681000,-3809000,26506000,26506000,-9501000,17005000,17005000,17005000,17005000,12465000,12465000,25228000,25228000,204464000,21869000,21869000,264026000,604660000,571207000,197608000,368078000,5521000,1175867000,1439893000,246785000,213926000,32859000,259155000,372366000,135463000,116200000,507829000,766984000,597409000,75500000,672909000,672909000,1439893000,17005000,20726000,3713000,16870000,58314000,-38894000,-38403000,5e+07,-106305000,124000,-1431000,-57736000,-37825000,-37825000,-37825000,50913000,384736000,38390000,0.46629,0.03062,0.01725,0.02527,0.01181,2.25757,1.0188,1.1398,0.2672,0.12009,0.11813,6.96076,4.75191,0.2711,0.01425,0.03218,7.3119,12.33216
"15","2017_Q2",23.1587301587302,"Up",1130645000,-793359000,337286000,-264775000,-261226000,-3549000,72511000,-4643000,-4738000,67868000,67868000,-21581000,46287000,46287000,46287000,46287000,21326000,21326000,24698000,24698000,204267000,23218000,23218000,273509000,653360000,570770000,197257000,368078000,5435000,1224130000,1497639000,289505000,191825000,87154000,300124000,404373000,149208000,121068000,553581000,853705000,602143000,41791000,643934000,643934000,1497639000,46287000,22622000,11504000,34124000,114537000,-57175000,-57175000,3e+07,-77708000,2292000,-793000,-48501000,8861000,8861000,8861000,95133000,414992000,93663000,0.29831,0.06413,0.04094,0.07188,0.03091,2.02353,0.91132,1.32576,0.2771,0.33769,0.33027,8.24873,4.69788,0.68333,0.03831,0.07753,4.13806,5.42905
"16","2017_Q3",22.132380952381,"Down",1183975000,-841989000,341986000,-278515000,-274276000,-4239000,63471000,-4969000,-5100000,58502000,58502000,-17534000,40968000,40968000,40968000,40968000,14814000,14814000,19782000,19782000,218404000,23409000,23409000,276409000,681065000,572735000,196906000,368078000,7751000,1253800000,1530209000,266973000,181913000,85060000,281843000,434749000,161259000,123957000,596008000,877851000,609597000,42761000,652358000,652358000,1530209000,40968000,23520000,13455000,-12597000,65346000,-60548000,-60548000,2.5e+07,-36360000,3640000,50000,-11310000,-6511999.99999999,-6511999.99999999,-6511999.99999999,86991000,449619000,31380000,0.28885,0.05361,0.0346,0.0628,0.02677,0.76596,0.98072,1.34566,0.29383,0.29948,0.29369,8.65504,4.76884,0.22939,0.03243,0.02484,4.99828,6.85045
"17","2017_Q4",21.1953968253968,"Down",1206059000,-859650000,346409000,-293405000,-290146000,-3259000,53004000,-5447000,-5609000,47557000,47557000,-16071000,31486000,31486000,31486000,31486000,18892000,18892000,23231000,23231000,222216000,25594000,25594000,289933000,690763000,570520000,196556000,368078000,5886000,1261283000,1551216000,281384000,179482000,101902000,290160000,475806000,168635000,126127000,644441000,934601000,614365000,2250000,616615000,616615000,1551216000,31486000,24733000,9946000,12921000,79086000,-40706000,-40706000,3.9e+07,-71292000,708000,-2010000,-34302000,4078000,4078000,4078000,77737000,484582000,66023000,0.28722,0.04395,0.02611,0.05106,0.0203,2.0969,0.99922,1.5157,0.31239,0.23441,0.23021,8.979,4.59064,0.49154,0.0248,0.05199,5.99058,8.78594
"18","2018_Q1",25.6254098360656,"Up",1143933000,-602584000,541349000,-504265000,-419992000,9921000,37084000,-5493000,-5730000,31591000,31591000,8108000,39699000,39699000,39699000,39699000,19479000,19479000,25893000,25893000,229542000,24593000,24593000,299507000,713031000,569065000,196205000,368078000,4782000,1282096000,1581603000,290476000,244853000,45623000,299714000,473489000,157706000,130640000,631195000,930909000,620920000,30558000,650694000,650694000,1581603000,39699000,26112000,-10795000,-4418000,50598000,-40165000,-40165000,-1e+06,-8732000,2660000,-114000,-9846000.00000001,587000,587000,587000,63196000,482727000,10505000,0.47323,0.03242,0.0347,0.06101,0.0251,0.26462,0.99931,1.43064,0.30521,0.29964,0.29379,8.63404,4.91123,0.0792900000000001,0.03075,0.00814,7.33034,12.49186
"19","2018_Q2",22.620625,"Down",1287196000,-900144000,387052000,-307372000,-304042000,-3330000,79680000,-5857000,-6065000,73823000,73823000,-7199000,66624000,66624000,66624000,66624000,21356000,21356000,26746000,26746000,239611000,27301000,27301000,315014000,738656000,573474000,195855000,368078000,9541000,1312130000,1627144000,303954000,270385000,33569000,315918000,490833000,171910000,134215000,662743000,978661000,631762000,14185000,648483000,648483000,1627144000,66624000,26810000,15131000,-4078000,104487000,-44158000,-44158000,2e+07,-76123000,6877000,-2329000,-58452000,1877000,1877000,1877000,106490000,502797000,65453000,0.30069,0.0619,0.05176,0.10274,0.04095,0.98242,0.99714,1.50915,0.30901,0.50312,0.49812,9.72034,4.89706,0.49427,0.05035,0.04947,4.521,6.04218
"20","2018_Q3",24.5474603174603,"Up",1321693000,-941281000,380412000,-318711000,-316410000,-2301000,61701000,-6427000,-6544000,55274000,55274000,-13565000,41709000,41709000,41709000,41709000,23174000,23174000,27580000,27580000,250564000,28696000,28696000,330014000,776323000,577432000,195504000,368078000,13850000,1353755000,1683769000,303988000,265578000,38410000,318350000,579647000,184600000,139984000,764247000,1082597000,636571000,-39101000,601172000,601172000,1683769000,41709000,27019000,11949000,-14056000,66621000,-59777000,-59777000,9e+07,-95143000,-143000,117000,-5026000,1818000,1818000,1818000,88720000,594009000,28452000,0.28782,0.04668,0.03156,0.06938,0.02477,0.68215,1.03664,1.80081,0.35279,0.32227,0.32081,10.2122,4.64502,0.21984,0.03023,0.02062,6.43412,9.25163
"21","2018_Q4",26.0304761904762,"Up",1329109000,-946734000,382375000,-329589000,-325309000,-4280000,52786000,-7419000,-7419000,45367000,45367000,-7867000,37500000,37500000,37500000,37500000,17175000,17175000,34631000,34631000,253045000,37523000,37523000,342374000,773348000,579242000,195154000,368078000,16010000,1352590000,1694964000,289361000,245928000,43433000,296759000,555670000,201240000,144401000,756910000,1053669000,653636000,-16908000,641295000,641295000,1694964000,37500000,28130000,15647000,-16919000,64358000,-44497000,-44497000,-2.3e+07,-990000,14317000,-1214000,-25204000,-5343000,-5343000,-5343000,80916000,563068000,27367000,0.28769,0.03972,0.02821,0.05848,0.02212,0.72979,1.15371,1.64303,0.3322,0.29561,0.29382,10.47739,5.05534,0.21573,0.02668,0.01947,6.74642,10.34162
"22","2019_Q1",23.4622950819672,"Down",1269338000,-671702000,597636000,-568892000,-458682000,-2165000,28744000,-7412000,-7407000,21332000,21332000,-8629000,12703000,12703000,12703000,12703000,1588000,1588000,40564000,40564000,264366000,27323000,27323000,333841000,766429000,575344000,194803000,368078000,12463000,1341773000,1675614000,302572000,253969000,48603000,3.1e+08,572642000,203776000,153377000,776418000,1086418000,657264000,-69202000,589196000,589196000,1675614000,12703000,28790000,714999.999999998,16705000,58913000,-28650000,-28650000,13483000,-64208000,792000,4879000,-45846000,-15583000,-15583000,-15583000,57534000,580070000,54218000,0.47082,0.02264,0.01001,0.02156,0.00758,4.26813,1.07691,1.8439,0.34618,0.10033,0.09947,10.02581,4.65374,0.42824,0.00925,0.03949,10.05461,20.12531
"23","2019_Q2",20.835873015873,"Down",1413887000,-929538000,484349000,-404793000,-374826000,-508000,79556000,-5002000,-5002000,74554000,74554000,-18162000,56392000,56392000,56392000,56392000,19502000,19502000,25190000,25190000,257866000,30644000,30644000,333202000,694183000,1589211000,185530000,368078000,1035603000,2283394000,2616596000,302395000,262479848.243868,302395000,377732000,512018000,1170325000,1106379000,1682343000,2060075000,661374000,-103371000,556521000,556521000,2616596000,56392000,30073000,3e+07,-3860000,112605000,-30142000,-30142000,46814000,-110224000,1661000,-319000,-63729000,18734000,18734000,18734000,109629000,512018000,93789000,0.34257,0.05627,0.03988,0.10133,0.02155,1.66316,0.88211,3.7017,0.19568,0.45751,0.45505,11.47096,4.51509,0.76092,0.02519,0.04189,4.49257,6.19081
"24","2019_Q3",18.36328125,"Down",1415736000,-950954000,464782000,-413450000,-383116000,-769000,51332000,-5438000,-5438000,45894000,45894000,-10551000,35343000,35343000,35343000,35343000,58639000,58639000,13170000,13170000,269463000,38776000,38776000,380048000,728441000,1584002000,185485000,368078000,1030439000,2312443000,2692491000,373295000,245910958.661025,373295000,449605000,526861000,1184376000,1119114000,1711237000,2160842000,665572000,-129344000,531649000,531649000,2692491000,35343000,30138000,26215000,44884000,136580000,-63272000,-63272000,14861000,-48968000,2457000,9.31322574615479e-10,-34107000,39201000,39201000,39201000,81470000,526861000,73633000,0.3283,0.03626,0.02496,0.06648,0.01313,2.08338,0.84529,4.06441,0.19568,0.29888,0.29816,11.9724,4.49597,0.62269,0.01576,0.03283,5.74717,9.12144
"25","2019_Q4",19.36421875,"Up",1440221000,-963497000,476724000,-437167000,-404284000,-2119000,39557000,-5557000,-5557000,3.4e+07,3.4e+07,-7740000,26260000,26260000,26260000,26260000,79912000,79912000,14212000,14212000,285715000,32111000,32111000,411950000,742235000,1610682000,185440000,368078000,1057164000,2352917000,2764867000,387132000,184893000,202239000,472116000,526699000,1206131000,1151804000,1732830000,2204946000,668640000,-103084000,559921000,559921000,2764867000,26260000,31335000,10669000,5863000,74127000,-53066000,-53066000,-211000,365000,365000,-1000,153000,21214000,21214000,21214000,70892000,526699000,31429000,0.33101,0.02747,0.01823,0.0469,0.0095,1.19684,0.87256,3.93796,0.1905,0.22249,0.22213,12.20216,4.74389,0.26628,0.01145,0.01371,6.30236,11.29476
"26","2020_Q1",16.7679032258065,"Down",1364991000,-896028000,468963000,-422048000,-387481000,-3864000,46915000,-5195000,-5195000,41720000,41720000,-10086000,31634000,31634000,31634000,31634000,85314000,85314000,15713000,15713000,275979000,10833000,10833000,387839000,741508000,1593636000,185395000,368078000,1040163000,2335144000,2722983000,309905000,122839000,185061000,416812000,549419000,1174800000,1120444000,1724219000,2141031000,671083000,-84449000,581952000,581952000,2722983000,31634000,31258000,31940000,-62934000,31898000,-36752000,-36752000,23536000,-12605000,395000,-689000,10242000,5388000,5388000,5388000,78173000,549419000,-11427000,0.34356,0.03437,0.02318,0.05436,0.01162,-0.36123,0.93049,3.67905,0.20177,0.26823,0.26743,11.57419,4.93456,-0.0968900000000001,0.01372,-0.00495,5.9369,9.89247
"27","2020_Q2",22.8865079365079,"Up",1646539000,-1052707000,593832000,-466243000,-436304000,1082000,127589000,-4827000,-4827000,122762000,122762000,-30952000,91810000,91810000,91810000,91810000,247101000,247101000,12411000,12411000,253191000,18079000,18079000,530782000,734504000,1589914000,185350000,368078000,1036486000,2324418000,2855200000,436601000,200762000,204928000,547395000,462185000,1174898000,1120311000,1637083000,2184478000,673483000,7361000,670722000,670722000,2855200000,91810000,31600000,25001000,128661000,277072000,-28036000,-28036000,-8.7e+07,-10944766.4727458,1313030.17492243,-154000,-87154000,161882000,161882000,161882000,159189000,462185000,290766000,0.36065,0.07749,0.05576,0.13688,0.03216,3.16704,0.96965,3.25691,0.16187,0.78106,0.77972,14.00773,5.70609,2.47366,0.03978,0.12599,1.35112,1.68576
"28","2020_Q3",23.95625,"Up",1642788000,-1030129000,612659000,-519896000,-488877000,-470000,92763000,-3737000,-3737000,89026000,89026000,-22024000,67002000,67002000,67002000,67002000,328116000,328116000,14742000,14742000,255352000,14648000,14648000,612858000,740075000,1610256000,184960000,368878000,1056418000,2350331000,2963189000,449438000,168833000,231368000,572756000,461947000,1185209000,1130067000,1647156000,2219912000,679153000,74363000,743277000,743277000,2963189000,67002000,31328000,30551000,-12605000,116276000,-36535000,-36535000,0,1343000,1343000,-157000,1185999.99999999,80927000,80927000,80927000,124091000,461947000,96975000,0.37294,0.05647,0.04079,0.09014,0.02261,1.44734,1.07002,2.98666,0.1559,0.56863,0.56682,13.9419,6.30799,0.823,0.02803,0.04057,1.07849,1.44272
"29","2020_Q4",20.48171875,"Down",1577598000,-992829000,584769000,-506388000,-475053000,-268000,78381000,-3117000,-3117000,75264000,75264000,-15023000,60241000,60241000,60241000,60241000,137518000,137518000,24258000,24258000,257255000,18948000,18948000,437979000,735670000,1608574000,184960000,368878000,1054736000,2344244000,2782223000,378499000,163259000,211151000,509581000,285704000,1178992000,1124407000,1464696000,1974277000,682826000,134604000,807946000,807946000,2782223000,60241000,31820000,28516000,-103661000,16916000,-31303000,-31303000,-1.76e+08,0,0,-163000,-176163000,-190550000,-190550000,-190550000,110201000,285704000,-9740000,0.37067,0.04968,0.03819,0.07456,0.02165,-0.16168,0.85949,2.44358,0.10269,0.51074,0.50829,13.37526,6.84996,-0.08258,0.02651,-0.00429,1.34469,1.89059
"30","2021_Q1",22.7326229508197,"Up",1601834000,-1013805000,588029000,-495097000,-463635000,24999.9999999998,92932000,-3106000,-3106000,89826000,89826000,-21429000,68397000,68397000,68397000,68397000,169697000,169697000,14815000,14815000,254224000,27224000,27224000,465960000,726500000,1613944000,184960000,368878000,1060106000,2340444000,2806404000,359434000,139337000,220097000,496132000,260459000,1168520000,1110447000,1428979000,1925111000,686766000,203001000,881293000,881293000,2806404000,68397000,31759000,36626000,-53011000,83771000,-26094000,-26094000,-2.5e+07,9.31322574615479e-10,0,-280000,-25280000,32397000,32397000,32397000,124691000,260459000,67015000,0.3671,0.05802,0.0427,0.07761,0.02437,0.97979,0.93919,2.18442,0.09281,0.57984,0.57756,13.57958,7.47118,0.56812,0.02961,0.02901,0.7279,0.97665
"31","2021_Q2",26.6788888888889,"Up",1575447000,-989273000,586174000,-472939000,-439662000,-2048000,113235000,-2991000,-2991000,110244000,110244000,-27196000,83048000,83048000,83048000,83048000,256019000,256019000,14488000,14488000,270958000,35862000,35862000,577327000,707039000,1612372000,184960000,368878000,1058534000,2319411000,2896738000,353608000,160596000,176761000,490373000,260287000,1179208000,1118378000,1439495000,1929868000,691260000,282840000,966870000,966870000,2896738000,83048000,31841000,32393000,-41844000,105438000,-16605000,-16605000,-163000,-2328000,881000,308880.468502275,-2491000,86342000,86342000,86342000,145076000,260287000,113823000,0.37207,0.07187,0.05271,0.08589,0.02867,1.37057,1.17732,1.996,0.08986,0.70353,0.70019,13.34627,8.19076,0.96424,0.03451,0.0473,0.02942,0.03769
"32","2021_Q3",24.34703125,"Down",1521993000,-971912000,550081000,-466431000,-438049000,2048000,83650000,-2938000,-2938000,80712000,80712000,-19698000,61014000,61014000,61014000,61014000,220909000,220909000,13035000,13035000,274097000,43338000,43338000,551379000,703571000,1623413000,184960000,368878000,1069575000,2326984000,2878363000,344711000,161100000,183611000,483542000,260082000,1185616000,1124623000,1445698000,1929240000,695860000,259582000,949123000,949123000,2878363000,61014000,31311000,31749000,-52207000,71867000,-22816000,-22816000,-170000,-83910000,365000,1085201.92877583,-84080000,-35029000,-35029000,-35029000,114961000,260082000,59636000,0.36142,0.05496,0.04009,0.06428,0.0212,0.97742,1.14029,2.03266,0.09036,0.51688,0.51442,12.89344,8.04042,0.5052,0.02548,0.0249,0.34075,0.4683
