"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","derivative_hedging_assets_short_term","income_taxes_receivable","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","deferred_tax_assets_long_term","derivative_hedging_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","short_term_debt","other_short_term_liabilities","liabilities_from_derivatives_hedging_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","liabilities_from_derivatives_hedging_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2018_Q4",17.7493650793651,"Down",3143800000,-2527600000,616200000,-289200000,-250600000,-38600000,3.27e+08,-79200000,-1.06e+08,16400000,10400000,247800000,-46900000,200900000,-66700000,134200000,134200000,2700000,136900000,136900000,5553300000,5553300000,2079300000,2079300000,1382500000,2548100000,9.7e+07,333300000,2117800000,11563200000,3670500000,1.1066e+10,1223100000,426800000,8e+07,332700000,15096800000,2.666e+10,3384600000,2800900000,208200000,375500000,78400000,5239800000,92100000,5147700000,8702800000,4017100000,1076100000,230100000,351800000,81200000,4.13e+08,5093200000,1.3796e+10,10697600000,3421100000,-1313900000,12804800000,59200000,1.2864e+10,2.666e+10,134200000,1.42e+08,-15700000,-1.2e+08,140500000,-118700000,-3800000,-122500000,218500000,1300000,2900000,20900000,20900000,-2.3e+07,-2100000,4.69e+08,4095500000,2.97e+08,0.196,0.10401,0.04355,0.01064,0.00514,2.16947,1.32868,1.07245,0.15362,0.22411,0.22192,5.14662,20.96233,0.48621,0.01086,0.01647,-3.10832,-4.4581
"12","2019_Q1",16.2019672131148,"Down",3.323e+09,-2867100000,455900000,-361400000,-305500000,-55900000,94500000.0000001,-384200000,-116600000,43700000,-311300000,-289700000,-1714800000,-2004500000,-2.42e+08,-2246500000,-2246500000,-12800000,-2259300000,-2259300000,5.54e+09,5.54e+09,2469700000,2469700000,1440900000,2330600000,95700000,284300000,1950600000,11781200000,3259800000,9.349e+09,1176700000,232400000,18300000,3.14e+08,13003300000,24784500000,3076900000,2600300000,81900000,394700000,67400000,5990100000,138400000,5851700000,9134400000,4124300000,1056400000,298900000,209200000,44900000,503400000,5180700000,14315100000,10645100000,1114200000,-1359700000,10399600000,69800000,10469400000,24784500000,-2246500000,137900000,2140400000,127500000,159300000,-101300000,8e+05,-1.02e+08,179400000,-546500000,-41800000,15500000,15500000,-28800000,-13300000,232400000,4191700000,500600000,0.1372,0.02844,-0.6799,-0.2158,-0.09116,-0.22157,1.28976,1.36733,0.16913,-3.72073,-3.7861,5.47249,17.1266,0.82441,-0.14,0.03185,-5.80164,-14.26772
"13","2019_Q2",16.9220634920635,"Up",2.913e+09,-2365900000,547100000,-337700000,-297800000,-39900000,209400000,-100500000,-88200000,13900000,-26200000,108900000,-74600000,34300000,-14500000,19800000,19800000,1100000,20900000,20900000,4965300000,4965300000,2250300000,2250300000,1471600000,2564900000,89700000,342700000,2132500000,11252100000,3381900000,1.0594e+10,1156900000,389600000,22900000,1421200000,14377800000,25629900000,3004400000,2464500000,161400000,378500000,208900000,6415200000,145900000,6269300000,9628500000,3.725e+09,1864300000,289300000,275800000,5.3e+07,1246200000,5589300000,15217800000,10617800000,1047900000,-1.323e+09,10342700000,69400000,10412100000,25629900000,19800000,119400000,2.3e+07,-40800000,121400000,-2.37e+08,6293480.62287698,-2.37e+08,-239700000,-174900000,-447600000,-563200000,-563200000,-11500000,-574700000,328800000,3933900000,65500000,0.18781,0.07188,0.00717,0.00200999999999998,0.000819999999999974,3.13397,1.16862,1.46155,0.15349,0.03455,0.03431,4.8154,17.09723,0.10828,0.00129000000000004,0.00404,-3.13686,-4.9255
"14","2019_Q3",18.10296875,"Up",3434200000,-2721500000,712700000,-353300000,-323800000,-29500000,359400000,-1.99e+08,-140600000,14200000,-72600000,160400000,-45799999.9999995,114600000,-9e+05,113700000,113700000,-16700000,96999999.9999998,96999999.9999998,4621300000,4621300000,2240400000,2240400000,1564500000,2877600000,73200000,3.83e+08,2421400000,11303800000,3.345e+09,10448600000,1123700000,373800000,39800000,1302100000,14208900000,25512700000,2947300000,2488700000,1.12e+08,346600000,80700000,6548800000,126900000,6421900000,9576800000,3701100000,1815900000,283100000,222600000,75200000,1.235e+09,5.517e+09,15093800000,10598900000,1.084e+09,-1348300000,10334600000,84300000,10418900000,25512700000,113700000,117500000,1.25e+08,-282100000,74100000,-91900000,22500000,-50499999.9999999,-161500000,-45700000,-380900000,-357300000,-357300000,13300000,-3.44e+08,476900000,3781800000,103800000,0.20753,0.10465,0.0282500000000001,0.00931,0.0038,1.0701,1.18033,1.44869,0.14823,0.162080000000001,0.16021,5.73817,17.26799,0.17344,0.01334,0.00648,-1.76033,-2.33584
"15","2019_Q4",15.141875,"Down",3335100000,-2669900000,665200000,-338700000,-298100000,-40600000,326500000,-148300000,-116500000,25900000,-57700000,178200000,-212400000,-34200000,-81100000,-115300000,-115300000,-3800000,-119100000,-119100000,4504400000,4504400000,2.15e+09,2.15e+09,1645400000,2693600000,106200000,340200000,2247200000,10993400000,3.092e+09,1.0261e+10,1105600000,333700000,46100000,1198300000,13786300000,24779700000,3052500000,2556400000,9.4e+07,402100000,299400000,6044100000,226300000,5817800000,9.396e+09,3608800000,1612600000,272300000,172600000,1.08e+08,1059700000,5221400000,14617400000,10616800000,901600000,-1439500000,10078900000,83400000,10162300000,24779700000,-115300000,141600000,277300000,-209700000,93900000,-93600000,23900000,-69700000,213400000,-223100000,-70400000,-46200000,-46200000,-70700000,-116900000,468100000,3908200000,245900000,0.19945,0.0979,-0.03571,-0.01172,-0.00481,-2.06465,1.17001,1.43839,0.15772,-0.19675,-0.20049,5.50949,16.65005,0.40622,-0.00389,0.01568,-1.27366,-1.82603
"16","2020_Q1",10.7658064516129,"Down",-2732100000,1865200000,-866900000,84500000,1.24e+08,-39500000,-782400000,234700000,2.54e+08,5800000,-25100000,-547700000,-2138100000,-2685800000,17500000,-2668300000,-2430300000,16300000,-2.414e+09,-2.414e+09,5190200000,5190200000,2287100000,2287100000,1.416e+09,2993100000,101900000,264600000,2626600000,11886400000,3.162e+09,8.17e+09,1086600000,260500000,39500000,1185100000,11632400000,23518800000,3.147e+09,2659800000,75700000,411500000,495400000,6.496e+09,141300000,6354700000,10138400000,3.98e+09,1671200000,368600000,138200000,52700000,1111700000,5651200000,15789600000,10629900000,-1563100000,-1407500000,7659300000,69900000,7729200000,23518800000,-2668300000,89200000,1997900000,649500000,559100000,17200000,-54500000,-62600000,347700000,3.51e+08,114500000,6.11e+08,6.11e+08,74800000,685800000,-693200000,4475400000,-4.4e+07,0.3173,0.28637,0.88357,-0.31232,-0.10264,0.01823,1.17241,2.04285,0.19029,-4.02539,-4.02539,-4.55583,12.77204,-0.07337,-0.16978,-0.00317,1.03116,0.9136
"17","2020_Q2",5.82666666666667,"Down",1582600000,-1404100000,178500000,-220700000,-195300000,-25400000,-42200000,-9799999,-22999999,21100000,-7900000,-51999999,-3199100000,-3251099999,23200000,-3227899999,-3245699999,-10400000,-3256099999,-3256099999,4999400000,4999400000,2208800000,2208800000,1627200000,2994700000,353300000,269900000,2371500000,11830100000,2852500000,4923700000,1049500000,238500000,8.4e+07,1090700000,8097500000,19927600000,3040300000,2551200000,120400000,368700000,586700000,6787600000,485600000,6.302e+09,10414600000,3823900000,1564800000,347400000,57700000,98200000,1061500000,5388700000,15803300000,10645100000,-4.887e+09,-1701700000,4056400000,67900000,4124300000,19927600000,-3227900000,103900000,3.211e+09,-526800000,27900000,-68400000,1900000,-73500000,264400000,-3200000,-1.97e+08,-242600000,-242600000,-9700000,-252300000,61700000,4410600000,-556700000,0.11279,-0.02666,-2.05744,-0.78949,-0.1634,0.17097,1.13591,3.83175,0.22133,-5.41384,-5.41384,2.63135,6.74448,-0.92561,-0.3224,-0.05512,-9.54295,13.95261
"18","2020_Q3",5.61984375,"Down",1620200000,-1450700000,169500000,-182900000,-157800000,-25100000,-13400000.0000001,-31200001,-26600001,15700000,-20300000,-44600001,-103600000,-148200001,-27600000,-175800001,15299999,-3600000,11699999.0000005,11699999.0000005,4809500000,4809500000,2226100000,2226100000,1650200000,2795900000,201900000,241600000,2352400000,11481700000,2850800000,4926700000,1026900000,240700000,77200000,1111200000,8112700000,19594400000,2906600000,2476100000,76600000,353900000,524100000,6466900000,308500000,6158400000,9897600000,3982900000,1497200000,327300000,77800000,67200000,1024900000,5480100000,15377700000,10662900000,-4.876e+09,-1645800000,4141100000,75600000,4216700000,19594400000,-175800000,100200000,-41400000,141200000,-93900000,-70200000,21800000,-63800000,-115900000,-3200000.00000006,-47299999.9999999,-2.05e+08,-2.05e+08,-32300000,-237300000,86800000,4.507e+09,185400000,0.10462,-0.00827000000000004,0.00721999999999978,0.00277,6e-04,15.84616,1.16005,3.64686,0.23001,0.0194199999999993,0.0194200000000002,2.68906,6.87302,0.30771,0.00694,0.01814,-3.48502,22.57463
"19","2020_Q4",5.88,"Up",1727500000,-1518800000,208700000,-202600000,-181800000,-20800000,6100000,-2300000,-23100000,12900000,7900000,3800000,-53500000,-49700000,-9100000,-58800000,6400000,-10300000,-3900000,-3900000,4.244e+09,4.244e+09,2127800000,2127800000,1558300000,3.104e+09,310700000,285400000,2507900000,11034100000,2806400000,4719500000,1002300000,228100000,22900000,977500000,7877100000,18911200000,2948600000,2498400000,65700000,384500000,612200000,6456400000,280200000,6176200000,10017200000,3.248e+09,1370200000,320400000,78500000,35700000,935600000,4618200000,14635400000,10677200000,-4.879e+09,-1609100000,4189100000,86700000,4275800000,18911200000,-58800000,94200000,30300000,639600001,168100001,-65700000,-9700000,-75100000,-602500000,0,-667500000,-574499999,-574499999,117900000,-456599999,100300000,3860200000,683300001,0.12081,0.00353,-0.00226,-0.000910000000000017,-0.000210000000000005,-175.20513,1.10152,3.42284,0.20412,-0.00646,-0.00646,2.86013,6.93567,1.1313,-0.000410000000000023,0.07188,-3.82652,-62.91803
"20","2021_Q1",8.1727868852459,"Up",1600300000,-1462200000,138100000,-193200000,-189200000,-4e+06,-55100000,51199999,-9100000,14899999,45400000,-3900001,-45800000,-49700001,-5900000,-55600001,-13900001,-25400000,-39300001,-39300001,1269200000,1269200000,987700000,987700000,1252800000,7.935e+09,268700000,274700000,1666500000,11444700000,2756200000,5491700000,851300000,34200000,29200000,4271500000,8247900000,19692600000,1.449e+09,1.201e+09,61200000,186800000,624700000,8341500000,157500000,2087500000,10415200000,2835500000,2183899999,268399999,79300000,18800000,1817400000,5019399999,15434599999,10691900000,-4915200000,-1622500000,4154200000,103800000,4.258e+09,19692599999,-55600000,113800000,-25700000.0000001,450199999,554799999,-6299999.99999999,24300000,31800000,-119500000,-12800000,-170400000,416199999,416199999,147600000,563799999,58700000,3460200000,508499999,0.0863,-0.03443,-0.0245600000000001,-0.00923,-0.002,-12.93893,1.09885,3.62485,0.17571,-0.0875899999999999,-0.0875900000000001,3.56653,9.2583,1.13327,-0.00397,0.05135,37.32538,-39.76407
"21","2021_Q2",8.44714285714286,"Up",1.632e+09,-1441200000,190800000,-164100000,-147600000,-16500000,26700000,478899999,-34500001,7700000,35600000,505599999,-4.9e+07,456599999,-24500000,432099999,371899999,-3700000,368199999,368199999,752800000,752800000,1046400000,1046400000,1164800000,3299200000,203500000,131600000,2964100000,6263200000,2690800000,1894600000,832700000,57300000,35300000,969300000,4902300000,11165500000,1511200000,1247900000,84900000,178400000,96800000,2263300000,172500000,2090800000,3871300000,2434300000,1119800000,248900000,60700000,34200000,7.76e+08,3554100000,7425400000,9601900000,-4.547e+09,-1400800000,3654100000,8.6e+07,3740100000,11165500000,432100000,95200000,-468300000,122500000,247800000,-44200000,241100000,192400000,-812700000,-53900000,-4484300000,-4044100000,-4044100000,-10900000,-4.055e+09,121900000,2531100000,224700000,0.11691,0.01636,0.22561,0.09845,0.03298,0.61027,1.61785,1.98535,0.22669,0.81877,0.81623,3.62909,8.12564,0.49967,0.04982,0.0304,14.58819,66.603
"22","2021_Q3",7.1940625,"Down",1668800000,-1442500000,226300000,-191800000,-172600000,-19200000,34500000,-170199999,-35199999,12800000,-1e+06,-135699999,-2e+06,-137699999,-34900000,-172599999,-164899999,-2100000,-166999999,-166999999,854900000,854900000,1272300000,1272300000,1135800000,2621200000,1.86e+08,107600000,2327600000,5884200000,2712700000,1.807e+09,809700000,40300000,12900000,944100000,4843700000,10727900000,1561200000,1307200000,68400000,185600000,297700000,1901999999,128800000,1773199999,3760899999,2180200000,1157500000,239500000,80500000,13600000,823900000,3337700000,7098599999,9595300000,-4.714e+09,-1294900000,3586400000,42900000,3629300000,10727899999,-172600000,9.8e+07,229500000,-240800000,-85900000,4.9e+07,224600000,273600000,-86100000,-3100000,-89200000,98500000,98500000,3599999.99999997,102100000,132500000,2477900000,-24399999.9999999,0.13561,0.02067,-0.10007,-0.04601,-0.01557,0.146110000000004,1.56457,1.95591,0.23098,-0.37136,-0.37021,3.71092,7.97509,-0.05426,-0.02299,-0.00336,12.24906,47.04348
