"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",33.3422580645161,"Down",4.49e+09,-2.778e+09,1.712e+09,-1.287e+09,-1.078e+09,-2.09e+08,4.25e+08,-8.1e+07,-8.1e+07,3.44e+08,3.44e+08,-1.29e+08,2.15e+08,2.15e+08,2.15e+08,2.15e+08,5.5e+08,5.5e+08,4.851e+09,4.05e+08,2.81e+08,5.806e+09,9.009e+09,2.56e+08,2.56e+08,9.355e+09,1.5161e+10,3.604e+09,2.429e+09,1.127e+09,1e+08,3.704e+09,4.478e+09,8.73e+08,3.95e+08,4.78e+08,5.351e+09,9.055e+09,2.427e+09,-6.848e+09,1.0575e+10,6.106e+09,6.106e+09,1.5161e+10,2.15e+08,2.09e+08,-2e+06,-3.01e+08,1.21e+08,-2.12e+08,-1.92e+08,-7.4e+07,3.24e+08,-2.29e+08,0,2.1e+07,-5e+07,-5e+07,-5e+07,6.34e+08,4.578e+09,2.5e+08,0.38129,0.09465,0.04788,0.03521,0.01418,1.16279,1.56749,1.48297,0.30196,0.92275,0.91489,19.27039,26.20601,1.07296,0.3176,4,0.02501,0.02163,0.34419,6.35331,9.47765
"12","2013_Q1",31.0853333333333,"Down",6.342e+09,-4.23e+09,2.112e+09,-1.425e+09,-1.212e+09,-2.13e+08,6.87e+08,-8.6e+07,-8.6e+07,6.01e+08,6.01e+08,-2.24e+08,3.77e+08,3.77e+08,3.77e+08,3.77e+08,5.37e+08,5.37e+08,3.748e+09,4.34e+08,3.12e+08,4.719e+09,8.872e+09,2.61e+08,2.61e+08,9.186e+09,1.3905e+10,2.43e+09,1.307e+09,9.86e+08,1.05e+08,2.535e+09,4.448e+09,8.74e+08,3.62e+08,5.12e+08,5.322e+09,7.857e+09,2.458e+09,-7.243e+09,1.0878e+10,6.048e+09,6.048e+09,1.3905e+10,3.77e+08,2.13e+08,-1.8e+07,-1e+07,5.62e+08,-1.44e+08,-9.2e+07,-7.3e+07,-3.6e+07,-3.83e+08,9e+06,-4.83e+08,-1.3e+07,-1.3e+07,-1.3e+07,9e+08,4.553e+09,9.7e+08,0.33302,0.10833,0.05944,0.06233,0.02711,2.57294,1.86154,1.29911,0.32744,1.66814,1.64629,28.06195,26.76106,4.29204,0.32301,6,0.03922,0.08453,0.19363,4.46222,5.84571
"13","2013_Q2",34.09203125,"Up",4.199e+09,-2.671e+09,1.528e+09,-1.211e+09,-9.97e+08,-2.14e+08,3.17e+08,-8.3e+07,-8.3e+07,2.34e+08,2.34e+08,-8.7e+07,1.47e+08,1.47e+08,1.47e+08,1.47e+08,5.18e+08,5.18e+08,3.961e+09,4.32e+08,2.94e+08,4.911e+09,8.822e+09,3.17e+08,3.17e+08,9.139e+09,1.405e+10,2.592e+09,1.452e+09,1.023e+09,1.07e+08,2.699e+09,4.43e+09,9e+08,3.68e+08,5.32e+08,5.33e+09,8.029e+09,2.467e+09,-7.354e+09,1.0948e+10,6.021e+09,6.021e+09,1.405e+10,1.47e+08,2.14e+08,6e+06,-6.2e+07,3.05e+08,-1.35e+08,-1.23e+08,-7.7e+07,-3.2e+07,-9.3e+07,1e+06,-2.01e+08,-1.9e+07,-1.9e+07,-1.9e+07,5.31e+08,4.537e+09,4.21e+08,0.3639,0.07549,0.03501,0.02441,0.01046,2.86395,1.81956,1.3335,0.32292,0.66216,0.65919,18.91441,27.12162,1.8964,0.34685,7,0.01955,0.03674,0.52381,7.56874,12.67823
"14","2013_Q3",36.21125,"Up",4.289e+09,-2.613e+09,1.676e+09,-1.225e+09,-1e+09,-2.25e+08,4.51e+08,-8.4e+07,-8.4e+07,3.67e+08,3.67e+08,-1.36e+08,2.31e+08,2.31e+08,2.31e+08,2.31e+08,5.92e+08,5.92e+08,3.856e+09,4.34e+08,2.84e+08,4.882e+09,8.891e+09,3.24e+08,3.24e+08,9.215e+09,1.4097e+10,2.536e+09,1.396e+09,1.065e+09,1.47e+08,2.683e+09,4.44e+09,9.21e+08,3.81e+08,5.4e+08,5.361e+09,8.044e+09,2.52e+09,-7.531e+09,1.1103e+10,6.053e+09,6.053e+09,1.4097e+10,2.31e+08,2.25e+08,2.5e+07,-2.4e+07,4.57e+08,-1.49e+08,-1.47e+08,-7.6e+07,-3.3e+07,-1.27e+08,0,-2.36e+08,7.4e+07,7.4e+07,7.4e+07,6.76e+08,4.587e+09,6.39e+08,0.39077,0.10515,0.05386,0.03816,0.01639,2.76623,1.8196,1.32893,0.32539,1.05,1.04054,19.49545,27.51364,2.90455,0.34545,7,0.02655,0.05527,0.329,5.90976,8.85809
"15","2013_Q4",38.2596875,"Up",4.444e+09,-2.779e+09,1.665e+09,-1.3e+09,-1.074e+09,-2.26e+08,3.65e+08,-8.4e+07,-8.4e+07,2.81e+08,2.81e+08,-1.04e+08,1.77e+08,1.77e+08,1.77e+08,1.77e+08,5.98e+08,5.98e+08,4.959e+09,4.3e+08,2.83e+08,5.987e+09,8.925e+09,3.33e+08,3.33e+08,9.258e+09,1.5245e+10,3.5e+09,2.261e+09,1.198e+09,1.41e+08,3.641e+09,4.742e+09,9.38e+08,3.9e+08,5.48e+08,5.68e+09,9.321e+09,2.561e+09,-7.802e+09,1.1204e+10,5.924e+09,5.924e+09,1.5245e+10,1.77e+08,2.26e+08,3.6e+07,-1.87e+08,2.52e+08,-1.81e+08,-1.81e+08,-7.6e+07,2.65e+08,-2.52e+08,-2e+06,-6.5e+07,6e+06,6e+06,6e+06,5.91e+08,4.883e+09,3.27e+08,0.37466,0.08213,0.03983,0.02988,0.01161,1.84746,1.64433,1.57343,0.3203,0.81944,0.81193,20.57407,27.42593,1.51389,0.35185,5,0.02154,0.02784,0.42938,7.25042,11.73973
"16","2014_Q1",37.6550819672131,"Down",6.099e+09,-4.024e+09,2.075e+09,-1.466e+09,-1.242e+09,-2.24e+08,6.09e+08,-8.7e+07,-8.7e+07,5.22e+08,5.22e+08,-1.88e+08,3.34e+08,3.34e+08,3.34e+08,3.34e+08,9.71e+08,9.71e+08,3.874e+09,4.69e+08,3.27e+08,5.314e+09,8.745e+09,2.98e+08,2.98e+08,9.043e+09,1.4357e+10,2.619e+09,1.365e+09,1.138e+09,1.39e+08,2.758e+09,4.722e+09,8.99e+08,3.39e+08,5.6e+08,5.621e+09,8.379e+09,2.602e+09,-8.052e+09,1.1462e+10,5.978e+09,5.978e+09,1.4357e+10,3.34e+08,2.24e+08,2.4e+07,2.88e+08,8.7e+08,-1.78e+08,-1.72e+08,-7.3e+07,-27999999.9999999,-2.25e+08,1e+06,-3.25e+08,3.73e+08,3.73e+08,3.73e+08,8.33e+08,4.861e+09,1.131e+09,0.34022,0.09985,0.05476,0.05587,0.02326,3.38623,1.92676,1.40164,0.33858,1.56075,1.53917,28.5,27.93458,5.28505,0.34112,6,0.03467,0.09635,0.21856,4.66987,6.38752
"17","2014_Q2",38.3260317460317,"Up",4.07e+09,-2.574e+09,1.496e+09,-1.216e+09,-1e+09,-2.16e+08,2.8e+08,-8.5e+07,-8.5e+07,1.95e+08,1.95e+08,-7e+07,1.25e+08,1.25e+08,1.25e+08,1.25e+08,7.17e+08,7.17e+08,3.981e+09,4.41e+08,3.04e+08,5.139e+09,8.677e+09,2.98e+08,2.98e+08,8.975e+09,1.4114e+10,2.533e+09,1.382e+09,1.078e+09,1.12e+08,2.645e+09,4.711e+09,9.01e+08,3.39e+08,5.62e+08,5.612e+09,8.257e+09,2.616e+09,-8.232e+09,1.1506e+10,5.857e+09,5.857e+09,1.4114e+10,1.25e+08,2.16e+08,1.9e+07,-1.81e+08,1.79e+08,-1.76e+08,-1.72e+08,-8e+07,-4.3e+07,-1.43e+08,5e+06,-2.61e+08,-2.54e+08,-2.54e+08,-2.54e+08,4.96e+08,4.823e+09,2.09e+08,0.36757,0.0688,0.03071,0.02134,0.00886,1.672,1.94291,1.40977,0.34172,0.6068,0.60096,19.75728,28.43204,1.01456,0.38835,6,0.0177,0.01805,0.64,8.27823,14.66429
"18","2014_Q3",40.32078125,"Up",4.242e+09,-2.588e+09,1.654e+09,-1.203e+09,-9.81e+08,-2.22e+08,4.51e+08,-8.5e+07,-8.5e+07,3.66e+08,3.66e+08,-1.34e+08,2.32e+08,2.32e+08,2.32e+08,2.32e+08,7.46e+08,7.46e+08,3.899e+09,4.55e+08,3.23e+08,5.1e+09,8.686e+09,2.81e+08,2.81e+08,8.967e+09,1.4067e+10,2.602e+09,1.479e+09,1.057e+09,1.05e+08,2.707e+09,4.674e+09,8.77e+08,3.15e+08,5.62e+08,5.551e+09,8.258e+09,2.642e+09,-8.459e+09,1.1656e+10,5.809e+09,5.809e+09,1.4067e+10,2.32e+08,2.22e+08,-3e+06,99999999.9999998,5.51e+08,-1.98e+08,-1.96e+08,-8e+07,-3.4e+07,-2.12e+08,0,-3.26e+08,28999999.9999999,28999999.9999999,28999999.9999999,6.73e+08,4.779e+09,7.09e+08,0.38991,0.10632,0.05469,0.03994,0.01649,3.05603,1.884,1.42159,0.33973,1.13725,1.13171,20.79412,28.47549,3.47549,0.39216,6,0.02721,0.06184,0.34483,5.99257,8.94235
"19","2014_Q4",41.4571875,"Up",4.374e+09,-2.746e+09,1.628e+09,-1.324e+09,-1.097e+09,-2.27e+08,3.04e+08,-8.5e+07,-8.5e+07,2.19e+08,2.19e+08,-7.8e+07,1.41e+08,1.41e+08,1.41e+08,1.41e+08,6.31e+08,6.31e+08,4.973e+09,4.96e+08,2.95e+08,6.1e+09,8.671e+09,2.43e+08,2.43e+08,8.914e+09,1.5014e+10,3.57e+09,2.384e+09,1.162e+09,1.09e+08,3.679e+09,4.665e+09,8.65e+08,2.93e+08,5.72e+08,5.53e+09,9.209e+09,2.723e+09,-8.615e+09,1.1718e+10,5.805e+09,5.805e+09,1.5014e+10,1.41e+08,2.27e+08,2e+06,-1.7e+08,2e+08,-1.87e+08,-1.28e+08,-7.9e+07,-2.7e+07,-8.3e+07,2e+06,-1.87e+08,-1.15e+08,-1.15e+08,-1.15e+08,5.31e+08,4.774e+09,2.52e+08,0.3722,0.0695,0.03224,0.02429,0.00939,1.78723,1.65806,1.58639,0.31797,0.69802,0.69458,21.65347,28.73762,1.24752,0.39109,6,0.01922,0.02202,0.56028,7.80226,13.62829
"20","2015_Q1",49.1616393442623,"Up",6.337e+09,-4.19e+09,2.147e+09,-1.493e+09,-1.272e+09,-2.21e+08,6.54e+08,-8.5e+07,-8.5e+07,5.69e+08,5.69e+08,-2e+08,3.69e+08,3.69e+08,3.69e+08,3.69e+08,1.407e+09,1.407e+09,3.814e+09,3.59e+08,3.59e+08,5.58e+09,8.515e+09,2.38e+08,2.38e+08,8.753e+09,1.4333e+10,2.749e+09,1.511e+09,1.16e+09,1.1e+08,2.859e+09,4.638e+09,8.45e+08,2.98e+08,5.47e+08,5.483e+09,8.342e+09,2.747e+09,-8.744e+09,1.2008e+10,5.991e+09,5.991e+09,1.4333e+10,3.69e+08,2.21e+08,1.07e+08,3.97e+08,1.094e+09,-1.21e+08,-9.7e+07,-7.8e+07,-2.9e+07,-1.16e+08,2e+06,-2.21e+08,7.76e+08,7.76e+08,7.76e+08,8.75e+08,4.748e+09,1.351e+09,0.3388,0.1032,0.05823,0.06159,0.02574,3.66125,1.95173,1.39242,0.33126,1.845,1.845,31.685,29.955,6.755,0.39,8,0.03859,0.11663,0.21138,3.81829,5.10856
"21","2015_Q2",50.4446031746032,"Up",4.123e+09,-2.6e+09,1.523e+09,-1.243e+09,-1.016e+09,-2.27e+08,2.8e+08,-8.4e+07,-8.4e+07,1.96e+08,1.96e+08,-6.9e+07,1.27e+08,1.27e+08,1.27e+08,1.27e+08,1.195e+09,1.195e+09,4.165e+09,3.38e+08,3.38e+08,5.698e+09,8.518e+09,2.37e+08,2.37e+08,8.755e+09,1.4453e+10,2.872e+09,1.645e+09,1.14e+09,1.13e+08,2.985e+09,4.62e+09,8.31e+08,2.75e+08,5.56e+08,5.451e+09,8.436e+09,2.901e+09,-8.909e+09,1.2044e+10,6.017e+09,6.017e+09,1.4453e+10,1.27e+08,2.27e+08,-8e+06,-2.44e+08,1.02e+08,-1.76e+08,-1.75e+08,-9e+07,-4.5e+07,-1.3e+07,9e+06,-1.39e+08,-2.12e+08,-2.12e+08,-2.12e+08,5.07e+08,4.733e+09,1.56e+08,0.36939,0.06791,0.0308,0.02111,0.00879,1.22835,1.90888,1.40203,0.32748,0.635,0.62871,20.615,30.085,0.78,0.45,5,0.01874,0.01347,0.70866,6.9783,12.63571
