"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2017_Q4",38.7492063492063,"Up",94609000,-49566000,45043000,-34229000,-9204000,-5604000,-19421000,10814000,-246000,-475000,10568000,-204000,10364000,-2494000,7870000,7870000,-2873000,4997000,4997000,90186000,26887000,5139000,5139000,1127000,2057000,2057000,98509000,174689000,326739000,322224000,4515000,501428000,599937000,26947000,8639000,18308000,9817000,9817000,36764000,331395000,331395000,331395000,368159000,147927000,176819000,231778000,599937000,7870000,5604000,2091000,4676000,20241000,-16193000,89000,-16104000,0,380000,380000,-66000,314000,4451000,4451000,4451000,16418000,0,7395000,0.4761,0.1143,0.05282,0.02156,0.00833,1.47989,2.6795,1.58841,0,0.19202,0.18873,3.63545,6.79446,0.28416,0.00887,0.01313,-5.49312,-8.33974
"12","2018_Q1",41.5585245901639,"Up",96136000,-51739000,44397000,-38268000,-11651000,-6094000,-20523000,6129000,127002000,-499000,133131000,-291000,132840000,-143872000,-11032000,-11032000,-1431000,-12463000,-12463000,84543000,21507000,5641000,5641000,1258000,1757000,1757000,93199000,187095000,190312000,185914000,4398000,377407000,470606000,26087000,8210000,17877000,7937000,7937000,34024000,212103000,212103000,212103000,246127000,153142000,169492000,224479000,470606000,-11032000,6094000,18198000,3647000,16907000,-20354000,-134000,-20488000,917000,1018000,1018000,-3734000,-1799000,-5380000,-5380000,-5380000,12223000,0,139388000,0.46181,0.06375,-0.12964,-0.05552,-0.02648,-11.18415,2.73921,1.09644,0,-0.47377,-0.50335,3.65453,6.44309,5.29872,-0.02855,0.31927,-6.91671,-13.79393
"13","2018_Q2",55.430625,"Up",99116000,-53642000,45474000,-38770000,-11809000,-6498000,-20463000,6704000,-337000,-565000,6367000,-190000,6177000,-1198000,4979000,4979000,-1471000,3508000,3508000,86981021.6199263,24623936.6355099,6084481.49816803,6084481.49816803,1262897.11244477,1307827.09972808,1307827.22887293,95636227.3302671,199441119.725928,159203307.660394,159178198.784554,25108.8758399021,358644427.386322,454280654.716589,26401068.9463356,8103858.01246639,18297210.9338692,7106657.12720993,7106657.12720993,33507726.0735456,186455354.957525,186455354.957525,186449441.050835,219957167.124381,162970524.199012,179587370.170834,234323487.592209,454280654.716589,4979000,6498000,2120000,5536000,19133000,-17718000,1867000,-15851000,442000,1476000,1476000,-83000,1835000,5117000,5117000,5117000,13202000,0,2218000,0.4588,0.06764,0.03539,-0.0304628802656044,-0.0139341516448341,0.63227,2.80857927102944,0.944419984054238,-5.69745453838346e-06,0.12974,0.12609,3.66567,6.6853147363132,0.08203,-0.0150437409651186,0.24457820734066,-6.01130317750904,-12.2864500709958
"14","2018_Q3",60.72,"Up",116282000,-61410000,54872000,-41658000,-12587000,-6968000,-22103000,13214000,-207000.000000015,-613000,13007000,-196000,12811000,-2239999.99999999,10571000,10571000,-2967000,7604000,7604000,92278000,30879000,7110000,7110000,1238000,1474000,1474000,102100000,216763000,217872000,214037000,3835000,434635000,536735000,31147000,8344000,22803000,7655000,7655000,38802000,241486000,241486000,241486000,280288000,177687000,204024000,256447000,536735000,10571000,6968000,2726000,1476000,21741000,-18646000,-293000,-18939000,-442000,2090000,2090000,-195000,1453000,4255000,4255000,4255000,20182000,-9.09494701772928e-13,5252000,0.47189,0.11364,0.06539,0.02965,0.01417,0.690689999999998,2.63131,1.09297,-3.3881317890172e-21,0.27356,0.26445,4.18341,7.34005,0.18895,0.01527,0.0105500000000001,-4.57229,-6.98335
"15","2018_Q4",51.5788888888889,"Down",119647000,-63935000,55712000,-46212000,-13151000,-7439000,-25622000,9500000,-156000,-592000,9344000,-157000,9187000,-2241000,6946000,6946000,-1921000,5025000,5025000,91095000,29295000,9325000,9325000,1378000,2119000,2119000,103917000,241702000,246703000,243021000,3682000,488405000,592322000,40409000,9654000,30755000,8391000,8391000,48800000,271942000,271942000,271942000,320742000,192797000,224159000,271580000,592322000,6946000,7439000,2922000,4604000,21911000,-23780000,-340000,-24120000,-145752.036241393,1537000,1537000,-912000,625000,-1584000,-1584000,-1584000,16939000,0,4000,0.46564,0.0794,0.042,0.0185,0.00848,8e-04,2.12945,1.18102,0,0.17355,0.16816,4.13231,7.7419,0.00014,0.00925,1e-05,-5.37783,-9.58895
"16","2019_Q1",51.2383606557377,"Down",124265000,-69203000,55062000,-51852000,-15173000,-8095000,-28584000,3210000,-201000,-645000,3009000,-374000,2635000,-3183000,-547999.999999999,-547999.999999999,-410000,-958000,-958000,86863000,24750000,10523000,10523000,1749000,1984000,1984000,101119000,261854000,247559000,242533000,5026000.00000001,509413000,610532000,45918000,12467000,33451000,14030000,14030000,59948000,277129000,277129000,277129000,337077000,195671000,226075000,273455000,610532000,-547999.999999999,8095000,762000,14301000,22610000,-27381000,-313000,-27694000,680000,369000,369000,-510000,539000,-4545000,-4545000,-4545000,11305000,-7.27595761418343e-12,1408000,0.4431,0.02583,-0.00771,-0.0035,-0.00157,-1.46973,1.68678,1.23266,0,-0.03258,-0.03166,4.22569,7.6878,0.04788,-0.00174,0.00256,-7.68359,-27.06012
"17","2019_Q2",61.7230158730159,"Up",132609000,-75084000,57525000,-52012000,-13937000,-8966000,-29109000,5513000,492000,-72000,6005000,-351000,5654000,-2047000,3607000,3607000,-1061000,2546000,2546000,79556000,31897000,8862000,8862000,1626000,2312000,2312000,92356000,265016000,489596000,243033000,246563000,754612000,846968000,40744000,12655000,28089000,38433000,38433000,79177000,482053000,482053000,482053000,561230000,199353000,236439000,285738000,846968000,3607000,8966000,10894000,-6268000,17199000,-24985000,14611000,-10374000,25000,1452000,1452000,-1155000,322000,7147000,7147000,7147000,14479000,0,-14727000,0.43379,0.04157,0.0192,0.00891,0.00301,-5.78437,1.16645,1.96414,0,0.08612,0.08377,4.48564,7.9978,-0.49816,0.00332,-0.01918,-5.49458,-14.43062
"18","2019_Q3",88.33234375,"Up",152713000,-83096000,69617000,-57369000,-15393000,-9799000,-32177000,12248000,350000,-97000.0000000001,12598000,-377000,12221000,-1050000,11171000,11171000,-2141000,9030000,9030000,65814000,29733000,13661000,13661000,1692000,5698000,5698000,86865000,285892000,525487000,258132000,267355000,811379000,898244000,38776000,3828000,34948000,40236000,40236000,79012000,518559000,518559000,518559000,597571000,208904000,255020000,300673000,898244000,11171000,9799000,12537000,-14815000,18692000,-31013000,11674000,-19339000,-1361000,1975000,1975000,-2131000,-1517000,-2164000,-2164000,-2164000,22047000,1.16415321826935e-10,-22731000,0.45587,0.0802,0.05913,0.03003,0.01005,-2.51728,1.09939,1.98744,-1.0842021724855e-19,0.29979,0.29116,5.06998,8.46652,-0.75466,0.01102,-0.02775,-2.98517,-5.37345
"19","2019_Q4",71.86703125,"Down",157762000,-85760000,72002000,-63535000,-17090000,-10474000,-35971000,8467000,115000,-133000,8582000,-303000,8279000,3144000,11423000,11423000,-1079000,10344000,10344000,80841000,44505000,15094000,15094000,1782000,1723000,1723000,99440000,304350000,559482000,268855000,290627000,863832000,963272000,53579000,15865000,37714000,42392000,42392000,95971000,549006000,549006000,549006000,644977000,234156000,290616000,318295000,963272000,11423000,10474000,11469000,3786000,37152000,-24906000,-255000,-25161000,1336000,3662000,3662000,-2217000,2781000,14772000,14772000,14772000,18941000,0,-5323000,0.4564,0.05367,0.06557,0.0325,0.01074,-0.5146,1.03615,2.02635,0,0.32362,0.31424,4.93577,9.09226,-0.16654,0.01193,-0.00614,-4.26804,-9.54777
"20","2020_Q1",59.1987096774194,"Down",151435000,-85047000,66388000,-65579000,-19229000,-11153000,-35197000,808999.999999999,872000,-132000,1681000,-321000,1360000,-3433000,-2073000,-2073000,-20000,-2093000,-2093000,73607000,37099000,9970000,9970000,2221000,1877000,1877000,87675000,314862000,565731000,279817000,285914000,880593000,968268000,49891000,14300000,35591000,49501000,49501000,99392000,546891000,546891000,546891000,646283000,244448000,298817000,321985000,968268000,-2073000,11153000,7889000,-155000,16814000,-25603000,-209000,-25812000,-2633000,2112000,2112000,2113000,1592000,-7406000,-7406000,-7406000,11962000,0,-10363000,0.43839,0.00534,-0.01382,-0.0065,-0.00216,4.95127,0.88211,2.00718,-1.73472347597681e-18,-0.06178,-0.06035,4.47014,8.82065,-0.3059,-0.00241,-0.01193,-6.1534,-90.98517
"21","2020_Q2",50.5657142857143,"Down",143170000,-81330000,61840000,-60539000,-16191000,-11768000,-32580000,1301000,-205000,-112000,1096000,-2088000,-992000,-87000,-1079000,-1079000,119000,-960000,-960000,104229000,87806000,6820000,6820000,2045000,2316000,2316000,115410000,329039000,595559000,281285000,314274000,924598000,1040008000,45896000,15330000,30566000,56932000,56932000,102828000,564574000,564574000,614574000,717402000,247008000,300418000,322606000,1040008000,-1079000,11768000,18694000,-21899000,7484000,-19159000,19808000,649000,42816000,1032000,1032000,-1274000,42574000,50707000,50707000,50707000,13069000,5e+07,-27902000,0.43193,0.00909,-0.00671,-0.00298,-0.00092,29.06458,1.12236,2.22377,0.04808,-0.02787,-0.02787,4.1566,8.72193,-0.81007,-0.00102,-0.02977,-4.14944,-41.68255
"22","2020_Q3",57.9653125,"Up",91786000,-60960000,30826000,-54467000,-14017000,-12089000,-28361000,-23641000,-48000,-442000,-23689000,-434000,-24123000,6092000,-18031000,-18031000,1820000,-16211000,-16211000,190817000,173984000,8291000,8291000,2346000,2622000,2622000,204076000,322162000,597697000,286887000,310810000,919859000,1123935000,48191000,20735000,27456000,48482000,48482000,96673000,575977000,575977000,575977000,672650000,384379000,421578000,451285000,1123935000,-18031000,12089000,21476000,-5025000,10509000,-18478000,-76000,-18554000,-50609000,145705000,145705000,-873000,94223000,86178000,86178000,86178000,-11552000,0,-41147000,0.33585,-0.25757,-0.17662,-0.03592,-0.01442,2.53821,2.11099,1.49052,0,-0.43452,-0.43452,2.46022,11.29994,-1.1029,-0.01578,-0.04006,16.51809,8.07144
"23","2020_Q4",77.61390625,"Up",130401000,-75801000,54600000,-60996000,-14962000,-12376000,-33658000,-6396000,-109000,-143000,-6505000,-402000,-6907000,797000,-6110000,-6110000,551000,-5559000,-5559000,191762000,174883000,7729000,7729000,2383000,2636000,2636000,204510000,326526000,606166000,288995000,317171000,932692000,1137202000,56827000,22354000,34473000,47439000,47439000,104266000,586174000,586174000,586174000,690440000,386052000,417692000,446762000,1137202000,-6110000,12376000,11201000,-6962000,10505000,-9365000,-45999.9999999981,-9411000,-520000,499000,499000,-174000,-195000,899000,899000,899000,5980000,0,-11144000,0.41871,-0.04905,-0.04263,-0.01244,-0.00489,2.00468,1.96143,1.54543,0,-0.14533,-0.14533,3.409,10.91948,-0.29133,-0.00538,-0.01079,-32.06722,29.98155
"24","2021_Q1",114.436557377049,"Up",157510000,-92058000,65452000,-70441000,-19080000,-12568000,-38793000,-4989000,-1239000,-118000,-6228000,-7227000,-13455000,-6859000,-20314000,-20314000,886000,-19428000,-19428000,183760000,146873000,9464000,9464000,2888000,7074000,7074000,203186000,336541000,605621000,287007000,318614000,942162000,1145348000,59848000,23487000,36361000,49857000,49857000,109705000,601150000,601150000,601150000,710855000,395109000,407321000,434493000,1145348000,-20314000,12568000,11321000,5277000,8852000,-22036000,-20045000,-42081000,-536000.000000015,5793999.99999999,5793999.99999999,-38999.9999999998,5219000,-28010000,-28010000,-28010000,7579000,7.45058059692383e-09,-2321000,0.41554,-0.03167,-0.12334,-0.04471,-0.01696,0.119469999999999,1.85211,1.63606,-6.93889390390723e-18,-0.50447,-0.50447,4.08989,10.57647,-0.0602699999999999,-0.01876,-0.00224,-24.24594,36.83303
"25","2021_Q2",100.901904761905,"Down",155282000,-91012000,64270000,-73922000,-19565000,-13726000,-40631000,-9652000,-484000,-515000,-10136000,-369000,-10505000,11080000,575000,575000,734000,1309000,1309000,415913000,374999000,8838000,8838000,2734000,7805000,7805000,435290000,348580000,623719000,299838000,323881000,972299000,1407589000,66387000,24307000,42080000,52362000,52362000,118749000,606015000,606015000,848890000,967639000,400413000,413933000,439950000,1407589000,575000,13726000,13638000,-17988000,9951000,-23155000,-4073000,-27228000,243148000,6451000,6451000,-4196000,245403000,228126000,228126000,228126000,4074000,242875000,-48149000,0.41389,-0.06216,0.00843,0.00298,0.00093,-36.78304,3.66563,2.19943,0.17255,0.03361,0.03059,3.98691,10.62784,-1.23624,0.00102,-0.03736,-42.47374,17.92768
"26","2021_Q3",91.008125,"Down",187460000,-107548000,79912000,-76247000,-20366000,-14472000,-41409000,3665000,-251000,-359000,3414000,-357999.999999999,3056000,-991000,2065000,2065000,-121000,1944000,1944000,420208000,340103000,11703000,11703000,3560000,2690000,2690000,438161000,356202000,637904000,299535000,338369000,994106000,1432267000,73915000,26292000,47623000,50576000,50576000,124491000,621225000,621225000,864244000,988735000,401609000,417073000,443532000,1432267000,2065000,14472000,23064000,-12547000,27054000,-21554000,-39187000,-60741000,-670000,159000,159000,-698000,-1209000,-34896000,-34896000,-34896000,18137000,243019000,-14973000,0.42629,0.01955,0.01037,0.00438,0.00136,-7.70216,3.51962,2.22923,0.16967,0.04991,0.0454300000000001,4.81308,10.70846,-0.38444,0.00149,-0.01145,-9.76948,-48.34625
"27","2021_Q4",76.045625,"Down",193895000,-116133000,77762000,-79873000,-20504000,-15183000,-44186000,-2111000,-332000,-350000,-2443000,-535000,-2978000,576000,-2402000,-2402000,224000,-2178000,-2178000,401503000,321421000,11311000,11311000,3525000,2841000,2841000,419180000,370016000,651106000,300818000,350288000,1021122000,1440302000,66175000,17841000,48334000,52084000,52084000,118259000,635484000,635484000,878764000,997023000,403577000,416862000,443279000,1440302000,-2402000,15183000,19452000,-25498000,6735000,-24143000,-56999.9999999925,-24200000,-710000,78000,78000,-585000,-1217000,-18682000,-18682000,-18682000,13072000,243280000,-37145000,0.40105,-0.01089,-0.01123,-0.00491,-0.00151,17.05464,3.54459,2.2492,0.16891,-0.05575,-0.05013,4.96327,10.67071,-0.95083,-0.00165,-0.0281,-12.10396,74.95168
"28","2022_Q1",68.8103225806452,"Down",203256000,-118683000,84573000,-90696000,-25561000,-15610000,-49525000,-6123000,-415000,-353000,-6538000,-370000,-6908000,-3441000,-10349000,-10349000,619000,-9730000,-9730000,382406000,302406000,13657000,13657000,3850000,9763000,9763000,409676000,389386000,658508000,298668000,359840000,1047894000,1457570000,71477000,19947000,51530000,50020000,50020000,121497000,656931000,656931000,900473000,1021970000,405982000,409537000,435600000,1457570000,-10349000,15610000,-2567000,11968000,14662000,-32643000,-78000,-32721000,-712000,43000,43000,-287000,-956000,-19015000,-19015000,-19015000,9487000,243542000,-7747000,0.41609,-0.03012,-0.04787,-0.02234,-0.00668,0.796199999999999,3.3719,2.34612,0.16709,-0.24727,-0.37132,5.16534,10.40755,-0.19687,-0.00728,-0.0058,-14.63729,22.67908
"29","2022_Q2",51.0348387096774,"Down",203391000,-120349000,83042000,-97400000,-31320000,-16855000,-49225000,-14358000,-644000,-355000,-15002000,-577000,-15579000,4297000,-11282000,-11282000,1120000,-10162000,-10162000,358927000,279251000,11755000,11755000,3780000,12155000,12155000,386617000,398971000,664140000,304166000,359974000,1063111000,1449728000,68424000,13395000,55029000,57537000,57537000,125961000,654704000,654704000,898508000,1024469000,407023000,400415000,425259000,1449728000,-11282000,16855000,24163000,-21767000,7969000,-27974000,-77000,-28051000,-747000,84000,84000,-2410000,-3073000,-23155000,-23155000,-23155000,2497000,243804000,-51541000,0.40829,-0.07059,-0.04996,-0.0239,-0.00701,5.07193,3.06934,2.40905,0.16817,-0.25963,-0.25963,5.19637,10.23007,-1.3168,-0.00768,-0.03894,-46.10453,8.01804
"30","2022_Q3",47.99921875,"Down",230752000,-131838000,98914000,-99205000,-29075000,-18087000,-52043000,-291000,223000,-315000,-68000,-528000,-595999.999999996,-707000,-1303000,-1303000,115000,-1188000,-1188000,357957000,278332000,11936000,11936000,3955000,13727000,13727000,387575000,411018000,681487000,305230000,376257000,1092505000,1480080000,74873000,16420000,58453000,59036000,59036000,133909000,674469000,674469000,918535000,1052444000,410562000,402765000,427636000,1480080000,-1303000,18087000,21778000,-11369000,27193000,-27294000,-109000,-27403000,-766000,91000,91000,-34000,-709000,-919000,-919000,-919000,17796000,244066000,-20160000,0.42866,-0.00126,-0.00515,-0.00278,-8e-04,16.9697,2.89432,2.46107,0.1649,-0.03029,-0.03029,5.88248,10.26755,-0.51393,-0.00088,-0.01498,-6.39981,391.37801
