"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","other_long_term_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"14","2014_Q1",18.7795081967213,"Up",102386000,-72220000,30166000,-22808000,-17327000,-5481000,7358000,1477000,119000,1358000,8835000,-2348000,6487000,-2339000,4148000,-2981000,-2981000,-2981000,124368000,124368000,62667000,62667000,32226000,17008000,17008000,236269000,169127000,32047000,38620000,1282000,243996000,480265000,95120000,47052000,48068000,95120000,80481000,88416000,183536000,336795000,-317166000,358997000,-81897000,296729000,296729000,480265000,-2981000,4492000,8406000,2159000,12076000,-1899000,73101000,-1350000,-53600000,278000,-58169000,27008000,27008000,630000,27638000,11850000,80481000,14449000,0.29463,0.07187,-0.02912,-0.01005,-0.00621,-4.84703,2.4839,0.61853,0.16758,-0.08873,-0.08238,3.04766,8.83253,0.43009,0.04018,-0.00423000000000001,0.03752,-0.45287,-3.70354,-5.96453
"15","2014_Q2",17.3795238095238,"Down",100706000,-70091000,30615000,-19267000,-13641000,-5626000,11348000,-1820000,-49000,-1771000,9528000,-503000,9025000,-3945000,5080000,5080000,5080000,5080000,118969000,118969000,67875000,67875000,26950000,17739000,17739000,231533000,168208000,32047000,36309000,1223000,242649000,474182000,83184000,43939000,39245000,83184000,89288000,89288000,172472000,337386000,-317661000,362724000,-80739000,301710000,301710000,474182000,5080000,4248000,-2038000,-13368000,-6078000,-951000,-951000,-1351000,1600000,222000,1304000,-5725000,-5725000,326000,-5399000,15596000,89288000,5222000,0.304,0.11268,0.05044,0.01684,0.01071,1.02795,2.78338,0.57165,0.1883,0.15071,0.14819,2.9876,8.95069,0.15492,0.04008,0.01645,0.01336,0.26594,-1.90312,-2.61553
"16","2014_Q3",16.7978125,"Down",102980000,-69157000,33823000,-21145000,-15813000,-5332000,12678000,-303000,106000,-409000,12375000,-2733000,9642000,-3281000,6361000,6361000,6361000,6361000,127230000,127230000,61080000,61080000,28434000,18828000,18828000,235572000,169629000,32047000,34744000,1143000,244059000,479631000,85298000,43724000,41574000,85298000,89088000,89088000,174386000,337785000,-320898000,367740000,-79382000,305245000,305245000,479631000,6361000,4153000,3296000,2324000,16134000,-3130000,-3129999.99999999,-1342000,-399999.999999993,0,-4978999.99999999,8025000,8025000,236000,8261000,16831000,89088000,19306000,0.32844,0.12311,0.06177,0.02084,0.01326,3.03506,2.76175,0.5713,0.18574,0.18852,0.18595,3.05198,9.04644,0.57217,0.03977,0.01953,0.04896,0.21097,-2.26618,-3.00852
"17","2014_Q4",16.53484375,"Down",99957000,-67458000,32499000,-19706000,-13899000,-5807000,12793000,701000,139000,562000,13494000,-1570000,11924000,-3807000,8117000,8117000,8117000,8117000,130884000,130884000,63093000,63093000,29908000,20569000,20569000,244454000,170151000,32047000,32963000,1372000,244308000,488762000,84295000,45405000,38890000,84295000,85755000,92948000,177243000,338428000,-322250000,374515000,-79174000,311519000,311519000,488762000,8117000,4321000,1081000,-8232000,5287000,-3074000,-3074000,-1345000,4100000,13000,1416000,3629000,3629000,25000,3654000,17114000,85755000,9615000,0.32513,0.12799,0.0812,0.02606,0.01661,1.18455,2.89998,0.56896,0.17545,0.24158,0.23799,2.975,9.27167,0.28617,0.04003,0.02339,0.02377,0.1657,-2.63696,-3.52763
"18","2015_Q1",16.1385245901639,"Down",100378000,-67352000,33026000,-23496000,-17698000,-5798000,9530000,-1553000,264000,-1817000,7977000,780000,8757000,-1793000,6964000,6964000,6964000,6964000,134508000,134508000,56894000,56894000,27887000,21112000,21112000,240401000,145111000,32047000,43120000,1253000,216525000,456926000,79982000,43343000,36639000,79982000,87155000,87155000,167137000,339045000,-325168000,380145000,-104233000,289789000,289789000,456926000,6964000,4249000,3972000,2821000,18006000,-843000,-842999.999999998,-1336000,-5300000,-3996000,-13674000,3489000,3489000,135000,3624000,13779000,87155000,17550000,0.32902,0.09494,0.06938,0.02403,0.01524,2.5201,3.00569,0.57675,0.19074,0.20836,0.20527,3.00326,8.67035,0.52509,0.03997,0.02202,0.04656,0.19184,-3.43661,-4.96884
"19","2015_Q2",17.5853968253968,"Up",98311000,-66175000,32136000,-20910000,-15711000,-5199000,11226000,-1484000,2e+05,-1684000,9742000,-738000,9004000,-2717000,6287000,6287000,6287000,6287000,138333000,138333000,67056000,67056000,28580000,20741000,20741000,254710000,216487000,32047000,42586000,71931000,216487000,471197000,82850000,44168000,38682000,82850000,92250000,95213000,178063000,340260000,-328061000,385100000,-104165000,293134000,293134000,471197000,6287000,4065000,1695000,-11564000,483000,-1191000,-1191000,-1336000,8200000,117000,4088000,3380000,3380000,445000,3825000,15291000,92250000,5253000,0.32688,0.11419,0.06395,0.02145,0.01334,0.83553,3.07435,0.60745,0.19578,0.18817,0.18527,2.94247,8.77358,0.15722,0.03999,0.01963,0.01353,0.2125,-3.01373,-4.10502
"20","2015_Q3",17.87734375,"Up",100071000,-66698000,33373000,-20711000,-15224000,-5487000,12662000,314000,2e+05,114000,12976000,-2117000,10859000,8221000,19080000,19080000,19080000,19080000,146791000,146791000,63046000,63046000,30424000,21400000,21400000,261661000,227609000,32047000,53088000,71276000,227609000,489270000,83483000,45724000,37759000,83483000,97347000,100255000,183738000,341106000,-336537000,402863000,-101900000,305532000,305532000,489270000,19080000,4028000,2399000,-10494000,15013000,-2711000,-2711000,-1332000,5500000,30000,-4214000,8088000,8088000,372000,8460000,16690000,97347000,-4736000,0.33349,0.12653,0.19066,0.06245,0.039,-0.24822,3.1343,0.60137,0.19896,0.57687,0.56879,3.02558,9.23755,-0.14319,0.04027,0.0503,-0.01167,0.06981,-2.96249,-3.90491
"21","2015_Q4",17.8709375,"Down",90646000,-59200000,31446000,-18380000,-12688000,-5692000,13066000,-3072000,-1000,-3071000,9994000,-16917000,-6923000,2163000,-4760000,-4760000,-4760000,-4760000,150755000,150755000,59213000,59213000,26974000,20766000,20766000,257708000,231033000,32047000,56610000,69953000,231033000,488741000,91603000,39483000,52120000,91603000,98805000,101534000,193137000,341378000,-340785000,396796000,-101785000,295604000,295604000,488741000,-4760000,3894000,16821000,-7333000,8622000,-779000,-779000,-1316000,1800000,-3000,-3773000,4070000,4070000,-108000,3962000,16960000,98805000,6685000,0.34691,0.14414,-0.05251,-0.0161,-0.00974,-1.40441,2.81331,0.65336,0.20216,-0.14529,-0.14327,2.76672,9.02249,0.20404,0.04017,-0.00867,0.01683,-0.27647,-3.06309,-3.97597
"22","2016_Q1",14.3531147540984,"Down",93282000,-63128000,30154000,-22046000,-15963000,-6083000,8108000,-1610000,46000,-1656000,6498000,-7177000,-679000.000000002,-12974000,-13653000,-13653000,-13653000,-13653000,156928000,156928000,54563000,54563000,24600000,9863000,9863000,245954000,167547000,33865000,63809000,1336000,237419000,483373000,94620000,40299000,54321000,94620000,107099000,107099000,201719000,342075000,-343256000,381840000,-99005000,281654000,281654000,483373000,-13653000,4267000,-5630000,30049000,15033000,-3164000,-4449000,-1307000,200000.000000002,-358000,-3930000,6654000,6654000,-481000,6173000,12375000,107099000,52234000,0.32326,0.08692,-0.14636,-0.04847,-0.02825,-3.82583,2.59939,0.71619,0.22157,-0.41897,-0.41084,2.86255,8.64314,1.60291,0.04011,-0.03176,0.13436,-0.09573,-4.02659,-6.14566
"23","2016_Q2",16.59515625,"Up",96705000,-63237000,33468000,-21035000,-14872000,-6163000,12433000,-471000,-273000,-198000,11962000,3000,11965000,-4102000,7863000,7863000,7863000,7863000,130964000,130964000,64785000,64785000,26062000,13843000,13843000,235654000,227229000,66975000,59526000,1320000,304685000,540339000,100533000,44031000,56502000,100533000,144371000,151558000,252091000,341324000,-343256000,388392000,-98212000,288248000,288248000,540339000,7863000,4021000,-145000,-8915000,2824000,-2874000,-75704000,-1303000,50600000,-1775000,47522000,-25358000,-25358000,-606000,-25964000,16454000,144371000,8767000,0.34608,0.12857,0.08131,0.02728,0.01455,1.11497,2.34405,0.87456,0.26719,0.24096,0.23824,2.9635,8.83329,0.26866,0.03993,0.02084,0.01993,0.16571,0.81482,1.07834
"24","2016_Q3",18.19546875,"Up",98693000,-64235000,34458000,-21506000,-15539000,-5967000,12952000,-1915000,-677000,-1238000,11037000,11142000,22179000,-7692000,14487000,14487000,14487000,14487000,119912000,119912000,62125000,62125000,25978000,12457000,12457000,220472000,222389000,61744000,54212000,1154000,299362000,519834000,97095000,41679000,55416000,97095000,1.13e+08,120105000,217200000,341970000,-343256000,401569000,-97649000,302634000,302634000,519834000,14487000,4904000,361000,-6350000,13402000,7628000,7395000,-1309000,-30500000,0,-31809000,-11012000,-11012000,-40000,-11052000,17856000,1.13e+08,26826000,0.34914,0.13124,0.14679,0.04787,0.02787,1.85173,2.27068,0.7177,0.21738,0.44224,0.43433,3.01279,9.23848,0.81891,0.03996,0.03737,0.06346,0.09036,-0.3871,-0.53366
"25","2016_Q4",19.7530158730159,"Up",99697000,-63056000,36641000,-22332000,-16048000,-6284000,14309000,-760000,-714000,-46000,13549000,-1819000,11730000,-8010000,3720000,3720000,3720000,3720000,114433000,114433000,62380000,62380000,29178000,10852000,10852000,216843000,217399000,61744000,48963000,1084000,296728000,513571000,101135000,43290000,57845000,101135000,99102000,106168000,207303000,342723000,-343256000,403979000,-97178000,306268000,306268000,513571000,3720000,5085000,340000,8694000,17839000,-6973000,-6973000,-1311000,-14800000,-7000,-16118000,-5252000,-5252000,-227000,-5479000,19394000,99102000,29125000,0.36752,0.14352,0.03731,0.01215,0.00724,7.8293,2.14409,0.67687,0.19297,0.11356,0.11181,3.04344,9.34941,0.8891,0.04002,0.0122,0.07062,0.35242,-0.7905,-1.07142
"26","2017_Q1",21.3867741935484,"Up",101584000,-65723000,35861000,-20791000,-15165000,-5626000,15070000,-2775000,-733000,-2042000,12295000,-924000,11371000,-3061000,8310000,8310000,8310000,8310000,113805000,113805000,62612000,62612000,28652000,10638000,10638000,215707000,219879000,61744000,45839000,1743000,301990000,517697000,97123000,40046000,57077000,98129000,99319000,101686000,199815000,343353000,-343256000,410979000,-93194000,317882000,317882000,517697000,8310000,4982000,547000,-702000,13137000,-5985000,-5985000,-1311000,-6900000,-27000.0000000001,-8238000,-1086000,-1086000,458000,-628000,20052000,100325000,16426000,0.35302,0.14835,0.0818,0.02614,0.01605,1.97665,2.1982,0.62858,0.19379,0.25363,0.249,3.10048,9.70217,0.50134,0.04001,0.02288,0.03906,0.15776,-0.67225,-0.89449
"27","2017_Q2",20.5168253968254,"Down",100154000,-65930000,34224000,-21251000,-15248000,-6003000,12973000,29000,-431000,460000,13002000,-777000,12225000,-3741000,8484000,8484000,8484000,8484000,121819000,121819000,63016000,63016000,30954000,11431000,11431000,227220000,217207000,61744000,42779000,1737000,300475000,527695000,91990000,41937000,50053000,92996000,101607000,108615000,201611000,342721000,-343256000,418149000,-91530000,326084000,326084000,527695000,8484000,4708000,463000,-3876000,9779000,-3805000,-3805000,-1310000,4900000,-1566000,2024000,7998000,7998000,16000,8014000,17681000,102613000,13741000,0.34171,0.12953,0.08471,0.02602,0.01608,1.61964,2.44333,0.61828,0.19446,0.25864,0.2543,3.05329,9.94098,0.41891,0.03994,0.02248,0.03154,0.15441,-1.08625,-1.48046
"28","2017_Q3",21.7480952380952,"Up",105686000,-69892000,35794000,-21857000,-15808000,-6049000,13937000,717000,-454000,1171000,14654000,-730000,13924000,-3958000,9966000,9966000,9966000,9966000,107814000,107814000,66737000,66737000,36094000,11925000,11925000,222570000,230646000,69582000,40373000,1525000,315820000,538390000,93504000,42660000,50844000,94563000,100434000,107347000,201910000,343479000,-343256000,426797000,-90540000,336480000,336480000,538390000,9966000,4965000,404000,-1843000,13492000,-5304000,-24569000,-1314000,-1200000,-3000.00000000047,-2517000,-13594000,-13594000,-411000,-14005000,18902000,101493000,15713000,0.33868,0.13187,0.0943,0.02962,0.01851,1.57666,2.35367,0.60007,0.18851,0.30301,0.29914,3.21332,10.23047,0.47774,0.03995,0.02535,0.03532,0.13185,-0.33441,-0.45354
"29","2017_Q4",25.592380952381,"Up",106243000,-68705000,37538000,-22294000,-15914000,-6380000,15244000,848000,-410000,1258000,16092000,-2133000,13959000,-4340000,9619000,9619000,9619000,9619000,116152000,116152000,64861000,64861000,35308000,13453000,13453000,229774000,229218000,68933000,37850000,1683000,313509000,543283000,100842000,45479000,55363000,100842000,89009000,95832000,196674000,344251000,-343256000,435099000,-89485000,346609000,346609000,543283000,9619000,5388000,404000,8285000,23696000,-2393000,-2249000,-1318000,-11650000,-2000,-12970000,8477000,8477000,-139000,8338000,20632000,89009000,30864000,0.35332,0.14348,0.09054,0.02775,0.01771,3.20865,2.27855,0.56742,0.16384,0.29205,0.28821,3.22574,10.52371,0.93709,0.04002,0.02472,0.06976,0.13702,-1.31558,-1.78057
"30","2018_Q1",26.2068852459016,"Up",110910000,-78035000,32875000,-31687000,-24973000,-6714000,1188000,164000,-764000,928000,1352000,-1207000,145000.000000002,-13766000,-13621000,-13621000,-13621000,-13621000,113572000,113572000,70584000,70584000,36596000,12857000,12857000,233609000,217840000,71057000,20694000,2096000,306087000,539696000,102412000,49201000,53211000,102412000,89677000,93479000,195891000,345861000,-343256000,420160000,-78960000,343805000,343805000,539696000,-13621000,5613000,14577000,4512000,11081000,-6051000,-6051000,-1318000,-6e+06,-33000,-7351000,-2321000,-2321000,-259000,-2580000,6801000,89677000,19028000,0.29641,0.01071,-0.12281,-0.03962,-0.02524,-1.39696,2.28107,0.56977,0.16616,-0.41351,-0.40506,3.36703,10.43731,0.57766,0.04001,-0.02814,0.04351,-0.09676,-3.51345,-20.11364
