"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","commissions_fees_earned","other_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","commissions_fees_paid","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","short_long_term_investments","net_loans","reserve_for_loan_losses","total_loans","net_fixed_assets","intangible_assets","other_assets","total_assets","total_deposits","interest_bearing_deposits","other_deposits","long_term_debt","other_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","provision_for_loan_losses_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_investments","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_change_in_deposits","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",13.50625,"Up",81002000,76203000,83108000,-6905000,4799000,3491000,1161000,-5439000,75563000,-46929000,-3023000,-43906000,28634000,28634000,28634000,-7787000,20847000,20885000,20885000,20532000,556275000,1535569000,5731920000,-95494000,5827414000,107105000,5942000,214069000,8174104000,6734914000,4804488000,1930426000,293822000,130080000,7392809000,786950000,-153860000,7205000,781295000,781295000,8174104000,20885000,2153000,5439000,-2115000,19731000,46093000,-761000,-62850000,-129606000,-193217000,218272000,1118000,279737000,498774000,351650000,351650000,351650000,30787000,527815000,57544000,0.3535,0.25348,0.02628,0.00251,2.80265,9.46225,0.06457,0.24064,0.2388,0.94935,7.50428,0.67442,0.00256,0.00704,-0.92442,-0.99392
"12","2013_Q3",16.28109375,"Up",83870000,82152000,89285000,-7133000,1718000,3392000,-1670000,-3481000,80389000,-48531000,-2549000,-45982000,31858000,31858000,41902000,-7661000,34241000,34072000,34072000,33720000,382953000,1539625000,6287551000,-96323000,6383874000,106097000,5344000,248890000,8593684000,7001286000,5081720000,1919566000,418607000,152976000,7794159000,789471000,-120196000,-10750000,799525000,799525000,8593684000,34072000,924000,3481000,-28849000,30798000,40426000,-367000,28602000,-220490000,-171051000,-73272000.0000001,701000,-72105000,-42697000,-173322000,-173322000,-173322000,32782000,639897000,70874000,0.37985,0.40205,0.04218,0.00392,2.10184,9.74849,0.07446,0.39365,0.3897,0.97911,7.68775,0.8274,0.00396,0.00825,7.83796,8.06529
"13","2013_Q4",20.3440625,"Up",88688000,84559000,92680000,-8121000,4129000,3440000,2369000,0,88688000,-49675000,-3438000,-46237000,39013000,39013000,39013000,-10390000,28623000,28594000,28594000,28241000,509033000,1625441000,6393019000,-97851000,6490870000,105925000,4747000,260040000,8921429000,7275311000,5302837000,1972474000,394105000,204090000,8095141000,792149000,-92357000,-14504000,826288000,826288000,8921429000,28594000,1549000,0,23971000,-16827000,37287000,-1344000,-92069000,-69847000,-163260000,-23879000,1105000,274357000,252053000,126080000,126080000,126080000,40562000,615740000,32781000,0.43989,0.31843,0.03418,0.00317,1.16076,9.797,0.06902,0.32913,0.32547,1.0336,7.98657,0.38204,0.00321,0.00367,2.63071,2.73517
"14","2014_Q1",21.5814754098361,"Up",91488000,89981000,97582000,-7601000,1507000,-2e+05,1365000,-4300000,87188000,-51081000,-4623000,-46458000,36107000,36107000,36107000,-3992000,32115000,31414000,31414000,31062000,305514000,1915584000,6701365000,-100050000,6801415000,105565000,4150000,251940000,9307342000,7838205000,5638222000,2199983000,341096000,159493000,8451844000,797155000,-61111000,-21546000,855498000,855498000,9307342000,31414000,2233000,4300000,-15782000,19078000,41243000,-16401000,-280822000,380202000,-645814000,-61849000,1671000,563184000,401052000,-203519000,-203519000,-203519000,38340000,454146000,45009000,0.39466,0.33952,0.03631,0.00334,1.44901,9.87944,0.04879,0.36144,0.3575,1.06456,8.31392,0.52373,0.00338,0.00484,3.87668,4.11643
"15","2014_Q2",21.8968253968254,"Up",95350000,90777000,98701000,-7924000,4573000,2561000,1646000,-3500000,91850000,-49487000,-3639000,-45848000,42363000,42363000,42363000,-10624000,31739000,31085000,31085000,30732000,465925000,1895733000,7004700000,-103899000,7108599000,106579000,3553000,246910000,9746624000,8148973000,6055369000,2093604000,342816000,149994000,8851819000,795315000,-30379000,-11131000,894805000,894805000,9746624000,31085000,1500000,3500000,-5310000,9202000,39977000,-1103000,43581000,-331388000,-288910000,97268000,703000,310939000,409344000,160411000,160411000,160411000,43863000,552852000,62586000,0.44429,0.32231,0.03434,0.00315,2.03651,9.89246,0.05672,0.35629,0.35274,1.10543,8.73916,0.72558,0.00319,0.00642,1.98178,2.05196
"16","2014_Q3",22.06109375,"Up",99479000,93898000,101973000,-8075000,5581000,2758000,2986000,-507000,98972000,-52224000,-4192000,-48032000,46748000,46748000,46748000,-10706000,36042000,35538000,35538000,35186000,379282000,1821564000,7438630000,-105937000,7544567000,109603000,3251000,248033000,10023587000,8469505000,6190662000,2278843000,337532000,162487000,9065923000,803385000,4807000,8472000,957664000,957664000,10023587000,35538000,1720000,507000,-5250000,-11971000,20544000,-4388000,95593000,-404055000,-312850000,-119602000,3904000,320670000,205663000,-86643000,-86643000,-86643000,48468000,433931000,42815000,0.46993,0.3537,0.03674,0.00351,1.21682,9.46671,0.04329,0.40677,0.40289,1.15003,9.44109,0.49497,0.00355,0.00427,1.12753,1.16901
"17","2014_Q4",24.0515625,"Up",104148000,98073000,105554000,-7481000,6075000,2458000,3436000,-419000,103729000,-49861000,-3022000,-46839000,53868000,53868000,53868000,-12949000,40919000,40919000,40919000,40566000,258770000,1814274000,7820359000,-109161000,7929520000,112057000,2970000,257170000,10288824000,8697627000,6450897000,2246730000,330782000,162543000,9285702000,807266000,45373000,9483000,1003122000,1003122000,10288824000,40919000,1108000,419000,-3879000,8035000,46602000,-5012000,19300000,-402781000,-388493000,1177000,726000,228238000,230880000,-111011000,-111011000,-111011000,54976000,425532000,70948000,0.51723,0.3895,0.04044,0.00394,1.74895,9.2568,0.04136,0.46777,0.46323,1.20093,9.9411,0.8181,0.00398,0.0069,3.03336,3.09575
"18","2015_Q1",25.9945901639344,"Up",110567000,102145000,110151000,-8006000,8422000,2790000,5259000,-3e+05,110267000,-55747000,-3425000,-52322000,54520000,54520000,54520000,-14111000,40409000,40409000,40409000,40080000,164396000,1752476000,8288049000,-110216000,8398265000,113818000,2689000,255846000,10600498000,8931043000,6642995000,2288048000,430700000,182928000,9599570000,828336000,85453000,16639000,1000928000,1000928000,10600498000,40409000,1838000,3e+05,2703000,15028000,60278000,-3422000,59328000,1108967000,-395760000,55063000,-53793000,233506000,231607000,-103875000,-103875000,-103875000,56358000,485599000,82075000,0.49309,0.3625,0.04004,0.00378,2.04778,9.59067,0.04581,0.45915,0.45548,1.26663,10.6588,0.94024,0.00381,0.00774,5.69933,5.89147
"19","2015_Q2",29.7384126984127,"Up",109350000,103108000,110962000,-7854000,6242000,2889000,2764000,-7e+05,108650000,-54033000,-3995000,-50038000,54617000,54617000,54617000,-14234000,40383000,40383000,40383000,40207000,492402000,1655676000,8706456000,-112098000,8818554000,114261000,2408000,257516000,11251943000,9662346000,7004895000,2657451000,275229000,175057000,10200613000,831940000,125467000,23423000,1051330000,1051330000,11251943000,40383000,2115000,7e+05,-1708000,31097000,72587000,-2237000,105218000,-9593000,-347020000,-122664000,793000,731374000,602439000,328006000,328006000,328006000,56732000,363210000,99826000,0.49947,0.36769,0.03824,0.00357,2.4828,9.70258,0.03228,0.4572,0.45456,1.24345,11.15327,1.13515,0.00359,0.00887,-2.27723,-2.36542
"20","2015_Q3",30.168125,"Up",114263000,108718000,116618000,-7900000,5545000,3128000,2362000,-1.16415321826935e-10,114263000,-61209000,-4611000,-56598000,53054000,53054000,53054000,-13579000,39475000,39475000,39475000,39228000,758336000,1775025000,10206165000,-115056000,10321221000,116044000,17124000,314559000,13470104000,11406728000,7482272000,3924456000,277846000,171034000,11955360000,1268957000,159939000,15348000,1514744000,1514744000,13470104000,39475000,1828000,1.16415321826935e-10,-1813000,-23013000,16477000,-1649000,-11814000,-2714999.99999988,251514000,-4909000.00000003,744000.000000015,2413999.99999988,-2057000,265934000,265934000,265934000,54882000,377598000,43799000,0.46431,0.34331,0.0259,0.00291,1.11652,7.89266,0.02803,0.44488,0.44234,1.29584,16.37892,0.49672,0.00293,0.00325,-6.93739,-7.17642
"21","2015_Q4",33.64453125,"Up",145909000,137407000,146233000,-8826000,8502000,4327000,4237000,0,145909000,-72916000,-4052000,-68864000,72993000,72993000,72993000,-17133000,55860000,55860000,55860000,55684000,325410000,2233845000,10646867000,-117072000,10763939000,121739000,16420000,321942000,13955570000,11610403000,7532942000,4077461000,506814000,201428000,12371872000,1273658000,218897000,20643000,1583698000,1583698000,13955570000,55860000,2096000,0,-2629000,197000,55524000,-7974000,-439544000,-5529000,-881679000,183818000,201000,203726000,393229000,-432926000,-432926000,-432926000,75089000,560041000,84445000,0.50026,0.38164,0.03516,0.00399,1.5165,7.81201,0.04013,0.55255,0.5485,1.44785,15.01546,0.83795,0.004,0.00605,3.12471,3.21443
"22","2016_Q1",29.1726229508197,"Down",152822000,143343000,151331000,-7988000,9479000,4438000,5008000,-2500000,150322000,-72448000,-5890000,-66558000,77874000,77874000,77874000,-19348000,58526000,58526000,58526000,58375000,224640000,2291047000,10993786000,-119068000,11112854000,118535000,15716000,341727000,14275089000,12030624000,7936648000,4093976000,360328000,254480000,12683587000,1323483000,262638000,22260000,1591502000,1591502000,14275089000,58526000,2427000,2500000,30014000,-17640000,75827000,1004000,-54213000,-10473000,-389258000,-165072000,-42015000,420341000,212661000,-100770000,-100770000,-100770000,80301000,398483000,83013000,0.50957,0.38198,0.03668,0.00409,1.42206,7.96957,0.02791,0.57577,0.57106,1.50733,15.69745,0.81878,0.0041,0.00582,2.16489,2.23236
"23","2016_Q2",32.7528125,"Up",158844000,145711000,154256000,-8545000,13133000,4466000,7666000,-2500000,156344000,-75493000,-5572000,-69921000,80851000,80851000,80851000,-19519000,61332000,61332000,61332000,61332000,1030977000,2337237000,11098633000,-119227000,11217860000,119759000,15019000,357471000,15248039000,13081655000,8446483000,4635172000,210647000,259468000,13587876000,1328688000,323970000,33333000,1660163000,1660163000,15248039000,61332000,2606000,2500000,-304000,5181000,71315000,-3086000,-34448000,-12580000,-155516000,-151849000,305000,1051031000,890538000,806337000,806337000,806337000,83457000,246753000,105071000,0.509,0.38611,0.03694,0.00402,1.71315,8.18466,0.01618,0.60191,0.59814,1.5589,16.29288,1.03117,0.00402,0.00689,-9.39674,-9.69962
"24","2016_Q3",33.1675,"Up",172245000,163686000,174089000,-10403000,8559000,4577000,3982000,-2500000,169745000,-81804000,-5747000,-76057000,87941000,87941000,87941000,-26327000,61614000,61614000,61614000,61614000,696243000,2492143000,12733407000,-122104000,12855511000,120518000,14322000,382167000,16728767000,14201357000,8926259000,5275098000,382103000,310605000,14932557000,1389924000,385584000,46626000,1796210000,1796210000,16728767000,61614000,3530000,2500000,853000,-24675000,43822000,-3506000,-148651000,-5181000,-1725815000,171654000,55999000,1119702000,1347259000,-334734000,-334734000,-334734000,91471000,420595000,89617000,0.51056,0.35771,0.0343,0.00368,1.45449,8.31337,0.02514,0.60001,0.59547,1.67736,17.49192,0.87271,0.00368,0.00536,-3.0135,-3.13447
"25","2016_Q4",40.1288888888889,"Up",183230000,172547000,184750000,-12203000,10683000,4915000,5768000,-2e+06,181230000,-85007000,-5691000,-79316000,96223000,96223000,96223000,-29171000,67052000,67052000,67052000,67052000,356083000,3014467000,12889378000,-122884000,13012262000,121274000,13625000,357808000,17042602000,14443160000,8818344000,5624816000,382932000,314784000,15185248000,1394536000,452636000,36392000,1857354000,1857354000,17042602000,67052000,3136000,2e+06,-1619000,28776000,99345000,-2732000,-529640000,-4327000,-686938000,5679000,236000,241804000,247433000,-340160000,-340160000,-340160000,99359000,427304000,154574000,0.52515,0.36594,0.0361,0.00393,2.30529,8.17574,0.02507,0.64617,0.64125,1.76577,17.8991,1.48961,0.00393,0.00907,0.7168,0.74017
"26","2017_Q1",46.6990322580645,"Up",185801000,175269000,187411000,-12142000,10532000,4866000,5608000,-1e+06,184801000,-88645000,-7600000,-81045000,96156000,96156000,96164000,-26364000,69800000,69800000,69800000,69800000,284491000,3214843000,13064823000,-124704000,13189527000,119833000,12927000,213958000,17200842000,14549863000,8916937000,5632926000,447937000,269785000,15309313000,1400150000,522436000,-4695000,1891529000,1891529000,17200842000,69800000,3222000,1e+06,26850000,-34709000,66163000,-1250000,-57174000.0000001,-4928000,-321964000,77344000,315000.000000007,106702000,184209000,-71592000,-71592000,-71592000,99378000,489665000,89783000,0.51752,0.37567,0.0369,0.00406,1.28629,8.09362,0.02847,0.67234,0.66604,1.7897,18.21984,0.86482,0.00406,0.00522,2.06458,2.13376
"27","2017_Q2",44.3720634920635,"Down",189909000,179309000,192265000,-12956000,10600000,4738000,5227000,-4250000,185659000,-87827000,-8803000,-79024000,97832000,97832000,97831000,-24489000,73342000,73342000,73342000,73342000,647034000,3122655000,13517234000,-127649000,13644883000,120038000,12238000,413412000,18122506000,15355970000,9241822000,6114148000,366885000,394948000,16153514000,1406953000,595793000,2851000,1968992000,1968992000,18122506000,73342000,3211000,4250000,6657000,513000,87973000,-2575000,-87209000,-3606000,-435459000,-86017000,184000,806106000,710030000,362544000,362544000,362544000,101043000,402596000,123470000,0.51515,0.3862,0.03725,0.00405,1.68348,8.20395,0.02222,0.7053,0.69959,1.82628,18.93498,1.18736,0.00405,0.00681,-2.41915,-2.49855
"28","2017_Q3",45.757619047619,"Up",203344000,192743000,206953000,-14210000,10601000,5203000,5445000,-3e+06,200344000,-88420000,-8483000,-79937000,111924000,111924000,111924000,-31964000,79960000,79960000,79960000,79960000,606675000,3537052000,13841448000,-131811000,13973259000,120467000,11750000,437458000,18844745000,16031113000,9171755000,6859358000,375444000,346853000,16786071000,1413071000,675764000,6490000,2058674000,2058674000,18844745000,79960000,3178000,3e+06,14666000,-13340000,87464000,-2518000,-396127000,-7297000,-800215000,-3049999.99999999,343000,675143000,672390000,-40360999.9999999,-40360999.9999999,-40360999.9999999,115102000,408105000,131208000,0.55042,0.39323,0.03884,0.00424,1.64092,8.15383,0.02166,0.76765,0.7612,1.95219,19.76416,1.25965,0.00424,0.00696,-1.72517,-1.77415
"29","2017_Q4",51.9434920634921,"Up",211132000,201583000,217836000,-16253000,9549000,5248000,4889000,-5e+06,206132000,-89296000,-6038000,-83258000,116836000,116836000,117743000,-34899000,82844000,82844000,82844000,82844000,650354000,4024189000,14369268000,-136421000,14505689000,120063000,11262000,457190000,19922221000,16904783000,9296112000,7608671000,372851000,472894000,17776594000,1418845000,758622000,8164000,2145627000,2145627000,19922221000,82844000,3567000,5e+06,11513000,-7278000,95646000,-2551000,-461665000,-8581000,-915949000,-6594000,259000,873671000,863983000,43680000,43680000,43680000,120403000,398917000,145473000,0.55338,0.39238,0.03861,0.00416,1.75599,8.28503,0.02002,0.79489,0.78943,2.02581,20.58728,1.39581,0.00416,0.0073,-2.0883,-2.15205
"30","2018_Q1",55.2168852459016,"Up",225624000,211029000,228459000,-17430000,14595000,5157000,7095000,-5e+06,220624000,-95398000,-6490000,-88908000,125226000,125226000,124319000,-34973000,89346000,89346000,89346000,89346000,416768000,4260921000,14953885000,-140050000,15093935000,118719000,10853000,278044000,20329085000,16972532000,9538570000,7433962000,766905000,333933000,18099387000,1424550000,848466000,-3145000,2229698000,2229698000,20329085000,89346000,3437000,5e+06,88376000,-73431000,112728000,-1218000,-84967000,-23826000,-803904000,389950000,60000,67749000,457590000,-233586000,-233586000,-233586000,128663000,792922000,88987000,0.55502,0.396,0.04007,0.00439,0.99598,8.11742,0.039,0.85625,0.84958,2.16227,21.36831,0.85281,0.00439,0.00438,2.92356,3.0038
"31","2018_Q2",55.91234375,"Up",226937000,214220000,234697000,-20477000,12717000,5745000,6972000,-6e+06,220937000,-98149000,-6003000,-92146000,122788000,122788000,121714000,-20814000,100900000,100900000,100900000,100900000,439371000,4219194000,15415794000,-144659000,15560453000,116702000,10455000,269320000,20760731000,17354538000,9852502000,7502036000,663935000,426819000,18466968000,1431470000,950424000,-41662000,2293763000,2293763000,20760731000,100900000,3407000,6e+06,2391000,-24382000,88316000,-576000,34287000,-13572000,-347298000,-94340000,215000,382006000,281585000,22603000,22603000,22603000,126195000,685611000,122051000,0.54107,0.44462,0.04399,0.00486,1.20962,8.05095,0.03302,0.96527,0.958,2.17102,21.94359,1.16762,0.00486,0.00588,1.95127,2.00541
"32","2018_Q3",53.725873015873,"Down",238237000,224108000,251602000,-27494000,14129000,5672000,8457000,-5e+06,233237000,-102548000,-7946000,-94602000,130689000,130689000,130004000,-25325000,104679000,104679000,104679000,104679000,506818000,4200613000,15991177000,-147083000,16138260000,115378000,10056000,253515000,21367452000,18087528000,10139622000,7947906000,436060000,434159000,18975768000,1438867000,1055103000,-51315000,2391684000,2391684000,21367452000,104679000,3408000,5e+06,4320000,41630000,159037000,-1260000,71793000,-19303000,-591741000,-228655000,319000,732990000,500151000,67447000,67447000,67447000,134097000,454081000,199792000,0.54857,0.43939,0.04377,0.0049,1.90862,7.93406,0.02125,0.99989,0.99297,2.27562,22.84517,1.9084,0.0049,0.00935,-0.39328,-0.40353
"33","2018_Q4",44.0871428571429,"Down",246900000,234038000,265216000,-31178000,12862000,5267000,7595000,-6e+06,240900000,-113841000,-7907000,-105934000,127059000,127059000,118615000,-7492000,111123000,111123000,111123000,111123000,700564000,4141419000,16582754000,-150011000,16732765000,119211000,9658000,332646000,22176147000,18908580000,10893865000,8014715000,359082000,399123000,19687754000,1444565000,1166226000,-70363000,2488393000,2488393000,22176147000,111123000,3645000,6e+06,24706000,3453000,148927000,-6483000,-8163000,-35420000,-703118000,-72052000,0,821052000,747937000,193746000,193746000,193746000,130704000,380051000,135166000,0.51462,0.45007,0.04466,0.00501,1.21636,7.91183,0.01714,1.06066,1.05382,2.35664,23.75146,1.29015,0.00501,0.0061,-2.4522,-2.52255
