"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2014_Q3",130.223125,"Down",716211000,-349801000,366410000,-363437000,-363437000,2973000,-1023000,-1023000,1950000,1353000,-12045000,-10692000,-20922000,-1953000,-22875000,-22875000,868088000,868088000,134127000,134127000,267125000,237092000,1269340000,173403000,23588000,671108000,136182000,460972000,28892000,868099000,2137439000,1068731000,31002000,1037729000,1245080000,161423000,148552000,161423000,1406503000,1791965000,-909540000,32712000,733091000,-2155000,730936000,2137439000,-10692000,-20922000,27024000,24351000,-69208000,-22747000,-29062000,-3095000,-34498000,-1197000,-8186000,-114753000,-171998000,-176667000,1262000,-175405000,29997000,0,-56228000,0.5116,0.00415,-0.03194,-0.0313,-0.0107,2.45805,1.01948,1.92425,0,-0.67724,-0.67724,21.20415,21.7039,-1.66469,-0.02563,-0.06301,-28.93916,-291.99058
"12","2014_Q4",141.9640625,"Up",714269000,-358991000,355278000,-354533000,-354533000,745000,-20056000,-20056000,-19311000,-19007000,6434000,-12573000,-19018000,-2190000,-21208000,-21208000,855168000,855168000,124598000,124598000,270314000,243750000,1250080000,170534000,23639000,627912000,119810000,441290000,22103000,822085000,2072165000,1004153000,25848000,978305000,1183056000,161154000,151486000,161154000,1344210000,1814110000,-930748000,34948000,727955000,0,727955000,2072165000,-12573000,-19018000,30462000,34100000,-29665000,45466000,-18788000,-7.45058059692383e-09,-20461000,-1473000,-8557000,-16823000,8182000,-12467000,-21102000,-33569000,31207000,0,-23680000,0.4974,0.00104,-0.02969,-0.02913,-0.01023,1.11656,1.05665,1.84656,-5.42101086242752e-20,-0.63352,-0.63352,21.33654,21.74537,-0.70737,-0.02385,-0.02663,-27.40308,-1147.87651
"13","2015_Q1",153.301639344262,"Up",883228000,-505119000,378109000,-345278000,-345278000,32831000,-11531000,-11531000,21300000,22109000,4457000,26566000,11384000,-2596000,8788000,8788000,1016634000,1016634000,90597000,90597000,277827000,192382000,1385058000,176004000,24298000,642237000,30609000,236756000,16173000,842539000,2227597000,1127359000,13822000,1113537000,1293598000,169055000,129531000,169055000,1462653000,1847490000,-921960000,35763000,762826000,2118000,764944000,2227597000,26566000,11384000,30122000,31490000,201074000,302802000,-22414000,-14338000,-35889000,-3863000,-25657000,-37068000,229845000,217890000,-13100000,204790000,62953000,0,237156000,0.4281,0.03717,0.00995,0.01149,0.00395,26.98635,1.0707,1.9121,0,0.26159,0.26159,26.29101,22.70701,7.05941,0.00941,0.25391,-16.1491,-30.96567
"14","2015_Q2",129.079365079365,"Down",750356000,-402950000,347406000,-342380000,-342380000,5026000,-19927000,-19927000,-14901000,-14632000,-2107000,-16739000,-10455000,-3818000,-14273000,-14273000,975504000,975504000,92140000,92140000,591202000,184092000,1658846000,169966000,22970000,302869000,24854000,224685000,13877000,495805000,2154651000,935443000,17539000,917904000,1262138000,123500000,122781000,123500000,1385638000,1873652000,-936233000,44216000,764635000,4378000,769013000,2154651000,-16739000,-10455000,32200000,38132000,-9985999.99999994,19252000,-18294000,-8e+05,-20067000,-3636000,-16142000,-35838000,-36653000,-10931000,-30199000,-41130000,37226000,0,11053000,0.46299,0.00670000000000001,-0.01902,-0.01856,-0.00662,-0.7744,1.31431,1.80184,1.73472347597681e-18,-0.42204,-0.42204,22.18731,22.60953,0.32683,-0.01599,0.01238,-26.20491,-194.09152
"15","2015_Q3",88.9390625,"Down",738395000,-401388000,337007000,-345728000,-345728000,-8721000,2941000,2941000,-5780000,-6285000,-8982000,-15267000,111912000,-2828000,109084000,109084000,1110148000,1110148000,95311000,95311000,191908000,173446000,1397367000,173426000,150018000,300015000,23846000,231461000,20489000,623459000,2020826000,936086000,16273000,919813000,1088993000,139087000,130004000,139087000,1228080000,1902963000,-827149000,55688000,791876000,870000,792746000,2020826000,-15267000,111912000,31372000,37457000,-40237000,20307000,-22452000,-2320000,216553000,-4266000,-19435000,-141557000,95303000,124860000,9784000,134644000,22651000,0,-31056000,0.4564,-0.01181,0.14773,0.1376,0.05398,-0.2847,1.28317,1.54915,0,3.24834,3.24834,21.98814,23.58072,-0.92479,0.11706,-0.03333,-49.01099,127.29595
"16","2015_Q4",64.2796875,"Down",713595000,-384683000,328912000,-411981000,-411981000,-83069000,-8160000,-8160000,-91229000,-78583000,53970000,-24613000,-24613000,-3002000,-27615000,-27615000,963559000,963559000,76121000,76121000,243335000,223986000,1283015000,202714000,163789000,381123000,40841000,291084000,20407000,747626000,2030641000,916430000,15503000,900927000,1282928000,146761000,142005000,146761000,1429689000,1934065000,-854764000,53369000,600140000,812000,600952000,2030641000,-24613000,-24613000,35635000,11399000,-30061000,-26845000,-28891000,-67010000,-98028000,185232000,-10236000,-14793000,-139666000,-139666000,-6923000.00000001,-146589000,-47434000,1.95e+08,-160356000,0.46092,-0.11641,-0.0387,-0.04595,-0.0136,5.80684,1.00007,2.37904,0.09603,-0.85642,-0.856420000000001,22.13059,18.61203,-4.97309,-0.02929,-0.1701,16.2027,9.25206000000009
"17","2016_Q1",69.1016393442623,"Up",752470000,-477985000,274485000,-270245000,-270245000,4240000,-440000,-440000,3800000,3243000,-19871000,-16628000,-43165000,-3363000,-46528000,-46528000,853362000,853362000,68175000,68175000,153705000,153705000,1075242000,198897000,178236000,343889000,36483000,287332000,16620000,721022000,1796264000,1203525000,24590000,1178935000,1203525000,122152000,113540000,122152000,1325677000,1964525000,-901292000,51206000,469398000,1189000,470587000,1796264000,-16628000,-43165000,30175000,41961000,211613000,249785000,-1.5e+07,242000,-31238000,-201733000,-8610000,-323597000,-105050000,-100333000,-5147000,-105480000,34415000,0,250899000,0.36478,0.00563,-0.06183,-0.09887,-0.0259,-5.39243,0.89341,2.81707,0,-1.53174,-1.53174,24.77198,15.453,8.25982,-0.0785,0.42329,-24.79622,-201.26462
"18","2016_Q2",73.95625,"Up",698435000,-378333000,320102000,-361786000,-361786000,-41684000,2618000,2618000,-39066000,-42530000,-1009000,-43539000,-45596000,-3523000,-49119000,-49119000,688512000,688512000,73471000,73471000,134831000,134831000,896814000,193036000,177553000,351277000,32769000,291747000,22507000,721866000,1618680000,1102701000,21970000,1080731000,1102701000,130308000,123371000,130308000,1233009000,1998002000,-953542000,48354000,384324000,1347000,385671000,1618680000,-43539000,-45596000,34415000,32872000,-98524999.9999999,-76725000,-20638000,21154814.8168204,-20778000,-6953999.99999994,-8329000,-78015000.0000001,-175518000,-179511000,10668000,-168843000,-7269000,0,-125423000,0.45831,-0.05968,-0.07033,-0.12736,-0.03035,2.55345,0.81329,3.19705,0,-1.68576,-1.68576,23.97024,13.18997,-4.30451,-0.0952,-0.24308,94.71894,16.51742
"19","2016_Q3",97.45625,"Up",723760000,-408383000,315377000,-363619000,-363619000,-48242000,-11253000,-11253000,-59495000,-51006000,2238000,-48768000,-51731000,-3173000,-54904000,-54904000,780132000,780132000,68974000,68974000,190053000,190053000,1039159000,184742000,181051000,346490000,29549000,289289000,23433000,712283000,1751442000,1077122000,17573000,1059549000,1077122000,130992000,124051000,305007000,1382129000,2070610000,-1008446000,39292000,368555000,758000,369313000,1751442000,-48768000,-51731000,33916000,30989000,-67146000,-54010000,-17705000,-939999.99999997,-18853000,277773000,-82878000,169225000,96362000,98953000,-4742000,94211000,-14326000,174015000,-101415000,0.43575,-0.06665,-0.07586,-0.14867,-0.03135,1.84713,0.96476,3.74243,0.09936,-1.9034,-1.9034,25.09122,12.77702,-3.51584,-0.08142,-0.1504,42.30888,12.56409
"20","2016_Q4",84.1015873015873,"Down",686555000,-393287000,293268000,-320177000,-320177000,-26909000,-7917000,-7917000,-34826000,-32757000,-1690000,-34447000,-35792000,-2184000,-37976000,-37976000,689747000,689747000,74047000,74047000,145280000,145280000,909074000,179987000,180617000,343863000,25475000,289856000,24290000,704467000,1613541000,984468000,21833000,962635000,984468000,120444000,113604000,296917000,1281385000,2095048000,-1046422000,40132000,331238000,918000,332156000,1613541000,-34447000,-35792000,32897000,26630000,-64959000,-40822000,-12811000,0,-13773000,-7285000,-7130999.99999999,-36657000,-91252000,-88462000,867000.000000004,-87595000,5988000,176473000,-70092000,0.42716,-0.03919,-0.05531,-0.11433,-0.02354,1.84569,0.92342,3.85778,0.10937,-1.32041,-1.32041,23.8712,11.51699,-2.43707,-0.06037,-0.11142,-85.7171,19.07444
"21","2017_Q1",77.0451612903226,"Down",904865000,-552959000,351906000,-341058000,-341058000,10848000,-54737000,-54737000,-43889000,-45234000,5779000,-39455000,-50204000,-2384000,-52588000,-52588000,862977000,862977000,71272000,71272000,157687000,94441000,1091936000,169452000,141882000,358107000,42915000,274551000,28635000,669441000,1761377000,1165999000,28551000,1137448000,1213051000,104269000,101342000,283264000,1496315000,2112802000,-1099010000,58052000,264420000,642000,265062000,1761377000,-39455000,-50204000,34681000,61405000,237962000,288662000,-19528000,15479000,-4082000,-8637000,-10845000,-69218000,215362000,214160000,-13263000,200897000,45529000,178995000,258184000,0.3889,0.01199,-0.05812,-0.1984,-0.02986,-4.90956,0.90016,5.64515,0.10162,-1.84343,-1.84343,31.71926,9.26901,9.05042,-0.09591,0.47086,-15.023,-63.05144
"22","2017_Q2",69.3365079365079,"Down",673626000,-364175000,309451000,-321131000,-321131000,-11680000,-4602000,-4602000,-16282000,-16282000,-4587000,-20869000,-20382000,-4032000,-24414000,-24414000,690975000,690975000,63732000,63732000,88512000,88512000,843219000,158222000,145003000,337391000,37995000,275978000,18300000,640616000,1483835000,992029000,18805000,973224000,992029000,98835000,97090000,280417000,1272446000,2127479000,-1126658000,42795000,210165000,1224000,211389000,1483835000,-20869000,-20382000,34067000,21911000,-173195000,-139184000,-14020000,11724150.2432435,-21567000,-8067000,-12893000,-45726000,-206477000,-177611000,3973000,-173638000,22387000,181582000,-160241000,0.45938,-0.01734,-0.03624,-0.11549,-0.01645,6.56349,0.84999,6.01945,0.12237,-0.86852,-0.86852,23.96413,7.47658,-5.70055,-0.04964,-0.32582,-22.75396,43.61241
"23","2017_Q3",82.6253968253968,"Up",662619000,-334552000,328067000,-335465000,-335465000,-7398000,5878000,5878000,-1520000,-1520000,-3883000,-5403000,-6779000,-2547000,-9326000,-9326000,618550000,618550000,60785000,60785000,107527000,107527000,786862000,162577000,141436000,336562000,32256000,282011000,17457000,640575000,1427437000,953407000,18389000,935018000,953407000,103811000,101978000,288048000,1241455000,2145104000,-1135984000,34358000,185187000,795000,185982000,1427437000,-5403000,-6779000,34679000,26972000,-75090000,-19939000,-15625000,-7.45058059692383e-09,-15783000,-8603000,-15051000,-47924000,-83646000,-83646000,12857000,-70789000,27281000,184237000,-59551000,0.49511,-0.01116,-0.01407,-0.05014,-0.00653,6.38548,0.82532,6.67514,0.12907,-0.33321,-0.33321,23.67502,6.61663,-2.12773,-0.01967,-0.12563,-15.91998,58.70681
"24","2017_Q4",105.193650793651,"Up",634466000,-325041000,309425000,-327787000,-327787000,-18362000,7546000,7546000,-10816000,6333000,-2531000,3802000,2940000,-2881000,59000,59000,638657000,638657000,78284000,78284000,99855000,99855000,816796000,150023000,129504000,331773000,24028000,285436000,17302000,611300000,1428096000,948758000,25954000,922804000,948758000,104313000,102386000,291272000,1240030000,2161214000,-1135925000,29099000,186938000,1128000,188066000,1428096000,3802000,2940000,35231000,570999.999999996,-18380000,21224000,4262000,0,1669000,-8628000,3928000,-11411000,11481999.9999999,11482000,6445000,17927000,16869000,186959000,5281999.99999997,0.48769,-0.02894,8.99999999999998e-05,0.000310000000000005,3.99999999999992e-05,89.52542,0.86091,6.59359,0.13091,0.00212000000000007,0.00208000000000008,22.77251,6.70965,0.18958,0.000119999999999995,0.01102,-26.77681,24.59961
"25","2018_Q1",96.9672131147541,"Down",873166000,-486248000,386918000,-337144000,-337144000,49774000,-2112000,-2112000,47662000,47614000,3457000,51071000,50848000,-3127000,47721000,47721000,880129000,880129000,98294000,98294000,94025000,94025000,1072448000,151145000,135189000,318723000,19196000,286989000,12538000,605057000,1677505000,1133499000,31968000,1101531000,1133499000,102408000,102408000,292161000,1425660000,2174783000,-1088204000,31844000,250973000,872000,251845000,1677505000,51071000,50848000,33850000,28740000,159540000,272978000,-16501000,-9.31322574615479e-10,810000,-8727000,-24285000,-32985000,240803000,240803000,2849000,243652000,83624000,189753000,223206000,0.44312,0.057,0.05465,0.18949,0.02845,4.67731,0.94614,5.66086,0.11312,1.70954,1.63136,31.28002,8.99078,7.99606,0.08772,0.4103,-8.25572,-13.87021
"26","2018_Q2",92.7375,"Down",626540000,-301655000,324885000,-321500000,-321500000,3384999.99999999,-8515000,-8515000,-5130000.00000001,-5130000,2335000,-2795000,-2794999.99999999,-4093000,-6888000,-6888000,725909000,725909000,81571000,81571000,89282000,89282000,896762000,146717000,129373000,330076000,16925000,289945000,23206000,606166000,1502928000,857890000,23400000,834490000,857890000,102047000,102047000,294666000,1152556000,2192544000,-1006308000,29936000,348722000,1650000,350372000,1502928000,-2795000,-2795000,29661000,21505000,-168118000,-119747000,-20382000,-43233653.9249463,-20382000,-9024000,-14309000,-20899000,-161028000,-161028000,6191000,-154837000,33046000,192619000,-157789000,0.51854,0.0054,-0.01099,-0.01966,-0.00458,22.90781,1.04531,3.28952,0.12816,-0.24524,-0.24524,22.30728,12.41587,-5.61791,-0.01068,-0.24462,-16.13781,-157.54505
"27","2018_Q3",87.931746031746,"Down",617396000,-293738000,323658000,-387903000,-387903000,-64245000,-26457000,-26457000,-90702000,-90702000,-1552000,-92254000,-92254000,-2780000,-95034000,-95034000,662893000,662893000,76302000,76302000,104524000,104524000,843719000,148450000,109606000,386925000,37075000,328799000,21051000,644981000,1488700000,918769000,23026000,895743000,918769000,103235000,103235000,298794000,1217563000,2206817000,-1101342000,32307000,270332000,805000,271137000,1488700000,-92254000,-92254000,28954000,31482000,75993000,44175000,-17893000,-57821000,-75714000,-8215000,-10584000,-18729000,-50268000,-50268000,-12835000,-63103000,-35291000,195559000,24361000,0.52423,-0.10406,-0.15393,-0.3505,-0.06384,-0.25634,0.91831,4.49058,0.13136,-3.36234,-3.36234,21.84372,9.56445,0.8619,-0.16675,0.04274,13.2423,7.27425
"28","2018_Q4",64.3555555555556,"Down",592883000,-286894000,305989000,-252966000,-252966000,53023000,-4860000.00000001,-4860000,48163000,48163000,-988000,47175000,47175000,-2560000,44615000,44615000,572358000,572358000,81478000,81478000,98169000,98169000,752005000,146897000,109306000,395712000,49032000,327430000,19250000,651915000,1403920000,771162000,16810000,754352000,771162000,102543000,102543000,301118000,1072280000,2222499000,-1056727000,32329000,330651000,989000,331640000,1403920000,47175000,47175000,28685000,18398000,-151647000,-57389000,-13836000,0,-30983000,-8050000,3718000,-1126000,-89498000,-89498000,-2643000,-92141000,81708000,198575000,-82787000,0.5161,0.08943,0.07525,0.13453,0.03178,-1.85559,0.97516,3.23326,0.14144,1.5692,1.54811,20.85285,11.62964,-2.91178,0.07051,-0.13084,-4.57462,-7.04944999999997
"29","2019_Q1",70.4852459016393,"Up",799927000,-433858000,366069000,-304193000,-304193000,61876000,-13176000,-13176000,48700000,48700000,1162000,49862000,49862000,-3634000,46228000,46228000,841021000,841021000,69493000,69493000,88115000,88115000,998629000,143117000,108515000,391881000,45401000,325491000,20989000,643513000,1642142000,957174000,38359000,918815000,957174000,100688000,100688000,302357000,1259531000,2234636000,-1010499000,34602000,381248000,1363000,382611000,1642142000,49862000,49862000,14030000,34070000,225854000,323816000,-34346000,-298000,-8903000,25289000,-59372000,-43663000,271250000,271250000,-1922000,269328000,75906000,201669000,266252000,0.45763,0.07735,0.05779,0.12082,0.02815,5.75954,1.04331,3.29194,0.12281,1.62093,1.64324,28.04848,13.368,9.33581,0.06749,0.38871,-8.42294,-10.33279
